BJLGFBAK_00005	K03530
BJLGFBAK_00537	K00020
BJLGFBAK_00539	K00261
BJLGFBAK_00540	K00314
BJLGFBAK_00542	K00605
BJLGFBAK_00545	K02316
BJLGFBAK_00546	K03086
BJLGFBAK_00547	K17686
BJLGFBAK_00548	K13638
BJLGFBAK_00551	K00821
BJLGFBAK_00552	K00611
BJLGFBAK_00553	K00033
BJLGFBAK_00554	K03579
BJLGFBAK_00555	K07588
BJLGFBAK_00556	K02902
BJLGFBAK_00558	K09796
BJLGFBAK_00559	K02518
BJLGFBAK_00560	K06287
BJLGFBAK_00567	K02536
BJLGFBAK_00569	K09458
BJLGFBAK_00571	K18852
BJLGFBAK_00573	K06204
BJLGFBAK_00579	K00428
BJLGFBAK_00580	K08299
BJLGFBAK_00581	K22224
BJLGFBAK_00585	K00031
BJLGFBAK_00588	K05565
BJLGFBAK_00589	K05567
BJLGFBAK_00590	K05568
BJLGFBAK_00591	K05569
BJLGFBAK_00592	K05570
BJLGFBAK_00594	K03782
BJLGFBAK_00596	K06146
BJLGFBAK_00598	K06350
BJLGFBAK_00599	K07160
BJLGFBAK_00602	K00020
BJLGFBAK_00603	K03810
BJLGFBAK_00604	K01686
BJLGFBAK_00609	K00040
BJLGFBAK_00610	K00874
BJLGFBAK_00612	K00020
BJLGFBAK_00614	K01685
BJLGFBAK_00620	K00020
BJLGFBAK_00621	K00019
BJLGFBAK_00622	K01687
BJLGFBAK_00624	K15919
BJLGFBAK_00625	K12661
BJLGFBAK_00626	K03797
BJLGFBAK_00628	K15633
BJLGFBAK_00630	K14162
BJLGFBAK_00632	K02335
BJLGFBAK_00634	K03924
BJLGFBAK_00635	K05786
BJLGFBAK_00637	K06180
BJLGFBAK_00638	K03704
BJLGFBAK_00639	K00128
BJLGFBAK_00640	K03386
BJLGFBAK_00641	K00962
BJLGFBAK_00642	K02956
BJLGFBAK_00645	K03177
BJLGFBAK_00648	K00215
BJLGFBAK_00651	K03500
BJLGFBAK_00653	K00602
BJLGFBAK_00656	K17732
BJLGFBAK_00659	K23003
BJLGFBAK_00660	K06971
BJLGFBAK_00661	K20609
BJLGFBAK_00662	K00854
BJLGFBAK_00664	K10238
BJLGFBAK_00665	K02025
BJLGFBAK_00667	K10112
BJLGFBAK_00668	K02431
BJLGFBAK_00669	K00852
BJLGFBAK_00670	K01620
BJLGFBAK_00671	K06187
BJLGFBAK_00672	K09747
BJLGFBAK_00674	K02343
BJLGFBAK_00675	K01119
BJLGFBAK_00676	K03426
BJLGFBAK_00678	K14170
BJLGFBAK_00679	K08738
BJLGFBAK_00680	K13893
BJLGFBAK_00681	K13894
BJLGFBAK_00682	K13895
BJLGFBAK_00683	K13896
BJLGFBAK_00684	K07258
BJLGFBAK_00689	K11529
BJLGFBAK_00690	K07560
BJLGFBAK_00695	K06178
BJLGFBAK_00696	K11991
BJLGFBAK_00699	K02435
BJLGFBAK_00700	K02433
BJLGFBAK_00702	K11066
BJLGFBAK_00703	K02913
BJLGFBAK_00704	K06890
BJLGFBAK_00707	K18649
BJLGFBAK_00708	K12960
BJLGFBAK_00709	K01487
BJLGFBAK_00710	K06213
BJLGFBAK_00711	K01934
BJLGFBAK_00712	K09769
BJLGFBAK_00719	K06895
BJLGFBAK_00721	K02167
BJLGFBAK_00723	K00130
BJLGFBAK_00724	K00108
BJLGFBAK_00726	K07110
BJLGFBAK_00727	K07552
BJLGFBAK_00728	K01966
BJLGFBAK_00735	K01965
BJLGFBAK_00738	K01847
BJLGFBAK_00739	K03527
BJLGFBAK_00742	K03469
BJLGFBAK_00743	K00604
BJLGFBAK_00744	K01462
BJLGFBAK_00745	K01462
BJLGFBAK_00746	K01462
BJLGFBAK_00747	K14155
BJLGFBAK_00749	K07393
BJLGFBAK_00751	K00817
BJLGFBAK_00752	K02227
BJLGFBAK_00754	K03529
BJLGFBAK_00756	K05799
BJLGFBAK_00761	K02108
BJLGFBAK_00766	K01118
BJLGFBAK_00767	K03106
BJLGFBAK_00771	K02959
BJLGFBAK_00775	K00554
BJLGFBAK_00776	K02884
BJLGFBAK_00778	K01625
BJLGFBAK_00779	K01690
BJLGFBAK_00781	K11072
BJLGFBAK_00783	K11071
BJLGFBAK_00795	K01262
BJLGFBAK_00796	K04080
BJLGFBAK_00798	K11473
BJLGFBAK_00800	K11472
BJLGFBAK_00801	K00104
BJLGFBAK_00803	K00783
BJLGFBAK_00804	K09710
BJLGFBAK_00807	K02935
BJLGFBAK_00808	K02864
BJLGFBAK_00809	K02863
BJLGFBAK_00810	K02867
BJLGFBAK_00816	K00826
BJLGFBAK_00818	K22074
BJLGFBAK_00819	K14742
BJLGFBAK_00821	K07335
BJLGFBAK_00822	K23537
BJLGFBAK_00824	K23535
BJLGFBAK_00825	K23536
BJLGFBAK_00826	K07090
BJLGFBAK_00832	K00344
BJLGFBAK_00834	K01847
BJLGFBAK_00836	K03784
BJLGFBAK_00838	K00240
BJLGFBAK_00839	K00239
BJLGFBAK_00841	K00241
BJLGFBAK_00845	K01644
BJLGFBAK_00848	K13292
BJLGFBAK_00849	K18164
BJLGFBAK_00850	K05810
BJLGFBAK_00852	K03719
BJLGFBAK_00853	K00384
BJLGFBAK_00854	K01768
BJLGFBAK_00855	K00958
BJLGFBAK_00857	K04080
BJLGFBAK_00859	K01588
BJLGFBAK_00860	K01589
BJLGFBAK_00861	K06162
BJLGFBAK_00865	K04077
BJLGFBAK_00866	K04078
BJLGFBAK_00868	K15986
BJLGFBAK_00871	K11753
BJLGFBAK_00872	K09160
BJLGFBAK_00874	K00948
BJLGFBAK_00878	K10773
BJLGFBAK_00879	K00567
BJLGFBAK_00880	K03286
BJLGFBAK_00881	K19784
BJLGFBAK_00884	K03153
BJLGFBAK_00885	K15461
BJLGFBAK_00887	K08309
BJLGFBAK_00888	K01714
BJLGFBAK_00889	K21309
BJLGFBAK_00890	K21308
BJLGFBAK_00892	K21307
BJLGFBAK_00893	K00625
BJLGFBAK_00894	K01652
BJLGFBAK_00895	K00375
BJLGFBAK_00897	K15551
BJLGFBAK_00898	K02049
BJLGFBAK_00899	K15552
BJLGFBAK_00902	K01892
BJLGFBAK_00903	K01892
BJLGFBAK_00904	K00765
BJLGFBAK_00906	K00525
BJLGFBAK_00912	K01755
BJLGFBAK_00914	K01586
BJLGFBAK_00917	K09812
BJLGFBAK_00919	K00655
BJLGFBAK_00920	K07006
BJLGFBAK_00923	K00382
BJLGFBAK_00924	K00658
BJLGFBAK_00925	K00164
BJLGFBAK_00927	K01902
BJLGFBAK_00929	K01903
BJLGFBAK_00930	K00024
BJLGFBAK_00932	K00863
BJLGFBAK_00936	K00010
BJLGFBAK_00937	K01624
BJLGFBAK_00939	K03338
BJLGFBAK_00941	K03336
BJLGFBAK_00947	K05936
BJLGFBAK_00949	K00595
BJLGFBAK_00950	K05895
BJLGFBAK_00951	K13540
BJLGFBAK_00952	K13540
BJLGFBAK_00953	K06042
BJLGFBAK_00954	K02229
BJLGFBAK_00955	K02230
BJLGFBAK_00956	K02234
BJLGFBAK_00959	K19221
BJLGFBAK_00960	K02232
BJLGFBAK_00961	K00249
BJLGFBAK_00964	K06173
BJLGFBAK_00969	K02337
BJLGFBAK_00970	K13481
BJLGFBAK_00971	K13482
BJLGFBAK_00972	K07402
BJLGFBAK_00973	K23537
BJLGFBAK_00974	K23535
BJLGFBAK_00976	K23536
BJLGFBAK_00977	K07335
BJLGFBAK_00978	K00799
BJLGFBAK_00979	K19265
BJLGFBAK_00987	K11717
BJLGFBAK_00990	K09015
BJLGFBAK_00991	K09013
BJLGFBAK_00992	K09014
BJLGFBAK_00993	K04487
BJLGFBAK_00995	K02992
BJLGFBAK_00996	K02950
BJLGFBAK_01000	K02528
BJLGFBAK_01002	K02493
BJLGFBAK_01003	K02835
BJLGFBAK_01005	K01480
BJLGFBAK_01006	K01480
BJLGFBAK_01007	K01436
BJLGFBAK_01008	K04765
BJLGFBAK_01010	K01250
BJLGFBAK_01015	K10764
BJLGFBAK_01016	K09007
BJLGFBAK_01018	K03498
BJLGFBAK_01019	K01652
BJLGFBAK_01021	K01878
BJLGFBAK_01023	K01879
BJLGFBAK_01024	K01006
BJLGFBAK_01027	K00796
BJLGFBAK_01028	K03431
BJLGFBAK_01031	K00053
BJLGFBAK_01033	K00605
BJLGFBAK_01035	K04564
BJLGFBAK_01036	K22522
BJLGFBAK_01037	K00265
BJLGFBAK_01039	K03814
BJLGFBAK_01040	K00799
BJLGFBAK_01041	K18979
BJLGFBAK_01042	K01469
BJLGFBAK_01043	K07304
BJLGFBAK_01044	K07305
BJLGFBAK_01046	K00128
BJLGFBAK_01047	K00130
BJLGFBAK_01054	K02013
BJLGFBAK_01056	K00600
BJLGFBAK_01057	K01595
BJLGFBAK_01058	K00058
BJLGFBAK_01059	K01902
BJLGFBAK_01060	K01903
BJLGFBAK_01061	K00830
BJLGFBAK_01062	K02479
BJLGFBAK_01063	K01733
BJLGFBAK_01064	K14998
BJLGFBAK_01065	K02262
BJLGFBAK_01066	K02258
BJLGFBAK_01068	K02257
BJLGFBAK_01069	K02275
BJLGFBAK_01070	K03568
BJLGFBAK_01072	K03518
BJLGFBAK_01074	K03520
BJLGFBAK_01075	K03519
BJLGFBAK_01076	K00857
BJLGFBAK_01077	K00015
BJLGFBAK_01078	K06878
BJLGFBAK_01079	K00286
BJLGFBAK_01083	K11072
BJLGFBAK_01084	K11071
BJLGFBAK_01085	K11070
BJLGFBAK_01086	K11069
BJLGFBAK_01087	K11407
BJLGFBAK_01088	K14541
BJLGFBAK_01089	K13566
BJLGFBAK_01091	K04763
BJLGFBAK_01095	K03977
BJLGFBAK_01098	K06902
BJLGFBAK_01101	K03654
BJLGFBAK_01102	K09861
BJLGFBAK_01107	K00982
BJLGFBAK_01109	K00548
BJLGFBAK_01110	K00548
BJLGFBAK_01112	K02426
BJLGFBAK_01116	K11963
BJLGFBAK_01117	K11962
BJLGFBAK_01118	K11961
BJLGFBAK_01119	K11960
BJLGFBAK_01122	K01119
BJLGFBAK_01123	K07303
BJLGFBAK_01126	K02346
BJLGFBAK_01129	K02919
BJLGFBAK_01130	K11209
BJLGFBAK_01131	K02011
BJLGFBAK_01132	K01912
BJLGFBAK_01133	K01996
BJLGFBAK_01135	K01998
BJLGFBAK_01137	K01997
BJLGFBAK_01139	K01995
BJLGFBAK_01140	K01897
BJLGFBAK_01141	K02083
BJLGFBAK_01142	K02567
BJLGFBAK_01150	K19302
BJLGFBAK_01153	K07025
BJLGFBAK_01154	K06891
BJLGFBAK_01155	K00564
BJLGFBAK_01156	K00059
BJLGFBAK_01157	K00228
BJLGFBAK_01159	K01749
BJLGFBAK_01160	K01599
BJLGFBAK_01165	K00015
BJLGFBAK_01167	K01563
BJLGFBAK_01168	K00344
BJLGFBAK_01171	K00615
BJLGFBAK_01172	K09781
BJLGFBAK_01173	K00019
BJLGFBAK_01175	K01271
BJLGFBAK_01176	K01759
BJLGFBAK_01180	K03406
BJLGFBAK_01183	K04763
BJLGFBAK_01186	K11209
BJLGFBAK_01188	K01890
BJLGFBAK_01189	K01889
BJLGFBAK_01190	K02887
BJLGFBAK_01191	K02916
BJLGFBAK_01193	K00873
BJLGFBAK_01197	K00826
BJLGFBAK_01199	K21231
BJLGFBAK_01200	K00858
BJLGFBAK_01201	K00600
BJLGFBAK_01202	K13703
BJLGFBAK_01203	K00574
BJLGFBAK_01205	K01955
BJLGFBAK_01208	K10118
BJLGFBAK_01210	K02025
BJLGFBAK_01211	K02026
BJLGFBAK_01213	K10112
BJLGFBAK_01214	K10112
BJLGFBAK_01215	K00863
BJLGFBAK_01223	K03431
BJLGFBAK_01225	K00651
BJLGFBAK_01229	K01754
BJLGFBAK_01230	K01940
BJLGFBAK_01231	K07304
BJLGFBAK_01232	K00852
BJLGFBAK_01233	K00029
BJLGFBAK_01234	K03639
BJLGFBAK_01235	K02527
BJLGFBAK_01237	K01704
BJLGFBAK_01238	K01703
BJLGFBAK_01239	K22368
BJLGFBAK_01244	K03635
BJLGFBAK_01246	K02045
BJLGFBAK_01252	K03417
BJLGFBAK_01254	K01915
BJLGFBAK_01258	K02410
BJLGFBAK_01262	K01681
BJLGFBAK_01263	K06287
BJLGFBAK_01264	K08300
BJLGFBAK_01268	K01486
BJLGFBAK_01270	K01933
BJLGFBAK_01271	K11175
BJLGFBAK_01272	K03684
BJLGFBAK_01273	K05396
BJLGFBAK_01274	K21645
BJLGFBAK_01278	K07387
BJLGFBAK_01281	K00950
BJLGFBAK_01283	K00951
BJLGFBAK_01284	K09928
BJLGFBAK_01285	K03474
BJLGFBAK_01287	K00997
BJLGFBAK_01288	K03100
BJLGFBAK_01289	K03685
BJLGFBAK_01290	K00758
BJLGFBAK_01291	K01839
BJLGFBAK_01293	K06181
BJLGFBAK_01294	K06196
BJLGFBAK_01296	K08300
BJLGFBAK_01298	K03500
BJLGFBAK_01299	K00088
BJLGFBAK_01300	K01480
BJLGFBAK_01311	K11529
BJLGFBAK_01314	K01835
BJLGFBAK_01315	K00681
BJLGFBAK_01317	K01436
BJLGFBAK_01321	K03780
BJLGFBAK_01322	K01677
BJLGFBAK_01323	K00239
BJLGFBAK_01326	K00235
BJLGFBAK_01327	K18369
BJLGFBAK_01328	K00135
BJLGFBAK_01331	K03566
BJLGFBAK_01332	K00108
BJLGFBAK_01333	K00052
BJLGFBAK_01336	K01704
BJLGFBAK_01337	K01703
BJLGFBAK_01338	K01972
BJLGFBAK_01348	K22044
BJLGFBAK_01349	K05592
BJLGFBAK_01350	K02034
BJLGFBAK_01351	K02033
BJLGFBAK_01352	K02035
BJLGFBAK_01353	K02031
BJLGFBAK_01355	K07516
BJLGFBAK_01359	K05607
BJLGFBAK_01360	K01897
BJLGFBAK_01361	K01783
BJLGFBAK_01362	K08679
BJLGFBAK_01367	K03621
BJLGFBAK_01368	K00648
BJLGFBAK_01369	K04764
BJLGFBAK_01374	K06024
BJLGFBAK_01375	K05896
BJLGFBAK_01376	K01207
BJLGFBAK_01378	K01908
BJLGFBAK_01379	K01913
BJLGFBAK_01383	K01782
BJLGFBAK_01390	K18652
BJLGFBAK_01393	K02525
BJLGFBAK_01394	K10441
BJLGFBAK_01395	K10440
BJLGFBAK_01396	K17213
BJLGFBAK_01401	K02836
BJLGFBAK_01402	K02433
BJLGFBAK_01404	K00499
BJLGFBAK_01405	K15738
BJLGFBAK_01406	K08683
BJLGFBAK_01407	K00566
BJLGFBAK_01409	K02483
BJLGFBAK_01412	K08311
BJLGFBAK_01413	K00219
BJLGFBAK_01419	K03742
BJLGFBAK_01420	K06206
BJLGFBAK_01421	K01265
BJLGFBAK_01424	K11187
BJLGFBAK_01425	K01724
BJLGFBAK_01426	K09919
BJLGFBAK_01429	K02022
BJLGFBAK_01430	K16299
BJLGFBAK_01431	K16299
BJLGFBAK_01433	K03404
BJLGFBAK_01434	K03405
BJLGFBAK_01436	K10027
BJLGFBAK_01437	K02291
BJLGFBAK_01438	K05770
BJLGFBAK_01441	K13789
BJLGFBAK_01445	K10112
BJLGFBAK_01446	K00167
BJLGFBAK_01447	K07481
BJLGFBAK_01449	K03324
BJLGFBAK_01451	K02198
BJLGFBAK_01452	K02200
BJLGFBAK_01453	K15866
BJLGFBAK_01456	K01647
BJLGFBAK_01458	K01593
BJLGFBAK_01459	K00446
BJLGFBAK_01460	K00151
BJLGFBAK_01466	K07258
BJLGFBAK_01467	K00943
BJLGFBAK_01468	K02341
BJLGFBAK_01469	K03424
BJLGFBAK_01470	K06167
BJLGFBAK_01472	K00573
BJLGFBAK_01473	K12340
BJLGFBAK_01476	K02356
BJLGFBAK_01477	K22073
BJLGFBAK_01478	K00626
BJLGFBAK_01487	K01704
BJLGFBAK_01488	K01703
BJLGFBAK_01489	K03710
BJLGFBAK_01492	K03790
BJLGFBAK_01494	K18204
BJLGFBAK_01495	K20344
BJLGFBAK_01496	K02355
BJLGFBAK_01497	K02358
BJLGFBAK_01498	K02946
BJLGFBAK_01499	K02906
BJLGFBAK_01500	K02926
BJLGFBAK_01501	K02892
BJLGFBAK_01503	K02886
BJLGFBAK_01504	K02965
BJLGFBAK_01505	K02890
BJLGFBAK_01506	K02982
BJLGFBAK_01507	K02878
BJLGFBAK_01512	K07497
BJLGFBAK_01517	K02622
BJLGFBAK_01519	K00073
BJLGFBAK_01521	K09810
BJLGFBAK_01522	K09808
BJLGFBAK_01524	K01881
BJLGFBAK_01528	K00937
BJLGFBAK_01529	K01524
BJLGFBAK_01532	K03801
BJLGFBAK_01539	K03644
BJLGFBAK_01540	K00760
BJLGFBAK_01541	K18588
BJLGFBAK_01543	K03743
BJLGFBAK_01544	K01095
BJLGFBAK_01545	K01770
BJLGFBAK_01546	K00991
BJLGFBAK_01547	K05540
BJLGFBAK_01548	K07708
BJLGFBAK_01549	K07713
BJLGFBAK_01551	K02025
BJLGFBAK_01553	K13953
BJLGFBAK_01554	K01945
BJLGFBAK_01555	K03601
BJLGFBAK_01557	K00335
BJLGFBAK_01560	K11249
BJLGFBAK_01561	K02899
BJLGFBAK_01562	K02888
BJLGFBAK_01565	K01754
BJLGFBAK_01568	K03775
BJLGFBAK_01569	K00208
BJLGFBAK_01570	K09458
BJLGFBAK_01571	K01716
BJLGFBAK_01579	K03564
BJLGFBAK_01581	K07568
BJLGFBAK_01584	K00382
BJLGFBAK_01590	K01439
BJLGFBAK_01591	K10797
BJLGFBAK_01593	K09472
BJLGFBAK_01596	K07222
BJLGFBAK_01599	K01658
BJLGFBAK_01600	K00766
BJLGFBAK_01603	K02488
BJLGFBAK_01615	K02400
BJLGFBAK_01617	K02401
BJLGFBAK_01620	K02393
BJLGFBAK_01622	K02392
BJLGFBAK_01623	K02392
BJLGFBAK_01626	K02388
BJLGFBAK_01628	K02412
BJLGFBAK_01630	K03074
BJLGFBAK_01631	K03072
BJLGFBAK_01632	K03210
BJLGFBAK_01634	K04077
BJLGFBAK_01639	K09469
BJLGFBAK_01645	K14656
BJLGFBAK_01650	K13636
BJLGFBAK_01655	K10016
BJLGFBAK_01656	K10037
BJLGFBAK_01657	K02028
BJLGFBAK_01661	K07115
BJLGFBAK_01662	K01937
BJLGFBAK_01669	K01939
BJLGFBAK_01674	K01752
BJLGFBAK_01675	K00575
BJLGFBAK_01676	K03408
BJLGFBAK_01677	K03407
BJLGFBAK_01678	K03413
BJLGFBAK_01680	K00548
BJLGFBAK_01683	K01524
