MNBOMGJM_00001	K03784
MNBOMGJM_00660	K03925
MNBOMGJM_00661	K03438
MNBOMGJM_00663	K03587
MNBOMGJM_00664	K01929
MNBOMGJM_00665	K01000
MNBOMGJM_00666	K01925
MNBOMGJM_00667	K03588
MNBOMGJM_00668	K02563
MNBOMGJM_00670	K01924
MNBOMGJM_00672	K00075
MNBOMGJM_00673	K01921
MNBOMGJM_00675	K03590
MNBOMGJM_00676	K03531
MNBOMGJM_00678	K00622
MNBOMGJM_00683	K01689
MNBOMGJM_00684	K01937
MNBOMGJM_00685	K07131
MNBOMGJM_00686	K01056
MNBOMGJM_00687	K03723
MNBOMGJM_00692	K02483
MNBOMGJM_00695	K04759
MNBOMGJM_00696	K04759
MNBOMGJM_00697	K03709
MNBOMGJM_00698	K03709
MNBOMGJM_00700	K01902
MNBOMGJM_00701	K01903
MNBOMGJM_00702	K12035
MNBOMGJM_00703	K06941
MNBOMGJM_00704	K19269
MNBOMGJM_00706	K01358
MNBOMGJM_00707	K03545
MNBOMGJM_00711	K04763
MNBOMGJM_00714	K06147
MNBOMGJM_00715	K06147
MNBOMGJM_00717	K02485
MNBOMGJM_00718	K07678
MNBOMGJM_00721	K03406
MNBOMGJM_00728	K03496
MNBOMGJM_00729	K11527
MNBOMGJM_00730	K01733
MNBOMGJM_00732	K11329
MNBOMGJM_00733	K07709
MNBOMGJM_00734	K07710
MNBOMGJM_00736	K01848
MNBOMGJM_00747	K03100
MNBOMGJM_00751	K03427
MNBOMGJM_00752	K03427
MNBOMGJM_00753	K01154
MNBOMGJM_00764	K01488
MNBOMGJM_00768	K03297
MNBOMGJM_00772	K07025
MNBOMGJM_00773	K00344
MNBOMGJM_00775	K11617
MNBOMGJM_00776	K11618
MNBOMGJM_00780	K06400
MNBOMGJM_00787	K03470
MNBOMGJM_00788	K00729
MNBOMGJM_00791	K07658
MNBOMGJM_00792	K12410
MNBOMGJM_00793	K07636
MNBOMGJM_00794	K00001
MNBOMGJM_00795	K02343
MNBOMGJM_00796	K06949
MNBOMGJM_00797	K05515
MNBOMGJM_00798	K06287
MNBOMGJM_00799	K03816
MNBOMGJM_00800	K01951
MNBOMGJM_00808	K20074
MNBOMGJM_00810	K08296
MNBOMGJM_00811	K01733
MNBOMGJM_00813	K01494
MNBOMGJM_00815	K13990
MNBOMGJM_00818	K08680
MNBOMGJM_00819	K01745
MNBOMGJM_00822	K14126
MNBOMGJM_00823	K14128
MNBOMGJM_00824	K02823
MNBOMGJM_00825	K16950
MNBOMGJM_00827	K02379
MNBOMGJM_00829	K00334
MNBOMGJM_00830	K18331
MNBOMGJM_00831	K00336
MNBOMGJM_00832	K00123
MNBOMGJM_00834	K01835
MNBOMGJM_00835	K01890
MNBOMGJM_00836	K01889
MNBOMGJM_00837	K10678
MNBOMGJM_00838	K05592
MNBOMGJM_00850	K01501
MNBOMGJM_00852	K03572
MNBOMGJM_00855	K03797
MNBOMGJM_00856	K06973
MNBOMGJM_00859	K06877
MNBOMGJM_00864	K02577
MNBOMGJM_00865	K02469
MNBOMGJM_00867	K03524
MNBOMGJM_00868	K06194
MNBOMGJM_00869	K03628
MNBOMGJM_00870	K05658
MNBOMGJM_00871	K00426
MNBOMGJM_00872	K00425
MNBOMGJM_00879	K04069
MNBOMGJM_00880	K00656
MNBOMGJM_00883	K00645
MNBOMGJM_00884	K02911
MNBOMGJM_00889	K03072
MNBOMGJM_00890	K03074
MNBOMGJM_00893	K00812
MNBOMGJM_00898	K01295
MNBOMGJM_00899	K06153
MNBOMGJM_00900	K00773
MNBOMGJM_00901	K18166
MNBOMGJM_00912	K07052
MNBOMGJM_00913	K02550
MNBOMGJM_00915	K07025
MNBOMGJM_00918	K07478
MNBOMGJM_00924	K06208
MNBOMGJM_00925	K03856
MNBOMGJM_00926	K03856
MNBOMGJM_00927	K04517
MNBOMGJM_00928	K00800
MNBOMGJM_00929	K00014
MNBOMGJM_00930	K01736
MNBOMGJM_00931	K01735
MNBOMGJM_00932	K03786
MNBOMGJM_00933	K10206
MNBOMGJM_00934	K04518
MNBOMGJM_00936	K18455
MNBOMGJM_00949	K07404
MNBOMGJM_00951	K01841
MNBOMGJM_00952	K00058
MNBOMGJM_00965	K16870
MNBOMGJM_00967	K01790
MNBOMGJM_00969	K00978
MNBOMGJM_00975	K09775
MNBOMGJM_00977	K03601
MNBOMGJM_00980	K02799
MNBOMGJM_00981	K02799
MNBOMGJM_00982	K02798
MNBOMGJM_00983	K08483
MNBOMGJM_00984	K19956
MNBOMGJM_00985	K00882
MNBOMGJM_00990	K05349
MNBOMGJM_00994	K06607
MNBOMGJM_00997	K05349
MNBOMGJM_00998	K02026
MNBOMGJM_00999	K02025
MNBOMGJM_01001	K02529
MNBOMGJM_01012	K03496
MNBOMGJM_01016	K03733
MNBOMGJM_01041	K02483
MNBOMGJM_01051	K02468
MNBOMGJM_01053	K00315
MNBOMGJM_01055	K07053
MNBOMGJM_01057	K03710
MNBOMGJM_01058	K12368
MNBOMGJM_01059	K14963
MNBOMGJM_01071	K01868
MNBOMGJM_01075	K17247
MNBOMGJM_01076	K07147
MNBOMGJM_01079	K07651
MNBOMGJM_01080	K02483
MNBOMGJM_01082	K00240
MNBOMGJM_01083	K00239
MNBOMGJM_01086	K03886
MNBOMGJM_01087	K03887
MNBOMGJM_01093	K07052
MNBOMGJM_01094	K02567
MNBOMGJM_01102	K05349
MNBOMGJM_01104	K05349
MNBOMGJM_01105	K21498
MNBOMGJM_01106	K07334
MNBOMGJM_01116	K11179
MNBOMGJM_01118	K17218
MNBOMGJM_01123	K09013
MNBOMGJM_01124	K09014
MNBOMGJM_01125	K09015
MNBOMGJM_01127	K11717
MNBOMGJM_01128	K04488
MNBOMGJM_01131	K08242
MNBOMGJM_01132	K01892
MNBOMGJM_01136	K07652
MNBOMGJM_01138	K02338
MNBOMGJM_01139	K01462
MNBOMGJM_01140	K03629
MNBOMGJM_01145	K00849
MNBOMGJM_01149	K00849
MNBOMGJM_01150	K00965
MNBOMGJM_01151	K07406
MNBOMGJM_01155	K12308
MNBOMGJM_01156	K05815
MNBOMGJM_01157	K17245
MNBOMGJM_01160	K03742
MNBOMGJM_01162	K03703
MNBOMGJM_01163	K07671
MNBOMGJM_01164	K02835
MNBOMGJM_01165	K02493
MNBOMGJM_01166	K07566
MNBOMGJM_01167	K02485
MNBOMGJM_01169	K10955
MNBOMGJM_01172	K01005
MNBOMGJM_01182	K08669
MNBOMGJM_01185	K03980
MNBOMGJM_01186	K00790
MNBOMGJM_01189	K00254
MNBOMGJM_01193	K15866
MNBOMGJM_01194	K00549
MNBOMGJM_01197	K07005
MNBOMGJM_01198	K02434
MNBOMGJM_01199	K00261
MNBOMGJM_01206	K09927
MNBOMGJM_01209	K21814
MNBOMGJM_01213	K03671
MNBOMGJM_01215	K03787
MNBOMGJM_01217	K09679
MNBOMGJM_01219	K00020
MNBOMGJM_01223	K06915
MNBOMGJM_01225	K11624
MNBOMGJM_01226	K11623
MNBOMGJM_01234	K07107
MNBOMGJM_01238	K02034
MNBOMGJM_01240	K15582
MNBOMGJM_01241	K15581
MNBOMGJM_01242	K15580
MNBOMGJM_01243	K02032
MNBOMGJM_01244	K15583
MNBOMGJM_01245	K03282
MNBOMGJM_01246	K03657
MNBOMGJM_01248	K01057
MNBOMGJM_01252	K00382
MNBOMGJM_01254	K05777
MNBOMGJM_01255	K05778
MNBOMGJM_01256	K02026
MNBOMGJM_01257	K11072
MNBOMGJM_01263	K03218
MNBOMGJM_01264	K05350
MNBOMGJM_01267	K02199
MNBOMGJM_01270	K01895
MNBOMGJM_01276	K03584
MNBOMGJM_01277	K01489
MNBOMGJM_01278	K03699
MNBOMGJM_01279	K04042
MNBOMGJM_01285	K00858
MNBOMGJM_01287	K03631
MNBOMGJM_01291	K03595
MNBOMGJM_01294	K07304
MNBOMGJM_01295	K03696
MNBOMGJM_01297	K05366
MNBOMGJM_01299	K00796
MNBOMGJM_01301	K00950
MNBOMGJM_01302	K00626
MNBOMGJM_01304	K00428
MNBOMGJM_01309	K09815
MNBOMGJM_01310	K11710
MNBOMGJM_01311	K19972
MNBOMGJM_01312	K03088
MNBOMGJM_01315	K11161
MNBOMGJM_01319	K01711
MNBOMGJM_01329	K16048
MNBOMGJM_01330	K09141
MNBOMGJM_01331	K03466
MNBOMGJM_01333	K05396
MNBOMGJM_01334	K03820
MNBOMGJM_01335	K01187
MNBOMGJM_01337	K07636
MNBOMGJM_01338	K22928
MNBOMGJM_01340	K07477
MNBOMGJM_01342	K01468
MNBOMGJM_01343	K00286
MNBOMGJM_01344	K00382
MNBOMGJM_01345	K07149
MNBOMGJM_01347	K02503
MNBOMGJM_01353	K07124
MNBOMGJM_01358	K02636
MNBOMGJM_01360	K00412
MNBOMGJM_01361	K00266
MNBOMGJM_01362	K08223
MNBOMGJM_01364	K03553
MNBOMGJM_01366	K03641
MNBOMGJM_01368	K06180
MNBOMGJM_01370	K01126
MNBOMGJM_01371	K03333
MNBOMGJM_01372	K00297
MNBOMGJM_01373	K22882
MNBOMGJM_01376	K00198
MNBOMGJM_01377	K00193
MNBOMGJM_01378	K00197
MNBOMGJM_01380	K00548
MNBOMGJM_01383	K07321
MNBOMGJM_01384	K07321
MNBOMGJM_01386	K00074
MNBOMGJM_01387	K00626
MNBOMGJM_01388	K02484
MNBOMGJM_01392	K11529
MNBOMGJM_01393	K04343
MNBOMGJM_01397	K15724
MNBOMGJM_01398	K15987
MNBOMGJM_01399	K06213
MNBOMGJM_01400	K03281
MNBOMGJM_01401	K07507
MNBOMGJM_01403	K03664
MNBOMGJM_01404	K07001
MNBOMGJM_01408	K06196
MNBOMGJM_01410	K05810
MNBOMGJM_01411	K06997
MNBOMGJM_01414	K08309
MNBOMGJM_01415	K03783
MNBOMGJM_01419	K02945
MNBOMGJM_01420	K03466
MNBOMGJM_01421	K00995
MNBOMGJM_01422	K13292
MNBOMGJM_01423	K01990
MNBOMGJM_01425	K00784
MNBOMGJM_01427	K01866
MNBOMGJM_01429	K00058
MNBOMGJM_01431	K01839
MNBOMGJM_01439	K03405
MNBOMGJM_01443	K08678
MNBOMGJM_01446	K06024
MNBOMGJM_01447	K06178
MNBOMGJM_01448	K02888
MNBOMGJM_01449	K02899
MNBOMGJM_01450	K02909
MNBOMGJM_01451	K00857
MNBOMGJM_01452	K00760
MNBOMGJM_01453	K00970
MNBOMGJM_01454	K02483
MNBOMGJM_01455	K01006
MNBOMGJM_01462	K02495
MNBOMGJM_01464	K02433
MNBOMGJM_01465	K00288
MNBOMGJM_01466	K06981
MNBOMGJM_01469	K16329
MNBOMGJM_01474	K08970
MNBOMGJM_01475	K01634
MNBOMGJM_01476	K21063
MNBOMGJM_01477	K07335
MNBOMGJM_01478	K03522
MNBOMGJM_01479	K03521
MNBOMGJM_01480	K00252
MNBOMGJM_01484	K07082
MNBOMGJM_01487	K21147
MNBOMGJM_01488	K03636
MNBOMGJM_01490	K01738
MNBOMGJM_01491	K01176
MNBOMGJM_01494	K02523
MNBOMGJM_01495	K03424
MNBOMGJM_01497	K00566
MNBOMGJM_01503	K01299
MNBOMGJM_01506	K00266
MNBOMGJM_01508	K02003
MNBOMGJM_01509	K02004
MNBOMGJM_01510	K01667
MNBOMGJM_01511	K03719
MNBOMGJM_01513	K12736
MNBOMGJM_01514	K03975
MNBOMGJM_01516	K03977
MNBOMGJM_01518	K18672
MNBOMGJM_01519	K00859
MNBOMGJM_01520	K19286
MNBOMGJM_01522	K12960
MNBOMGJM_01525	K13069
MNBOMGJM_01530	K11749
MNBOMGJM_01531	K01597
MNBOMGJM_01538	K03699
MNBOMGJM_01542	K07709
MNBOMGJM_01543	K07658
MNBOMGJM_01544	K04063
MNBOMGJM_01545	K07243
MNBOMGJM_01546	K03709
MNBOMGJM_01547	K02006
MNBOMGJM_01548	K02008
MNBOMGJM_01549	K02007
MNBOMGJM_01550	K09825
MNBOMGJM_01553	K11749
MNBOMGJM_01556	K01512
MNBOMGJM_01557	K03630
MNBOMGJM_01561	K07874
MNBOMGJM_01564	K03404
MNBOMGJM_01565	K03405
MNBOMGJM_01566	K02945
MNBOMGJM_01570	K03710
MNBOMGJM_01571	K01808
MNBOMGJM_01572	K01619
MNBOMGJM_01575	K04072
MNBOMGJM_01576	K04027
MNBOMGJM_01577	K04024
MNBOMGJM_01582	K01580
MNBOMGJM_01583	K14156
MNBOMGJM_01584	K12132
MNBOMGJM_01585	K02483
MNBOMGJM_01587	K00087
MNBOMGJM_01589	K01733
MNBOMGJM_01598	K03551
MNBOMGJM_01600	K03630
MNBOMGJM_01602	K07334
MNBOMGJM_01603	K21498
MNBOMGJM_01608	K13533
MNBOMGJM_01609	K01872
MNBOMGJM_01612	K06911
MNBOMGJM_01613	K01515
MNBOMGJM_01618	K02549
MNBOMGJM_01620	K07130
MNBOMGJM_01625	K16871
MNBOMGJM_01626	K04078
MNBOMGJM_01627	K00384
MNBOMGJM_01628	K00024
MNBOMGJM_01629	K01647
MNBOMGJM_01632	K03575
MNBOMGJM_01639	K03521
MNBOMGJM_01640	K03522
MNBOMGJM_01642	K07710
MNBOMGJM_01643	K11527
MNBOMGJM_01645	K03390
MNBOMGJM_01646	K03389
MNBOMGJM_01647	K03388
MNBOMGJM_01649	K14128
MNBOMGJM_01650	K14126
MNBOMGJM_01652	K19578
MNBOMGJM_01656	K04654
MNBOMGJM_01657	K04653
MNBOMGJM_01658	K04656
MNBOMGJM_01659	K04652
MNBOMGJM_01663	K21071
MNBOMGJM_01664	K05786
MNBOMGJM_01665	K07695
MNBOMGJM_01666	K07658
MNBOMGJM_01669	K07114
MNBOMGJM_01670	K20074
MNBOMGJM_01671	K08884
MNBOMGJM_01673	K23734
MNBOMGJM_01676	K02041
MNBOMGJM_01678	K03748
MNBOMGJM_01679	K06951
MNBOMGJM_01680	K02231
MNBOMGJM_01681	K02232
MNBOMGJM_01682	K02233
MNBOMGJM_01683	K00768
MNBOMGJM_01684	K19221
MNBOMGJM_01685	K02013
MNBOMGJM_01686	K02015
MNBOMGJM_01687	K02016
MNBOMGJM_01688	K16264
MNBOMGJM_01690	K01069
MNBOMGJM_01691	K08151
MNBOMGJM_01692	K03928
MNBOMGJM_01693	K01262
MNBOMGJM_01694	K07124
MNBOMGJM_01696	K01338
MNBOMGJM_01697	K11754
MNBOMGJM_01700	K02939
MNBOMGJM_01702	K14441
MNBOMGJM_01703	K01082
MNBOMGJM_01712	K00059
MNBOMGJM_01715	K07668
MNBOMGJM_01716	K07636
MNBOMGJM_01717	K07658
MNBOMGJM_01718	K14330
MNBOMGJM_01720	K15892
MNBOMGJM_01726	K04567
MNBOMGJM_01730	K18453
MNBOMGJM_01731	K06990
MNBOMGJM_01732	K04075
MNBOMGJM_01733	K07651
MNBOMGJM_01735	K03606
MNBOMGJM_01736	K01784
MNBOMGJM_01737	K19421
MNBOMGJM_01740	K05396
MNBOMGJM_01741	K22205
MNBOMGJM_01742	K01434
MNBOMGJM_01745	K03118
MNBOMGJM_01747	K03625
MNBOMGJM_01749	K00059
MNBOMGJM_01752	K19689
MNBOMGJM_01753	K01772
MNBOMGJM_01754	K00231
MNBOMGJM_01759	K02897
MNBOMGJM_01763	K07442
MNBOMGJM_01772	K01990
MNBOMGJM_01773	K01992
MNBOMGJM_01774	K01992
MNBOMGJM_01775	K01990
MNBOMGJM_01779	K13770
MNBOMGJM_01784	K13444
MNBOMGJM_01787	K01482
MNBOMGJM_01790	K04069
MNBOMGJM_01791	K00872
MNBOMGJM_01794	K11717
MNBOMGJM_01796	K05540
MNBOMGJM_01799	K01784
MNBOMGJM_01800	K02433
MNBOMGJM_01801	K02435
MNBOMGJM_01804	K01845
MNBOMGJM_01805	K00231
MNBOMGJM_01806	K01599
MNBOMGJM_01808	K01698
MNBOMGJM_01809	K01719
MNBOMGJM_01810	K01749
MNBOMGJM_01811	K02492
MNBOMGJM_01815	K00820
MNBOMGJM_01826	K01356
MNBOMGJM_01827	K02935
MNBOMGJM_01828	K02864
MNBOMGJM_01829	K02863
MNBOMGJM_01830	K02867
MNBOMGJM_01831	K02601
MNBOMGJM_01834	K02913
MNBOMGJM_01835	K02358
MNBOMGJM_01837	K07814
MNBOMGJM_01838	K11527
MNBOMGJM_01839	K15553
MNBOMGJM_01840	K07636
MNBOMGJM_01855	K22224
MNBOMGJM_01857	K01042
MNBOMGJM_01858	K01271
MNBOMGJM_01861	K01409
MNBOMGJM_01863	K00651
MNBOMGJM_01864	K01740
MNBOMGJM_01865	K03469
MNBOMGJM_01870	K09808
MNBOMGJM_01871	K02004
MNBOMGJM_01872	K02003
MNBOMGJM_01878	K00567
MNBOMGJM_01880	K02499
MNBOMGJM_01881	K02996
MNBOMGJM_01882	K02871
MNBOMGJM_01883	K06173
MNBOMGJM_01884	K02879
MNBOMGJM_01885	K03040
MNBOMGJM_01886	K02986
MNBOMGJM_01887	K02948
MNBOMGJM_01888	K02952
MNBOMGJM_01889	K01265
MNBOMGJM_01890	K00939
MNBOMGJM_01891	K03076
MNBOMGJM_01892	K02876
MNBOMGJM_01893	K02907
MNBOMGJM_01894	K02988
MNBOMGJM_01895	K02881
MNBOMGJM_01896	K02933
MNBOMGJM_01897	K02994
MNBOMGJM_01898	K02954
MNBOMGJM_01899	K02931
MNBOMGJM_01900	K02895
MNBOMGJM_01901	K02874
MNBOMGJM_01902	K02961
MNBOMGJM_01904	K02878
MNBOMGJM_01905	K02982
MNBOMGJM_01906	K02890
MNBOMGJM_01907	K02965
MNBOMGJM_01908	K02886
MNBOMGJM_01909	K02892
MNBOMGJM_01910	K02926
MNBOMGJM_01911	K02906
MNBOMGJM_01912	K02946
MNBOMGJM_01913	K02358
MNBOMGJM_01914	K02355
MNBOMGJM_01915	K02992
MNBOMGJM_01916	K02950
MNBOMGJM_01917	K03043
MNBOMGJM_01918	K06902
MNBOMGJM_01919	K01845
MNBOMGJM_01921	K00812
MNBOMGJM_01922	K00606
MNBOMGJM_01923	K01758
MNBOMGJM_01924	K05800
