AOJABBKC_00001	K03561
AOJABBKC_00130	K00018
AOJABBKC_00131	K21071
AOJABBKC_00132	K02558
AOJABBKC_00133	K07560
AOJABBKC_00134	K01259
AOJABBKC_00135	K01246
AOJABBKC_00136	K06207
AOJABBKC_00137	K03151
AOJABBKC_00138	K01915
AOJABBKC_00139	K07708
AOJABBKC_00140	K07712
AOJABBKC_00141	K03071
AOJABBKC_00142	K03676
AOJABBKC_00144	K07053
AOJABBKC_00145	K02742
AOJABBKC_00146	K07461
AOJABBKC_00147	K03710
AOJABBKC_00151	K00134
AOJABBKC_00152	K03775
AOJABBKC_00153	K07657
AOJABBKC_00154	K07636
AOJABBKC_00155	K05607
AOJABBKC_00156	K01913
AOJABBKC_00158	K02040
AOJABBKC_00159	K02037
AOJABBKC_00160	K02038
AOJABBKC_00161	K02036
AOJABBKC_00162	K02039
AOJABBKC_00163	K12941
AOJABBKC_00165	K01662
AOJABBKC_00166	K13789
AOJABBKC_00168	K03308
AOJABBKC_00169	K11927
AOJABBKC_00170	K03321
AOJABBKC_00173	K04079
AOJABBKC_00174	K00057
AOJABBKC_00178	K01495
AOJABBKC_00179	K07320
AOJABBKC_00180	K01736
AOJABBKC_00182	K01703
AOJABBKC_00183	K01704
AOJABBKC_00184	K00052
AOJABBKC_00185	K00133
AOJABBKC_00187	K06173
AOJABBKC_00188	K01817
AOJABBKC_00189	K01963
AOJABBKC_00190	K11754
AOJABBKC_00192	K03558
AOJABBKC_00193	K00764
AOJABBKC_00194	K07304
AOJABBKC_00195	K13892
AOJABBKC_00196	K15582
AOJABBKC_00197	K15581
AOJABBKC_00198	K15580
AOJABBKC_00199	K02343
AOJABBKC_00200	K09747
AOJABBKC_00201	K06187
AOJABBKC_00202	K03684
AOJABBKC_00204	K09160
AOJABBKC_00207	K03088
AOJABBKC_00211	K01897
AOJABBKC_00212	K03314
AOJABBKC_00213	K03426
AOJABBKC_00214	K04774
AOJABBKC_00215	K03455
AOJABBKC_00217	K03517
AOJABBKC_00219	K03548
AOJABBKC_00220	K00163
AOJABBKC_00221	K00627
AOJABBKC_00222	K01759
AOJABBKC_00223	K09919
AOJABBKC_00224	K00209
AOJABBKC_00225	K12974
AOJABBKC_00226	K01714
AOJABBKC_00230	K15984
AOJABBKC_00232	K01439
AOJABBKC_00233	K06219
AOJABBKC_00235	K01626
AOJABBKC_00236	K16898
AOJABBKC_00238	K09760
AOJABBKC_00240	K00557
AOJABBKC_00242	K07659
AOJABBKC_00243	K11527
AOJABBKC_00246	K00626
AOJABBKC_00247	K00626
AOJABBKC_00248	K02363
AOJABBKC_00249	K02371
AOJABBKC_00253	K09966
AOJABBKC_00259	K00249
AOJABBKC_00261	K00219
AOJABBKC_00263	K01961
AOJABBKC_00264	K05607
AOJABBKC_00267	K23677
AOJABBKC_00269	K00249
AOJABBKC_00273	K01897
AOJABBKC_00274	K01740
AOJABBKC_00276	K14162
AOJABBKC_00278	K10215
AOJABBKC_00281	K01902
AOJABBKC_00282	K01903
AOJABBKC_00283	K00382
AOJABBKC_00284	K00658
AOJABBKC_00285	K00164
AOJABBKC_00286	K00240
AOJABBKC_00287	K00239
AOJABBKC_00288	K00242
AOJABBKC_00289	K00241
AOJABBKC_00290	K01647
AOJABBKC_00291	K03641
AOJABBKC_00294	K01682
AOJABBKC_00295	K07400
AOJABBKC_00297	K00248
AOJABBKC_00302	K17743
AOJABBKC_00305	K12308
AOJABBKC_00306	K03307
AOJABBKC_00307	K11209
AOJABBKC_00308	K07407
AOJABBKC_00309	K03307
AOJABBKC_00310	K13051
AOJABBKC_00314	K00995
AOJABBKC_00315	K03703
AOJABBKC_00316	K01556
AOJABBKC_00318	K03719
AOJABBKC_00325	K07124
AOJABBKC_00326	K07124
AOJABBKC_00327	K01784
AOJABBKC_00329	K01273
AOJABBKC_00332	K02020
AOJABBKC_00336	K00567
AOJABBKC_00337	K06895
AOJABBKC_00339	K01077
AOJABBKC_00343	K02529
AOJABBKC_00349	K03307
AOJABBKC_00350	K00549
AOJABBKC_00351	K00059
AOJABBKC_00352	K00013
AOJABBKC_00354	K01712
AOJABBKC_00356	K01745
AOJABBKC_00357	K01468
AOJABBKC_00360	K03182
AOJABBKC_00361	K03628
AOJABBKC_00362	K03671
AOJABBKC_00363	K00548
AOJABBKC_00364	K09696
AOJABBKC_00365	K09697
AOJABBKC_00368	K02428
AOJABBKC_00371	K00641
AOJABBKC_00373	K00286
AOJABBKC_00374	K06997
AOJABBKC_00375	K07447
AOJABBKC_00376	K07735
AOJABBKC_00377	K01920
AOJABBKC_00378	K02669
AOJABBKC_00379	K00666
AOJABBKC_00381	K01783
AOJABBKC_00382	K01657
AOJABBKC_00383	K01658
AOJABBKC_00384	K00766
AOJABBKC_00385	K01609
AOJABBKC_00386	K10914
AOJABBKC_00389	K09471
AOJABBKC_00390	K03315
AOJABBKC_00391	K11744
AOJABBKC_00394	K02837
AOJABBKC_00395	K01772
AOJABBKC_00396	K11414
AOJABBKC_00397	K00147
AOJABBKC_00398	K00969
AOJABBKC_00399	K09710
AOJABBKC_00400	K00783
AOJABBKC_00401	K05515
AOJABBKC_00402	K05837
AOJABBKC_00403	K08305
AOJABBKC_00404	K07258
AOJABBKC_00405	K09158
AOJABBKC_00406	K03801
AOJABBKC_00407	K03644
AOJABBKC_00409	K02346
AOJABBKC_00410	K07789
AOJABBKC_00411	K03585
AOJABBKC_00412	K15987
AOJABBKC_00413	K03086
AOJABBKC_00414	K06194
AOJABBKC_00415	K08974
AOJABBKC_00416	K00573
AOJABBKC_00417	K06176
AOJABBKC_00418	K01770
AOJABBKC_00419	K00991
AOJABBKC_00421	K01689
AOJABBKC_00422	K01627
AOJABBKC_00423	K01937
AOJABBKC_00424	K04075
AOJABBKC_00429	K03216
AOJABBKC_00430	K03840
AOJABBKC_00431	K15461
AOJABBKC_00435	K01749
AOJABBKC_00436	K01755
AOJABBKC_00437	K06202
AOJABBKC_00439	K01586
AOJABBKC_00440	K01778
AOJABBKC_00442	K12573
AOJABBKC_00444	K02884
AOJABBKC_00445	K00554
AOJABBKC_00446	K02860
AOJABBKC_00447	K02959
AOJABBKC_00448	K03106
AOJABBKC_00453	K18453
AOJABBKC_00454	K04659
AOJABBKC_00455	K07390
AOJABBKC_00456	K00821
AOJABBKC_00458	K00611
AOJABBKC_00459	K03624
AOJABBKC_00460	K01955
AOJABBKC_00461	K01956
AOJABBKC_00462	K00215
AOJABBKC_00463	K03686
AOJABBKC_00464	K04043
AOJABBKC_00465	K03687
AOJABBKC_00466	K03631
AOJABBKC_00467	K00962
AOJABBKC_00468	K02956
AOJABBKC_00469	K03177
AOJABBKC_00470	K02834
AOJABBKC_00471	K02519
AOJABBKC_00472	K02600
AOJABBKC_00473	K09748
AOJABBKC_00475	K05801
AOJABBKC_00479	K03075
AOJABBKC_00480	K01803
AOJABBKC_00481	K03431
AOJABBKC_00482	K00796
AOJABBKC_00483	K03798
AOJABBKC_00484	K02427
AOJABBKC_00485	K07574
AOJABBKC_00486	K04771
AOJABBKC_00487	K00817
AOJABBKC_00488	K00013
AOJABBKC_00489	K00765
AOJABBKC_00490	K00790
AOJABBKC_00493	K07301
AOJABBKC_00494	K06041
AOJABBKC_00495	K03270
AOJABBKC_00497	K09774
AOJABBKC_00498	K06861
AOJABBKC_00499	K03092
AOJABBKC_00500	K05808
AOJABBKC_00501	K02806
AOJABBKC_00502	K06958
AOJABBKC_00503	K11189
AOJABBKC_00504	K06213
AOJABBKC_00507	K08301
AOJABBKC_00508	K06287
AOJABBKC_00510	K03570
AOJABBKC_00511	K03569
AOJABBKC_00513	K02433
AOJABBKC_00514	K02434
AOJABBKC_00515	K22303
AOJABBKC_00518	K01823
AOJABBKC_00521	K02291
AOJABBKC_00523	K01895
AOJABBKC_00524	K01126
AOJABBKC_00531	K02014
AOJABBKC_00533	K03811
AOJABBKC_00535	K07305
AOJABBKC_00536	K09767
AOJABBKC_00537	K09858
AOJABBKC_00539	K03118
AOJABBKC_00540	K03117
AOJABBKC_00542	K01523
AOJABBKC_00543	K01496
AOJABBKC_00544	K03688
AOJABBKC_00546	K03183
AOJABBKC_00548	K03667
AOJABBKC_00549	K01419
AOJABBKC_00550	K00833
AOJABBKC_00554	K03327
AOJABBKC_00555	K01480
AOJABBKC_00556	K00135
AOJABBKC_00557	K16871
AOJABBKC_00558	K07147
AOJABBKC_00559	K17247
AOJABBKC_00560	K00854
AOJABBKC_00561	K00111
AOJABBKC_00562	K00803
AOJABBKC_00563	K22696
AOJABBKC_00564	K01775
AOJABBKC_00565	K03719
AOJABBKC_00566	K13821
AOJABBKC_00568	K03186
AOJABBKC_00574	K00297
AOJABBKC_00575	K00548
AOJABBKC_00577	K00344
AOJABBKC_00578	K02906
AOJABBKC_00579	K02926
AOJABBKC_00580	K02892
AOJABBKC_00581	K02886
AOJABBKC_00582	K02965
AOJABBKC_00583	K02890
AOJABBKC_00584	K02982
AOJABBKC_00585	K02878
AOJABBKC_00586	K02904
AOJABBKC_00587	K02961
AOJABBKC_00588	K02874
AOJABBKC_00589	K02895
AOJABBKC_00590	K02931
AOJABBKC_00591	K02954
AOJABBKC_00592	K02994
AOJABBKC_00593	K02933
AOJABBKC_00594	K02881
AOJABBKC_00595	K02988
AOJABBKC_00596	K02907
AOJABBKC_00597	K02876
AOJABBKC_00598	K03076
AOJABBKC_00599	K02952
AOJABBKC_00600	K02948
AOJABBKC_00601	K02986
AOJABBKC_00602	K03040
AOJABBKC_00603	K02879
AOJABBKC_00604	K01525
AOJABBKC_00605	K06195
AOJABBKC_00606	K02528
AOJABBKC_00607	K00097
AOJABBKC_00608	K03771
AOJABBKC_00609	K04744
AOJABBKC_00610	K07102
AOJABBKC_00611	K00992
AOJABBKC_00614	K14445
AOJABBKC_00615	K02340
AOJABBKC_00617	K01869
AOJABBKC_00618	K03564
AOJABBKC_00619	K03820
AOJABBKC_00620	K06189
AOJABBKC_00621	K07042
AOJABBKC_00622	K06217
AOJABBKC_00623	K06168
AOJABBKC_00625	K02454
AOJABBKC_00626	K02455
AOJABBKC_00627	K02456
AOJABBKC_00635	K02453
AOJABBKC_00638	K00906
AOJABBKC_00641	K04485
AOJABBKC_00642	K16092
AOJABBKC_00643	K19221
AOJABBKC_00644	K02015
AOJABBKC_00645	K02013
AOJABBKC_00646	K06858
AOJABBKC_00647	K03320
AOJABBKC_00648	K01595
AOJABBKC_00651	K06020
AOJABBKC_00657	K18893
AOJABBKC_00658	K06158
AOJABBKC_00661	K07124
AOJABBKC_00667	K19519
AOJABBKC_00668	K05349
AOJABBKC_00670	K00128
AOJABBKC_00671	K22443
AOJABBKC_00672	K00285
AOJABBKC_00674	K14540
AOJABBKC_00676	K09941
AOJABBKC_00677	K08219
AOJABBKC_00678	K11068
AOJABBKC_00680	K16091
AOJABBKC_00681	K02342
AOJABBKC_00685	K01273
AOJABBKC_00686	K01916
AOJABBKC_00687	K05807
AOJABBKC_00688	K06180
AOJABBKC_00689	K05810
AOJABBKC_00690	K02888
AOJABBKC_00691	K02899
AOJABBKC_00692	K03979
AOJABBKC_00693	K00931
AOJABBKC_00694	K02968
AOJABBKC_00695	K03980
AOJABBKC_00696	K11753
AOJABBKC_00697	K01870
AOJABBKC_00698	K03101
AOJABBKC_00699	K03774
AOJABBKC_00700	K03527
AOJABBKC_00701	K01810
AOJABBKC_00702	K01690
AOJABBKC_00703	K00845
AOJABBKC_00704	K01625
AOJABBKC_00705	K00036
AOJABBKC_00706	K01057
AOJABBKC_00707	K00134
AOJABBKC_00708	K19337
AOJABBKC_00709	K01895
AOJABBKC_00712	K04764
AOJABBKC_00713	K01890
AOJABBKC_00714	K01889
AOJABBKC_00715	K02887
AOJABBKC_00716	K02916
AOJABBKC_00717	K02520
AOJABBKC_00718	K01868
AOJABBKC_00719	K09768
AOJABBKC_00723	K03566
AOJABBKC_00725	K00315
AOJABBKC_00726	K00314
AOJABBKC_00727	K12297
AOJABBKC_00729	K15371
AOJABBKC_00730	K03924
AOJABBKC_00733	K07114
AOJABBKC_00737	K14393
AOJABBKC_00738	K12265
AOJABBKC_00739	K01796
AOJABBKC_00741	K01256
AOJABBKC_00744	K02441
AOJABBKC_00745	K00858
AOJABBKC_00746	K00891
AOJABBKC_00747	K00813
AOJABBKC_00748	K13703
AOJABBKC_00749	K00059
AOJABBKC_00750	K07071
AOJABBKC_00751	K01923
AOJABBKC_00755	K02276
AOJABBKC_00757	K02274
AOJABBKC_00758	K02275
AOJABBKC_00760	K03695
AOJABBKC_00761	K00325
AOJABBKC_00762	K00324
AOJABBKC_00763	K00324
AOJABBKC_00764	K02523
AOJABBKC_00765	K01716
AOJABBKC_00766	K00647
AOJABBKC_00770	K01945
AOJABBKC_00771	K12119
AOJABBKC_00772	K01620
AOJABBKC_00774	K01130
AOJABBKC_00775	K00602
AOJABBKC_00776	K03557
AOJABBKC_00777	K05540
AOJABBKC_00778	K02687
AOJABBKC_00779	K01961
AOJABBKC_00780	K02160
AOJABBKC_00781	K03786
AOJABBKC_00782	K04084
AOJABBKC_00785	K01807
AOJABBKC_00786	K01754
AOJABBKC_00787	K00873
AOJABBKC_00788	K01934
AOJABBKC_00791	K09895
AOJABBKC_00792	K01262
AOJABBKC_00793	K03185
AOJABBKC_00794	K06126
AOJABBKC_00795	K00564
AOJABBKC_00796	K06183
AOJABBKC_00797	K01698
AOJABBKC_00798	K01845
AOJABBKC_00799	K08973
AOJABBKC_00800	K00145
AOJABBKC_00803	K15724
AOJABBKC_00804	K09001
AOJABBKC_00805	K19304
AOJABBKC_00806	K01866
AOJABBKC_00807	K01473
AOJABBKC_00808	K01474
AOJABBKC_00810	K01703
AOJABBKC_00811	K01704
AOJABBKC_00813	K01210
AOJABBKC_00819	K07053
AOJABBKC_00820	K00149
AOJABBKC_00824	K08299
AOJABBKC_00825	K01905
AOJABBKC_00826	K00248
AOJABBKC_00831	K02168
AOJABBKC_00833	K18055
AOJABBKC_00834	K01342
AOJABBKC_00839	K00387
AOJABBKC_00842	K01322
AOJABBKC_00844	K00528
AOJABBKC_00845	K00163
AOJABBKC_00846	K21430
AOJABBKC_00847	K19337
AOJABBKC_00848	K03657
AOJABBKC_00850	K03498
AOJABBKC_00851	K03499
AOJABBKC_00852	K03500
AOJABBKC_00853	K00604
AOJABBKC_00854	K01462
AOJABBKC_00855	K04096
AOJABBKC_00856	K01588
AOJABBKC_00857	K07566
AOJABBKC_00858	K00228
AOJABBKC_00859	K00014
AOJABBKC_00862	K02261
AOJABBKC_00863	K02274
AOJABBKC_00864	K02258
AOJABBKC_00865	K02262
AOJABBKC_00869	K02257
AOJABBKC_00870	K07152
AOJABBKC_00871	K09816
AOJABBKC_00872	K09817
AOJABBKC_00873	K09823
AOJABBKC_00875	K02335
AOJABBKC_00876	K03978
AOJABBKC_00881	K00681
AOJABBKC_00882	K00681
AOJABBKC_00883	K01737
AOJABBKC_00885	K00243
AOJABBKC_00888	K05884
AOJABBKC_00890	K22187
AOJABBKC_00891	K01273
AOJABBKC_00895	K00140
AOJABBKC_00896	K00048
AOJABBKC_00900	K00314
AOJABBKC_00903	K01433
AOJABBKC_00905	K00380
AOJABBKC_00912	K03719
AOJABBKC_00913	K00259
AOJABBKC_00914	K15257
AOJABBKC_00916	K00128
AOJABBKC_00917	K15256
AOJABBKC_00918	K06972
AOJABBKC_00923	K03775
AOJABBKC_00926	K03098
AOJABBKC_00927	K14058
AOJABBKC_00928	K11928
AOJABBKC_00929	K01887
AOJABBKC_00931	K01960
AOJABBKC_00932	K20509
AOJABBKC_00933	K02011
AOJABBKC_00934	K02012
AOJABBKC_00937	K11991
AOJABBKC_00938	K18691
AOJABBKC_00939	K01952
AOJABBKC_00942	K03925
AOJABBKC_00943	K03438
AOJABBKC_00945	K03587
AOJABBKC_00946	K01928
AOJABBKC_00947	K01929
AOJABBKC_00948	K01000
AOJABBKC_00949	K01925
AOJABBKC_00950	K03588
AOJABBKC_00951	K02563
AOJABBKC_00952	K01924
AOJABBKC_00953	K01921
AOJABBKC_00954	K03589
AOJABBKC_00955	K03590
AOJABBKC_00956	K03531
AOJABBKC_00957	K02535
AOJABBKC_00959	K03070
AOJABBKC_00960	K00620
AOJABBKC_00961	K03574
AOJABBKC_00962	K09862
AOJABBKC_00963	K00859
AOJABBKC_00964	K02654
AOJABBKC_00965	K00767
AOJABBKC_00966	K03806
AOJABBKC_00967	K08218
AOJABBKC_00968	K07443
AOJABBKC_00970	K04078
AOJABBKC_00971	K04077
AOJABBKC_00974	K01141
AOJABBKC_00975	K00609
AOJABBKC_00977	K03722
AOJABBKC_00979	K05592
AOJABBKC_00981	K00059
AOJABBKC_00982	K00275
AOJABBKC_00983	K04760
AOJABBKC_00985	K03113
AOJABBKC_00988	K10716
AOJABBKC_00989	K07391
AOJABBKC_00990	K07391
AOJABBKC_00993	K04751
AOJABBKC_00994	K03320
AOJABBKC_00995	K04751
AOJABBKC_00996	K03981
AOJABBKC_00997	K00003
AOJABBKC_00998	K01733
AOJABBKC_01001	K07462
AOJABBKC_01006	K00812
AOJABBKC_01008	K01885
AOJABBKC_01009	K01069
AOJABBKC_01012	K01180
AOJABBKC_01015	K04659
AOJABBKC_01017	K06920
AOJABBKC_01019	K03640
AOJABBKC_01020	K03641
AOJABBKC_01023	K03562
AOJABBKC_01024	K07107
AOJABBKC_01025	K03551
AOJABBKC_01026	K03550
AOJABBKC_01027	K01159
AOJABBKC_01031	K01951
AOJABBKC_01032	K00088
AOJABBKC_01033	K03315
AOJABBKC_01035	K11407
AOJABBKC_01042	K01823
AOJABBKC_01044	K05605
AOJABBKC_01045	K10027
AOJABBKC_01048	K16052
AOJABBKC_01049	K01207
AOJABBKC_01051	K01356
AOJABBKC_01053	K03168
AOJABBKC_01055	K06149
AOJABBKC_01056	K03424
AOJABBKC_01058	K00059
AOJABBKC_01059	K05349
AOJABBKC_01060	K02477
AOJABBKC_01061	K02478
AOJABBKC_01068	K01593
AOJABBKC_01069	K01825
AOJABBKC_01070	K03932
AOJABBKC_01072	K01637
AOJABBKC_01073	K05798
AOJABBKC_01074	K01638
AOJABBKC_01075	K02553
AOJABBKC_01077	K18850
AOJABBKC_01078	K01756
AOJABBKC_01079	K07153
AOJABBKC_01080	K00566
AOJABBKC_01081	K12152
AOJABBKC_01082	K06181
AOJABBKC_01083	K00031
AOJABBKC_01086	K07001
AOJABBKC_01087	K01354
AOJABBKC_01090	K07044
AOJABBKC_01099	K01814
AOJABBKC_01101	K01640
AOJABBKC_01102	K01968
AOJABBKC_01103	K15016
AOJABBKC_01104	K01969
AOJABBKC_01105	K00253
AOJABBKC_01107	K16048
AOJABBKC_01111	K03545
AOJABBKC_01112	K01358
AOJABBKC_01113	K03544
AOJABBKC_01114	K01338
AOJABBKC_01115	K03530
AOJABBKC_01117	K08307
AOJABBKC_01119	K03469
AOJABBKC_01120	K02313
AOJABBKC_01121	K02338
AOJABBKC_01122	K03629
AOJABBKC_01123	K02470
AOJABBKC_01124	K00655
AOJABBKC_01125	K01879
AOJABBKC_01126	K01878
AOJABBKC_01127	K02517
AOJABBKC_01128	K03181
AOJABBKC_01129	K03179
AOJABBKC_01131	K09861
AOJABBKC_01134	K02556
AOJABBKC_01135	K02557
AOJABBKC_01136	K02557
AOJABBKC_01137	K02422
AOJABBKC_01138	K07126
AOJABBKC_01139	K02584
AOJABBKC_01140	K07714
AOJABBKC_01142	K02409
AOJABBKC_01143	K02410
AOJABBKC_01145	K02412
AOJABBKC_01147	K03111
AOJABBKC_01149	K03701
AOJABBKC_01154	K03789
AOJABBKC_01156	K01649
AOJABBKC_01157	K17103
AOJABBKC_01159	K01653
AOJABBKC_01160	K01652
AOJABBKC_01163	K01918
AOJABBKC_01164	K02314
AOJABBKC_01165	K02939
AOJABBKC_01167	K02963
AOJABBKC_01168	K02990
AOJABBKC_01170	K03218
AOJABBKC_01172	K00864
AOJABBKC_01173	K11720
AOJABBKC_01174	K07091
AOJABBKC_01175	K01255
AOJABBKC_01177	K01873
AOJABBKC_01178	K03656
AOJABBKC_01179	K05788
AOJABBKC_01180	K02945
AOJABBKC_01181	K00945
AOJABBKC_01182	K00800
AOJABBKC_01183	K14170
AOJABBKC_01184	K02469
AOJABBKC_01185	K12960
AOJABBKC_01186	K00568
AOJABBKC_01187	K22292
AOJABBKC_01189	K06178
AOJABBKC_01190	K06024
AOJABBKC_01191	K05896
AOJABBKC_01194	K09780
AOJABBKC_01196	K03767
AOJABBKC_01197	K03474
AOJABBKC_01199	K03218
AOJABBKC_01200	K01972
AOJABBKC_01201	K03528
AOJABBKC_01202	K03529
AOJABBKC_01204	K02200
AOJABBKC_01205	K02199
AOJABBKC_01206	K02198
AOJABBKC_01207	K02197
AOJABBKC_01209	K02195
AOJABBKC_01210	K02194
AOJABBKC_01211	K02193
AOJABBKC_01213	K00974
AOJABBKC_01214	K00059
AOJABBKC_01216	K01633
AOJABBKC_01217	K01409
AOJABBKC_01218	K02970
AOJABBKC_01219	K09117
AOJABBKC_01220	K02316
AOJABBKC_01221	K03086
AOJABBKC_01227	K01679
AOJABBKC_01229	K00315
AOJABBKC_01231	K00314
AOJABBKC_01232	K02855
AOJABBKC_01235	K00548
AOJABBKC_01239	K00548
AOJABBKC_01241	K00315
AOJABBKC_01242	K01938
AOJABBKC_01243	K00563
AOJABBKC_01245	K13444
AOJABBKC_01246	K00799
AOJABBKC_01247	K01077
AOJABBKC_01248	K15918
AOJABBKC_01250	K00343
AOJABBKC_01251	K00342
AOJABBKC_01252	K00341
AOJABBKC_01254	K00339
AOJABBKC_01255	K00338
AOJABBKC_01256	K00337
AOJABBKC_01257	K00336
AOJABBKC_01258	K00335
AOJABBKC_01259	K00334
AOJABBKC_01260	K13378
AOJABBKC_01261	K00331
AOJABBKC_01262	K00330
AOJABBKC_01263	K04659
AOJABBKC_01264	K01939
AOJABBKC_01265	K02502
AOJABBKC_01267	K04087
AOJABBKC_01271	K10563
AOJABBKC_01272	K00954
AOJABBKC_01273	K08316
AOJABBKC_01274	K03110
AOJABBKC_01275	K09812
AOJABBKC_01276	K09811
AOJABBKC_01277	K03089
AOJABBKC_01279	K03439
AOJABBKC_01280	K03773
AOJABBKC_01283	K03611
AOJABBKC_01284	K01919
AOJABBKC_01286	K03152
AOJABBKC_01287	K03309
AOJABBKC_01288	K05939
AOJABBKC_01290	K02017
AOJABBKC_01291	K02018
AOJABBKC_01294	K03305
AOJABBKC_01295	K01283
AOJABBKC_01297	K00059
AOJABBKC_01299	K00681
AOJABBKC_01302	K00674
AOJABBKC_01304	K10773
AOJABBKC_01305	K14267
AOJABBKC_01306	K00990
AOJABBKC_01307	K01265
AOJABBKC_01308	K02967
AOJABBKC_01309	K02357
AOJABBKC_01310	K09903
AOJABBKC_01311	K02838
AOJABBKC_01312	K00981
AOJABBKC_01313	K00099
AOJABBKC_01314	K11749
AOJABBKC_01315	K07277
AOJABBKC_01317	K02536
AOJABBKC_01318	K02372
AOJABBKC_01319	K00677
AOJABBKC_01320	K00748
AOJABBKC_01321	K03470
AOJABBKC_01322	K00648
AOJABBKC_01323	K02337
AOJABBKC_01324	K01962
AOJABBKC_01326	K09906
AOJABBKC_01327	K02335
AOJABBKC_01328	K03473
AOJABBKC_01329	K14260
AOJABBKC_01335	K11085
AOJABBKC_01336	K00912
AOJABBKC_01337	K00979
AOJABBKC_01338	K01104
AOJABBKC_01339	K00075
AOJABBKC_01340	K10860
AOJABBKC_01341	K00835
AOJABBKC_01342	K00556
AOJABBKC_01345	K01665
AOJABBKC_01347	K09761
AOJABBKC_01348	K00021
AOJABBKC_01350	K12132
AOJABBKC_01351	K20074
AOJABBKC_01355	K00249
AOJABBKC_01357	K10805
AOJABBKC_01359	K08306
AOJABBKC_01362	K04022
AOJABBKC_01363	K03639
AOJABBKC_01364	K03750
AOJABBKC_01365	K03638
AOJABBKC_01366	K11996
AOJABBKC_01368	K03635
AOJABBKC_01370	K03637
AOJABBKC_01371	K01134
AOJABBKC_01373	K02379
AOJABBKC_01374	K00123
AOJABBKC_01375	K05587
AOJABBKC_01376	K00334
AOJABBKC_01377	K01070
AOJABBKC_01378	K00121
AOJABBKC_01381	K01692
AOJABBKC_01383	K00106
AOJABBKC_01384	K07303
AOJABBKC_01390	K01669
AOJABBKC_01394	K03215
AOJABBKC_01395	K00600
AOJABBKC_01397	K07738
AOJABBKC_01398	K11752
AOJABBKC_01399	K00793
AOJABBKC_01400	K14652
AOJABBKC_01401	K00794
AOJABBKC_01402	K03625
AOJABBKC_01403	K00946
AOJABBKC_01404	K01095
AOJABBKC_01406	K03296
AOJABBKC_01407	K14652
AOJABBKC_01408	K02500
AOJABBKC_01412	K01424
AOJABBKC_01413	K04043
AOJABBKC_01414	K00806
AOJABBKC_01416	K17828
AOJABBKC_01419	K16871
AOJABBKC_01420	K00252
AOJABBKC_01421	K18703
AOJABBKC_01422	K19611
AOJABBKC_01431	K01581
AOJABBKC_01432	K03719
AOJABBKC_01433	K03315
AOJABBKC_01435	K01436
AOJABBKC_01436	K00830
AOJABBKC_01437	K18703
AOJABBKC_01441	K01695
AOJABBKC_01442	K01696
AOJABBKC_01443	K00525
AOJABBKC_01445	K03322
AOJABBKC_01447	K11179
AOJABBKC_01448	K19416
AOJABBKC_01449	K03269
AOJABBKC_01450	K03768
AOJABBKC_01451	K01886
AOJABBKC_01452	K01883
AOJABBKC_01454	K01692
AOJABBKC_01456	K01491
AOJABBKC_01457	K00087
AOJABBKC_01466	K02429
AOJABBKC_01467	K02005
AOJABBKC_01468	K02003
AOJABBKC_01469	K02004
