IGCIMHPM_00002	K00457
IGCIMHPM_00533	K03704
IGCIMHPM_00534	K03407
IGCIMHPM_00536	K01069
IGCIMHPM_00538	K09761
IGCIMHPM_00539	K00297
IGCIMHPM_00540	K01251
IGCIMHPM_00542	K07400
IGCIMHPM_00543	K00219
IGCIMHPM_00544	K07653
IGCIMHPM_00547	K01626
IGCIMHPM_00549	K09796
IGCIMHPM_00550	K02660
IGCIMHPM_00552	K11527
IGCIMHPM_00553	K07668
IGCIMHPM_00554	K01920
IGCIMHPM_00557	K09022
IGCIMHPM_00558	K01139
IGCIMHPM_00559	K03060
IGCIMHPM_00560	K00942
IGCIMHPM_00562	K00989
IGCIMHPM_00563	K01142
IGCIMHPM_00564	K00762
IGCIMHPM_00566	K05501
IGCIMHPM_00567	K00930
IGCIMHPM_00568	K01835
IGCIMHPM_00569	K13038
IGCIMHPM_00570	K03630
IGCIMHPM_00571	K02902
IGCIMHPM_00572	K02913
IGCIMHPM_00573	K10563
IGCIMHPM_00574	K00681
IGCIMHPM_00575	K00954
IGCIMHPM_00576	K08316
IGCIMHPM_00577	K03110
IGCIMHPM_00578	K09812
IGCIMHPM_00579	K09811
IGCIMHPM_00580	K03089
IGCIMHPM_00582	K03439
IGCIMHPM_00585	K02428
IGCIMHPM_00588	K00641
IGCIMHPM_00591	K03655
IGCIMHPM_00592	K02335
IGCIMHPM_00593	K19802
IGCIMHPM_00595	K03722
IGCIMHPM_00599	K00981
IGCIMHPM_00600	K00806
IGCIMHPM_00601	K02838
IGCIMHPM_00602	K09903
IGCIMHPM_00603	K09919
IGCIMHPM_00604	K03179
IGCIMHPM_00605	K03181
IGCIMHPM_00606	K12265
IGCIMHPM_00607	K03530
IGCIMHPM_00608	K03309
IGCIMHPM_00610	K00432
IGCIMHPM_00614	K06858
IGCIMHPM_00615	K02013
IGCIMHPM_00616	K02015
IGCIMHPM_00617	K19221
IGCIMHPM_00618	K03424
IGCIMHPM_00620	K02341
IGCIMHPM_00621	K00943
IGCIMHPM_00624	K02529
IGCIMHPM_00628	K05349
IGCIMHPM_00630	K02488
IGCIMHPM_00633	K03978
IGCIMHPM_00634	K16191
IGCIMHPM_00636	K00241
IGCIMHPM_00637	K01647
IGCIMHPM_00638	K00239
IGCIMHPM_00639	K00240
IGCIMHPM_00640	K00164
IGCIMHPM_00641	K01439
IGCIMHPM_00642	K07071
IGCIMHPM_00643	K09768
IGCIMHPM_00644	K04771
IGCIMHPM_00648	K06916
IGCIMHPM_00649	K02871
IGCIMHPM_00650	K02996
IGCIMHPM_00651	K00411
IGCIMHPM_00652	K00412
IGCIMHPM_00653	K03599
IGCIMHPM_00654	K03600
IGCIMHPM_00657	K07460
IGCIMHPM_00659	K07056
IGCIMHPM_00663	K00287
IGCIMHPM_00664	K09912
IGCIMHPM_00665	K05591
IGCIMHPM_00667	K07220
IGCIMHPM_00668	K14640
IGCIMHPM_00669	K02039
IGCIMHPM_00677	K03654
IGCIMHPM_00679	K02377
IGCIMHPM_00681	K01711
IGCIMHPM_00683	K03185
IGCIMHPM_00684	K06126
IGCIMHPM_00685	K08722
IGCIMHPM_00686	K02437
IGCIMHPM_00687	K01845
IGCIMHPM_00691	K01715
IGCIMHPM_00692	K05605
IGCIMHPM_00693	K00020
IGCIMHPM_00696	K01424
IGCIMHPM_00697	K01414
IGCIMHPM_00698	K00128
IGCIMHPM_00699	K01915
IGCIMHPM_00700	K02527
IGCIMHPM_00701	K12340
IGCIMHPM_00702	K09920
IGCIMHPM_00703	K03651
IGCIMHPM_00704	K07000
IGCIMHPM_00705	K02622
IGCIMHPM_00708	K07708
IGCIMHPM_00709	K07712
IGCIMHPM_00711	K01698
IGCIMHPM_00712	K04771
IGCIMHPM_00715	K00390
IGCIMHPM_00716	K01756
IGCIMHPM_00717	K00566
IGCIMHPM_00718	K12152
IGCIMHPM_00719	K06181
IGCIMHPM_00720	K00031
IGCIMHPM_00721	K03704
IGCIMHPM_00722	K06891
IGCIMHPM_00723	K03694
IGCIMHPM_00724	K00799
IGCIMHPM_00725	K01772
IGCIMHPM_00729	K00799
IGCIMHPM_00731	K01682
IGCIMHPM_00732	K06957
IGCIMHPM_00735	K03767
IGCIMHPM_00736	K03313
IGCIMHPM_00743	K04659
IGCIMHPM_00746	K12340
IGCIMHPM_00749	K03734
IGCIMHPM_00750	K05844
IGCIMHPM_00754	K00826
IGCIMHPM_00755	K12974
IGCIMHPM_00756	K13821
IGCIMHPM_00758	K07671
IGCIMHPM_00759	K04754
IGCIMHPM_00761	K09930
IGCIMHPM_00764	K03578
IGCIMHPM_00765	K01897
IGCIMHPM_00769	K09941
IGCIMHPM_00770	K15461
IGCIMHPM_00771	K22757
IGCIMHPM_00772	K06193
IGCIMHPM_00773	K06972
IGCIMHPM_00775	K05349
IGCIMHPM_00776	K09935
IGCIMHPM_00781	K01921
IGCIMHPM_00782	K01924
IGCIMHPM_00783	K02563
IGCIMHPM_00784	K03588
IGCIMHPM_00785	K01925
IGCIMHPM_00786	K01000
IGCIMHPM_00787	K01929
IGCIMHPM_00789	K03575
IGCIMHPM_00793	K11391
IGCIMHPM_00794	K16898
IGCIMHPM_00804	K02456
IGCIMHPM_00805	K02455
IGCIMHPM_00806	K02454
IGCIMHPM_00810	K01507
IGCIMHPM_00811	K21071
IGCIMHPM_00812	K02558
IGCIMHPM_00813	K03186
IGCIMHPM_00815	K03502
IGCIMHPM_00817	K02441
IGCIMHPM_00818	K00858
IGCIMHPM_00826	K18691
IGCIMHPM_00827	K01952
IGCIMHPM_00828	K03072
IGCIMHPM_00829	K03074
IGCIMHPM_00830	K06182
IGCIMHPM_00842	K03527
IGCIMHPM_00843	K03774
IGCIMHPM_00844	K03101
IGCIMHPM_00845	K01870
IGCIMHPM_00846	K11753
IGCIMHPM_00847	K03980
IGCIMHPM_00848	K00609
IGCIMHPM_00853	K16148
IGCIMHPM_00854	K03566
IGCIMHPM_00857	K01784
IGCIMHPM_00858	K00766
IGCIMHPM_00859	K19416
IGCIMHPM_00860	K04084
IGCIMHPM_00862	K01136
IGCIMHPM_00865	K02355
IGCIMHPM_00866	K02992
IGCIMHPM_00867	K02950
IGCIMHPM_00868	K01480
IGCIMHPM_00869	K13747
IGCIMHPM_00870	K00290
IGCIMHPM_00871	K01585
IGCIMHPM_00873	K06180
IGCIMHPM_00875	K03046
IGCIMHPM_00876	K03043
IGCIMHPM_00877	K02935
IGCIMHPM_00878	K02864
IGCIMHPM_00879	K02863
IGCIMHPM_00880	K02867
IGCIMHPM_00881	K02601
IGCIMHPM_00882	K03073
IGCIMHPM_00884	K02358
IGCIMHPM_00890	K03529
IGCIMHPM_00892	K01972
IGCIMHPM_00893	K01132
IGCIMHPM_00896	K03924
IGCIMHPM_00899	K07114
IGCIMHPM_00902	K07443
IGCIMHPM_00908	K01810
IGCIMHPM_00909	K01840
IGCIMHPM_00910	K00963
IGCIMHPM_00911	K00971
IGCIMHPM_00912	K01716
IGCIMHPM_00913	K00647
IGCIMHPM_00915	K03750
IGCIMHPM_00916	K03638
IGCIMHPM_00917	K02968
IGCIMHPM_00918	K02888
IGCIMHPM_00919	K02899
IGCIMHPM_00920	K03979
IGCIMHPM_00921	K00931
IGCIMHPM_00923	K07390
IGCIMHPM_00924	K00821
IGCIMHPM_00925	K03723
IGCIMHPM_00928	K09889
IGCIMHPM_00929	K06213
IGCIMHPM_00930	K11189
IGCIMHPM_00931	K06958
IGCIMHPM_00932	K02806
IGCIMHPM_00933	K05808
IGCIMHPM_00934	K03092
IGCIMHPM_00935	K06861
IGCIMHPM_00938	K03270
IGCIMHPM_00939	K06041
IGCIMHPM_00940	K07301
IGCIMHPM_00943	K00790
IGCIMHPM_00944	K00765
IGCIMHPM_00945	K00013
IGCIMHPM_00946	K00817
IGCIMHPM_00947	K03925
IGCIMHPM_00948	K03438
IGCIMHPM_00950	K03587
IGCIMHPM_00951	K01928
IGCIMHPM_00952	K03635
IGCIMHPM_00953	K03636
IGCIMHPM_00954	K03637
IGCIMHPM_00956	K03773
IGCIMHPM_00959	K07710
IGCIMHPM_00960	K01737
IGCIMHPM_00962	K11609
IGCIMHPM_00964	K02340
IGCIMHPM_00966	K01869
IGCIMHPM_00967	K01940
IGCIMHPM_00969	K01465
IGCIMHPM_00970	K03683
IGCIMHPM_00971	K06203
IGCIMHPM_00972	K05592
IGCIMHPM_00976	K02493
IGCIMHPM_00977	K02835
IGCIMHPM_00978	K02492
IGCIMHPM_00981	K00919
IGCIMHPM_00983	K02652
IGCIMHPM_00984	K01438
IGCIMHPM_00985	K14682
IGCIMHPM_00987	K01740
IGCIMHPM_00988	K00432
IGCIMHPM_00990	K06876
IGCIMHPM_00991	K01867
IGCIMHPM_00995	K06204
IGCIMHPM_00996	K01894
IGCIMHPM_00997	K07713
IGCIMHPM_00998	K00970
IGCIMHPM_00999	K00950
IGCIMHPM_01001	K00606
IGCIMHPM_01002	K00036
IGCIMHPM_01003	K01625
IGCIMHPM_01004	K00873
IGCIMHPM_01005	K07657
IGCIMHPM_01006	K07636
IGCIMHPM_01007	K02040
IGCIMHPM_01009	K03088
IGCIMHPM_01017	K01937
IGCIMHPM_01018	K01627
IGCIMHPM_01019	K01689
IGCIMHPM_01020	K05589
IGCIMHPM_01021	K00991
IGCIMHPM_01022	K01770
IGCIMHPM_01024	K00145
IGCIMHPM_01025	K08973
IGCIMHPM_01028	K02557
IGCIMHPM_01029	K02556
IGCIMHPM_01031	K13789
IGCIMHPM_01032	K01662
IGCIMHPM_01033	K14652
IGCIMHPM_01035	K03741
IGCIMHPM_01038	K03517
IGCIMHPM_01040	K19337
IGCIMHPM_01041	K00134
IGCIMHPM_01042	K01960
IGCIMHPM_01045	K06920
IGCIMHPM_01046	K10026
IGCIMHPM_01048	K00254
IGCIMHPM_01049	K07444
IGCIMHPM_01050	K01433
IGCIMHPM_01052	K02662
IGCIMHPM_01053	K05366
IGCIMHPM_01054	K00027
IGCIMHPM_01055	K02909
IGCIMHPM_01056	K04066
IGCIMHPM_01057	K01887
IGCIMHPM_01061	K03183
IGCIMHPM_01063	K03688
IGCIMHPM_01064	K01496
IGCIMHPM_01065	K01523
IGCIMHPM_01066	K00278
IGCIMHPM_01069	K06980
IGCIMHPM_01070	K01126
IGCIMHPM_01073	K11927
IGCIMHPM_01075	K09516
IGCIMHPM_01078	K12957
IGCIMHPM_01079	K13288
IGCIMHPM_01080	K06949
IGCIMHPM_01081	K01011
IGCIMHPM_01082	K01613
IGCIMHPM_01083	K04568
IGCIMHPM_01084	K02356
IGCIMHPM_01085	K19810
IGCIMHPM_01086	K01669
IGCIMHPM_01087	K01669
IGCIMHPM_01089	K01210
IGCIMHPM_01091	K01960
IGCIMHPM_01092	K20509
IGCIMHPM_01093	K16091
IGCIMHPM_01096	K00548
IGCIMHPM_01097	K15719
IGCIMHPM_01098	K01825
IGCIMHPM_01102	K04079
IGCIMHPM_01103	K00057
IGCIMHPM_01105	K03695
IGCIMHPM_01106	K05807
IGCIMHPM_01107	K06180
IGCIMHPM_01108	K05810
IGCIMHPM_01109	K01916
IGCIMHPM_01110	K01687
IGCIMHPM_01113	K09760
IGCIMHPM_01114	K03564
IGCIMHPM_01115	K03564
IGCIMHPM_01116	K03210
IGCIMHPM_01117	K05396
IGCIMHPM_01118	K02453
IGCIMHPM_01119	K02036
IGCIMHPM_01120	K02038
IGCIMHPM_01121	K02037
IGCIMHPM_01123	K03811
IGCIMHPM_01125	K11996
IGCIMHPM_01127	K01669
IGCIMHPM_01129	K02477
IGCIMHPM_01130	K07718
IGCIMHPM_01133	K02990
IGCIMHPM_01134	K02963
IGCIMHPM_01136	K02939
IGCIMHPM_01137	K02314
IGCIMHPM_01138	K01792
IGCIMHPM_01141	K04485
IGCIMHPM_01142	K06020
IGCIMHPM_01143	K00600
IGCIMHPM_01144	K07738
IGCIMHPM_01145	K11752
IGCIMHPM_01146	K00793
IGCIMHPM_01147	K14652
IGCIMHPM_01148	K00794
IGCIMHPM_01149	K03625
IGCIMHPM_01150	K00946
IGCIMHPM_01151	K01095
IGCIMHPM_01152	K03775
IGCIMHPM_01153	K03521
IGCIMHPM_01154	K03522
IGCIMHPM_01157	K03327
IGCIMHPM_01158	K03269
IGCIMHPM_01159	K03768
IGCIMHPM_01160	K01886
IGCIMHPM_01161	K01883
IGCIMHPM_01166	K03644
IGCIMHPM_01167	K03648
IGCIMHPM_01168	K12119
IGCIMHPM_01169	K00574
IGCIMHPM_01171	K06954
IGCIMHPM_01173	K00616
IGCIMHPM_01174	K05539
IGCIMHPM_01176	K03786
IGCIMHPM_01177	K02160
IGCIMHPM_01178	K01961
IGCIMHPM_01179	K02687
IGCIMHPM_01181	K05540
IGCIMHPM_01182	K03557
IGCIMHPM_01183	K00392
IGCIMHPM_01185	K11745
IGCIMHPM_01186	K00906
IGCIMHPM_01193	K00348
IGCIMHPM_01194	K00347
IGCIMHPM_01195	K00346
IGCIMHPM_01196	K00134
IGCIMHPM_01197	K07320
IGCIMHPM_01202	K00773
IGCIMHPM_01203	K07568
IGCIMHPM_01205	K06178
IGCIMHPM_01206	K06024
IGCIMHPM_01207	K05896
IGCIMHPM_01209	K07053
IGCIMHPM_01210	K06190
IGCIMHPM_01211	K09780
IGCIMHPM_01212	K07184
IGCIMHPM_01213	K03768
IGCIMHPM_01214	K03474
IGCIMHPM_01217	K01491
IGCIMHPM_01222	K06867
IGCIMHPM_01223	K02343
IGCIMHPM_01224	K06187
IGCIMHPM_01225	K03684
IGCIMHPM_01226	K09902
IGCIMHPM_01227	K09160
IGCIMHPM_01230	K19804
IGCIMHPM_01231	K01591
IGCIMHPM_01239	K01183
IGCIMHPM_01241	K00648
IGCIMHPM_01242	K00311
IGCIMHPM_01245	K02168
IGCIMHPM_01248	K03496
IGCIMHPM_01249	K02557
IGCIMHPM_01250	K02556
IGCIMHPM_01252	K02405
IGCIMHPM_01254	K04562
IGCIMHPM_01256	K02400
IGCIMHPM_01257	K02401
IGCIMHPM_01258	K02421
IGCIMHPM_01259	K02420
IGCIMHPM_01260	K02419
IGCIMHPM_01262	K02417
IGCIMHPM_01265	K07788
IGCIMHPM_01269	K01714
IGCIMHPM_01273	K11527
IGCIMHPM_01274	K15984
IGCIMHPM_01275	K01923
IGCIMHPM_01277	K01673
IGCIMHPM_01279	K22292
IGCIMHPM_01280	K00568
IGCIMHPM_01281	K12960
IGCIMHPM_01282	K02469
IGCIMHPM_01283	K00831
IGCIMHPM_01284	K14170
IGCIMHPM_01285	K00817
IGCIMHPM_01286	K04517
IGCIMHPM_01287	K00800
IGCIMHPM_01288	K00945
IGCIMHPM_01289	K02945
IGCIMHPM_01291	K00627
IGCIMHPM_01292	K00163
IGCIMHPM_01293	K01408
IGCIMHPM_01294	K03548
IGCIMHPM_01295	K01969
IGCIMHPM_01296	K01692
IGCIMHPM_01297	K01968
IGCIMHPM_01298	K01265
IGCIMHPM_01299	K07689
IGCIMHPM_01300	K03703
IGCIMHPM_01301	K00995
IGCIMHPM_01304	K07447
IGCIMHPM_01305	K07735
IGCIMHPM_01306	K09861
IGCIMHPM_01311	K10806
IGCIMHPM_01313	K03657
IGCIMHPM_01314	K01256
IGCIMHPM_01317	K05365
IGCIMHPM_01320	K01246
IGCIMHPM_01323	K01776
IGCIMHPM_01327	K07588
IGCIMHPM_01328	K01847
IGCIMHPM_01329	K02575
IGCIMHPM_01331	K07512
IGCIMHPM_01336	K01201
IGCIMHPM_01337	K02014
IGCIMHPM_01339	K00537
IGCIMHPM_01340	K03809
IGCIMHPM_01342	K02439
IGCIMHPM_01343	K06158
IGCIMHPM_01346	K02193
IGCIMHPM_01347	K02194
IGCIMHPM_01348	K02195
IGCIMHPM_01350	K02197
IGCIMHPM_01351	K02897
IGCIMHPM_01352	K01056
IGCIMHPM_01353	K06942
IGCIMHPM_01355	K03495
IGCIMHPM_01356	K03501
IGCIMHPM_01357	K03496
IGCIMHPM_01358	K03497
IGCIMHPM_01362	K02488
IGCIMHPM_01363	K07146
IGCIMHPM_01364	K05527
IGCIMHPM_01365	K02484
IGCIMHPM_01366	K02483
IGCIMHPM_01369	K11720
IGCIMHPM_01375	K03106
IGCIMHPM_01376	K02959
IGCIMHPM_01377	K02860
IGCIMHPM_01378	K00554
IGCIMHPM_01379	K02884
IGCIMHPM_01380	K01868
IGCIMHPM_01381	K02520
IGCIMHPM_01382	K02916
IGCIMHPM_01383	K02887
IGCIMHPM_01384	K01889
IGCIMHPM_01385	K01890
IGCIMHPM_01386	K04764
IGCIMHPM_01389	K09767
IGCIMHPM_01390	K03321
IGCIMHPM_01394	K12573
IGCIMHPM_01397	K18204
IGCIMHPM_01399	K02259
IGCIMHPM_01403	K02262
IGCIMHPM_01404	K02258
