GEPHEFPO_00002	K01866
GEPHEFPO_00111	K00343
GEPHEFPO_00112	K00342
GEPHEFPO_00113	K00341
GEPHEFPO_00115	K00339
GEPHEFPO_00117	K00338
GEPHEFPO_00118	K00337
GEPHEFPO_00119	K00336
GEPHEFPO_00120	K00335
GEPHEFPO_00121	K00334
GEPHEFPO_00122	K13378
GEPHEFPO_00123	K00331
GEPHEFPO_00124	K00330
GEPHEFPO_00125	K01939
GEPHEFPO_00126	K02502
GEPHEFPO_00128	K04087
GEPHEFPO_00129	K04088
GEPHEFPO_00130	K03665
GEPHEFPO_00131	K03666
GEPHEFPO_00132	K00791
GEPHEFPO_00133	K03572
GEPHEFPO_00134	K01448
GEPHEFPO_00135	K06925
GEPHEFPO_00136	K17758
GEPHEFPO_00137	K18979
GEPHEFPO_00138	K13288
GEPHEFPO_00139	K06949
GEPHEFPO_00140	K01011
GEPHEFPO_00141	K01613
GEPHEFPO_00143	K01599
GEPHEFPO_00144	K00266
GEPHEFPO_00145	K00265
GEPHEFPO_00146	K01735
GEPHEFPO_00147	K00891
GEPHEFPO_00148	K02666
GEPHEFPO_00152	K02662
GEPHEFPO_00153	K05366
GEPHEFPO_00154	K20881
GEPHEFPO_00155	K04762
GEPHEFPO_00156	K04083
GEPHEFPO_00158	K01867
GEPHEFPO_00159	K01267
GEPHEFPO_00160	K00020
GEPHEFPO_00161	K06153
GEPHEFPO_00162	K14742
GEPHEFPO_00164	K00939
GEPHEFPO_00165	K02499
GEPHEFPO_00166	K12339
GEPHEFPO_00167	K00997
GEPHEFPO_00168	K03584
GEPHEFPO_00169	K03595
GEPHEFPO_00170	K03685
GEPHEFPO_00172	K03100
GEPHEFPO_00173	K03596
GEPHEFPO_00174	K04771
GEPHEFPO_00176	K03598
GEPHEFPO_00178	K03088
GEPHEFPO_00179	K00278
GEPHEFPO_00182	K06980
GEPHEFPO_00185	K03648
GEPHEFPO_00187	K02259
GEPHEFPO_00189	K22071
GEPHEFPO_00190	K21416
GEPHEFPO_00191	K21417
GEPHEFPO_00192	K00627
GEPHEFPO_00193	K00382
GEPHEFPO_00196	K05708
GEPHEFPO_00198	K00359
GEPHEFPO_00200	K00059
GEPHEFPO_00201	K00359
GEPHEFPO_00202	K15866
GEPHEFPO_00203	K00249
GEPHEFPO_00206	K00059
GEPHEFPO_00207	K00059
GEPHEFPO_00208	K22443
GEPHEFPO_00211	K23256
GEPHEFPO_00212	K00059
GEPHEFPO_00213	K16092
GEPHEFPO_00214	K12507
GEPHEFPO_00216	K00253
GEPHEFPO_00217	K11147
GEPHEFPO_00218	K00059
GEPHEFPO_00221	K22443
GEPHEFPO_00226	K14540
GEPHEFPO_00228	K09941
GEPHEFPO_00230	K01737
GEPHEFPO_00233	K00243
GEPHEFPO_00236	K05884
GEPHEFPO_00238	K22187
GEPHEFPO_00239	K01273
GEPHEFPO_00242	K03566
GEPHEFPO_00244	K00140
GEPHEFPO_00245	K13954
GEPHEFPO_00246	K02168
GEPHEFPO_00247	K01796
GEPHEFPO_00251	K00605
GEPHEFPO_00254	K01433
GEPHEFPO_00256	K10215
GEPHEFPO_00258	K06145
GEPHEFPO_00259	K06156
GEPHEFPO_00260	K05349
GEPHEFPO_00261	K00851
GEPHEFPO_00265	K02342
GEPHEFPO_00268	K07090
GEPHEFPO_00269	K17725
GEPHEFPO_00272	K18703
GEPHEFPO_00273	K00428
GEPHEFPO_00276	K03294
GEPHEFPO_00278	K22443
GEPHEFPO_00280	K00248
GEPHEFPO_00281	K07044
GEPHEFPO_00282	K00626
GEPHEFPO_00284	K00059
GEPHEFPO_00285	K00883
GEPHEFPO_00286	K01631
GEPHEFPO_00290	K19810
GEPHEFPO_00291	K11991
GEPHEFPO_00292	K18691
GEPHEFPO_00295	K07124
GEPHEFPO_00296	K00091
GEPHEFPO_00298	K00803
GEPHEFPO_00299	K00111
GEPHEFPO_00300	K00854
GEPHEFPO_00302	K16871
GEPHEFPO_00303	K00135
GEPHEFPO_00305	K16871
GEPHEFPO_00306	K01419
GEPHEFPO_00307	K03667
GEPHEFPO_00309	K03183
GEPHEFPO_00311	K03688
GEPHEFPO_00313	K09470
GEPHEFPO_00316	K03797
GEPHEFPO_00317	K01142
GEPHEFPO_00322	K03522
GEPHEFPO_00323	K03521
GEPHEFPO_00324	K00311
GEPHEFPO_00328	K05907
GEPHEFPO_00330	K13634
GEPHEFPO_00331	K07090
GEPHEFPO_00333	K01081
GEPHEFPO_00334	K03310
GEPHEFPO_00335	K05396
GEPHEFPO_00336	K03210
GEPHEFPO_00337	K03564
GEPHEFPO_00338	K00024
GEPHEFPO_00340	K01069
GEPHEFPO_00341	K03424
GEPHEFPO_00343	K02343
GEPHEFPO_00344	K00943
GEPHEFPO_00345	K07082
GEPHEFPO_00346	K02619
GEPHEFPO_00347	K02078
GEPHEFPO_00348	K00059
GEPHEFPO_00349	K00645
GEPHEFPO_00350	K03621
GEPHEFPO_00351	K02911
GEPHEFPO_00352	K07040
GEPHEFPO_00354	K01091
GEPHEFPO_00355	K06179
GEPHEFPO_00356	K08300
GEPHEFPO_00359	K02371
GEPHEFPO_00364	K02014
GEPHEFPO_00366	K01814
GEPHEFPO_00367	K01640
GEPHEFPO_00368	K01968
GEPHEFPO_00369	K01661
GEPHEFPO_00373	K07708
GEPHEFPO_00375	K01915
GEPHEFPO_00376	K03151
GEPHEFPO_00378	K06207
GEPHEFPO_00379	K02488
GEPHEFPO_00380	K01246
GEPHEFPO_00381	K01259
GEPHEFPO_00382	K07560
GEPHEFPO_00383	K02558
GEPHEFPO_00384	K12688
GEPHEFPO_00385	K21071
GEPHEFPO_00386	K00018
GEPHEFPO_00388	K15738
GEPHEFPO_00389	K15633
GEPHEFPO_00390	K22719
GEPHEFPO_00391	K03797
GEPHEFPO_00393	K03442
GEPHEFPO_00394	K02621
GEPHEFPO_00395	K02622
GEPHEFPO_00396	K07000
GEPHEFPO_00397	K03651
GEPHEFPO_00399	K01515
GEPHEFPO_00400	K12340
GEPHEFPO_00401	K02527
GEPHEFPO_00405	K00826
GEPHEFPO_00406	K00982
GEPHEFPO_00407	K02652
GEPHEFPO_00408	K14682
GEPHEFPO_00409	K01687
GEPHEFPO_00414	K03561
GEPHEFPO_00416	K00287
GEPHEFPO_00417	K00560
GEPHEFPO_00418	K13292
GEPHEFPO_00420	K08484
GEPHEFPO_00421	K08311
GEPHEFPO_00423	K02437
GEPHEFPO_00426	K15034
GEPHEFPO_00430	K18204
GEPHEFPO_00431	K00058
GEPHEFPO_00432	K03704
GEPHEFPO_00433	K02913
GEPHEFPO_00434	K02902
GEPHEFPO_00435	K03630
GEPHEFPO_00436	K13038
GEPHEFPO_00437	K01835
GEPHEFPO_00438	K00930
GEPHEFPO_00439	K05501
GEPHEFPO_00441	K00762
GEPHEFPO_00442	K00989
GEPHEFPO_00445	K00942
GEPHEFPO_00446	K03060
GEPHEFPO_00447	K01139
GEPHEFPO_00448	K09022
GEPHEFPO_00450	K04761
GEPHEFPO_00451	K03655
GEPHEFPO_00453	K03306
GEPHEFPO_00454	K09964
GEPHEFPO_00460	K06867
GEPHEFPO_00467	K01624
GEPHEFPO_00468	K00927
GEPHEFPO_00469	K00134
GEPHEFPO_00470	K00615
GEPHEFPO_00472	K00789
GEPHEFPO_00473	K01251
GEPHEFPO_00474	K00297
GEPHEFPO_00475	K09761
GEPHEFPO_00477	K09458
GEPHEFPO_00479	K00058
GEPHEFPO_00483	K03978
GEPHEFPO_00484	K02335
GEPHEFPO_00485	K09815
GEPHEFPO_00486	K09823
GEPHEFPO_00487	K09817
GEPHEFPO_00488	K09816
GEPHEFPO_00489	K07152
GEPHEFPO_00490	K02257
GEPHEFPO_00494	K02262
GEPHEFPO_00495	K02258
GEPHEFPO_00496	K02274
GEPHEFPO_00497	K02275
GEPHEFPO_00501	K00014
GEPHEFPO_00502	K00228
GEPHEFPO_00503	K07566
GEPHEFPO_00504	K01588
GEPHEFPO_00505	K04096
GEPHEFPO_00507	K01462
GEPHEFPO_00508	K00604
GEPHEFPO_00509	K03500
GEPHEFPO_00510	K03499
GEPHEFPO_00511	K03498
GEPHEFPO_00512	K05844
GEPHEFPO_00514	K03657
GEPHEFPO_00515	K19337
GEPHEFPO_00517	K00820
GEPHEFPO_00518	K04042
GEPHEFPO_00519	K02114
GEPHEFPO_00520	K02112
GEPHEFPO_00521	K02115
GEPHEFPO_00522	K02111
GEPHEFPO_00523	K02113
GEPHEFPO_00524	K02109
GEPHEFPO_00525	K02110
GEPHEFPO_00526	K02108
GEPHEFPO_00528	K03497
GEPHEFPO_00529	K03496
GEPHEFPO_00530	K03501
GEPHEFPO_00531	K03495
GEPHEFPO_00534	K03217
GEPHEFPO_00535	K03650
GEPHEFPO_00536	K02313
GEPHEFPO_00537	K02338
GEPHEFPO_00538	K03629
GEPHEFPO_00539	K02470
GEPHEFPO_00541	K00655
GEPHEFPO_00542	K01879
GEPHEFPO_00543	K01878
GEPHEFPO_00544	K00963
GEPHEFPO_00545	K03181
GEPHEFPO_00546	K03179
GEPHEFPO_00548	K09861
GEPHEFPO_00552	K02556
GEPHEFPO_00553	K02557
GEPHEFPO_00554	K02557
GEPHEFPO_00555	K10716
GEPHEFPO_00556	K02422
GEPHEFPO_00558	K03281
GEPHEFPO_00559	K07713
GEPHEFPO_00560	K02481
GEPHEFPO_00562	K02409
GEPHEFPO_00563	K02410
GEPHEFPO_00565	K02412
GEPHEFPO_00569	K02416
GEPHEFPO_00570	K02417
GEPHEFPO_00572	K02419
GEPHEFPO_00573	K02420
GEPHEFPO_00575	K02401
GEPHEFPO_00581	K02405
GEPHEFPO_00582	K04562
GEPHEFPO_00584	K02400
GEPHEFPO_00585	K06917
GEPHEFPO_00587	K08683
GEPHEFPO_00589	K02501
GEPHEFPO_00590	K00548
GEPHEFPO_00593	K07755
GEPHEFPO_00594	K00772
GEPHEFPO_00596	K09931
GEPHEFPO_00599	K03929
GEPHEFPO_00602	K11085
GEPHEFPO_00605	K00471
GEPHEFPO_00606	K07146
GEPHEFPO_00610	K17743
GEPHEFPO_00612	K03307
GEPHEFPO_00616	K01640
GEPHEFPO_00617	K18703
GEPHEFPO_00618	K03710
GEPHEFPO_00620	K00253
GEPHEFPO_00621	K01969
GEPHEFPO_00623	K09473
GEPHEFPO_00624	K01491
GEPHEFPO_00628	K02478
GEPHEFPO_00629	K02477
GEPHEFPO_00630	K05349
GEPHEFPO_00633	K03424
GEPHEFPO_00634	K08309
GEPHEFPO_00637	K03168
GEPHEFPO_00642	K01356
GEPHEFPO_00645	K01207
GEPHEFPO_00646	K16052
GEPHEFPO_00648	K03098
GEPHEFPO_00650	K03723
GEPHEFPO_00651	K00134
GEPHEFPO_00652	K01069
GEPHEFPO_00653	K00346
GEPHEFPO_00654	K00347
GEPHEFPO_00655	K00348
GEPHEFPO_00656	K00349
GEPHEFPO_00657	K00350
GEPHEFPO_00658	K02406
GEPHEFPO_00659	K02407
GEPHEFPO_00660	K02406
GEPHEFPO_00661	K02396
GEPHEFPO_00663	K02394
GEPHEFPO_00664	K02393
GEPHEFPO_00665	K02392
GEPHEFPO_00667	K00106
GEPHEFPO_00668	K07303
GEPHEFPO_00670	K01593
GEPHEFPO_00671	K01825
GEPHEFPO_00672	K17828
GEPHEFPO_00673	K01637
GEPHEFPO_00674	K05798
GEPHEFPO_00675	K01638
GEPHEFPO_00676	K02553
GEPHEFPO_00677	K00681
GEPHEFPO_00678	K18850
GEPHEFPO_00679	K01756
GEPHEFPO_00681	K00566
GEPHEFPO_00682	K12152
GEPHEFPO_00683	K06181
GEPHEFPO_00684	K00031
GEPHEFPO_00685	K03704
GEPHEFPO_00686	K06891
GEPHEFPO_00687	K03694
GEPHEFPO_00688	K02518
GEPHEFPO_00689	K00685
GEPHEFPO_00690	K00684
GEPHEFPO_00691	K00384
GEPHEFPO_00692	K03466
GEPHEFPO_00693	K03634
GEPHEFPO_00694	K07478
GEPHEFPO_00695	K06199
GEPHEFPO_00696	K01875
GEPHEFPO_00697	K02302
GEPHEFPO_00701	K18055
GEPHEFPO_00707	K18204
GEPHEFPO_00709	K15537
GEPHEFPO_00714	K09473
GEPHEFPO_00715	K01491
GEPHEFPO_00717	K09699
GEPHEFPO_00718	K00167
GEPHEFPO_00719	K00166
GEPHEFPO_00720	K00315
GEPHEFPO_00723	K02040
GEPHEFPO_00727	K07636
GEPHEFPO_00728	K07657
GEPHEFPO_00729	K03775
GEPHEFPO_00731	K00134
GEPHEFPO_00735	K03710
GEPHEFPO_00736	K07461
GEPHEFPO_00738	K07053
GEPHEFPO_00740	K03676
GEPHEFPO_00741	K03071
GEPHEFPO_00742	K07712
GEPHEFPO_00745	K01692
GEPHEFPO_00746	K01126
GEPHEFPO_00747	K01883
GEPHEFPO_00748	K01886
GEPHEFPO_00749	K03768
GEPHEFPO_00750	K03269
GEPHEFPO_00751	K19416
GEPHEFPO_00752	K11179
GEPHEFPO_00754	K00557
GEPHEFPO_00757	K09760
GEPHEFPO_00759	K16898
GEPHEFPO_00760	K01626
GEPHEFPO_00765	K06219
GEPHEFPO_00766	K01439
GEPHEFPO_00768	K15984
GEPHEFPO_00772	K01714
GEPHEFPO_00773	K02517
GEPHEFPO_00774	K00209
GEPHEFPO_00775	K09919
GEPHEFPO_00776	K01759
GEPHEFPO_00777	K00627
GEPHEFPO_00778	K00163
GEPHEFPO_00779	K01408
GEPHEFPO_00780	K03548
GEPHEFPO_00781	K01423
GEPHEFPO_00782	K03517
GEPHEFPO_00784	K00392
GEPHEFPO_00786	K11745
GEPHEFPO_00788	K04774
GEPHEFPO_00789	K03426
GEPHEFPO_00790	K03314
GEPHEFPO_00791	K00249
GEPHEFPO_00795	K01897
GEPHEFPO_00796	K07026
GEPHEFPO_00798	K22597
GEPHEFPO_00799	K14162
GEPHEFPO_00801	K10215
GEPHEFPO_00804	K01902
GEPHEFPO_00805	K01903
GEPHEFPO_00806	K00382
GEPHEFPO_00807	K00658
GEPHEFPO_00808	K00164
GEPHEFPO_00809	K00240
GEPHEFPO_00810	K00239
GEPHEFPO_00811	K00242
GEPHEFPO_00812	K00241
GEPHEFPO_00813	K01647
GEPHEFPO_00816	K01682
GEPHEFPO_00819	K01897
GEPHEFPO_00821	K07400
GEPHEFPO_00822	K12663
GEPHEFPO_00823	K00219
GEPHEFPO_00824	K16048
GEPHEFPO_00829	K00059
GEPHEFPO_00836	K01480
GEPHEFPO_00838	K00121
GEPHEFPO_00839	K01070
GEPHEFPO_00840	K00334
GEPHEFPO_00841	K05587
GEPHEFPO_00842	K00123
GEPHEFPO_00843	K02379
GEPHEFPO_00847	K17231
GEPHEFPO_00848	K03637
GEPHEFPO_00850	K03635
GEPHEFPO_00851	K03752
GEPHEFPO_00852	K03148
GEPHEFPO_00853	K03638
GEPHEFPO_00854	K03750
GEPHEFPO_00855	K03639
GEPHEFPO_00858	K00048
GEPHEFPO_00861	K08306
GEPHEFPO_00862	K10805
GEPHEFPO_00865	K00249
GEPHEFPO_00866	K00059
GEPHEFPO_00867	K00344
GEPHEFPO_00869	K23677
GEPHEFPO_00871	K01969
GEPHEFPO_00872	K05607
GEPHEFPO_00873	K01961
GEPHEFPO_00875	K00219
GEPHEFPO_00877	K00249
GEPHEFPO_00880	K03929
GEPHEFPO_00881	K18244
GEPHEFPO_00883	K02843
GEPHEFPO_00890	K18471
GEPHEFPO_00891	K03272
GEPHEFPO_00892	K02841
GEPHEFPO_00894	K08679
GEPHEFPO_00895	K03273
GEPHEFPO_00896	K03271
GEPHEFPO_00899	K00059
GEPHEFPO_00900	K00626
GEPHEFPO_00904	K00626
GEPHEFPO_00905	K00059
GEPHEFPO_00906	K00674
GEPHEFPO_00908	K10773
GEPHEFPO_00909	K14267
GEPHEFPO_00910	K00990
GEPHEFPO_00911	K01265
GEPHEFPO_00912	K02967
GEPHEFPO_00913	K02357
GEPHEFPO_00914	K09903
GEPHEFPO_00915	K02838
GEPHEFPO_00916	K00806
GEPHEFPO_00917	K00981
GEPHEFPO_00918	K00099
GEPHEFPO_00919	K11749
GEPHEFPO_00920	K07277
GEPHEFPO_00922	K02536
GEPHEFPO_00923	K02372
GEPHEFPO_00924	K00677
GEPHEFPO_00925	K00748
GEPHEFPO_00926	K03470
GEPHEFPO_00927	K00648
GEPHEFPO_00928	K02337
GEPHEFPO_00929	K01962
GEPHEFPO_00932	K09906
GEPHEFPO_00933	K02335
GEPHEFPO_00934	K03473
GEPHEFPO_00936	K14260
GEPHEFPO_00942	K02238
GEPHEFPO_00943	K03561
GEPHEFPO_00945	K11085
GEPHEFPO_00946	K00912
GEPHEFPO_00947	K00979
GEPHEFPO_00948	K01104
GEPHEFPO_00949	K00075
GEPHEFPO_00950	K10860
GEPHEFPO_00951	K00835
GEPHEFPO_00952	K00556
GEPHEFPO_00953	K01665
GEPHEFPO_00955	K04759
GEPHEFPO_00958	K09761
GEPHEFPO_00960	K14645
GEPHEFPO_00962	K02036
GEPHEFPO_00963	K02039
GEPHEFPO_00965	K01662
GEPHEFPO_00966	K13789
GEPHEFPO_00969	K03308
GEPHEFPO_00970	K00059
GEPHEFPO_00972	K11952
GEPHEFPO_00973	K00362
GEPHEFPO_00975	K00367
GEPHEFPO_00976	K02303
GEPHEFPO_00979	K01823
GEPHEFPO_00987	K00281
GEPHEFPO_00988	K00605
GEPHEFPO_00990	K06879
GEPHEFPO_00991	K01992
GEPHEFPO_00992	K01990
GEPHEFPO_00994	K09808
GEPHEFPO_00995	K09810
GEPHEFPO_00996	K09808
GEPHEFPO_00999	K00322
GEPHEFPO_01001	K03734
GEPHEFPO_01002	K00351
GEPHEFPO_01004	K00325
GEPHEFPO_01005	K00324
GEPHEFPO_01006	K00324
GEPHEFPO_01007	K02523
GEPHEFPO_01008	K01716
GEPHEFPO_01009	K00647
GEPHEFPO_01010	K03386
GEPHEFPO_01011	K03111
GEPHEFPO_01013	K03701
GEPHEFPO_01016	K02014
GEPHEFPO_01018	K07713
GEPHEFPO_01022	K03789
GEPHEFPO_01024	K01649
GEPHEFPO_01025	K17103
GEPHEFPO_01027	K01653
GEPHEFPO_01028	K01652
GEPHEFPO_01030	K01579
GEPHEFPO_01031	K01918
GEPHEFPO_01032	K02314
GEPHEFPO_01033	K02939
GEPHEFPO_01035	K02963
GEPHEFPO_01036	K02990
GEPHEFPO_01038	K03218
GEPHEFPO_01040	K00864
GEPHEFPO_01042	K11720
GEPHEFPO_01044	K01255
GEPHEFPO_01047	K01873
GEPHEFPO_01048	K03656
GEPHEFPO_01049	K02517
GEPHEFPO_01050	K01077
GEPHEFPO_01054	K00315
GEPHEFPO_01060	K00548
GEPHEFPO_01062	K05524
GEPHEFPO_01063	K03555
GEPHEFPO_01064	K01692
GEPHEFPO_01065	K03743
GEPHEFPO_01066	K03553
GEPHEFPO_01068	K07019
GEPHEFPO_01071	K19304
GEPHEFPO_01072	K09791
GEPHEFPO_01073	K02503
GEPHEFPO_01074	K01872
GEPHEFPO_01075	K00928
GEPHEFPO_01076	K03563
GEPHEFPO_01084	K07497
GEPHEFPO_01088	K07568
GEPHEFPO_01089	K00773
GEPHEFPO_01092	K03575
GEPHEFPO_01094	K02014
GEPHEFPO_01095	K01693
GEPHEFPO_01096	K02501
GEPHEFPO_01098	K08683
GEPHEFPO_01100	K06917
GEPHEFPO_01101	K01008
GEPHEFPO_01103	K00383
GEPHEFPO_01104	K16092
GEPHEFPO_01106	K02016
GEPHEFPO_01107	K19221
GEPHEFPO_01108	K02015
GEPHEFPO_01109	K02013
GEPHEFPO_01110	K06858
GEPHEFPO_01111	K03320
GEPHEFPO_01114	K08968
GEPHEFPO_01116	K19222
GEPHEFPO_01117	K06020
GEPHEFPO_01130	K01563
GEPHEFPO_01134	K01840
GEPHEFPO_01136	K01591
GEPHEFPO_01139	K03086
GEPHEFPO_01140	K02316
GEPHEFPO_01141	K09117
GEPHEFPO_01142	K02970
GEPHEFPO_01143	K01409
GEPHEFPO_01144	K01633
GEPHEFPO_01146	K00059
GEPHEFPO_01147	K00974
GEPHEFPO_01148	K01420
GEPHEFPO_01149	K14055
GEPHEFPO_01150	K07304
GEPHEFPO_01152	K02193
GEPHEFPO_01153	K02194
GEPHEFPO_01154	K02195
GEPHEFPO_01156	K02197
GEPHEFPO_01158	K02199
GEPHEFPO_01159	K02200
GEPHEFPO_01161	K03529
GEPHEFPO_01162	K03528
GEPHEFPO_01163	K01972
GEPHEFPO_01167	K03437
GEPHEFPO_01169	K03474
GEPHEFPO_01170	K03767
GEPHEFPO_01172	K09780
GEPHEFPO_01174	K01652
GEPHEFPO_01176	K05896
GEPHEFPO_01177	K06024
GEPHEFPO_01178	K06178
GEPHEFPO_01180	K22292
GEPHEFPO_01181	K00568
GEPHEFPO_01182	K12960
GEPHEFPO_01183	K02469
GEPHEFPO_01184	K14170
GEPHEFPO_01185	K00800
GEPHEFPO_01186	K00945
GEPHEFPO_01187	K02945
GEPHEFPO_01188	K05788
GEPHEFPO_01189	K00117
GEPHEFPO_01190	K13299
GEPHEFPO_01192	K00784
GEPHEFPO_01199	K01130
GEPHEFPO_01201	K07516
GEPHEFPO_01202	K02371
GEPHEFPO_01203	K11729
GEPHEFPO_01204	K00860
GEPHEFPO_01205	K00958
GEPHEFPO_01208	K11927
GEPHEFPO_01209	K03321
GEPHEFPO_01212	K04079
GEPHEFPO_01213	K00057
GEPHEFPO_01215	K08296
GEPHEFPO_01218	K01495
GEPHEFPO_01219	K07320
GEPHEFPO_01220	K01736
GEPHEFPO_01222	K00616
GEPHEFPO_01223	K05539
GEPHEFPO_01226	K01113
GEPHEFPO_01227	K03703
GEPHEFPO_01228	K00995
GEPHEFPO_01237	K16048
GEPHEFPO_01238	K00219
GEPHEFPO_01239	K12663
GEPHEFPO_01243	K03545
GEPHEFPO_01244	K01358
GEPHEFPO_01245	K03544
GEPHEFPO_01247	K02650
GEPHEFPO_01248	K00767
GEPHEFPO_01250	K03806
GEPHEFPO_01252	K08218
GEPHEFPO_01253	K07443
GEPHEFPO_01254	K07113
GEPHEFPO_01255	K04078
GEPHEFPO_01256	K04077
GEPHEFPO_01259	K01676
GEPHEFPO_01260	K16191
GEPHEFPO_01261	K01141
GEPHEFPO_01262	K00609
GEPHEFPO_01264	K03722
GEPHEFPO_01266	K05592
GEPHEFPO_01270	K00059
GEPHEFPO_01271	K00275
GEPHEFPO_01273	K04760
GEPHEFPO_01275	K03113
GEPHEFPO_01278	K05835
GEPHEFPO_01279	K10716
GEPHEFPO_01280	K07391
GEPHEFPO_01283	K04751
GEPHEFPO_01284	K03320
GEPHEFPO_01285	K04751
GEPHEFPO_01286	K03981
GEPHEFPO_01287	K00003
GEPHEFPO_01288	K01733
GEPHEFPO_01289	K02968
GEPHEFPO_01290	K03980
GEPHEFPO_01291	K11753
GEPHEFPO_01292	K01870
GEPHEFPO_01293	K03101
GEPHEFPO_01294	K03774
GEPHEFPO_01295	K03527
GEPHEFPO_01296	K01810
GEPHEFPO_01297	K01690
GEPHEFPO_01298	K00845
GEPHEFPO_01299	K01625
GEPHEFPO_01300	K00036
GEPHEFPO_01301	K01057
GEPHEFPO_01302	K00873
GEPHEFPO_01303	K00134
GEPHEFPO_01304	K19337
GEPHEFPO_01305	K01895
GEPHEFPO_01306	K01126
GEPHEFPO_01313	K03593
GEPHEFPO_01314	K01494
GEPHEFPO_01317	K11175
GEPHEFPO_01318	K01933
GEPHEFPO_01321	K04773
GEPHEFPO_01324	K01876
GEPHEFPO_01327	K01159
GEPHEFPO_01328	K03550
GEPHEFPO_01329	K03551
GEPHEFPO_01331	K03562
GEPHEFPO_01332	K03559
GEPHEFPO_01334	K03641
GEPHEFPO_01335	K03640
GEPHEFPO_01337	K10026
GEPHEFPO_01338	K06920
GEPHEFPO_01347	K01885
GEPHEFPO_01350	K02391
GEPHEFPO_01351	K02390
GEPHEFPO_01353	K02388
GEPHEFPO_01354	K02387
GEPHEFPO_01363	K05592
GEPHEFPO_01365	K03722
GEPHEFPO_01367	K00609
GEPHEFPO_01368	K01141
GEPHEFPO_01369	K16191
GEPHEFPO_01370	K01676
GEPHEFPO_01373	K04077
GEPHEFPO_01374	K04078
GEPHEFPO_01375	K07113
GEPHEFPO_01376	K07443
GEPHEFPO_01377	K08218
GEPHEFPO_01379	K03806
GEPHEFPO_01381	K00767
GEPHEFPO_01382	K02682
GEPHEFPO_01383	K02652
GEPHEFPO_01384	K02653
GEPHEFPO_01385	K02654
GEPHEFPO_01386	K00859
GEPHEFPO_01387	K09862
GEPHEFPO_01388	K03574
GEPHEFPO_01389	K00620
GEPHEFPO_01390	K03070
GEPHEFPO_01392	K02535
GEPHEFPO_01393	K03531
GEPHEFPO_01394	K03590
GEPHEFPO_01395	K03589
GEPHEFPO_01396	K01921
GEPHEFPO_01397	K01924
GEPHEFPO_01398	K02563
GEPHEFPO_01399	K03588
GEPHEFPO_01400	K01925
GEPHEFPO_01401	K01000
GEPHEFPO_01402	K01929
GEPHEFPO_01403	K01928
GEPHEFPO_01404	K03587
GEPHEFPO_01406	K03438
GEPHEFPO_01407	K03925
GEPHEFPO_01408	K02004
GEPHEFPO_01409	K02003
GEPHEFPO_01410	K10804
GEPHEFPO_01411	K07305
GEPHEFPO_01413	K07462
GEPHEFPO_01415	K01935
GEPHEFPO_01416	K02170
GEPHEFPO_01417	K00652
GEPHEFPO_01418	K01012
GEPHEFPO_01419	K00372
GEPHEFPO_01420	K00021
GEPHEFPO_01422	K01874
GEPHEFPO_01423	K03617
GEPHEFPO_01424	K03616
