JICOJHNP_00001	K01745
JICOJHNP_00552	K07576
JICOJHNP_00553	K01866
JICOJHNP_00554	K18682
JICOJHNP_00558	K04042
JICOJHNP_00559	K02114
JICOJHNP_00560	K02112
JICOJHNP_00561	K02115
JICOJHNP_00562	K02111
JICOJHNP_00563	K02113
JICOJHNP_00566	K05837
JICOJHNP_00567	K05515
JICOJHNP_00569	K03570
JICOJHNP_00570	K03569
JICOJHNP_00572	K01297
JICOJHNP_00575	K08303
JICOJHNP_00577	K03281
JICOJHNP_00579	K02433
JICOJHNP_00587	K08219
JICOJHNP_00590	K00249
JICOJHNP_00593	K09458
JICOJHNP_00594	K00648
JICOJHNP_00595	K01563
JICOJHNP_00596	K01904
JICOJHNP_00597	K00974
JICOJHNP_00598	K16239
JICOJHNP_00601	K03980
JICOJHNP_00602	K06877
JICOJHNP_00603	K01476
JICOJHNP_00610	K07714
JICOJHNP_00611	K02653
JICOJHNP_00612	K02652
JICOJHNP_00614	K02666
JICOJHNP_00620	K06158
JICOJHNP_00622	K02652
JICOJHNP_00623	K09765
JICOJHNP_00624	K06997
JICOJHNP_00625	K06287
JICOJHNP_00629	K00790
JICOJHNP_00633	K03306
JICOJHNP_00636	K00314
JICOJHNP_00637	K05799
JICOJHNP_00638	K07814
JICOJHNP_00639	K06207
JICOJHNP_00640	K06077
JICOJHNP_00641	K18453
JICOJHNP_00642	K03579
JICOJHNP_00643	K02521
JICOJHNP_00644	K00053
JICOJHNP_00645	K00198
JICOJHNP_00648	K07708
JICOJHNP_00650	K04562
JICOJHNP_00655	K11782
JICOJHNP_00656	K20810
JICOJHNP_00657	K03520
JICOJHNP_00658	K00106
JICOJHNP_00661	K07402
JICOJHNP_00663	K00111
JICOJHNP_00665	K00928
JICOJHNP_00669	K07710
JICOJHNP_00671	K11523
JICOJHNP_00675	K03388
JICOJHNP_00682	K02490
JICOJHNP_00683	K07710
JICOJHNP_00684	K02481
JICOJHNP_00687	K02485
JICOJHNP_00688	K07636
JICOJHNP_00698	K01596
JICOJHNP_00699	K07053
JICOJHNP_00700	K07005
JICOJHNP_00702	K00605
JICOJHNP_00703	K15976
JICOJHNP_00704	K06911
JICOJHNP_00720	K02481
JICOJHNP_00721	K07698
JICOJHNP_00724	K02956
JICOJHNP_00725	K03177
JICOJHNP_00727	K02519
JICOJHNP_00728	K02600
JICOJHNP_00729	K09748
JICOJHNP_00731	K01890
JICOJHNP_00732	K01889
JICOJHNP_00733	K02887
JICOJHNP_00734	K02916
JICOJHNP_00735	K02520
JICOJHNP_00736	K11991
JICOJHNP_00737	K01129
JICOJHNP_00741	K07714
JICOJHNP_00745	K21307
JICOJHNP_00748	K08349
JICOJHNP_00750	K11261
JICOJHNP_00752	K07126
JICOJHNP_00759	K02479
JICOJHNP_00761	K01997
JICOJHNP_00762	K01998
JICOJHNP_00763	K01995
JICOJHNP_00764	K01996
JICOJHNP_00765	K01897
JICOJHNP_00767	K05605
JICOJHNP_00768	K07509
JICOJHNP_00770	K01626
JICOJHNP_00771	K07444
JICOJHNP_00776	K06199
JICOJHNP_00778	K07107
JICOJHNP_00780	K14126
JICOJHNP_00781	K14128
JICOJHNP_00782	K00441
JICOJHNP_00784	K00442
JICOJHNP_00786	K06282
JICOJHNP_00787	K06281
JICOJHNP_00788	K03605
JICOJHNP_00793	K04655
JICOJHNP_00794	K04654
JICOJHNP_00795	K04656
JICOJHNP_00796	K04653
JICOJHNP_00797	K07714
JICOJHNP_00798	K07710
JICOJHNP_00801	K01338
JICOJHNP_00807	K01738
JICOJHNP_00808	K13654
JICOJHNP_00809	K07238
JICOJHNP_00811	K17723
JICOJHNP_00812	K13566
JICOJHNP_00816	K03519
JICOJHNP_00817	K03518
JICOJHNP_00818	K03520
JICOJHNP_00819	K05601
JICOJHNP_00822	K00241
JICOJHNP_00825	K00111
JICOJHNP_00826	K00864
JICOJHNP_00828	K07126
JICOJHNP_00832	K00015
JICOJHNP_00834	K11358
JICOJHNP_00835	K06001
JICOJHNP_00841	K19421
JICOJHNP_00845	K04043
JICOJHNP_00846	K13599
JICOJHNP_00849	K07709
JICOJHNP_00850	K02481
JICOJHNP_00851	K07090
JICOJHNP_00854	K07714
JICOJHNP_00862	K03581
JICOJHNP_00864	K00764
JICOJHNP_00867	K00215
JICOJHNP_00868	K00966
JICOJHNP_00869	K00631
JICOJHNP_00872	K03469
JICOJHNP_00874	K00817
JICOJHNP_00875	K00945
JICOJHNP_00876	K02945
JICOJHNP_00877	K04773
JICOJHNP_00880	K00088
JICOJHNP_00881	K02337
JICOJHNP_00884	K18707
JICOJHNP_00885	K00566
JICOJHNP_00889	K02029
JICOJHNP_00890	K02424
JICOJHNP_00891	K02028
JICOJHNP_00892	K02029
JICOJHNP_00899	K16785
JICOJHNP_00900	K02006
JICOJHNP_00901	K03738
JICOJHNP_00903	K07462
JICOJHNP_00904	K01768
JICOJHNP_00905	K03738
JICOJHNP_00907	K22314
JICOJHNP_00908	K15268
JICOJHNP_00909	K05601
JICOJHNP_00915	K03808
JICOJHNP_00916	K06192
JICOJHNP_00919	K00854
JICOJHNP_00923	K03522
JICOJHNP_00924	K03777
JICOJHNP_00927	K11440
JICOJHNP_00928	K01905
JICOJHNP_00929	K00077
JICOJHNP_00931	K13890
JICOJHNP_00932	K02034
JICOJHNP_00933	K02031
JICOJHNP_00934	K02035
JICOJHNP_00935	K01473
JICOJHNP_00936	K00314
JICOJHNP_00937	K03738
JICOJHNP_00938	K00205
JICOJHNP_00940	K01684
JICOJHNP_00943	K06714
JICOJHNP_00944	K00315
JICOJHNP_00945	K03521
JICOJHNP_00946	K03522
JICOJHNP_00948	K00548
JICOJHNP_00949	K00548
JICOJHNP_00951	K06714
JICOJHNP_00960	K00008
JICOJHNP_00961	K16792
JICOJHNP_00962	K00830
JICOJHNP_00963	K00104
JICOJHNP_00967	K23107
JICOJHNP_00968	K01703
JICOJHNP_00969	K01704
JICOJHNP_00970	K01903
JICOJHNP_00972	K01902
JICOJHNP_00973	K01644
JICOJHNP_00976	K00104
JICOJHNP_00977	K11473
JICOJHNP_00978	K05799
JICOJHNP_00980	K00782
JICOJHNP_00981	K18929
JICOJHNP_00982	K01843
JICOJHNP_00983	K11529
JICOJHNP_00984	K22373
JICOJHNP_00988	K00615
JICOJHNP_00991	K03324
JICOJHNP_00994	K08963
JICOJHNP_00998	K01715
JICOJHNP_00999	K00819
JICOJHNP_01001	K03111
JICOJHNP_01005	K15342
JICOJHNP_01019	K01999
JICOJHNP_01021	K21393
JICOJHNP_01024	K00140
JICOJHNP_01028	K03733
JICOJHNP_01032	K12368
JICOJHNP_01033	K02034
JICOJHNP_01034	K02033
JICOJHNP_01035	K02032
JICOJHNP_01036	K02031
JICOJHNP_01038	K23717
JICOJHNP_01040	K02083
JICOJHNP_01044	K07133
JICOJHNP_01047	K11536
JICOJHNP_01048	K00344
JICOJHNP_01049	K00354
JICOJHNP_01054	K06897
JICOJHNP_01056	K10805
JICOJHNP_01057	K00219
JICOJHNP_01061	K03980
JICOJHNP_01064	K01869
JICOJHNP_01065	K13704
JICOJHNP_01066	K10716
JICOJHNP_01067	K02346
JICOJHNP_01068	K01512
JICOJHNP_01072	K03704
JICOJHNP_01074	K01069
JICOJHNP_01075	K00931
JICOJHNP_01076	K00147
JICOJHNP_01078	K06960
JICOJHNP_01083	K00134
JICOJHNP_01084	K07321
JICOJHNP_01087	K00197
JICOJHNP_01088	K00193
JICOJHNP_01089	K00198
JICOJHNP_01090	K00194
JICOJHNP_01092	K00288
JICOJHNP_01093	K01491
JICOJHNP_01096	K15034
JICOJHNP_01097	K01346
JICOJHNP_01098	K01905
JICOJHNP_01101	K00919
JICOJHNP_01103	K00948
JICOJHNP_01104	K02897
JICOJHNP_01105	K01056
JICOJHNP_01106	K07736
JICOJHNP_01107	K06180
JICOJHNP_01109	K18330
JICOJHNP_01110	K18331
JICOJHNP_01111	K00336
JICOJHNP_01112	K22015
JICOJHNP_01114	K15986
JICOJHNP_01117	K03531
JICOJHNP_01118	K03590
JICOJHNP_01120	K00075
JICOJHNP_01121	K01924
JICOJHNP_01122	K02563
JICOJHNP_01123	K03588
JICOJHNP_01124	K01925
JICOJHNP_01125	K01000
JICOJHNP_01127	K01928
JICOJHNP_01128	K03587
JICOJHNP_01130	K03438
JICOJHNP_01131	K03925
JICOJHNP_01136	K01990
JICOJHNP_01138	K16785
JICOJHNP_01139	K16786
JICOJHNP_01140	K03523
JICOJHNP_01141	K03524
JICOJHNP_01147	K09858
JICOJHNP_01149	K05776
JICOJHNP_01150	K02199
JICOJHNP_01152	K03611
JICOJHNP_01154	K01695
JICOJHNP_01155	K01696
JICOJHNP_01156	K01817
JICOJHNP_01157	K01609
JICOJHNP_01158	K00766
JICOJHNP_01159	K01658
JICOJHNP_01160	K01657
JICOJHNP_01165	K03738
JICOJHNP_01166	K18166
JICOJHNP_01167	K04069
JICOJHNP_01168	K00656
JICOJHNP_01169	K06714
JICOJHNP_01173	K03738
JICOJHNP_01174	K15580
JICOJHNP_01176	K18166
JICOJHNP_01177	K01473
JICOJHNP_01179	K00548
JICOJHNP_01183	K02584
JICOJHNP_01184	K18258
JICOJHNP_01189	K22468
JICOJHNP_01190	K22468
JICOJHNP_01192	K07133
JICOJHNP_01197	K07814
JICOJHNP_01213	K07486
JICOJHNP_01216	K00341
JICOJHNP_01219	K00341
JICOJHNP_01221	K06949
JICOJHNP_01222	K01897
JICOJHNP_01225	K07277
JICOJHNP_01227	K05592
JICOJHNP_01228	K01436
JICOJHNP_01229	K01262
JICOJHNP_01230	K00812
JICOJHNP_01232	K00606
JICOJHNP_01235	K12972
JICOJHNP_01240	K10536
JICOJHNP_01241	K10536
JICOJHNP_01242	K11069
JICOJHNP_01243	K11070
JICOJHNP_01244	K11071
JICOJHNP_01245	K11072
JICOJHNP_01246	K00290
JICOJHNP_01248	K09251
JICOJHNP_01249	K03738
JICOJHNP_01258	K12972
JICOJHNP_01262	K18967
JICOJHNP_01268	K18967
JICOJHNP_01276	K11527
JICOJHNP_01277	K00575
JICOJHNP_01278	K03412
JICOJHNP_01280	K14640
JICOJHNP_01281	K01163
JICOJHNP_01282	K11072
JICOJHNP_01285	K07133
JICOJHNP_01296	K03574
JICOJHNP_01298	K01791
JICOJHNP_01300	K16703
JICOJHNP_01305	K02035
JICOJHNP_01316	K06193
JICOJHNP_01317	K05788
JICOJHNP_01320	K02034
JICOJHNP_01321	K02031
JICOJHNP_01322	K02032
JICOJHNP_01323	K00656
JICOJHNP_01324	K04069
JICOJHNP_01326	K03702
JICOJHNP_01327	K03703
JICOJHNP_01331	K03606
JICOJHNP_01333	K02945
JICOJHNP_01335	K21064
JICOJHNP_01336	K03474
JICOJHNP_01338	K07037
JICOJHNP_01339	K06217
JICOJHNP_01341	K02499
JICOJHNP_01344	K13770
JICOJHNP_01346	K03521
JICOJHNP_01347	K03522
JICOJHNP_01350	K01689
JICOJHNP_01353	K01758
JICOJHNP_01355	K00087
JICOJHNP_01359	K03639
JICOJHNP_01361	K22900
JICOJHNP_01362	K02188
JICOJHNP_01363	K02224
JICOJHNP_01364	K06042
JICOJHNP_01366	K11072
JICOJHNP_01368	K05777
JICOJHNP_01369	K07668
JICOJHNP_01371	K07305
JICOJHNP_01372	K14261
JICOJHNP_01375	K02470
JICOJHNP_01376	K02338
JICOJHNP_01380	K03737
JICOJHNP_01383	K01434
JICOJHNP_01384	K01684
JICOJHNP_01387	K03585
JICOJHNP_01388	K02584
JICOJHNP_01390	K02231
JICOJHNP_01392	K02233
JICOJHNP_01393	K01999
JICOJHNP_01394	K01995
JICOJHNP_01395	K01356
JICOJHNP_01397	K02346
JICOJHNP_01398	K02337
JICOJHNP_01399	K03320
JICOJHNP_01404	K06895
JICOJHNP_01406	K13529
JICOJHNP_01410	K17686
JICOJHNP_01413	K00633
JICOJHNP_01415	K07516
JICOJHNP_01416	K00632
JICOJHNP_01418	K10747
JICOJHNP_01420	K02003
JICOJHNP_01422	K02004
JICOJHNP_01425	K13444
JICOJHNP_01427	K00820
JICOJHNP_01429	K01874
JICOJHNP_01431	K02343
JICOJHNP_01432	K05788
JICOJHNP_01435	K01883
JICOJHNP_01439	K00812
JICOJHNP_01442	K00824
JICOJHNP_01446	K06187
JICOJHNP_01447	K09747
JICOJHNP_01448	K02343
JICOJHNP_01452	K04088
JICOJHNP_01453	K04087
JICOJHNP_01456	K04078
JICOJHNP_01457	K04077
JICOJHNP_01458	K03562
JICOJHNP_01459	K03559
JICOJHNP_01461	K03641
JICOJHNP_01462	K03640
JICOJHNP_01464	K01159
JICOJHNP_01465	K03550
JICOJHNP_01466	K03551
JICOJHNP_01469	K02871
JICOJHNP_01470	K02996
JICOJHNP_01473	K13895
JICOJHNP_01474	K13894
JICOJHNP_01475	K01872
JICOJHNP_01476	K03553
JICOJHNP_01477	K01095
JICOJHNP_01478	K09121
JICOJHNP_01479	K01258
JICOJHNP_01480	K02371
JICOJHNP_01481	K00362
JICOJHNP_01484	K22597
JICOJHNP_01485	K00696
JICOJHNP_01486	K00847
JICOJHNP_01490	K01953
JICOJHNP_01497	K09778
JICOJHNP_01500	K18967
JICOJHNP_01503	K02035
JICOJHNP_01505	K07787
JICOJHNP_01509	K01768
JICOJHNP_01514	K02635
JICOJHNP_01517	K20074
JICOJHNP_01528	K19159
JICOJHNP_01529	K19158
JICOJHNP_01534	K06173
JICOJHNP_01535	K15333
JICOJHNP_01537	K01092
JICOJHNP_01538	K05796
JICOJHNP_01539	K03738
JICOJHNP_01540	K06180
JICOJHNP_01542	K03654
JICOJHNP_01545	K05591
JICOJHNP_01546	K09768
JICOJHNP_01550	K11927
JICOJHNP_01566	K14491
JICOJHNP_01567	K11720
JICOJHNP_01570	K00901
JICOJHNP_01571	K02483
JICOJHNP_01572	K07636
JICOJHNP_01575	K01953
JICOJHNP_01578	K01897
JICOJHNP_01579	K02493
JICOJHNP_01582	K03575
JICOJHNP_01585	K03924
JICOJHNP_01587	K03664
JICOJHNP_01588	K08483
JICOJHNP_01591	K02622
JICOJHNP_01593	K01338
JICOJHNP_01594	K14742
JICOJHNP_01595	K01613
JICOJHNP_01596	K17103
JICOJHNP_01597	K03624
JICOJHNP_01599	K09007
JICOJHNP_01601	K07259
JICOJHNP_01603	K02456
JICOJHNP_01604	K02652
JICOJHNP_01605	K02653
JICOJHNP_01612	K02453
JICOJHNP_01614	K07710
JICOJHNP_01615	K07714
JICOJHNP_01616	K16089
JICOJHNP_01621	K00789
JICOJHNP_01622	K01251
JICOJHNP_01623	K13954
JICOJHNP_01625	K01845
JICOJHNP_01627	K07402
JICOJHNP_01628	K03520
JICOJHNP_01629	K03518
JICOJHNP_01630	K03519
JICOJHNP_01631	K03520
JICOJHNP_01632	K00106
JICOJHNP_01633	K03519
JICOJHNP_01634	K01912
JICOJHNP_01635	K01474
JICOJHNP_01636	K01473
JICOJHNP_01637	K01848
JICOJHNP_01638	K01849
JICOJHNP_01639	K07588
JICOJHNP_01640	K22293
JICOJHNP_01642	K00180
JICOJHNP_01643	K00179
JICOJHNP_01645	K06861
JICOJHNP_01646	K03427
JICOJHNP_01648	K01154
JICOJHNP_01650	K01153
JICOJHNP_01658	K04763
JICOJHNP_01660	K00059
JICOJHNP_01662	K01338
JICOJHNP_01663	K03642
JICOJHNP_01664	K03273
JICOJHNP_01665	K03581
JICOJHNP_01667	K11070
JICOJHNP_01672	K02481
JICOJHNP_01674	K02031
JICOJHNP_01675	K02034
JICOJHNP_01676	K02033
JICOJHNP_01677	K02035
JICOJHNP_01680	K00606
JICOJHNP_01682	K03753
JICOJHNP_01685	K00891
JICOJHNP_01689	K01775
JICOJHNP_01690	K04069
JICOJHNP_01691	K21636
JICOJHNP_01695	K13533
JICOJHNP_01696	K07713
JICOJHNP_01703	K00821
JICOJHNP_01705	K14358
JICOJHNP_01710	K02567
JICOJHNP_01716	K03742
JICOJHNP_01718	K03215
JICOJHNP_01725	K05813
JICOJHNP_01726	K05814
JICOJHNP_01727	K05815
JICOJHNP_01728	K10112
JICOJHNP_01733	K07511
JICOJHNP_01734	K01969
JICOJHNP_01735	K01965
JICOJHNP_01736	K00248
JICOJHNP_01739	K02687
JICOJHNP_01747	K12264
JICOJHNP_01748	K09181
JICOJHNP_01750	K00262
JICOJHNP_01751	K02482
JICOJHNP_01752	K07714
JICOJHNP_01753	K07326
JICOJHNP_01757	K01768
JICOJHNP_01758	K03704
JICOJHNP_01759	K11927
JICOJHNP_01769	K03152
JICOJHNP_01770	K01912
JICOJHNP_01771	K00087
JICOJHNP_01772	K03518
JICOJHNP_01773	K13481
JICOJHNP_01774	K00119
JICOJHNP_01775	K01996
JICOJHNP_01776	K01995
JICOJHNP_01777	K01998
JICOJHNP_01778	K11960
JICOJHNP_01782	K11751
JICOJHNP_01783	K07133
JICOJHNP_01792	K07043
JICOJHNP_01794	K01154
JICOJHNP_01798	K04763
JICOJHNP_01800	K00059
JICOJHNP_01801	K13953
JICOJHNP_01803	K03522
JICOJHNP_01805	K02379
JICOJHNP_01806	K22015
JICOJHNP_01807	K00123
JICOJHNP_01808	K00125
JICOJHNP_01809	K03388
JICOJHNP_01813	K03738
JICOJHNP_01815	K21395
JICOJHNP_01817	K21393
JICOJHNP_01819	K07080
JICOJHNP_01824	K01153
JICOJHNP_01826	K01154
JICOJHNP_01831	K01704
JICOJHNP_01832	K01703
JICOJHNP_01838	K03218
JICOJHNP_01839	K01916
JICOJHNP_01841	K11440
JICOJHNP_01842	K11959
JICOJHNP_01843	K01998
JICOJHNP_01844	K01997
JICOJHNP_01845	K01996
JICOJHNP_01846	K01995
JICOJHNP_01847	K00196
JICOJHNP_01848	K03738
JICOJHNP_01850	K00108
JICOJHNP_01853	K03088
JICOJHNP_01869	K02851
JICOJHNP_01872	K07133
JICOJHNP_01885	K00548
JICOJHNP_01888	K03333
JICOJHNP_01889	K07018
JICOJHNP_01891	K01937
JICOJHNP_01893	K01689
JICOJHNP_01894	K00939
JICOJHNP_01906	K01990
JICOJHNP_01908	K07307
JICOJHNP_01909	K09251
JICOJHNP_01910	K03738
JICOJHNP_01911	K07250
JICOJHNP_01912	K03718
JICOJHNP_01913	K04567
JICOJHNP_01916	K00986
JICOJHNP_01917	K00102
JICOJHNP_01918	K22104
JICOJHNP_01920	K03738
JICOJHNP_01923	K00127
JICOJHNP_01929	K07680
JICOJHNP_01930	K19221
JICOJHNP_01933	K07095
JICOJHNP_01934	K01048
JICOJHNP_01935	K06013
JICOJHNP_01936	K04764
JICOJHNP_01937	K01756
JICOJHNP_01938	K09141
JICOJHNP_01940	K18258
JICOJHNP_01944	K03616
JICOJHNP_01945	K03617
JICOJHNP_01946	K03613
JICOJHNP_01948	K03614
JICOJHNP_01949	K03615
JICOJHNP_01957	K02480
JICOJHNP_01961	K09707
JICOJHNP_01964	K00990
JICOJHNP_01965	K04751
JICOJHNP_01966	K01915
JICOJHNP_01967	K08305
JICOJHNP_01971	K07075
JICOJHNP_01977	K01154
JICOJHNP_01989	K03738
JICOJHNP_01990	K01897
JICOJHNP_01991	K01996
JICOJHNP_01992	K01995
JICOJHNP_01993	K01998
JICOJHNP_01994	K11960
JICOJHNP_01998	K05606
JICOJHNP_01999	K01895
JICOJHNP_02002	K00675
JICOJHNP_02004	K00962
JICOJHNP_02007	K18890
JICOJHNP_02008	K18889
JICOJHNP_02011	K00974
