LAMKNALE_00005	K07090
LAMKNALE_00447	K07261
LAMKNALE_00449	K09966
LAMKNALE_00450	K08997
LAMKNALE_00452	K00626
LAMKNALE_00453	K01069
LAMKNALE_00455	K00641
LAMKNALE_00457	K00817
LAMKNALE_00458	K04517
LAMKNALE_00459	K13509
LAMKNALE_00462	K09812
LAMKNALE_00463	K01586
LAMKNALE_00465	K01755
LAMKNALE_00466	K00074
LAMKNALE_00467	K03522
LAMKNALE_00468	K03521
LAMKNALE_00469	K00798
LAMKNALE_00471	K06999
LAMKNALE_00474	K03320
LAMKNALE_00475	K04751
LAMKNALE_00477	K00059
LAMKNALE_00478	K01652
LAMKNALE_00484	K00013
LAMKNALE_00486	K00065
LAMKNALE_00493	K06287
LAMKNALE_00494	K00013
LAMKNALE_00495	K00790
LAMKNALE_00499	K01255
LAMKNALE_00500	K13695
LAMKNALE_00501	K13896
LAMKNALE_00502	K13895
LAMKNALE_00503	K13894
LAMKNALE_00504	K13893
LAMKNALE_00505	K08738
LAMKNALE_00506	K00979
LAMKNALE_00507	K05359
LAMKNALE_00508	K02343
LAMKNALE_00509	K09747
LAMKNALE_00510	K06187
LAMKNALE_00511	K09760
LAMKNALE_00512	K01462
LAMKNALE_00513	K00604
LAMKNALE_00514	K06173
LAMKNALE_00515	K01439
LAMKNALE_00516	K00674
LAMKNALE_00518	K01607
LAMKNALE_00521	K03217
LAMKNALE_00522	K03978
LAMKNALE_00523	K00930
LAMKNALE_00527	K02108
LAMKNALE_00529	K02109
LAMKNALE_00532	K03527
LAMKNALE_00533	K02204
LAMKNALE_00534	K03469
LAMKNALE_00536	K03790
LAMKNALE_00537	K17732
LAMKNALE_00538	K01733
LAMKNALE_00539	K14998
LAMKNALE_00541	K02262
LAMKNALE_00542	K02258
LAMKNALE_00544	K02257
LAMKNALE_00545	K02256
LAMKNALE_00546	K02275
LAMKNALE_00549	K07552
LAMKNALE_00550	K01919
LAMKNALE_00551	K09761
LAMKNALE_00552	K03179
LAMKNALE_00553	K02527
LAMKNALE_00554	K00912
LAMKNALE_00556	K03601
LAMKNALE_00557	K01945
LAMKNALE_00558	K11991
LAMKNALE_00559	K06178
LAMKNALE_00560	K08316
LAMKNALE_00561	K03572
LAMKNALE_00563	K03101
LAMKNALE_00564	K01870
LAMKNALE_00565	K11753
LAMKNALE_00569	K03086
LAMKNALE_00570	K02316
LAMKNALE_00571	K09117
LAMKNALE_00572	K01956
LAMKNALE_00573	K01955
LAMKNALE_00574	K03624
LAMKNALE_00576	K00384
LAMKNALE_00578	K00812
LAMKNALE_00580	K03702
LAMKNALE_00581	K00046
LAMKNALE_00582	K03703
LAMKNALE_00583	K00995
LAMKNALE_00585	K03635
LAMKNALE_00586	K00826
LAMKNALE_00588	K00286
LAMKNALE_00591	K13292
LAMKNALE_00592	K18164
LAMKNALE_00593	K05810
LAMKNALE_00594	K00948
LAMKNALE_00595	K02897
LAMKNALE_00596	K01056
LAMKNALE_00597	K06942
LAMKNALE_00598	K00759
LAMKNALE_00599	K00413
LAMKNALE_00600	K00412
LAMKNALE_00601	K00411
LAMKNALE_00602	K03216
LAMKNALE_00603	K00228
LAMKNALE_00606	K18665
LAMKNALE_00609	K07393
LAMKNALE_00610	K07304
LAMKNALE_00614	K03327
LAMKNALE_00615	K00658
LAMKNALE_00616	K21417
LAMKNALE_00619	K00799
LAMKNALE_00620	K19802
LAMKNALE_00621	K12299
LAMKNALE_00622	K00077
LAMKNALE_00623	K03810
LAMKNALE_00624	K19802
LAMKNALE_00628	K07130
LAMKNALE_00629	K02433
LAMKNALE_00630	K02884
LAMKNALE_00632	K01703
LAMKNALE_00633	K01704
LAMKNALE_00634	K00052
LAMKNALE_00635	K00133
LAMKNALE_00636	K00241
LAMKNALE_00638	K00239
LAMKNALE_00639	K00240
LAMKNALE_00640	K02911
LAMKNALE_00641	K13789
LAMKNALE_00642	K01918
LAMKNALE_00643	K00606
LAMKNALE_00644	K03526
LAMKNALE_00645	K03795
LAMKNALE_00646	K06042
LAMKNALE_00647	K00595
LAMKNALE_00648	K03394
LAMKNALE_00649	K07056
LAMKNALE_00651	K02428
LAMKNALE_00652	K00989
LAMKNALE_00653	K03705
LAMKNALE_00654	K03687
LAMKNALE_00655	K03629
LAMKNALE_00656	K02470
LAMKNALE_00659	K05606
LAMKNALE_00660	K01661
LAMKNALE_00661	K18703
LAMKNALE_00664	K16871
LAMKNALE_00667	K06911
LAMKNALE_00670	K04843
LAMKNALE_00674	K10773
LAMKNALE_00676	K18208
LAMKNALE_00677	K01800
LAMKNALE_00678	K00128
LAMKNALE_00680	K01247
LAMKNALE_00682	K00800
LAMKNALE_00683	K00945
LAMKNALE_00684	K02945
LAMKNALE_00686	K11147
LAMKNALE_00689	K05936
LAMKNALE_00690	K05895
LAMKNALE_00691	K02188
LAMKNALE_00692	K02303
LAMKNALE_00693	K02224
LAMKNALE_00696	K18798
LAMKNALE_00697	K00024
LAMKNALE_00699	K01679
LAMKNALE_00703	K00560
LAMKNALE_00704	K00287
LAMKNALE_00705	K04088
LAMKNALE_00706	K04087
LAMKNALE_00707	K04771
LAMKNALE_00708	K01079
LAMKNALE_00709	K00791
LAMKNALE_00710	K03694
LAMKNALE_00711	K02503
LAMKNALE_00712	K09919
LAMKNALE_00714	K02485
LAMKNALE_00715	K02913
LAMKNALE_00716	K03168
LAMKNALE_00717	K08591
LAMKNALE_00718	K01465
LAMKNALE_00719	K00609
LAMKNALE_00720	K22230
LAMKNALE_00721	K07447
LAMKNALE_00722	K02435
LAMKNALE_00724	K03657
LAMKNALE_00725	K02687
LAMKNALE_00727	K01262
LAMKNALE_00728	K01972
LAMKNALE_00729	K03631
LAMKNALE_00730	K05807
LAMKNALE_00731	K02535
LAMKNALE_00732	K03531
LAMKNALE_00733	K03590
LAMKNALE_00734	K03589
LAMKNALE_00735	K01921
LAMKNALE_00736	K00075
LAMKNALE_00737	K01924
LAMKNALE_00738	K02563
LAMKNALE_00739	K03588
LAMKNALE_00740	K01925
LAMKNALE_00741	K01000
LAMKNALE_00742	K01929
LAMKNALE_00743	K01928
LAMKNALE_00744	K03587
LAMKNALE_00746	K03438
LAMKNALE_00748	K11066
LAMKNALE_00749	K01469
LAMKNALE_00750	K00548
LAMKNALE_00751	K00297
LAMKNALE_00753	K04754
LAMKNALE_00756	K09970
LAMKNALE_00757	K09971
LAMKNALE_00758	K09972
LAMKNALE_00763	K09768
LAMKNALE_00764	K00382
LAMKNALE_00765	K00627
LAMKNALE_00766	K00162
LAMKNALE_00769	K23257
LAMKNALE_00770	K05592
LAMKNALE_00771	K01951
LAMKNALE_00772	K03500
LAMKNALE_00773	K00088
LAMKNALE_00774	K02427
LAMKNALE_00775	K14652
LAMKNALE_00776	K00826
LAMKNALE_00777	K09808
LAMKNALE_00778	K01881
LAMKNALE_00780	K12574
LAMKNALE_00781	K03524
LAMKNALE_00782	K00343
LAMKNALE_00783	K00342
LAMKNALE_00784	K00341
LAMKNALE_00785	K00340
LAMKNALE_00786	K00339
LAMKNALE_00787	K00338
LAMKNALE_00788	K00337
LAMKNALE_00789	K00336
LAMKNALE_00790	K00335
LAMKNALE_00791	K03943
LAMKNALE_00792	K00333
LAMKNALE_00793	K03936
LAMKNALE_00794	K00331
LAMKNALE_00795	K00330
LAMKNALE_00801	K01011
LAMKNALE_00802	K00135
LAMKNALE_00803	K01990
LAMKNALE_00804	K01992
LAMKNALE_00808	K03530
LAMKNALE_00809	K01338
LAMKNALE_00810	K03544
LAMKNALE_00811	K01358
LAMKNALE_00812	K03545
LAMKNALE_00814	K04751
LAMKNALE_00815	K01915
LAMKNALE_00816	K02622
LAMKNALE_00817	K07636
LAMKNALE_00818	K02040
LAMKNALE_00819	K02037
LAMKNALE_00820	K02038
LAMKNALE_00821	K02036
LAMKNALE_00822	K02039
LAMKNALE_00823	K02483
LAMKNALE_00824	K13628
LAMKNALE_00826	K11717
LAMKNALE_00827	K09015
LAMKNALE_00828	K09013
LAMKNALE_00829	K09014
LAMKNALE_00830	K04487
LAMKNALE_00832	K07018
LAMKNALE_00833	K09001
LAMKNALE_00834	K01866
LAMKNALE_00836	K03564
LAMKNALE_00837	K02836
LAMKNALE_00838	K05366
LAMKNALE_00840	K04078
LAMKNALE_00841	K04077
LAMKNALE_00842	K00765
LAMKNALE_00843	K01892
LAMKNALE_00844	K01892
LAMKNALE_00845	K05800
LAMKNALE_00846	K03639
LAMKNALE_00847	K01028
LAMKNALE_00848	K01029
LAMKNALE_00849	K02011
LAMKNALE_00850	K02012
LAMKNALE_00857	K03648
LAMKNALE_00858	K00058
LAMKNALE_00859	K01652
LAMKNALE_00862	K18702
LAMKNALE_00863	K01644
LAMKNALE_00866	K02049
LAMKNALE_00868	K17744
LAMKNALE_00869	K02518
LAMKNALE_00871	K16043
LAMKNALE_00872	K19802
LAMKNALE_00874	K16043
LAMKNALE_00879	K03392
LAMKNALE_00880	K03092
LAMKNALE_00881	K06861
LAMKNALE_00883	K11147
LAMKNALE_00889	K01687
LAMKNALE_00891	K12118
LAMKNALE_00892	K01714
LAMKNALE_00893	K07147
LAMKNALE_00894	K17247
LAMKNALE_00895	K06895
LAMKNALE_00896	K00101
LAMKNALE_00897	K07146
LAMKNALE_00901	K03977
LAMKNALE_00902	K16216
LAMKNALE_00903	K00764
LAMKNALE_00905	K02065
LAMKNALE_00906	K02066
LAMKNALE_00907	K01775
LAMKNALE_00908	K02314
LAMKNALE_00909	K02939
LAMKNALE_00911	K02963
LAMKNALE_00912	K02990
LAMKNALE_00913	K00645
LAMKNALE_00914	K00059
LAMKNALE_00915	K02078
LAMKNALE_00916	K09458
LAMKNALE_00917	K00942
LAMKNALE_00918	K02528
LAMKNALE_00919	K00097
LAMKNALE_00921	K04744
LAMKNALE_00922	K11720
LAMKNALE_00924	K01255
LAMKNALE_00925	K00940
LAMKNALE_00926	K01724
LAMKNALE_00929	K06941
LAMKNALE_00930	K01940
LAMKNALE_00931	K01491
LAMKNALE_00933	K03118
LAMKNALE_00936	K12376
LAMKNALE_00939	K03392
LAMKNALE_00941	K00574
LAMKNALE_00942	K09701
LAMKNALE_00943	K00574
LAMKNALE_00944	K07124
LAMKNALE_00946	K03088
LAMKNALE_00949	K00344
LAMKNALE_00950	K02888
LAMKNALE_00951	K02899
LAMKNALE_00952	K03979
LAMKNALE_00953	K00931
LAMKNALE_00954	K00147
LAMKNALE_00956	K09710
LAMKNALE_00957	K00783
LAMKNALE_00958	K03797
LAMKNALE_00959	K08311
LAMKNALE_00961	K02112
LAMKNALE_00962	K02115
LAMKNALE_00963	K02111
LAMKNALE_00964	K02113
LAMKNALE_00965	K04066
LAMKNALE_00966	K00616
LAMKNALE_00967	K03733
LAMKNALE_00968	K01902
LAMKNALE_00969	K01903
LAMKNALE_00971	K03523
LAMKNALE_00972	K01783
LAMKNALE_00973	K06196
LAMKNALE_00974	K01772
LAMKNALE_00975	K06041
LAMKNALE_00976	K00012
LAMKNALE_00981	K18649
LAMKNALE_00982	K04080
LAMKNALE_00983	K01620
LAMKNALE_00985	K00265
LAMKNALE_00986	K00266
LAMKNALE_00990	K08602
LAMKNALE_00991	K08869
LAMKNALE_00993	K00324
LAMKNALE_00994	K00324
LAMKNALE_00995	K00325
LAMKNALE_00998	K01589
LAMKNALE_00999	K01588
LAMKNALE_01001	K09987
LAMKNALE_01004	K02557
LAMKNALE_01006	K10047
LAMKNALE_01007	K02356
LAMKNALE_01009	K01623
LAMKNALE_01010	K00927
LAMKNALE_01011	K00134
LAMKNALE_01012	K00615
LAMKNALE_01015	K01934
LAMKNALE_01016	K09769
LAMKNALE_01018	K01159
LAMKNALE_01019	K03550
LAMKNALE_01020	K03551
LAMKNALE_01021	K03562
LAMKNALE_01022	K03559
LAMKNALE_01024	K03641
LAMKNALE_01025	K03640
LAMKNALE_01026	K04075
LAMKNALE_01027	K03798
LAMKNALE_01028	K03431
LAMKNALE_01031	K00058
LAMKNALE_01032	K01939
LAMKNALE_01036	K03089
LAMKNALE_01037	K06180
LAMKNALE_01041	K01082
LAMKNALE_01043	K02483
LAMKNALE_01044	K09767
LAMKNALE_01045	K00566
LAMKNALE_01048	K02510
LAMKNALE_01050	K01759
LAMKNALE_01053	K03519
LAMKNALE_01054	K03518
LAMKNALE_01055	K03520
LAMKNALE_01060	K06973
LAMKNALE_01065	K01872
LAMKNALE_01068	K02533
LAMKNALE_01069	K02986
LAMKNALE_01070	K07390
LAMKNALE_01072	K23269
LAMKNALE_01073	K23265
LAMKNALE_01074	K23264
LAMKNALE_01075	K01923
LAMKNALE_01076	K01756
LAMKNALE_01078	K03518
LAMKNALE_01079	K03519
LAMKNALE_01080	K07402
LAMKNALE_01081	K07402
LAMKNALE_01083	K01265
LAMKNALE_01084	K03742
LAMKNALE_01085	K00769
LAMKNALE_01089	K00640
LAMKNALE_01091	K11755
LAMKNALE_01092	K01495
LAMKNALE_01094	K08998
LAMKNALE_01095	K01868
LAMKNALE_01096	K00858
LAMKNALE_01097	K00010
LAMKNALE_01098	K03392
LAMKNALE_01099	K00010
LAMKNALE_01101	K00077
LAMKNALE_01102	K00058
LAMKNALE_01103	K03119
LAMKNALE_01107	K00108
LAMKNALE_01112	K01271
LAMKNALE_01113	K00046
LAMKNALE_01115	K00106
LAMKNALE_01119	K03046
LAMKNALE_01120	K02950
LAMKNALE_01121	K02992
LAMKNALE_01122	K02355
LAMKNALE_01123	K02946
LAMKNALE_01124	K02906
LAMKNALE_01125	K02926
LAMKNALE_01126	K02892
LAMKNALE_01127	K02886
LAMKNALE_01128	K02965
LAMKNALE_01129	K02890
LAMKNALE_01130	K02982
LAMKNALE_01131	K02878
LAMKNALE_01133	K02961
LAMKNALE_01134	K02874
LAMKNALE_01135	K02931
LAMKNALE_01136	K02954
LAMKNALE_01137	K02994
LAMKNALE_01138	K02933
LAMKNALE_01139	K02881
LAMKNALE_01140	K02988
LAMKNALE_01141	K02907
LAMKNALE_01142	K02876
LAMKNALE_01143	K03076
LAMKNALE_01144	K00939
LAMKNALE_01145	K00525
LAMKNALE_01146	K00526
LAMKNALE_01148	K00359
LAMKNALE_01150	K03043
LAMKNALE_01151	K02935
LAMKNALE_01153	K02863
LAMKNALE_01154	K02867
LAMKNALE_01155	K02601
LAMKNALE_01157	K02358
LAMKNALE_01160	K03218
LAMKNALE_01162	K18204
LAMKNALE_01163	K02952
LAMKNALE_01164	K02948
LAMKNALE_01165	K03040
LAMKNALE_01166	K02879
LAMKNALE_01167	K06199
LAMKNALE_01168	K06180
LAMKNALE_01170	K03801
LAMKNALE_01173	K07258
LAMKNALE_01174	K06891
LAMKNALE_01175	K09810
LAMKNALE_01176	K01738
LAMKNALE_01183	K01873
LAMKNALE_01185	K01142
LAMKNALE_01186	K01129
LAMKNALE_01187	K01887
LAMKNALE_01189	K01207
LAMKNALE_01190	K05896
LAMKNALE_01191	K06024
LAMKNALE_01192	K02010
LAMKNALE_01193	K01627
LAMKNALE_01194	K01689
LAMKNALE_01196	K00161
LAMKNALE_01198	K11249
LAMKNALE_01201	K11175
LAMKNALE_01202	K01933
LAMKNALE_01204	K00937
LAMKNALE_01205	K03684
LAMKNALE_01206	K01876
LAMKNALE_01208	K00525
LAMKNALE_01210	K02067
LAMKNALE_01212	K01961
LAMKNALE_01213	K02160
LAMKNALE_01214	K03786
LAMKNALE_01216	K08300
LAMKNALE_01218	K18703
LAMKNALE_01220	K18121
LAMKNALE_01222	K01273
LAMKNALE_01226	K00108
LAMKNALE_01228	K18652
LAMKNALE_01229	K00161
LAMKNALE_01232	K03575
LAMKNALE_01233	K00571
LAMKNALE_01234	K03470
LAMKNALE_01235	K03638
LAMKNALE_01236	K21929
LAMKNALE_01237	K00311
LAMKNALE_01238	K00919
LAMKNALE_01239	K02523
LAMKNALE_01240	K15460
LAMKNALE_01241	K01878
LAMKNALE_01242	K01879
LAMKNALE_01243	K01006
LAMKNALE_01244	K00767
LAMKNALE_01245	K00278
LAMKNALE_01246	K03517
LAMKNALE_01248	K06980
LAMKNALE_01251	K02493
LAMKNALE_01252	K02835
LAMKNALE_01254	K00928
LAMKNALE_01255	K00591
LAMKNALE_01257	K11206
LAMKNALE_01258	K03676
LAMKNALE_01259	K18162
LAMKNALE_01260	K03574
LAMKNALE_01261	K00620
LAMKNALE_01262	K03070
LAMKNALE_01263	K01962
LAMKNALE_01264	K04763
LAMKNALE_01265	K00891
LAMKNALE_01266	K01735
LAMKNALE_01267	K22066
LAMKNALE_01272	K02902
LAMKNALE_01274	K17675
LAMKNALE_01275	K05524
LAMKNALE_01276	K07736
LAMKNALE_01282	K00821
LAMKNALE_01283	K00611
LAMKNALE_01284	K01438
LAMKNALE_01285	K03498
LAMKNALE_01287	K10764
LAMKNALE_01289	K04566
LAMKNALE_01290	K00254
LAMKNALE_01292	K07090
LAMKNALE_01294	K02050
LAMKNALE_01296	K13953
LAMKNALE_01297	K00010
LAMKNALE_01298	K00059
LAMKNALE_01301	K02199
LAMKNALE_01303	K02195
LAMKNALE_01304	K02194
LAMKNALE_01305	K02193
LAMKNALE_01306	K01682
LAMKNALE_01307	K04079
LAMKNALE_01309	K06890
LAMKNALE_01311	K02959
LAMKNALE_01312	K00554
LAMKNALE_01313	K00265
LAMKNALE_01320	K00010
LAMKNALE_01322	K00101
LAMKNALE_01323	K01714
LAMKNALE_01324	K08319
LAMKNALE_01327	K08326
LAMKNALE_01328	K01652
LAMKNALE_01329	K01897
LAMKNALE_01330	K21200
LAMKNALE_01332	K03664
LAMKNALE_01333	K01714
LAMKNALE_01334	K08309
LAMKNALE_01339	K01992
LAMKNALE_01340	K01990
LAMKNALE_01341	K15016
LAMKNALE_01342	K18703
LAMKNALE_01344	K16043
LAMKNALE_01346	K00626
LAMKNALE_01347	K11209
LAMKNALE_01349	K02434
LAMKNALE_01350	K00057
LAMKNALE_01352	K01895
LAMKNALE_01353	K01895
LAMKNALE_01356	K03742
LAMKNALE_01357	K01770
LAMKNALE_01358	K07710
LAMKNALE_01359	K07712
LAMKNALE_01361	K13599
LAMKNALE_01362	K03499
LAMKNALE_01363	K03665
LAMKNALE_01364	K06167
LAMKNALE_01365	K00567
LAMKNALE_01367	K03704
LAMKNALE_01368	K06207
LAMKNALE_01370	K07182
LAMKNALE_01372	K03474
LAMKNALE_01373	K00762
LAMKNALE_01374	K00951
LAMKNALE_01375	K14261
LAMKNALE_01376	K00145
LAMKNALE_01377	K02996
LAMKNALE_01378	K02871
LAMKNALE_01379	K01740
