OMKMCGPO_00010	K02387
OMKMCGPO_00569	K05896
OMKMCGPO_00571	K07053
OMKMCGPO_00572	K06190
OMKMCGPO_00574	K03767
OMKMCGPO_00575	K03474
OMKMCGPO_00576	K06180
OMKMCGPO_00578	K14441
OMKMCGPO_00580	K07304
OMKMCGPO_00583	K09539
OMKMCGPO_00585	K03799
OMKMCGPO_00587	K03310
OMKMCGPO_00588	K03308
OMKMCGPO_00596	K02456
OMKMCGPO_00597	K02455
OMKMCGPO_00598	K02454
OMKMCGPO_00599	K02453
OMKMCGPO_00603	K03811
OMKMCGPO_00605	K00077
OMKMCGPO_00607	K03806
OMKMCGPO_00608	K00767
OMKMCGPO_00609	K02553
OMKMCGPO_00611	K05798
OMKMCGPO_00612	K01638
OMKMCGPO_00614	K02652
OMKMCGPO_00615	K02653
OMKMCGPO_00616	K02654
OMKMCGPO_00617	K00859
OMKMCGPO_00618	K03574
OMKMCGPO_00619	K00620
OMKMCGPO_00620	K03070
OMKMCGPO_00622	K02535
OMKMCGPO_00623	K03531
OMKMCGPO_00624	K03590
OMKMCGPO_00625	K03589
OMKMCGPO_00626	K01921
OMKMCGPO_00627	K01924
OMKMCGPO_00628	K02563
OMKMCGPO_00629	K03588
OMKMCGPO_00630	K01925
OMKMCGPO_00631	K01000
OMKMCGPO_00632	K01929
OMKMCGPO_00633	K01928
OMKMCGPO_00634	K03587
OMKMCGPO_00636	K03438
OMKMCGPO_00637	K03925
OMKMCGPO_00638	K07056
OMKMCGPO_00639	K07121
OMKMCGPO_00640	K07460
OMKMCGPO_00643	K03600
OMKMCGPO_00644	K03599
OMKMCGPO_00645	K00412
OMKMCGPO_00646	K00411
OMKMCGPO_00647	K02996
OMKMCGPO_00648	K02871
OMKMCGPO_00649	K06916
OMKMCGPO_00652	K04771
OMKMCGPO_00653	K00013
OMKMCGPO_00654	K00765
OMKMCGPO_00655	K00790
OMKMCGPO_00658	K07301
OMKMCGPO_00659	K06041
OMKMCGPO_00660	K03270
OMKMCGPO_00662	K09774
OMKMCGPO_00663	K06861
OMKMCGPO_00664	K03092
OMKMCGPO_00665	K05808
OMKMCGPO_00666	K02806
OMKMCGPO_00667	K06958
OMKMCGPO_00668	K11189
OMKMCGPO_00669	K06213
OMKMCGPO_00670	K09889
OMKMCGPO_00672	K06287
OMKMCGPO_00673	K03571
OMKMCGPO_00674	K03570
OMKMCGPO_00675	K03569
OMKMCGPO_00677	K02433
OMKMCGPO_00678	K02434
OMKMCGPO_00680	K06203
OMKMCGPO_00681	K05592
OMKMCGPO_00682	K03327
OMKMCGPO_00683	K11996
OMKMCGPO_00684	K02493
OMKMCGPO_00685	K02835
OMKMCGPO_00686	K02492
OMKMCGPO_00689	K00919
OMKMCGPO_00691	K00948
OMKMCGPO_00692	K02897
OMKMCGPO_00693	K01056
OMKMCGPO_00694	K06942
OMKMCGPO_00698	K01990
OMKMCGPO_00702	K03392
OMKMCGPO_00703	K22071
OMKMCGPO_00706	K00059
OMKMCGPO_00709	K17729
OMKMCGPO_00711	K00106
OMKMCGPO_00712	K07303
OMKMCGPO_00718	K00059
OMKMCGPO_00720	K03553
OMKMCGPO_00723	K08602
OMKMCGPO_00726	K02199
OMKMCGPO_00727	K00021
OMKMCGPO_00731	K01077
OMKMCGPO_00732	K03320
OMKMCGPO_00733	K01524
OMKMCGPO_00734	K01775
OMKMCGPO_00735	K00824
OMKMCGPO_00736	K22210
OMKMCGPO_00737	K23124
OMKMCGPO_00738	K06351
OMKMCGPO_00739	K07160
OMKMCGPO_00742	K14674
OMKMCGPO_00743	K11729
OMKMCGPO_00744	K01897
OMKMCGPO_00745	K00255
OMKMCGPO_00746	K01796
OMKMCGPO_00747	K15866
OMKMCGPO_00749	K03580
OMKMCGPO_00750	K03424
OMKMCGPO_00754	K03704
OMKMCGPO_00755	K01873
OMKMCGPO_00756	K02339
OMKMCGPO_00757	K01255
OMKMCGPO_00759	K11720
OMKMCGPO_00761	K05527
OMKMCGPO_00762	K07146
OMKMCGPO_00764	K05786
OMKMCGPO_00765	K03648
OMKMCGPO_00766	K06980
OMKMCGPO_00769	K00278
OMKMCGPO_00770	K03088
OMKMCGPO_00774	K04771
OMKMCGPO_00775	K03596
OMKMCGPO_00776	K03100
OMKMCGPO_00778	K03685
OMKMCGPO_00779	K03595
OMKMCGPO_00780	K03584
OMKMCGPO_00781	K12339
OMKMCGPO_00782	K04765
OMKMCGPO_00783	K00939
OMKMCGPO_00785	K03616
OMKMCGPO_00786	K03617
OMKMCGPO_00787	K01874
OMKMCGPO_00788	K03593
OMKMCGPO_00789	K01494
OMKMCGPO_00791	K11175
OMKMCGPO_00792	K01933
OMKMCGPO_00794	K10763
OMKMCGPO_00795	K09125
OMKMCGPO_00800	K07058
OMKMCGPO_00801	K03809
OMKMCGPO_00803	K04773
OMKMCGPO_00806	K01714
OMKMCGPO_00811	K15984
OMKMCGPO_00813	K01439
OMKMCGPO_00814	K00674
OMKMCGPO_00816	K10773
OMKMCGPO_00817	K14267
OMKMCGPO_00818	K00990
OMKMCGPO_00819	K01265
OMKMCGPO_00820	K02967
OMKMCGPO_00821	K02357
OMKMCGPO_00822	K09903
OMKMCGPO_00823	K02838
OMKMCGPO_00824	K00806
OMKMCGPO_00825	K00981
OMKMCGPO_00826	K00099
OMKMCGPO_00827	K11749
OMKMCGPO_00828	K07277
OMKMCGPO_00830	K02536
OMKMCGPO_00831	K02372
OMKMCGPO_00832	K00677
OMKMCGPO_00833	K00748
OMKMCGPO_00834	K03470
OMKMCGPO_00835	K02337
OMKMCGPO_00839	K00163
OMKMCGPO_00840	K01640
OMKMCGPO_00842	K18244
OMKMCGPO_00845	K01644
OMKMCGPO_00850	K03119
OMKMCGPO_00852	K19304
OMKMCGPO_00853	K01866
OMKMCGPO_00856	K01207
OMKMCGPO_00858	K03309
OMKMCGPO_00859	K01069
OMKMCGPO_00869	K13444
OMKMCGPO_00876	K00681
OMKMCGPO_00877	K00275
OMKMCGPO_00878	K03742
OMKMCGPO_00879	K12573
OMKMCGPO_00880	K07175
OMKMCGPO_00882	K01613
OMKMCGPO_00883	K06949
OMKMCGPO_00884	K13288
OMKMCGPO_00885	K18979
OMKMCGPO_00886	K06925
OMKMCGPO_00887	K01448
OMKMCGPO_00888	K03572
OMKMCGPO_00889	K00791
OMKMCGPO_00890	K03666
OMKMCGPO_00891	K03665
OMKMCGPO_00892	K04088
OMKMCGPO_00893	K04087
OMKMCGPO_00894	K02502
OMKMCGPO_00895	K01939
OMKMCGPO_00910	K12573
OMKMCGPO_00911	K03218
OMKMCGPO_00912	K02990
OMKMCGPO_00913	K02963
OMKMCGPO_00915	K02939
OMKMCGPO_00916	K02314
OMKMCGPO_00920	K04485
OMKMCGPO_00921	K06020
OMKMCGPO_00925	K05844
OMKMCGPO_00927	K00600
OMKMCGPO_00928	K07738
OMKMCGPO_00929	K11752
OMKMCGPO_00930	K00793
OMKMCGPO_00931	K14652
OMKMCGPO_00932	K00794
OMKMCGPO_00933	K03625
OMKMCGPO_00934	K00946
OMKMCGPO_00935	K01095
OMKMCGPO_00936	K13789
OMKMCGPO_00938	K01662
OMKMCGPO_00939	K04762
OMKMCGPO_00940	K20881
OMKMCGPO_00941	K01082
OMKMCGPO_00943	K00567
OMKMCGPO_00945	K03524
OMKMCGPO_00946	K01947
OMKMCGPO_00948	K09001
OMKMCGPO_00949	K15724
OMKMCGPO_00952	K00145
OMKMCGPO_00953	K08973
OMKMCGPO_00954	K01845
OMKMCGPO_00955	K01698
OMKMCGPO_00960	K00784
OMKMCGPO_00961	K01130
OMKMCGPO_00964	K03292
OMKMCGPO_00965	K01907
OMKMCGPO_00966	K00121
OMKMCGPO_00967	K01070
OMKMCGPO_00969	K03334
OMKMCGPO_00972	K03184
OMKMCGPO_00973	K00128
OMKMCGPO_00976	K16089
OMKMCGPO_00980	K20497
OMKMCGPO_00981	K07560
OMKMCGPO_00982	K01104
OMKMCGPO_00985	K22597
OMKMCGPO_00987	K07026
OMKMCGPO_00988	K15918
OMKMCGPO_00990	K00109
OMKMCGPO_00991	K01563
OMKMCGPO_00997	K11729
OMKMCGPO_00999	K00249
OMKMCGPO_01001	K00135
OMKMCGPO_01002	K01640
OMKMCGPO_01003	K23256
OMKMCGPO_01004	K18703
OMKMCGPO_01005	K01704
OMKMCGPO_01006	K01703
OMKMCGPO_01011	K11206
OMKMCGPO_01019	K23241
OMKMCGPO_01020	K00059
OMKMCGPO_01027	K02406
OMKMCGPO_01028	K00059
OMKMCGPO_01030	K18702
OMKMCGPO_01032	K00060
OMKMCGPO_01033	K00639
OMKMCGPO_01041	K09471
OMKMCGPO_01042	K01915
OMKMCGPO_01045	K00891
OMKMCGPO_01047	K01557
OMKMCGPO_01048	K01130
OMKMCGPO_01049	K00059
OMKMCGPO_01050	K05929
OMKMCGPO_01051	K21407
OMKMCGPO_01055	K03325
OMKMCGPO_01056	K13979
OMKMCGPO_01057	K06134
OMKMCGPO_01058	K22443
OMKMCGPO_01067	K00359
OMKMCGPO_01074	K16870
OMKMCGPO_01075	K00666
OMKMCGPO_01076	K01069
OMKMCGPO_01077	K00209
OMKMCGPO_01080	K00627
OMKMCGPO_01081	K00163
OMKMCGPO_01082	K00101
OMKMCGPO_01083	K01407
OMKMCGPO_01084	K03548
OMKMCGPO_01086	K01423
OMKMCGPO_01087	K03517
OMKMCGPO_01088	K05607
OMKMCGPO_01090	K11992
OMKMCGPO_01093	K00906
OMKMCGPO_01096	K22818
OMKMCGPO_01097	K05838
OMKMCGPO_01098	K00215
OMKMCGPO_01099	K03686
OMKMCGPO_01100	K04043
OMKMCGPO_01101	K03687
OMKMCGPO_01102	K03705
OMKMCGPO_01103	K03631
OMKMCGPO_01104	K03711
OMKMCGPO_01106	K09801
OMKMCGPO_01108	K03308
OMKMCGPO_01109	K03664
OMKMCGPO_01112	K01895
OMKMCGPO_01113	K00059
OMKMCGPO_01116	K07114
OMKMCGPO_01119	K03924
OMKMCGPO_01120	K03812
OMKMCGPO_01123	K14742
OMKMCGPO_01124	K06153
OMKMCGPO_01125	K01267
OMKMCGPO_01126	K01867
OMKMCGPO_01127	K02014
OMKMCGPO_01128	K01923
OMKMCGPO_01131	K01436
OMKMCGPO_01136	K00255
OMKMCGPO_01137	K00128
OMKMCGPO_01138	K00864
OMKMCGPO_01139	K16871
OMKMCGPO_01140	K03974
OMKMCGPO_01142	K03969
OMKMCGPO_01146	K00937
OMKMCGPO_01148	K07552
OMKMCGPO_01150	K07718
OMKMCGPO_01151	K02477
OMKMCGPO_01153	K18055
OMKMCGPO_01157	K05349
OMKMCGPO_01159	K03601
OMKMCGPO_01160	K00088
OMKMCGPO_01161	K01951
OMKMCGPO_01162	K11450
OMKMCGPO_01165	K00059
OMKMCGPO_01167	K07512
OMKMCGPO_01169	K07512
OMKMCGPO_01173	K00465
OMKMCGPO_01178	K01256
OMKMCGPO_01181	K02441
OMKMCGPO_01182	K00858
OMKMCGPO_01183	K03644
OMKMCGPO_01184	K00367
OMKMCGPO_01185	K12663
OMKMCGPO_01187	K07124
OMKMCGPO_01188	K00244
OMKMCGPO_01190	K00613
OMKMCGPO_01191	K15667
OMKMCGPO_01192	K07148
OMKMCGPO_01196	K03450
OMKMCGPO_01216	K23164
OMKMCGPO_01220	K07516
OMKMCGPO_01221	K00252
OMKMCGPO_01222	K05776
OMKMCGPO_01224	K15510
OMKMCGPO_01225	K02170
OMKMCGPO_01227	K00666
OMKMCGPO_01228	K11729
OMKMCGPO_01229	K00059
OMKMCGPO_01230	K00249
OMKMCGPO_01231	K00117
OMKMCGPO_01235	K11779
OMKMCGPO_01237	K11212
OMKMCGPO_01239	K06988
OMKMCGPO_01242	K00059
OMKMCGPO_01243	K05884
OMKMCGPO_01245	K05708
OMKMCGPO_01247	K02014
OMKMCGPO_01248	K00059
OMKMCGPO_01251	K00314
OMKMCGPO_01253	K03153
OMKMCGPO_01256	K01273
OMKMCGPO_01257	K22187
OMKMCGPO_01260	K06929
OMKMCGPO_01264	K03657
OMKMCGPO_01266	K10806
OMKMCGPO_01269	K09861
OMKMCGPO_01270	K09919
OMKMCGPO_01271	K03179
OMKMCGPO_01272	K03655
OMKMCGPO_01274	K09022
OMKMCGPO_01275	K01139
OMKMCGPO_01276	K03060
OMKMCGPO_01277	K00942
OMKMCGPO_01279	K00989
OMKMCGPO_01280	K10771
OMKMCGPO_01281	K00762
OMKMCGPO_01282	K05501
OMKMCGPO_01283	K00930
OMKMCGPO_01284	K13038
OMKMCGPO_01285	K02902
OMKMCGPO_01286	K02913
OMKMCGPO_01287	K10563
OMKMCGPO_01288	K00954
OMKMCGPO_01289	K08316
OMKMCGPO_01290	K03110
OMKMCGPO_01291	K09812
OMKMCGPO_01293	K03089
OMKMCGPO_01294	K03439
OMKMCGPO_01296	K02428
OMKMCGPO_01299	K00641
OMKMCGPO_01300	K02221
OMKMCGPO_01301	K00286
OMKMCGPO_01302	K06997
OMKMCGPO_01303	K02669
OMKMCGPO_01304	K07447
OMKMCGPO_01305	K07735
OMKMCGPO_01307	K01920
OMKMCGPO_01309	K09761
OMKMCGPO_01310	K01251
OMKMCGPO_01311	K00789
OMKMCGPO_01314	K01130
OMKMCGPO_01320	K13955
OMKMCGPO_01321	K00616
OMKMCGPO_01322	K12265
OMKMCGPO_01323	K00219
OMKMCGPO_01325	K10717
OMKMCGPO_01327	K10027
OMKMCGPO_01329	K03405
OMKMCGPO_01330	K03404
OMKMCGPO_01332	K10027
OMKMCGPO_01333	K02291
OMKMCGPO_01335	K13789
OMKMCGPO_01338	K02588
OMKMCGPO_01343	K02706
OMKMCGPO_01347	K01823
OMKMCGPO_01348	K02495
OMKMCGPO_01354	K03428
OMKMCGPO_01355	K04037
OMKMCGPO_01356	K03403
OMKMCGPO_01357	K04039
OMKMCGPO_01358	K04038
OMKMCGPO_01362	K04040
OMKMCGPO_01363	K08226
OMKMCGPO_01364	K10960
OMKMCGPO_01366	K13767
OMKMCGPO_01367	K01961
OMKMCGPO_01371	K10534
OMKMCGPO_01373	K17226
OMKMCGPO_01374	K17227
OMKMCGPO_01375	K17222
OMKMCGPO_01376	K17223
OMKMCGPO_01377	K17224
OMKMCGPO_01379	K06878
OMKMCGPO_01383	K03702
OMKMCGPO_01384	K01868
OMKMCGPO_01387	K02520
OMKMCGPO_01388	K02916
OMKMCGPO_01389	K02887
OMKMCGPO_01390	K01889
OMKMCGPO_01391	K01890
OMKMCGPO_01392	K04764
OMKMCGPO_01395	K07178
OMKMCGPO_01400	K00259
OMKMCGPO_01401	K01593
OMKMCGPO_01403	K03284
OMKMCGPO_01404	K05350
OMKMCGPO_01405	K06132
OMKMCGPO_01406	K21416
OMKMCGPO_01407	K21417
OMKMCGPO_01408	K00627
OMKMCGPO_01409	K08191
OMKMCGPO_01420	K10215
OMKMCGPO_01424	K15034
OMKMCGPO_01430	K03088
OMKMCGPO_01432	K02014
OMKMCGPO_01433	K23677
OMKMCGPO_01435	K14656
OMKMCGPO_01436	K01692
OMKMCGPO_01438	K07588
OMKMCGPO_01439	K01849
OMKMCGPO_01440	K01848
OMKMCGPO_01443	K01897
OMKMCGPO_01444	K02014
OMKMCGPO_01445	K15468
OMKMCGPO_01449	K02843
OMKMCGPO_01453	K00059
OMKMCGPO_01455	K03777
OMKMCGPO_01460	K05708
OMKMCGPO_01467	K01141
OMKMCGPO_01468	K00609
OMKMCGPO_01469	K01515
OMKMCGPO_01470	K03980
OMKMCGPO_01471	K11753
OMKMCGPO_01472	K01870
OMKMCGPO_01473	K03101
OMKMCGPO_01474	K03774
OMKMCGPO_01475	K03527
OMKMCGPO_01477	K01950
OMKMCGPO_01478	K05807
OMKMCGPO_01479	K06180
OMKMCGPO_01480	K05810
OMKMCGPO_01481	K03695
OMKMCGPO_01482	K03695
OMKMCGPO_01490	K19548
OMKMCGPO_01493	K00499
OMKMCGPO_01501	K02343
OMKMCGPO_01502	K06187
OMKMCGPO_01503	K03684
OMKMCGPO_01508	K00117
OMKMCGPO_01509	K03437
OMKMCGPO_01513	K03168
OMKMCGPO_01516	K01356
OMKMCGPO_01517	K16052
OMKMCGPO_01519	K03723
OMKMCGPO_01520	K00134
OMKMCGPO_01521	K00346
OMKMCGPO_01522	K00347
OMKMCGPO_01523	K00348
OMKMCGPO_01524	K00349
OMKMCGPO_01525	K00350
OMKMCGPO_01526	K00351
OMKMCGPO_01527	K03734
OMKMCGPO_01529	K09808
OMKMCGPO_01530	K09810
OMKMCGPO_01531	K09808
