MGKBJPEF_00001	K06888
MGKBJPEF_00233	K04078
MGKBJPEF_00238	K06168
MGKBJPEF_00240	K06147
MGKBJPEF_00243	K03168
MGKBJPEF_00250	K06158
MGKBJPEF_00252	K00128
MGKBJPEF_00254	K01198
MGKBJPEF_00257	K06969
MGKBJPEF_00258	K00604
MGKBJPEF_00270	K04763
MGKBJPEF_00272	K03786
MGKBJPEF_00273	K06287
MGKBJPEF_00275	K03270
MGKBJPEF_00278	K06997
MGKBJPEF_00279	K01054
MGKBJPEF_00281	K01409
MGKBJPEF_00283	K03654
MGKBJPEF_00284	K00826
MGKBJPEF_00285	K00626
MGKBJPEF_00288	K03671
MGKBJPEF_00289	K03386
MGKBJPEF_00290	K06991
MGKBJPEF_00293	K02837
MGKBJPEF_00295	K01640
MGKBJPEF_00296	K20282
MGKBJPEF_00299	K22136
MGKBJPEF_00305	K16091
MGKBJPEF_00310	K14157
MGKBJPEF_00311	K00508
MGKBJPEF_00312	K00508
MGKBJPEF_00315	K03924
MGKBJPEF_00318	K18707
MGKBJPEF_00319	K00432
MGKBJPEF_00320	K16066
MGKBJPEF_00321	K04763
MGKBJPEF_00324	K01892
MGKBJPEF_00325	K01745
MGKBJPEF_00334	K01302
MGKBJPEF_00335	K01463
MGKBJPEF_00338	K01803
MGKBJPEF_00339	K02687
MGKBJPEF_00341	K08591
MGKBJPEF_00352	K01207
MGKBJPEF_00356	K01902
MGKBJPEF_00357	K02945
MGKBJPEF_00358	K11752
MGKBJPEF_00360	K01714
MGKBJPEF_00362	K13038
MGKBJPEF_00364	K05807
MGKBJPEF_00365	K00639
MGKBJPEF_00369	K03100
MGKBJPEF_00370	K00215
MGKBJPEF_00372	K03671
MGKBJPEF_00373	K02337
MGKBJPEF_00374	K06180
MGKBJPEF_00378	K00767
MGKBJPEF_00380	K09761
MGKBJPEF_00381	K01756
MGKBJPEF_00386	K01507
MGKBJPEF_00387	K03742
MGKBJPEF_00389	K00757
MGKBJPEF_00393	K01681
MGKBJPEF_00394	K07025
MGKBJPEF_00396	K00761
MGKBJPEF_00398	K01791
MGKBJPEF_00400	K02968
MGKBJPEF_00403	K01881
MGKBJPEF_00404	K07164
MGKBJPEF_00406	K00912
MGKBJPEF_00407	K03783
MGKBJPEF_00408	K02434
MGKBJPEF_00411	K03269
MGKBJPEF_00412	K00134
MGKBJPEF_00414	K03644
MGKBJPEF_00417	K03648
MGKBJPEF_00419	K01251
MGKBJPEF_00421	K11720
MGKBJPEF_00422	K00773
MGKBJPEF_00424	K03088
MGKBJPEF_00425	K03501
MGKBJPEF_00426	K03797
MGKBJPEF_00429	K00318
MGKBJPEF_00432	K02914
MGKBJPEF_00435	K03701
MGKBJPEF_00436	K02851
MGKBJPEF_00437	K01790
MGKBJPEF_00440	K00743
MGKBJPEF_00441	K07259
MGKBJPEF_00442	K01661
MGKBJPEF_00443	K02551
MGKBJPEF_00444	K02361
MGKBJPEF_00445	K19222
MGKBJPEF_00448	K06381
MGKBJPEF_00449	K00748
MGKBJPEF_00451	K03787
MGKBJPEF_00454	K03499
MGKBJPEF_00455	K03498
MGKBJPEF_00457	K07735
MGKBJPEF_00461	K00784
MGKBJPEF_00464	K00609
MGKBJPEF_00465	K02825
MGKBJPEF_00466	K00864
MGKBJPEF_00467	K02440
MGKBJPEF_00469	K03768
MGKBJPEF_00472	K01873
MGKBJPEF_00473	K01658
MGKBJPEF_00474	K02517
MGKBJPEF_00481	K02338
MGKBJPEF_00482	K00819
MGKBJPEF_00483	K14058
MGKBJPEF_00485	K06942
MGKBJPEF_00488	K00615
MGKBJPEF_00490	K00615
MGKBJPEF_00492	K02548
MGKBJPEF_00493	K07082
MGKBJPEF_00495	K01951
MGKBJPEF_00496	K00791
MGKBJPEF_00498	K01847
MGKBJPEF_00503	K02469
MGKBJPEF_00504	K03696
MGKBJPEF_00506	K09511
MGKBJPEF_00507	K04079
MGKBJPEF_00509	K07447
MGKBJPEF_00511	K00674
MGKBJPEF_00513	K07566
MGKBJPEF_00514	K00970
MGKBJPEF_00517	K00059
MGKBJPEF_00518	K00167
MGKBJPEF_00519	K13276
MGKBJPEF_00522	K01465
MGKBJPEF_00524	K00616
MGKBJPEF_00526	K01734
MGKBJPEF_00527	K07043
MGKBJPEF_00533	K08994
MGKBJPEF_00538	K03773
MGKBJPEF_00539	K06970
MGKBJPEF_00542	K15537
MGKBJPEF_00543	K10255
MGKBJPEF_00544	K05592
MGKBJPEF_00545	K01735
MGKBJPEF_00546	K00800
MGKBJPEF_00547	K03218
MGKBJPEF_00551	K01866
MGKBJPEF_00552	K00083
MGKBJPEF_00553	K01620
MGKBJPEF_00554	K02340
MGKBJPEF_00558	K03773
MGKBJPEF_00559	K03773
MGKBJPEF_00560	K16052
MGKBJPEF_00561	K11381
MGKBJPEF_00565	K00954
MGKBJPEF_00568	K00762
MGKBJPEF_00570	K03524
MGKBJPEF_00571	K09710
MGKBJPEF_00572	K03798
MGKBJPEF_00573	K00981
MGKBJPEF_00574	K00074
MGKBJPEF_00577	K21575
MGKBJPEF_00578	K00700
MGKBJPEF_00580	K21573
MGKBJPEF_00581	K21572
MGKBJPEF_00582	K01176
MGKBJPEF_00583	K01187
MGKBJPEF_00584	K00036
MGKBJPEF_00585	K01057
MGKBJPEF_00586	K01690
MGKBJPEF_00587	K01625
MGKBJPEF_00589	K19519
MGKBJPEF_00590	K01669
MGKBJPEF_00591	K03321
MGKBJPEF_00593	K00059
MGKBJPEF_00600	K00852
MGKBJPEF_00602	K07386
MGKBJPEF_00607	K06876
MGKBJPEF_00617	K11717
MGKBJPEF_00618	K07315
MGKBJPEF_00619	K02888
MGKBJPEF_00620	K02899
MGKBJPEF_00621	K01875
MGKBJPEF_00625	K05396
MGKBJPEF_00626	K03654
MGKBJPEF_00627	K01436
MGKBJPEF_00628	K07090
MGKBJPEF_00630	K01069
MGKBJPEF_00636	K03392
MGKBJPEF_00637	K08998
MGKBJPEF_00639	K07752
MGKBJPEF_00640	K01883
MGKBJPEF_00641	K01495
MGKBJPEF_00643	K17104
MGKBJPEF_00645	K02836
MGKBJPEF_00646	K00537
MGKBJPEF_00648	K01679
MGKBJPEF_00652	K10807
MGKBJPEF_00653	K10808
MGKBJPEF_00655	K01880
MGKBJPEF_00656	K03470
MGKBJPEF_00657	K02114
MGKBJPEF_00658	K02112
MGKBJPEF_00659	K11753
MGKBJPEF_00662	K01760
MGKBJPEF_00665	K00942
MGKBJPEF_00666	K00969
MGKBJPEF_00667	K02557
MGKBJPEF_00669	K03596
MGKBJPEF_00670	K00297
MGKBJPEF_00672	K00240
MGKBJPEF_00673	K00239
MGKBJPEF_00677	K02106
MGKBJPEF_00681	K03545
MGKBJPEF_00682	K01358
MGKBJPEF_00683	K03544
MGKBJPEF_00684	K00287
MGKBJPEF_00685	K00560
MGKBJPEF_00686	K03317
MGKBJPEF_00688	K08999
MGKBJPEF_00689	K03522
MGKBJPEF_00690	K03521
MGKBJPEF_00691	K00162
MGKBJPEF_00692	K00259
MGKBJPEF_00693	K06925
MGKBJPEF_00695	K02834
MGKBJPEF_00696	K02528
MGKBJPEF_00697	K06213
MGKBJPEF_00698	K00058
MGKBJPEF_00699	K14445
MGKBJPEF_00700	K03070
MGKBJPEF_00702	K00798
MGKBJPEF_00708	K03561
MGKBJPEF_00709	K01424
MGKBJPEF_00712	K00281
MGKBJPEF_00715	K03113
MGKBJPEF_00720	K00382
MGKBJPEF_00722	K01462
MGKBJPEF_00723	K02343
MGKBJPEF_00724	K02990
MGKBJPEF_00725	K02963
MGKBJPEF_00726	K02939
MGKBJPEF_00729	K01259
MGKBJPEF_00741	K15460
MGKBJPEF_00743	K03572
MGKBJPEF_00747	K05592
MGKBJPEF_00749	K01778
MGKBJPEF_00750	K04771
MGKBJPEF_00756	K03086
MGKBJPEF_00760	K03702
MGKBJPEF_00761	K00014
MGKBJPEF_00762	K08974
MGKBJPEF_00764	K08097
MGKBJPEF_00766	K01840
MGKBJPEF_00767	K04487
MGKBJPEF_00768	K06167
MGKBJPEF_00769	K00554
MGKBJPEF_00770	K02884
MGKBJPEF_00771	K01887
MGKBJPEF_00772	K07304
MGKBJPEF_00773	K07095
MGKBJPEF_00775	K03628
MGKBJPEF_00777	K01924
MGKBJPEF_00778	K07478
MGKBJPEF_00784	K10026
MGKBJPEF_00786	K03650
MGKBJPEF_00789	K03502
MGKBJPEF_00790	K03503
MGKBJPEF_00791	K09760
MGKBJPEF_00794	K01579
MGKBJPEF_00795	K01444
MGKBJPEF_00796	K12373
MGKBJPEF_00797	K06201
MGKBJPEF_00799	K02429
MGKBJPEF_00800	K00054
MGKBJPEF_00802	K01597
MGKBJPEF_00805	K01354
MGKBJPEF_00806	K00891
MGKBJPEF_00808	K01972
MGKBJPEF_00809	K02493
MGKBJPEF_00813	K07509
MGKBJPEF_00814	K01782
MGKBJPEF_00816	K19413
MGKBJPEF_00821	K06147
MGKBJPEF_00824	K01246
MGKBJPEF_00825	K06330
MGKBJPEF_00827	K00812
MGKBJPEF_00829	K14441
MGKBJPEF_00830	K03110
MGKBJPEF_00832	K02913
MGKBJPEF_00835	K01262
MGKBJPEF_00836	K02902
MGKBJPEF_00837	K03217
MGKBJPEF_00839	K15736
MGKBJPEF_00840	K06902
MGKBJPEF_00842	K01599
MGKBJPEF_00847	K01144
MGKBJPEF_00848	K03405
MGKBJPEF_00849	K07114
MGKBJPEF_00854	K01874
MGKBJPEF_00855	K01297
MGKBJPEF_00860	K06178
MGKBJPEF_00861	K03685
MGKBJPEF_00862	K09458
MGKBJPEF_00863	K02078
MGKBJPEF_00864	K11175
MGKBJPEF_00865	K10716
MGKBJPEF_00866	K03469
MGKBJPEF_00867	K00344
MGKBJPEF_00869	K09125
MGKBJPEF_00870	K13566
MGKBJPEF_00872	K08968
MGKBJPEF_00880	K02341
MGKBJPEF_00882	K14287
MGKBJPEF_00889	K00889
MGKBJPEF_00896	K03665
MGKBJPEF_00897	K15789
MGKBJPEF_00901	K00796
MGKBJPEF_00903	K03327
MGKBJPEF_00906	K02428
MGKBJPEF_00909	K03734
MGKBJPEF_00910	K00351
MGKBJPEF_00911	K00350
MGKBJPEF_00912	K00349
MGKBJPEF_00913	K00348
MGKBJPEF_00914	K00347
MGKBJPEF_00915	K00346
MGKBJPEF_00920	K00681
MGKBJPEF_00926	K01673
MGKBJPEF_00929	K03724
MGKBJPEF_00930	K10747
MGKBJPEF_00935	K07091
MGKBJPEF_00938	K14652
MGKBJPEF_00939	K01923
MGKBJPEF_00940	K06217
MGKBJPEF_00943	K01468
MGKBJPEF_00950	K20742
MGKBJPEF_00951	K03695
MGKBJPEF_00953	K00940
MGKBJPEF_00957	K00821
MGKBJPEF_00958	K00294
MGKBJPEF_00959	K19270
MGKBJPEF_00961	K08138
MGKBJPEF_00963	K01610
MGKBJPEF_00965	K02621
MGKBJPEF_00966	K02622
MGKBJPEF_00967	K01338
MGKBJPEF_00969	K02909
MGKBJPEF_00971	K01847
MGKBJPEF_00978	K09966
MGKBJPEF_00980	K00104
MGKBJPEF_00981	K03305
MGKBJPEF_00982	K01254
MGKBJPEF_00983	K03664
MGKBJPEF_00984	K08656
MGKBJPEF_00988	K10773
MGKBJPEF_00993	K07114
MGKBJPEF_00996	K03924
MGKBJPEF_00998	K00794
MGKBJPEF_01000	K03629
MGKBJPEF_01002	K07238
MGKBJPEF_01003	K03709
MGKBJPEF_01004	K16089
MGKBJPEF_01006	K00632
MGKBJPEF_01007	K07516
MGKBJPEF_01010	K03296
MGKBJPEF_01017	K05595
MGKBJPEF_01019	K04516
MGKBJPEF_01020	K22696
MGKBJPEF_01021	K22696
MGKBJPEF_01022	K15738
MGKBJPEF_01033	K12323
MGKBJPEF_01038	K02217
MGKBJPEF_01041	K11749
MGKBJPEF_01043	K14645
MGKBJPEF_01045	K06207
MGKBJPEF_01048	K07124
MGKBJPEF_01052	K07729
MGKBJPEF_01066	K02014
MGKBJPEF_01075	K13750
MGKBJPEF_01076	K03932
MGKBJPEF_01079	K01322
MGKBJPEF_01085	K03595
MGKBJPEF_01086	K03977
MGKBJPEF_01087	K00789
MGKBJPEF_01092	K15537
MGKBJPEF_01094	K06911
MGKBJPEF_01097	K21071
MGKBJPEF_01101	K08289
MGKBJPEF_01105	K00384
MGKBJPEF_01110	K01241
MGKBJPEF_01111	K12410
MGKBJPEF_01114	K07560
MGKBJPEF_01115	K06949
MGKBJPEF_01116	K01990
MGKBJPEF_01117	K00789
MGKBJPEF_01118	K03977
MGKBJPEF_01119	K03595
MGKBJPEF_01125	K02003
MGKBJPEF_01127	K01893
MGKBJPEF_01128	K03092
MGKBJPEF_01129	K05607
MGKBJPEF_01131	K01697
MGKBJPEF_01132	K02617
MGKBJPEF_01133	K00626
MGKBJPEF_01135	K01937
MGKBJPEF_01140	K11498
MGKBJPEF_01142	K07444
MGKBJPEF_01145	K15866
MGKBJPEF_01146	K02613
MGKBJPEF_01147	K00059
MGKBJPEF_01150	K07636
MGKBJPEF_01151	K03741
MGKBJPEF_01155	K10027
MGKBJPEF_01159	K03593
MGKBJPEF_01161	K00721
MGKBJPEF_01162	K01465
MGKBJPEF_01166	K03771
MGKBJPEF_01168	K03771
MGKBJPEF_01169	K00088
MGKBJPEF_01172	K23269
MGKBJPEF_01176	K00097
MGKBJPEF_01178	K00793
MGKBJPEF_01180	K01960
MGKBJPEF_01186	K13598
MGKBJPEF_01187	K02115
MGKBJPEF_01188	K02111
MGKBJPEF_01190	K02109
MGKBJPEF_01192	K02108
MGKBJPEF_01194	K03606
MGKBJPEF_01195	K00074
MGKBJPEF_01198	K03701
MGKBJPEF_01199	K06147
MGKBJPEF_01200	K06173
MGKBJPEF_01201	K00945
MGKBJPEF_01208	K02825
MGKBJPEF_01209	K01673
MGKBJPEF_01211	K05337
MGKBJPEF_01213	K00831
MGKBJPEF_01214	K00058
MGKBJPEF_01216	K01903
MGKBJPEF_01217	K09810
MGKBJPEF_01219	K01897
MGKBJPEF_01220	K01969
MGKBJPEF_01221	K00754
MGKBJPEF_01223	K11381
MGKBJPEF_01238	K02014
MGKBJPEF_01240	K03811
MGKBJPEF_01241	K01737
MGKBJPEF_01242	K01495
MGKBJPEF_01244	K00059
MGKBJPEF_01245	K01669
MGKBJPEF_01253	K01627
MGKBJPEF_01254	K06041
MGKBJPEF_01255	K00979
MGKBJPEF_01256	K00275
MGKBJPEF_01258	K02887
MGKBJPEF_01259	K02916
MGKBJPEF_01260	K02520
MGKBJPEF_01261	K01868
MGKBJPEF_01265	K00566
MGKBJPEF_01266	K00219
MGKBJPEF_01273	K01990
MGKBJPEF_01276	K01173
MGKBJPEF_01279	K01278
MGKBJPEF_01281	K01829
MGKBJPEF_01283	K01647
MGKBJPEF_01286	K09705
MGKBJPEF_01292	K07058
MGKBJPEF_01294	K08998
MGKBJPEF_01298	K02557
MGKBJPEF_01302	K01955
MGKBJPEF_01306	K18234
MGKBJPEF_01308	K01654
MGKBJPEF_01310	K02519
MGKBJPEF_01311	K02600
MGKBJPEF_01313	K04096
MGKBJPEF_01314	K09808
MGKBJPEF_01320	K03525
MGKBJPEF_01321	K15987
MGKBJPEF_01326	K03118
MGKBJPEF_01327	K06861
MGKBJPEF_01328	K14742
MGKBJPEF_01336	K03703
MGKBJPEF_01337	K02523
MGKBJPEF_01339	K00133
MGKBJPEF_01341	K06941
MGKBJPEF_01342	K07568
MGKBJPEF_01343	K03177
MGKBJPEF_01344	K06153
MGKBJPEF_01346	K09811
MGKBJPEF_01352	K07658
MGKBJPEF_01354	K09808
MGKBJPEF_01355	K00812
MGKBJPEF_01359	K09117
MGKBJPEF_01360	K03531
MGKBJPEF_01362	K01990
MGKBJPEF_01365	K11418
MGKBJPEF_01367	K13444
MGKBJPEF_01376	K05349
MGKBJPEF_01379	K21572
MGKBJPEF_01382	K00859
MGKBJPEF_01383	K03210
MGKBJPEF_01385	K03625
MGKBJPEF_01386	K00263
MGKBJPEF_01387	K18889
MGKBJPEF_01389	K03496
MGKBJPEF_01390	K03497
MGKBJPEF_01392	K00382
MGKBJPEF_01395	K03553
MGKBJPEF_01396	K03564
MGKBJPEF_01397	K07106
MGKBJPEF_01399	K00927
MGKBJPEF_01400	K06187
MGKBJPEF_01402	K00658
MGKBJPEF_01404	K02342
MGKBJPEF_01411	K05679
MGKBJPEF_01412	K04066
MGKBJPEF_01416	K07090
MGKBJPEF_01417	K04762
MGKBJPEF_01425	K01945
MGKBJPEF_01428	K23265
MGKBJPEF_01429	K01784
MGKBJPEF_01433	K03296
MGKBJPEF_01443	K01224
MGKBJPEF_01444	K07636
MGKBJPEF_01445	K15633
MGKBJPEF_01454	K01520
MGKBJPEF_01456	K01715
MGKBJPEF_01458	K01802
MGKBJPEF_01459	K01889
MGKBJPEF_01461	K00873
MGKBJPEF_01463	K02433
MGKBJPEF_01466	K02335
MGKBJPEF_01468	K13533
MGKBJPEF_01469	K14085
MGKBJPEF_01470	K01867
MGKBJPEF_01474	K00655
MGKBJPEF_01477	K11991
MGKBJPEF_01478	K04564
MGKBJPEF_01486	K16191
MGKBJPEF_01491	K03555
MGKBJPEF_01493	K00499
MGKBJPEF_01494	K03315
MGKBJPEF_01499	K03564
MGKBJPEF_01500	K00164
MGKBJPEF_01501	K00658
MGKBJPEF_01506	K13703
MGKBJPEF_01507	K03474
MGKBJPEF_01509	K00858
MGKBJPEF_01511	K00806
MGKBJPEF_01512	K07277
MGKBJPEF_01514	K14157
MGKBJPEF_01515	K01783
MGKBJPEF_01516	K03086
MGKBJPEF_01517	K00962
MGKBJPEF_01518	K02956
MGKBJPEF_01520	K00573
MGKBJPEF_01521	K03810
MGKBJPEF_01524	K03978
MGKBJPEF_01527	K03925
MGKBJPEF_01528	K03438
MGKBJPEF_01530	K03587
MGKBJPEF_01531	K01928
MGKBJPEF_01532	K01000
MGKBJPEF_01533	K01925
MGKBJPEF_01534	K01925
MGKBJPEF_01535	K03588
MGKBJPEF_01536	K02563
MGKBJPEF_01537	K01924
MGKBJPEF_01538	K03589
MGKBJPEF_01539	K03590
MGKBJPEF_01547	K07305
MGKBJPEF_01559	K00600
MGKBJPEF_01560	K01555
MGKBJPEF_01561	K00951
MGKBJPEF_01562	K03711
MGKBJPEF_01564	K01939
MGKBJPEF_01570	K01448
MGKBJPEF_01572	K09022
MGKBJPEF_01573	K06180
MGKBJPEF_01574	K00606
MGKBJPEF_01575	K16089
MGKBJPEF_01576	K01270
MGKBJPEF_01580	K03321
MGKBJPEF_01581	K00254
MGKBJPEF_01583	K06199
MGKBJPEF_01584	K19302
MGKBJPEF_01585	K03979
MGKBJPEF_01586	K00939
MGKBJPEF_01587	K00760
MGKBJPEF_01588	K01589
MGKBJPEF_01589	K01588
MGKBJPEF_01590	K00384
MGKBJPEF_01592	K01916
MGKBJPEF_01596	K03439
MGKBJPEF_01599	K00031
MGKBJPEF_01600	K07273
MGKBJPEF_01601	K01689
MGKBJPEF_01602	K01956
MGKBJPEF_01603	K02879
MGKBJPEF_01604	K03040
MGKBJPEF_01605	K02986
MGKBJPEF_01606	K02948
MGKBJPEF_01607	K02952
MGKBJPEF_01609	K02518
MGKBJPEF_01610	K01265
MGKBJPEF_01611	K03076
MGKBJPEF_01612	K02876
MGKBJPEF_01613	K02907
MGKBJPEF_01614	K02988
MGKBJPEF_01615	K02881
MGKBJPEF_01616	K02933
MGKBJPEF_01617	K02994
MGKBJPEF_01618	K02954
MGKBJPEF_01619	K02931
MGKBJPEF_01620	K02895
MGKBJPEF_01621	K02874
MGKBJPEF_01622	K02961
MGKBJPEF_01624	K02878
MGKBJPEF_01625	K02982
MGKBJPEF_01626	K02890
MGKBJPEF_01627	K02965
MGKBJPEF_01628	K02886
MGKBJPEF_01629	K02892
MGKBJPEF_01630	K02926
MGKBJPEF_01631	K02906
MGKBJPEF_01632	K02946
MGKBJPEF_01633	K02355
MGKBJPEF_01634	K02992
MGKBJPEF_01635	K02950
MGKBJPEF_01636	K03657
MGKBJPEF_01638	K00790
MGKBJPEF_01640	K03687
MGKBJPEF_01641	K03686
MGKBJPEF_01642	K01990
MGKBJPEF_01643	K01992
MGKBJPEF_01644	K02481
MGKBJPEF_01645	K01872
MGKBJPEF_01649	K06890
MGKBJPEF_01650	K00645
MGKBJPEF_01652	K01710
MGKBJPEF_01656	K08678
MGKBJPEF_01657	K00012
MGKBJPEF_01660	K02527
MGKBJPEF_01662	K02004
MGKBJPEF_01663	K02003
MGKBJPEF_01665	K01069
MGKBJPEF_01666	K03671
MGKBJPEF_01669	K01159
MGKBJPEF_01670	K02503
MGKBJPEF_01671	K03624
MGKBJPEF_01674	K01277
MGKBJPEF_01676	K01192
MGKBJPEF_01677	K06182
MGKBJPEF_01678	K08715
MGKBJPEF_01682	K01953
MGKBJPEF_01689	K06147
MGKBJPEF_01690	K01962
MGKBJPEF_01692	K02314
MGKBJPEF_01696	K03704
MGKBJPEF_01703	K00496
MGKBJPEF_01708	K02003
MGKBJPEF_01709	K09808
MGKBJPEF_01713	K01489
MGKBJPEF_01714	K00161
MGKBJPEF_01715	K00627
MGKBJPEF_01716	K03655
MGKBJPEF_01717	K02356
MGKBJPEF_01719	K11166
MGKBJPEF_01720	K01712
MGKBJPEF_01722	K00452
MGKBJPEF_01724	K01749
MGKBJPEF_01725	K02492
MGKBJPEF_01726	K01262
MGKBJPEF_01727	K01966
MGKBJPEF_01728	K07636
MGKBJPEF_01730	K00059
MGKBJPEF_01734	K03818
MGKBJPEF_01740	K00508
MGKBJPEF_01744	K00648
MGKBJPEF_01746	K10277
MGKBJPEF_01747	K03152
MGKBJPEF_01749	K01613
MGKBJPEF_01752	K19519
MGKBJPEF_01758	K16052
MGKBJPEF_01761	K00567
MGKBJPEF_01763	K11927
MGKBJPEF_01765	K01434
MGKBJPEF_01769	K00857
MGKBJPEF_01770	K03640
MGKBJPEF_01771	K11102
MGKBJPEF_01772	K01736
MGKBJPEF_01774	K10951
MGKBJPEF_01780	K06147
MGKBJPEF_01784	K07175
MGKBJPEF_01788	K01784
MGKBJPEF_01798	K18665
MGKBJPEF_01799	K07658
MGKBJPEF_01803	K03324
MGKBJPEF_01805	K07240
MGKBJPEF_01806	K05366
MGKBJPEF_01807	K01028
MGKBJPEF_01808	K01029
MGKBJPEF_01810	K11527
MGKBJPEF_01818	K01823
MGKBJPEF_01822	K02238
MGKBJPEF_01823	K04043
MGKBJPEF_01824	K01961
MGKBJPEF_01825	K01491
MGKBJPEF_01826	K03106
MGKBJPEF_01830	K03466
MGKBJPEF_01832	K03631
MGKBJPEF_01834	K07107
MGKBJPEF_01836	K01081
MGKBJPEF_01837	K02313
MGKBJPEF_01838	K01104
MGKBJPEF_01839	K07056
MGKBJPEF_01842	K06881
MGKBJPEF_01848	K01963
MGKBJPEF_01849	K01624
MGKBJPEF_01851	K03437
MGKBJPEF_01853	K03183
MGKBJPEF_01856	K01698
MGKBJPEF_01857	K09861
MGKBJPEF_01858	K05979
MGKBJPEF_01859	K00605
MGKBJPEF_01863	K01911
MGKBJPEF_01866	K00262
MGKBJPEF_01867	K00639
MGKBJPEF_01868	K02871
MGKBJPEF_01869	K02996
MGKBJPEF_01870	K02967
MGKBJPEF_01871	K02357
MGKBJPEF_01872	K09903
MGKBJPEF_01873	K02838
MGKBJPEF_01877	K00973
MGKBJPEF_01878	K13789
MGKBJPEF_01879	K07071
MGKBJPEF_01883	K00457
MGKBJPEF_01884	K00453
MGKBJPEF_01885	K02609
MGKBJPEF_01886	K02610
MGKBJPEF_01887	K02611
MGKBJPEF_01891	K02371
MGKBJPEF_01892	K04079
MGKBJPEF_01894	K00428
MGKBJPEF_01896	K07098
MGKBJPEF_01898	K01126
MGKBJPEF_01903	K01634
MGKBJPEF_01908	K07238
MGKBJPEF_01911	K01929
MGKBJPEF_01912	K00208
MGKBJPEF_01913	K09511
MGKBJPEF_01914	K01802
