HNDANFPL_00002	K04043
HNDANFPL_00191	K02931
HNDANFPL_00192	K02954
HNDANFPL_00193	K02994
HNDANFPL_00194	K02933
HNDANFPL_00195	K02881
HNDANFPL_00196	K02988
HNDANFPL_00197	K02907
HNDANFPL_00198	K02876
HNDANFPL_00199	K03076
HNDANFPL_00200	K02518
HNDANFPL_00201	K02952
HNDANFPL_00202	K02948
HNDANFPL_00203	K02986
HNDANFPL_00204	K03040
HNDANFPL_00205	K02879
HNDANFPL_00206	K01956
HNDANFPL_00207	K01689
HNDANFPL_00208	K01647
HNDANFPL_00209	K02945
HNDANFPL_00211	K07164
HNDANFPL_00213	K01265
HNDANFPL_00214	K15633
HNDANFPL_00215	K05995
HNDANFPL_00217	K09005
HNDANFPL_00218	K13292
HNDANFPL_00219	K08998
HNDANFPL_00220	K01883
HNDANFPL_00222	K00031
HNDANFPL_00226	K03496
HNDANFPL_00227	K03771
HNDANFPL_00232	K09164
HNDANFPL_00234	K01627
HNDANFPL_00237	K00655
HNDANFPL_00241	K11749
HNDANFPL_00242	K07238
HNDANFPL_00243	K03269
HNDANFPL_00244	K04564
HNDANFPL_00246	K00639
HNDANFPL_00247	K00700
HNDANFPL_00249	K00691
HNDANFPL_00250	K01838
HNDANFPL_00252	K00134
HNDANFPL_00253	K00850
HNDANFPL_00255	K16211
HNDANFPL_00257	K08151
HNDANFPL_00258	K02435
HNDANFPL_00259	K13509
HNDANFPL_00260	K01961
HNDANFPL_00261	K02160
HNDANFPL_00264	K00097
HNDANFPL_00265	K01255
HNDANFPL_00266	K00793
HNDANFPL_00268	K00969
HNDANFPL_00269	K00942
HNDANFPL_00271	K01885
HNDANFPL_00272	K01760
HNDANFPL_00273	K03499
HNDANFPL_00277	K01867
HNDANFPL_00278	K01662
HNDANFPL_00279	K03296
HNDANFPL_00280	K03585
HNDANFPL_00283	K01893
HNDANFPL_00284	K03092
HNDANFPL_00286	K03703
HNDANFPL_00287	K17231
HNDANFPL_00288	K02003
HNDANFPL_00289	K02004
HNDANFPL_00295	K21573
HNDANFPL_00296	K21572
HNDANFPL_00297	K01869
HNDANFPL_00299	K00453
HNDANFPL_00300	K07636
HNDANFPL_00301	K02483
HNDANFPL_00303	K07004
HNDANFPL_00305	K03555
HNDANFPL_00308	K00950
HNDANFPL_00309	K04773
HNDANFPL_00312	K15519
HNDANFPL_00313	K23025
HNDANFPL_00314	K00162
HNDANFPL_00315	K03521
HNDANFPL_00316	K03522
HNDANFPL_00317	K08999
HNDANFPL_00318	K11536
HNDANFPL_00319	K00560
HNDANFPL_00320	K00287
HNDANFPL_00321	K03544
HNDANFPL_00322	K01358
HNDANFPL_00323	K03545
HNDANFPL_00329	K15582
HNDANFPL_00330	K03797
HNDANFPL_00337	K00819
HNDANFPL_00338	K03215
HNDANFPL_00341	K00891
HNDANFPL_00344	K07305
HNDANFPL_00346	K03606
HNDANFPL_00347	K03655
HNDANFPL_00349	K01890
HNDANFPL_00351	K23269
HNDANFPL_00353	K01897
HNDANFPL_00354	K06180
HNDANFPL_00357	K01921
HNDANFPL_00358	K00954
HNDANFPL_00360	K00762
HNDANFPL_00364	K01284
HNDANFPL_00365	K02528
HNDANFPL_00366	K06213
HNDANFPL_00367	K00058
HNDANFPL_00370	K00928
HNDANFPL_00371	K03841
HNDANFPL_00372	K03723
HNDANFPL_00373	K01990
HNDANFPL_00375	K16052
HNDANFPL_00379	K06168
HNDANFPL_00380	K03168
HNDANFPL_00383	K13444
HNDANFPL_00388	K01876
HNDANFPL_00389	K11991
HNDANFPL_00392	K12573
HNDANFPL_00395	K00262
HNDANFPL_00396	K00946
HNDANFPL_00398	K00240
HNDANFPL_00399	K00239
HNDANFPL_00400	K00241
HNDANFPL_00401	K01262
HNDANFPL_00403	K00059
HNDANFPL_00404	K23234
HNDANFPL_00407	K14982
HNDANFPL_00411	K00973
HNDANFPL_00412	K13789
HNDANFPL_00413	K00164
HNDANFPL_00414	K00658
HNDANFPL_00415	K03424
HNDANFPL_00416	K01424
HNDANFPL_00419	K09710
HNDANFPL_00420	K03798
HNDANFPL_00422	K00981
HNDANFPL_00423	K01613
HNDANFPL_00424	K00945
HNDANFPL_00426	K02472
HNDANFPL_00427	K18889
HNDANFPL_00428	K03500
HNDANFPL_00429	K07106
HNDANFPL_00430	K01776
HNDANFPL_00432	K06142
HNDANFPL_00433	K07277
HNDANFPL_00434	K00806
HNDANFPL_00436	K00858
HNDANFPL_00438	K03474
HNDANFPL_00439	K13703
HNDANFPL_00442	K06178
HNDANFPL_00443	K01338
HNDANFPL_00445	K02909
HNDANFPL_00451	K00831
HNDANFPL_00452	K00058
HNDANFPL_00454	K06997
HNDANFPL_00455	K03722
HNDANFPL_00457	K01923
HNDANFPL_00462	K02338
HNDANFPL_00463	K00294
HNDANFPL_00464	K03501
HNDANFPL_00466	K00773
HNDANFPL_00467	K11720
HNDANFPL_00468	K01962
HNDANFPL_00469	K02314
HNDANFPL_00474	K08139
HNDANFPL_00478	K03932
HNDANFPL_00484	K01874
HNDANFPL_00485	K01874
HNDANFPL_00486	K01297
HNDANFPL_00492	K01214
HNDANFPL_00495	K08682
HNDANFPL_00497	K17103
HNDANFPL_00500	K01270
HNDANFPL_00501	K03625
HNDANFPL_00505	K07175
HNDANFPL_00506	K01610
HNDANFPL_00507	K14157
HNDANFPL_00512	K01737
HNDANFPL_00513	K00645
HNDANFPL_00514	K01597
HNDANFPL_00519	K01246
HNDANFPL_00520	K14742
HNDANFPL_00521	K02005
HNDANFPL_00522	K12340
HNDANFPL_00524	K08976
HNDANFPL_00529	K02257
HNDANFPL_00530	K01082
HNDANFPL_00531	K03832
HNDANFPL_00532	K07091
HNDANFPL_00534	K03466
HNDANFPL_00537	K22736
HNDANFPL_00538	K02990
HNDANFPL_00539	K02963
HNDANFPL_00540	K02939
HNDANFPL_00542	K01142
HNDANFPL_00544	K01056
HNDANFPL_00545	K02897
HNDANFPL_00546	K00948
HNDANFPL_00548	K01493
HNDANFPL_00550	K01880
HNDANFPL_00551	K05595
HNDANFPL_00553	K10808
HNDANFPL_00554	K10807
HNDANFPL_00557	K02523
HNDANFPL_00558	K02316
HNDANFPL_00559	K01254
HNDANFPL_00560	K08972
HNDANFPL_00564	K03561
HNDANFPL_00570	K09808
HNDANFPL_00571	K02834
HNDANFPL_00572	K06147
HNDANFPL_00573	K05606
HNDANFPL_00581	K22696
HNDANFPL_00582	K22696
HNDANFPL_00584	K00820
HNDANFPL_00586	K00703
HNDANFPL_00587	K01918
HNDANFPL_00588	K01579
HNDANFPL_00589	K07027
HNDANFPL_00590	K04485
HNDANFPL_00591	K02557
HNDANFPL_00592	K00798
HNDANFPL_00600	K01808
HNDANFPL_00601	K14085
HNDANFPL_00605	K01885
HNDANFPL_00606	K04567
HNDANFPL_00608	K07456
HNDANFPL_00609	K22883
HNDANFPL_00610	K02031
HNDANFPL_00612	K03801
HNDANFPL_00613	K01468
HNDANFPL_00614	K07017
HNDANFPL_00615	K13990
HNDANFPL_00616	K04079
HNDANFPL_00618	K00971
HNDANFPL_00620	K01679
HNDANFPL_00621	K00537
HNDANFPL_00623	K02836
HNDANFPL_00624	K01620
HNDANFPL_00626	K08301
HNDANFPL_00628	K03530
HNDANFPL_00629	K03575
HNDANFPL_00635	K07263
HNDANFPL_00637	K02888
HNDANFPL_00639	K00658
HNDANFPL_00640	K02342
HNDANFPL_00641	K01557
HNDANFPL_00643	K07082
HNDANFPL_00645	K00457
HNDANFPL_00646	K00451
HNDANFPL_00647	K15789
HNDANFPL_00649	K01758
HNDANFPL_00650	K00789
HNDANFPL_00651	K01251
HNDANFPL_00653	K02014
HNDANFPL_00654	K11753
HNDANFPL_00656	K02112
HNDANFPL_00658	K16092
HNDANFPL_00660	K01719
HNDANFPL_00663	K01775
HNDANFPL_00664	K00857
HNDANFPL_00666	K07056
HNDANFPL_00667	K04516
HNDANFPL_00669	K07462
HNDANFPL_00670	K03439
HNDANFPL_00674	K03820
HNDANFPL_00675	K00382
HNDANFPL_00676	K01665
HNDANFPL_00677	K04075
HNDANFPL_00678	K04084
HNDANFPL_00682	K01990
HNDANFPL_00684	K02004
HNDANFPL_00686	K01681
HNDANFPL_00687	K06902
HNDANFPL_00692	K15736
HNDANFPL_00693	K01756
HNDANFPL_00697	K01924
HNDANFPL_00700	K00609
HNDANFPL_00701	K02825
HNDANFPL_00702	K03628
HNDANFPL_00704	K07095
HNDANFPL_00705	K06173
HNDANFPL_00706	K18890
HNDANFPL_00707	K00826
HNDANFPL_00715	K02067
HNDANFPL_00716	K01448
HNDANFPL_00718	K01658
HNDANFPL_00719	K09022
HNDANFPL_00720	K00382
HNDANFPL_00721	K02000
HNDANFPL_00722	K02887
HNDANFPL_00723	K02916
HNDANFPL_00724	K02520
HNDANFPL_00725	K01868
HNDANFPL_00727	K02361
HNDANFPL_00728	K02551
HNDANFPL_00729	K01661
HNDANFPL_00730	K02548
HNDANFPL_00732	K01911
HNDANFPL_00733	K00616
HNDANFPL_00734	K00167
HNDANFPL_00737	K03650
HNDANFPL_00738	K07056
HNDANFPL_00739	K01104
HNDANFPL_00740	K02313
HNDANFPL_00741	K07107
HNDANFPL_00743	K11752
HNDANFPL_00744	K02493
HNDANFPL_00745	K01972
HNDANFPL_00747	K01714
HNDANFPL_00750	K13038
HNDANFPL_00753	K00800
HNDANFPL_00754	K01735
HNDANFPL_00755	K00318
HNDANFPL_00757	K01278
HNDANFPL_00758	K00104
HNDANFPL_00759	K06973
HNDANFPL_00760	K03787
HNDANFPL_00762	K00748
HNDANFPL_00764	K02238
HNDANFPL_00765	K00796
HNDANFPL_00768	K02033
HNDANFPL_00769	K01803
HNDANFPL_00770	K02687
HNDANFPL_00775	K09861
HNDANFPL_00776	K16092
HNDANFPL_00777	K12373
HNDANFPL_00778	K03742
HNDANFPL_00779	K01489
HNDANFPL_00780	K06201
HNDANFPL_00781	K01444
HNDANFPL_00782	K04771
HNDANFPL_00783	K00134
HNDANFPL_00784	K00605
HNDANFPL_00786	K18691
HNDANFPL_00791	K00648
HNDANFPL_00795	K01463
HNDANFPL_00796	K00432
HNDANFPL_00801	K02198
HNDANFPL_00803	K03270
HNDANFPL_00804	K06287
HNDANFPL_00808	K01892
HNDANFPL_00811	K00088
HNDANFPL_00813	K00248
HNDANFPL_00817	K01697
HNDANFPL_00818	K03177
HNDANFPL_00819	K06153
HNDANFPL_00821	K09812
HNDANFPL_00823	K03106
HNDANFPL_00824	K01491
HNDANFPL_00825	K10026
HNDANFPL_00826	K00951
HNDANFPL_00827	K01555
HNDANFPL_00830	K01937
HNDANFPL_00831	K03217
HNDANFPL_00834	K07568
HNDANFPL_00836	K09812
HNDANFPL_00839	K02470
HNDANFPL_00840	K00024
HNDANFPL_00842	K12257
HNDANFPL_00844	K01915
HNDANFPL_00846	K01933
HNDANFPL_00847	K02835
HNDANFPL_00848	K01591
HNDANFPL_00849	K00067
HNDANFPL_00854	K04763
HNDANFPL_00864	K04078
HNDANFPL_00865	K04077
HNDANFPL_00868	K07124
HNDANFPL_00873	K03734
HNDANFPL_00874	K00351
HNDANFPL_00875	K00350
HNDANFPL_00876	K00349
HNDANFPL_00877	K00348
HNDANFPL_00878	K00347
HNDANFPL_00879	K00346
HNDANFPL_00882	K02899
HNDANFPL_00883	K01875
HNDANFPL_00889	K03321
HNDANFPL_00890	K00979
HNDANFPL_00891	K01710
HNDANFPL_00893	K01784
HNDANFPL_00894	K08678
HNDANFPL_00895	K00012
HNDANFPL_00898	K02527
HNDANFPL_00899	K01354
HNDANFPL_00901	K03553
HNDANFPL_00902	K03564
HNDANFPL_00903	K10773
HNDANFPL_00906	K00281
HNDANFPL_00907	K01476
HNDANFPL_00908	K01887
HNDANFPL_00910	K00074
HNDANFPL_00913	K00573
HNDANFPL_00914	K03664
HNDANFPL_00915	K00254
HNDANFPL_00921	K21572
HNDANFPL_00924	K05349
HNDANFPL_00926	K03307
HNDANFPL_00931	K01939
HNDANFPL_00932	K03711
HNDANFPL_00933	K16191
HNDANFPL_00934	K07478
HNDANFPL_00935	K09810
HNDANFPL_00936	K01903
HNDANFPL_00937	K03811
HNDANFPL_00942	K01113
HNDANFPL_00944	K07566
HNDANFPL_00945	K06861
HNDANFPL_00946	K03118
HNDANFPL_00947	K03654
HNDANFPL_00950	K14652
HNDANFPL_00951	K01409
HNDANFPL_00952	K09761
HNDANFPL_00953	K01745
HNDANFPL_00954	K21575
HNDANFPL_00955	K13628
HNDANFPL_00956	K09014
HNDANFPL_00957	K09013
HNDANFPL_00958	K09015
HNDANFPL_00960	K08314
HNDANFPL_00962	K22136
HNDANFPL_00963	K01951
HNDANFPL_00966	K07304
HNDANFPL_00967	K01069
HNDANFPL_00968	K07090
HNDANFPL_00970	K00508
HNDANFPL_00975	K03624
HNDANFPL_00976	K02503
HNDANFPL_00977	K01159
HNDANFPL_00978	K16053
HNDANFPL_00979	K03498
HNDANFPL_00980	K03183
HNDANFPL_00982	K03437
HNDANFPL_00983	K01783
HNDANFPL_00984	K11645
HNDANFPL_00985	K01963
HNDANFPL_00986	K02956
HNDANFPL_00987	K00962
HNDANFPL_00988	K03086
HNDANFPL_00992	K02035
HNDANFPL_00993	K01969
HNDANFPL_00995	K03100
HNDANFPL_00997	K22074
HNDANFPL_00999	K02838
HNDANFPL_01000	K09903
HNDANFPL_01001	K02357
HNDANFPL_01002	K02967
HNDANFPL_01003	K02996
HNDANFPL_01004	K02871
HNDANFPL_01007	K02340
HNDANFPL_01014	K07809
HNDANFPL_01016	K11717
HNDANFPL_01017	K02426
HNDANFPL_01021	K03497
HNDANFPL_01022	K03596
HNDANFPL_01025	K02477
HNDANFPL_01026	K01588
HNDANFPL_01027	K01589
HNDANFPL_01028	K02066
HNDANFPL_01029	K02065
HNDANFPL_01030	K00486
HNDANFPL_01032	K10947
HNDANFPL_01033	K00452
HNDANFPL_01034	K03709
HNDANFPL_01035	K03392
HNDANFPL_01036	K01586
HNDANFPL_01037	K00681
HNDANFPL_01038	K01008
HNDANFPL_01039	K06917
HNDANFPL_01042	K00626
HNDANFPL_01052	K03111
HNDANFPL_01057	K02469
HNDANFPL_01058	K03696
HNDANFPL_01061	K03654
HNDANFPL_01062	K00604
HNDANFPL_01063	K03530
HNDANFPL_01065	K00275
HNDANFPL_01066	K07735
HNDANFPL_01068	K01902
HNDANFPL_01071	K00059
HNDANFPL_01080	K06867
HNDANFPL_01082	K06182
HNDANFPL_01083	K02440
HNDANFPL_01084	K03741
HNDANFPL_01085	K09808
HNDANFPL_01088	K03671
HNDANFPL_01089	K03273
HNDANFPL_01090	K07031
HNDANFPL_01091	K03271
HNDANFPL_01093	K02371
HNDANFPL_01097	K13566
HNDANFPL_01103	K02003
HNDANFPL_01104	K02519
HNDANFPL_01105	K02600
HNDANFPL_01109	K03631
HNDANFPL_01110	K00208
HNDANFPL_01111	K02837
HNDANFPL_01112	K01823
HNDANFPL_01113	K01737
HNDANFPL_01116	K06167
HNDANFPL_01118	K03702
HNDANFPL_01120	K01802
HNDANFPL_01121	K12736
HNDANFPL_01123	K06881
HNDANFPL_01124	K00940
HNDANFPL_01127	K03629
HNDANFPL_01129	K00794
HNDANFPL_01130	K01835
HNDANFPL_01132	K06940
HNDANFPL_01133	K01342
HNDANFPL_01135	K06187
HNDANFPL_01137	K02437
HNDANFPL_01139	K03550
HNDANFPL_01145	K18979
HNDANFPL_01146	K03551
HNDANFPL_01147	K02274
HNDANFPL_01160	K00175
HNDANFPL_01161	K00174
HNDANFPL_01162	K22074
HNDANFPL_01163	K03593
HNDANFPL_01164	K06941
HNDANFPL_01167	K07568
HNDANFPL_01169	K02884
HNDANFPL_01170	K00554
HNDANFPL_01172	K11381
HNDANFPL_01174	K02356
HNDANFPL_01175	K01990
HNDANFPL_01176	K00677
HNDANFPL_01177	K16363
HNDANFPL_01178	K02536
HNDANFPL_01179	K06885
HNDANFPL_01180	K07713
HNDANFPL_01181	K06925
HNDANFPL_01182	K00259
HNDANFPL_01184	K03701
HNDANFPL_01185	K03437
HNDANFPL_01187	K00754
HNDANFPL_01191	K03572
HNDANFPL_01195	K13889
HNDANFPL_01196	K18707
HNDANFPL_01197	K01790
HNDANFPL_01199	K03701
HNDANFPL_01202	K02621
HNDANFPL_01203	K02622
HNDANFPL_01204	K07146
HNDANFPL_01205	K06942
HNDANFPL_01206	K00615
HNDANFPL_01208	K00615
HNDANFPL_01209	K03088
HNDANFPL_01212	K00821
HNDANFPL_01215	K02481
HNDANFPL_01216	K03327
HNDANFPL_01218	K12996
HNDANFPL_01219	K03498
HNDANFPL_01220	K00812
HNDANFPL_01222	K07588
HNDANFPL_01223	K01847
HNDANFPL_01227	K11166
HNDANFPL_01228	K02914
HNDANFPL_01229	K01955
HNDANFPL_01233	K23265
HNDANFPL_01235	K00133
HNDANFPL_01241	K01945
HNDANFPL_01252	K00860
HNDANFPL_01253	K00957
HNDANFPL_01254	K00956
HNDANFPL_01258	K02337
HNDANFPL_01263	K00215
HNDANFPL_01265	K00859
HNDANFPL_01268	K07025
HNDANFPL_01269	K01144
HNDANFPL_01273	K02428
HNDANFPL_01274	K14445
HNDANFPL_01275	K04761
HNDANFPL_01277	K01791
HNDANFPL_01278	K03630
HNDANFPL_01279	K02968
HNDANFPL_01282	K01881
HNDANFPL_01285	K07071
HNDANFPL_01286	K11102
HNDANFPL_01288	K00648
HNDANFPL_01293	K03495
HNDANFPL_01295	K02341
HNDANFPL_01296	K00927
HNDANFPL_01300	K01889
HNDANFPL_01301	K00873
HNDANFPL_01303	K03685
HNDANFPL_01304	K09458
HNDANFPL_01305	K02078
HNDANFPL_01306	K11175
HNDANFPL_01307	K03469
HNDANFPL_01314	K02108
HNDANFPL_01316	K02109
HNDANFPL_01317	K02113
HNDANFPL_01321	K01991
HNDANFPL_01323	K19428
HNDANFPL_01324	K02851
