PLEHNPDM_00003	K08678
PLEHNPDM_00379	K02400
PLEHNPDM_00380	K07714
PLEHNPDM_00381	K02556
PLEHNPDM_00382	K02417
PLEHNPDM_00384	K02410
PLEHNPDM_00385	K02409
PLEHNPDM_00387	K02390
PLEHNPDM_00388	K02389
PLEHNPDM_00391	K14026
PLEHNPDM_00392	K01999
PLEHNPDM_00393	K01995
PLEHNPDM_00394	K01996
PLEHNPDM_00395	K01997
PLEHNPDM_00396	K01998
PLEHNPDM_00397	K02396
PLEHNPDM_00400	K00058
PLEHNPDM_00402	K01620
PLEHNPDM_00403	K09861
PLEHNPDM_00405	K01469
PLEHNPDM_00409	K00059
PLEHNPDM_00410	K01066
PLEHNPDM_00412	K00548
PLEHNPDM_00413	K00297
PLEHNPDM_00415	K01684
PLEHNPDM_00416	K04080
PLEHNPDM_00419	K11085
PLEHNPDM_00420	K02557
PLEHNPDM_00424	K01092
PLEHNPDM_00425	K02356
PLEHNPDM_00430	K00868
PLEHNPDM_00431	K11473
PLEHNPDM_00432	K11472
PLEHNPDM_00433	K00104
PLEHNPDM_00434	K02919
PLEHNPDM_00436	K01768
PLEHNPDM_00437	K01473
PLEHNPDM_00438	K01474
PLEHNPDM_00440	K00135
PLEHNPDM_00442	K00058
PLEHNPDM_00444	K00483
PLEHNPDM_00456	K00382
PLEHNPDM_00458	K01840
PLEHNPDM_00459	K00012
PLEHNPDM_00460	K00963
PLEHNPDM_00461	K22303
PLEHNPDM_00462	K00120
PLEHNPDM_00464	K09539
PLEHNPDM_00467	K00109
PLEHNPDM_00469	K01915
PLEHNPDM_00470	K00263
PLEHNPDM_00472	K07716
PLEHNPDM_00473	K03446
PLEHNPDM_00476	K01768
PLEHNPDM_00479	K07659
PLEHNPDM_00481	K07710
PLEHNPDM_00484	K00023
PLEHNPDM_00485	K05929
PLEHNPDM_00486	K02433
PLEHNPDM_00491	K00038
PLEHNPDM_00495	K03392
PLEHNPDM_00496	K03520
PLEHNPDM_00497	K03518
PLEHNPDM_00498	K03519
PLEHNPDM_00499	K01438
PLEHNPDM_00500	K01912
PLEHNPDM_00501	K01710
PLEHNPDM_00502	K00249
PLEHNPDM_00503	K00059
PLEHNPDM_00504	K06911
PLEHNPDM_00506	K02510
PLEHNPDM_00508	K21562
PLEHNPDM_00512	K07222
PLEHNPDM_00513	K15866
PLEHNPDM_00514	K01905
PLEHNPDM_00517	K11527
PLEHNPDM_00520	K02032
PLEHNPDM_00521	K02031
PLEHNPDM_00522	K02034
PLEHNPDM_00523	K02033
PLEHNPDM_00529	K22278
PLEHNPDM_00530	K05658
PLEHNPDM_00533	K00768
PLEHNPDM_00534	K02224
PLEHNPDM_00535	K02188
PLEHNPDM_00536	K05895
PLEHNPDM_00537	K01848
PLEHNPDM_00538	K01849
PLEHNPDM_00539	K01847
PLEHNPDM_00541	K01069
PLEHNPDM_00543	K07393
PLEHNPDM_00544	K00253
PLEHNPDM_00550	K00799
PLEHNPDM_00555	K18703
PLEHNPDM_00557	K12960
PLEHNPDM_00561	K09825
PLEHNPDM_00562	K01716
PLEHNPDM_00563	K00647
PLEHNPDM_00564	K00208
PLEHNPDM_00565	K00681
PLEHNPDM_00566	K17675
PLEHNPDM_00567	K04762
PLEHNPDM_00570	K05524
PLEHNPDM_00571	K07736
PLEHNPDM_00572	K03089
PLEHNPDM_00573	K00982
PLEHNPDM_00574	K18703
PLEHNPDM_00578	K01869
PLEHNPDM_00581	K03497
PLEHNPDM_00582	K03496
PLEHNPDM_00583	K03501
PLEHNPDM_00584	K03495
PLEHNPDM_00585	K03650
PLEHNPDM_00588	K06888
PLEHNPDM_00589	K00567
PLEHNPDM_00590	K00344
PLEHNPDM_00593	K03628
PLEHNPDM_00594	K00059
PLEHNPDM_00595	K08973
PLEHNPDM_00596	K01772
PLEHNPDM_00597	K01599
PLEHNPDM_00598	K09773
PLEHNPDM_00600	K06287
PLEHNPDM_00601	K00014
PLEHNPDM_00602	K00859
PLEHNPDM_00603	K02342
PLEHNPDM_00604	K03071
PLEHNPDM_00607	K08304
PLEHNPDM_00608	K13010
PLEHNPDM_00610	K01784
PLEHNPDM_00611	K00978
PLEHNPDM_00616	K00566
PLEHNPDM_00619	K14728
PLEHNPDM_00622	K03543
PLEHNPDM_00624	K03446
PLEHNPDM_00626	K03446
PLEHNPDM_00630	K02469
PLEHNPDM_00631	K00954
PLEHNPDM_00632	K03768
PLEHNPDM_00633	K07568
PLEHNPDM_00634	K00773
PLEHNPDM_00639	K01951
PLEHNPDM_00641	K03500
PLEHNPDM_00642	K00088
PLEHNPDM_00644	K02427
PLEHNPDM_00645	K01524
PLEHNPDM_00649	K02371
PLEHNPDM_00652	K01420
PLEHNPDM_00656	K01649
PLEHNPDM_00657	K01474
PLEHNPDM_00658	K01473
PLEHNPDM_00661	K03106
PLEHNPDM_00662	K02959
PLEHNPDM_00664	K00554
PLEHNPDM_00665	K02884
PLEHNPDM_00666	K01703
PLEHNPDM_00667	K01704
PLEHNPDM_00668	K00052
PLEHNPDM_00672	K06871
PLEHNPDM_00673	K01061
PLEHNPDM_00674	K00344
PLEHNPDM_00677	K03738
PLEHNPDM_00681	K04078
PLEHNPDM_00682	K04077
PLEHNPDM_00683	K01768
PLEHNPDM_00684	K02335
PLEHNPDM_00685	K06167
PLEHNPDM_00686	K03424
PLEHNPDM_00687	K01874
PLEHNPDM_00688	K02341
PLEHNPDM_00689	K07258
PLEHNPDM_00690	K01689
PLEHNPDM_00691	K00046
PLEHNPDM_00694	K00059
PLEHNPDM_00696	K00161
PLEHNPDM_00697	K00162
PLEHNPDM_00698	K00627
PLEHNPDM_00699	K00382
PLEHNPDM_00700	K03644
PLEHNPDM_00701	K18588
PLEHNPDM_00702	K03929
PLEHNPDM_00711	K01803
PLEHNPDM_00720	K02687
PLEHNPDM_00721	K03657
PLEHNPDM_00722	K01995
PLEHNPDM_00723	K01996
PLEHNPDM_00724	K01997
PLEHNPDM_00725	K01998
PLEHNPDM_00729	K22133
PLEHNPDM_00732	K00344
PLEHNPDM_00733	K00799
PLEHNPDM_00734	K18979
PLEHNPDM_00738	K18893
PLEHNPDM_00741	K00666
PLEHNPDM_00748	K02614
PLEHNPDM_00750	K01714
PLEHNPDM_00752	K06861
PLEHNPDM_00753	K06861
PLEHNPDM_00754	K01998
PLEHNPDM_00755	K01997
PLEHNPDM_00759	K00059
PLEHNPDM_00760	K00059
PLEHNPDM_00761	K00609
PLEHNPDM_00762	K01465
PLEHNPDM_00763	K08591
PLEHNPDM_00764	K00266
PLEHNPDM_00765	K17723
PLEHNPDM_00767	K18703
PLEHNPDM_00769	K07222
PLEHNPDM_00771	K22540
PLEHNPDM_00772	K01053
PLEHNPDM_00774	K15034
PLEHNPDM_00775	K00059
PLEHNPDM_00778	K22303
PLEHNPDM_00784	K01692
PLEHNPDM_00787	K00219
PLEHNPDM_00788	K00059
PLEHNPDM_00791	K00059
PLEHNPDM_00792	K10255
PLEHNPDM_00799	K11209
PLEHNPDM_00800	K05898
PLEHNPDM_00801	K18703
PLEHNPDM_00802	K15866
PLEHNPDM_00803	K00799
PLEHNPDM_00804	K23107
PLEHNPDM_00814	K04754
PLEHNPDM_00816	K07716
PLEHNPDM_00818	K01740
PLEHNPDM_00819	K03119
PLEHNPDM_00820	K05898
PLEHNPDM_00822	K13004
PLEHNPDM_00824	K00059
PLEHNPDM_00825	K00059
PLEHNPDM_00832	K01562
PLEHNPDM_00839	K01692
PLEHNPDM_00842	K01754
PLEHNPDM_00843	K16048
PLEHNPDM_00844	K02556
PLEHNPDM_00845	K02557
PLEHNPDM_00846	K00249
PLEHNPDM_00851	K01434
PLEHNPDM_00852	K00020
PLEHNPDM_00854	K01698
PLEHNPDM_00855	K01847
PLEHNPDM_00857	K03704
PLEHNPDM_00861	K04751
PLEHNPDM_00862	K01678
PLEHNPDM_00863	K01677
PLEHNPDM_00864	K00239
PLEHNPDM_00867	K00240
PLEHNPDM_00870	K03665
PLEHNPDM_00871	K03666
PLEHNPDM_00872	K00824
PLEHNPDM_00873	K03498
PLEHNPDM_00874	K03499
PLEHNPDM_00875	K13599
PLEHNPDM_00877	K07712
PLEHNPDM_00878	K07708
PLEHNPDM_00883	K02412
PLEHNPDM_00884	K02483
PLEHNPDM_00885	K00575
PLEHNPDM_00886	K03412
PLEHNPDM_00887	K03413
PLEHNPDM_00889	K03407
PLEHNPDM_00891	K01768
PLEHNPDM_00892	K22900
PLEHNPDM_00895	K00147
PLEHNPDM_00896	K00931
PLEHNPDM_00897	K03979
PLEHNPDM_00898	K18258
PLEHNPDM_00899	K00359
PLEHNPDM_00902	K07511
PLEHNPDM_00903	K01972
PLEHNPDM_00904	K03631
PLEHNPDM_00905	K05807
PLEHNPDM_00908	K09473
PLEHNPDM_00909	K03823
PLEHNPDM_00910	K03704
PLEHNPDM_00913	K00059
PLEHNPDM_00915	K02639
PLEHNPDM_00918	K01557
PLEHNPDM_00919	K01142
PLEHNPDM_00920	K06126
PLEHNPDM_00921	K02433
PLEHNPDM_00926	K03702
PLEHNPDM_00930	K01847
PLEHNPDM_00931	K01848
PLEHNPDM_00932	K01848
PLEHNPDM_00934	K01652
PLEHNPDM_00935	K02902
PLEHNPDM_00943	K01735
PLEHNPDM_00944	K00891
PLEHNPDM_00947	K04763
PLEHNPDM_00948	K01962
PLEHNPDM_00954	K03406
PLEHNPDM_00955	K00428
PLEHNPDM_00960	K03704
PLEHNPDM_00963	K18703
PLEHNPDM_00964	K00108
PLEHNPDM_00967	K03070
PLEHNPDM_00968	K03771
PLEHNPDM_00969	K00620
PLEHNPDM_00970	K08320
PLEHNPDM_00972	K00827
PLEHNPDM_00977	K08305
PLEHNPDM_00978	K03642
PLEHNPDM_00982	K00249
PLEHNPDM_00983	K00001
PLEHNPDM_00985	K18687
PLEHNPDM_00993	K02392
PLEHNPDM_00994	K02392
PLEHNPDM_00996	K02393
PLEHNPDM_00997	K06204
PLEHNPDM_00999	K02394
PLEHNPDM_01002	K07716
PLEHNPDM_01003	K03119
PLEHNPDM_01004	K22443
PLEHNPDM_01006	K00666
PLEHNPDM_01008	K00074
PLEHNPDM_01010	K02065
PLEHNPDM_01011	K16639
PLEHNPDM_01015	K03149
PLEHNPDM_01016	K03786
PLEHNPDM_01017	K02160
PLEHNPDM_01018	K01961
PLEHNPDM_01019	K05607
PLEHNPDM_01020	K00684
PLEHNPDM_01022	K02067
PLEHNPDM_01024	K00525
PLEHNPDM_01026	K01876
PLEHNPDM_01027	K03684
PLEHNPDM_01028	K01524
PLEHNPDM_01029	K00937
PLEHNPDM_01031	K00059
PLEHNPDM_01032	K10763
PLEHNPDM_01034	K08744
PLEHNPDM_01036	K01933
PLEHNPDM_01037	K11175
PLEHNPDM_01043	K00940
PLEHNPDM_01044	K06158
PLEHNPDM_01047	K15270
PLEHNPDM_01048	K01692
PLEHNPDM_01052	K01556
PLEHNPDM_01053	K05607
PLEHNPDM_01054	K01426
PLEHNPDM_01057	K01473
PLEHNPDM_01058	K01474
PLEHNPDM_01060	K02433
PLEHNPDM_01062	K00830
PLEHNPDM_01064	K08188
PLEHNPDM_01067	K09810
PLEHNPDM_01068	K09808
PLEHNPDM_01069	K01881
PLEHNPDM_01072	K05606
PLEHNPDM_01073	K12574
PLEHNPDM_01074	K03525
PLEHNPDM_01075	K03524
PLEHNPDM_01076	K00343
PLEHNPDM_01077	K00342
PLEHNPDM_01078	K03883
PLEHNPDM_01079	K00340
PLEHNPDM_01080	K00339
PLEHNPDM_01081	K03941
PLEHNPDM_01082	K00337
PLEHNPDM_01083	K00336
PLEHNPDM_01084	K03942
PLEHNPDM_01085	K03943
PLEHNPDM_01086	K00333
PLEHNPDM_01087	K03936
PLEHNPDM_01088	K00331
PLEHNPDM_01089	K00330
PLEHNPDM_01093	K02572
PLEHNPDM_01095	K02567
PLEHNPDM_01096	K02573
PLEHNPDM_01097	K02574
PLEHNPDM_01098	K02568
PLEHNPDM_01099	K02569
PLEHNPDM_01100	K00666
PLEHNPDM_01101	K08189
PLEHNPDM_01104	K09014
PLEHNPDM_01105	K09013
PLEHNPDM_01106	K09015
PLEHNPDM_01107	K11717
PLEHNPDM_01108	K02426
PLEHNPDM_01110	K13628
PLEHNPDM_01111	K08321
PLEHNPDM_01114	K22130
PLEHNPDM_01115	K21948
PLEHNPDM_01121	K01687
PLEHNPDM_01122	K03118
PLEHNPDM_01125	K06024
PLEHNPDM_01126	K05896
PLEHNPDM_01127	K01207
PLEHNPDM_01129	K01887
PLEHNPDM_01130	K01129
PLEHNPDM_01131	K22072
PLEHNPDM_01132	K01142
PLEHNPDM_01133	K00249
PLEHNPDM_01137	K00852
PLEHNPDM_01139	K08963
PLEHNPDM_01140	K00023
PLEHNPDM_01141	K10440
PLEHNPDM_01143	K10441
PLEHNPDM_01145	K02012
PLEHNPDM_01146	K02011
PLEHNPDM_01147	K10112
PLEHNPDM_01150	K04775
PLEHNPDM_01151	K02022
PLEHNPDM_01152	K16299
PLEHNPDM_01155	K03218
PLEHNPDM_01159	K00392
PLEHNPDM_01162	K10764
PLEHNPDM_01163	K00344
PLEHNPDM_01164	K03520
PLEHNPDM_01172	K00059
PLEHNPDM_01173	K01607
PLEHNPDM_01174	K00020
PLEHNPDM_01175	K00059
PLEHNPDM_01177	K11072
PLEHNPDM_01179	K11071
PLEHNPDM_01180	K11070
PLEHNPDM_01181	K22900
PLEHNPDM_01182	K07223
PLEHNPDM_01183	K18534
PLEHNPDM_01186	K01998
PLEHNPDM_01188	K18244
PLEHNPDM_01189	K01897
PLEHNPDM_01190	K01661
PLEHNPDM_01191	K00059
PLEHNPDM_01195	K00059
PLEHNPDM_01196	K13574
PLEHNPDM_01197	K00058
PLEHNPDM_01198	K03273
PLEHNPDM_01199	K18703
PLEHNPDM_01200	K05607
PLEHNPDM_01202	K01647
PLEHNPDM_01203	K01647
PLEHNPDM_01204	K01426
PLEHNPDM_01205	K00057
PLEHNPDM_01207	K01897
PLEHNPDM_01211	K00059
PLEHNPDM_01216	K01912
PLEHNPDM_01217	K01996
PLEHNPDM_01219	K01998
PLEHNPDM_01220	K01997
PLEHNPDM_01221	K01897
PLEHNPDM_01222	K01995
PLEHNPDM_01223	K00059
PLEHNPDM_01224	K01681
PLEHNPDM_01231	K01849
PLEHNPDM_01232	K01848
PLEHNPDM_01233	K01715
PLEHNPDM_01234	K02472
PLEHNPDM_01235	K01791
PLEHNPDM_01236	K00549
PLEHNPDM_01237	K05337
PLEHNPDM_01242	K00174
PLEHNPDM_01243	K00175
PLEHNPDM_01247	K15866
PLEHNPDM_01248	K00059
PLEHNPDM_01249	K01715
PLEHNPDM_01250	K00344
PLEHNPDM_01251	K07511
PLEHNPDM_01253	K00666
PLEHNPDM_01254	K00666
PLEHNPDM_01258	K01687
PLEHNPDM_01259	K00140
PLEHNPDM_01260	K18798
PLEHNPDM_01262	K13770
PLEHNPDM_01263	K00255
PLEHNPDM_01264	K00666
PLEHNPDM_01265	K11731
PLEHNPDM_01266	K11731
PLEHNPDM_01268	K01969
PLEHNPDM_01269	K05607
PLEHNPDM_01270	K01961
PLEHNPDM_01273	K05606
PLEHNPDM_01278	K11928
PLEHNPDM_01281	K03651
PLEHNPDM_01283	K01069
PLEHNPDM_01284	K07716
PLEHNPDM_01288	K09788
PLEHNPDM_01289	K05898
PLEHNPDM_01293	K18703
PLEHNPDM_01294	K18703
PLEHNPDM_01295	K06446
PLEHNPDM_01298	K03530
PLEHNPDM_01299	K01652
PLEHNPDM_01301	K00681
PLEHNPDM_01303	K02433
PLEHNPDM_01307	K09791
PLEHNPDM_01309	K03671
PLEHNPDM_01312	K00059
PLEHNPDM_01313	K00059
PLEHNPDM_01315	K00797
PLEHNPDM_01316	K00799
PLEHNPDM_01318	K16329
PLEHNPDM_01320	K07652
PLEHNPDM_01321	K22205
PLEHNPDM_01322	K03885
PLEHNPDM_01325	K13889
PLEHNPDM_01330	K01586
PLEHNPDM_01331	K01755
PLEHNPDM_01336	K07637
PLEHNPDM_01337	K02483
PLEHNPDM_01339	K06148
PLEHNPDM_01340	K06147
PLEHNPDM_01341	K02022
PLEHNPDM_01345	K01652
PLEHNPDM_01346	K03446
PLEHNPDM_01348	K00626
PLEHNPDM_01349	K09456
PLEHNPDM_01350	K09458
PLEHNPDM_01351	K01897
PLEHNPDM_01352	K09020
PLEHNPDM_01353	K00108
PLEHNPDM_01354	K22369
PLEHNPDM_01355	K00058
PLEHNPDM_01356	K01634
PLEHNPDM_01358	K07511
PLEHNPDM_01360	K00239
PLEHNPDM_01366	K04014
PLEHNPDM_01367	K21307
PLEHNPDM_01371	K02549
PLEHNPDM_01372	K01684
PLEHNPDM_01377	K16047
PLEHNPDM_01378	K01799
PLEHNPDM_01383	K01436
PLEHNPDM_01387	K01684
PLEHNPDM_01388	K18703
PLEHNPDM_01394	K00244
PLEHNPDM_01395	K00020
PLEHNPDM_01396	K01692
PLEHNPDM_01398	K01042
PLEHNPDM_01399	K03833
PLEHNPDM_01405	K01897
PLEHNPDM_01406	K12661
PLEHNPDM_01409	K08680
PLEHNPDM_01414	K03074
PLEHNPDM_01415	K03072
PLEHNPDM_01416	K03210
PLEHNPDM_01418	K06923
PLEHNPDM_01419	K06194
PLEHNPDM_01421	K00573
PLEHNPDM_01422	K03787
PLEHNPDM_01423	K01875
PLEHNPDM_01426	K01473
PLEHNPDM_01427	K01474
PLEHNPDM_01428	K01715
PLEHNPDM_01429	K00059
PLEHNPDM_01430	K07713
PLEHNPDM_01432	K09786
PLEHNPDM_01433	K07180
PLEHNPDM_01436	K01692
PLEHNPDM_01437	K11209
PLEHNPDM_01441	K00162
PLEHNPDM_01442	K00161
PLEHNPDM_01446	K03149
PLEHNPDM_01448	K20498
PLEHNPDM_01449	K01626
PLEHNPDM_01450	K00046
PLEHNPDM_01451	K21085
PLEHNPDM_01455	K03723
PLEHNPDM_01457	K21308
PLEHNPDM_01458	K21307
PLEHNPDM_01461	K03182
PLEHNPDM_01462	K01652
PLEHNPDM_01463	K00059
PLEHNPDM_01464	K05712
PLEHNPDM_01467	K00248
PLEHNPDM_01469	K08764
PLEHNPDM_01470	K01897
PLEHNPDM_01472	K09478
PLEHNPDM_01473	K01692
PLEHNPDM_01474	K03406
PLEHNPDM_01476	K00059
PLEHNPDM_01478	K03406
PLEHNPDM_01479	K03724
PLEHNPDM_01480	K10778
PLEHNPDM_01481	K22074
PLEHNPDM_01482	K03796
PLEHNPDM_01484	K09019
PLEHNPDM_01485	K14742
PLEHNPDM_01489	K03711
PLEHNPDM_01490	K06168
PLEHNPDM_01491	K06217
PLEHNPDM_01492	K07037
PLEHNPDM_01493	K07042
PLEHNPDM_01495	K03820
PLEHNPDM_01497	K00789
PLEHNPDM_01498	K03439
PLEHNPDM_01499	K09748
PLEHNPDM_01500	K02600
PLEHNPDM_01502	K02519
PLEHNPDM_01504	K03177
PLEHNPDM_01505	K02956
PLEHNPDM_01506	K00962
PLEHNPDM_01507	K18703
PLEHNPDM_01510	K18258
PLEHNPDM_01511	K01768
PLEHNPDM_01512	K03446
PLEHNPDM_01514	K09768
PLEHNPDM_01516	K09796
PLEHNPDM_01519	K03119
PLEHNPDM_01520	K07517
PLEHNPDM_01521	K01768
PLEHNPDM_01523	K07753
PLEHNPDM_01525	K19157
PLEHNPDM_01526	K03186
PLEHNPDM_01528	K22027
PLEHNPDM_01529	K01687
PLEHNPDM_01530	K00046
PLEHNPDM_01532	K06861
PLEHNPDM_01533	K01995
PLEHNPDM_01534	K01998
PLEHNPDM_01535	K11960
PLEHNPDM_01536	K11959
PLEHNPDM_01539	K00788
PLEHNPDM_01540	K01623
PLEHNPDM_01542	K00927
PLEHNPDM_01543	K00134
PLEHNPDM_01544	K00615
PLEHNPDM_01547	K01934
PLEHNPDM_01548	K09769
PLEHNPDM_01551	K01159
PLEHNPDM_01552	K03550
PLEHNPDM_01553	K03551
PLEHNPDM_01554	K07107
PLEHNPDM_01555	K03562
PLEHNPDM_01556	K03560
PLEHNPDM_01558	K03641
PLEHNPDM_01559	K03640
PLEHNPDM_01561	K04075
PLEHNPDM_01562	K03798
PLEHNPDM_01563	K00796
PLEHNPDM_01564	K03431
PLEHNPDM_01565	K00941
PLEHNPDM_01567	K07552
PLEHNPDM_01574	K18453
PLEHNPDM_01580	K10119
PLEHNPDM_01581	K10112
PLEHNPDM_01583	K18881
PLEHNPDM_01584	K02433
PLEHNPDM_01585	K18828
PLEHNPDM_01591	K00248
PLEHNPDM_01594	K18703
PLEHNPDM_01595	K03498
PLEHNPDM_01601	K01895
PLEHNPDM_01602	K00059
PLEHNPDM_01603	K00128
PLEHNPDM_01606	K01845
PLEHNPDM_01608	K05592
PLEHNPDM_01610	K00289
PLEHNPDM_01612	K02622
PLEHNPDM_01615	K03189
PLEHNPDM_01616	K03188
PLEHNPDM_01617	K03187
PLEHNPDM_01618	K01428
PLEHNPDM_01619	K01429
PLEHNPDM_01620	K01430
PLEHNPDM_01621	K03190
PLEHNPDM_01622	K11963
PLEHNPDM_01623	K11962
PLEHNPDM_01624	K11961
PLEHNPDM_01625	K11960
PLEHNPDM_01626	K11959
PLEHNPDM_01627	K14155
PLEHNPDM_01630	K03518
PLEHNPDM_01632	K03520
PLEHNPDM_01633	K11717
PLEHNPDM_01635	K07004
PLEHNPDM_01638	K03392
