JJHLBNLN_00006	K22041
JJHLBNLN_00193	K07114
JJHLBNLN_00196	K03924
JJHLBNLN_00197	K15371
JJHLBNLN_00198	K00254
JJHLBNLN_00200	K03424
JJHLBNLN_00201	K00826
JJHLBNLN_00202	K03168
JJHLBNLN_00203	K01356
JJHLBNLN_00204	K01207
JJHLBNLN_00205	K16052
JJHLBNLN_00206	K00760
JJHLBNLN_00207	K16898
JJHLBNLN_00209	K06917
JJHLBNLN_00211	K03521
JJHLBNLN_00212	K03522
JJHLBNLN_00213	K08300
JJHLBNLN_00216	K09808
JJHLBNLN_00217	K09810
JJHLBNLN_00218	K09808
JJHLBNLN_00219	K02238
JJHLBNLN_00220	K03561
JJHLBNLN_00222	K00912
JJHLBNLN_00224	K00979
JJHLBNLN_00225	K00075
JJHLBNLN_00226	K03703
JJHLBNLN_00227	K00995
JJHLBNLN_00232	K21064
JJHLBNLN_00235	K11517
JJHLBNLN_00238	K01066
JJHLBNLN_00239	K23677
JJHLBNLN_00240	K03315
JJHLBNLN_00241	K02439
JJHLBNLN_00243	K01595
JJHLBNLN_00245	K12942
JJHLBNLN_00247	K00821
JJHLBNLN_00248	K07304
JJHLBNLN_00249	K01081
JJHLBNLN_00250	K07090
JJHLBNLN_00251	K13634
JJHLBNLN_00252	K05907
JJHLBNLN_00254	K18850
JJHLBNLN_00255	K01756
JJHLBNLN_00257	K00566
JJHLBNLN_00258	K12152
JJHLBNLN_00259	K03637
JJHLBNLN_00261	K03635
JJHLBNLN_00262	K06181
JJHLBNLN_00263	K03704
JJHLBNLN_00264	K06891
JJHLBNLN_00265	K03694
JJHLBNLN_00266	K02518
JJHLBNLN_00267	K00685
JJHLBNLN_00268	K00684
JJHLBNLN_00269	K00384
JJHLBNLN_00270	K03466
JJHLBNLN_00272	K06199
JJHLBNLN_00273	K01875
JJHLBNLN_00274	K02302
JJHLBNLN_00275	K11179
JJHLBNLN_00278	K07235
JJHLBNLN_00279	K19416
JJHLBNLN_00281	K03797
JJHLBNLN_00284	K00109
JJHLBNLN_00285	K02343
JJHLBNLN_00286	K00943
JJHLBNLN_00287	K07082
JJHLBNLN_00288	K09458
JJHLBNLN_00289	K02078
JJHLBNLN_00290	K00059
JJHLBNLN_00291	K00645
JJHLBNLN_00292	K03621
JJHLBNLN_00293	K02911
JJHLBNLN_00295	K06179
JJHLBNLN_00296	K01887
JJHLBNLN_00297	K04079
JJHLBNLN_00300	K03559
JJHLBNLN_00301	K03561
JJHLBNLN_00302	K03561
JJHLBNLN_00304	K01902
JJHLBNLN_00305	K01903
JJHLBNLN_00306	K00382
JJHLBNLN_00307	K00658
JJHLBNLN_00308	K00164
JJHLBNLN_00309	K00240
JJHLBNLN_00310	K00239
JJHLBNLN_00311	K00242
JJHLBNLN_00312	K00241
JJHLBNLN_00313	K01647
JJHLBNLN_00315	K01885
JJHLBNLN_00316	K05539
JJHLBNLN_00318	K04754
JJHLBNLN_00319	K03578
JJHLBNLN_00320	K01897
JJHLBNLN_00324	K09160
JJHLBNLN_00325	K02335
JJHLBNLN_00326	K06187
JJHLBNLN_00327	K09747
JJHLBNLN_00328	K02343
JJHLBNLN_00329	K00117
JJHLBNLN_00331	K06879
JJHLBNLN_00332	K01992
JJHLBNLN_00333	K01990
JJHLBNLN_00337	K07400
JJHLBNLN_00338	K00548
JJHLBNLN_00339	K00392
JJHLBNLN_00341	K19745
JJHLBNLN_00342	K04774
JJHLBNLN_00343	K03426
JJHLBNLN_00344	K02342
JJHLBNLN_00345	K03469
JJHLBNLN_00347	K01069
JJHLBNLN_00348	K08307
JJHLBNLN_00349	K03305
JJHLBNLN_00350	K00208
JJHLBNLN_00351	K03770
JJHLBNLN_00352	K03530
JJHLBNLN_00353	K01338
JJHLBNLN_00354	K03544
JJHLBNLN_00355	K01358
JJHLBNLN_00356	K03545
JJHLBNLN_00362	K07305
JJHLBNLN_00363	K14260
JJHLBNLN_00364	K03473
JJHLBNLN_00365	K02335
JJHLBNLN_00366	K04085
JJHLBNLN_00368	K14058
JJHLBNLN_00369	K01825
JJHLBNLN_00372	K22066
JJHLBNLN_00373	K14540
JJHLBNLN_00374	K06972
JJHLBNLN_00376	K05801
JJHLBNLN_00377	K01972
JJHLBNLN_00379	K03529
JJHLBNLN_00383	K04764
JJHLBNLN_00384	K01890
JJHLBNLN_00385	K01889
JJHLBNLN_00386	K02887
JJHLBNLN_00387	K02916
JJHLBNLN_00388	K02520
JJHLBNLN_00389	K01868
JJHLBNLN_00391	K03702
JJHLBNLN_00393	K01693
JJHLBNLN_00394	K02501
JJHLBNLN_00395	K01814
JJHLBNLN_00396	K02500
JJHLBNLN_00397	K03797
JJHLBNLN_00398	K06194
JJHLBNLN_00399	K15633
JJHLBNLN_00401	K03071
JJHLBNLN_00403	K03216
JJHLBNLN_00405	K07712
JJHLBNLN_00406	K07708
JJHLBNLN_00407	K01915
JJHLBNLN_00408	K06207
JJHLBNLN_00409	K01259
JJHLBNLN_00410	K07560
JJHLBNLN_00411	K03118
JJHLBNLN_00414	K01523
JJHLBNLN_00415	K11755
JJHLBNLN_00416	K03688
JJHLBNLN_00418	K03183
JJHLBNLN_00420	K03667
JJHLBNLN_00421	K01419
JJHLBNLN_00423	K04066
JJHLBNLN_00425	K02909
JJHLBNLN_00426	K05366
JJHLBNLN_00431	K02666
JJHLBNLN_00432	K00891
JJHLBNLN_00433	K01735
JJHLBNLN_00435	K01599
JJHLBNLN_00436	K00950
JJHLBNLN_00441	K03088
JJHLBNLN_00442	K00215
JJHLBNLN_00443	K01956
JJHLBNLN_00444	K01955
JJHLBNLN_00445	K03624
JJHLBNLN_00446	K07574
JJHLBNLN_00447	K02427
JJHLBNLN_00448	K03798
JJHLBNLN_00449	K00796
JJHLBNLN_00450	K03431
JJHLBNLN_00451	K01803
JJHLBNLN_00452	K03075
JJHLBNLN_00458	K00626
JJHLBNLN_00460	K15034
JJHLBNLN_00462	K01997
JJHLBNLN_00463	K11961
JJHLBNLN_00464	K01995
JJHLBNLN_00465	K01996
JJHLBNLN_00467	K01658
JJHLBNLN_00473	K17838
JJHLBNLN_00474	K09966
JJHLBNLN_00475	K09478
JJHLBNLN_00477	K13953
JJHLBNLN_00478	K07516
JJHLBNLN_00479	K00626
JJHLBNLN_00480	K06446
JJHLBNLN_00481	K10716
JJHLBNLN_00483	K06131
JJHLBNLN_00484	K11932
JJHLBNLN_00485	K01420
JJHLBNLN_00486	K00797
JJHLBNLN_00488	K00059
JJHLBNLN_00493	K03640
JJHLBNLN_00498	K01652
JJHLBNLN_00499	K03307
JJHLBNLN_00503	K03823
JJHLBNLN_00509	K22757
JJHLBNLN_00510	K02503
JJHLBNLN_00511	K08963
JJHLBNLN_00516	K11206
JJHLBNLN_00518	K11751
JJHLBNLN_00519	K06966
JJHLBNLN_00521	K08301
JJHLBNLN_00522	K06287
JJHLBNLN_00525	K03569
JJHLBNLN_00526	K02435
JJHLBNLN_00527	K02433
JJHLBNLN_00528	K02434
JJHLBNLN_00530	K05592
JJHLBNLN_00531	K21029
JJHLBNLN_00532	K02493
JJHLBNLN_00533	K02835
JJHLBNLN_00534	K02492
JJHLBNLN_00545	K01687
JJHLBNLN_00547	K13529
JJHLBNLN_00548	K00567
JJHLBNLN_00549	K07402
JJHLBNLN_00551	K01426
JJHLBNLN_00552	K00609
JJHLBNLN_00553	K01141
JJHLBNLN_00556	K03722
JJHLBNLN_00561	K00526
JJHLBNLN_00562	K00525
JJHLBNLN_00563	K00611
JJHLBNLN_00564	K01474
JJHLBNLN_00565	K07390
JJHLBNLN_00566	K03683
JJHLBNLN_00567	K01465
JJHLBNLN_00568	K01940
JJHLBNLN_00569	K10773
JJHLBNLN_00572	K03616
JJHLBNLN_00575	K01874
JJHLBNLN_00577	K01494
JJHLBNLN_00578	K02405
JJHLBNLN_00579	K02193
JJHLBNLN_00580	K02194
JJHLBNLN_00581	K02195
JJHLBNLN_00583	K02197
JJHLBNLN_00584	K02198
JJHLBNLN_00585	K02199
JJHLBNLN_00586	K04017
JJHLBNLN_00588	K05835
JJHLBNLN_00589	K03639
JJHLBNLN_00590	K03638
JJHLBNLN_00592	K01142
JJHLBNLN_00593	K03768
JJHLBNLN_00594	K09780
JJHLBNLN_00595	K06190
JJHLBNLN_00597	K01867
JJHLBNLN_00598	K05896
JJHLBNLN_00599	K06024
JJHLBNLN_00600	K06178
JJHLBNLN_00602	K22292
JJHLBNLN_00603	K00568
JJHLBNLN_00604	K12960
JJHLBNLN_00605	K02469
JJHLBNLN_00606	K14170
JJHLBNLN_00607	K00800
JJHLBNLN_00608	K00945
JJHLBNLN_00609	K02945
JJHLBNLN_00610	K05788
JJHLBNLN_00612	K01591
JJHLBNLN_00616	K03768
JJHLBNLN_00618	K03702
JJHLBNLN_00620	K01868
JJHLBNLN_00621	K02520
JJHLBNLN_00622	K02916
JJHLBNLN_00623	K02887
JJHLBNLN_00624	K01889
JJHLBNLN_00625	K01890
JJHLBNLN_00626	K04764
JJHLBNLN_00630	K03529
JJHLBNLN_00638	K01754
JJHLBNLN_00645	K07116
JJHLBNLN_00646	K00117
JJHLBNLN_00648	K13783
JJHLBNLN_00650	K01480
JJHLBNLN_00651	K13747
JJHLBNLN_00652	K00290
JJHLBNLN_00654	K05888
JJHLBNLN_00665	K02032
JJHLBNLN_00666	K15583
JJHLBNLN_00667	K15582
JJHLBNLN_00668	K15581
JJHLBNLN_00669	K15580
JJHLBNLN_00672	K13789
JJHLBNLN_00673	K01662
JJHLBNLN_00674	K16089
JJHLBNLN_00675	K19221
JJHLBNLN_00676	K06858
JJHLBNLN_00678	K14652
JJHLBNLN_00679	K01095
JJHLBNLN_00680	K00946
JJHLBNLN_00681	K03625
JJHLBNLN_00682	K00794
JJHLBNLN_00683	K14652
JJHLBNLN_00684	K00793
JJHLBNLN_00685	K11752
JJHLBNLN_00686	K07738
JJHLBNLN_00687	K00600
JJHLBNLN_00690	K03566
JJHLBNLN_00691	K00059
JJHLBNLN_00692	K00344
JJHLBNLN_00693	K01049
JJHLBNLN_00694	K03451
JJHLBNLN_00697	K06020
JJHLBNLN_00700	K15918
JJHLBNLN_00702	K13638
JJHLBNLN_00703	K06130
JJHLBNLN_00704	K06694
JJHLBNLN_00706	K03442
JJHLBNLN_00707	K06969
JJHLBNLN_00710	K06956
JJHLBNLN_00711	K01992
JJHLBNLN_00712	K01990
JJHLBNLN_00713	K01295
JJHLBNLN_00714	K04485
JJHLBNLN_00715	K01775
JJHLBNLN_00716	K02314
JJHLBNLN_00717	K02939
JJHLBNLN_00719	K02963
JJHLBNLN_00720	K02990
JJHLBNLN_00721	K03218
JJHLBNLN_00722	K12573
JJHLBNLN_00729	K22369
JJHLBNLN_00730	K05846
JJHLBNLN_00731	K05847
JJHLBNLN_00739	K07568
JJHLBNLN_00740	K00024
JJHLBNLN_00741	K03719
JJHLBNLN_00742	K01649
JJHLBNLN_00743	K03088
JJHLBNLN_00747	K07053
JJHLBNLN_00748	K13643
JJHLBNLN_00749	K04487
JJHLBNLN_00750	K04488
JJHLBNLN_00751	K13628
JJHLBNLN_00752	K04082
JJHLBNLN_00753	K04044
JJHLBNLN_00754	K04755
JJHLBNLN_00756	K00940
JJHLBNLN_00757	K06941
JJHLBNLN_00760	K03526
JJHLBNLN_00761	K01892
JJHLBNLN_00764	K03977
JJHLBNLN_00765	K01754
JJHLBNLN_00768	K05844
JJHLBNLN_00772	K00274
JJHLBNLN_00777	K03601
JJHLBNLN_00781	K03704
JJHLBNLN_00785	K03978
JJHLBNLN_00786	K02335
JJHLBNLN_00787	K09815
JJHLBNLN_00788	K09817
JJHLBNLN_00789	K09816
JJHLBNLN_00790	K07152
JJHLBNLN_00791	K02257
JJHLBNLN_00792	K02275
JJHLBNLN_00793	K02274
JJHLBNLN_00794	K02276
JJHLBNLN_00795	K02276
JJHLBNLN_00797	K00014
JJHLBNLN_00798	K00228
JJHLBNLN_00799	K07566
JJHLBNLN_00800	K04096
JJHLBNLN_00802	K01462
JJHLBNLN_00803	K00604
JJHLBNLN_00804	K03500
JJHLBNLN_00805	K03499
JJHLBNLN_00806	K03498
JJHLBNLN_00808	K01878
JJHLBNLN_00809	K01879
JJHLBNLN_00810	K03273
JJHLBNLN_00811	K02470
JJHLBNLN_00812	K03629
JJHLBNLN_00813	K02338
JJHLBNLN_00814	K02313
JJHLBNLN_00816	K08998
JJHLBNLN_00817	K03217
JJHLBNLN_00818	K03650
JJHLBNLN_00819	K03495
JJHLBNLN_00820	K03501
JJHLBNLN_00821	K03496
JJHLBNLN_00822	K03497
JJHLBNLN_00824	K02108
JJHLBNLN_00825	K02110
JJHLBNLN_00826	K02109
JJHLBNLN_00827	K02113
JJHLBNLN_00828	K02111
JJHLBNLN_00829	K02115
JJHLBNLN_00830	K02112
JJHLBNLN_00831	K02114
JJHLBNLN_00832	K04042
JJHLBNLN_00833	K00820
JJHLBNLN_00834	K08289
JJHLBNLN_00840	K01990
JJHLBNLN_00841	K01992
JJHLBNLN_00844	K00354
JJHLBNLN_00846	K03787
JJHLBNLN_00849	K00117
JJHLBNLN_00850	K00029
JJHLBNLN_00851	K13444
JJHLBNLN_00854	K11997
JJHLBNLN_00856	K00031
JJHLBNLN_00857	K00657
JJHLBNLN_00858	K00824
JJHLBNLN_00859	K04567
JJHLBNLN_00860	K02356
JJHLBNLN_00861	K19810
JJHLBNLN_00863	K02621
JJHLBNLN_00864	K02622
JJHLBNLN_00865	K03651
JJHLBNLN_00866	K09920
JJHLBNLN_00867	K01515
JJHLBNLN_00868	K03769
JJHLBNLN_00871	K07644
JJHLBNLN_00872	K02483
JJHLBNLN_00874	K01626
JJHLBNLN_00876	K12340
JJHLBNLN_00883	K00973
JJHLBNLN_00884	K01790
JJHLBNLN_00885	K00067
JJHLBNLN_00886	K01710
JJHLBNLN_00890	K07391
JJHLBNLN_00893	K04751
JJHLBNLN_00894	K03320
JJHLBNLN_00895	K09761
JJHLBNLN_00896	K00297
JJHLBNLN_00897	K01251
JJHLBNLN_00898	K00789
JJHLBNLN_00900	K00615
JJHLBNLN_00901	K00134
JJHLBNLN_00902	K00927
JJHLBNLN_00903	K01624
JJHLBNLN_00907	K03321
JJHLBNLN_00910	K02371
JJHLBNLN_00912	K23439
JJHLBNLN_00914	K13781
JJHLBNLN_00916	K07116
JJHLBNLN_00918	K00626
JJHLBNLN_00920	K00248
JJHLBNLN_00923	K10215
JJHLBNLN_00929	K01586
JJHLBNLN_00932	K06959
JJHLBNLN_00933	K03554
JJHLBNLN_00935	K00259
JJHLBNLN_00936	K03719
JJHLBNLN_00939	K02481
JJHLBNLN_00940	K00425
JJHLBNLN_00941	K00426
JJHLBNLN_00942	K17725
JJHLBNLN_00943	K17218
JJHLBNLN_00944	K18059
JJHLBNLN_00951	K10440
JJHLBNLN_00952	K10441
JJHLBNLN_00953	K01134
JJHLBNLN_00955	K11414
JJHLBNLN_00959	K00059
JJHLBNLN_00960	K01897
JJHLBNLN_00961	K18703
JJHLBNLN_00962	K06446
JJHLBNLN_00965	K01082
JJHLBNLN_00966	K20881
JJHLBNLN_00967	K04762
JJHLBNLN_00968	K01919
JJHLBNLN_00970	K00382
JJHLBNLN_00971	K01698
JJHLBNLN_00972	K03671
JJHLBNLN_00973	K03628
JJHLBNLN_00974	K03182
JJHLBNLN_00977	K13542
JJHLBNLN_00978	K01749
JJHLBNLN_00979	K01755
JJHLBNLN_00981	K12974
JJHLBNLN_00982	K00901
JJHLBNLN_00985	K11085
JJHLBNLN_00986	K06158
JJHLBNLN_00987	K02483
JJHLBNLN_00988	K07639
JJHLBNLN_00991	K01990
JJHLBNLN_00993	K01586
JJHLBNLN_00994	K01778
JJHLBNLN_00997	K12997
JJHLBNLN_01000	K01920
JJHLBNLN_01002	K07447
JJHLBNLN_01003	K02669
JJHLBNLN_01004	K06997
JJHLBNLN_01005	K00286
JJHLBNLN_01006	K02221
JJHLBNLN_01007	K00641
JJHLBNLN_01009	K02428
JJHLBNLN_01012	K14682
JJHLBNLN_01013	K00287
JJHLBNLN_01015	K00134
JJHLBNLN_01016	K00059
JJHLBNLN_01021	K06878
JJHLBNLN_01024	K09964
JJHLBNLN_01027	K11745
JJHLBNLN_01028	K01772
JJHLBNLN_01030	K13481
JJHLBNLN_01031	K03520
JJHLBNLN_01032	K00106
JJHLBNLN_01034	K03701
JJHLBNLN_01035	K03111
JJHLBNLN_01036	K00067
JJHLBNLN_01037	K03750
JJHLBNLN_01040	K00359
JJHLBNLN_01048	K01990
JJHLBNLN_01052	K02003
JJHLBNLN_01053	K02004
JJHLBNLN_01054	K01426
JJHLBNLN_01055	K00528
JJHLBNLN_01056	K11102
JJHLBNLN_01065	K01246
JJHLBNLN_01069	K11928
JJHLBNLN_01070	K11249
JJHLBNLN_01072	K01130
JJHLBNLN_01076	K00784
JJHLBNLN_01078	K03296
JJHLBNLN_01081	K03972
JJHLBNLN_01083	K17743
JJHLBNLN_01085	K03307
JJHLBNLN_01086	K00626
JJHLBNLN_01089	K03654
JJHLBNLN_01104	K00387
JJHLBNLN_01110	K03315
JJHLBNLN_01111	K03641
JJHLBNLN_01113	K02026
JJHLBNLN_01114	K02025
JJHLBNLN_01115	K10112
JJHLBNLN_01116	K10112
JJHLBNLN_01117	K00111
JJHLBNLN_01118	K00864
JJHLBNLN_01119	K15634
JJHLBNLN_01121	K03101
JJHLBNLN_01123	K00830
JJHLBNLN_01124	K02879
JJHLBNLN_01125	K03040
JJHLBNLN_01126	K02986
JJHLBNLN_01127	K02948
JJHLBNLN_01128	K02952
JJHLBNLN_01129	K03076
JJHLBNLN_01130	K02876
JJHLBNLN_01131	K02907
JJHLBNLN_01132	K02988
JJHLBNLN_01133	K02881
JJHLBNLN_01134	K02933
JJHLBNLN_01135	K02994
JJHLBNLN_01136	K02954
JJHLBNLN_01137	K02931
JJHLBNLN_01138	K02895
JJHLBNLN_01139	K02874
JJHLBNLN_01140	K02961
JJHLBNLN_01141	K02904
JJHLBNLN_01142	K02878
JJHLBNLN_01143	K02982
JJHLBNLN_01144	K02890
JJHLBNLN_01145	K02965
JJHLBNLN_01146	K02886
JJHLBNLN_01147	K02892
JJHLBNLN_01148	K02926
JJHLBNLN_01149	K02906
JJHLBNLN_01150	K02946
JJHLBNLN_01151	K02358
JJHLBNLN_01154	K00784
JJHLBNLN_01155	K04763
JJHLBNLN_01156	K04763
JJHLBNLN_01157	K19337
JJHLBNLN_01158	K09919
JJHLBNLN_01160	K05800
JJHLBNLN_01163	K09861
JJHLBNLN_01168	K10806
JJHLBNLN_01170	K03657
JJHLBNLN_01171	K00252
JJHLBNLN_01172	K03179
JJHLBNLN_01173	K03655
JJHLBNLN_01174	K09022
JJHLBNLN_01175	K01139
JJHLBNLN_01176	K03060
JJHLBNLN_01177	K00942
JJHLBNLN_01180	K11209
JJHLBNLN_01181	K07133
JJHLBNLN_01183	K00989
JJHLBNLN_01184	K00762
JJHLBNLN_01185	K05501
JJHLBNLN_01186	K00930
JJHLBNLN_01187	K13038
JJHLBNLN_01188	K03630
JJHLBNLN_01189	K02902
JJHLBNLN_01190	K02913
JJHLBNLN_01191	K15257
JJHLBNLN_01192	K15256
JJHLBNLN_01193	K15256
JJHLBNLN_01194	K07043
JJHLBNLN_01195	K03439
JJHLBNLN_01198	K03089
JJHLBNLN_01201	K06942
JJHLBNLN_01202	K01056
JJHLBNLN_01203	K02897
JJHLBNLN_01204	K00948
JJHLBNLN_01206	K00919
JJHLBNLN_01208	K00406
JJHLBNLN_01209	K18208
JJHLBNLN_01210	K01256
JJHLBNLN_01212	K14742
JJHLBNLN_01213	K06153
JJHLBNLN_01214	K15984
JJHLBNLN_01215	K01439
JJHLBNLN_01216	K00674
JJHLBNLN_01218	K00990
JJHLBNLN_01219	K01265
JJHLBNLN_01220	K02967
JJHLBNLN_01221	K02357
JJHLBNLN_01222	K09903
JJHLBNLN_01223	K02838
JJHLBNLN_01224	K00806
JJHLBNLN_01225	K00981
JJHLBNLN_01226	K00099
JJHLBNLN_01227	K11749
JJHLBNLN_01228	K07277
JJHLBNLN_01230	K02536
JJHLBNLN_01231	K02372
JJHLBNLN_01232	K00677
JJHLBNLN_01233	K00748
JJHLBNLN_01234	K03470
JJHLBNLN_01235	K02337
JJHLBNLN_01236	K01962
JJHLBNLN_01237	K04075
JJHLBNLN_01238	K01937
JJHLBNLN_01239	K01627
JJHLBNLN_01240	K01689
JJHLBNLN_01241	K05589
JJHLBNLN_01242	K00991
JJHLBNLN_01243	K01770
JJHLBNLN_01244	K06176
JJHLBNLN_01245	K00573
JJHLBNLN_01246	K08974
JJHLBNLN_01247	K06194
JJHLBNLN_01248	K05524
JJHLBNLN_01249	K03555
JJHLBNLN_01250	K03743
JJHLBNLN_01251	K03553
JJHLBNLN_01254	K04080
JJHLBNLN_01255	K01720
JJHLBNLN_01256	K01647
JJHLBNLN_01257	K03417
JJHLBNLN_01258	K15735
JJHLBNLN_01260	K09965
JJHLBNLN_01264	K09931
JJHLBNLN_01266	K02584
JJHLBNLN_01267	K11175
JJHLBNLN_01268	K01933
JJHLBNLN_01272	K03809
JJHLBNLN_01273	K01881
JJHLBNLN_01276	K01876
JJHLBNLN_01278	K01159
JJHLBNLN_01279	K03550
JJHLBNLN_01280	K03551
JJHLBNLN_01282	K03562
JJHLBNLN_01283	K03560
JJHLBNLN_01285	K03641
JJHLBNLN_01286	K03640
JJHLBNLN_01288	K10026
JJHLBNLN_01289	K06920
JJHLBNLN_01291	K03517
JJHLBNLN_01292	K01423
JJHLBNLN_01294	K03548
JJHLBNLN_01295	K01714
JJHLBNLN_01297	K09760
JJHLBNLN_01300	K03773
JJHLBNLN_01301	K01267
JJHLBNLN_01302	K15461
JJHLBNLN_01303	K02836
JJHLBNLN_01304	K04567
JJHLBNLN_01305	K03648
JJHLBNLN_01306	K00529
JJHLBNLN_01307	K01737
JJHLBNLN_01313	K01126
JJHLBNLN_01324	K01061
JJHLBNLN_01328	K18200
JJHLBNLN_01329	K05779
JJHLBNLN_01330	K05778
JJHLBNLN_01331	K05777
JJHLBNLN_01333	K18660
JJHLBNLN_01337	K23256
JJHLBNLN_01338	K00059
JJHLBNLN_01339	K11147
JJHLBNLN_01341	K11991
JJHLBNLN_01342	K07149
JJHLBNLN_01343	K01433
JJHLBNLN_01344	K01966
JJHLBNLN_01347	K03641
JJHLBNLN_01350	K01002
JJHLBNLN_01351	K05812
JJHLBNLN_01354	K16299
JJHLBNLN_01355	K02022
JJHLBNLN_01359	K09690
JJHLBNLN_01360	K01990
JJHLBNLN_01363	K03734
JJHLBNLN_01367	K03100
JJHLBNLN_01368	K03724
JJHLBNLN_01369	K07178
JJHLBNLN_01375	K06126
JJHLBNLN_01378	K03185
JJHLBNLN_01379	K01262
JJHLBNLN_01382	K01934
JJHLBNLN_01385	K14162
JJHLBNLN_01391	K06148
JJHLBNLN_01394	K00266
JJHLBNLN_01395	K00264
JJHLBNLN_01396	K00106
JJHLBNLN_01397	K03520
JJHLBNLN_01398	K13481
JJHLBNLN_01401	K01990
JJHLBNLN_01403	K18703
JJHLBNLN_01404	K03086
JJHLBNLN_01405	K03181
JJHLBNLN_01406	K02557
JJHLBNLN_01407	K07636
JJHLBNLN_01408	K02039
JJHLBNLN_01409	K02036
JJHLBNLN_01410	K02037
JJHLBNLN_01411	K02037
JJHLBNLN_01412	K02040
JJHLBNLN_01413	K00937
JJHLBNLN_01414	K01524
JJHLBNLN_01415	K03594
JJHLBNLN_01417	K04759
JJHLBNLN_01420	K11527
JJHLBNLN_01421	K00640
JJHLBNLN_01429	K02259
JJHLBNLN_01434	K11527
JJHLBNLN_01435	K07657
JJHLBNLN_01438	K07776
JJHLBNLN_01441	K13288
JJHLBNLN_01442	K18979
JJHLBNLN_01443	K14287
JJHLBNLN_01448	K11533
JJHLBNLN_01449	K01676
JJHLBNLN_01450	K13239
JJHLBNLN_01454	K15866
JJHLBNLN_01457	K04564
JJHLBNLN_01458	K04077
JJHLBNLN_01459	K04078
