IIAJCEEM_00001	K03654
IIAJCEEM_00180	K05595
IIAJCEEM_00181	K00887
IIAJCEEM_00183	K03088
IIAJCEEM_00184	K13963
IIAJCEEM_00186	K03924
IIAJCEEM_00189	K07301
IIAJCEEM_00192	K01873
IIAJCEEM_00193	K01951
IIAJCEEM_00197	K04763
IIAJCEEM_00208	K02536
IIAJCEEM_00212	K01661
IIAJCEEM_00214	K12410
IIAJCEEM_00215	K07462
IIAJCEEM_00216	K06861
IIAJCEEM_00218	K01119
IIAJCEEM_00219	K10716
IIAJCEEM_00225	K00824
IIAJCEEM_00226	K01262
IIAJCEEM_00229	K01262
IIAJCEEM_00230	K01679
IIAJCEEM_00231	K03771
IIAJCEEM_00233	K00940
IIAJCEEM_00234	K01689
IIAJCEEM_00237	K00793
IIAJCEEM_00240	K01681
IIAJCEEM_00241	K15916
IIAJCEEM_00246	K18258
IIAJCEEM_00247	K09022
IIAJCEEM_00248	K00176
IIAJCEEM_00249	K00174
IIAJCEEM_00250	K00175
IIAJCEEM_00251	K00177
IIAJCEEM_00256	K00942
IIAJCEEM_00257	K00969
IIAJCEEM_00262	K12410
IIAJCEEM_00263	K00164
IIAJCEEM_00264	K00658
IIAJCEEM_00266	K00384
IIAJCEEM_00269	K03671
IIAJCEEM_00281	K11754
IIAJCEEM_00282	K00876
IIAJCEEM_00295	K01011
IIAJCEEM_00305	K09808
IIAJCEEM_00306	K02003
IIAJCEEM_00314	K07444
IIAJCEEM_00319	K03772
IIAJCEEM_00320	K03773
IIAJCEEM_00321	K03773
IIAJCEEM_00322	K16089
IIAJCEEM_00323	K00067
IIAJCEEM_00324	K01784
IIAJCEEM_00325	K01790
IIAJCEEM_00326	K01790
IIAJCEEM_00327	K06894
IIAJCEEM_00328	K05367
IIAJCEEM_00330	K07029
IIAJCEEM_00332	K00208
IIAJCEEM_00333	K03631
IIAJCEEM_00335	K03797
IIAJCEEM_00336	K01092
IIAJCEEM_00338	K11645
IIAJCEEM_00339	K01963
IIAJCEEM_00341	K01488
IIAJCEEM_00345	K07150
IIAJCEEM_00347	K04771
IIAJCEEM_00352	K03088
IIAJCEEM_00353	K00615
IIAJCEEM_00354	K07114
IIAJCEEM_00355	K00615
IIAJCEEM_00356	K00826
IIAJCEEM_00357	K00030
IIAJCEEM_00364	K06147
IIAJCEEM_00367	K01915
IIAJCEEM_00370	K01703
IIAJCEEM_00373	K01703
IIAJCEEM_00376	K07098
IIAJCEEM_00379	K00760
IIAJCEEM_00381	K02115
IIAJCEEM_00382	K02111
IIAJCEEM_00386	K02108
IIAJCEEM_00391	K05366
IIAJCEEM_00392	K03703
IIAJCEEM_00393	K23010
IIAJCEEM_00395	K00946
IIAJCEEM_00399	K08223
IIAJCEEM_00402	K07182
IIAJCEEM_00403	K05794
IIAJCEEM_00411	K01714
IIAJCEEM_00412	K02314
IIAJCEEM_00421	K01960
IIAJCEEM_00424	K06959
IIAJCEEM_00427	K00850
IIAJCEEM_00429	K01444
IIAJCEEM_00431	K03324
IIAJCEEM_00438	K01322
IIAJCEEM_00441	K06940
IIAJCEEM_00443	K02341
IIAJCEEM_00444	K07098
IIAJCEEM_00445	K02551
IIAJCEEM_00446	K02361
IIAJCEEM_00447	K14759
IIAJCEEM_00448	K00560
IIAJCEEM_00449	K00287
IIAJCEEM_00450	K00287
IIAJCEEM_00452	K01881
IIAJCEEM_00455	K01091
IIAJCEEM_00456	K04078
IIAJCEEM_00457	K04077
IIAJCEEM_00458	K03977
IIAJCEEM_00466	K01069
IIAJCEEM_00470	K00939
IIAJCEEM_00474	K22205
IIAJCEEM_00475	K06217
IIAJCEEM_00476	K01923
IIAJCEEM_00478	K07705
IIAJCEEM_00486	K00782
IIAJCEEM_00487	K03269
IIAJCEEM_00488	K02835
IIAJCEEM_00489	K19302
IIAJCEEM_00490	K01840
IIAJCEEM_00492	K03545
IIAJCEEM_00493	K01358
IIAJCEEM_00494	K03544
IIAJCEEM_00495	K01776
IIAJCEEM_00497	K06142
IIAJCEEM_00498	K07277
IIAJCEEM_00499	K00806
IIAJCEEM_00504	K00858
IIAJCEEM_00508	K09117
IIAJCEEM_00509	K00262
IIAJCEEM_00510	K16531
IIAJCEEM_00514	K02879
IIAJCEEM_00515	K03040
IIAJCEEM_00516	K02986
IIAJCEEM_00517	K02948
IIAJCEEM_00518	K02952
IIAJCEEM_00519	K02518
IIAJCEEM_00520	K03076
IIAJCEEM_00521	K02876
IIAJCEEM_00522	K02907
IIAJCEEM_00523	K02988
IIAJCEEM_00524	K02881
IIAJCEEM_00525	K02933
IIAJCEEM_00526	K02994
IIAJCEEM_00527	K02954
IIAJCEEM_00528	K02931
IIAJCEEM_00529	K02895
IIAJCEEM_00530	K02874
IIAJCEEM_00531	K02961
IIAJCEEM_00533	K02878
IIAJCEEM_00534	K02982
IIAJCEEM_00535	K02890
IIAJCEEM_00536	K02965
IIAJCEEM_00537	K02886
IIAJCEEM_00538	K02892
IIAJCEEM_00539	K02926
IIAJCEEM_00540	K02906
IIAJCEEM_00541	K02946
IIAJCEEM_00542	K02355
IIAJCEEM_00543	K02992
IIAJCEEM_00544	K02950
IIAJCEEM_00546	K03046
IIAJCEEM_00547	K03043
IIAJCEEM_00548	K02935
IIAJCEEM_00549	K02864
IIAJCEEM_00550	K02863
IIAJCEEM_00551	K02867
IIAJCEEM_00552	K02601
IIAJCEEM_00555	K02358
IIAJCEEM_00561	K03733
IIAJCEEM_00565	K08676
IIAJCEEM_00568	K00927
IIAJCEEM_00571	K03810
IIAJCEEM_00572	K03524
IIAJCEEM_00573	K01468
IIAJCEEM_00574	K13990
IIAJCEEM_00576	K10716
IIAJCEEM_00577	K03530
IIAJCEEM_00579	K01735
IIAJCEEM_00580	K00800
IIAJCEEM_00581	K01736
IIAJCEEM_00586	K03648
IIAJCEEM_00587	K02340
IIAJCEEM_00590	K02078
IIAJCEEM_00591	K09458
IIAJCEEM_00592	K03685
IIAJCEEM_00595	K03811
IIAJCEEM_00601	K02014
IIAJCEEM_00602	K00788
IIAJCEEM_00603	K03628
IIAJCEEM_00604	K06973
IIAJCEEM_00606	K06997
IIAJCEEM_00607	K04079
IIAJCEEM_00608	K14287
IIAJCEEM_00609	K13566
IIAJCEEM_00610	K01843
IIAJCEEM_00612	K09760
IIAJCEEM_00615	K03296
IIAJCEEM_00617	K03437
IIAJCEEM_00620	K02909
IIAJCEEM_00622	K01803
IIAJCEEM_00623	K02687
IIAJCEEM_00625	K08591
IIAJCEEM_00627	K01893
IIAJCEEM_00628	K03092
IIAJCEEM_00642	K09861
IIAJCEEM_00643	K03530
IIAJCEEM_00644	K08301
IIAJCEEM_00645	K07164
IIAJCEEM_00647	K00912
IIAJCEEM_00648	K03783
IIAJCEEM_00662	K00567
IIAJCEEM_00665	K01867
IIAJCEEM_00666	K00453
IIAJCEEM_00669	K09001
IIAJCEEM_00679	K07075
IIAJCEEM_00684	K01480
IIAJCEEM_00685	K00821
IIAJCEEM_00691	K11527
IIAJCEEM_00694	K11527
IIAJCEEM_00698	K17828
IIAJCEEM_00699	K02823
IIAJCEEM_00705	K07478
IIAJCEEM_00706	K03832
IIAJCEEM_00708	K03629
IIAJCEEM_00715	K02472
IIAJCEEM_00719	K10947
IIAJCEEM_00728	K13789
IIAJCEEM_00731	K07037
IIAJCEEM_00732	K00382
IIAJCEEM_00733	K01056
IIAJCEEM_00734	K02897
IIAJCEEM_00735	K00948
IIAJCEEM_00740	K00971
IIAJCEEM_00742	K02316
IIAJCEEM_00744	K03718
IIAJCEEM_00745	K01740
IIAJCEEM_00746	K01733
IIAJCEEM_00747	K03768
IIAJCEEM_00749	K01578
IIAJCEEM_00751	K03282
IIAJCEEM_00758	K04487
IIAJCEEM_00765	K03800
IIAJCEEM_00767	K01644
IIAJCEEM_00775	K08602
IIAJCEEM_00776	K01557
IIAJCEEM_00791	K00088
IIAJCEEM_00795	K01969
IIAJCEEM_00796	K01661
IIAJCEEM_00797	K01960
IIAJCEEM_00803	K01990
IIAJCEEM_00807	K11744
IIAJCEEM_00809	K00677
IIAJCEEM_00810	K16363
IIAJCEEM_00811	K02536
IIAJCEEM_00812	K06885
IIAJCEEM_00814	K06925
IIAJCEEM_00816	K00259
IIAJCEEM_00818	K01278
IIAJCEEM_00820	K01870
IIAJCEEM_00825	K03655
IIAJCEEM_00836	K00091
IIAJCEEM_00838	K03424
IIAJCEEM_00839	K22132
IIAJCEEM_00846	K07171
IIAJCEEM_00847	K10255
IIAJCEEM_00849	K04066
IIAJCEEM_00852	K00133
IIAJCEEM_00855	K03106
IIAJCEEM_00856	K02959
IIAJCEEM_00871	K08974
IIAJCEEM_00872	K14393
IIAJCEEM_00881	K00249
IIAJCEEM_00885	K00243
IIAJCEEM_00887	K15460
IIAJCEEM_00897	K03088
IIAJCEEM_00899	K00761
IIAJCEEM_00907	K00973
IIAJCEEM_00908	K01520
IIAJCEEM_00913	K03980
IIAJCEEM_00918	K07775
IIAJCEEM_00920	K05685
IIAJCEEM_00924	K00762
IIAJCEEM_00925	K07560
IIAJCEEM_00926	K06949
IIAJCEEM_00932	K13963
IIAJCEEM_00933	K01478
IIAJCEEM_00934	K02548
IIAJCEEM_00935	K03572
IIAJCEEM_00937	K07568
IIAJCEEM_00939	K01647
IIAJCEEM_00940	K00522
IIAJCEEM_00941	K00891
IIAJCEEM_00942	K00604
IIAJCEEM_00945	K07192
IIAJCEEM_00947	K07263
IIAJCEEM_00949	K01246
IIAJCEEM_00950	K12323
IIAJCEEM_00952	K13956
IIAJCEEM_00966	K07273
IIAJCEEM_00970	K00981
IIAJCEEM_00978	K02428
IIAJCEEM_00980	K03734
IIAJCEEM_00982	K03466
IIAJCEEM_00983	K17104
IIAJCEEM_00984	K00525
IIAJCEEM_00987	K14157
IIAJCEEM_01001	K17290
IIAJCEEM_01002	K00054
IIAJCEEM_01005	K15859
IIAJCEEM_01006	K01597
IIAJCEEM_01009	K09825
IIAJCEEM_01010	K03386
IIAJCEEM_01012	K01745
IIAJCEEM_01016	K01507
IIAJCEEM_01019	K03496
IIAJCEEM_01020	K03497
IIAJCEEM_01022	K00215
IIAJCEEM_01023	K03100
IIAJCEEM_01024	K07566
IIAJCEEM_01026	K03217
IIAJCEEM_01027	K00970
IIAJCEEM_01029	K00791
IIAJCEEM_01031	K03580
IIAJCEEM_01034	K01586
IIAJCEEM_01035	K01480
IIAJCEEM_01038	K00325
IIAJCEEM_01039	K00324
IIAJCEEM_01041	K16264
IIAJCEEM_01044	K15727
IIAJCEEM_01046	K15726
IIAJCEEM_01048	K00887
IIAJCEEM_01050	K09482
IIAJCEEM_01051	K03330
IIAJCEEM_01052	K10026
IIAJCEEM_01053	K01897
IIAJCEEM_01054	K01495
IIAJCEEM_01058	K02956
IIAJCEEM_01059	K00962
IIAJCEEM_01060	K01783
IIAJCEEM_01061	K00754
IIAJCEEM_01062	K01610
IIAJCEEM_01063	K01006
IIAJCEEM_01066	K05595
IIAJCEEM_01074	K02016
IIAJCEEM_01077	K00059
IIAJCEEM_01078	K01887
IIAJCEEM_01080	K03832
IIAJCEEM_01086	K22016
IIAJCEEM_01088	K00548
IIAJCEEM_01089	K00297
IIAJCEEM_01091	K03215
IIAJCEEM_01095	K02527
IIAJCEEM_01097	K00012
IIAJCEEM_01098	K08678
IIAJCEEM_01099	K01710
IIAJCEEM_01101	K00973
IIAJCEEM_01104	K01880
IIAJCEEM_01106	K06942
IIAJCEEM_01107	K01270
IIAJCEEM_01113	K01756
IIAJCEEM_01115	K03442
IIAJCEEM_01119	K00794
IIAJCEEM_01123	K01489
IIAJCEEM_01127	K13292
IIAJCEEM_01130	K07139
IIAJCEEM_01134	K07133
IIAJCEEM_01135	K07175
IIAJCEEM_01141	K06180
IIAJCEEM_01144	K01972
IIAJCEEM_01145	K02342
IIAJCEEM_01147	K00783
IIAJCEEM_01148	K01265
IIAJCEEM_01152	K00645
IIAJCEEM_01153	K03274
IIAJCEEM_01164	K03498
IIAJCEEM_01165	K03499
IIAJCEEM_01167	K07735
IIAJCEEM_01169	K01409
IIAJCEEM_01181	K08077
IIAJCEEM_01182	K02887
IIAJCEEM_01183	K02916
IIAJCEEM_01184	K02520
IIAJCEEM_01185	K01868
IIAJCEEM_01190	K05995
IIAJCEEM_01192	K01872
IIAJCEEM_01198	K07075
IIAJCEEM_01200	K14157
IIAJCEEM_01201	K09973
IIAJCEEM_01213	K04763
IIAJCEEM_01214	K01278
IIAJCEEM_01215	K00100
IIAJCEEM_01216	K01738
IIAJCEEM_01228	K03321
IIAJCEEM_01230	K03575
IIAJCEEM_01232	K20509
IIAJCEEM_01233	K23351
IIAJCEEM_01235	K01604
IIAJCEEM_01236	K05606
IIAJCEEM_01237	K02482
IIAJCEEM_01240	K01733
IIAJCEEM_01242	K02481
IIAJCEEM_01244	K03412
IIAJCEEM_01245	K00432
IIAJCEEM_01247	K06158
IIAJCEEM_01251	K02003
IIAJCEEM_01252	K02004
IIAJCEEM_01257	K07003
IIAJCEEM_01263	K07322
IIAJCEEM_01264	K09155
IIAJCEEM_01269	K00370
IIAJCEEM_01270	K00371
IIAJCEEM_01272	K00374
IIAJCEEM_01273	K02575
IIAJCEEM_01274	K02575
IIAJCEEM_01275	K15876
IIAJCEEM_01276	K03385
IIAJCEEM_01283	K07405
IIAJCEEM_01284	K00688
IIAJCEEM_01288	K09792
IIAJCEEM_01291	K03551
IIAJCEEM_01292	K18979
IIAJCEEM_01293	K16191
IIAJCEEM_01294	K00767
IIAJCEEM_01296	K03652
IIAJCEEM_01297	K19304
IIAJCEEM_01298	K03832
IIAJCEEM_01299	K03832
IIAJCEEM_01300	K02437
IIAJCEEM_01302	K03550
IIAJCEEM_01303	K00029
IIAJCEEM_01304	K00024
IIAJCEEM_01305	K01711
IIAJCEEM_01306	K02377
IIAJCEEM_01307	K01883
IIAJCEEM_01312	K12343
IIAJCEEM_01313	K00091
IIAJCEEM_01320	K00128
IIAJCEEM_01321	K03333
IIAJCEEM_01322	K02477
IIAJCEEM_01323	K02478
IIAJCEEM_01329	K05592
IIAJCEEM_01335	K01629
IIAJCEEM_01344	K03596
IIAJCEEM_01350	K00764
IIAJCEEM_01351	K00634
IIAJCEEM_01352	K00929
IIAJCEEM_01358	K03924
IIAJCEEM_01359	K07533
IIAJCEEM_01361	K03771
IIAJCEEM_01363	K09793
IIAJCEEM_01367	K07444
IIAJCEEM_01386	K10951
IIAJCEEM_01394	K02503
IIAJCEEM_01395	K03624
IIAJCEEM_01399	K00058
IIAJCEEM_01400	K06213
IIAJCEEM_01401	K02528
IIAJCEEM_01402	K01255
IIAJCEEM_01403	K00097
IIAJCEEM_01405	K02911
IIAJCEEM_01406	K03621
IIAJCEEM_01407	K00648
IIAJCEEM_01408	K02356
IIAJCEEM_01409	K02871
IIAJCEEM_01410	K02996
IIAJCEEM_01411	K02967
IIAJCEEM_01412	K02357
IIAJCEEM_01413	K09903
IIAJCEEM_01414	K00789
IIAJCEEM_01419	K03075
IIAJCEEM_01423	K03310
IIAJCEEM_01424	K03310
IIAJCEEM_01425	K04763
IIAJCEEM_01436	K00558
IIAJCEEM_01438	K07458
IIAJCEEM_01451	K09015
IIAJCEEM_01452	K09013
IIAJCEEM_01453	K09014
IIAJCEEM_01456	K22757
IIAJCEEM_01458	K06173
IIAJCEEM_01459	K01902
IIAJCEEM_01465	K11179
IIAJCEEM_01470	K03118
IIAJCEEM_01471	K03742
IIAJCEEM_01473	K00784
IIAJCEEM_01477	K03839
IIAJCEEM_01478	K01869
IIAJCEEM_01481	K03100
IIAJCEEM_01482	K03839
IIAJCEEM_01483	K11381
IIAJCEEM_01484	K00658
IIAJCEEM_01486	K18707
IIAJCEEM_01488	K06168
IIAJCEEM_01489	K00528
IIAJCEEM_01494	K14158
IIAJCEEM_01496	K07512
IIAJCEEM_01500	K16052
IIAJCEEM_01508	K09812
IIAJCEEM_01511	K03654
IIAJCEEM_01512	K01875
IIAJCEEM_01515	K03561
IIAJCEEM_01525	K00602
IIAJCEEM_01526	K03569
IIAJCEEM_01527	K03570
IIAJCEEM_01529	K05515
IIAJCEEM_01530	K05837
IIAJCEEM_01532	K00857
IIAJCEEM_01533	K01990
IIAJCEEM_01534	K01992
IIAJCEEM_01538	K00616
IIAJCEEM_01542	K03525
IIAJCEEM_01543	K09811
IIAJCEEM_01545	K06153
IIAJCEEM_01546	K03177
IIAJCEEM_01547	K11753
IIAJCEEM_01548	K07460
IIAJCEEM_01549	K02836
IIAJCEEM_01556	K03642
IIAJCEEM_01557	K09164
IIAJCEEM_01560	K01993
IIAJCEEM_01561	K01990
IIAJCEEM_01562	K01990
IIAJCEEM_01563	K01992
IIAJCEEM_01564	K01992
IIAJCEEM_01567	K10454
IIAJCEEM_01570	K08641
IIAJCEEM_01574	K07003
IIAJCEEM_01586	K06013
IIAJCEEM_01594	K00135
IIAJCEEM_01596	K17838
IIAJCEEM_01598	K00432
IIAJCEEM_01599	K19701
IIAJCEEM_01600	K17103
IIAJCEEM_01603	K01843
IIAJCEEM_01606	K00655
IIAJCEEM_01613	K07114
IIAJCEEM_01614	K07114
IIAJCEEM_01615	K11749
IIAJCEEM_01616	K00099
IIAJCEEM_01619	K03701
IIAJCEEM_01620	K23257
IIAJCEEM_01623	K06207
IIAJCEEM_01625	K05592
IIAJCEEM_01660	K04763
IIAJCEEM_01661	K02014
IIAJCEEM_01663	K02014
IIAJCEEM_01668	K07448
IIAJCEEM_01672	K07098
IIAJCEEM_01673	K03325
IIAJCEEM_01674	K07755
IIAJCEEM_01677	K07089
IIAJCEEM_01683	K15726
IIAJCEEM_01685	K02005
IIAJCEEM_01687	K02313
IIAJCEEM_01688	K01081
IIAJCEEM_01690	K07486
IIAJCEEM_01696	K21308
IIAJCEEM_01697	K08354
IIAJCEEM_01705	K01011
IIAJCEEM_01708	K03270
IIAJCEEM_01709	K03856
IIAJCEEM_01710	K01783
IIAJCEEM_01714	K03305
IIAJCEEM_01718	K04758
IIAJCEEM_01719	K04759
IIAJCEEM_01725	K06131
IIAJCEEM_01726	K01945
IIAJCEEM_01729	K03296
IIAJCEEM_01733	K14616
IIAJCEEM_01734	K01142
IIAJCEEM_01735	K00820
IIAJCEEM_01737	K00703
IIAJCEEM_01738	K01918
IIAJCEEM_01739	K01579
IIAJCEEM_01740	K07027
IIAJCEEM_01741	K03272
IIAJCEEM_01746	K13276
IIAJCEEM_01754	K01897
IIAJCEEM_01755	K13533
IIAJCEEM_01763	K03555
IIAJCEEM_01769	K03738
IIAJCEEM_01772	K03148
IIAJCEEM_01779	K04763
IIAJCEEM_01782	K08884
IIAJCEEM_01783	K09933
IIAJCEEM_01784	K03768
IIAJCEEM_01785	K03775
IIAJCEEM_01787	K04072
IIAJCEEM_01788	K07305
IIAJCEEM_01790	K00059
IIAJCEEM_01792	K00657
IIAJCEEM_01793	K13010
IIAJCEEM_01796	K03437
IIAJCEEM_01802	K16904
IIAJCEEM_01805	K00558
IIAJCEEM_01806	K07458
IIAJCEEM_01809	K00558
IIAJCEEM_01813	K14742
IIAJCEEM_01821	K00075
IIAJCEEM_01823	K06889
IIAJCEEM_01826	K01159
IIAJCEEM_01828	K00937
IIAJCEEM_01830	K21071
IIAJCEEM_01831	K11162
IIAJCEEM_01836	K09810
IIAJCEEM_01838	K00142
IIAJCEEM_01839	K00266
IIAJCEEM_01851	K07391
IIAJCEEM_01852	K03424
IIAJCEEM_01854	K03561
IIAJCEEM_01859	K02523
IIAJCEEM_01864	K07322
IIAJCEEM_01865	K17686
IIAJCEEM_01866	K00404
IIAJCEEM_01871	K02274
IIAJCEEM_01872	K15408
IIAJCEEM_01874	K02275
IIAJCEEM_01875	K02257
IIAJCEEM_01885	K00951
IIAJCEEM_01886	K05894
IIAJCEEM_01888	K00457
IIAJCEEM_01889	K01555
IIAJCEEM_01898	K03446
IIAJCEEM_01902	K07114
IIAJCEEM_01908	K07588
IIAJCEEM_01909	K01423
IIAJCEEM_01914	K01494
IIAJCEEM_01919	K20866
IIAJCEEM_01921	K21572
IIAJCEEM_01925	K11527
IIAJCEEM_01926	K03595
IIAJCEEM_01927	K00241
IIAJCEEM_01928	K00239
IIAJCEEM_01930	K00240
IIAJCEEM_01931	K00059
IIAJCEEM_01940	K15987
IIAJCEEM_01942	K02493
IIAJCEEM_01943	K11752
IIAJCEEM_01944	K11166
IIAJCEEM_01947	K01911
IIAJCEEM_01948	K01662
IIAJCEEM_01950	K08307
IIAJCEEM_01951	K12573
IIAJCEEM_01955	K03412
IIAJCEEM_01962	K03704
IIAJCEEM_01963	K03098
IIAJCEEM_01967	K07071
IIAJCEEM_01968	K09974
IIAJCEEM_01971	K15033
IIAJCEEM_01974	K07171
IIAJCEEM_01980	K12257
IIAJCEEM_01983	K03284
IIAJCEEM_01985	K16302
IIAJCEEM_01989	K11527
IIAJCEEM_01991	K07710
IIAJCEEM_01992	K07714
IIAJCEEM_02005	K18890
IIAJCEEM_02027	K04771
IIAJCEEM_02028	K22684
IIAJCEEM_02031	K01173
IIAJCEEM_02033	K01400
IIAJCEEM_02035	K02968
IIAJCEEM_02036	K03630
IIAJCEEM_02039	K07056
IIAJCEEM_02040	K03820
IIAJCEEM_02043	K03088
IIAJCEEM_02044	K11141
IIAJCEEM_02049	K12323
IIAJCEEM_02053	K01738
IIAJCEEM_02056	K03111
IIAJCEEM_02057	K03801
IIAJCEEM_02058	K03744
IIAJCEEM_02060	K06872
IIAJCEEM_02061	K02065
IIAJCEEM_02062	K02066
IIAJCEEM_02064	K00812
IIAJCEEM_02065	K03272
IIAJCEEM_02084	K07243
IIAJCEEM_02086	K03711
IIAJCEEM_02087	K23242
IIAJCEEM_02088	K02014
IIAJCEEM_02099	K01953
IIAJCEEM_02101	K07114
IIAJCEEM_02107	K00748
IIAJCEEM_02109	K03787
IIAJCEEM_02111	K17758
IIAJCEEM_02114	K07056
IIAJCEEM_02116	K01372
IIAJCEEM_02117	K00175
IIAJCEEM_02118	K00174
IIAJCEEM_02122	K02479
IIAJCEEM_02123	K00925
IIAJCEEM_02124	K00074
IIAJCEEM_02125	K00625
IIAJCEEM_02126	K01933
IIAJCEEM_02128	K03315
IIAJCEEM_02131	K04773
IIAJCEEM_02135	K03664
IIAJCEEM_02137	K03644
IIAJCEEM_02141	K01591
IIAJCEEM_02144	K07133
IIAJCEEM_02149	K00652
IIAJCEEM_02165	K06187
IIAJCEEM_02167	K03086
IIAJCEEM_02168	K01889
IIAJCEEM_02173	K03553
IIAJCEEM_02174	K10773
IIAJCEEM_02175	K01270
IIAJCEEM_02178	K01712
IIAJCEEM_02179	K03113
IIAJCEEM_02190	K03640
IIAJCEEM_02191	K06889
IIAJCEEM_02209	K01966
IIAJCEEM_02212	K00382
IIAJCEEM_02213	K00627
IIAJCEEM_02214	K00162
IIAJCEEM_02215	K00161
IIAJCEEM_02219	K03797
IIAJCEEM_02222	K06902
IIAJCEEM_02224	K05844
IIAJCEEM_02227	K14427
IIAJCEEM_02230	K01126
IIAJCEEM_02234	K01990
IIAJCEEM_02235	K00351
IIAJCEEM_02236	K00350
IIAJCEEM_02237	K00349
IIAJCEEM_02238	K00348
IIAJCEEM_02239	K00347
IIAJCEEM_02240	K00346
IIAJCEEM_02243	K01448
IIAJCEEM_02245	K02902
IIAJCEEM_02246	K02913
IIAJCEEM_02258	K08169
IIAJCEEM_02259	K00573
IIAJCEEM_02265	K01916
IIAJCEEM_02270	K07304
IIAJCEEM_02274	K02469
IIAJCEEM_02275	K07456
IIAJCEEM_02278	K04762
IIAJCEEM_02280	K06950
IIAJCEEM_02283	K00566
IIAJCEEM_02286	K09939
IIAJCEEM_02294	K01251
IIAJCEEM_02295	K03474
IIAJCEEM_02296	K00283
IIAJCEEM_02297	K00134
IIAJCEEM_02302	K04771
IIAJCEEM_02308	K06998
IIAJCEEM_02318	K11065
IIAJCEEM_02319	K05523
IIAJCEEM_02320	K18980
IIAJCEEM_02322	K07058
IIAJCEEM_02324	K07082
IIAJCEEM_02325	K06921
IIAJCEEM_02327	K03317
IIAJCEEM_02328	K08999
IIAJCEEM_02330	K03183
IIAJCEEM_02331	K00282
IIAJCEEM_02332	K03978
IIAJCEEM_02337	K07729
IIAJCEEM_02339	K02004
IIAJCEEM_02340	K00612
IIAJCEEM_02342	K00652
IIAJCEEM_02346	K01866
IIAJCEEM_02348	K00966
IIAJCEEM_02349	K01784
IIAJCEEM_02359	K03388
IIAJCEEM_02368	K02335
IIAJCEEM_02372	K01673
IIAJCEEM_02373	K03088
IIAJCEEM_02376	K21028
IIAJCEEM_02377	K18911
IIAJCEEM_02380	K03313
IIAJCEEM_02381	K01192
IIAJCEEM_02382	K12373
IIAJCEEM_02387	K06201
IIAJCEEM_02388	K02429
IIAJCEEM_02389	K23242
IIAJCEEM_02390	K05802
IIAJCEEM_02391	K03284
IIAJCEEM_02392	K11068
IIAJCEEM_02396	K04763
IIAJCEEM_02401	K00655
IIAJCEEM_02402	K14157
IIAJCEEM_02403	K00554
IIAJCEEM_02406	K02884
IIAJCEEM_02407	K03657
IIAJCEEM_02409	K00790
IIAJCEEM_02411	K03687
IIAJCEEM_02412	K03686
IIAJCEEM_02418	K09155
IIAJCEEM_02428	K08963
IIAJCEEM_02429	K00759
IIAJCEEM_02430	K04096
IIAJCEEM_02431	K01077
IIAJCEEM_02433	K01962
IIAJCEEM_02436	K02517
IIAJCEEM_02452	K13038
IIAJCEEM_02453	K13038
IIAJCEEM_02456	K01495
IIAJCEEM_02458	K07238
IIAJCEEM_02463	K20534
IIAJCEEM_02466	K00786
IIAJCEEM_02474	K02337
IIAJCEEM_02476	K02346
IIAJCEEM_02484	K10026
