HLOLMFMH_00002	K03327
HLOLMFMH_00564	K00674
HLOLMFMH_00566	K10773
HLOLMFMH_00567	K14267
HLOLMFMH_00568	K00990
HLOLMFMH_00569	K01265
HLOLMFMH_00570	K02967
HLOLMFMH_00571	K02357
HLOLMFMH_00572	K09903
HLOLMFMH_00573	K02838
HLOLMFMH_00574	K00806
HLOLMFMH_00575	K00981
HLOLMFMH_00576	K00099
HLOLMFMH_00577	K11749
HLOLMFMH_00578	K07277
HLOLMFMH_00580	K02536
HLOLMFMH_00581	K02372
HLOLMFMH_00582	K00677
HLOLMFMH_00583	K00748
HLOLMFMH_00584	K03470
HLOLMFMH_00585	K00648
HLOLMFMH_00586	K02337
HLOLMFMH_00587	K01962
HLOLMFMH_00590	K09906
HLOLMFMH_00591	K02335
HLOLMFMH_00592	K03473
HLOLMFMH_00594	K14260
HLOLMFMH_00600	K02238
HLOLMFMH_00601	K03561
HLOLMFMH_00603	K11085
HLOLMFMH_00604	K00912
HLOLMFMH_00605	K00979
HLOLMFMH_00606	K01104
HLOLMFMH_00607	K00075
HLOLMFMH_00608	K10860
HLOLMFMH_00609	K00835
HLOLMFMH_00610	K00556
HLOLMFMH_00611	K01665
HLOLMFMH_00613	K04759
HLOLMFMH_00616	K09761
HLOLMFMH_00622	K08300
HLOLMFMH_00623	K06179
HLOLMFMH_00624	K01091
HLOLMFMH_00626	K07040
HLOLMFMH_00627	K02911
HLOLMFMH_00628	K03621
HLOLMFMH_00629	K00645
HLOLMFMH_00630	K00059
HLOLMFMH_00631	K02078
HLOLMFMH_00632	K02619
HLOLMFMH_00633	K07082
HLOLMFMH_00634	K00943
HLOLMFMH_00635	K02343
HLOLMFMH_00637	K03424
HLOLMFMH_00638	K01069
HLOLMFMH_00640	K00024
HLOLMFMH_00641	K03564
HLOLMFMH_00642	K03210
HLOLMFMH_00643	K05396
HLOLMFMH_00644	K03310
HLOLMFMH_00645	K01081
HLOLMFMH_00646	K07090
HLOLMFMH_00647	K13634
HLOLMFMH_00649	K05907
HLOLMFMH_00653	K00311
HLOLMFMH_00654	K03521
HLOLMFMH_00655	K03522
HLOLMFMH_00659	K01142
HLOLMFMH_00660	K03797
HLOLMFMH_00663	K09470
HLOLMFMH_00664	K09471
HLOLMFMH_00666	K00383
HLOLMFMH_00667	K02302
HLOLMFMH_00668	K01875
HLOLMFMH_00669	K06199
HLOLMFMH_00670	K07478
HLOLMFMH_00671	K03634
HLOLMFMH_00672	K03466
HLOLMFMH_00673	K00384
HLOLMFMH_00674	K00684
HLOLMFMH_00675	K00685
HLOLMFMH_00676	K02518
HLOLMFMH_00677	K03694
HLOLMFMH_00678	K06891
HLOLMFMH_00679	K03704
HLOLMFMH_00680	K00031
HLOLMFMH_00681	K06181
HLOLMFMH_00682	K12152
HLOLMFMH_00683	K00566
HLOLMFMH_00685	K01756
HLOLMFMH_00686	K18850
HLOLMFMH_00687	K00681
HLOLMFMH_00689	K02553
HLOLMFMH_00690	K01638
HLOLMFMH_00691	K05798
HLOLMFMH_00692	K01637
HLOLMFMH_00693	K17828
HLOLMFMH_00694	K01825
HLOLMFMH_00695	K01593
HLOLMFMH_00696	K13483
HLOLMFMH_00697	K07303
HLOLMFMH_00699	K00219
HLOLMFMH_00703	K01491
HLOLMFMH_00704	K01198
HLOLMFMH_00705	K01692
HLOLMFMH_00706	K01126
HLOLMFMH_00707	K01883
HLOLMFMH_00708	K01886
HLOLMFMH_00709	K03768
HLOLMFMH_00710	K03269
HLOLMFMH_00711	K19416
HLOLMFMH_00714	K00557
HLOLMFMH_00717	K09760
HLOLMFMH_00719	K16898
HLOLMFMH_00720	K01626
HLOLMFMH_00722	K06147
HLOLMFMH_00724	K06219
HLOLMFMH_00725	K01439
HLOLMFMH_00727	K15984
HLOLMFMH_00732	K01714
HLOLMFMH_00733	K12974
HLOLMFMH_00734	K00209
HLOLMFMH_00735	K09919
HLOLMFMH_00736	K01759
HLOLMFMH_00737	K00627
HLOLMFMH_00738	K00163
HLOLMFMH_00739	K01408
HLOLMFMH_00740	K03548
HLOLMFMH_00741	K01423
HLOLMFMH_00742	K03517
HLOLMFMH_00744	K00392
HLOLMFMH_00746	K03455
HLOLMFMH_00748	K04774
HLOLMFMH_00749	K03426
HLOLMFMH_00750	K03314
HLOLMFMH_00751	K00344
HLOLMFMH_00752	K00059
HLOLMFMH_00753	K00249
HLOLMFMH_00756	K23256
HLOLMFMH_00757	K10805
HLOLMFMH_00758	K08306
HLOLMFMH_00761	K13954
HLOLMFMH_00764	K03639
HLOLMFMH_00765	K03750
HLOLMFMH_00766	K03638
HLOLMFMH_00767	K03148
HLOLMFMH_00768	K03752
HLOLMFMH_00769	K03635
HLOLMFMH_00771	K03637
HLOLMFMH_00772	K17231
HLOLMFMH_00774	K02379
HLOLMFMH_00775	K00123
HLOLMFMH_00776	K05587
HLOLMFMH_00777	K00334
HLOLMFMH_00778	K01070
HLOLMFMH_00779	K00121
HLOLMFMH_00781	K01480
HLOLMFMH_00787	K00108
HLOLMFMH_00793	K00019
HLOLMFMH_00796	K00281
HLOLMFMH_00797	K00605
HLOLMFMH_00799	K06879
HLOLMFMH_00800	K01992
HLOLMFMH_00801	K01990
HLOLMFMH_00803	K09808
HLOLMFMH_00804	K09810
HLOLMFMH_00805	K09808
HLOLMFMH_00807	K00322
HLOLMFMH_00809	K03734
HLOLMFMH_00810	K00351
HLOLMFMH_00811	K00350
HLOLMFMH_00812	K00349
HLOLMFMH_00813	K00348
HLOLMFMH_00814	K00347
HLOLMFMH_00815	K00346
HLOLMFMH_00816	K01069
HLOLMFMH_00817	K00134
HLOLMFMH_00818	K03723
HLOLMFMH_00821	K00971
HLOLMFMH_00823	K07710
HLOLMFMH_00824	K01916
HLOLMFMH_00825	K05807
HLOLMFMH_00826	K06180
HLOLMFMH_00827	K05810
HLOLMFMH_00828	K02888
HLOLMFMH_00829	K02899
HLOLMFMH_00831	K03979
HLOLMFMH_00832	K00931
HLOLMFMH_00833	K00367
HLOLMFMH_00834	K01012
HLOLMFMH_00835	K00652
HLOLMFMH_00836	K02170
HLOLMFMH_00837	K01935
HLOLMFMH_00839	K07462
HLOLMFMH_00841	K07305
HLOLMFMH_00842	K10804
HLOLMFMH_00843	K02003
HLOLMFMH_00844	K02004
HLOLMFMH_00846	K08997
HLOLMFMH_00847	K21407
HLOLMFMH_00848	K02836
HLOLMFMH_00850	K03563
HLOLMFMH_00851	K00928
HLOLMFMH_00852	K01872
HLOLMFMH_00853	K02503
HLOLMFMH_00858	K07019
HLOLMFMH_00860	K03553
HLOLMFMH_00861	K03743
HLOLMFMH_00862	K01692
HLOLMFMH_00863	K03555
HLOLMFMH_00864	K05524
HLOLMFMH_00868	K04764
HLOLMFMH_00869	K01890
HLOLMFMH_00870	K01889
HLOLMFMH_00871	K02887
HLOLMFMH_00872	K02916
HLOLMFMH_00873	K02520
HLOLMFMH_00874	K01868
HLOLMFMH_00876	K09768
HLOLMFMH_00878	K12297
HLOLMFMH_00883	K15371
HLOLMFMH_00884	K03924
HLOLMFMH_00887	K07114
HLOLMFMH_00888	K07114
HLOLMFMH_00890	K01256
HLOLMFMH_00893	K02441
HLOLMFMH_00894	K00858
HLOLMFMH_00895	K00891
HLOLMFMH_00896	K00813
HLOLMFMH_00897	K13703
HLOLMFMH_00898	K00059
HLOLMFMH_00899	K07071
HLOLMFMH_00900	K01923
HLOLMFMH_00901	K01752
HLOLMFMH_00904	K03695
HLOLMFMH_00905	K00325
HLOLMFMH_00906	K00324
HLOLMFMH_00907	K00324
HLOLMFMH_00908	K02523
HLOLMFMH_00909	K01716
HLOLMFMH_00910	K00647
HLOLMFMH_00912	K11187
HLOLMFMH_00913	K03111
HLOLMFMH_00915	K03701
HLOLMFMH_00922	K03789
HLOLMFMH_00924	K01649
HLOLMFMH_00925	K17103
HLOLMFMH_00927	K01653
HLOLMFMH_00928	K01652
HLOLMFMH_00930	K01579
HLOLMFMH_00931	K01918
HLOLMFMH_00932	K02314
HLOLMFMH_00933	K02939
HLOLMFMH_00935	K02963
HLOLMFMH_00936	K02990
HLOLMFMH_00938	K03218
HLOLMFMH_00940	K00864
HLOLMFMH_00942	K11720
HLOLMFMH_00943	K07091
HLOLMFMH_00944	K01255
HLOLMFMH_00950	K03702
HLOLMFMH_00952	K03308
HLOLMFMH_00955	K13789
HLOLMFMH_00956	K01662
HLOLMFMH_00958	K01180
HLOLMFMH_00959	K02039
HLOLMFMH_00960	K02036
HLOLMFMH_00961	K02038
HLOLMFMH_00962	K02037
HLOLMFMH_00963	K02040
HLOLMFMH_00965	K07636
HLOLMFMH_00966	K07657
HLOLMFMH_00967	K03775
HLOLMFMH_00969	K00134
HLOLMFMH_00973	K03710
HLOLMFMH_00974	K07461
HLOLMFMH_00975	K02742
HLOLMFMH_00976	K07053
HLOLMFMH_00978	K03676
HLOLMFMH_00979	K03071
HLOLMFMH_00980	K07712
HLOLMFMH_00981	K07708
HLOLMFMH_00983	K01915
HLOLMFMH_00985	K03151
HLOLMFMH_00987	K06207
HLOLMFMH_00988	K02488
HLOLMFMH_00989	K01246
HLOLMFMH_00990	K01259
HLOLMFMH_00991	K07560
HLOLMFMH_00992	K02558
HLOLMFMH_00993	K21071
HLOLMFMH_00994	K00018
HLOLMFMH_00996	K15738
HLOLMFMH_00997	K15633
HLOLMFMH_00998	K22719
HLOLMFMH_00999	K03797
HLOLMFMH_01001	K03442
HLOLMFMH_01002	K02621
HLOLMFMH_01003	K02622
HLOLMFMH_01004	K07000
HLOLMFMH_01005	K03651
HLOLMFMH_01007	K01515
HLOLMFMH_01009	K02527
HLOLMFMH_01013	K00826
HLOLMFMH_01014	K00982
HLOLMFMH_01015	K14682
HLOLMFMH_01016	K01687
HLOLMFMH_01019	K03559
HLOLMFMH_01020	K03561
HLOLMFMH_01021	K03561
HLOLMFMH_01023	K00287
HLOLMFMH_01024	K00560
HLOLMFMH_01025	K13292
HLOLMFMH_01027	K08484
HLOLMFMH_01028	K08311
HLOLMFMH_01030	K02437
HLOLMFMH_01033	K15034
HLOLMFMH_01035	K01557
HLOLMFMH_01037	K03704
HLOLMFMH_01038	K02913
HLOLMFMH_01039	K02902
HLOLMFMH_01040	K03630
HLOLMFMH_01041	K13038
HLOLMFMH_01042	K01835
HLOLMFMH_01043	K00930
HLOLMFMH_01044	K05501
HLOLMFMH_01046	K00762
HLOLMFMH_01047	K00989
HLOLMFMH_01050	K00942
HLOLMFMH_01051	K03060
HLOLMFMH_01052	K01139
HLOLMFMH_01053	K09022
HLOLMFMH_01055	K04761
HLOLMFMH_01056	K03655
HLOLMFMH_01058	K03306
HLOLMFMH_01059	K09964
HLOLMFMH_01063	K06867
HLOLMFMH_01069	K01624
HLOLMFMH_01070	K00927
HLOLMFMH_01071	K00134
HLOLMFMH_01072	K00615
HLOLMFMH_01074	K00789
HLOLMFMH_01075	K01251
HLOLMFMH_01076	K00297
HLOLMFMH_01077	K09761
HLOLMFMH_01079	K09458
HLOLMFMH_01081	K00058
HLOLMFMH_01085	K03978
HLOLMFMH_01086	K00666
HLOLMFMH_01087	K02335
HLOLMFMH_01088	K09815
HLOLMFMH_01089	K09823
HLOLMFMH_01090	K09817
HLOLMFMH_01091	K09816
HLOLMFMH_01092	K07152
HLOLMFMH_01093	K02257
HLOLMFMH_01097	K02262
HLOLMFMH_01098	K02258
HLOLMFMH_01099	K02274
HLOLMFMH_01100	K02275
HLOLMFMH_01104	K00014
HLOLMFMH_01105	K00228
HLOLMFMH_01106	K07566
HLOLMFMH_01107	K01588
HLOLMFMH_01108	K01462
HLOLMFMH_01109	K00604
HLOLMFMH_01110	K03500
HLOLMFMH_01111	K03499
HLOLMFMH_01112	K03498
HLOLMFMH_01113	K05844
HLOLMFMH_01115	K03657
HLOLMFMH_01116	K19337
HLOLMFMH_01123	K03664
HLOLMFMH_01124	K03308
HLOLMFMH_01126	K09801
HLOLMFMH_01128	K03711
HLOLMFMH_01129	K03310
HLOLMFMH_01131	K00432
HLOLMFMH_01132	K00606
HLOLMFMH_01133	K15518
HLOLMFMH_01134	K00950
HLOLMFMH_01135	K00970
HLOLMFMH_01136	K07386
HLOLMFMH_01138	K02371
HLOLMFMH_01144	K01814
HLOLMFMH_01145	K01640
HLOLMFMH_01146	K01968
HLOLMFMH_01147	K05984
HLOLMFMH_01150	K07090
HLOLMFMH_01151	K17725
HLOLMFMH_01154	K18703
HLOLMFMH_01158	K11921
HLOLMFMH_01159	K01907
HLOLMFMH_01163	K03294
HLOLMFMH_01165	K22443
HLOLMFMH_01166	K00626
HLOLMFMH_01167	K00626
HLOLMFMH_01168	K02363
HLOLMFMH_01172	K18055
HLOLMFMH_01178	K08602
HLOLMFMH_01179	K00248
HLOLMFMH_01180	K07044
HLOLMFMH_01181	K00626
HLOLMFMH_01182	K13985
HLOLMFMH_01190	K03292
HLOLMFMH_01192	K01210
HLOLMFMH_01194	K18055
HLOLMFMH_01195	K23016
HLOLMFMH_01196	K03451
HLOLMFMH_01197	K03453
HLOLMFMH_01199	K07044
HLOLMFMH_01203	K04567
HLOLMFMH_01205	K02259
HLOLMFMH_01207	K03648
HLOLMFMH_01210	K06980
HLOLMFMH_01213	K00278
HLOLMFMH_01214	K03088
HLOLMFMH_01218	K04771
HLOLMFMH_01219	K03596
HLOLMFMH_01220	K03100
HLOLMFMH_01222	K03685
HLOLMFMH_01223	K03595
HLOLMFMH_01225	K00997
HLOLMFMH_01226	K12339
HLOLMFMH_01227	K04765
HLOLMFMH_01228	K00939
HLOLMFMH_01230	K14742
HLOLMFMH_01231	K06153
HLOLMFMH_01232	K00020
HLOLMFMH_01233	K01267
HLOLMFMH_01234	K01867
HLOLMFMH_01236	K01610
HLOLMFMH_01237	K04083
HLOLMFMH_01238	K04762
HLOLMFMH_01239	K20881
HLOLMFMH_01240	K05366
HLOLMFMH_01243	K04084
HLOLMFMH_01244	K03786
HLOLMFMH_01245	K02160
HLOLMFMH_01246	K01961
HLOLMFMH_01251	K09699
HLOLMFMH_01252	K00167
HLOLMFMH_01253	K00166
HLOLMFMH_01254	K03719
HLOLMFMH_01257	K03074
HLOLMFMH_01258	K03072
HLOLMFMH_01259	K00773
HLOLMFMH_01260	K07568
HLOLMFMH_01263	K18204
HLOLMFMH_01267	K01591
HLOLMFMH_01269	K02909
HLOLMFMH_01270	K04066
HLOLMFMH_01272	K09470
HLOLMFMH_01275	K09473
HLOLMFMH_01276	K00833
HLOLMFMH_01277	K00252
HLOLMFMH_01278	K18703
HLOLMFMH_01280	K01581
HLOLMFMH_01281	K03719
HLOLMFMH_01282	K03315
HLOLMFMH_01284	K01436
HLOLMFMH_01285	K00830
HLOLMFMH_01286	K18703
HLOLMFMH_01292	K13444
HLOLMFMH_01302	K01695
HLOLMFMH_01303	K01696
HLOLMFMH_01304	K00525
HLOLMFMH_01306	K03322
HLOLMFMH_01307	K01673
HLOLMFMH_01308	K07588
HLOLMFMH_01309	K01965
HLOLMFMH_01310	K01966
HLOLMFMH_01315	K06972
HLOLMFMH_01316	K15256
HLOLMFMH_01317	K00128
HLOLMFMH_01319	K15257
HLOLMFMH_01321	K00259
HLOLMFMH_01322	K03719
HLOLMFMH_01326	K01738
HLOLMFMH_01331	K00496
HLOLMFMH_01332	K02014
HLOLMFMH_01333	K00639
HLOLMFMH_01334	K00060
HLOLMFMH_01336	K22468
HLOLMFMH_01338	K01054
HLOLMFMH_01345	K03525
HLOLMFMH_01346	K03524
HLOLMFMH_01347	K07090
HLOLMFMH_01348	K01607
HLOLMFMH_01349	K02168
HLOLMFMH_01350	K00128
HLOLMFMH_01355	K05349
HLOLMFMH_01356	K01077
HLOLMFMH_01360	K00315
HLOLMFMH_01362	K00314
HLOLMFMH_01366	K00548
HLOLMFMH_01367	K00547
HLOLMFMH_01371	K00548
HLOLMFMH_01373	K00315
HLOLMFMH_01374	K01938
HLOLMFMH_01375	K00563
HLOLMFMH_01376	K07709
HLOLMFMH_01378	K15918
HLOLMFMH_01379	K01939
HLOLMFMH_01380	K02502
HLOLMFMH_01382	K04087
HLOLMFMH_01383	K04088
HLOLMFMH_01384	K03665
HLOLMFMH_01385	K03666
HLOLMFMH_01386	K00791
HLOLMFMH_01387	K03572
HLOLMFMH_01388	K01448
HLOLMFMH_01389	K06925
HLOLMFMH_01390	K17758
