DLIKLKCP_00002	K06178
DLIKLKCP_00321	K07004
DLIKLKCP_00324	K01866
DLIKLKCP_00325	K01929
DLIKLKCP_00330	K01770
DLIKLKCP_00333	K00161
DLIKLKCP_00334	K00627
DLIKLKCP_00335	K03655
DLIKLKCP_00337	K00248
DLIKLKCP_00338	K09001
DLIKLKCP_00341	K03561
DLIKLKCP_00344	K11754
DLIKLKCP_00345	K15633
DLIKLKCP_00346	K07652
DLIKLKCP_00353	K00966
DLIKLKCP_00354	K01520
DLIKLKCP_00355	K01715
DLIKLKCP_00356	K02032
DLIKLKCP_00357	K00457
DLIKLKCP_00358	K00451
DLIKLKCP_00361	K02523
DLIKLKCP_00363	K00942
DLIKLKCP_00364	K00969
DLIKLKCP_00365	K01056
DLIKLKCP_00366	K02897
DLIKLKCP_00367	K00948
DLIKLKCP_00368	K03832
DLIKLKCP_00370	K07636
DLIKLKCP_00371	K02316
DLIKLKCP_00373	K07462
DLIKLKCP_00375	K02557
DLIKLKCP_00377	K23234
DLIKLKCP_00378	K03701
DLIKLKCP_00379	K03088
DLIKLKCP_00381	K02342
DLIKLKCP_00382	K01802
DLIKLKCP_00388	K03665
DLIKLKCP_00389	K02834
DLIKLKCP_00393	K00991
DLIKLKCP_00394	K04564
DLIKLKCP_00395	K03797
DLIKLKCP_00396	K01493
DLIKLKCP_00397	K00798
DLIKLKCP_00399	K00657
DLIKLKCP_00401	K01835
DLIKLKCP_00402	K00067
DLIKLKCP_00403	K02004
DLIKLKCP_00404	K00602
DLIKLKCP_00405	K03569
DLIKLKCP_00408	K05515
DLIKLKCP_00409	K05837
DLIKLKCP_00410	K00658
DLIKLKCP_00411	K00164
DLIKLKCP_00413	K13789
DLIKLKCP_00414	K00973
DLIKLKCP_00416	K00382
DLIKLKCP_00417	K01665
DLIKLKCP_00418	K04075
DLIKLKCP_00419	K09125
DLIKLKCP_00420	K04084
DLIKLKCP_00421	K03271
DLIKLKCP_00422	K07391
DLIKLKCP_00424	K01776
DLIKLKCP_00427	K07277
DLIKLKCP_00428	K00806
DLIKLKCP_00430	K00858
DLIKLKCP_00432	K03474
DLIKLKCP_00433	K13703
DLIKLKCP_00434	K03281
DLIKLKCP_00441	K00639
DLIKLKCP_00442	K01297
DLIKLKCP_00443	K01874
DLIKLKCP_00445	K00133
DLIKLKCP_00448	K01719
DLIKLKCP_00451	K03797
DLIKLKCP_00454	K01945
DLIKLKCP_00457	K23265
DLIKLKCP_00458	K01662
DLIKLKCP_00460	K02335
DLIKLKCP_00467	K02341
DLIKLKCP_00470	K03526
DLIKLKCP_00471	K03101
DLIKLKCP_00473	K01870
DLIKLKCP_00474	K00873
DLIKLKCP_00476	K03685
DLIKLKCP_00477	K09458
DLIKLKCP_00478	K02078
DLIKLKCP_00479	K17231
DLIKLKCP_00480	K02065
DLIKLKCP_00481	K02066
DLIKLKCP_00482	K00971
DLIKLKCP_00483	K01679
DLIKLKCP_00484	K02836
DLIKLKCP_00488	K01869
DLIKLKCP_00492	K23234
DLIKLKCP_00497	K07010
DLIKLKCP_00501	K05592
DLIKLKCP_00502	K00131
DLIKLKCP_00505	K06970
DLIKLKCP_00506	K19519
DLIKLKCP_00510	K01724
DLIKLKCP_00518	K01920
DLIKLKCP_00530	K01270
DLIKLKCP_00531	K03787
DLIKLKCP_00533	K00748
DLIKLKCP_00536	K03625
DLIKLKCP_00538	K03210
DLIKLKCP_00539	K03315
DLIKLKCP_00540	K03701
DLIKLKCP_00543	K04079
DLIKLKCP_00544	K05801
DLIKLKCP_00555	K07588
DLIKLKCP_00557	K01892
DLIKLKCP_00559	K03648
DLIKLKCP_00561	K17677
DLIKLKCP_00563	K02478
DLIKLKCP_00564	K01409
DLIKLKCP_00581	K01924
DLIKLKCP_00582	K07238
DLIKLKCP_00583	K03709
DLIKLKCP_00585	K01937
DLIKLKCP_00587	K11936
DLIKLKCP_00588	K02348
DLIKLKCP_00589	K15738
DLIKLKCP_00590	K02613
DLIKLKCP_00591	K02609
DLIKLKCP_00592	K02610
DLIKLKCP_00593	K02611
DLIKLKCP_00594	K02612
DLIKLKCP_00596	K18890
DLIKLKCP_00597	K06173
DLIKLKCP_00598	K00639
DLIKLKCP_00599	K05807
DLIKLKCP_00601	K13038
DLIKLKCP_00603	K03631
DLIKLKCP_00605	K03724
DLIKLKCP_00608	K16044
DLIKLKCP_00609	K07001
DLIKLKCP_00611	K04043
DLIKLKCP_00614	K01444
DLIKLKCP_00615	K17105
DLIKLKCP_00617	K07004
DLIKLKCP_00619	K07164
DLIKLKCP_00621	K00912
DLIKLKCP_00623	K03269
DLIKLKCP_00625	K03644
DLIKLKCP_00629	K03218
DLIKLKCP_00631	K01689
DLIKLKCP_00632	K01956
DLIKLKCP_00633	K02879
DLIKLKCP_00634	K03040
DLIKLKCP_00635	K02986
DLIKLKCP_00636	K02948
DLIKLKCP_00637	K02952
DLIKLKCP_00639	K02518
DLIKLKCP_00640	K01265
DLIKLKCP_00641	K03076
DLIKLKCP_00642	K02876
DLIKLKCP_00643	K02907
DLIKLKCP_00644	K02988
DLIKLKCP_00645	K02881
DLIKLKCP_00646	K02933
DLIKLKCP_00647	K02994
DLIKLKCP_00648	K02954
DLIKLKCP_00649	K02931
DLIKLKCP_00650	K02895
DLIKLKCP_00651	K02874
DLIKLKCP_00652	K02961
DLIKLKCP_00654	K02878
DLIKLKCP_00655	K02982
DLIKLKCP_00656	K02890
DLIKLKCP_00657	K02965
DLIKLKCP_00658	K02886
DLIKLKCP_00659	K02892
DLIKLKCP_00660	K02926
DLIKLKCP_00661	K02906
DLIKLKCP_00662	K02946
DLIKLKCP_00663	K02355
DLIKLKCP_00664	K02992
DLIKLKCP_00665	K02950
DLIKLKCP_00666	K03657
DLIKLKCP_00670	K06890
DLIKLKCP_00671	K01495
DLIKLKCP_00672	K01737
DLIKLKCP_00673	K03274
DLIKLKCP_00676	K01872
DLIKLKCP_00678	K02481
DLIKLKCP_00679	K01524
DLIKLKCP_00680	K01992
DLIKLKCP_00681	K01990
DLIKLKCP_00682	K03686
DLIKLKCP_00683	K03687
DLIKLKCP_00685	K00790
DLIKLKCP_00689	K03768
DLIKLKCP_00694	K10807
DLIKLKCP_00695	K10808
DLIKLKCP_00696	K03070
DLIKLKCP_00702	K08968
DLIKLKCP_00705	K03499
DLIKLKCP_00706	K01556
DLIKLKCP_00708	K00281
DLIKLKCP_00712	K00876
DLIKLKCP_00715	K00452
DLIKLKCP_00720	K11175
DLIKLKCP_00721	K03469
DLIKLKCP_00722	K00252
DLIKLKCP_00723	K13566
DLIKLKCP_00724	K14287
DLIKLKCP_00728	K02600
DLIKLKCP_00729	K02519
DLIKLKCP_00732	K04014
DLIKLKCP_00738	K02274
DLIKLKCP_00739	K03551
DLIKLKCP_00740	K18979
DLIKLKCP_00742	K07146
DLIKLKCP_00745	K02003
DLIKLKCP_00748	K00318
DLIKLKCP_00759	K00029
DLIKLKCP_00760	K03550
DLIKLKCP_00762	K02437
DLIKLKCP_00767	K19613
DLIKLKCP_00768	K11753
DLIKLKCP_00769	K02112
DLIKLKCP_00771	K00783
DLIKLKCP_00772	K00767
DLIKLKCP_00778	K00075
DLIKLKCP_00781	K06940
DLIKLKCP_00782	K00428
DLIKLKCP_00792	K19013
DLIKLKCP_00793	K10536
DLIKLKCP_00795	K02014
DLIKLKCP_00798	K12257
DLIKLKCP_00802	K06199
DLIKLKCP_00804	K01897
DLIKLKCP_00805	K10716
DLIKLKCP_00806	K00074
DLIKLKCP_00809	K02340
DLIKLKCP_00812	K06902
DLIKLKCP_00813	K15736
DLIKLKCP_00817	K07090
DLIKLKCP_00818	K01069
DLIKLKCP_00828	K01259
DLIKLKCP_00830	K06834
DLIKLKCP_00833	K06917
DLIKLKCP_00834	K01008
DLIKLKCP_00836	K06287
DLIKLKCP_00837	K01951
DLIKLKCP_00840	K03466
DLIKLKCP_00841	K02913
DLIKLKCP_00843	K03110
DLIKLKCP_00844	K14441
DLIKLKCP_00845	K10026
DLIKLKCP_00849	K16089
DLIKLKCP_00851	K05916
DLIKLKCP_00853	K11381
DLIKLKCP_00854	K01778
DLIKLKCP_00857	K01627
DLIKLKCP_00863	K13444
DLIKLKCP_00866	K03168
DLIKLKCP_00869	K06168
DLIKLKCP_00874	K04078
DLIKLKCP_00875	K04077
DLIKLKCP_00876	K01990
DLIKLKCP_00877	K06949
DLIKLKCP_00878	K01082
DLIKLKCP_00879	K02014
DLIKLKCP_00882	K01955
DLIKLKCP_00894	K13533
DLIKLKCP_00898	K00632
DLIKLKCP_00899	K07516
DLIKLKCP_00901	K09810
DLIKLKCP_00902	K01903
DLIKLKCP_00905	K03113
DLIKLKCP_00906	K07444
DLIKLKCP_00908	K16066
DLIKLKCP_00911	K00059
DLIKLKCP_00914	K02902
DLIKLKCP_00915	K03742
DLIKLKCP_00917	K01613
DLIKLKCP_00918	K00981
DLIKLKCP_00920	K03798
DLIKLKCP_00921	K09710
DLIKLKCP_00922	K03524
DLIKLKCP_00924	K00762
DLIKLKCP_00927	K00954
DLIKLKCP_00931	K01144
DLIKLKCP_00932	K00940
DLIKLKCP_00933	K00819
DLIKLKCP_00934	K01738
DLIKLKCP_00935	K09808
DLIKLKCP_00939	K01681
DLIKLKCP_00940	K02004
DLIKLKCP_00943	K01524
DLIKLKCP_00944	K00937
DLIKLKCP_00945	K03386
DLIKLKCP_00947	K01669
DLIKLKCP_00948	K06876
DLIKLKCP_00951	K11147
DLIKLKCP_00953	K01873
DLIKLKCP_00958	K00167
DLIKLKCP_00959	K16329
DLIKLKCP_00960	K03979
DLIKLKCP_00961	K00939
DLIKLKCP_00962	K00382
DLIKLKCP_00969	K03601
DLIKLKCP_00972	K06911
DLIKLKCP_00974	K01911
DLIKLKCP_00976	K02548
DLIKLKCP_00977	K02551
DLIKLKCP_00978	K02361
DLIKLKCP_00979	K19222
DLIKLKCP_00980	K07658
DLIKLKCP_00981	K03501
DLIKLKCP_00982	K03088
DLIKLKCP_00985	K04773
DLIKLKCP_00986	K00950
DLIKLKCP_00987	K15518
DLIKLKCP_00989	K01902
DLIKLKCP_00990	K03650
DLIKLKCP_00991	K01669
DLIKLKCP_00993	K01082
DLIKLKCP_00995	K01790
DLIKLKCP_00996	K01991
DLIKLKCP_00998	K07082
DLIKLKCP_01003	K18682
DLIKLKCP_01006	K00831
DLIKLKCP_01007	K00058
DLIKLKCP_01009	K06997
DLIKLKCP_01012	K04066
DLIKLKCP_01013	K03564
DLIKLKCP_01014	K03553
DLIKLKCP_01015	K09667
DLIKLKCP_01021	K01208
DLIKLKCP_01026	K07095
DLIKLKCP_01027	K03628
DLIKLKCP_01030	K19421
DLIKLKCP_01034	K18707
DLIKLKCP_01036	K03088
DLIKLKCP_01039	K07305
DLIKLKCP_01041	K04985
DLIKLKCP_01043	K03496
DLIKLKCP_01044	K03497
DLIKLKCP_01046	K03100
DLIKLKCP_01048	K00605
DLIKLKCP_01049	K05979
DLIKLKCP_01053	K02313
DLIKLKCP_01054	K01104
DLIKLKCP_01055	K07056
DLIKLKCP_01057	K06881
DLIKLKCP_01059	K10773
DLIKLKCP_01061	K01733
DLIKLKCP_01062	K00872
DLIKLKCP_01063	K12524
DLIKLKCP_01064	K00208
DLIKLKCP_01065	K00104
DLIKLKCP_01067	K15789
DLIKLKCP_01068	K01883
DLIKLKCP_01071	K01889
DLIKLKCP_01072	K01802
DLIKLKCP_01075	K01890
DLIKLKCP_01078	K07658
DLIKLKCP_01079	K07636
DLIKLKCP_01080	K01069
DLIKLKCP_01082	K07090
DLIKLKCP_01083	K03654
DLIKLKCP_01084	K06041
DLIKLKCP_01085	K03118
DLIKLKCP_01087	K06861
DLIKLKCP_01088	K00793
DLIKLKCP_01090	K00097
DLIKLKCP_01092	K00648
DLIKLKCP_01093	K02160
DLIKLKCP_01094	K01961
DLIKLKCP_01095	K03272
DLIKLKCP_01097	K01579
DLIKLKCP_01102	K01760
DLIKLKCP_01103	K00486
DLIKLKCP_01105	K05606
DLIKLKCP_01106	K00059
DLIKLKCP_01107	K00262
DLIKLKCP_01116	K01895
DLIKLKCP_01119	K01241
DLIKLKCP_01120	K01489
DLIKLKCP_01122	K03317
DLIKLKCP_01123	K00758
DLIKLKCP_01126	K01953
DLIKLKCP_01129	K00655
DLIKLKCP_01130	K06180
DLIKLKCP_01131	K01322
DLIKLKCP_01135	K11085
DLIKLKCP_01138	K01251
DLIKLKCP_01142	K14742
DLIKLKCP_01147	K08976
DLIKLKCP_01150	K02276
DLIKLKCP_01152	K02257
DLIKLKCP_01154	K02851
DLIKLKCP_01156	K02377
DLIKLKCP_01163	K06911
DLIKLKCP_01172	K19519
DLIKLKCP_01173	K07071
DLIKLKCP_01175	K18889
DLIKLKCP_01177	K15580
DLIKLKCP_01178	K03392
DLIKLKCP_01179	K03088
DLIKLKCP_01186	K02843
DLIKLKCP_01188	K02338
DLIKLKCP_01196	K03797
DLIKLKCP_01198	K07456
DLIKLKCP_01199	K00791
DLIKLKCP_01204	K00167
DLIKLKCP_01205	K07137
DLIKLKCP_01210	K14157
DLIKLKCP_01216	K23025
DLIKLKCP_01219	K04487
DLIKLKCP_01220	K01840
DLIKLKCP_01221	K09667
DLIKLKCP_01222	K08097
DLIKLKCP_01224	K08974
DLIKLKCP_01225	K00014
DLIKLKCP_01226	K07106
DLIKLKCP_01230	K01465
DLIKLKCP_01232	K07025
DLIKLKCP_01234	K00761
DLIKLKCP_01236	K01791
DLIKLKCP_01237	K03630
DLIKLKCP_01238	K02968
DLIKLKCP_01240	K12373
DLIKLKCP_01241	K06201
DLIKLKCP_01245	K07004
DLIKLKCP_01248	K07735
DLIKLKCP_01250	K01066
DLIKLKCP_01251	K00821
DLIKLKCP_01254	K02618
DLIKLKCP_01257	K01113
DLIKLKCP_01259	K00606
DLIKLKCP_01260	K06180
DLIKLKCP_01261	K00384
DLIKLKCP_01267	K16697
DLIKLKCP_01269	K01463
DLIKLKCP_01270	K10027
DLIKLKCP_01273	K01823
DLIKLKCP_01281	K03572
DLIKLKCP_01283	K03527
DLIKLKCP_01285	K00293
DLIKLKCP_01289	K01658
DLIKLKCP_01290	K09022
DLIKLKCP_01293	K01448
DLIKLKCP_01298	K01302
DLIKLKCP_01306	K00088
DLIKLKCP_01307	K07533
DLIKLKCP_01312	K00852
DLIKLKCP_01318	K02108
DLIKLKCP_01319	K02110
DLIKLKCP_01322	K02111
DLIKLKCP_01323	K02115
DLIKLKCP_01328	K01735
DLIKLKCP_01329	K02536
DLIKLKCP_01330	K16363
DLIKLKCP_01331	K00677
DLIKLKCP_01332	K15738
DLIKLKCP_01336	K01784
DLIKLKCP_01338	K03092
DLIKLKCP_01339	K01893
DLIKLKCP_01340	K02003
DLIKLKCP_01342	K00703
DLIKLKCP_01343	K01918
DLIKLKCP_01344	K03116
DLIKLKCP_01345	K08307
DLIKLKCP_01348	K01256
DLIKLKCP_01349	K03774
DLIKLKCP_01350	K00946
DLIKLKCP_01351	K01953
DLIKLKCP_01353	K02371
DLIKLKCP_01355	K03703
DLIKLKCP_01356	K00091
DLIKLKCP_01358	K01465
DLIKLKCP_01359	K00721
DLIKLKCP_01360	K06178
DLIKLKCP_01361	K07460
DLIKLKCP_01364	K01113
DLIKLKCP_01369	K11927
DLIKLKCP_01370	K03320
DLIKLKCP_01376	K05592
DLIKLKCP_01378	K03783
DLIKLKCP_01379	K00074
DLIKLKCP_01380	K01847
DLIKLKCP_01383	K03273
DLIKLKCP_01384	K02619
DLIKLKCP_01385	K15581
DLIKLKCP_01388	K00796
DLIKLKCP_01390	K01277
DLIKLKCP_01391	K07091
DLIKLKCP_01395	K04771
DLIKLKCP_01400	K01887
DLIKLKCP_01412	K00058
DLIKLKCP_01413	K06213
DLIKLKCP_01414	K11991
DLIKLKCP_01416	K03439
DLIKLKCP_01418	K03593
DLIKLKCP_01420	K00384
DLIKLKCP_01421	K22071
DLIKLKCP_01423	K01710
DLIKLKCP_01426	K08678
DLIKLKCP_01427	K00012
DLIKLKCP_01430	K02527
DLIKLKCP_01434	K03624
DLIKLKCP_01435	K02503
DLIKLKCP_01438	K08998
DLIKLKCP_01440	K00287
DLIKLKCP_01441	K00560
DLIKLKCP_01443	K16052
DLIKLKCP_01444	K01589
DLIKLKCP_01445	K01921
DLIKLKCP_01446	K01159
DLIKLKCP_01450	K09117
DLIKLKCP_01451	K03531
DLIKLKCP_01452	K03590
DLIKLKCP_01454	K01924
DLIKLKCP_01455	K02563
DLIKLKCP_01456	K03588
DLIKLKCP_01457	K01925
DLIKLKCP_01458	K01000
DLIKLKCP_01459	K01928
DLIKLKCP_01460	K03587
DLIKLKCP_01462	K03438
DLIKLKCP_01463	K03925
DLIKLKCP_01464	K16050
DLIKLKCP_01465	K03978
DLIKLKCP_01469	K01916
DLIKLKCP_01472	K07560
DLIKLKCP_01473	K23269
DLIKLKCP_01476	K06180
DLIKLKCP_01478	K06158
DLIKLKCP_01481	K03296
DLIKLKCP_01483	K00162
DLIKLKCP_01484	K03521
DLIKLKCP_01485	K03522
DLIKLKCP_01486	K08999
DLIKLKCP_01487	K01588
DLIKLKCP_01492	K08151
DLIKLKCP_01494	K00645
DLIKLKCP_01496	K21430
DLIKLKCP_01498	K00128
DLIKLKCP_01499	K21575
DLIKLKCP_01506	K03932
DLIKLKCP_01509	K03932
DLIKLKCP_01514	K01669
DLIKLKCP_01520	K00432
DLIKLKCP_01527	K02687
DLIKLKCP_01528	K01803
DLIKLKCP_01529	K03654
DLIKLKCP_01530	K06969
DLIKLKCP_01531	K00275
DLIKLKCP_01535	K01480
DLIKLKCP_01536	K01585
DLIKLKCP_01540	K06969
DLIKLKCP_01550	K01591
DLIKLKCP_01551	K10716
DLIKLKCP_01552	K03310
DLIKLKCP_01554	K00759
DLIKLKCP_01562	K00508
DLIKLKCP_01564	K03307
DLIKLKCP_01567	K04759
DLIKLKCP_01570	K05523
DLIKLKCP_01572	K17734
DLIKLKCP_01579	K19519
DLIKLKCP_01581	K03216
DLIKLKCP_01589	K03495
DLIKLKCP_01590	K14085
DLIKLKCP_01594	K00091
DLIKLKCP_01596	K07124
DLIKLKCP_01604	K00981
DLIKLKCP_01608	K11418
DLIKLKCP_01609	K06193
DLIKLKCP_01610	K01802
DLIKLKCP_01615	K01875
DLIKLKCP_01616	K02899
DLIKLKCP_01617	K02888
DLIKLKCP_01622	K01673
DLIKLKCP_01629	K02314
DLIKLKCP_01632	K00789
DLIKLKCP_01633	K00548
DLIKLKCP_01634	K00548
DLIKLKCP_01635	K00297
DLIKLKCP_01640	K06237
DLIKLKCP_01643	K00626
DLIKLKCP_01645	K00604
DLIKLKCP_01647	K00556
DLIKLKCP_01648	K03530
DLIKLKCP_01660	K03386
DLIKLKCP_01663	K03932
DLIKLKCP_01665	K03932
DLIKLKCP_01666	K06911
DLIKLKCP_01673	K02014
DLIKLKCP_01679	K01305
DLIKLKCP_01680	K03326
DLIKLKCP_01683	K07004
DLIKLKCP_01684	K07004
DLIKLKCP_01687	K00820
DLIKLKCP_01689	K18966
DLIKLKCP_01691	K01965
DLIKLKCP_01695	K01933
DLIKLKCP_01697	K01915
DLIKLKCP_01699	K00812
DLIKLKCP_01701	K04762
DLIKLKCP_01703	K02343
DLIKLKCP_01704	K02990
DLIKLKCP_01705	K02963
DLIKLKCP_01706	K02939
DLIKLKCP_01707	K03702
DLIKLKCP_01711	K01962
DLIKLKCP_01712	K02428
DLIKLKCP_01713	K01647
DLIKLKCP_01716	K03305
DLIKLKCP_01717	K01278
DLIKLKCP_01720	K09013
DLIKLKCP_01721	K09014
DLIKLKCP_01722	K22063
DLIKLKCP_01723	K09811
DLIKLKCP_01725	K06153
DLIKLKCP_01727	K04564
DLIKLKCP_01728	K01838
DLIKLKCP_01730	K00134
DLIKLKCP_01731	K00850
DLIKLKCP_01737	K00219
DLIKLKCP_01738	K00655
DLIKLKCP_01739	K06181
DLIKLKCP_01743	K00294
DLIKLKCP_01744	K03106
DLIKLKCP_01745	K01491
DLIKLKCP_01746	K11752
DLIKLKCP_01751	K02428
DLIKLKCP_01756	K03734
DLIKLKCP_01757	K00351
DLIKLKCP_01758	K00350
DLIKLKCP_01759	K00349
DLIKLKCP_01760	K00348
DLIKLKCP_01761	K00347
DLIKLKCP_01762	K00346
DLIKLKCP_01764	K07124
DLIKLKCP_01766	K02837
DLIKLKCP_01770	K02342
DLIKLKCP_01771	K01972
DLIKLKCP_01772	K04771
DLIKLKCP_01773	K02493
DLIKLKCP_01774	K01734
DLIKLKCP_01775	K16147
DLIKLKCP_01776	K02621
DLIKLKCP_01777	K02622
DLIKLKCP_01795	K00453
DLIKLKCP_01797	K09022
DLIKLKCP_01800	K15460
DLIKLKCP_01801	K02617
DLIKLKCP_01802	K00626
DLIKLKCP_01807	K22205
DLIKLKCP_01808	K06217
DLIKLKCP_01809	K01923
DLIKLKCP_01810	K07566
DLIKLKCP_01811	K00970
DLIKLKCP_01812	K01886
DLIKLKCP_01815	K01783
DLIKLKCP_01816	K00859
DLIKLKCP_01820	K01142
DLIKLKCP_01822	K00691
DLIKLKCP_01826	K02440
DLIKLKCP_01835	K03629
DLIKLKCP_01837	K00794
DLIKLKCP_01840	K03523
DLIKLKCP_01841	K01254
DLIKLKCP_01844	K03088
DLIKLKCP_01845	K00566
DLIKLKCP_01848	K01961
DLIKLKCP_01849	K12410
DLIKLKCP_01850	K18418
DLIKLKCP_01854	K00031
DLIKLKCP_01857	K21572
DLIKLKCP_01860	K05349
DLIKLKCP_01862	K01192
DLIKLKCP_01873	K01661
DLIKLKCP_01880	K03595
DLIKLKCP_01881	K00919
DLIKLKCP_01882	K11720
DLIKLKCP_01883	K00773
DLIKLKCP_01884	K07150
DLIKLKCP_01891	K00059
DLIKLKCP_01897	K03470
DLIKLKCP_01902	K07315
DLIKLKCP_01903	K02356
DLIKLKCP_01908	K03545
DLIKLKCP_01909	K01358
DLIKLKCP_01910	K03544
DLIKLKCP_01911	K03555
DLIKLKCP_01912	K00259
DLIKLKCP_01913	K06925
DLIKLKCP_01914	K07713
DLIKLKCP_01915	K06885
DLIKLKCP_01916	K08301
DLIKLKCP_01918	K03530
DLIKLKCP_01919	K03575
DLIKLKCP_01920	K03111
DLIKLKCP_01923	K03525
DLIKLKCP_01930	K07568
