CAOHCFIM_00002	K13038
CAOHCFIM_00257	K06999
CAOHCFIM_00259	K01465
CAOHCFIM_00266	K10947
CAOHCFIM_00269	K04761
CAOHCFIM_00270	K01284
CAOHCFIM_00271	K03768
CAOHCFIM_00275	K03088
CAOHCFIM_00279	K04565
CAOHCFIM_00283	K00632
CAOHCFIM_00284	K07516
CAOHCFIM_00286	K01897
CAOHCFIM_00287	K01952
CAOHCFIM_00288	K07004
CAOHCFIM_00290	K00239
CAOHCFIM_00291	K00240
CAOHCFIM_00294	K21572
CAOHCFIM_00297	K00496
CAOHCFIM_00303	K00053
CAOHCFIM_00304	K01754
CAOHCFIM_00305	K00873
CAOHCFIM_00307	K03685
CAOHCFIM_00308	K09458
CAOHCFIM_00309	K02078
CAOHCFIM_00316	K07106
CAOHCFIM_00319	K00031
CAOHCFIM_00320	K02884
CAOHCFIM_00321	K00554
CAOHCFIM_00322	K00134
CAOHCFIM_00323	K04771
CAOHCFIM_00324	K01778
CAOHCFIM_00325	K00657
CAOHCFIM_00326	K07082
CAOHCFIM_00328	K07056
CAOHCFIM_00329	K02313
CAOHCFIM_00330	K07107
CAOHCFIM_00332	K21063
CAOHCFIM_00333	K11752
CAOHCFIM_00335	K03828
CAOHCFIM_00336	K02493
CAOHCFIM_00337	K01972
CAOHCFIM_00339	K01823
CAOHCFIM_00340	K01737
CAOHCFIM_00341	K01809
CAOHCFIM_00347	K04079
CAOHCFIM_00348	K00648
CAOHCFIM_00353	K06187
CAOHCFIM_00355	K00658
CAOHCFIM_00356	K02342
CAOHCFIM_00358	K03742
CAOHCFIM_00359	K02902
CAOHCFIM_00360	K02913
CAOHCFIM_00362	K03110
CAOHCFIM_00363	K14441
CAOHCFIM_00364	K22136
CAOHCFIM_00365	K01951
CAOHCFIM_00369	K06878
CAOHCFIM_00371	K18889
CAOHCFIM_00372	K03625
CAOHCFIM_00375	K01258
CAOHCFIM_00376	K00254
CAOHCFIM_00382	K01940
CAOHCFIM_00383	K00145
CAOHCFIM_00384	K00286
CAOHCFIM_00385	K00821
CAOHCFIM_00386	K13043
CAOHCFIM_00387	K00930
CAOHCFIM_00388	K01438
CAOHCFIM_00389	K01755
CAOHCFIM_00392	K16089
CAOHCFIM_00393	K03709
CAOHCFIM_00396	K02014
CAOHCFIM_00398	K08621
CAOHCFIM_00406	K00248
CAOHCFIM_00407	K09001
CAOHCFIM_00409	K03561
CAOHCFIM_00412	K11754
CAOHCFIM_00415	K01929
CAOHCFIM_00420	K00059
CAOHCFIM_00421	K03106
CAOHCFIM_00422	K01491
CAOHCFIM_00423	K06991
CAOHCFIM_00424	K06182
CAOHCFIM_00428	K10026
CAOHCFIM_00430	K01953
CAOHCFIM_00431	K02470
CAOHCFIM_00433	K00024
CAOHCFIM_00434	K12257
CAOHCFIM_00436	K08998
CAOHCFIM_00437	K01883
CAOHCFIM_00438	K01495
CAOHCFIM_00443	K01881
CAOHCFIM_00445	K02968
CAOHCFIM_00446	K03628
CAOHCFIM_00448	K07095
CAOHCFIM_00449	K06173
CAOHCFIM_00450	K06147
CAOHCFIM_00451	K18672
CAOHCFIM_00452	K00796
CAOHCFIM_00455	K02033
CAOHCFIM_00457	K01803
CAOHCFIM_00458	K02687
CAOHCFIM_00461	K01069
CAOHCFIM_00463	K03719
CAOHCFIM_00466	K07090
CAOHCFIM_00468	K02825
CAOHCFIM_00469	K00609
CAOHCFIM_00471	K00784
CAOHCFIM_00473	K09810
CAOHCFIM_00474	K07304
CAOHCFIM_00477	K00058
CAOHCFIM_00478	K00831
CAOHCFIM_00482	K06942
CAOHCFIM_00483	K02622
CAOHCFIM_00484	K02621
CAOHCFIM_00488	K03718
CAOHCFIM_00489	K01735
CAOHCFIM_00490	K00318
CAOHCFIM_00493	K00457
CAOHCFIM_00494	K00500
CAOHCFIM_00495	K01555
CAOHCFIM_00498	K03650
CAOHCFIM_00501	K02517
CAOHCFIM_00502	K01840
CAOHCFIM_00504	K03655
CAOHCFIM_00506	K03657
CAOHCFIM_00508	K03701
CAOHCFIM_00511	K00162
CAOHCFIM_00512	K03315
CAOHCFIM_00513	K03386
CAOHCFIM_00514	K03671
CAOHCFIM_00516	K02945
CAOHCFIM_00517	K14157
CAOHCFIM_00518	K03704
CAOHCFIM_00519	K01586
CAOHCFIM_00521	K01903
CAOHCFIM_00523	K03702
CAOHCFIM_00527	K01990
CAOHCFIM_00530	K02259
CAOHCFIM_00531	K00970
CAOHCFIM_00532	K07566
CAOHCFIM_00534	K00754
CAOHCFIM_00543	K00674
CAOHCFIM_00545	K07447
CAOHCFIM_00546	K01462
CAOHCFIM_00548	K03327
CAOHCFIM_00550	K19302
CAOHCFIM_00551	K07588
CAOHCFIM_00554	K03070
CAOHCFIM_00556	K00798
CAOHCFIM_00558	K15738
CAOHCFIM_00561	K17103
CAOHCFIM_00562	K09781
CAOHCFIM_00563	K06861
CAOHCFIM_00565	K03118
CAOHCFIM_00566	K06041
CAOHCFIM_00567	K03654
CAOHCFIM_00568	K01802
CAOHCFIM_00569	K01937
CAOHCFIM_00570	K03217
CAOHCFIM_00571	K00566
CAOHCFIM_00572	K02371
CAOHCFIM_00573	K02428
CAOHCFIM_00575	K00014
CAOHCFIM_00577	K08974
CAOHCFIM_00579	K00821
CAOHCFIM_00581	K01939
CAOHCFIM_00582	K03711
CAOHCFIM_00583	K00951
CAOHCFIM_00584	K03437
CAOHCFIM_00590	K01270
CAOHCFIM_00591	K12736
CAOHCFIM_00593	K06881
CAOHCFIM_00594	K00940
CAOHCFIM_00597	K03629
CAOHCFIM_00599	K00794
CAOHCFIM_00600	K03572
CAOHCFIM_00606	K03100
CAOHCFIM_00609	K00859
CAOHCFIM_00610	K07636
CAOHCFIM_00612	K00791
CAOHCFIM_00613	K10716
CAOHCFIM_00614	K02342
CAOHCFIM_00615	K06997
CAOHCFIM_00617	K00074
CAOHCFIM_00618	K03810
CAOHCFIM_00619	K00573
CAOHCFIM_00621	K03664
CAOHCFIM_00622	K03695
CAOHCFIM_00625	K01745
CAOHCFIM_00626	K03696
CAOHCFIM_00627	K02469
CAOHCFIM_00629	K20742
CAOHCFIM_00630	K00626
CAOHCFIM_00631	K07037
CAOHCFIM_00636	K21572
CAOHCFIM_00638	K01710
CAOHCFIM_00645	K08307
CAOHCFIM_00646	K00927
CAOHCFIM_00647	K02341
CAOHCFIM_00650	K03495
CAOHCFIM_00655	K01885
CAOHCFIM_00656	K03596
CAOHCFIM_00658	K01673
CAOHCFIM_00660	K13274
CAOHCFIM_00663	K03797
CAOHCFIM_00665	K02348
CAOHCFIM_00666	K16264
CAOHCFIM_00667	K01808
CAOHCFIM_00668	K12573
CAOHCFIM_00673	K01886
CAOHCFIM_00675	K11072
CAOHCFIM_00676	K00133
CAOHCFIM_00677	K01775
CAOHCFIM_00678	K00857
CAOHCFIM_00680	K00057
CAOHCFIM_00682	K01889
CAOHCFIM_00685	K03321
CAOHCFIM_00690	K07114
CAOHCFIM_00691	K07114
CAOHCFIM_00694	K03924
CAOHCFIM_00697	K14085
CAOHCFIM_00699	K01595
CAOHCFIM_00700	K03320
CAOHCFIM_00701	K04751
CAOHCFIM_00702	K03320
CAOHCFIM_00704	K00265
CAOHCFIM_00705	K00266
CAOHCFIM_00706	K01687
CAOHCFIM_00707	K01652
CAOHCFIM_00708	K01653
CAOHCFIM_00709	K00053
CAOHCFIM_00710	K03500
CAOHCFIM_00714	K06147
CAOHCFIM_00715	K01835
CAOHCFIM_00718	K02909
CAOHCFIM_00720	K15580
CAOHCFIM_00721	K18707
CAOHCFIM_00726	K02914
CAOHCFIM_00727	K01955
CAOHCFIM_00731	K10799
CAOHCFIM_00736	K16092
CAOHCFIM_00738	K03088
CAOHCFIM_00742	K01756
CAOHCFIM_00746	K05592
CAOHCFIM_00747	K02428
CAOHCFIM_00748	K00783
CAOHCFIM_00749	K00767
CAOHCFIM_00750	K07058
CAOHCFIM_00751	K04066
CAOHCFIM_00753	K02990
CAOHCFIM_00754	K01224
CAOHCFIM_00755	K01187
CAOHCFIM_00756	K01187
CAOHCFIM_00758	K06925
CAOHCFIM_00759	K07713
CAOHCFIM_00760	K06885
CAOHCFIM_00761	K02536
CAOHCFIM_00762	K16363
CAOHCFIM_00763	K00677
CAOHCFIM_00764	K02356
CAOHCFIM_00765	K02536
CAOHCFIM_00766	K01902
CAOHCFIM_00768	K00059
CAOHCFIM_00771	K00765
CAOHCFIM_00772	K00013
CAOHCFIM_00773	K00817
CAOHCFIM_00774	K01089
CAOHCFIM_00775	K02501
CAOHCFIM_00776	K01814
CAOHCFIM_00777	K02500
CAOHCFIM_00778	K11755
CAOHCFIM_00779	K06173
CAOHCFIM_00782	K16053
CAOHCFIM_00787	K01669
CAOHCFIM_00788	K01669
CAOHCFIM_00790	K00788
CAOHCFIM_00791	K06970
CAOHCFIM_00794	K05592
CAOHCFIM_00796	K03704
CAOHCFIM_00798	K17677
CAOHCFIM_00800	K07444
CAOHCFIM_00807	K07552
CAOHCFIM_00808	K01259
CAOHCFIM_00809	K01895
CAOHCFIM_00811	K01923
CAOHCFIM_00812	K06217
CAOHCFIM_00813	K22205
CAOHCFIM_00814	K02338
CAOHCFIM_00819	K00616
CAOHCFIM_00821	K22757
CAOHCFIM_00824	K00600
CAOHCFIM_00825	K12524
CAOHCFIM_00826	K00872
CAOHCFIM_00827	K01733
CAOHCFIM_00828	K00605
CAOHCFIM_00832	K00086
CAOHCFIM_00833	K19271
CAOHCFIM_00834	K00979
CAOHCFIM_00843	K01433
CAOHCFIM_00844	K03719
CAOHCFIM_00845	K15789
CAOHCFIM_00846	K00639
CAOHCFIM_00852	K04084
CAOHCFIM_00854	K01493
CAOHCFIM_00855	K03797
CAOHCFIM_00857	K05595
CAOHCFIM_00860	K10808
CAOHCFIM_00861	K10807
CAOHCFIM_00867	K01129
CAOHCFIM_00868	K01662
CAOHCFIM_00869	K11991
CAOHCFIM_00871	K01876
CAOHCFIM_00872	K03296
CAOHCFIM_00876	K13789
CAOHCFIM_00877	K00164
CAOHCFIM_00878	K00658
CAOHCFIM_00879	K03932
CAOHCFIM_00881	K02335
CAOHCFIM_00882	K01444
CAOHCFIM_00883	K02429
CAOHCFIM_00885	K07098
CAOHCFIM_00886	K03671
CAOHCFIM_00893	K02600
CAOHCFIM_00894	K02519
CAOHCFIM_00898	K04014
CAOHCFIM_00903	K02275
CAOHCFIM_00904	K02274
CAOHCFIM_00905	K03551
CAOHCFIM_00906	K18979
CAOHCFIM_00907	K02529
CAOHCFIM_00908	K00029
CAOHCFIM_00909	K03550
CAOHCFIM_00911	K02437
CAOHCFIM_00917	K03424
CAOHCFIM_00918	K01424
CAOHCFIM_00920	K03561
CAOHCFIM_00926	K01870
CAOHCFIM_00928	K03101
CAOHCFIM_00929	K01934
CAOHCFIM_00930	K05844
CAOHCFIM_00931	K03703
CAOHCFIM_00932	K07001
CAOHCFIM_00934	K00453
CAOHCFIM_00936	K01810
CAOHCFIM_00946	K17495
CAOHCFIM_00948	K09117
CAOHCFIM_00949	K03531
CAOHCFIM_00950	K03590
CAOHCFIM_00951	K03589
CAOHCFIM_00952	K01924
CAOHCFIM_00953	K02563
CAOHCFIM_00954	K03588
CAOHCFIM_00955	K01925
CAOHCFIM_00956	K01000
CAOHCFIM_00957	K01928
CAOHCFIM_00958	K03587
CAOHCFIM_00960	K03438
CAOHCFIM_00961	K03925
CAOHCFIM_00962	K16050
CAOHCFIM_00963	K03978
CAOHCFIM_00965	K02066
CAOHCFIM_00966	K02065
CAOHCFIM_00968	K00971
CAOHCFIM_00970	K01887
CAOHCFIM_00973	K01647
CAOHCFIM_00974	K01689
CAOHCFIM_00975	K01956
CAOHCFIM_00976	K02879
CAOHCFIM_00977	K03040
CAOHCFIM_00978	K02986
CAOHCFIM_00979	K02948
CAOHCFIM_00984	K09117
CAOHCFIM_00986	K03424
CAOHCFIM_00987	K07304
CAOHCFIM_00988	K07164
CAOHCFIM_00992	K03553
CAOHCFIM_00993	K07146
CAOHCFIM_00996	K05366
CAOHCFIM_00997	K01028
CAOHCFIM_00998	K01029
CAOHCFIM_01000	K02031
CAOHCFIM_01003	K01698
CAOHCFIM_01004	K00228
CAOHCFIM_01005	K01599
CAOHCFIM_01006	K01749
CAOHCFIM_01007	K02492
CAOHCFIM_01009	K01772
CAOHCFIM_01011	K08973
CAOHCFIM_01012	K13598
CAOHCFIM_01013	K01715
CAOHCFIM_01015	K02112
CAOHCFIM_01017	K21573
CAOHCFIM_01020	K01866
CAOHCFIM_01021	K00091
CAOHCFIM_01023	K01465
CAOHCFIM_01024	K00721
CAOHCFIM_01026	K01719
CAOHCFIM_01029	K07301
CAOHCFIM_01030	K00759
CAOHCFIM_01031	K01784
CAOHCFIM_01036	K08678
CAOHCFIM_01037	K03606
CAOHCFIM_01038	K01945
CAOHCFIM_01043	K02613
CAOHCFIM_01047	K02108
CAOHCFIM_01048	K02110
CAOHCFIM_01049	K02109
CAOHCFIM_01051	K02111
CAOHCFIM_01052	K02115
CAOHCFIM_01056	K01520
CAOHCFIM_01064	K04096
CAOHCFIM_01065	K01867
CAOHCFIM_01066	K02357
CAOHCFIM_01067	K02967
CAOHCFIM_01068	K02996
CAOHCFIM_01069	K02871
CAOHCFIM_01071	K02257
CAOHCFIM_01072	K02262
CAOHCFIM_01077	K08976
CAOHCFIM_01081	K02003
CAOHCFIM_01082	K02004
CAOHCFIM_01083	K02004
CAOHCFIM_01084	K02005
CAOHCFIM_01085	K12340
CAOHCFIM_01086	K14742
CAOHCFIM_01087	K03442
CAOHCFIM_01089	K07056
CAOHCFIM_01090	K07397
CAOHCFIM_01091	K07462
CAOHCFIM_01096	K03269
CAOHCFIM_01097	K01737
CAOHCFIM_01103	K08150
CAOHCFIM_01104	K01201
CAOHCFIM_01109	K21572
CAOHCFIM_01115	K03282
CAOHCFIM_01116	K00793
CAOHCFIM_01117	K00097
CAOHCFIM_01120	K00648
CAOHCFIM_01121	K02160
CAOHCFIM_01122	K01961
CAOHCFIM_01124	K22074
CAOHCFIM_01127	K01776
CAOHCFIM_01129	K06142
CAOHCFIM_01130	K07277
CAOHCFIM_01131	K00806
CAOHCFIM_01133	K00858
CAOHCFIM_01135	K03474
CAOHCFIM_01136	K13703
CAOHCFIM_01137	K03545
CAOHCFIM_01138	K01358
CAOHCFIM_01139	K03544
CAOHCFIM_01142	K09125
CAOHCFIM_01143	K15518
CAOHCFIM_01145	K03555
CAOHCFIM_01153	K07137
CAOHCFIM_01154	K07112
CAOHCFIM_01155	K07112
CAOHCFIM_01156	K01069
CAOHCFIM_01157	K07090
CAOHCFIM_01162	K04567
CAOHCFIM_01164	K03801
CAOHCFIM_01166	K03470
CAOHCFIM_01168	K00382
CAOHCFIM_01169	K03786
CAOHCFIM_01174	K11749
CAOHCFIM_01175	K07152
CAOHCFIM_01177	K04759
CAOHCFIM_01178	K07238
CAOHCFIM_01179	K05801
CAOHCFIM_01181	K04485
CAOHCFIM_01184	K01579
CAOHCFIM_01185	K01918
CAOHCFIM_01186	K00703
CAOHCFIM_01188	K00820
CAOHCFIM_01189	K00265
CAOHCFIM_01190	K00266
CAOHCFIM_01191	K03760
CAOHCFIM_01192	K03760
CAOHCFIM_01194	K07386
CAOHCFIM_01197	K03111
CAOHCFIM_01198	K02529
CAOHCFIM_01199	K01874
CAOHCFIM_01200	K01297
CAOHCFIM_01202	K07460
CAOHCFIM_01203	K03723
CAOHCFIM_01205	K10805
CAOHCFIM_01206	K09793
CAOHCFIM_01210	K03671
CAOHCFIM_01212	K02337
CAOHCFIM_01215	K02959
CAOHCFIM_01216	K02860
CAOHCFIM_01217	K15460
CAOHCFIM_01218	K00252
CAOHCFIM_01221	K00384
CAOHCFIM_01223	K03593
CAOHCFIM_01226	K03439
CAOHCFIM_01227	K07636
CAOHCFIM_01228	K02483
CAOHCFIM_01229	K02897
CAOHCFIM_01230	K01056
CAOHCFIM_01232	K11753
CAOHCFIM_01233	K01875
CAOHCFIM_01236	K02528
CAOHCFIM_01237	K06213
CAOHCFIM_01238	K00058
CAOHCFIM_01241	K03741
CAOHCFIM_01243	K00928
CAOHCFIM_01244	K00657
CAOHCFIM_01245	K03841
CAOHCFIM_01246	K03595
CAOHCFIM_01249	K03977
CAOHCFIM_01252	K01872
CAOHCFIM_01255	K00826
CAOHCFIM_01258	K00648
CAOHCFIM_01259	K00281
CAOHCFIM_01261	K01284
CAOHCFIM_01262	K01588
CAOHCFIM_01263	K01589
CAOHCFIM_01264	K00939
CAOHCFIM_01265	K03979
CAOHCFIM_01267	K01924
CAOHCFIM_01268	K03630
CAOHCFIM_01271	K08723
CAOHCFIM_01274	K07478
CAOHCFIM_01276	K03218
CAOHCFIM_01281	K00052
CAOHCFIM_01282	K01704
CAOHCFIM_01283	K01703
CAOHCFIM_01284	K01649
CAOHCFIM_01286	K01740
CAOHCFIM_01287	K00641
CAOHCFIM_01288	K01740
CAOHCFIM_01290	K01681
CAOHCFIM_01295	K09835
CAOHCFIM_01299	K00891
CAOHCFIM_01300	K02825
CAOHCFIM_01301	K04762
CAOHCFIM_01303	K00615
CAOHCFIM_01304	K00615
CAOHCFIM_01307	K00773
CAOHCFIM_01308	K11720
CAOHCFIM_01310	K01962
CAOHCFIM_01311	K02314
CAOHCFIM_01314	K02887
CAOHCFIM_01315	K02916
CAOHCFIM_01316	K22074
CAOHCFIM_01318	K01961
CAOHCFIM_01319	K01278
CAOHCFIM_01320	K00054
CAOHCFIM_01331	K03525
CAOHCFIM_01332	K02335
CAOHCFIM_01333	K00658
CAOHCFIM_01335	K02429
CAOHCFIM_01336	K03704
CAOHCFIM_01338	K15633
CAOHCFIM_01339	K01265
CAOHCFIM_01342	K03734
CAOHCFIM_01344	K00351
CAOHCFIM_01345	K00215
CAOHCFIM_01347	K03497
CAOHCFIM_01348	K03496
CAOHCFIM_01350	K03496
CAOHCFIM_01351	K01847
CAOHCFIM_01354	K00876
CAOHCFIM_01355	K00384
CAOHCFIM_01356	K01890
CAOHCFIM_01357	K02557
CAOHCFIM_01360	K02340
CAOHCFIM_01362	K00886
CAOHCFIM_01365	K01892
CAOHCFIM_01368	K00826
CAOHCFIM_01369	K07735
CAOHCFIM_01370	K03530
CAOHCFIM_01371	K00604
CAOHCFIM_01372	K03654
CAOHCFIM_01376	K00790
CAOHCFIM_01377	K06193
CAOHCFIM_01378	K01669
CAOHCFIM_01382	K00432
CAOHCFIM_01383	K00059
CAOHCFIM_01385	K01495
CAOHCFIM_01388	K06876
CAOHCFIM_01390	K08869
CAOHCFIM_01392	K09874
CAOHCFIM_01399	K01201
CAOHCFIM_01400	K01210
CAOHCFIM_01401	K01210
CAOHCFIM_01402	K07391
CAOHCFIM_01403	K00128
CAOHCFIM_01404	K06180
CAOHCFIM_01405	K00606
CAOHCFIM_01407	K04043
CAOHCFIM_01410	K19222
CAOHCFIM_01411	K02361
CAOHCFIM_01412	K02551
CAOHCFIM_01414	K00243
CAOHCFIM_01415	K01661
CAOHCFIM_01416	K02548
CAOHCFIM_01419	K07052
CAOHCFIM_01420	K01911
CAOHCFIM_01421	K01969
CAOHCFIM_01422	K06911
CAOHCFIM_01428	K03215
CAOHCFIM_01429	K00819
CAOHCFIM_01431	K00131
CAOHCFIM_01437	K04487
CAOHCFIM_01442	K18682
CAOHCFIM_01443	K04763
CAOHCFIM_01446	K13010
CAOHCFIM_01447	K14652
CAOHCFIM_01448	K07091
CAOHCFIM_01450	K03466
CAOHCFIM_01452	K00275
CAOHCFIM_01455	K02343
CAOHCFIM_01461	K05837
CAOHCFIM_01462	K05515
CAOHCFIM_01464	K03570
CAOHCFIM_01465	K03569
CAOHCFIM_01466	K00602
CAOHCFIM_01467	K08968
CAOHCFIM_01471	K04077
CAOHCFIM_01472	K04078
CAOHCFIM_01477	K06168
CAOHCFIM_01479	K03168
CAOHCFIM_01481	K13444
CAOHCFIM_01487	K06158
CAOHCFIM_01489	K03305
CAOHCFIM_01490	K03305
CAOHCFIM_01492	K02238
CAOHCFIM_01494	K00748
CAOHCFIM_01496	K03787
CAOHCFIM_01497	K03797
CAOHCFIM_01498	K15582
CAOHCFIM_01500	K01712
CAOHCFIM_01501	K05396
CAOHCFIM_01503	K01845
CAOHCFIM_01507	K01915
CAOHCFIM_01508	K01915
CAOHCFIM_01509	K01933
CAOHCFIM_01510	K02835
CAOHCFIM_01511	K01591
CAOHCFIM_01513	K03719
CAOHCFIM_01514	K09164
CAOHCFIM_01515	K06199
CAOHCFIM_01516	K01277
CAOHCFIM_01519	K00826
CAOHCFIM_01522	K07071
CAOHCFIM_01523	K03687
CAOHCFIM_01524	K03686
CAOHCFIM_01525	K11068
CAOHCFIM_01527	K19701
CAOHCFIM_01528	K01990
CAOHCFIM_01530	K02481
CAOHCFIM_01531	K01302
CAOHCFIM_01533	K01627
CAOHCFIM_01534	K06207
CAOHCFIM_01537	K19353
CAOHCFIM_01541	K09812
CAOHCFIM_01545	K03310
CAOHCFIM_01546	K06940
CAOHCFIM_01549	K09808
CAOHCFIM_01550	K01697
CAOHCFIM_01554	K10716
CAOHCFIM_01555	K03310
CAOHCFIM_01557	K00248
CAOHCFIM_01560	K03733
CAOHCFIM_01562	K01868
CAOHCFIM_01563	K02520
CAOHCFIM_01564	K08679
CAOHCFIM_01565	K00012
CAOHCFIM_01566	K08679
CAOHCFIM_01568	K01783
CAOHCFIM_01569	K03086
CAOHCFIM_01570	K00962
CAOHCFIM_01571	K02956
CAOHCFIM_01572	K01963
CAOHCFIM_01573	K01624
CAOHCFIM_01575	K03437
CAOHCFIM_01577	K03183
CAOHCFIM_01578	K03499
CAOHCFIM_01579	K03498
CAOHCFIM_01580	K00812
CAOHCFIM_01581	K00508
CAOHCFIM_01582	K03501
CAOHCFIM_01585	K00294
CAOHCFIM_01586	K06195
CAOHCFIM_01588	K00346
CAOHCFIM_01589	K00347
CAOHCFIM_01590	K00348
CAOHCFIM_01591	K00349
CAOHCFIM_01592	K00350
CAOHCFIM_01593	K00351
CAOHCFIM_01595	K03734
CAOHCFIM_01598	K01265
CAOHCFIM_01600	K15633
CAOHCFIM_01602	K05995
CAOHCFIM_01606	K03392
CAOHCFIM_01607	K00452
CAOHCFIM_01608	K00059
CAOHCFIM_01609	K23234
CAOHCFIM_01611	K00486
CAOHCFIM_01612	K01556
CAOHCFIM_01613	K07304
CAOHCFIM_01614	K07164
CAOHCFIM_01616	K00912
CAOHCFIM_01618	K00134
CAOHCFIM_01619	K03644
CAOHCFIM_01623	K06188
CAOHCFIM_01624	K00075
CAOHCFIM_01625	K00812
CAOHCFIM_01630	K01873
CAOHCFIM_01632	K01613
CAOHCFIM_01633	K00981
CAOHCFIM_01635	K03798
CAOHCFIM_01636	K09710
CAOHCFIM_01637	K03524
CAOHCFIM_01639	K00762
CAOHCFIM_01641	K03321
CAOHCFIM_01642	K00954
CAOHCFIM_01643	K01921
CAOHCFIM_01645	K06180
CAOHCFIM_01646	K09861
CAOHCFIM_01647	K11927
CAOHCFIM_01651	K01673
CAOHCFIM_01652	K01673
CAOHCFIM_01654	K11527
CAOHCFIM_01657	K03405
CAOHCFIM_01658	K07114
CAOHCFIM_01661	K01695
CAOHCFIM_01662	K01696
CAOHCFIM_01663	K01817
CAOHCFIM_01664	K01609
CAOHCFIM_01665	K00766
CAOHCFIM_01666	K01658
CAOHCFIM_01667	K01657
CAOHCFIM_01677	K01400
CAOHCFIM_01680	K12374
CAOHCFIM_01682	K08301
CAOHCFIM_01683	K03530
CAOHCFIM_01684	K03575
CAOHCFIM_01685	K03111
CAOHCFIM_01688	K00946
CAOHCFIM_01689	K04659
CAOHCFIM_01693	K13628
CAOHCFIM_01694	K09014
