DAAHEFCG_00001	K03688
DAAHEFCG_00205	K01578
DAAHEFCG_00207	K00852
DAAHEFCG_00208	K01240
DAAHEFCG_00210	K07335
DAAHEFCG_00211	K23537
DAAHEFCG_00212	K23535
DAAHEFCG_00213	K23536
DAAHEFCG_00214	K01489
DAAHEFCG_00220	K14393
DAAHEFCG_00222	K01262
DAAHEFCG_00223	K03458
DAAHEFCG_00224	K01483
DAAHEFCG_00225	K14977
DAAHEFCG_00226	K13485
DAAHEFCG_00228	K07127
DAAHEFCG_00229	K01847
DAAHEFCG_00230	K01847
DAAHEFCG_00231	K02426
DAAHEFCG_00232	K02855
DAAHEFCG_00234	K03437
DAAHEFCG_00235	K06969
DAAHEFCG_00237	K05800
DAAHEFCG_00238	K00140
DAAHEFCG_00244	K00109
DAAHEFCG_00245	K05884
DAAHEFCG_00246	K00626
DAAHEFCG_00248	K02302
DAAHEFCG_00250	K00366
DAAHEFCG_00255	K00020
DAAHEFCG_00256	K08602
DAAHEFCG_00257	K08869
DAAHEFCG_00258	K00324
DAAHEFCG_00259	K00324
DAAHEFCG_00260	K00325
DAAHEFCG_00261	K02970
DAAHEFCG_00262	K18587
DAAHEFCG_00263	K00651
DAAHEFCG_00264	K01589
DAAHEFCG_00265	K01588
DAAHEFCG_00267	K09987
DAAHEFCG_00268	K22073
DAAHEFCG_00274	K00382
DAAHEFCG_00277	K00790
DAAHEFCG_00279	K00765
DAAHEFCG_00280	K00013
DAAHEFCG_00283	K02518
DAAHEFCG_00284	K06287
DAAHEFCG_00289	K05359
DAAHEFCG_00290	K00979
DAAHEFCG_00291	K08738
DAAHEFCG_00292	K01092
DAAHEFCG_00293	K12972
DAAHEFCG_00294	K01255
DAAHEFCG_00295	K03327
DAAHEFCG_00297	K20534
DAAHEFCG_00300	K00057
DAAHEFCG_00301	K01409
DAAHEFCG_00302	K01749
DAAHEFCG_00308	K09569
DAAHEFCG_00309	K02028
DAAHEFCG_00310	K10036
DAAHEFCG_00311	K10016
DAAHEFCG_00312	K10015
DAAHEFCG_00314	K14260
DAAHEFCG_00315	K07240
DAAHEFCG_00316	K00108
DAAHEFCG_00317	K01070
DAAHEFCG_00320	K02032
DAAHEFCG_00321	K02033
DAAHEFCG_00322	K02035
DAAHEFCG_00323	K00240
DAAHEFCG_00326	K00239
DAAHEFCG_00327	K01677
DAAHEFCG_00328	K01678
DAAHEFCG_00330	K18981
DAAHEFCG_00332	K01652
DAAHEFCG_00333	K00042
DAAHEFCG_00334	K03704
DAAHEFCG_00337	K01810
DAAHEFCG_00339	K13247
DAAHEFCG_00340	K00249
DAAHEFCG_00341	K23537
DAAHEFCG_00342	K23535
DAAHEFCG_00343	K23536
DAAHEFCG_00344	K07335
DAAHEFCG_00345	K13481
DAAHEFCG_00346	K13482
DAAHEFCG_00347	K07402
DAAHEFCG_00348	K12960
DAAHEFCG_00349	K06127
DAAHEFCG_00350	K10563
DAAHEFCG_00352	K02968
DAAHEFCG_00353	K02313
DAAHEFCG_00354	K02338
DAAHEFCG_00355	K03629
DAAHEFCG_00356	K02470
DAAHEFCG_00357	K07640
DAAHEFCG_00358	K07714
DAAHEFCG_00359	K10764
DAAHEFCG_00360	K01342
DAAHEFCG_00363	K01895
DAAHEFCG_00365	K01992
DAAHEFCG_00367	K00821
DAAHEFCG_00368	K00611
DAAHEFCG_00369	K04083
DAAHEFCG_00371	K03498
DAAHEFCG_00372	K01495
DAAHEFCG_00373	K01474
DAAHEFCG_00374	K01473
DAAHEFCG_00376	K01999
DAAHEFCG_00377	K11960
DAAHEFCG_00378	K01998
DAAHEFCG_00379	K01995
DAAHEFCG_00380	K06861
DAAHEFCG_00382	K13481
DAAHEFCG_00383	K00087
DAAHEFCG_00387	K00528
DAAHEFCG_00389	K07402
DAAHEFCG_00392	K02433
DAAHEFCG_00396	K00128
DAAHEFCG_00397	K01905
DAAHEFCG_00398	K00248
DAAHEFCG_00414	K01996
DAAHEFCG_00418	K01657
DAAHEFCG_00420	K01803
DAAHEFCG_00422	K01937
DAAHEFCG_00423	K01627
DAAHEFCG_00424	K01689
DAAHEFCG_00425	K02626
DAAHEFCG_00427	K02083
DAAHEFCG_00429	K00161
DAAHEFCG_00430	K00162
DAAHEFCG_00431	K00627
DAAHEFCG_00432	K00382
DAAHEFCG_00433	K03644
DAAHEFCG_00434	K18588
DAAHEFCG_00435	K03742
DAAHEFCG_00436	K01095
DAAHEFCG_00437	K01770
DAAHEFCG_00438	K05540
DAAHEFCG_00439	K07708
DAAHEFCG_00440	K07712
DAAHEFCG_00442	K13599
DAAHEFCG_00443	K03499
DAAHEFCG_00444	K03666
DAAHEFCG_00445	K02499
DAAHEFCG_00447	K03655
DAAHEFCG_00449	K03723
DAAHEFCG_00451	K00826
DAAHEFCG_00452	K03635
DAAHEFCG_00454	K03750
DAAHEFCG_00455	K03753
DAAHEFCG_00456	K00995
DAAHEFCG_00457	K03703
DAAHEFCG_00458	K03702
DAAHEFCG_00459	K00812
DAAHEFCG_00460	K07147
DAAHEFCG_00462	K03719
DAAHEFCG_00463	K03624
DAAHEFCG_00464	K01955
DAAHEFCG_00465	K01956
DAAHEFCG_00466	K09117
DAAHEFCG_00467	K02316
DAAHEFCG_00468	K03086
DAAHEFCG_00470	K01473
DAAHEFCG_00471	K22314
DAAHEFCG_00480	K02523
DAAHEFCG_00483	K04773
DAAHEFCG_00485	K01878
DAAHEFCG_00486	K07152
DAAHEFCG_00488	K06890
DAAHEFCG_00489	K06941
DAAHEFCG_00492	K01724
DAAHEFCG_00493	K01940
DAAHEFCG_00495	K04564
DAAHEFCG_00496	K00135
DAAHEFCG_00497	K00760
DAAHEFCG_00500	K03596
DAAHEFCG_00505	K00335
DAAHEFCG_00506	K00123
DAAHEFCG_00507	K07110
DAAHEFCG_00509	K01902
DAAHEFCG_00510	K01903
DAAHEFCG_00511	K01577
DAAHEFCG_00512	K07749
DAAHEFCG_00513	K00289
DAAHEFCG_00514	K01938
DAAHEFCG_00520	K08351
DAAHEFCG_00521	K00794
DAAHEFCG_00522	K00020
DAAHEFCG_00525	K00383
DAAHEFCG_00526	K01626
DAAHEFCG_00527	K00763
DAAHEFCG_00528	K01916
DAAHEFCG_00529	K01885
DAAHEFCG_00530	K01883
DAAHEFCG_00531	K01649
DAAHEFCG_00532	K02533
DAAHEFCG_00533	K02986
DAAHEFCG_00535	K07390
DAAHEFCG_00537	K23269
DAAHEFCG_00538	K23265
DAAHEFCG_00539	K23264
DAAHEFCG_00540	K01923
DAAHEFCG_00541	K01756
DAAHEFCG_00544	K01265
DAAHEFCG_00545	K06206
DAAHEFCG_00546	K03531
DAAHEFCG_00547	K03590
DAAHEFCG_00549	K01921
DAAHEFCG_00550	K00075
DAAHEFCG_00551	K01924
DAAHEFCG_00552	K02563
DAAHEFCG_00553	K03588
DAAHEFCG_00554	K01925
DAAHEFCG_00555	K01000
DAAHEFCG_00556	K01929
DAAHEFCG_00557	K01928
DAAHEFCG_00558	K03587
DAAHEFCG_00560	K03438
DAAHEFCG_00562	K15738
DAAHEFCG_00563	K05801
DAAHEFCG_00566	K00655
DAAHEFCG_00567	K09966
DAAHEFCG_00573	K03704
DAAHEFCG_00583	K08738
DAAHEFCG_00584	K00773
DAAHEFCG_00585	K07568
DAAHEFCG_00586	K06041
DAAHEFCG_00587	K03752
DAAHEFCG_00588	K02379
DAAHEFCG_00589	K00858
DAAHEFCG_00591	K06147
DAAHEFCG_00592	K13628
DAAHEFCG_00594	K11717
DAAHEFCG_00595	K09015
DAAHEFCG_00596	K09013
DAAHEFCG_00597	K09014
DAAHEFCG_00600	K02911
DAAHEFCG_00602	K00259
DAAHEFCG_00603	K03719
DAAHEFCG_00605	K22443
DAAHEFCG_00610	K07043
DAAHEFCG_00615	K15461
DAAHEFCG_00618	K18166
DAAHEFCG_00619	K01754
DAAHEFCG_00620	K09471
DAAHEFCG_00621	K00252
DAAHEFCG_00629	K02012
DAAHEFCG_00630	K01644
DAAHEFCG_00631	K11529
DAAHEFCG_00632	K09796
DAAHEFCG_00633	K09457
DAAHEFCG_00634	K01754
DAAHEFCG_00635	K01714
DAAHEFCG_00636	K03664
DAAHEFCG_00637	K21929
DAAHEFCG_00639	K00950
DAAHEFCG_00640	K03060
DAAHEFCG_00641	K01139
DAAHEFCG_00642	K03474
DAAHEFCG_00644	K03100
DAAHEFCG_00645	K03685
DAAHEFCG_00646	K03595
DAAHEFCG_00648	K02621
DAAHEFCG_00649	K00685
DAAHEFCG_00650	K01754
DAAHEFCG_00651	K01698
DAAHEFCG_00652	K05605
DAAHEFCG_00653	K01881
DAAHEFCG_00654	K09808
DAAHEFCG_00655	K09810
DAAHEFCG_00656	K02337
DAAHEFCG_00657	K02967
DAAHEFCG_00658	K02357
DAAHEFCG_00659	K09903
DAAHEFCG_00660	K02838
DAAHEFCG_00661	K00806
DAAHEFCG_00662	K00981
DAAHEFCG_00663	K00099
DAAHEFCG_00664	K11749
DAAHEFCG_00665	K07277
DAAHEFCG_00667	K02536
DAAHEFCG_00668	K02372
DAAHEFCG_00669	K00677
DAAHEFCG_00670	K09949
DAAHEFCG_00671	K00748
DAAHEFCG_00672	K01647
DAAHEFCG_00673	K01885
DAAHEFCG_00674	K02238
DAAHEFCG_00675	K01356
DAAHEFCG_00676	K03750
DAAHEFCG_00677	K03637
DAAHEFCG_00678	K01609
DAAHEFCG_00679	K00766
DAAHEFCG_00680	K01658
DAAHEFCG_00681	K02871
DAAHEFCG_00682	K02996
DAAHEFCG_00684	K00003
DAAHEFCG_00685	K07462
DAAHEFCG_00687	K06876
DAAHEFCG_00688	K00645
DAAHEFCG_00689	K00059
DAAHEFCG_00690	K02078
DAAHEFCG_00691	K09458
DAAHEFCG_00692	K07082
DAAHEFCG_00693	K00942
DAAHEFCG_00694	K02528
DAAHEFCG_00695	K00097
DAAHEFCG_00698	K03555
DAAHEFCG_00699	K00990
DAAHEFCG_00700	K03980
DAAHEFCG_00701	K01867
DAAHEFCG_00702	K22074
DAAHEFCG_00703	K03796
DAAHEFCG_00705	K14742
DAAHEFCG_00707	K06168
DAAHEFCG_00708	K06217
DAAHEFCG_00709	K07042
DAAHEFCG_00711	K03820
DAAHEFCG_00712	K00789
DAAHEFCG_00713	K03439
DAAHEFCG_00714	K09748
DAAHEFCG_00715	K02600
DAAHEFCG_00717	K02519
DAAHEFCG_00719	K03177
DAAHEFCG_00720	K02956
DAAHEFCG_00721	K00962
DAAHEFCG_00722	K03722
DAAHEFCG_00723	K04566
DAAHEFCG_00724	K00254
DAAHEFCG_00726	K02902
DAAHEFCG_00733	K01735
DAAHEFCG_00734	K00891
DAAHEFCG_00736	K04763
DAAHEFCG_00737	K01962
DAAHEFCG_00738	K11206
DAAHEFCG_00740	K18162
DAAHEFCG_00741	K03574
DAAHEFCG_00742	K00620
DAAHEFCG_00743	K01802
DAAHEFCG_00744	K03070
DAAHEFCG_00746	K11924
DAAHEFCG_00749	K01591
DAAHEFCG_00751	K00384
DAAHEFCG_00752	K01907
DAAHEFCG_00754	K00643
DAAHEFCG_00755	K11070
DAAHEFCG_00756	K11071
DAAHEFCG_00758	K11072
DAAHEFCG_00760	K01480
DAAHEFCG_00761	K11003
DAAHEFCG_00762	K00613
DAAHEFCG_00764	K00857
DAAHEFCG_00765	K00128
DAAHEFCG_00769	K03695
DAAHEFCG_00771	K02011
DAAHEFCG_00772	K03711
DAAHEFCG_00774	K18166
DAAHEFCG_00784	K17725
DAAHEFCG_00785	K02535
DAAHEFCG_00786	K05807
DAAHEFCG_00787	K03631
DAAHEFCG_00788	K01972
DAAHEFCG_00789	K01262
DAAHEFCG_00790	K02687
DAAHEFCG_00791	K03657
DAAHEFCG_00792	K04754
DAAHEFCG_00794	K06020
DAAHEFCG_00797	K06180
DAAHEFCG_00798	K03089
DAAHEFCG_00800	K01939
DAAHEFCG_00801	K02502
DAAHEFCG_00802	K03431
DAAHEFCG_00803	K00796
DAAHEFCG_00804	K03798
DAAHEFCG_00805	K04075
DAAHEFCG_00807	K03640
DAAHEFCG_00808	K03641
DAAHEFCG_00810	K03560
DAAHEFCG_00811	K03562
DAAHEFCG_00812	K07107
DAAHEFCG_00813	K03551
DAAHEFCG_00814	K03550
DAAHEFCG_00815	K01159
DAAHEFCG_00817	K09769
DAAHEFCG_00818	K01934
DAAHEFCG_00821	K11645
DAAHEFCG_00822	K02356
DAAHEFCG_00823	K01092
DAAHEFCG_00825	K02557
DAAHEFCG_00827	K11085
DAAHEFCG_00828	K02909
DAAHEFCG_00829	K04080
DAAHEFCG_00830	K01006
DAAHEFCG_00831	K01879
DAAHEFCG_00832	K01255
DAAHEFCG_00834	K00940
DAAHEFCG_00836	K11175
DAAHEFCG_00837	K01933
DAAHEFCG_00840	K00059
DAAHEFCG_00842	K00477
DAAHEFCG_00843	K01783
DAAHEFCG_00844	K00937
DAAHEFCG_00845	K01524
DAAHEFCG_00846	K03684
DAAHEFCG_00848	K02346
DAAHEFCG_00849	K00847
DAAHEFCG_00850	K02913
DAAHEFCG_00851	K12573
DAAHEFCG_00852	K03168
DAAHEFCG_00853	K04096
DAAHEFCG_00854	K08591
DAAHEFCG_00855	K01465
DAAHEFCG_00856	K00609
DAAHEFCG_00857	K07447
DAAHEFCG_00858	K02435
DAAHEFCG_00859	K02433
DAAHEFCG_00860	K02434
DAAHEFCG_00865	K05884
DAAHEFCG_00868	K00315
DAAHEFCG_00871	K00315
DAAHEFCG_00872	K00275
DAAHEFCG_00874	K00208
DAAHEFCG_00875	K01736
DAAHEFCG_00876	K06442
DAAHEFCG_00877	K01662
DAAHEFCG_00878	K00795
DAAHEFCG_00881	K01259
DAAHEFCG_00882	K03086
DAAHEFCG_00883	K07736
DAAHEFCG_00884	K05524
DAAHEFCG_00885	K04762
DAAHEFCG_00886	K17675
DAAHEFCG_00888	K00566
DAAHEFCG_00889	K22071
DAAHEFCG_00890	K04487
DAAHEFCG_00891	K00640
DAAHEFCG_00892	K07018
DAAHEFCG_00893	K01866
DAAHEFCG_00895	K03564
DAAHEFCG_00896	K02836
DAAHEFCG_00897	K05366
DAAHEFCG_00898	K01448
DAAHEFCG_00899	K08300
DAAHEFCG_00903	K03786
DAAHEFCG_00904	K02160
DAAHEFCG_00905	K01961
DAAHEFCG_00906	K00684
DAAHEFCG_00909	K11352
DAAHEFCG_00910	K00525
DAAHEFCG_00912	K09919
DAAHEFCG_00913	K03694
DAAHEFCG_00914	K06891
DAAHEFCG_00916	K07258
DAAHEFCG_00917	K03503
DAAHEFCG_00918	K03502
DAAHEFCG_00919	K21604
DAAHEFCG_00924	K00873
DAAHEFCG_00926	K03768
DAAHEFCG_00928	K00315
DAAHEFCG_00929	K17509
DAAHEFCG_00931	K21309
DAAHEFCG_00932	K21308
DAAHEFCG_00933	K21307
DAAHEFCG_00934	K00625
DAAHEFCG_00938	K02049
DAAHEFCG_00939	K15552
DAAHEFCG_00940	K00059
DAAHEFCG_00941	K00224
DAAHEFCG_00945	K02031
DAAHEFCG_00946	K02034
DAAHEFCG_00947	K02033
DAAHEFCG_00950	K00215
DAAHEFCG_00951	K03686
DAAHEFCG_00952	K04043
DAAHEFCG_00954	K03705
DAAHEFCG_00955	K00989
DAAHEFCG_00956	K02428
DAAHEFCG_00959	K07056
DAAHEFCG_00962	K01920
DAAHEFCG_00963	K07391
DAAHEFCG_00964	K02503
DAAHEFCG_00966	K02500
DAAHEFCG_00967	K01814
DAAHEFCG_00969	K02501
DAAHEFCG_00970	K01693
DAAHEFCG_00976	K02342
DAAHEFCG_00977	K00859
DAAHEFCG_00979	K09773
DAAHEFCG_00980	K01599
DAAHEFCG_00981	K08973
DAAHEFCG_00982	K03628
DAAHEFCG_00983	K00567
DAAHEFCG_00984	K03650
DAAHEFCG_00985	K03495
DAAHEFCG_00986	K03501
DAAHEFCG_00987	K03496
DAAHEFCG_00988	K03497
DAAHEFCG_00991	K01869
DAAHEFCG_00995	K01772
DAAHEFCG_00997	K02483
DAAHEFCG_00998	K06204
DAAHEFCG_01000	K03553
DAAHEFCG_01001	K01872
DAAHEFCG_01002	K00031
DAAHEFCG_01003	K22522
DAAHEFCG_01006	K07305
DAAHEFCG_01007	K07160
DAAHEFCG_01008	K23123
DAAHEFCG_01009	K06350
DAAHEFCG_01010	K00014
DAAHEFCG_01012	K01256
DAAHEFCG_01013	K05592
DAAHEFCG_01015	K02622
DAAHEFCG_01016	K01915
DAAHEFCG_01017	K04751
DAAHEFCG_01018	K00812
DAAHEFCG_01020	K03545
DAAHEFCG_01021	K01358
DAAHEFCG_01022	K03544
DAAHEFCG_01023	K01338
DAAHEFCG_01024	K03530
DAAHEFCG_01027	K05929
DAAHEFCG_01030	K03320
DAAHEFCG_01034	K05569
DAAHEFCG_01037	K05566
DAAHEFCG_01038	K05566
DAAHEFCG_01039	K05567
DAAHEFCG_01040	K05568
DAAHEFCG_01041	K00674
DAAHEFCG_01042	K07025
DAAHEFCG_01043	K00930
DAAHEFCG_01044	K03978
DAAHEFCG_01045	K03217
DAAHEFCG_01046	K08998
DAAHEFCG_01048	K02914
DAAHEFCG_01049	K07710
DAAHEFCG_01050	K00769
DAAHEFCG_01052	K00121
DAAHEFCG_01054	K19745
DAAHEFCG_01055	K00605
DAAHEFCG_01056	K01740
DAAHEFCG_01059	K00134
DAAHEFCG_01060	K00615
DAAHEFCG_01061	K03841
DAAHEFCG_01063	K01610
DAAHEFCG_01065	K01480
DAAHEFCG_01066	K00149
DAAHEFCG_01068	K18703
DAAHEFCG_01070	K13421
DAAHEFCG_01071	K01465
DAAHEFCG_01072	K01652
DAAHEFCG_01073	K00059
DAAHEFCG_01076	K00574
DAAHEFCG_01077	K01915
DAAHEFCG_01079	K00202
DAAHEFCG_01080	K00820
DAAHEFCG_01083	K01913
DAAHEFCG_01084	K07516
DAAHEFCG_01086	K01008
DAAHEFCG_01087	K06917
DAAHEFCG_01091	K03271
DAAHEFCG_01092	K00012
DAAHEFCG_01095	K01082
DAAHEFCG_01096	K02549
DAAHEFCG_01097	K00108
DAAHEFCG_01098	K04771
DAAHEFCG_01104	K05592
DAAHEFCG_01105	K11188
DAAHEFCG_01106	K19997
DAAHEFCG_01107	K07652
DAAHEFCG_01108	K07658
DAAHEFCG_01110	K02335
DAAHEFCG_01112	K12251
DAAHEFCG_01113	K01474
DAAHEFCG_01114	K01473
DAAHEFCG_01116	K05894
DAAHEFCG_01118	K07160
DAAHEFCG_01120	K01961
DAAHEFCG_01121	K06351
DAAHEFCG_01122	K06350
DAAHEFCG_01125	K11072
DAAHEFCG_01126	K11071
DAAHEFCG_01127	K11070
DAAHEFCG_01128	K00059
DAAHEFCG_01129	K00059
DAAHEFCG_01131	K11072
DAAHEFCG_01132	K02433
DAAHEFCG_01133	K01473
DAAHEFCG_01134	K01474
DAAHEFCG_01135	K01474
DAAHEFCG_01136	K01473
DAAHEFCG_01137	K03943
DAAHEFCG_01138	K00335
DAAHEFCG_01139	K00336
DAAHEFCG_01140	K00337
DAAHEFCG_01141	K00338
DAAHEFCG_01142	K00339
DAAHEFCG_01143	K00340
DAAHEFCG_01144	K00341
DAAHEFCG_01145	K00342
DAAHEFCG_01146	K00343
DAAHEFCG_01147	K03524
DAAHEFCG_01148	K03525
DAAHEFCG_01149	K12574
DAAHEFCG_01150	K05606
DAAHEFCG_01152	K01808
DAAHEFCG_01153	K00600
DAAHEFCG_01154	K07738
DAAHEFCG_01160	K02392
DAAHEFCG_01162	K02405
DAAHEFCG_01163	K04562
DAAHEFCG_01165	K02400
DAAHEFCG_01170	K16871
DAAHEFCG_01173	K00573
DAAHEFCG_01174	K12340
DAAHEFCG_01176	K01873
DAAHEFCG_01177	K01687
DAAHEFCG_01178	K01142
DAAHEFCG_01179	K22072
DAAHEFCG_01180	K01129
DAAHEFCG_01181	K01887
DAAHEFCG_01183	K05896
DAAHEFCG_01184	K06024
DAAHEFCG_01185	K11072
DAAHEFCG_01188	K03118
DAAHEFCG_01189	K01875
DAAHEFCG_01190	K03787
DAAHEFCG_01191	K00573
DAAHEFCG_01192	K12943
DAAHEFCG_01193	K06923
DAAHEFCG_01194	K03210
DAAHEFCG_01195	K03072
DAAHEFCG_01196	K03074
DAAHEFCG_01198	K09005
DAAHEFCG_01205	K05779
DAAHEFCG_01206	K05777
DAAHEFCG_01210	K06187
DAAHEFCG_01211	K09760
DAAHEFCG_01212	K01995
DAAHEFCG_01213	K01998
DAAHEFCG_01214	K01997
DAAHEFCG_01217	K00681
DAAHEFCG_01220	K00020
DAAHEFCG_01226	K04764
DAAHEFCG_01227	K00648
DAAHEFCG_01228	K03621
DAAHEFCG_01232	K23025
DAAHEFCG_01234	K14652
DAAHEFCG_01235	K00793
DAAHEFCG_01236	K11752
DAAHEFCG_01241	K01738
DAAHEFCG_01242	K01011
DAAHEFCG_01243	K01760
DAAHEFCG_01245	K00108
DAAHEFCG_01255	K00800
DAAHEFCG_01256	K00945
DAAHEFCG_01257	K02945
DAAHEFCG_01258	K05788
DAAHEFCG_01260	K01817
DAAHEFCG_01261	K01696
DAAHEFCG_01262	K01695
DAAHEFCG_01263	K01963
DAAHEFCG_01264	K11754
DAAHEFCG_01265	K03671
DAAHEFCG_01266	K16898
DAAHEFCG_01267	K16899
DAAHEFCG_01269	K03296
DAAHEFCG_01271	K09967
DAAHEFCG_01277	K01823
DAAHEFCG_01280	K02291
DAAHEFCG_01281	K10027
DAAHEFCG_01282	K13787
DAAHEFCG_01285	K11450
DAAHEFCG_01287	K16871
DAAHEFCG_01288	K15268
DAAHEFCG_01290	K03639
DAAHEFCG_01293	K01557
DAAHEFCG_01299	K09815
DAAHEFCG_01300	K09817
DAAHEFCG_01301	K09816
DAAHEFCG_01307	K01273
DAAHEFCG_01311	K00761
DAAHEFCG_01312	K01996
DAAHEFCG_01313	K06861
DAAHEFCG_01314	K01998
DAAHEFCG_01315	K01997
DAAHEFCG_01317	K00104
DAAHEFCG_01318	K11472
DAAHEFCG_01319	K02000
DAAHEFCG_01320	K02001
DAAHEFCG_01322	K09471
DAAHEFCG_01328	K07126
DAAHEFCG_01332	K17509
DAAHEFCG_01334	K00315
DAAHEFCG_01339	K12368
DAAHEFCG_01340	K00820
DAAHEFCG_01343	K06338
DAAHEFCG_01344	K02843
DAAHEFCG_01346	K18204
DAAHEFCG_01347	K07566
DAAHEFCG_01348	K01082
DAAHEFCG_01350	K01247
DAAHEFCG_01352	K07146
DAAHEFCG_01357	K03977
DAAHEFCG_01358	K00059
DAAHEFCG_01359	K00764
DAAHEFCG_01361	K04485
DAAHEFCG_01362	K02065
DAAHEFCG_01363	K02066
DAAHEFCG_01364	K01775
DAAHEFCG_01365	K02314
DAAHEFCG_01366	K02939
DAAHEFCG_01367	K02963
DAAHEFCG_01368	K02990
DAAHEFCG_01369	K01714
DAAHEFCG_01370	K00330
DAAHEFCG_01371	K00331
DAAHEFCG_01372	K00147
DAAHEFCG_01373	K00969
DAAHEFCG_01374	K09710
DAAHEFCG_01375	K00783
DAAHEFCG_01376	K15633
DAAHEFCG_01377	K03797
DAAHEFCG_01378	K08311
DAAHEFCG_01380	K02112
DAAHEFCG_01381	K02115
DAAHEFCG_01382	K02111
DAAHEFCG_01383	K02137
DAAHEFCG_01384	K04066
DAAHEFCG_01385	K00616
DAAHEFCG_01387	K07714
DAAHEFCG_01389	K02409
DAAHEFCG_01390	K02410
DAAHEFCG_01392	K02412
