HPLBOGDP_00001	K02909
HPLBOGDP_00409	K02419
HPLBOGDP_00411	K02417
HPLBOGDP_00412	K02416
HPLBOGDP_00416	K02412
HPLBOGDP_00418	K02410
HPLBOGDP_00419	K02409
HPLBOGDP_00420	K06199
HPLBOGDP_00421	K07478
HPLBOGDP_00423	K03466
HPLBOGDP_00425	K00384
HPLBOGDP_00426	K00684
HPLBOGDP_00427	K00685
HPLBOGDP_00428	K02518
HPLBOGDP_00429	K03694
HPLBOGDP_00430	K06891
HPLBOGDP_00431	K06181
HPLBOGDP_00432	K03635
HPLBOGDP_00434	K03637
HPLBOGDP_00435	K12152
HPLBOGDP_00436	K00566
HPLBOGDP_00438	K01756
HPLBOGDP_00439	K02348
HPLBOGDP_00440	K07053
HPLBOGDP_00443	K02553
HPLBOGDP_00444	K01659
HPLBOGDP_00445	K03417
HPLBOGDP_00447	K00390
HPLBOGDP_00448	K13634
HPLBOGDP_00449	K01081
HPLBOGDP_00453	K01091
HPLBOGDP_00454	K00833
HPLBOGDP_00456	K00651
HPLBOGDP_00458	K00059
HPLBOGDP_00460	K06147
HPLBOGDP_00466	K06949
HPLBOGDP_00469	K03559
HPLBOGDP_00471	K03561
HPLBOGDP_00475	K01061
HPLBOGDP_00476	K06972
HPLBOGDP_00477	K03310
HPLBOGDP_00479	K00383
HPLBOGDP_00482	K08997
HPLBOGDP_00484	K01652
HPLBOGDP_00488	K01556
HPLBOGDP_00489	K07068
HPLBOGDP_00492	K03929
HPLBOGDP_00493	K03119
HPLBOGDP_00495	K05587
HPLBOGDP_00496	K00123
HPLBOGDP_00497	K02379
HPLBOGDP_00499	K01938
HPLBOGDP_00506	K15631
HPLBOGDP_00507	K00248
HPLBOGDP_00508	K03799
HPLBOGDP_00509	K03308
HPLBOGDP_00510	K03292
HPLBOGDP_00511	K03796
HPLBOGDP_00512	K22303
HPLBOGDP_00513	K00053
HPLBOGDP_00514	K05776
HPLBOGDP_00515	K12405
HPLBOGDP_00517	K00111
HPLBOGDP_00525	K11209
HPLBOGDP_00528	K06153
HPLBOGDP_00530	K18622
HPLBOGDP_00537	K12663
HPLBOGDP_00538	K18688
HPLBOGDP_00539	K02356
HPLBOGDP_00540	K09954
HPLBOGDP_00543	K03296
HPLBOGDP_00547	K02488
HPLBOGDP_00548	K06876
HPLBOGDP_00555	K07516
HPLBOGDP_00557	K03119
HPLBOGDP_00559	K03767
HPLBOGDP_00560	K00059
HPLBOGDP_00565	K00052
HPLBOGDP_00566	K03119
HPLBOGDP_00567	K01593
HPLBOGDP_00573	K00059
HPLBOGDP_00574	K11927
HPLBOGDP_00577	K11162
HPLBOGDP_00579	K08764
HPLBOGDP_00584	K11249
HPLBOGDP_00586	K02529
HPLBOGDP_00588	K00616
HPLBOGDP_00590	K03759
HPLBOGDP_00597	K00074
HPLBOGDP_00600	K22303
HPLBOGDP_00601	K09858
HPLBOGDP_00602	K00799
HPLBOGDP_00611	K01438
HPLBOGDP_00614	K04083
HPLBOGDP_00616	K23016
HPLBOGDP_00624	K07053
HPLBOGDP_00630	K22820
HPLBOGDP_00633	K22077
HPLBOGDP_00636	K17828
HPLBOGDP_00637	K03315
HPLBOGDP_00639	K05349
HPLBOGDP_00642	K00274
HPLBOGDP_00648	K00826
HPLBOGDP_00652	K03520
HPLBOGDP_00653	K03518
HPLBOGDP_00654	K13479
HPLBOGDP_00655	K03929
HPLBOGDP_00657	K11104
HPLBOGDP_00659	K01408
HPLBOGDP_00660	K00359
HPLBOGDP_00661	K00873
HPLBOGDP_00662	K11085
HPLBOGDP_00663	K00075
HPLBOGDP_00664	K08300
HPLBOGDP_00665	K06179
HPLBOGDP_00668	K02911
HPLBOGDP_00669	K00645
HPLBOGDP_00670	K00059
HPLBOGDP_00671	K02078
HPLBOGDP_00672	K09458
HPLBOGDP_00673	K07082
HPLBOGDP_00674	K00943
HPLBOGDP_00675	K02341
HPLBOGDP_00677	K07395
HPLBOGDP_00683	K13479
HPLBOGDP_00684	K03518
HPLBOGDP_00685	K03520
HPLBOGDP_00687	K00849
HPLBOGDP_00689	K00677
HPLBOGDP_00690	K01716
HPLBOGDP_00691	K00647
HPLBOGDP_00692	K02483
HPLBOGDP_00693	K07636
HPLBOGDP_00695	K15363
HPLBOGDP_00698	K17623
HPLBOGDP_00699	K01929
HPLBOGDP_00701	K03639
HPLBOGDP_00702	K00249
HPLBOGDP_00704	K01759
HPLBOGDP_00707	K00411
HPLBOGDP_00709	K03310
HPLBOGDP_00710	K01872
HPLBOGDP_00711	K00059
HPLBOGDP_00713	K03790
HPLBOGDP_00714	K01000
HPLBOGDP_00715	K13566
HPLBOGDP_00716	K14287
HPLBOGDP_00717	K00228
HPLBOGDP_00718	K00249
HPLBOGDP_00722	K00248
HPLBOGDP_00723	K06917
HPLBOGDP_00724	K00957
HPLBOGDP_00725	K11159
HPLBOGDP_00730	K00249
HPLBOGDP_00732	K02556
HPLBOGDP_00733	K02557
HPLBOGDP_00736	K05591
HPLBOGDP_00742	K00465
HPLBOGDP_00743	K00285
HPLBOGDP_00745	K18850
HPLBOGDP_00746	K23138
HPLBOGDP_00748	K00076
HPLBOGDP_00749	K00626
HPLBOGDP_00751	K17879
HPLBOGDP_00754	K00046
HPLBOGDP_00757	K03796
HPLBOGDP_00760	K13355
HPLBOGDP_00761	K03701
HPLBOGDP_00762	K03742
HPLBOGDP_00765	K05844
HPLBOGDP_00768	K01136
HPLBOGDP_00772	K07098
HPLBOGDP_00774	K22368
HPLBOGDP_00775	K11751
HPLBOGDP_00777	K06180
HPLBOGDP_00779	K00031
HPLBOGDP_00780	K06956
HPLBOGDP_00783	K03317
HPLBOGDP_00785	K15257
HPLBOGDP_00786	K15256
HPLBOGDP_00788	K07511
HPLBOGDP_00789	K00128
HPLBOGDP_00793	K00887
HPLBOGDP_00795	K03599
HPLBOGDP_00797	K12343
HPLBOGDP_00800	K00477
HPLBOGDP_00805	K13444
HPLBOGDP_00811	K04851
HPLBOGDP_00812	K15977
HPLBOGDP_00815	K05786
HPLBOGDP_00817	K03292
HPLBOGDP_00818	K00666
HPLBOGDP_00820	K10805
HPLBOGDP_00824	K03417
HPLBOGDP_00825	K00344
HPLBOGDP_00826	K01253
HPLBOGDP_00833	K07146
HPLBOGDP_00836	K11729
HPLBOGDP_00837	K00344
HPLBOGDP_00838	K01796
HPLBOGDP_00839	K01897
HPLBOGDP_00845	K00605
HPLBOGDP_00855	K00059
HPLBOGDP_00857	K03704
HPLBOGDP_00859	K00249
HPLBOGDP_00860	K11147
HPLBOGDP_00862	K12119
HPLBOGDP_00865	K01495
HPLBOGDP_00867	K03088
HPLBOGDP_00873	K03775
HPLBOGDP_00874	K03292
HPLBOGDP_00875	K01338
HPLBOGDP_00878	K23138
HPLBOGDP_00880	K21119
HPLBOGDP_00882	K02226
HPLBOGDP_00886	K02358
HPLBOGDP_00887	K02946
HPLBOGDP_00888	K02906
HPLBOGDP_00889	K02926
HPLBOGDP_00890	K02892
HPLBOGDP_00891	K02886
HPLBOGDP_00892	K02965
HPLBOGDP_00893	K02890
HPLBOGDP_00894	K02982
HPLBOGDP_00895	K02878
HPLBOGDP_00896	K02904
HPLBOGDP_00897	K02961
HPLBOGDP_00898	K02874
HPLBOGDP_00899	K02895
HPLBOGDP_00900	K02931
HPLBOGDP_00901	K02954
HPLBOGDP_00902	K02994
HPLBOGDP_00903	K02933
HPLBOGDP_00904	K02881
HPLBOGDP_00905	K02988
HPLBOGDP_00906	K02907
HPLBOGDP_00907	K02876
HPLBOGDP_00908	K03076
HPLBOGDP_00909	K02952
HPLBOGDP_00910	K02948
HPLBOGDP_00911	K02986
HPLBOGDP_00912	K03040
HPLBOGDP_00913	K02879
HPLBOGDP_00914	K00839
HPLBOGDP_00915	K03701
HPLBOGDP_00917	K03111
HPLBOGDP_00919	K00147
HPLBOGDP_00920	K00969
HPLBOGDP_00921	K09710
HPLBOGDP_00922	K00783
HPLBOGDP_00923	K05515
HPLBOGDP_00924	K05837
HPLBOGDP_00925	K08305
HPLBOGDP_00926	K03642
HPLBOGDP_00927	K07258
HPLBOGDP_00929	K03801
HPLBOGDP_00930	K03644
HPLBOGDP_00931	K03148
HPLBOGDP_00932	K02493
HPLBOGDP_00933	K02835
HPLBOGDP_00934	K02492
HPLBOGDP_00937	K00919
HPLBOGDP_00939	K23138
HPLBOGDP_00940	K00253
HPLBOGDP_00943	K15866
HPLBOGDP_00944	K00784
HPLBOGDP_00945	K00120
HPLBOGDP_00946	K05708
HPLBOGDP_00951	K07023
HPLBOGDP_00953	K03976
HPLBOGDP_00954	K08676
HPLBOGDP_00955	K01920
HPLBOGDP_00957	K07735
HPLBOGDP_00958	K07447
HPLBOGDP_00959	K02669
HPLBOGDP_00960	K06997
HPLBOGDP_00961	K00286
HPLBOGDP_00964	K02428
HPLBOGDP_00966	K03439
HPLBOGDP_00968	K03089
HPLBOGDP_00969	K09811
HPLBOGDP_00970	K09812
HPLBOGDP_00971	K03110
HPLBOGDP_00972	K08316
HPLBOGDP_00973	K00954
HPLBOGDP_00974	K10563
HPLBOGDP_00975	K01473
HPLBOGDP_00976	K02913
HPLBOGDP_00977	K02902
HPLBOGDP_00978	K13038
HPLBOGDP_00979	K01520
HPLBOGDP_00980	K00930
HPLBOGDP_00981	K05501
HPLBOGDP_00982	K00762
HPLBOGDP_00983	K00989
HPLBOGDP_00985	K00942
HPLBOGDP_00986	K03060
HPLBOGDP_00987	K01139
HPLBOGDP_00988	K09022
HPLBOGDP_00989	K03655
HPLBOGDP_00990	K11102
HPLBOGDP_00992	K03179
HPLBOGDP_00996	K03657
HPLBOGDP_01002	K18880
HPLBOGDP_01003	K11538
HPLBOGDP_01004	K01715
HPLBOGDP_01005	K05605
HPLBOGDP_01006	K00020
HPLBOGDP_01009	K11163
HPLBOGDP_01011	K00382
HPLBOGDP_01012	K00627
HPLBOGDP_01014	K00162
HPLBOGDP_01015	K00161
HPLBOGDP_01019	K00059
HPLBOGDP_01020	K00059
HPLBOGDP_01025	K00979
HPLBOGDP_01027	K11085
HPLBOGDP_01029	K03561
HPLBOGDP_01030	K01796
HPLBOGDP_01039	K01240
HPLBOGDP_01042	K12960
HPLBOGDP_01043	K09017
HPLBOGDP_01044	K13481
HPLBOGDP_01045	K13482
HPLBOGDP_01046	K07402
HPLBOGDP_01047	K13484
HPLBOGDP_01048	K07127
HPLBOGDP_01049	K01487
HPLBOGDP_01051	K07101
HPLBOGDP_01052	K06901
HPLBOGDP_01053	K16345
HPLBOGDP_01055	K01488
HPLBOGDP_01058	K01488
HPLBOGDP_01060	K01483
HPLBOGDP_01065	K11928
HPLBOGDP_01069	K01692
HPLBOGDP_01070	K18702
HPLBOGDP_01071	K01692
HPLBOGDP_01073	K22443
HPLBOGDP_01074	K00945
HPLBOGDP_01075	K02945
HPLBOGDP_01076	K05788
HPLBOGDP_01079	K19804
HPLBOGDP_01084	K01868
HPLBOGDP_01085	K02520
HPLBOGDP_01086	K02916
HPLBOGDP_01087	K01563
HPLBOGDP_01089	K22443
HPLBOGDP_01090	K06147
HPLBOGDP_01091	K18880
HPLBOGDP_01093	K03929
HPLBOGDP_01094	K18586
HPLBOGDP_01103	K18702
HPLBOGDP_01105	K11751
HPLBOGDP_01111	K05592
HPLBOGDP_01112	K00604
HPLBOGDP_01114	K00359
HPLBOGDP_01116	K11729
HPLBOGDP_01120	K01061
HPLBOGDP_01123	K00059
HPLBOGDP_01124	K03086
HPLBOGDP_01125	K02316
HPLBOGDP_01126	K09117
HPLBOGDP_01127	K01409
HPLBOGDP_01129	K04739
HPLBOGDP_01132	K07397
HPLBOGDP_01133	K01609
HPLBOGDP_01134	K00766
HPLBOGDP_01135	K01658
HPLBOGDP_01136	K01657
HPLBOGDP_01137	K01783
HPLBOGDP_01138	K00992
HPLBOGDP_01139	K07102
HPLBOGDP_01141	K03771
HPLBOGDP_01142	K00097
HPLBOGDP_01143	K02528
HPLBOGDP_01144	K01525
HPLBOGDP_01145	K00974
HPLBOGDP_01146	K00059
HPLBOGDP_01147	K01945
HPLBOGDP_01148	K00602
HPLBOGDP_01150	K05540
HPLBOGDP_01152	K02687
HPLBOGDP_01153	K03786
HPLBOGDP_01154	K04084
HPLBOGDP_01157	K15987
HPLBOGDP_01159	K21071
HPLBOGDP_01167	K14026
HPLBOGDP_01168	K14026
HPLBOGDP_01170	K18703
HPLBOGDP_01175	K00069
HPLBOGDP_01176	K03704
HPLBOGDP_01178	K03113
HPLBOGDP_01179	K01011
HPLBOGDP_01180	K15461
HPLBOGDP_01181	K00058
HPLBOGDP_01184	K01990
HPLBOGDP_01185	K07979
HPLBOGDP_01186	K12941
HPLBOGDP_01187	K02563
HPLBOGDP_01192	K01494
HPLBOGDP_01193	K03593
HPLBOGDP_01194	K01874
HPLBOGDP_01195	K03617
HPLBOGDP_01196	K03616
HPLBOGDP_01197	K03614
HPLBOGDP_01198	K03612
HPLBOGDP_01199	K03613
HPLBOGDP_01200	K10773
HPLBOGDP_01201	K01940
HPLBOGDP_01202	K01465
HPLBOGDP_01203	K03683
HPLBOGDP_01204	K07390
HPLBOGDP_01205	K01474
HPLBOGDP_01206	K00821
HPLBOGDP_01207	K00864
HPLBOGDP_01208	K12373
HPLBOGDP_01209	K00626
HPLBOGDP_01212	K00249
HPLBOGDP_01214	K07637
HPLBOGDP_01215	K07660
HPLBOGDP_01218	K15918
HPLBOGDP_01219	K03722
HPLBOGDP_01223	K01972
HPLBOGDP_01225	K03529
HPLBOGDP_01227	K01322
HPLBOGDP_01228	K07095
HPLBOGDP_01232	K07068
HPLBOGDP_01234	K02318
HPLBOGDP_01236	K22443
HPLBOGDP_01245	K16599
HPLBOGDP_01246	K14652
HPLBOGDP_01248	K01915
HPLBOGDP_01249	K07814
HPLBOGDP_01250	K16639
HPLBOGDP_01253	K00799
HPLBOGDP_01254	K06147
HPLBOGDP_01255	K06147
HPLBOGDP_01256	K00681
HPLBOGDP_01269	K04084
HPLBOGDP_01270	K01966
HPLBOGDP_01271	K00324
HPLBOGDP_01272	K00324
HPLBOGDP_01273	K00325
HPLBOGDP_01280	K04659
HPLBOGDP_01283	K11997
HPLBOGDP_01289	K01180
HPLBOGDP_01291	K23138
HPLBOGDP_01300	K00073
HPLBOGDP_01301	K01273
HPLBOGDP_01304	K03153
HPLBOGDP_01306	K00314
HPLBOGDP_01309	K18703
HPLBOGDP_01311	K07511
HPLBOGDP_01312	K03775
HPLBOGDP_01313	K09768
HPLBOGDP_01314	K00359
HPLBOGDP_01315	K00857
HPLBOGDP_01316	K14162
HPLBOGDP_01324	K02456
HPLBOGDP_01325	K02455
HPLBOGDP_01326	K02454
HPLBOGDP_01327	K05798
HPLBOGDP_01328	K00609
HPLBOGDP_01329	K01738
HPLBOGDP_01330	K03522
HPLBOGDP_01331	K03521
HPLBOGDP_01332	K00311
HPLBOGDP_01335	K14696
HPLBOGDP_01337	K00600
HPLBOGDP_01338	K01273
HPLBOGDP_01340	K12235
HPLBOGDP_01341	K01886
HPLBOGDP_01342	K07090
HPLBOGDP_01345	K07400
HPLBOGDP_01346	K00548
HPLBOGDP_01349	K00392
HPLBOGDP_01351	K19745
HPLBOGDP_01352	K04774
HPLBOGDP_01354	K02342
HPLBOGDP_01355	K03469
HPLBOGDP_01357	K08307
HPLBOGDP_01358	K03769
HPLBOGDP_01360	K00121
HPLBOGDP_01361	K02014
HPLBOGDP_01362	K06879
HPLBOGDP_01363	K01557
HPLBOGDP_01364	K23016
HPLBOGDP_01365	K00661
HPLBOGDP_01369	K15866
HPLBOGDP_01376	K16092
HPLBOGDP_01379	K12421
HPLBOGDP_01382	K18204
HPLBOGDP_01383	K00626
HPLBOGDP_01384	K00681
HPLBOGDP_01385	K00359
HPLBOGDP_01386	K00076
HPLBOGDP_01392	K00633
HPLBOGDP_01393	K00856
HPLBOGDP_01394	K01620
HPLBOGDP_01395	K00012
HPLBOGDP_01396	K00793
HPLBOGDP_01397	K01883
HPLBOGDP_01398	K01591
HPLBOGDP_01402	K00108
HPLBOGDP_01404	K01637
HPLBOGDP_01405	K00108
HPLBOGDP_01406	K15580
HPLBOGDP_01410	K03321
HPLBOGDP_01414	K05607
HPLBOGDP_01417	K01785
HPLBOGDP_01419	K01273
HPLBOGDP_01420	K00465
HPLBOGDP_01427	K01754
HPLBOGDP_01431	K03086
HPLBOGDP_01432	K01082
HPLBOGDP_01433	K20881
HPLBOGDP_01434	K04762
HPLBOGDP_01435	K01919
HPLBOGDP_01437	K03611
HPLBOGDP_01438	K06158
HPLBOGDP_01439	K01698
HPLBOGDP_01440	K03671
HPLBOGDP_01441	K03628
HPLBOGDP_01442	K00523
HPLBOGDP_01446	K01749
HPLBOGDP_01448	K01755
HPLBOGDP_01449	K06202
HPLBOGDP_01450	K01586
HPLBOGDP_01451	K01778
HPLBOGDP_01453	K03733
HPLBOGDP_01455	K01733
HPLBOGDP_01456	K04751
HPLBOGDP_01458	K07391
HPLBOGDP_01460	K00088
HPLBOGDP_01461	K01897
HPLBOGDP_01462	K03673
HPLBOGDP_01464	K03978
HPLBOGDP_01465	K01246
HPLBOGDP_01466	K22443
HPLBOGDP_01468	K03392
HPLBOGDP_01471	K01008
HPLBOGDP_01474	K18890
HPLBOGDP_01475	K18889
HPLBOGDP_01477	K00797
HPLBOGDP_01479	K00059
HPLBOGDP_01485	K18142
HPLBOGDP_01488	K00640
HPLBOGDP_01489	K00858
HPLBOGDP_01492	K07402
HPLBOGDP_01493	K02441
HPLBOGDP_01495	K01256
HPLBOGDP_01497	K07114
HPLBOGDP_01498	K07114
HPLBOGDP_01501	K03924
HPLBOGDP_01502	K03320
HPLBOGDP_01503	K01921
HPLBOGDP_01506	K03424
HPLBOGDP_01507	K08309
HPLBOGDP_01510	K03168
HPLBOGDP_01511	K01356
HPLBOGDP_01513	K16052
HPLBOGDP_01515	K00772
HPLBOGDP_01517	K03723
HPLBOGDP_01518	K00134
HPLBOGDP_01520	K00346
HPLBOGDP_01521	K00347
HPLBOGDP_01522	K00348
HPLBOGDP_01523	K00349
HPLBOGDP_01524	K00350
HPLBOGDP_01525	K18702
HPLBOGDP_01526	K03327
HPLBOGDP_01528	K03327
HPLBOGDP_01531	K08641
HPLBOGDP_01535	K23138
HPLBOGDP_01538	K12132
HPLBOGDP_01539	K20074
HPLBOGDP_01543	K02168
HPLBOGDP_01545	K05607
HPLBOGDP_01548	K06173
HPLBOGDP_01549	K01692
HPLBOGDP_01551	K09471
HPLBOGDP_01552	K11209
HPLBOGDP_01553	K15866
HPLBOGDP_01556	K09125
HPLBOGDP_01557	K00059
HPLBOGDP_01559	K00059
HPLBOGDP_01561	K01692
HPLBOGDP_01562	K01961
HPLBOGDP_01564	K05888
HPLBOGDP_01565	K00799
HPLBOGDP_01566	K00464
HPLBOGDP_01567	K19245
HPLBOGDP_01568	K13703
HPLBOGDP_01574	K15866
HPLBOGDP_01579	K00249
HPLBOGDP_01580	K11729
HPLBOGDP_01581	K00059
HPLBOGDP_01587	K19416
HPLBOGDP_01589	K03317
HPLBOGDP_01590	K01297
HPLBOGDP_01592	K03296
HPLBOGDP_01597	K02003
HPLBOGDP_01598	K02004
HPLBOGDP_01605	K00008
HPLBOGDP_01610	K01130
HPLBOGDP_01611	K01872
HPLBOGDP_01612	K00928
HPLBOGDP_01613	K03563
HPLBOGDP_01615	K06954
HPLBOGDP_01616	K09701
HPLBOGDP_01617	K00574
HPLBOGDP_01620	K00057
HPLBOGDP_01623	K07003
HPLBOGDP_01627	K00799
HPLBOGDP_01633	K23256
HPLBOGDP_01635	K08647
HPLBOGDP_01636	K00666
HPLBOGDP_01638	K23107
HPLBOGDP_01641	K00563
HPLBOGDP_01642	K01690
HPLBOGDP_01643	K00845
HPLBOGDP_01644	K01625
HPLBOGDP_01645	K00036
HPLBOGDP_01646	K01057
HPLBOGDP_01647	K19337
HPLBOGDP_01648	K00134
HPLBOGDP_01652	K19548
HPLBOGDP_01653	K10805
HPLBOGDP_01659	K01669
HPLBOGDP_01663	K04659
HPLBOGDP_01664	K01847
HPLBOGDP_01665	K07588
HPLBOGDP_01668	K17509
HPLBOGDP_01670	K01190
HPLBOGDP_01675	K07306
HPLBOGDP_01677	K00059
HPLBOGDP_01678	K01772
HPLBOGDP_01679	K19804
HPLBOGDP_01683	K07232
