EHJIHHIA_00001	K01874
EHJIHHIA_01034	K00627
EHJIHHIA_01036	K03088
EHJIHHIA_01038	K01297
EHJIHHIA_01040	K00239
EHJIHHIA_01041	K00240
EHJIHHIA_01044	K03685
EHJIHHIA_01045	K09458
EHJIHHIA_01046	K02078
EHJIHHIA_01047	K11175
EHJIHHIA_01048	K01556
EHJIHHIA_01049	K01845
EHJIHHIA_01055	K09811
EHJIHHIA_01057	K06153
EHJIHHIA_01058	K03177
EHJIHHIA_01066	K00496
EHJIHHIA_01070	K03841
EHJIHHIA_01071	K03631
EHJIHHIA_01072	K00966
EHJIHHIA_01073	K00983
EHJIHHIA_01077	K01338
EHJIHHIA_01080	K03810
EHJIHHIA_01081	K02887
EHJIHHIA_01082	K02916
EHJIHHIA_01083	K02520
EHJIHHIA_01084	K01868
EHJIHHIA_01085	K01868
EHJIHHIA_01094	K14157
EHJIHHIA_01096	K07651
EHJIHHIA_01098	K12373
EHJIHHIA_01099	K01661
EHJIHHIA_01100	K01270
EHJIHHIA_01101	K14652
EHJIHHIA_01102	K09810
EHJIHHIA_01105	K21572
EHJIHHIA_01107	K07315
EHJIHHIA_01108	K02536
EHJIHHIA_01109	K02909
EHJIHHIA_01110	K07566
EHJIHHIA_01114	K03839
EHJIHHIA_01117	K03924
EHJIHHIA_01120	K07114
EHJIHHIA_01123	K03702
EHJIHHIA_01124	K00600
EHJIHHIA_01125	K01784
EHJIHHIA_01128	K02491
EHJIHHIA_01129	K04084
EHJIHHIA_01130	K03169
EHJIHHIA_01132	K01887
EHJIHHIA_01136	K03589
EHJIHHIA_01137	K01924
EHJIHHIA_01139	K01342
EHJIHHIA_01142	K01735
EHJIHHIA_01143	K00318
EHJIHHIA_01148	K00162
EHJIHHIA_01149	K04773
EHJIHHIA_01155	K06147
EHJIHHIA_01158	K16697
EHJIHHIA_01159	K07259
EHJIHHIA_01160	K01921
EHJIHHIA_01162	K03644
EHJIHHIA_01164	K00928
EHJIHHIA_01166	K04759
EHJIHHIA_01170	K18682
EHJIHHIA_01173	K14742
EHJIHHIA_01175	K07658
EHJIHHIA_01185	K00554
EHJIHHIA_01186	K00812
EHJIHHIA_01187	K03272
EHJIHHIA_01188	K03183
EHJIHHIA_01190	K07137
EHJIHHIA_01194	K01963
EHJIHHIA_01197	K00940
EHJIHHIA_01200	K13789
EHJIHHIA_01201	K00973
EHJIHHIA_01206	K03296
EHJIHHIA_01210	K07447
EHJIHHIA_01211	K01462
EHJIHHIA_01217	K02003
EHJIHHIA_01226	K00632
EHJIHHIA_01227	K03975
EHJIHHIA_01231	K17734
EHJIHHIA_01234	K03495
EHJIHHIA_01238	K03719
EHJIHHIA_01239	K00864
EHJIHHIA_01240	K00111
EHJIHHIA_01241	K02440
EHJIHHIA_01244	K02014
EHJIHHIA_01249	K00059
EHJIHHIA_01251	K15891
EHJIHHIA_01255	K00133
EHJIHHIA_01263	K06991
EHJIHHIA_01264	K03977
EHJIHHIA_01265	K03595
EHJIHHIA_01268	K03113
EHJIHHIA_01269	K01791
EHJIHHIA_01271	K01444
EHJIHHIA_01272	K07082
EHJIHHIA_01275	K01778
EHJIHHIA_01277	K03086
EHJIHHIA_01278	K00134
EHJIHHIA_01282	K00971
EHJIHHIA_01288	K04077
EHJIHHIA_01289	K04078
EHJIHHIA_01294	K06168
EHJIHHIA_01298	K17103
EHJIHHIA_01304	K01069
EHJIHHIA_01307	K01534
EHJIHHIA_01309	K01920
EHJIHHIA_01311	K03650
EHJIHHIA_01313	K03664
EHJIHHIA_01314	K06187
EHJIHHIA_01315	K07010
EHJIHHIA_01317	K07091
EHJIHHIA_01322	K03106
EHJIHHIA_01325	K19302
EHJIHHIA_01326	K03474
EHJIHHIA_01328	K02316
EHJIHHIA_01330	K02523
EHJIHHIA_01331	K01955
EHJIHHIA_01333	K04043
EHJIHHIA_01335	K03590
EHJIHHIA_01336	K03531
EHJIHHIA_01337	K09117
EHJIHHIA_01339	K06950
EHJIHHIA_01342	K00616
EHJIHHIA_01343	K03217
EHJIHHIA_01344	K01937
EHJIHHIA_01345	K02617
EHJIHHIA_01354	K09705
EHJIHHIA_01357	K01847
EHJIHHIA_01360	K06381
EHJIHHIA_01361	K00748
EHJIHHIA_01363	K03787
EHJIHHIA_01364	K21471
EHJIHHIA_01367	K03466
EHJIHHIA_01377	K03640
EHJIHHIA_01379	K00962
EHJIHHIA_01380	K02956
EHJIHHIA_01388	K07305
EHJIHHIA_01390	K01953
EHJIHHIA_01392	K11085
EHJIHHIA_01393	K02914
EHJIHHIA_01394	K01610
EHJIHHIA_01395	K03832
EHJIHHIA_01398	K07001
EHJIHHIA_01399	K07444
EHJIHHIA_01400	K01647
EHJIHHIA_01405	K03525
EHJIHHIA_01411	K03101
EHJIHHIA_01414	K23265
EHJIHHIA_01415	K01945
EHJIHHIA_01418	K19270
EHJIHHIA_01419	K03551
EHJIHHIA_01420	K18979
EHJIHHIA_01422	K00486
EHJIHHIA_01425	K00297
EHJIHHIA_01426	K00821
EHJIHHIA_01428	K04487
EHJIHHIA_01435	K01916
EHJIHHIA_01440	K19701
EHJIHHIA_01441	K00857
EHJIHHIA_01442	K01775
EHJIHHIA_01443	K02217
EHJIHHIA_01445	K05606
EHJIHHIA_01447	K08973
EHJIHHIA_01448	K02108
EHJIHHIA_01449	K02110
EHJIHHIA_01450	K02109
EHJIHHIA_01451	K02113
EHJIHHIA_01452	K02111
EHJIHHIA_01453	K02115
EHJIHHIA_01454	K02479
EHJIHHIA_01457	K01669
EHJIHHIA_01458	K01669
EHJIHHIA_01459	K06876
EHJIHHIA_01460	K09015
EHJIHHIA_01461	K09013
EHJIHHIA_01462	K09014
EHJIHHIA_01463	K22063
EHJIHHIA_01464	K08081
EHJIHHIA_01467	K04564
EHJIHHIA_01470	K01142
EHJIHHIA_01473	K02428
EHJIHHIA_01474	K03924
EHJIHHIA_01475	K03771
EHJIHHIA_01476	K07533
EHJIHHIA_01477	K03437
EHJIHHIA_01479	K00784
EHJIHHIA_01481	K00609
EHJIHHIA_01482	K02825
EHJIHHIA_01483	K11754
EHJIHHIA_01486	K03561
EHJIHHIA_01493	K00626
EHJIHHIA_01495	K05592
EHJIHHIA_01503	K15736
EHJIHHIA_01505	K08097
EHJIHHIA_01508	K03296
EHJIHHIA_01512	K02342
EHJIHHIA_01516	K07588
EHJIHHIA_01517	K00754
EHJIHHIA_01519	K01491
EHJIHHIA_01525	K21125
EHJIHHIA_01527	K01424
EHJIHHIA_01528	K13282
EHJIHHIA_01529	K01520
EHJIHHIA_01530	K00966
EHJIHHIA_01538	K07636
EHJIHHIA_01539	K01875
EHJIHHIA_01542	K00252
EHJIHHIA_01544	K01719
EHJIHHIA_01551	K03555
EHJIHHIA_01554	K01358
EHJIHHIA_01555	K03544
EHJIHHIA_01556	K00162
EHJIHHIA_01557	K02950
EHJIHHIA_01558	K02992
EHJIHHIA_01559	K02355
EHJIHHIA_01560	K02946
EHJIHHIA_01561	K02906
EHJIHHIA_01562	K02926
EHJIHHIA_01563	K02892
EHJIHHIA_01564	K02886
EHJIHHIA_01565	K02965
EHJIHHIA_01566	K02890
EHJIHHIA_01567	K02982
EHJIHHIA_01568	K02878
EHJIHHIA_01570	K02961
EHJIHHIA_01571	K02874
EHJIHHIA_01572	K02895
EHJIHHIA_01573	K02931
EHJIHHIA_01574	K02954
EHJIHHIA_01575	K02994
EHJIHHIA_01576	K02933
EHJIHHIA_01577	K02881
EHJIHHIA_01578	K02988
EHJIHHIA_01579	K02907
EHJIHHIA_01580	K02876
EHJIHHIA_01581	K03076
EHJIHHIA_01582	K02518
EHJIHHIA_01584	K02952
EHJIHHIA_01585	K02948
EHJIHHIA_01586	K02986
EHJIHHIA_01587	K03040
EHJIHHIA_01588	K02879
EHJIHHIA_01589	K01956
EHJIHHIA_01590	K01689
EHJIHHIA_01593	K00074
EHJIHHIA_01602	K00648
EHJIHHIA_01605	K01192
EHJIHHIA_01608	K13444
EHJIHHIA_01612	K11381
EHJIHHIA_01617	K01241
EHJIHHIA_01618	K07056
EHJIHHIA_01619	K01104
EHJIHHIA_01622	K01159
EHJIHHIA_01623	K03469
EHJIHHIA_01624	K02035
EHJIHHIA_01625	K00548
EHJIHHIA_01628	K06867
EHJIHHIA_01631	K22390
EHJIHHIA_01639	K03111
EHJIHHIA_01640	K04763
EHJIHHIA_01642	K07240
EHJIHHIA_01644	K03324
EHJIHHIA_01648	K12368
EHJIHHIA_01651	K01679
EHJIHHIA_01653	K16052
EHJIHHIA_01654	K06911
EHJIHHIA_01671	K09166
EHJIHHIA_01673	K03768
EHJIHHIA_01681	K03601
EHJIHHIA_01682	K11928
EHJIHHIA_01683	K01594
EHJIHHIA_01684	K00456
EHJIHHIA_01687	K11752
EHJIHHIA_01690	K01802
EHJIHHIA_01691	K01895
EHJIHHIA_01694	K03273
EHJIHHIA_01698	K12257
EHJIHHIA_01699	K03709
EHJIHHIA_01700	K16089
EHJIHHIA_01701	K09861
EHJIHHIA_01705	K03734
EHJIHHIA_01706	K01924
EHJIHHIA_01708	K03628
EHJIHHIA_01710	K02314
EHJIHHIA_01711	K10773
EHJIHHIA_01712	K03686
EHJIHHIA_01713	K01911
EHJIHHIA_01716	K02343
EHJIHHIA_01721	K13694
EHJIHHIA_01728	K07164
EHJIHHIA_01729	K02337
EHJIHHIA_01730	K05366
EHJIHHIA_01731	K01028
EHJIHHIA_01732	K01029
EHJIHHIA_01733	K01082
EHJIHHIA_01735	K00674
EHJIHHIA_01736	K06902
EHJIHHIA_01737	K14157
EHJIHHIA_01738	K03270
EHJIHHIA_01739	K03856
EHJIHHIA_01740	K01783
EHJIHHIA_01744	K01278
EHJIHHIA_01745	K02990
EHJIHHIA_01746	K02963
EHJIHHIA_01747	K02939
EHJIHHIA_01749	K05837
EHJIHHIA_01750	K05515
EHJIHHIA_01752	K03570
EHJIHHIA_01753	K03569
EHJIHHIA_01754	K00602
EHJIHHIA_01755	K10807
EHJIHHIA_01756	K10808
EHJIHHIA_01761	K06158
EHJIHHIA_01766	K10106
EHJIHHIA_01768	K03655
EHJIHHIA_01769	K03046
EHJIHHIA_01770	K03043
EHJIHHIA_01771	K00382
EHJIHHIA_01772	K23269
EHJIHHIA_01774	K00790
EHJIHHIA_01775	K00757
EHJIHHIA_01780	K12410
EHJIHHIA_01783	K02313
EHJIHHIA_01784	K07107
EHJIHHIA_01789	K01258
EHJIHHIA_01790	K02340
EHJIHHIA_01791	K09761
EHJIHHIA_01792	K00287
EHJIHHIA_01793	K00560
EHJIHHIA_01795	K07636
EHJIHHIA_01796	K00384
EHJIHHIA_01797	K04883
EHJIHHIA_01801	K00057
EHJIHHIA_01802	K02481
EHJIHHIA_01803	K00573
EHJIHHIA_01805	K01784
EHJIHHIA_01806	K17716
EHJIHHIA_01807	K19430
EHJIHHIA_01808	K19429
EHJIHHIA_01809	K01654
EHJIHHIA_01811	K05595
EHJIHHIA_01813	K01625
EHJIHHIA_01815	K09808
EHJIHHIA_01817	K01588
EHJIHHIA_01819	K11418
EHJIHHIA_01820	K06940
EHJIHHIA_01830	K09760
EHJIHHIA_01831	K17290
EHJIHHIA_01834	K08641
EHJIHHIA_01835	K01714
EHJIHHIA_01837	K01972
EHJIHHIA_01838	K02493
EHJIHHIA_01840	K13274
EHJIHHIA_01841	K01903
EHJIHHIA_01842	K01961
EHJIHHIA_01848	K01465
EHJIHHIA_01851	K02469
EHJIHHIA_01852	K03696
EHJIHHIA_01854	K03687
EHJIHHIA_01855	K03686
EHJIHHIA_01856	K07052
EHJIHHIA_01857	K02371
EHJIHHIA_01862	K00452
EHJIHHIA_01865	K03210
EHJIHHIA_01866	K07301
EHJIHHIA_01867	K01690
EHJIHHIA_01868	K01057
EHJIHHIA_01869	K00036
EHJIHHIA_01872	K00798
EHJIHHIA_01873	K01881
EHJIHHIA_01874	K15460
EHJIHHIA_01876	K01969
EHJIHHIA_01877	K07735
EHJIHHIA_01878	K01524
EHJIHHIA_01879	K01892
EHJIHHIA_01880	K07386
EHJIHHIA_01881	K02348
EHJIHHIA_01883	K12733
EHJIHHIA_01884	K18665
EHJIHHIA_01887	K03088
EHJIHHIA_01888	K04565
EHJIHHIA_01889	K03786
EHJIHHIA_01890	K04763
EHJIHHIA_01891	K02902
EHJIHHIA_01892	K02913
EHJIHHIA_01894	K03110
EHJIHHIA_01896	K01783
EHJIHHIA_01899	K00826
EHJIHHIA_01900	K02622
EHJIHHIA_01901	K02621
EHJIHHIA_01904	K00243
EHJIHHIA_01905	K07116
EHJIHHIA_01910	K04564
EHJIHHIA_01911	K06213
EHJIHHIA_01913	K03561
EHJIHHIA_01920	K23234
EHJIHHIA_01923	K01354
EHJIHHIA_01927	K03650
EHJIHHIA_01929	K02871
EHJIHHIA_01930	K02996
EHJIHHIA_01931	K02967
EHJIHHIA_01932	K02357
EHJIHHIA_01933	K09903
EHJIHHIA_01934	K02838
EHJIHHIA_01935	K00457
EHJIHHIA_01937	K15789
EHJIHHIA_01938	K03088
EHJIHHIA_01939	K10027
EHJIHHIA_01942	K10716
EHJIHHIA_01945	K00232
EHJIHHIA_01948	K03932
EHJIHHIA_01949	K03932
EHJIHHIA_01950	K01840
EHJIHHIA_01951	K00794
EHJIHHIA_01956	K11140
EHJIHHIA_01961	K01669
EHJIHHIA_01962	K03564
EHJIHHIA_01963	K00248
EHJIHHIA_01964	K09001
EHJIHHIA_01971	K01207
EHJIHHIA_01973	K03088
EHJIHHIA_01976	K21552
EHJIHHIA_01977	K00833
EHJIHHIA_01978	K00677
EHJIHHIA_01979	K03215
EHJIHHIA_01980	K03742
EHJIHHIA_01983	K10026
EHJIHHIA_01985	K17105
EHJIHHIA_01986	K06287
EHJIHHIA_01988	K01599
EHJIHHIA_01989	K03648
EHJIHHIA_01993	K03530
EHJIHHIA_01994	K11166
EHJIHHIA_01995	K03271
EHJIHHIA_01996	K03315
EHJIHHIA_01997	K03701
EHJIHHIA_01998	K00945
EHJIHHIA_02006	K03092
