NDDHILDE_00001	K21029
NDDHILDE_00173	K02115
NDDHILDE_00174	K01251
NDDHILDE_00175	K07713
NDDHILDE_00176	K07152
NDDHILDE_00179	K07102
NDDHILDE_00182	K16898
NDDHILDE_00183	K03671
NDDHILDE_00184	K01419
NDDHILDE_00185	K03667
NDDHILDE_00188	K08304
NDDHILDE_00190	K07113
NDDHILDE_00192	K02342
NDDHILDE_00193	K00859
NDDHILDE_00194	K00014
NDDHILDE_00195	K08973
NDDHILDE_00196	K03628
NDDHILDE_00197	K03650
NDDHILDE_00198	K03495
NDDHILDE_00199	K03501
NDDHILDE_00200	K03496
NDDHILDE_00201	K03497
NDDHILDE_00203	K02428
NDDHILDE_00204	K00989
NDDHILDE_00205	K03705
NDDHILDE_00206	K03687
NDDHILDE_00207	K03555
NDDHILDE_00208	K00029
NDDHILDE_00209	K00852
NDDHILDE_00210	K22696
NDDHILDE_00211	K22696
NDDHILDE_00212	K01940
NDDHILDE_00213	K01754
NDDHILDE_00215	K04083
NDDHILDE_00217	K00974
NDDHILDE_00218	K18893
NDDHILDE_00219	K03215
NDDHILDE_00220	K16892
NDDHILDE_00223	K16291
NDDHILDE_00225	K01772
NDDHILDE_00227	K02242
NDDHILDE_00228	K03676
NDDHILDE_00229	K11206
NDDHILDE_00231	K00591
NDDHILDE_00232	K01259
NDDHILDE_00233	K12369
NDDHILDE_00234	K02034
NDDHILDE_00235	K02032
NDDHILDE_00236	K02035
NDDHILDE_00237	K09748
NDDHILDE_00238	K02600
NDDHILDE_00240	K02519
NDDHILDE_00242	K03574
NDDHILDE_00243	K00620
NDDHILDE_00244	K03769
NDDHILDE_00251	K08068
NDDHILDE_00252	K02527
NDDHILDE_00253	K02527
NDDHILDE_00255	K00983
NDDHILDE_00256	K00012
NDDHILDE_00260	K00108
NDDHILDE_00262	K02556
NDDHILDE_00263	K02557
NDDHILDE_00265	K07713
NDDHILDE_00273	K02400
NDDHILDE_00275	K04562
NDDHILDE_00276	K02405
NDDHILDE_00279	K01872
NDDHILDE_00281	K06207
NDDHILDE_00282	K11955
NDDHILDE_00283	K11956
NDDHILDE_00284	K01996
NDDHILDE_00285	K01995
NDDHILDE_00286	K11954
NDDHILDE_00288	K01626
NDDHILDE_00291	K00942
NDDHILDE_00294	K02357
NDDHILDE_00295	K02967
NDDHILDE_00296	K02433
NDDHILDE_00303	K00864
NDDHILDE_00304	K02427
NDDHILDE_00305	K01524
NDDHILDE_00306	K00383
NDDHILDE_00307	K01807
NDDHILDE_00308	K01752
NDDHILDE_00313	K01939
NDDHILDE_00315	K01937
NDDHILDE_00319	K02028
NDDHILDE_00320	K10037
NDDHILDE_00321	K10016
NDDHILDE_00322	K10015
NDDHILDE_00323	K09470
NDDHILDE_00324	K22314
NDDHILDE_00325	K09470
NDDHILDE_00328	K03821
NDDHILDE_00329	K05973
NDDHILDE_00330	K06949
NDDHILDE_00332	K13702
NDDHILDE_00333	K01868
NDDHILDE_00340	K06180
NDDHILDE_00341	K03089
NDDHILDE_00344	K08602
NDDHILDE_00346	K01048
NDDHILDE_00349	K17675
NDDHILDE_00350	K04762
NDDHILDE_00351	K05524
NDDHILDE_00352	K07736
NDDHILDE_00353	K02233
NDDHILDE_00354	K00768
NDDHILDE_00356	K06991
NDDHILDE_00358	K00108
NDDHILDE_00365	K03218
NDDHILDE_00366	K11755
NDDHILDE_00370	K02049
NDDHILDE_00371	K15552
NDDHILDE_00372	K00315
NDDHILDE_00374	K07516
NDDHILDE_00376	K01740
NDDHILDE_00378	K01652
NDDHILDE_00379	K00625
NDDHILDE_00380	K21307
NDDHILDE_00383	K21308
NDDHILDE_00384	K21309
NDDHILDE_00385	K03310
NDDHILDE_00386	K00857
NDDHILDE_00387	K11811
NDDHILDE_00388	K01955
NDDHILDE_00389	K05800
NDDHILDE_00391	K01876
NDDHILDE_00392	K07667
NDDHILDE_00393	K05606
NDDHILDE_00397	K11407
NDDHILDE_00401	K14441
NDDHILDE_00403	K00784
NDDHILDE_00410	K02029
NDDHILDE_00411	K02028
NDDHILDE_00418	K07636
NDDHILDE_00419	K02040
NDDHILDE_00420	K02037
NDDHILDE_00421	K02038
NDDHILDE_00422	K02036
NDDHILDE_00423	K02039
NDDHILDE_00424	K07657
NDDHILDE_00426	K00077
NDDHILDE_00427	K22133
NDDHILDE_00429	K13892
NDDHILDE_00430	K01436
NDDHILDE_00433	K02358
NDDHILDE_00437	K02621
NDDHILDE_00440	K00798
NDDHILDE_00441	K03521
NDDHILDE_00442	K03522
NDDHILDE_00443	K11189
NDDHILDE_00445	K06958
NDDHILDE_00448	K02483
NDDHILDE_00449	K01610
NDDHILDE_00451	K00249
NDDHILDE_00452	K01578
NDDHILDE_00454	K01805
NDDHILDE_00455	K00854
NDDHILDE_00456	K10441
NDDHILDE_00457	K10544
NDDHILDE_00458	K10543
NDDHILDE_00459	K12409
NDDHILDE_00461	K00428
NDDHILDE_00463	K01879
NDDHILDE_00464	K01006
NDDHILDE_00467	K00796
NDDHILDE_00469	K00053
NDDHILDE_00473	K06126
NDDHILDE_00480	K09471
NDDHILDE_00481	K09471
NDDHILDE_00482	K09470
NDDHILDE_00484	K09471
NDDHILDE_00486	K13654
NDDHILDE_00487	K11073
NDDHILDE_00488	K11076
NDDHILDE_00489	K11075
NDDHILDE_00490	K11074
NDDHILDE_00491	K09470
NDDHILDE_00492	K01845
NDDHILDE_00495	K18204
NDDHILDE_00498	K00228
NDDHILDE_00499	K00059
NDDHILDE_00500	K00564
NDDHILDE_00501	K06891
NDDHILDE_00502	K07025
NDDHILDE_00503	K07258
NDDHILDE_00504	K13896
NDDHILDE_00505	K13895
NDDHILDE_00506	K13894
NDDHILDE_00509	K14977
NDDHILDE_00510	K13485
NDDHILDE_00511	K07127
NDDHILDE_00513	K03336
NDDHILDE_00514	K00847
NDDHILDE_00516	K01624
NDDHILDE_00517	K03168
NDDHILDE_00518	K04096
NDDHILDE_00519	K03568
NDDHILDE_00520	K00015
NDDHILDE_00521	K00020
NDDHILDE_00526	K06196
NDDHILDE_00529	K17226
NDDHILDE_00531	K17222
NDDHILDE_00532	K17224
NDDHILDE_00534	K08738
NDDHILDE_00537	K00643
NDDHILDE_00540	K01657
NDDHILDE_00543	K01866
NDDHILDE_00544	K09001
NDDHILDE_00545	K01689
NDDHILDE_00547	K03711
NDDHILDE_00548	K03316
NDDHILDE_00549	K08997
NDDHILDE_00550	K01250
NDDHILDE_00551	K00769
NDDHILDE_00552	K00208
NDDHILDE_00553	K00275
NDDHILDE_00555	K09005
NDDHILDE_00557	K00525
NDDHILDE_00563	K01652
NDDHILDE_00564	K01653
NDDHILDE_00565	K22443
NDDHILDE_00570	K00982
NDDHILDE_00572	K01625
NDDHILDE_00573	K01690
NDDHILDE_00574	K06969
NDDHILDE_00576	K07387
NDDHILDE_00580	K06204
NDDHILDE_00582	K01142
NDDHILDE_00583	K22072
NDDHILDE_00584	K01129
NDDHILDE_00585	K01887
NDDHILDE_00587	K01207
NDDHILDE_00588	K05896
NDDHILDE_00589	K06024
NDDHILDE_00594	K04764
NDDHILDE_00595	K00648
NDDHILDE_00596	K03621
NDDHILDE_00600	K07305
NDDHILDE_00602	K15738
NDDHILDE_00604	K00812
NDDHILDE_00605	K01883
NDDHILDE_00608	K02224
NDDHILDE_00609	K02303
NDDHILDE_00610	K02188
NDDHILDE_00611	K05895
NDDHILDE_00612	K01247
NDDHILDE_00613	K06999
NDDHILDE_00614	K00412
NDDHILDE_00615	K00413
NDDHILDE_00616	K11072
NDDHILDE_00617	K02063
NDDHILDE_00618	K02064
NDDHILDE_00620	K01736
NDDHILDE_00621	K09796
NDDHILDE_00622	K12573
NDDHILDE_00630	K02412
NDDHILDE_00632	K02410
NDDHILDE_00633	K02409
NDDHILDE_00635	K01673
NDDHILDE_00639	K03932
NDDHILDE_00643	K02469
NDDHILDE_00644	K02470
NDDHILDE_00646	K03629
NDDHILDE_00648	K02316
NDDHILDE_00650	K00315
NDDHILDE_00656	K02588
NDDHILDE_00659	K13789
NDDHILDE_00662	K02291
NDDHILDE_00663	K10027
NDDHILDE_00665	K03405
NDDHILDE_00666	K03404
NDDHILDE_00672	K00057
NDDHILDE_00674	K03070
NDDHILDE_00677	K08679
NDDHILDE_00679	K03431
NDDHILDE_00680	K03688
NDDHILDE_00681	K06127
NDDHILDE_00682	K10563
NDDHILDE_00683	K01692
NDDHILDE_00684	K02968
NDDHILDE_00685	K02313
NDDHILDE_00686	K02338
NDDHILDE_00687	K03629
NDDHILDE_00688	K11250
NDDHILDE_00690	K02470
NDDHILDE_00691	K09471
NDDHILDE_00692	K07146
NDDHILDE_00695	K03934
NDDHILDE_00697	K00335
NDDHILDE_00699	K03943
NDDHILDE_00701	K00333
NDDHILDE_00703	K03936
NDDHILDE_00705	K00331
NDDHILDE_00706	K00330
NDDHILDE_00707	K01661
NDDHILDE_00708	K01640
NDDHILDE_00709	K01968
NDDHILDE_00711	K01969
NDDHILDE_00713	K00253
NDDHILDE_00716	K01091
NDDHILDE_00717	K04042
NDDHILDE_00718	K00820
NDDHILDE_00720	K07425
NDDHILDE_00722	K06196
NDDHILDE_00724	K08300
NDDHILDE_00725	K07714
NDDHILDE_00726	K07709
NDDHILDE_00727	K23265
NDDHILDE_00728	K23264
NDDHILDE_00729	K01923
NDDHILDE_00730	K00548
NDDHILDE_00731	K00548
NDDHILDE_00733	K02426
NDDHILDE_00734	K03684
NDDHILDE_00735	K11175
NDDHILDE_00736	K01933
NDDHILDE_00742	K02437
NDDHILDE_00743	K00605
NDDHILDE_00744	K16871
NDDHILDE_00747	K00315
NDDHILDE_00748	K01684
NDDHILDE_00749	K00119
NDDHILDE_00750	K08151
NDDHILDE_00753	K01754
NDDHILDE_00755	K00208
NDDHILDE_00756	K00647
NDDHILDE_00757	K01716
NDDHILDE_00758	K09825
NDDHILDE_00760	K06168
NDDHILDE_00761	K06217
NDDHILDE_00762	K07042
NDDHILDE_00763	K02529
NDDHILDE_00767	K00549
NDDHILDE_00768	K03604
NDDHILDE_00773	K07652
NDDHILDE_00775	K07668
NDDHILDE_00781	K01654
NDDHILDE_00782	K00019
NDDHILDE_00783	K00020
NDDHILDE_00784	K07402
NDDHILDE_00785	K22444
NDDHILDE_00786	K09927
NDDHILDE_00787	K00845
NDDHILDE_00788	K02510
NDDHILDE_00789	K00548
NDDHILDE_00791	K11991
NDDHILDE_00793	K02433
NDDHILDE_00796	K01338
NDDHILDE_00797	K15634
NDDHILDE_00802	K02232
NDDHILDE_00804	K02356
NDDHILDE_00805	K06980
NDDHILDE_00807	K11085
NDDHILDE_00808	K00830
NDDHILDE_00809	K00817
NDDHILDE_00810	K01873
NDDHILDE_00812	K00477
NDDHILDE_00816	K04038
NDDHILDE_00819	K02639
NDDHILDE_00820	K17285
NDDHILDE_00821	K00128
NDDHILDE_00822	K18703
NDDHILDE_00823	K04751
NDDHILDE_00824	K03320
NDDHILDE_00826	K02262
NDDHILDE_00827	K14998
NDDHILDE_00828	K01733
NDDHILDE_00829	K17732
NDDHILDE_00831	K00759
NDDHILDE_00832	K00772
NDDHILDE_00833	K03321
NDDHILDE_00837	K08483
NDDHILDE_00841	K02234
NDDHILDE_00844	K02230
NDDHILDE_00846	K07025
NDDHILDE_00848	K09768
NDDHILDE_00849	K00322
NDDHILDE_00850	K01070
NDDHILDE_00852	K00121
NDDHILDE_00853	K00783
NDDHILDE_00855	K07107
NDDHILDE_00856	K11173
NDDHILDE_00857	K00249
NDDHILDE_00858	K07393
NDDHILDE_00860	K00817
NDDHILDE_00861	K02227
NDDHILDE_00862	K08305
NDDHILDE_00863	K03529
NDDHILDE_00865	K00059
NDDHILDE_00867	K03782
NDDHILDE_00869	K00821
NDDHILDE_00870	K00611
NDDHILDE_00872	K00033
NDDHILDE_00873	K03579
NDDHILDE_00874	K07588
NDDHILDE_00877	K01679
NDDHILDE_00880	K01895
NDDHILDE_00881	K05592
NDDHILDE_00883	K00525
NDDHILDE_00885	K00765
NDDHILDE_00887	K01892
NDDHILDE_00889	K02337
NDDHILDE_00890	K13481
NDDHILDE_00891	K13482
NDDHILDE_00892	K07402
NDDHILDE_00893	K23537
NDDHILDE_00894	K23535
NDDHILDE_00895	K23536
NDDHILDE_00896	K07335
NDDHILDE_00898	K00315
NDDHILDE_00899	K01918
NDDHILDE_00900	K00606
NDDHILDE_00902	K01414
NDDHILDE_00903	K12308
NDDHILDE_00904	K01785
NDDHILDE_00905	K01483
NDDHILDE_00906	K00833
NDDHILDE_00907	K01469
NDDHILDE_00909	K01783
NDDHILDE_00910	K01464
NDDHILDE_00911	K02049
NDDHILDE_00914	K04517
NDDHILDE_00915	K00817
NDDHILDE_00916	K02986
NDDHILDE_00917	K01816
NDDHILDE_00918	K06925
NDDHILDE_00920	K07566
NDDHILDE_00924	K01799
NDDHILDE_00925	K01262
NDDHILDE_00928	K04564
NDDHILDE_00929	K05786
NDDHILDE_00930	K22522
NDDHILDE_00932	K06147
NDDHILDE_00933	K03296
NDDHILDE_00937	K03977
NDDHILDE_00938	K01875
NDDHILDE_00939	K03210
NDDHILDE_00940	K03072
NDDHILDE_00941	K03074
NDDHILDE_00943	K10112
NDDHILDE_00945	K02195
NDDHILDE_00947	K02199
NDDHILDE_00948	K01681
NDDHILDE_00955	K01756
NDDHILDE_00958	K01271
NDDHILDE_00960	K01915
NDDHILDE_00961	K04751
NDDHILDE_00968	K01869
NDDHILDE_00972	K08683
NDDHILDE_00973	K13247
NDDHILDE_00975	K15789
NDDHILDE_00976	K11209
NDDHILDE_00978	K01556
NDDHILDE_00980	K00874
NDDHILDE_00983	K02884
NDDHILDE_00984	K00554
NDDHILDE_00985	K02860
NDDHILDE_00987	K02959
NDDHILDE_00989	K03106
NDDHILDE_00992	K18703
NDDHILDE_00993	K00134
NDDHILDE_00994	K01358
NDDHILDE_00995	K03544
NDDHILDE_00999	K00684
NDDHILDE_01000	K01961
NDDHILDE_01001	K02160
NDDHILDE_01002	K01895
NDDHILDE_01003	K01996
NDDHILDE_01005	K03937
NDDHILDE_01007	K22133
NDDHILDE_01008	K04072
NDDHILDE_01012	K03604
NDDHILDE_01017	K00130
NDDHILDE_01018	K07110
NDDHILDE_01019	K07552
NDDHILDE_01020	K01966
NDDHILDE_01023	K01965
NDDHILDE_01026	K01847
NDDHILDE_01031	K08998
NDDHILDE_01034	K00382
NDDHILDE_01035	K02484
NDDHILDE_01039	K03795
NDDHILDE_01040	K06042
NDDHILDE_01041	K00595
NDDHILDE_01042	K13540
NDDHILDE_01043	K13541
NDDHILDE_01044	K05936
NDDHILDE_01046	K14155
NDDHILDE_01047	K01462
NDDHILDE_01048	K01462
NDDHILDE_01049	K00604
NDDHILDE_01051	K03469
NDDHILDE_01053	K03527
NDDHILDE_01055	K00950
NDDHILDE_01056	K03060
NDDHILDE_01057	K01139
NDDHILDE_01058	K09928
NDDHILDE_01059	K03474
NDDHILDE_01060	K00997
NDDHILDE_01061	K03100
NDDHILDE_01062	K03685
NDDHILDE_01063	K03595
NDDHILDE_01065	K03584
NDDHILDE_01067	K00344
NDDHILDE_01070	K00255
NDDHILDE_01072	K07516
NDDHILDE_01073	K22108
NDDHILDE_01074	K11729
NDDHILDE_01077	K00128
NDDHILDE_01078	K06180
NDDHILDE_01081	K01784
NDDHILDE_01082	K18204
NDDHILDE_01083	K00151
NDDHILDE_01084	K00446
NDDHILDE_01085	K01756
NDDHILDE_01089	K01607
NDDHILDE_01091	K02483
NDDHILDE_01092	K07636
NDDHILDE_01095	K03306
NDDHILDE_01097	K01627
NDDHILDE_01098	K06041
NDDHILDE_01099	K00979
NDDHILDE_01105	K04039
NDDHILDE_01106	K09015
NDDHILDE_01109	K11717
NDDHILDE_01112	K00088
NDDHILDE_01113	K03500
NDDHILDE_01116	K03553
NDDHILDE_01117	K00339
NDDHILDE_01118	K00340
NDDHILDE_01119	K00341
NDDHILDE_01120	K00342
NDDHILDE_01121	K00343
NDDHILDE_01122	K03524
NDDHILDE_01123	K03525
NDDHILDE_01124	K12574
NDDHILDE_01125	K05592
NDDHILDE_01126	K02837
NDDHILDE_01128	K00059
NDDHILDE_01129	K07755
NDDHILDE_01130	K11072
NDDHILDE_01134	K03118
NDDHILDE_01135	K06923
NDDHILDE_01136	K06194
NDDHILDE_01137	K00573
NDDHILDE_01138	K03787
NDDHILDE_01140	K00764
NDDHILDE_01142	K04485
NDDHILDE_01143	K02065
NDDHILDE_01144	K02066
NDDHILDE_01145	K01775
NDDHILDE_01146	K02314
NDDHILDE_01147	K00762
NDDHILDE_01148	K01465
NDDHILDE_01149	K01649
NDDHILDE_01152	K03337
NDDHILDE_01153	K02274
NDDHILDE_01155	K09117
NDDHILDE_01156	K01956
NDDHILDE_01160	K00128
NDDHILDE_01161	K11070
NDDHILDE_01162	K17236
NDDHILDE_01163	K07407
NDDHILDE_01164	K00059
NDDHILDE_01165	K00883
NDDHILDE_01166	K01631
NDDHILDE_01167	K14274
NDDHILDE_01171	K00161
NDDHILDE_01173	K01623
NDDHILDE_01174	K00927
NDDHILDE_01175	K03767
NDDHILDE_01176	K03768
NDDHILDE_01177	K02012
NDDHILDE_01178	K04765
NDDHILDE_01180	K02017
NDDHILDE_01181	K02018
NDDHILDE_01182	K02020
NDDHILDE_01185	K00928
NDDHILDE_01187	K02001
NDDHILDE_01188	K02000
NDDHILDE_01190	K02234
NDDHILDE_01195	K01913
NDDHILDE_01196	K03797
NDDHILDE_01197	K08311
NDDHILDE_01198	K07313
NDDHILDE_01199	K00058
NDDHILDE_01202	K01079
NDDHILDE_01203	K01424
NDDHILDE_01205	K06941
NDDHILDE_01206	K01754
NDDHILDE_01207	K00674
NDDHILDE_01209	K01439
NDDHILDE_01210	K09931
NDDHILDE_01212	K06196
NDDHILDE_01214	K03530
NDDHILDE_01215	K01241
NDDHILDE_01218	K15984
NDDHILDE_01219	K01652
NDDHILDE_01220	K03498
NDDHILDE_01221	K09007
NDDHILDE_01222	K10764
NDDHILDE_01223	K11209
NDDHILDE_01225	K06190
NDDHILDE_01227	K03110
NDDHILDE_01228	K00335
NDDHILDE_01229	K03601
NDDHILDE_01230	K01945
NDDHILDE_01231	K22071
NDDHILDE_01232	K14162
NDDHILDE_01233	K04771
NDDHILDE_01234	K04087
NDDHILDE_01235	K00390
NDDHILDE_01237	K00528
NDDHILDE_01238	K02520
NDDHILDE_01239	K00252
NDDHILDE_01240	K01903
NDDHILDE_01243	K00626
NDDHILDE_01245	K00643
NDDHILDE_01246	K01823
NDDHILDE_01247	K09861
NDDHILDE_01248	K03654
NDDHILDE_01250	K04043
NDDHILDE_01251	K03686
NDDHILDE_01256	K02433
NDDHILDE_01257	K18059
NDDHILDE_01259	K17725
NDDHILDE_01263	K02479
NDDHILDE_01267	K01255
NDDHILDE_01269	K01673
NDDHILDE_01270	K00133
NDDHILDE_01272	K00059
NDDHILDE_01275	K00128
NDDHILDE_01276	K01714
NDDHILDE_01279	K00052
NDDHILDE_01281	K01704
NDDHILDE_01282	K01703
NDDHILDE_01283	K07727
NDDHILDE_01287	K15633
NDDHILDE_01289	K02913
NDDHILDE_01290	K06890
NDDHILDE_01293	K01092
NDDHILDE_01294	K12960
NDDHILDE_01295	K01487
NDDHILDE_01296	K06213
NDDHILDE_01297	K01934
NDDHILDE_01298	K01895
NDDHILDE_01301	K05607
NDDHILDE_01303	K02641
NDDHILDE_01305	K00891
NDDHILDE_01306	K07516
NDDHILDE_01308	K09769
NDDHILDE_01313	K16048
NDDHILDE_01314	K11072
NDDHILDE_01315	K02108
NDDHILDE_01318	K00259
NDDHILDE_01323	K06145
NDDHILDE_01325	K18707
NDDHILDE_01326	K01778
NDDHILDE_01328	K07126
NDDHILDE_01329	K00314
NDDHILDE_01331	K00547
NDDHILDE_01332	K00315
NDDHILDE_01336	K08968
NDDHILDE_01337	K00626
NDDHILDE_01338	K00681
NDDHILDE_01343	K03466
NDDHILDE_01344	K14267
NDDHILDE_01345	K02433
NDDHILDE_01346	K03185
NDDHILDE_01348	K07157
NDDHILDE_01349	K03671
NDDHILDE_01350	K01142
NDDHILDE_01351	K03470
NDDHILDE_01354	K00773
NDDHILDE_01356	K13628
NDDHILDE_01358	K01803
NDDHILDE_01360	K21393
NDDHILDE_01361	K21394
NDDHILDE_01363	K23138
NDDHILDE_01364	K01649
NDDHILDE_01365	K03337
NDDHILDE_01366	K07161
NDDHILDE_01368	K03519
NDDHILDE_01369	K03520
NDDHILDE_01370	K03518
NDDHILDE_01372	K06876
NDDHILDE_01374	K07552
NDDHILDE_01375	K00042
NDDHILDE_01376	K00826
NDDHILDE_01379	K00128
NDDHILDE_01382	K07645
NDDHILDE_01383	K02483
NDDHILDE_01390	K22736
NDDHILDE_01392	K01476
NDDHILDE_01393	K18258
NDDHILDE_01394	K13821
NDDHILDE_01397	K01262
NDDHILDE_01399	K02377
NDDHILDE_01400	K01711
NDDHILDE_01401	K00971
NDDHILDE_01402	K05714
NDDHILDE_01403	K02001
NDDHILDE_01404	K02000
NDDHILDE_01406	K21645
NDDHILDE_01407	K05396
NDDHILDE_01409	K09815
NDDHILDE_01410	K09823
NDDHILDE_01411	K09817
NDDHILDE_01412	K09816
NDDHILDE_01413	K06606
NDDHILDE_01419	K01996
NDDHILDE_01421	K02919
NDDHILDE_01422	K02899
NDDHILDE_01426	K03979
NDDHILDE_01427	K00931
NDDHILDE_01428	K00147
NDDHILDE_01432	K00655
NDDHILDE_01434	K02533
NDDHILDE_01435	K02259
NDDHILDE_01436	K01299
NDDHILDE_01437	K02469
NDDHILDE_01439	K19302
NDDHILDE_01444	K01904
NDDHILDE_01446	K01271
NDDHILDE_01447	K16871
NDDHILDE_01450	K02004
NDDHILDE_01451	K02003
NDDHILDE_01452	K10804
NDDHILDE_01454	K10549
NDDHILDE_01455	K10440
NDDHILDE_01456	K23537
NDDHILDE_01457	K02173
NDDHILDE_01459	K03177
NDDHILDE_01461	K06997
NDDHILDE_01463	K14652
NDDHILDE_01464	K07668
NDDHILDE_01465	K02509
NDDHILDE_01469	K00483
NDDHILDE_01470	K10112
NDDHILDE_01471	K01995
NDDHILDE_01472	K01998
NDDHILDE_01473	K01997
NDDHILDE_01474	K02879
NDDHILDE_01476	K07478
NDDHILDE_01477	K06199
NDDHILDE_01478	K06180
NDDHILDE_01479	K06019
NDDHILDE_01480	K07556
NDDHILDE_01481	K01029
NDDHILDE_01483	K00108
NDDHILDE_01486	K01710
NDDHILDE_01487	K01652
NDDHILDE_01488	K00219
NDDHILDE_01490	K11529
NDDHILDE_01493	K00059
NDDHILDE_01495	K23256
NDDHILDE_01497	K05539
NDDHILDE_01501	K07447
NDDHILDE_01508	K07082
NDDHILDE_01509	K09458
NDDHILDE_01510	K02078
NDDHILDE_01511	K00059
NDDHILDE_01512	K00645
NDDHILDE_01513	K09013
NDDHILDE_01514	K09014
NDDHILDE_01515	K04487
NDDHILDE_01516	K13643
NDDHILDE_01517	K17247
NDDHILDE_01518	K07147
NDDHILDE_01519	K00059
NDDHILDE_01521	K03695
NDDHILDE_01522	K01591
NDDHILDE_01525	K02346
NDDHILDE_01528	K08738
NDDHILDE_01529	K04518
NDDHILDE_01531	K03426
NDDHILDE_01532	K02343
NDDHILDE_01533	K09747
NDDHILDE_01534	K06187
NDDHILDE_01535	K09987
NDDHILDE_01538	K06942
NDDHILDE_01539	K01695
NDDHILDE_01541	K03784
NDDHILDE_01542	K00240
NDDHILDE_01544	K00239
NDDHILDE_01546	K00241
NDDHILDE_01549	K01644
NDDHILDE_01552	K10112
NDDHILDE_01554	K00375
NDDHILDE_01555	K00827
NDDHILDE_01556	K02199
NDDHILDE_01557	K01246
NDDHILDE_01559	K00626
NDDHILDE_01560	K00059
NDDHILDE_01564	K02523
NDDHILDE_01565	K00919
NDDHILDE_01567	K00311
NDDHILDE_01568	K03624
NDDHILDE_01569	K03750
NDDHILDE_01570	K03753
NDDHILDE_01571	K03752
NDDHILDE_01572	K02379
NDDHILDE_01579	K07735
NDDHILDE_01581	K03296
NDDHILDE_01583	K03638
NDDHILDE_01587	K03313
NDDHILDE_01590	K06147
NDDHILDE_01591	K02022
NDDHILDE_01598	K09472
NDDHILDE_01602	K22314
NDDHILDE_01604	K01915
NDDHILDE_01606	K01799
NDDHILDE_01607	K01760
NDDHILDE_01610	K01409
NDDHILDE_01611	K00609
NDDHILDE_01613	K01465
NDDHILDE_01614	K08591
NDDHILDE_01615	K01919
NDDHILDE_01617	K09761
NDDHILDE_01618	K06125
NDDHILDE_01621	K03635
NDDHILDE_01623	K00995
NDDHILDE_01624	K03703
NDDHILDE_01625	K01878
NDDHILDE_01627	K11751
NDDHILDE_01629	K00254
NDDHILDE_01630	K03327
NDDHILDE_01638	K00626
NDDHILDE_01645	K01990
