ECFPDAKA_00002	K02477
ECFPDAKA_00431	K00465
ECFPDAKA_00432	K00021
ECFPDAKA_00434	K00249
ECFPDAKA_00437	K01474
ECFPDAKA_00438	K01473
ECFPDAKA_00439	K01640
ECFPDAKA_00440	K18703
ECFPDAKA_00445	K06996
ECFPDAKA_00448	K01480
ECFPDAKA_00452	K00059
ECFPDAKA_00454	K00059
ECFPDAKA_00455	K00626
ECFPDAKA_00457	K07152
ECFPDAKA_00459	K02276
ECFPDAKA_00461	K02274
ECFPDAKA_00462	K02275
ECFPDAKA_00467	K07068
ECFPDAKA_00468	K22818
ECFPDAKA_00470	K22819
ECFPDAKA_00471	K03119
ECFPDAKA_00472	K02484
ECFPDAKA_00473	K02483
ECFPDAKA_00475	K06972
ECFPDAKA_00476	K22757
ECFPDAKA_00477	K15461
ECFPDAKA_00480	K22540
ECFPDAKA_00481	K03578
ECFPDAKA_00483	K00674
ECFPDAKA_00484	K20534
ECFPDAKA_00486	K02805
ECFPDAKA_00491	K03892
ECFPDAKA_00492	K03325
ECFPDAKA_00493	K03325
ECFPDAKA_00494	K11811
ECFPDAKA_00495	K09941
ECFPDAKA_00496	K12265
ECFPDAKA_00498	K03179
ECFPDAKA_00499	K09919
ECFPDAKA_00501	K09861
ECFPDAKA_00504	K10806
ECFPDAKA_00506	K03657
ECFPDAKA_00511	K00820
ECFPDAKA_00512	K04042
ECFPDAKA_00514	K02114
ECFPDAKA_00515	K02112
ECFPDAKA_00516	K02115
ECFPDAKA_00517	K02111
ECFPDAKA_00518	K02113
ECFPDAKA_00519	K02109
ECFPDAKA_00520	K02110
ECFPDAKA_00521	K02108
ECFPDAKA_00523	K03497
ECFPDAKA_00524	K03496
ECFPDAKA_00525	K03501
ECFPDAKA_00526	K03495
ECFPDAKA_00527	K01054
ECFPDAKA_00529	K15987
ECFPDAKA_00533	K03217
ECFPDAKA_00534	K03536
ECFPDAKA_00535	K02914
ECFPDAKA_00536	K02313
ECFPDAKA_00537	K02338
ECFPDAKA_00538	K03629
ECFPDAKA_00539	K02470
ECFPDAKA_00544	K01130
ECFPDAKA_00546	K15890
ECFPDAKA_00547	K09760
ECFPDAKA_00548	K03273
ECFPDAKA_00549	K01879
ECFPDAKA_00550	K01878
ECFPDAKA_00552	K05801
ECFPDAKA_00553	K03498
ECFPDAKA_00554	K03499
ECFPDAKA_00555	K03500
ECFPDAKA_00556	K00604
ECFPDAKA_00557	K01462
ECFPDAKA_00559	K04096
ECFPDAKA_00560	K01588
ECFPDAKA_00561	K07566
ECFPDAKA_00562	K00228
ECFPDAKA_00563	K00014
ECFPDAKA_00565	K03327
ECFPDAKA_00566	K02275
ECFPDAKA_00567	K02274
ECFPDAKA_00568	K02258
ECFPDAKA_00569	K02262
ECFPDAKA_00573	K02257
ECFPDAKA_00574	K07152
ECFPDAKA_00575	K02335
ECFPDAKA_00576	K09933
ECFPDAKA_00577	K03978
ECFPDAKA_00581	K01738
ECFPDAKA_00582	K07552
ECFPDAKA_00583	K00059
ECFPDAKA_00584	K03719
ECFPDAKA_00585	K01649
ECFPDAKA_00586	K03310
ECFPDAKA_00587	K12235
ECFPDAKA_00589	K01687
ECFPDAKA_00590	K14682
ECFPDAKA_00591	K03775
ECFPDAKA_00592	K01438
ECFPDAKA_00593	K03306
ECFPDAKA_00594	K07220
ECFPDAKA_00595	K02652
ECFPDAKA_00596	K00982
ECFPDAKA_00597	K02843
ECFPDAKA_00598	K02841
ECFPDAKA_00599	K02844
ECFPDAKA_00600	K02848
ECFPDAKA_00606	K00067
ECFPDAKA_00607	K01710
ECFPDAKA_00608	K01790
ECFPDAKA_00609	K00973
ECFPDAKA_00611	K00559
ECFPDAKA_00614	K03272
ECFPDAKA_00615	K18471
ECFPDAKA_00617	K02527
ECFPDAKA_00618	K12340
ECFPDAKA_00619	K09920
ECFPDAKA_00620	K03651
ECFPDAKA_00621	K02622
ECFPDAKA_00622	K03655
ECFPDAKA_00623	K04761
ECFPDAKA_00624	K09022
ECFPDAKA_00625	K01139
ECFPDAKA_00626	K03060
ECFPDAKA_00627	K00942
ECFPDAKA_00629	K00989
ECFPDAKA_00630	K01142
ECFPDAKA_00631	K00762
ECFPDAKA_00633	K05501
ECFPDAKA_00634	K00930
ECFPDAKA_00635	K01840
ECFPDAKA_00636	K13038
ECFPDAKA_00637	K03630
ECFPDAKA_00638	K02902
ECFPDAKA_00639	K02913
ECFPDAKA_00640	K10563
ECFPDAKA_00642	K00954
ECFPDAKA_00643	K08316
ECFPDAKA_00644	K03110
ECFPDAKA_00645	K09812
ECFPDAKA_00646	K09811
ECFPDAKA_00647	K03089
ECFPDAKA_00649	K03439
ECFPDAKA_00651	K02428
ECFPDAKA_00654	K00641
ECFPDAKA_00655	K02221
ECFPDAKA_00656	K00286
ECFPDAKA_00657	K06997
ECFPDAKA_00658	K02669
ECFPDAKA_00659	K02670
ECFPDAKA_00660	K07447
ECFPDAKA_00661	K07735
ECFPDAKA_00663	K01920
ECFPDAKA_00665	K18665
ECFPDAKA_00666	K09761
ECFPDAKA_00667	K00297
ECFPDAKA_00668	K01251
ECFPDAKA_00669	K00789
ECFPDAKA_00671	K00615
ECFPDAKA_00672	K00134
ECFPDAKA_00673	K00927
ECFPDAKA_00674	K01624
ECFPDAKA_00677	K22314
ECFPDAKA_00679	K07315
ECFPDAKA_00682	K03554
ECFPDAKA_00683	K06917
ECFPDAKA_00685	K00657
ECFPDAKA_00686	K08984
ECFPDAKA_00692	K03613
ECFPDAKA_00693	K03612
ECFPDAKA_00694	K03614
ECFPDAKA_00695	K03615
ECFPDAKA_00696	K03616
ECFPDAKA_00697	K03617
ECFPDAKA_00698	K01874
ECFPDAKA_00699	K03593
ECFPDAKA_00700	K01494
ECFPDAKA_00702	K11175
ECFPDAKA_00703	K01933
ECFPDAKA_00706	K10763
ECFPDAKA_00709	K04072
ECFPDAKA_00710	K11538
ECFPDAKA_00711	K07511
ECFPDAKA_00712	K05605
ECFPDAKA_00713	K00020
ECFPDAKA_00715	K01578
ECFPDAKA_00716	K03553
ECFPDAKA_00720	K01607
ECFPDAKA_00722	K00020
ECFPDAKA_00723	K00128
ECFPDAKA_00724	K22418
ECFPDAKA_00725	K00059
ECFPDAKA_00730	K00008
ECFPDAKA_00734	K00059
ECFPDAKA_00739	K00059
ECFPDAKA_00741	K15537
ECFPDAKA_00742	K00138
ECFPDAKA_00745	K15034
ECFPDAKA_00747	K03654
ECFPDAKA_00749	K14393
ECFPDAKA_00751	K07182
ECFPDAKA_00753	K03585
ECFPDAKA_00754	K03296
ECFPDAKA_00762	K07001
ECFPDAKA_00765	K01077
ECFPDAKA_00766	K04751
ECFPDAKA_00767	K03320
ECFPDAKA_00769	K01524
ECFPDAKA_00771	K01775
ECFPDAKA_00772	K00824
ECFPDAKA_00773	K22210
ECFPDAKA_00774	K23124
ECFPDAKA_00775	K06351
ECFPDAKA_00776	K07160
ECFPDAKA_00778	K10805
ECFPDAKA_00780	K03296
ECFPDAKA_00781	K18141
ECFPDAKA_00782	K14674
ECFPDAKA_00783	K00666
ECFPDAKA_00784	K00038
ECFPDAKA_00785	K01480
ECFPDAKA_00786	K11074
ECFPDAKA_00787	K11075
ECFPDAKA_00788	K11076
ECFPDAKA_00789	K11073
ECFPDAKA_00793	K00605
ECFPDAKA_00794	K05708
ECFPDAKA_00795	K16871
ECFPDAKA_00797	K12972
ECFPDAKA_00798	K06132
ECFPDAKA_00799	K01425
ECFPDAKA_00800	K07278
ECFPDAKA_00801	K09800
ECFPDAKA_00804	K01897
ECFPDAKA_00805	K20265
ECFPDAKA_00807	K00117
ECFPDAKA_00809	K06131
ECFPDAKA_00810	K03308
ECFPDAKA_00811	K01262
ECFPDAKA_00820	K02456
ECFPDAKA_00821	K02455
ECFPDAKA_00822	K02454
ECFPDAKA_00823	K02453
ECFPDAKA_00826	K00556
ECFPDAKA_00827	K01673
ECFPDAKA_00831	K09767
ECFPDAKA_00832	K00077
ECFPDAKA_00834	K12132
ECFPDAKA_00835	K07713
ECFPDAKA_00837	K03806
ECFPDAKA_00838	K00767
ECFPDAKA_00839	K02553
ECFPDAKA_00847	K00754
ECFPDAKA_00849	K08218
ECFPDAKA_00852	K07443
ECFPDAKA_00855	K04078
ECFPDAKA_00856	K04077
ECFPDAKA_00857	K01692
ECFPDAKA_00859	K09903
ECFPDAKA_00860	K02838
ECFPDAKA_00861	K00806
ECFPDAKA_00862	K00981
ECFPDAKA_00863	K00099
ECFPDAKA_00864	K11749
ECFPDAKA_00865	K07277
ECFPDAKA_00867	K02536
ECFPDAKA_00868	K02372
ECFPDAKA_00869	K00677
ECFPDAKA_00870	K00748
ECFPDAKA_00871	K03470
ECFPDAKA_00873	K12961
ECFPDAKA_00874	K07460
ECFPDAKA_00876	K07056
ECFPDAKA_00877	K03925
ECFPDAKA_00878	K03438
ECFPDAKA_00880	K03587
ECFPDAKA_00881	K01928
ECFPDAKA_00882	K01929
ECFPDAKA_00883	K01000
ECFPDAKA_00884	K01925
ECFPDAKA_00885	K03588
ECFPDAKA_00886	K02563
ECFPDAKA_00887	K01924
ECFPDAKA_00888	K01921
ECFPDAKA_00889	K03589
ECFPDAKA_00890	K03590
ECFPDAKA_00891	K03531
ECFPDAKA_00892	K02535
ECFPDAKA_00893	K19304
ECFPDAKA_00894	K03070
ECFPDAKA_00895	K00620
ECFPDAKA_00896	K03574
ECFPDAKA_00897	K00859
ECFPDAKA_00898	K02654
ECFPDAKA_00899	K00031
ECFPDAKA_00900	K18850
ECFPDAKA_00901	K01756
ECFPDAKA_00902	K07153
ECFPDAKA_00903	K00566
ECFPDAKA_00904	K12152
ECFPDAKA_00905	K06181
ECFPDAKA_00906	K00031
ECFPDAKA_00907	K00031
ECFPDAKA_00908	K06891
ECFPDAKA_00909	K03694
ECFPDAKA_00910	K02518
ECFPDAKA_00911	K00685
ECFPDAKA_00912	K00684
ECFPDAKA_00913	K00384
ECFPDAKA_00914	K03466
ECFPDAKA_00916	K07478
ECFPDAKA_00917	K06199
ECFPDAKA_00918	K01875
ECFPDAKA_00921	K01692
ECFPDAKA_00928	K05898
ECFPDAKA_00931	K00833
ECFPDAKA_00933	K00255
ECFPDAKA_00934	K00864
ECFPDAKA_00941	K01175
ECFPDAKA_00944	K00128
ECFPDAKA_00945	K00108
ECFPDAKA_00947	K01737
ECFPDAKA_00950	K07497
ECFPDAKA_00953	K03563
ECFPDAKA_00954	K00928
ECFPDAKA_00955	K01872
ECFPDAKA_00956	K02503
ECFPDAKA_00957	K09791
ECFPDAKA_00958	K19304
ECFPDAKA_00959	K04760
ECFPDAKA_00960	K23677
ECFPDAKA_00961	K00281
ECFPDAKA_00964	K00008
ECFPDAKA_00969	K02557
ECFPDAKA_00972	K03296
ECFPDAKA_00973	K01130
ECFPDAKA_00976	K02337
ECFPDAKA_00977	K03600
ECFPDAKA_00978	K03599
ECFPDAKA_00979	K00412
ECFPDAKA_00980	K00411
ECFPDAKA_00982	K02996
ECFPDAKA_00983	K02871
ECFPDAKA_00984	K06916
ECFPDAKA_00987	K04771
ECFPDAKA_00988	K00013
ECFPDAKA_00991	K11522
ECFPDAKA_00993	K02660
ECFPDAKA_00995	K03407
ECFPDAKA_01001	K21416
ECFPDAKA_01002	K21417
ECFPDAKA_01003	K00627
ECFPDAKA_01004	K00059
ECFPDAKA_01005	K00059
ECFPDAKA_01006	K02292
ECFPDAKA_01023	K00059
ECFPDAKA_01036	K11991
ECFPDAKA_01037	K18691
ECFPDAKA_01038	K01952
ECFPDAKA_01039	K03072
ECFPDAKA_01040	K03074
ECFPDAKA_01041	K01092
ECFPDAKA_01042	K15396
ECFPDAKA_01043	K13643
ECFPDAKA_01044	K04487
ECFPDAKA_01045	K04488
ECFPDAKA_01046	K13628
ECFPDAKA_01047	K04082
ECFPDAKA_01048	K04044
ECFPDAKA_01049	K04755
ECFPDAKA_01051	K00940
ECFPDAKA_01052	K06941
ECFPDAKA_01055	K03526
ECFPDAKA_01056	K01892
ECFPDAKA_01059	K03977
ECFPDAKA_01065	K01990
ECFPDAKA_01067	K03322
ECFPDAKA_01068	K14759
ECFPDAKA_01069	K01740
ECFPDAKA_01070	K00135
ECFPDAKA_01071	K03451
ECFPDAKA_01072	K03566
ECFPDAKA_01079	K15981
ECFPDAKA_01081	K00344
ECFPDAKA_01084	K01822
ECFPDAKA_01086	K01897
ECFPDAKA_01087	K00121
ECFPDAKA_01088	K00666
ECFPDAKA_01090	K16092
ECFPDAKA_01095	K01130
ECFPDAKA_01101	K18660
ECFPDAKA_01102	K08602
ECFPDAKA_01109	K02666
ECFPDAKA_01110	K00891
ECFPDAKA_01111	K01735
ECFPDAKA_01112	K00265
ECFPDAKA_01113	K00266
ECFPDAKA_01114	K01599
ECFPDAKA_01115	K00640
ECFPDAKA_01118	K01807
ECFPDAKA_01119	K01754
ECFPDAKA_01120	K01934
ECFPDAKA_01124	K01262
ECFPDAKA_01125	K03185
ECFPDAKA_01126	K06126
ECFPDAKA_01127	K02437
ECFPDAKA_01128	K06969
ECFPDAKA_01130	K08311
ECFPDAKA_01131	K08484
ECFPDAKA_01133	K13292
ECFPDAKA_01134	K00560
ECFPDAKA_01135	K00287
ECFPDAKA_01137	K03561
ECFPDAKA_01143	K02483
ECFPDAKA_01144	K07645
ECFPDAKA_01145	K00845
ECFPDAKA_01146	K00873
ECFPDAKA_01148	K01126
ECFPDAKA_01149	K02424
ECFPDAKA_01154	K03312
ECFPDAKA_01156	K02014
ECFPDAKA_01157	K05592
ECFPDAKA_01158	K03186
ECFPDAKA_01159	K08151
ECFPDAKA_01160	K00059
ECFPDAKA_01162	K00015
ECFPDAKA_01165	K11921
ECFPDAKA_01169	K01990
ECFPDAKA_01170	K00383
ECFPDAKA_01172	K01626
ECFPDAKA_01175	K00428
ECFPDAKA_01177	K07175
ECFPDAKA_01179	K01613
ECFPDAKA_01180	K06949
ECFPDAKA_01181	K13288
ECFPDAKA_01182	K18979
ECFPDAKA_01183	K17758
ECFPDAKA_01184	K06925
ECFPDAKA_01185	K01448
ECFPDAKA_01186	K03572
ECFPDAKA_01187	K00791
ECFPDAKA_01188	K03666
ECFPDAKA_01189	K03665
ECFPDAKA_01190	K04088
ECFPDAKA_01191	K04087
ECFPDAKA_01193	K02502
ECFPDAKA_01194	K01939
ECFPDAKA_01199	K08678
ECFPDAKA_01200	K00012
ECFPDAKA_01202	K01784
ECFPDAKA_01207	K03799
ECFPDAKA_01208	K03744
ECFPDAKA_01212	K01866
ECFPDAKA_01213	K19304
ECFPDAKA_01214	K09001
ECFPDAKA_01215	K15724
ECFPDAKA_01218	K00145
ECFPDAKA_01219	K03281
ECFPDAKA_01220	K08973
ECFPDAKA_01221	K01845
ECFPDAKA_01222	K01698
ECFPDAKA_01226	K05776
ECFPDAKA_01229	K05365
ECFPDAKA_01230	K01025
ECFPDAKA_01235	K06915
ECFPDAKA_01239	K03767
ECFPDAKA_01240	K02485
ECFPDAKA_01241	K11527
ECFPDAKA_01244	K03763
ECFPDAKA_01246	K01130
ECFPDAKA_01257	K05898
ECFPDAKA_01258	K03563
ECFPDAKA_01260	K09954
ECFPDAKA_01265	K14540
ECFPDAKA_01268	K00163
ECFPDAKA_01275	K22071
ECFPDAKA_01276	K23138
ECFPDAKA_01277	K05524
ECFPDAKA_01278	K03555
ECFPDAKA_01279	K03386
ECFPDAKA_01282	K00074
ECFPDAKA_01284	K03292
ECFPDAKA_01287	K07658
ECFPDAKA_01291	K03734
ECFPDAKA_01292	K01715
ECFPDAKA_01293	K01246
ECFPDAKA_01294	K03327
ECFPDAKA_01296	K00906
ECFPDAKA_01299	K00249
ECFPDAKA_01300	K22818
ECFPDAKA_01302	K05838
ECFPDAKA_01303	K00215
ECFPDAKA_01304	K03686
ECFPDAKA_01305	K04043
ECFPDAKA_01306	K03687
ECFPDAKA_01307	K03705
ECFPDAKA_01308	K03631
ECFPDAKA_01309	K03711
ECFPDAKA_01311	K09801
ECFPDAKA_01313	K03308
ECFPDAKA_01314	K03664
ECFPDAKA_01315	K07090
ECFPDAKA_01324	K12251
ECFPDAKA_01325	K07246
ECFPDAKA_01326	K00382
ECFPDAKA_01327	K00627
ECFPDAKA_01328	K00162
ECFPDAKA_01329	K04066
ECFPDAKA_01330	K02909
ECFPDAKA_01332	K00027
ECFPDAKA_01333	K05366
ECFPDAKA_01334	K02662
ECFPDAKA_01342	K03704
ECFPDAKA_01343	K03704
ECFPDAKA_01344	K01873
ECFPDAKA_01346	K01255
ECFPDAKA_01348	K11720
ECFPDAKA_01350	K02483
ECFPDAKA_01351	K07644
ECFPDAKA_01355	K22066
ECFPDAKA_01356	K07146
ECFPDAKA_01358	K11163
ECFPDAKA_01359	K16047
ECFPDAKA_01360	K05714
ECFPDAKA_01361	K02554
ECFPDAKA_01362	K04073
ECFPDAKA_01363	K01666
ECFPDAKA_01369	K07116
ECFPDAKA_01370	K00059
ECFPDAKA_01372	K01652
ECFPDAKA_01373	K00812
ECFPDAKA_01381	K01420
ECFPDAKA_01382	K02495
ECFPDAKA_01387	K06988
ECFPDAKA_01388	K12234
ECFPDAKA_01389	K11212
ECFPDAKA_01390	K11779
ECFPDAKA_01391	K03648
ECFPDAKA_01392	K07101
ECFPDAKA_01394	K00031
ECFPDAKA_01395	K06980
ECFPDAKA_01397	K00278
ECFPDAKA_01398	K03088
ECFPDAKA_01402	K04771
ECFPDAKA_01403	K03596
ECFPDAKA_01404	K03100
ECFPDAKA_01406	K03685
ECFPDAKA_01407	K03595
ECFPDAKA_01408	K03584
ECFPDAKA_01409	K00997
ECFPDAKA_01410	K12339
ECFPDAKA_01411	K00951
ECFPDAKA_01412	K04765
ECFPDAKA_01413	K00939
ECFPDAKA_01415	K01147
ECFPDAKA_01417	K01893
ECFPDAKA_01423	K00390
ECFPDAKA_01424	K03496
ECFPDAKA_01425	K04072
ECFPDAKA_01426	K03773
ECFPDAKA_01429	K03742
ECFPDAKA_01431	K00275
ECFPDAKA_01449	K01069
ECFPDAKA_01450	K11102
ECFPDAKA_01453	K00330
ECFPDAKA_01454	K00331
ECFPDAKA_01455	K13378
ECFPDAKA_01456	K00334
ECFPDAKA_01457	K00335
ECFPDAKA_01458	K00336
ECFPDAKA_01459	K00337
ECFPDAKA_01460	K00338
ECFPDAKA_01461	K00339
ECFPDAKA_01462	K00340
ECFPDAKA_01463	K00341
ECFPDAKA_01464	K00342
ECFPDAKA_01465	K00343
ECFPDAKA_01467	K06959
ECFPDAKA_01473	K15866
ECFPDAKA_01475	K23016
ECFPDAKA_01478	K00059
ECFPDAKA_01479	K00626
ECFPDAKA_01480	K00344
ECFPDAKA_01481	K00248
ECFPDAKA_01484	K11209
ECFPDAKA_01485	K15866
ECFPDAKA_01487	K00121
ECFPDAKA_01488	K01070
ECFPDAKA_01489	K00334
ECFPDAKA_01490	K05587
ECFPDAKA_01491	K00123
ECFPDAKA_01492	K02379
ECFPDAKA_01500	K00059
ECFPDAKA_01501	K00224
ECFPDAKA_01503	K00605
ECFPDAKA_01506	K00666
ECFPDAKA_01507	K01637
ECFPDAKA_01508	K00135
ECFPDAKA_01509	K00059
ECFPDAKA_01512	K22443
ECFPDAKA_01514	K22443
ECFPDAKA_01515	K22443
ECFPDAKA_01517	K00059
ECFPDAKA_01518	K16046
ECFPDAKA_01524	K00465
ECFPDAKA_01525	K00465
ECFPDAKA_01527	K05708
ECFPDAKA_01528	K15866
ECFPDAKA_01530	K22443
ECFPDAKA_01534	K19550
ECFPDAKA_01536	K00249
ECFPDAKA_01538	K22015
ECFPDAKA_01540	K00359
ECFPDAKA_01542	K00464
ECFPDAKA_01543	K07068
ECFPDAKA_01544	K08764
ECFPDAKA_01545	K05708
ECFPDAKA_01546	K00059
ECFPDAKA_01547	K00359
ECFPDAKA_01548	K11153
ECFPDAKA_01549	K11147
ECFPDAKA_01552	K00038
ECFPDAKA_01560	K00059
ECFPDAKA_01562	K00826
ECFPDAKA_01563	K20497
ECFPDAKA_01565	K01796
ECFPDAKA_01568	K14938
ECFPDAKA_01576	K13954
ECFPDAKA_01577	K01690
ECFPDAKA_01578	K00036
ECFPDAKA_01579	K01066
ECFPDAKA_01584	K00666
ECFPDAKA_01586	K06895
ECFPDAKA_01587	K00681
ECFPDAKA_01592	K01092
ECFPDAKA_01596	K11162
ECFPDAKA_01597	K02031
ECFPDAKA_01598	K15582
ECFPDAKA_01599	K15581
ECFPDAKA_01600	K15580
