DIPOCFIP_00001	K01654
DIPOCFIP_00356	K13292
DIPOCFIP_00357	K01903
DIPOCFIP_00359	K09810
DIPOCFIP_00361	K01465
DIPOCFIP_00362	K02034
DIPOCFIP_00363	K02033
DIPOCFIP_00364	K15580
DIPOCFIP_00365	K00889
DIPOCFIP_00373	K03545
DIPOCFIP_00374	K01358
DIPOCFIP_00375	K03544
DIPOCFIP_00377	K00287
DIPOCFIP_00378	K00560
DIPOCFIP_00379	K11536
DIPOCFIP_00380	K01029
DIPOCFIP_00381	K01028
DIPOCFIP_00382	K05366
DIPOCFIP_00385	K02341
DIPOCFIP_00386	K00927
DIPOCFIP_00390	K01889
DIPOCFIP_00395	K00525
DIPOCFIP_00398	K13566
DIPOCFIP_00404	K12132
DIPOCFIP_00407	K14645
DIPOCFIP_00408	K00074
DIPOCFIP_00409	K00074
DIPOCFIP_00410	K15866
DIPOCFIP_00411	K02612
DIPOCFIP_00412	K02611
DIPOCFIP_00413	K02610
DIPOCFIP_00414	K02609
DIPOCFIP_00415	K02613
DIPOCFIP_00417	K00134
DIPOCFIP_00418	K01778
DIPOCFIP_00421	K02014
DIPOCFIP_00427	K11752
DIPOCFIP_00428	K02493
DIPOCFIP_00430	K01972
DIPOCFIP_00432	K01714
DIPOCFIP_00433	K00432
DIPOCFIP_00434	K05807
DIPOCFIP_00436	K13038
DIPOCFIP_00438	K03631
DIPOCFIP_00439	K00208
DIPOCFIP_00440	K03696
DIPOCFIP_00442	K02863
DIPOCFIP_00443	K02864
DIPOCFIP_00444	K02935
DIPOCFIP_00445	K03043
DIPOCFIP_00446	K03046
DIPOCFIP_00448	K00294
DIPOCFIP_00449	K11381
DIPOCFIP_00452	K03113
DIPOCFIP_00455	K00891
DIPOCFIP_00456	K02825
DIPOCFIP_00459	K02557
DIPOCFIP_00468	K02618
DIPOCFIP_00470	K05605
DIPOCFIP_00471	K11381
DIPOCFIP_00474	K13678
DIPOCFIP_00477	K08307
DIPOCFIP_00478	K04564
DIPOCFIP_00482	K00457
DIPOCFIP_00483	K03564
DIPOCFIP_00485	K04485
DIPOCFIP_00487	K01462
DIPOCFIP_00488	K03924
DIPOCFIP_00489	K03771
DIPOCFIP_00492	K02470
DIPOCFIP_00493	K00024
DIPOCFIP_00494	K02909
DIPOCFIP_00496	K03760
DIPOCFIP_00498	K01338
DIPOCFIP_00500	K00945
DIPOCFIP_00501	K03527
DIPOCFIP_00502	K06182
DIPOCFIP_00508	K02426
DIPOCFIP_00509	K11717
DIPOCFIP_00510	K09015
DIPOCFIP_00511	K09013
DIPOCFIP_00512	K09014
DIPOCFIP_00513	K13628
DIPOCFIP_00520	K03650
DIPOCFIP_00521	K01902
DIPOCFIP_00522	K00059
DIPOCFIP_00523	K04066
DIPOCFIP_00528	K03671
DIPOCFIP_00531	K03671
DIPOCFIP_00534	K01069
DIPOCFIP_00539	K01847
DIPOCFIP_00541	K07056
DIPOCFIP_00542	K01104
DIPOCFIP_00543	K02313
DIPOCFIP_00544	K01081
DIPOCFIP_00545	K01119
DIPOCFIP_00547	K09874
DIPOCFIP_00548	K00757
DIPOCFIP_00550	K03742
DIPOCFIP_00551	K02902
DIPOCFIP_00554	K02913
DIPOCFIP_00556	K03110
DIPOCFIP_00557	K14441
DIPOCFIP_00558	K03106
DIPOCFIP_00559	K03106
DIPOCFIP_00560	K01491
DIPOCFIP_00561	K03704
DIPOCFIP_00562	K03702
DIPOCFIP_00564	K00014
DIPOCFIP_00565	K08974
DIPOCFIP_00566	K08097
DIPOCFIP_00567	K01840
DIPOCFIP_00568	K04487
DIPOCFIP_00570	K03315
DIPOCFIP_00571	K01761
DIPOCFIP_00573	K01991
DIPOCFIP_00574	K06287
DIPOCFIP_00575	K17105
DIPOCFIP_00578	K01463
DIPOCFIP_00580	K17686
DIPOCFIP_00583	K01829
DIPOCFIP_00584	K03305
DIPOCFIP_00585	K01278
DIPOCFIP_00586	K00104
DIPOCFIP_00589	K10947
DIPOCFIP_00590	K03179
DIPOCFIP_00592	K01892
DIPOCFIP_00593	K01745
DIPOCFIP_00595	K09761
DIPOCFIP_00596	K06180
DIPOCFIP_00597	K00606
DIPOCFIP_00599	K14085
DIPOCFIP_00601	K11749
DIPOCFIP_00608	K01591
DIPOCFIP_00609	K02835
DIPOCFIP_00610	K01933
DIPOCFIP_00612	K01915
DIPOCFIP_00613	K07301
DIPOCFIP_00615	K12257
DIPOCFIP_00616	K02435
DIPOCFIP_00618	K01867
DIPOCFIP_00619	K09979
DIPOCFIP_00624	K03665
DIPOCFIP_00627	K06147
DIPOCFIP_00628	K02834
DIPOCFIP_00629	K09808
DIPOCFIP_00630	K03593
DIPOCFIP_00638	K03551
DIPOCFIP_00640	K03186
DIPOCFIP_00643	K03564
DIPOCFIP_00644	K00457
DIPOCFIP_00646	K00252
DIPOCFIP_00648	K01719
DIPOCFIP_00650	K08998
DIPOCFIP_00651	K03797
DIPOCFIP_00653	K01775
DIPOCFIP_00654	K00857
DIPOCFIP_00656	K07056
DIPOCFIP_00657	K04516
DIPOCFIP_00658	K07462
DIPOCFIP_00659	K02316
DIPOCFIP_00660	K02523
DIPOCFIP_00661	K06941
DIPOCFIP_00662	K20810
DIPOCFIP_00663	K00991
DIPOCFIP_00664	K07568
DIPOCFIP_00665	K03177
DIPOCFIP_00666	K06153
DIPOCFIP_00668	K09811
DIPOCFIP_00669	K01869
DIPOCFIP_00671	K03437
DIPOCFIP_00672	K01624
DIPOCFIP_00673	K01963
DIPOCFIP_00674	K02956
DIPOCFIP_00675	K00962
DIPOCFIP_00676	K03086
DIPOCFIP_00677	K01783
DIPOCFIP_00678	K14157
DIPOCFIP_00680	K06902
DIPOCFIP_00684	K15736
DIPOCFIP_00686	K01756
DIPOCFIP_00687	K09793
DIPOCFIP_00688	K11782
DIPOCFIP_00690	K03832
DIPOCFIP_00691	K03217
DIPOCFIP_00692	K01937
DIPOCFIP_00694	K02340
DIPOCFIP_00700	K03321
DIPOCFIP_00703	K06187
DIPOCFIP_00704	K00658
DIPOCFIP_00705	K02342
DIPOCFIP_00706	K02621
DIPOCFIP_00709	K19540
DIPOCFIP_00710	K00605
DIPOCFIP_00711	K05979
DIPOCFIP_00714	K00384
DIPOCFIP_00715	K03654
DIPOCFIP_00716	K00604
DIPOCFIP_00717	K00556
DIPOCFIP_00719	K00275
DIPOCFIP_00720	K07735
DIPOCFIP_00723	K09808
DIPOCFIP_00726	K06940
DIPOCFIP_00727	K00812
DIPOCFIP_00729	K01873
DIPOCFIP_00745	K03561
DIPOCFIP_00748	K11754
DIPOCFIP_00752	K07114
DIPOCFIP_00753	K07114
DIPOCFIP_00757	K02314
DIPOCFIP_00758	K01962
DIPOCFIP_00759	K00919
DIPOCFIP_00765	K03628
DIPOCFIP_00767	K07095
DIPOCFIP_00769	K04763
DIPOCFIP_00770	K18214
DIPOCFIP_00774	K03501
DIPOCFIP_00775	K03088
DIPOCFIP_00777	K01923
DIPOCFIP_00778	K06217
DIPOCFIP_00780	K01992
DIPOCFIP_00783	K02338
DIPOCFIP_00784	K00457
DIPOCFIP_00785	K03564
DIPOCFIP_00787	K04485
DIPOCFIP_00788	K03272
DIPOCFIP_00789	K07027
DIPOCFIP_00790	K01918
DIPOCFIP_00791	K00703
DIPOCFIP_00793	K02014
DIPOCFIP_00798	K03811
DIPOCFIP_00800	K17104
DIPOCFIP_00802	K01251
DIPOCFIP_00807	K03624
DIPOCFIP_00808	K02503
DIPOCFIP_00809	K01159
DIPOCFIP_00812	K02034
DIPOCFIP_00814	K00721
DIPOCFIP_00815	K01465
DIPOCFIP_00818	K00091
DIPOCFIP_00819	K01866
DIPOCFIP_00822	K06888
DIPOCFIP_00830	K15633
DIPOCFIP_00835	K01468
DIPOCFIP_00840	K00262
DIPOCFIP_00841	K09001
DIPOCFIP_00842	K00248
DIPOCFIP_00844	K09022
DIPOCFIP_00845	K06997
DIPOCFIP_00847	K00058
DIPOCFIP_00848	K00831
DIPOCFIP_00849	K02356
DIPOCFIP_00850	K00677
DIPOCFIP_00851	K16363
DIPOCFIP_00852	K02536
DIPOCFIP_00857	K04567
DIPOCFIP_00859	K03703
DIPOCFIP_00867	K00566
DIPOCFIP_00868	K22136
DIPOCFIP_00869	K01951
DIPOCFIP_00874	K23234
DIPOCFIP_00876	K09022
DIPOCFIP_00877	K00452
DIPOCFIP_00878	K03392
DIPOCFIP_00880	K01556
DIPOCFIP_00881	K00486
DIPOCFIP_00882	K07010
DIPOCFIP_00883	K03768
DIPOCFIP_00884	K06881
DIPOCFIP_00885	K00940
DIPOCFIP_00886	K00821
DIPOCFIP_00887	K00615
DIPOCFIP_00889	K00626
DIPOCFIP_00892	K00074
DIPOCFIP_00893	K15866
DIPOCFIP_00894	K02612
DIPOCFIP_00895	K02611
DIPOCFIP_00897	K03466
DIPOCFIP_00899	K07729
DIPOCFIP_00902	K00764
DIPOCFIP_00906	K01808
DIPOCFIP_00908	K12573
DIPOCFIP_00912	K00852
DIPOCFIP_00913	K03469
DIPOCFIP_00914	K05595
DIPOCFIP_00915	K11175
DIPOCFIP_00916	K02078
DIPOCFIP_00917	K09458
DIPOCFIP_00918	K03685
DIPOCFIP_00920	K00873
DIPOCFIP_00926	K15916
DIPOCFIP_00927	K03801
DIPOCFIP_00931	K00748
DIPOCFIP_00933	K03787
DIPOCFIP_00934	K06973
DIPOCFIP_00940	K09861
DIPOCFIP_00946	K07082
DIPOCFIP_00947	K00955
DIPOCFIP_00948	K03832
DIPOCFIP_00949	K02437
DIPOCFIP_00951	K03550
DIPOCFIP_00952	K04020
DIPOCFIP_00953	K14652
DIPOCFIP_00954	K07091
DIPOCFIP_00959	K05592
DIPOCFIP_00960	K14742
DIPOCFIP_00962	K02851
DIPOCFIP_00963	K03273
DIPOCFIP_00964	K03271
DIPOCFIP_00971	K01784
DIPOCFIP_00976	K01082
DIPOCFIP_00977	K01619
DIPOCFIP_00978	K00860
DIPOCFIP_00979	K00957
DIPOCFIP_00980	K00955
DIPOCFIP_00982	K03832
DIPOCFIP_00984	K19430
DIPOCFIP_00985	K16698
DIPOCFIP_00987	K06970
DIPOCFIP_00990	K02238
DIPOCFIP_00995	K00793
DIPOCFIP_00996	K11784
DIPOCFIP_00997	K01255
DIPOCFIP_00998	K00097
DIPOCFIP_01000	K02911
DIPOCFIP_01001	K03621
DIPOCFIP_01002	K00648
DIPOCFIP_01003	K02160
DIPOCFIP_01004	K01961
DIPOCFIP_01007	K04077
DIPOCFIP_01008	K04078
DIPOCFIP_01013	K06168
DIPOCFIP_01014	K03168
DIPOCFIP_01017	K13444
DIPOCFIP_01023	K00012
DIPOCFIP_01028	K00674
DIPOCFIP_01031	K07566
DIPOCFIP_01032	K00970
DIPOCFIP_01034	K00791
DIPOCFIP_01036	K00784
DIPOCFIP_01039	K00609
DIPOCFIP_01040	K02825
DIPOCFIP_01041	K02945
DIPOCFIP_01046	K03183
DIPOCFIP_01047	K03272
DIPOCFIP_01048	K00812
DIPOCFIP_01056	K09022
DIPOCFIP_01057	K07588
DIPOCFIP_01061	K11749
DIPOCFIP_01062	K00099
DIPOCFIP_01069	K02108
DIPOCFIP_01071	K02109
DIPOCFIP_01073	K02111
DIPOCFIP_01074	K02899
DIPOCFIP_01075	K01875
DIPOCFIP_01079	K01069
DIPOCFIP_01080	K07090
DIPOCFIP_01081	K01436
DIPOCFIP_01083	K03654
DIPOCFIP_01084	K06041
DIPOCFIP_01091	K11071
DIPOCFIP_01092	K11070
DIPOCFIP_01096	K08999
DIPOCFIP_01097	K03522
DIPOCFIP_01098	K03521
DIPOCFIP_01099	K01874
DIPOCFIP_01100	K01297
DIPOCFIP_01103	K02337
DIPOCFIP_01104	K03671
DIPOCFIP_01114	K03606
DIPOCFIP_01115	K02377
DIPOCFIP_01120	K01493
DIPOCFIP_01121	K03797
DIPOCFIP_01124	K01580
DIPOCFIP_01126	K01870
DIPOCFIP_01128	K03101
DIPOCFIP_01129	K00133
DIPOCFIP_01132	K13789
DIPOCFIP_01133	K00973
DIPOCFIP_01135	K02838
DIPOCFIP_01136	K09903
DIPOCFIP_01137	K02357
DIPOCFIP_01138	K02967
DIPOCFIP_01139	K02996
DIPOCFIP_01140	K02871
DIPOCFIP_01141	K00639
DIPOCFIP_01142	K00262
DIPOCFIP_01144	K00573
DIPOCFIP_01147	K02111
DIPOCFIP_01148	K02115
DIPOCFIP_01149	K01715
DIPOCFIP_01151	K01520
DIPOCFIP_01155	K03116
DIPOCFIP_01156	K02433
DIPOCFIP_01163	K03092
DIPOCFIP_01164	K01893
DIPOCFIP_01165	K01662
DIPOCFIP_01166	K03296
DIPOCFIP_01170	K08307
DIPOCFIP_01178	K03495
DIPOCFIP_01181	K01885
DIPOCFIP_01182	K01633
DIPOCFIP_01183	K01880
DIPOCFIP_01188	K00252
DIPOCFIP_01189	K00912
DIPOCFIP_01190	K03783
DIPOCFIP_01192	K02434
DIPOCFIP_01193	K03269
DIPOCFIP_01195	K03644
DIPOCFIP_01196	K03648
DIPOCFIP_01199	K03218
DIPOCFIP_01204	K03386
DIPOCFIP_01206	K01770
DIPOCFIP_01211	K01929
DIPOCFIP_01214	K20361
DIPOCFIP_01217	K02371
DIPOCFIP_01218	K05592
DIPOCFIP_01220	K07444
DIPOCFIP_01223	K03701
DIPOCFIP_01225	K01790
DIPOCFIP_01226	K03773
DIPOCFIP_01230	K03977
DIPOCFIP_01231	K03595
DIPOCFIP_01237	K03555
DIPOCFIP_01242	K00950
DIPOCFIP_01243	K04773
DIPOCFIP_01246	K15519
DIPOCFIP_01248	K23025
DIPOCFIP_01250	K12996
DIPOCFIP_01252	K07304
DIPOCFIP_01253	K02491
DIPOCFIP_01255	K06178
DIPOCFIP_01256	K07460
DIPOCFIP_01258	K01874
DIPOCFIP_01259	K01297
DIPOCFIP_01261	K02435
DIPOCFIP_01270	K15460
DIPOCFIP_01272	K02557
DIPOCFIP_01276	K03526
DIPOCFIP_01277	K02003
DIPOCFIP_01278	K02004
DIPOCFIP_01279	K02004
DIPOCFIP_01281	K08976
DIPOCFIP_01282	K02257
DIPOCFIP_01284	K11991
DIPOCFIP_01285	K01876
DIPOCFIP_01290	K02276
DIPOCFIP_01292	K02274
DIPOCFIP_01293	K02275
DIPOCFIP_01294	K01737
DIPOCFIP_01295	K07146
DIPOCFIP_01296	K15789
DIPOCFIP_01297	K01883
DIPOCFIP_01301	K01322
DIPOCFIP_01302	K06867
DIPOCFIP_01303	K11927
DIPOCFIP_01305	K00969
DIPOCFIP_01306	K00942
DIPOCFIP_01309	K01760
DIPOCFIP_01310	K16216
DIPOCFIP_01313	K02335
DIPOCFIP_01316	K03596
DIPOCFIP_01318	K01945
DIPOCFIP_01321	K23265
DIPOCFIP_01322	K00525
DIPOCFIP_01325	K13566
DIPOCFIP_01326	K00240
DIPOCFIP_01327	K00239
DIPOCFIP_01329	K01613
DIPOCFIP_01330	K00981
DIPOCFIP_01332	K03798
DIPOCFIP_01333	K09710
DIPOCFIP_01334	K03524
DIPOCFIP_01336	K00762
DIPOCFIP_01339	K02527
DIPOCFIP_01341	K01710
DIPOCFIP_01344	K03470
DIPOCFIP_01348	K05396
DIPOCFIP_01350	K01712
DIPOCFIP_01357	K01448
DIPOCFIP_01360	K03657
DIPOCFIP_01361	K16089
DIPOCFIP_01364	K01847
DIPOCFIP_01366	K03687
DIPOCFIP_01367	K03686
DIPOCFIP_01368	K01990
DIPOCFIP_01369	K01992
DIPOCFIP_01371	K01872
DIPOCFIP_01374	K03274
DIPOCFIP_01377	K00798
DIPOCFIP_01379	K03070
DIPOCFIP_01380	K01246
DIPOCFIP_01384	K07391
DIPOCFIP_01385	K04084
DIPOCFIP_01387	K04075
DIPOCFIP_01388	K01657
DIPOCFIP_01390	K02519
DIPOCFIP_01391	K02600
DIPOCFIP_01396	K00263
DIPOCFIP_01399	K03210
DIPOCFIP_01404	K03572
DIPOCFIP_01407	K00754
DIPOCFIP_01408	K00859
DIPOCFIP_01413	K03215
DIPOCFIP_01414	K01868
DIPOCFIP_01415	K02520
DIPOCFIP_01416	K02916
DIPOCFIP_01417	K02887
DIPOCFIP_01418	K09117
DIPOCFIP_01419	K09667
DIPOCFIP_01420	K03553
DIPOCFIP_01421	K10773
DIPOCFIP_01423	K03088
DIPOCFIP_01424	K03701
DIPOCFIP_01425	K07447
DIPOCFIP_01428	K02888
DIPOCFIP_01431	K02259
DIPOCFIP_01434	K03111
DIPOCFIP_01435	K03575
DIPOCFIP_01436	K03530
DIPOCFIP_01438	K08301
DIPOCFIP_01441	K02836
DIPOCFIP_01442	K00537
DIPOCFIP_01443	K01679
DIPOCFIP_01444	K00971
DIPOCFIP_01446	K04759
DIPOCFIP_01448	K02066
DIPOCFIP_01449	K02065
DIPOCFIP_01450	K02528
DIPOCFIP_01451	K06213
DIPOCFIP_01452	K00058
DIPOCFIP_01454	K00928
DIPOCFIP_01455	K00850
DIPOCFIP_01456	K03723
DIPOCFIP_01457	K00602
DIPOCFIP_01458	K03569
DIPOCFIP_01459	K03570
DIPOCFIP_01461	K05515
DIPOCFIP_01462	K05837
DIPOCFIP_01463	K03771
DIPOCFIP_01468	K03525
DIPOCFIP_01471	K00281
DIPOCFIP_01475	K09812
DIPOCFIP_01476	K00075
DIPOCFIP_01477	K01144
DIPOCFIP_01478	K00031
DIPOCFIP_01479	K00031
DIPOCFIP_01481	K02343
DIPOCFIP_01482	K02990
DIPOCFIP_01483	K02963
DIPOCFIP_01484	K02939
DIPOCFIP_01485	K01681
DIPOCFIP_01487	K03324
DIPOCFIP_01492	K13703
DIPOCFIP_01493	K03474
DIPOCFIP_01496	K00858
DIPOCFIP_01498	K00806
DIPOCFIP_01499	K07277
DIPOCFIP_01500	K06142
DIPOCFIP_01502	K01776
DIPOCFIP_01504	K22074
DIPOCFIP_01507	K03499
DIPOCFIP_01508	K03498
DIPOCFIP_01511	K18890
DIPOCFIP_01512	K06173
DIPOCFIP_01513	K03924
DIPOCFIP_01516	K07114
DIPOCFIP_01517	K07114
