LKDOMNOO_00001	K06134
LKDOMNOO_01150	K00059
LKDOMNOO_01151	K05898
LKDOMNOO_01154	K12265
LKDOMNOO_01155	K00253
LKDOMNOO_01156	K06929
LKDOMNOO_01157	K01692
LKDOMNOO_01160	K02935
LKDOMNOO_01161	K02864
LKDOMNOO_01162	K02863
LKDOMNOO_01163	K02867
LKDOMNOO_01164	K02601
LKDOMNOO_01165	K03073
LKDOMNOO_01167	K02358
LKDOMNOO_01169	K02417
LKDOMNOO_01171	K02419
LKDOMNOO_01172	K02420
LKDOMNOO_01173	K02421
LKDOMNOO_01174	K02401
LKDOMNOO_01175	K02400
LKDOMNOO_01177	K04562
LKDOMNOO_01178	K02405
LKDOMNOO_01180	K02557
LKDOMNOO_01181	K02556
LKDOMNOO_01185	K21973
LKDOMNOO_01187	K00499
LKDOMNOO_01188	K13283
LKDOMNOO_01197	K15866
LKDOMNOO_01201	K01130
LKDOMNOO_01202	K00548
LKDOMNOO_01208	K03702
LKDOMNOO_01209	K01130
LKDOMNOO_01211	K07642
LKDOMNOO_01212	K02483
LKDOMNOO_01213	K01868
LKDOMNOO_01216	K02520
LKDOMNOO_01217	K02916
LKDOMNOO_01218	K02887
LKDOMNOO_01219	K01889
LKDOMNOO_01220	K01890
LKDOMNOO_01221	K01890
LKDOMNOO_01222	K04764
LKDOMNOO_01226	K01620
LKDOMNOO_01227	K18235
LKDOMNOO_01234	K03088
LKDOMNOO_01236	K01938
LKDOMNOO_01237	K02379
LKDOMNOO_01239	K05587
LKDOMNOO_01240	K00123
LKDOMNOO_01242	K00314
LKDOMNOO_01244	K00428
LKDOMNOO_01245	K17285
LKDOMNOO_01247	K00135
LKDOMNOO_01249	K00548
LKDOMNOO_01254	K00548
LKDOMNOO_01258	K00626
LKDOMNOO_01259	K00626
LKDOMNOO_01260	K01426
LKDOMNOO_01262	K21417
LKDOMNOO_01263	K21416
LKDOMNOO_01264	K13985
LKDOMNOO_01270	K05776
LKDOMNOO_01275	K23016
LKDOMNOO_01276	K03518
LKDOMNOO_01277	K07303
LKDOMNOO_01281	K19073
LKDOMNOO_01285	K03307
LKDOMNOO_01286	K11159
LKDOMNOO_01287	K17231
LKDOMNOO_01288	K03307
LKDOMNOO_01290	K17743
LKDOMNOO_01292	K07026
LKDOMNOO_01294	K22597
LKDOMNOO_01301	K11527
LKDOMNOO_01305	K03317
LKDOMNOO_01307	K02020
LKDOMNOO_01308	K02018
LKDOMNOO_01309	K02017
LKDOMNOO_01315	K07560
LKDOMNOO_01318	K02346
LKDOMNOO_01323	K00390
LKDOMNOO_01324	K02303
LKDOMNOO_01327	K01737
LKDOMNOO_01328	K13703
LKDOMNOO_01332	K12663
LKDOMNOO_01334	K09458
LKDOMNOO_01337	K00626
LKDOMNOO_01338	K14652
LKDOMNOO_01342	K07140
LKDOMNOO_01344	K03294
LKDOMNOO_01345	K07178
LKDOMNOO_01349	K10215
LKDOMNOO_01352	K01785
LKDOMNOO_01354	K01247
LKDOMNOO_01355	K18691
LKDOMNOO_01356	K01952
LKDOMNOO_01357	K03386
LKDOMNOO_01359	K17224
LKDOMNOO_01360	K17223
LKDOMNOO_01361	K17222
LKDOMNOO_01363	K17226
LKDOMNOO_01368	K01961
LKDOMNOO_01369	K13767
LKDOMNOO_01370	K01969
LKDOMNOO_01372	K13770
LKDOMNOO_01375	K05020
LKDOMNOO_01378	K01752
LKDOMNOO_01379	K00274
LKDOMNOO_01382	K02527
LKDOMNOO_01383	K15866
LKDOMNOO_01388	K03310
LKDOMNOO_01389	K22303
LKDOMNOO_01391	K01895
LKDOMNOO_01394	K01557
LKDOMNOO_01396	K03924
LKDOMNOO_01402	K00891
LKDOMNOO_01405	K01915
LKDOMNOO_01408	K00059
LKDOMNOO_01410	K06183
LKDOMNOO_01413	K01132
LKDOMNOO_01419	K01130
LKDOMNOO_01422	K13767
LKDOMNOO_01424	K07146
LKDOMNOO_01427	K00635
LKDOMNOO_01430	K01897
LKDOMNOO_01434	K11527
LKDOMNOO_01436	K02481
LKDOMNOO_01437	K07814
LKDOMNOO_01439	K07710
LKDOMNOO_01447	K00111
LKDOMNOO_01450	K00833
LKDOMNOO_01452	K04072
LKDOMNOO_01453	K11538
LKDOMNOO_01454	K01715
LKDOMNOO_01455	K05605
LKDOMNOO_01456	K00020
LKDOMNOO_01461	K06897
LKDOMNOO_01463	K11921
LKDOMNOO_01466	K01303
LKDOMNOO_01467	K01637
LKDOMNOO_01468	K03977
LKDOMNOO_01469	K17713
LKDOMNOO_01471	K01892
LKDOMNOO_01472	K03526
LKDOMNOO_01474	K06941
LKDOMNOO_01475	K00940
LKDOMNOO_01476	K04755
LKDOMNOO_01477	K04043
LKDOMNOO_01478	K04082
LKDOMNOO_01479	K13628
LKDOMNOO_01480	K04488
LKDOMNOO_01481	K04487
LKDOMNOO_01482	K13643
LKDOMNOO_01483	K15396
LKDOMNOO_01484	K00574
LKDOMNOO_01486	K06954
LKDOMNOO_01489	K00324
LKDOMNOO_01490	K00324
LKDOMNOO_01491	K00325
LKDOMNOO_01492	K11085
LKDOMNOO_01497	K01854
LKDOMNOO_01500	K06867
LKDOMNOO_01501	K06132
LKDOMNOO_01504	K10119
LKDOMNOO_01505	K10237
LKDOMNOO_01506	K10112
LKDOMNOO_01507	K10112
LKDOMNOO_01508	K01692
LKDOMNOO_01509	K08484
LKDOMNOO_01510	K08311
LKDOMNOO_01512	K02437
LKDOMNOO_01514	K02968
LKDOMNOO_01516	K04083
LKDOMNOO_01517	K01610
LKDOMNOO_01519	K03296
LKDOMNOO_01520	K03585
LKDOMNOO_01523	K11187
LKDOMNOO_01524	K14445
LKDOMNOO_01525	K03639
LKDOMNOO_01527	K07161
LKDOMNOO_01531	K01947
LKDOMNOO_01532	K03524
LKDOMNOO_01534	K03455
LKDOMNOO_01535	K00567
LKDOMNOO_01537	K01082
LKDOMNOO_01538	K20881
LKDOMNOO_01539	K04762
LKDOMNOO_01542	K01662
LKDOMNOO_01544	K13292
LKDOMNOO_01545	K00560
LKDOMNOO_01546	K00287
LKDOMNOO_01548	K03561
LKDOMNOO_01554	K03704
LKDOMNOO_01555	K00873
LKDOMNOO_01556	K01126
LKDOMNOO_01561	K02014
LKDOMNOO_01562	K00797
LKDOMNOO_01563	K01611
LKDOMNOO_01566	K00537
LKDOMNOO_01568	K01740
LKDOMNOO_01573	K18399
LKDOMNOO_01574	K13049
LKDOMNOO_01576	K09022
LKDOMNOO_01577	K01595
LKDOMNOO_01578	K19337
LKDOMNOO_01579	K00134
LKDOMNOO_01580	K01057
LKDOMNOO_01581	K00036
LKDOMNOO_01582	K01625
LKDOMNOO_01583	K00845
LKDOMNOO_01584	K01690
LKDOMNOO_01585	K03641
LKDOMNOO_01586	K01810
LKDOMNOO_01587	K00847
LKDOMNOO_01591	K04035
LKDOMNOO_01596	K10960
LKDOMNOO_01597	K08226
LKDOMNOO_01598	K04040
LKDOMNOO_01601	K04038
LKDOMNOO_01602	K04039
LKDOMNOO_01603	K03403
LKDOMNOO_01604	K04037
LKDOMNOO_01605	K03428
LKDOMNOO_01610	K20497
LKDOMNOO_01613	K14938
LKDOMNOO_01622	K00059
LKDOMNOO_01623	K02014
LKDOMNOO_01624	K00059
LKDOMNOO_01626	K01640
LKDOMNOO_01628	K00253
LKDOMNOO_01631	K01644
LKDOMNOO_01632	K17724
LKDOMNOO_01634	K03119
LKDOMNOO_01636	K09020
LKDOMNOO_01639	K07749
LKDOMNOO_01640	K01473
LKDOMNOO_01641	K01474
LKDOMNOO_01642	K09018
LKDOMNOO_01645	K00059
LKDOMNOO_01647	K18702
LKDOMNOO_01648	K18703
LKDOMNOO_01651	K04760
LKDOMNOO_01652	K19304
LKDOMNOO_01654	K02503
LKDOMNOO_01656	K01872
LKDOMNOO_01657	K00928
LKDOMNOO_01658	K03563
LKDOMNOO_01667	K01210
LKDOMNOO_01670	K01563
LKDOMNOO_01672	K13634
LKDOMNOO_01673	K22187
LKDOMNOO_01674	K01273
LKDOMNOO_01677	K02168
LKDOMNOO_01678	K03153
LKDOMNOO_01680	K00314
LKDOMNOO_01683	K05884
LKDOMNOO_01688	K00104
LKDOMNOO_01689	K01807
LKDOMNOO_01691	K00789
LKDOMNOO_01692	K01251
LKDOMNOO_01693	K00297
LKDOMNOO_01694	K09761
LKDOMNOO_01696	K01920
LKDOMNOO_01698	K07735
LKDOMNOO_01699	K07447
LKDOMNOO_01700	K02670
LKDOMNOO_01701	K02669
LKDOMNOO_01702	K00507
LKDOMNOO_01703	K01666
LKDOMNOO_01704	K04073
LKDOMNOO_01705	K02554
LKDOMNOO_01707	K00219
LKDOMNOO_01709	K03216
LKDOMNOO_01712	K01626
LKDOMNOO_01713	K07400
LKDOMNOO_01714	K00548
LKDOMNOO_01717	K11745
LKDOMNOO_01718	K03320
