NPBHCDIL_00005	K00285
NPBHCDIL_00271	K07533
NPBHCDIL_00273	K00054
NPBHCDIL_00274	K01278
NPBHCDIL_00275	K03305
NPBHCDIL_00276	K03305
NPBHCDIL_00278	K02238
NPBHCDIL_00279	K13695
NPBHCDIL_00280	K00748
NPBHCDIL_00282	K03787
NPBHCDIL_00283	K03797
NPBHCDIL_00284	K02034
NPBHCDIL_00285	K05837
NPBHCDIL_00286	K05515
NPBHCDIL_00288	K03570
NPBHCDIL_00289	K03569
NPBHCDIL_00290	K00602
NPBHCDIL_00291	K02004
NPBHCDIL_00292	K08968
NPBHCDIL_00296	K04077
NPBHCDIL_00297	K04078
NPBHCDIL_00302	K06168
NPBHCDIL_00303	K03168
NPBHCDIL_00305	K13444
NPBHCDIL_00310	K06158
NPBHCDIL_00319	K03561
NPBHCDIL_00320	K03314
NPBHCDIL_00321	K09001
NPBHCDIL_00322	K00248
NPBHCDIL_00325	K03470
NPBHCDIL_00328	K03801
NPBHCDIL_00332	K04567
NPBHCDIL_00336	K01669
NPBHCDIL_00337	K00059
NPBHCDIL_00343	K05396
NPBHCDIL_00344	K01712
NPBHCDIL_00348	K11381
NPBHCDIL_00349	K00826
NPBHCDIL_00350	K00658
NPBHCDIL_00351	K02617
NPBHCDIL_00353	K02618
NPBHCDIL_00354	K00626
NPBHCDIL_00356	K00074
NPBHCDIL_00357	K12235
NPBHCDIL_00358	K15866
NPBHCDIL_00359	K02612
NPBHCDIL_00360	K02611
NPBHCDIL_00361	K02610
NPBHCDIL_00362	K02609
NPBHCDIL_00363	K02613
NPBHCDIL_00364	K13770
NPBHCDIL_00367	K23025
NPBHCDIL_00369	K00162
NPBHCDIL_00370	K03521
NPBHCDIL_00371	K03522
NPBHCDIL_00372	K08999
NPBHCDIL_00373	K03317
NPBHCDIL_00374	K00560
NPBHCDIL_00376	K00287
NPBHCDIL_00377	K00645
NPBHCDIL_00378	K01784
NPBHCDIL_00380	K02527
NPBHCDIL_00386	K01270
NPBHCDIL_00389	K12343
NPBHCDIL_00390	K12733
NPBHCDIL_00392	K06881
NPBHCDIL_00393	K00940
NPBHCDIL_00395	K03629
NPBHCDIL_00397	K00794
NPBHCDIL_00399	K03572
NPBHCDIL_00404	K03100
NPBHCDIL_00405	K00215
NPBHCDIL_00407	K03497
NPBHCDIL_00408	K03496
NPBHCDIL_00409	K13236
NPBHCDIL_00410	K01847
NPBHCDIL_00412	K01847
NPBHCDIL_00414	K00876
NPBHCDIL_00416	K11927
NPBHCDIL_00417	K05770
NPBHCDIL_00418	K00432
NPBHCDIL_00419	K01495
NPBHCDIL_00420	K08869
NPBHCDIL_00424	K00384
NPBHCDIL_00425	K01486
NPBHCDIL_00426	K01658
NPBHCDIL_00429	K10947
NPBHCDIL_00433	K04761
NPBHCDIL_00434	K12734
NPBHCDIL_00435	K18665
NPBHCDIL_00438	K03088
NPBHCDIL_00443	K04565
NPBHCDIL_00447	K01358
NPBHCDIL_00448	K03544
NPBHCDIL_00451	K09125
NPBHCDIL_00452	K15518
NPBHCDIL_00454	K03555
NPBHCDIL_00461	K03453
NPBHCDIL_00466	K03501
NPBHCDIL_00467	K00508
NPBHCDIL_00468	K00812
NPBHCDIL_00469	K03498
NPBHCDIL_00470	K03499
NPBHCDIL_00471	K03183
NPBHCDIL_00473	K03437
NPBHCDIL_00475	K01624
NPBHCDIL_00476	K01963
NPBHCDIL_00477	K02956
NPBHCDIL_00478	K00962
NPBHCDIL_00479	K03086
NPBHCDIL_00480	K01783
NPBHCDIL_00486	K00453
NPBHCDIL_00488	K00457
NPBHCDIL_00489	K00451
NPBHCDIL_00490	K07001
NPBHCDIL_00491	K03703
NPBHCDIL_00492	K05844
NPBHCDIL_00494	K01934
NPBHCDIL_00497	K03101
NPBHCDIL_00500	K01870
NPBHCDIL_00510	K11527
NPBHCDIL_00512	K11354
NPBHCDIL_00521	K01599
NPBHCDIL_00522	K02495
NPBHCDIL_00523	K03701
NPBHCDIL_00527	K00167
NPBHCDIL_00528	K01661
NPBHCDIL_00531	K07071
NPBHCDIL_00533	K11166
NPBHCDIL_00534	K00243
NPBHCDIL_00535	K02551
NPBHCDIL_00536	K02361
NPBHCDIL_00537	K19222
NPBHCDIL_00539	K04043
NPBHCDIL_00546	K01916
NPBHCDIL_00549	K03978
NPBHCDIL_00550	K16050
NPBHCDIL_00551	K03925
NPBHCDIL_00552	K03438
NPBHCDIL_00554	K03587
NPBHCDIL_00555	K01928
NPBHCDIL_00556	K01000
NPBHCDIL_00557	K01925
NPBHCDIL_00558	K03588
NPBHCDIL_00559	K02563
NPBHCDIL_00560	K01924
NPBHCDIL_00562	K03590
NPBHCDIL_00563	K03531
NPBHCDIL_00564	K09117
NPBHCDIL_00569	K10027
NPBHCDIL_00574	K05606
NPBHCDIL_00575	K02834
NPBHCDIL_00576	K09808
NPBHCDIL_00578	K03596
NPBHCDIL_00579	K05337
NPBHCDIL_00580	K00384
NPBHCDIL_00581	K22071
NPBHCDIL_00582	K01673
NPBHCDIL_00584	K13274
NPBHCDIL_00585	K01254
NPBHCDIL_00587	K03797
NPBHCDIL_00589	K02348
NPBHCDIL_00590	K01808
NPBHCDIL_00592	K12573
NPBHCDIL_00595	K01633
NPBHCDIL_00596	K01886
NPBHCDIL_00598	K01885
NPBHCDIL_00600	K02492
NPBHCDIL_00601	K01749
NPBHCDIL_00602	K01698
NPBHCDIL_00603	K01845
NPBHCDIL_00613	K01493
NPBHCDIL_00614	K03797
NPBHCDIL_00616	K05595
NPBHCDIL_00618	K10808
NPBHCDIL_00619	K10807
NPBHCDIL_00623	K01673
NPBHCDIL_00624	K01673
NPBHCDIL_00627	K01129
NPBHCDIL_00629	K01662
NPBHCDIL_00630	K11991
NPBHCDIL_00631	K03704
NPBHCDIL_00633	K01876
NPBHCDIL_00635	K03296
NPBHCDIL_00639	K13789
NPBHCDIL_00641	K00164
NPBHCDIL_00642	K00658
NPBHCDIL_00644	K03424
NPBHCDIL_00645	K01424
NPBHCDIL_00647	K03561
NPBHCDIL_00654	K03092
NPBHCDIL_00655	K01893
NPBHCDIL_00657	K02838
NPBHCDIL_00658	K09903
NPBHCDIL_00659	K02357
NPBHCDIL_00660	K02967
NPBHCDIL_00661	K02996
NPBHCDIL_00662	K02871
NPBHCDIL_00663	K19589
NPBHCDIL_00665	K01016
NPBHCDIL_00673	K00754
NPBHCDIL_00676	K00012
NPBHCDIL_00677	K08678
NPBHCDIL_00678	K03606
NPBHCDIL_00679	K01945
NPBHCDIL_00689	K02108
NPBHCDIL_00691	K02109
NPBHCDIL_00693	K02111
NPBHCDIL_00694	K02115
NPBHCDIL_00697	K01520
NPBHCDIL_00698	K23144
NPBHCDIL_00703	K01007
NPBHCDIL_00707	K01069
NPBHCDIL_00708	K18059
NPBHCDIL_00709	K17231
NPBHCDIL_00713	K02346
NPBHCDIL_00715	K06201
NPBHCDIL_00716	K12373
NPBHCDIL_00717	K01192
NPBHCDIL_00718	K00452
NPBHCDIL_00719	K14085
NPBHCDIL_00721	K16066
NPBHCDIL_00722	K03924
NPBHCDIL_00725	K07114
NPBHCDIL_00726	K07114
NPBHCDIL_00732	K01889
NPBHCDIL_00734	K00057
NPBHCDIL_00735	K00969
NPBHCDIL_00736	K00942
NPBHCDIL_00739	K07019
NPBHCDIL_00744	K01760
NPBHCDIL_00745	K00262
NPBHCDIL_00748	K16089
NPBHCDIL_00749	K03111
NPBHCDIL_00750	K01278
NPBHCDIL_00751	K03639
NPBHCDIL_00752	K03637
NPBHCDIL_00754	K11996
NPBHCDIL_00756	K03752
NPBHCDIL_00759	K03750
NPBHCDIL_00761	K03762
NPBHCDIL_00763	K07146
NPBHCDIL_00764	K01874
NPBHCDIL_00765	K01297
NPBHCDIL_00766	K07460
NPBHCDIL_00768	K03723
NPBHCDIL_00770	K05802
NPBHCDIL_00771	K03841
NPBHCDIL_00772	K00657
NPBHCDIL_00773	K00928
NPBHCDIL_00779	K03665
NPBHCDIL_00783	K02426
NPBHCDIL_00785	K11717
NPBHCDIL_00786	K09015
NPBHCDIL_00787	K09013
NPBHCDIL_00789	K09014
NPBHCDIL_00790	K13628
NPBHCDIL_00791	K03321
NPBHCDIL_00799	K06193
NPBHCDIL_00802	K01619
NPBHCDIL_00805	K01597
NPBHCDIL_00806	K00869
NPBHCDIL_00809	K00648
NPBHCDIL_00810	K04079
NPBHCDIL_00815	K01737
NPBHCDIL_00816	K01823
NPBHCDIL_00817	K02837
NPBHCDIL_00819	K03046
NPBHCDIL_00820	K01468
NPBHCDIL_00821	K01760
NPBHCDIL_00822	K01463
NPBHCDIL_00829	K00762
NPBHCDIL_00831	K03524
NPBHCDIL_00832	K09710
NPBHCDIL_00833	K03798
NPBHCDIL_00835	K00981
NPBHCDIL_00836	K01613
NPBHCDIL_00838	K00761
NPBHCDIL_00842	K01873
NPBHCDIL_00844	K00812
NPBHCDIL_00845	K00075
NPBHCDIL_00849	K03644
NPBHCDIL_00850	K00134
NPBHCDIL_00851	K00912
NPBHCDIL_00853	K07164
NPBHCDIL_00854	K07304
NPBHCDIL_00857	K01556
NPBHCDIL_00858	K00486
NPBHCDIL_00860	K23234
NPBHCDIL_00861	K19550
NPBHCDIL_00862	K03392
NPBHCDIL_00868	K19354
NPBHCDIL_00874	K16693
NPBHCDIL_00877	K06207
NPBHCDIL_00878	K01627
NPBHCDIL_00879	K14157
NPBHCDIL_00882	K02523
NPBHCDIL_00884	K06941
NPBHCDIL_00886	K07568
NPBHCDIL_00887	K00800
NPBHCDIL_00890	K07560
NPBHCDIL_00891	K06949
NPBHCDIL_00892	K04516
NPBHCDIL_00893	K04518
NPBHCDIL_00894	K01990
NPBHCDIL_00897	K00789
NPBHCDIL_00899	K01872
NPBHCDIL_00902	K03977
NPBHCDIL_00903	K03595
NPBHCDIL_00906	K06991
NPBHCDIL_00912	K02014
NPBHCDIL_00915	K07304
NPBHCDIL_00917	K09810
NPBHCDIL_00927	K01714
NPBHCDIL_00930	K13038
NPBHCDIL_00932	K03631
NPBHCDIL_00933	K00208
NPBHCDIL_00936	K00859
NPBHCDIL_00937	K07636
NPBHCDIL_00939	K00791
NPBHCDIL_00940	K10716
NPBHCDIL_00941	K03763
NPBHCDIL_00942	K06997
NPBHCDIL_00944	K00074
NPBHCDIL_00945	K03810
NPBHCDIL_00946	K00573
NPBHCDIL_00948	K03664
NPBHCDIL_00952	K03695
NPBHCDIL_00954	K01555
NPBHCDIL_00955	K00600
NPBHCDIL_00957	K03704
NPBHCDIL_00960	K01990
NPBHCDIL_00961	K06861
NPBHCDIL_00963	K03118
NPBHCDIL_00964	K06041
NPBHCDIL_00965	K03654
NPBHCDIL_00966	K12736
NPBHCDIL_00968	K06878
NPBHCDIL_00969	K02945
NPBHCDIL_00970	K02825
NPBHCDIL_00971	K00609
NPBHCDIL_00978	K02687
NPBHCDIL_00979	K01803
NPBHCDIL_00980	K15581
NPBHCDIL_00983	K00796
NPBHCDIL_00984	K18672
NPBHCDIL_00985	K18890
NPBHCDIL_00986	K06173
NPBHCDIL_00987	K07095
NPBHCDIL_00990	K02952
NPBHCDIL_00991	K02948
NPBHCDIL_00992	K02986
NPBHCDIL_00993	K03040
NPBHCDIL_00994	K02879
NPBHCDIL_00995	K01956
NPBHCDIL_00996	K01689
NPBHCDIL_00997	K01647
NPBHCDIL_01000	K01887
NPBHCDIL_01001	K01897
NPBHCDIL_01002	K03106
NPBHCDIL_01003	K01491
NPBHCDIL_01005	K10026
NPBHCDIL_01006	K02470
NPBHCDIL_01008	K00024
NPBHCDIL_01010	K15738
NPBHCDIL_01011	K07124
NPBHCDIL_01013	K14441
NPBHCDIL_01014	K03110
NPBHCDIL_01016	K02913
NPBHCDIL_01017	K02902
NPBHCDIL_01018	K03742
NPBHCDIL_01021	K02342
NPBHCDIL_01022	K00658
NPBHCDIL_01024	K06187
NPBHCDIL_01028	K00648
NPBHCDIL_01031	K00946
NPBHCDIL_01032	K02170
NPBHCDIL_01033	K01262
NPBHCDIL_01036	K00793
NPBHCDIL_01037	K00097
NPBHCDIL_01039	K02911
NPBHCDIL_01040	K00648
NPBHCDIL_01041	K02160
NPBHCDIL_01042	K01961
NPBHCDIL_01047	K00131
NPBHCDIL_01048	K07058
NPBHCDIL_01052	K15655
NPBHCDIL_01053	K12431
NPBHCDIL_01054	K12444
NPBHCDIL_01055	K15655
NPBHCDIL_01057	K06147
NPBHCDIL_01058	K06147
NPBHCDIL_01066	K00239
NPBHCDIL_01067	K00240
NPBHCDIL_01068	K14287
NPBHCDIL_01069	K13566
NPBHCDIL_01073	K01880
NPBHCDIL_01082	K07729
NPBHCDIL_01084	K06181
NPBHCDIL_01087	K00681
NPBHCDIL_01089	K01840
NPBHCDIL_01090	K02517
NPBHCDIL_01095	K18707
NPBHCDIL_01096	K12368
NPBHCDIL_01098	K02909
NPBHCDIL_01101	K01835
NPBHCDIL_01102	K06147
NPBHCDIL_01103	K03088
NPBHCDIL_01107	K03500
NPBHCDIL_01111	K03088
NPBHCDIL_01113	K10773
NPBHCDIL_01114	K03564
NPBHCDIL_01116	K06167
NPBHCDIL_01118	K06999
NPBHCDIL_01120	K01465
NPBHCDIL_01122	K03593
NPBHCDIL_01124	K22071
NPBHCDIL_01125	K01126
NPBHCDIL_01135	K03386
NPBHCDIL_01136	K03315
NPBHCDIL_01138	K01761
NPBHCDIL_01139	K03719
NPBHCDIL_01140	K07137
NPBHCDIL_01141	K00382
NPBHCDIL_01142	K01657
NPBHCDIL_01143	K04075
NPBHCDIL_01144	K04084
NPBHCDIL_01147	K21572
NPBHCDIL_01151	K01756
NPBHCDIL_01152	K00556
NPBHCDIL_01153	K02428
NPBHCDIL_01154	K05592
NPBHCDIL_01157	K00128
NPBHCDIL_01159	K02379
NPBHCDIL_01160	K19271
NPBHCDIL_01162	K00783
NPBHCDIL_01163	K00767
NPBHCDIL_01164	K07058
NPBHCDIL_01165	K04066
NPBHCDIL_01166	K02990
NPBHCDIL_01167	K02963
NPBHCDIL_01168	K02939
NPBHCDIL_01171	K03932
NPBHCDIL_01172	K02004
NPBHCDIL_01173	K01892
NPBHCDIL_01177	K07003
NPBHCDIL_01178	K12343
NPBHCDIL_01179	K00091
NPBHCDIL_01181	K03466
NPBHCDIL_01183	K07091
NPBHCDIL_01184	K14652
NPBHCDIL_01185	K13010
NPBHCDIL_01188	K03325
NPBHCDIL_01197	K00820
NPBHCDIL_01199	K00703
NPBHCDIL_01200	K01918
NPBHCDIL_01201	K01579
NPBHCDIL_01202	K07027
NPBHCDIL_01206	K04485
NPBHCDIL_01208	K01142
NPBHCDIL_01209	K14742
NPBHCDIL_01210	K13888
NPBHCDIL_01211	K12340
NPBHCDIL_01212	K02005
NPBHCDIL_01213	K02004
NPBHCDIL_01214	K02004
NPBHCDIL_01215	K02003
NPBHCDIL_01217	K08976
NPBHCDIL_01218	K07152
NPBHCDIL_01223	K02257
NPBHCDIL_01227	K02437
NPBHCDIL_01229	K03550
NPBHCDIL_01231	K18979
NPBHCDIL_01232	K03551
NPBHCDIL_01233	K02274
NPBHCDIL_01234	K02275
NPBHCDIL_01242	K02519
NPBHCDIL_01243	K02600
NPBHCDIL_01248	K03671
NPBHCDIL_01249	K07098
NPBHCDIL_01250	K01444
NPBHCDIL_01259	K01881
NPBHCDIL_01261	K02968
NPBHCDIL_01262	K00954
NPBHCDIL_01263	K01921
NPBHCDIL_01265	K06180
NPBHCDIL_01266	K09861
NPBHCDIL_01268	K01784
NPBHCDIL_01272	K23514
NPBHCDIL_01275	K02429
NPBHCDIL_01276	K00850
NPBHCDIL_01277	K00134
NPBHCDIL_01279	K01810
NPBHCDIL_01282	K07391
NPBHCDIL_01284	K06180
NPBHCDIL_01285	K00606
NPBHCDIL_01286	K03503
NPBHCDIL_01287	K03502
NPBHCDIL_01288	K03043
NPBHCDIL_01289	K02935
NPBHCDIL_01290	K02864
NPBHCDIL_01291	K02863
NPBHCDIL_01292	K02867
NPBHCDIL_01293	K02601
NPBHCDIL_01296	K02358
NPBHCDIL_01301	K03733
NPBHCDIL_01303	K00253
NPBHCDIL_01305	K03310
NPBHCDIL_01308	K01697
NPBHCDIL_01309	K09808
NPBHCDIL_01311	K06940
NPBHCDIL_01314	K21285
NPBHCDIL_01320	K09812
NPBHCDIL_01323	K01923
NPBHCDIL_01324	K06217
NPBHCDIL_01329	K02338
NPBHCDIL_01330	K03650
NPBHCDIL_01331	K00956
NPBHCDIL_01332	K00957
NPBHCDIL_01333	K00860
NPBHCDIL_01335	K01082
NPBHCDIL_01341	K02356
NPBHCDIL_01342	K02536
NPBHCDIL_01344	K01902
NPBHCDIL_01345	K00059
NPBHCDIL_01352	K00428
NPBHCDIL_01354	K00275
NPBHCDIL_01356	K01524
NPBHCDIL_01358	K02343
NPBHCDIL_01362	K01144
NPBHCDIL_01363	K00979
NPBHCDIL_01364	K18120
NPBHCDIL_01368	K00605
NPBHCDIL_01369	K00496
NPBHCDIL_01371	K01745
NPBHCDIL_01372	K03696
NPBHCDIL_01374	K02469
NPBHCDIL_01376	K20742
NPBHCDIL_01377	K00626
NPBHCDIL_01378	K07037
NPBHCDIL_01382	K07444
NPBHCDIL_01385	K03215
NPBHCDIL_01386	K00819
NPBHCDIL_01389	K04487
NPBHCDIL_01394	K18682
NPBHCDIL_01395	K04763
NPBHCDIL_01398	K03786
NPBHCDIL_01399	K00382
NPBHCDIL_01400	K07305
NPBHCDIL_01401	K07305
NPBHCDIL_01403	K06902
NPBHCDIL_01405	K01338
NPBHCDIL_01407	K00945
NPBHCDIL_01408	K01890
NPBHCDIL_01410	K03655
NPBHCDIL_01411	K01190
NPBHCDIL_01412	K08776
NPBHCDIL_01414	K03657
NPBHCDIL_01416	K02557
NPBHCDIL_01419	K02340
NPBHCDIL_01420	K02548
NPBHCDIL_01424	K01911
NPBHCDIL_01426	K01969
NPBHCDIL_01429	K06911
NPBHCDIL_01432	K07025
NPBHCDIL_01433	K06177
NPBHCDIL_01439	K01669
NPBHCDIL_01441	K06876
NPBHCDIL_01443	K13990
NPBHCDIL_01445	K06888
NPBHCDIL_01446	K22074
NPBHCDIL_01448	K01776
NPBHCDIL_01451	K07277
NPBHCDIL_01452	K00806
NPBHCDIL_01454	K00858
NPBHCDIL_01456	K03474
NPBHCDIL_01457	K13703
NPBHCDIL_01458	K08972
NPBHCDIL_01459	K03545
NPBHCDIL_01461	K07106
NPBHCDIL_01462	K00031
NPBHCDIL_01463	K02884
NPBHCDIL_01464	K06180
NPBHCDIL_01465	K00554
NPBHCDIL_01466	K00134
NPBHCDIL_01467	K04771
NPBHCDIL_01468	K01778
NPBHCDIL_01469	K00657
NPBHCDIL_01470	K07082
NPBHCDIL_01472	K07056
NPBHCDIL_01474	K01104
NPBHCDIL_01475	K02313
NPBHCDIL_01476	K07107
NPBHCDIL_01479	K20866
NPBHCDIL_01480	K11752
NPBHCDIL_01481	K03828
NPBHCDIL_01483	K01501
NPBHCDIL_01484	K06178
NPBHCDIL_01485	K02106
NPBHCDIL_01487	K02472
NPBHCDIL_01488	K01791
NPBHCDIL_01490	K00067
NPBHCDIL_01491	K01790
NPBHCDIL_01492	K00973
NPBHCDIL_01493	K01710
NPBHCDIL_01499	K08307
NPBHCDIL_01500	K00927
NPBHCDIL_01501	K02341
NPBHCDIL_01503	K03495
NPBHCDIL_01506	K01868
NPBHCDIL_01507	K02520
NPBHCDIL_01508	K02916
NPBHCDIL_01509	K02887
NPBHCDIL_01512	K02314
NPBHCDIL_01513	K01962
NPBHCDIL_01516	K00773
NPBHCDIL_01517	K00615
NPBHCDIL_01518	K00615
NPBHCDIL_01520	K04762
NPBHCDIL_01521	K02825
NPBHCDIL_01522	K00891
NPBHCDIL_01527	K00616
NPBHCDIL_01529	K22757
NPBHCDIL_01530	K17103
NPBHCDIL_01532	K01938
NPBHCDIL_01533	K01903
NPBHCDIL_01534	K06182
NPBHCDIL_01535	K03702
NPBHCDIL_01538	K02259
NPBHCDIL_01539	K03790
NPBHCDIL_01540	K00970
NPBHCDIL_01541	K07566
NPBHCDIL_01546	K00674
NPBHCDIL_01547	K07447
NPBHCDIL_01548	K01462
NPBHCDIL_01550	K02428
NPBHCDIL_01552	K00014
NPBHCDIL_01554	K08974
NPBHCDIL_01556	K00821
NPBHCDIL_01558	K01939
NPBHCDIL_01559	K03711
NPBHCDIL_01560	K00951
NPBHCDIL_01561	K06013
NPBHCDIL_01570	K09761
NPBHCDIL_01571	K01409
NPBHCDIL_01573	K09022
NPBHCDIL_01575	K01448
NPBHCDIL_01576	K02067
NPBHCDIL_01582	K00754
NPBHCDIL_01584	K03307
NPBHCDIL_01586	K06287
NPBHCDIL_01588	K03270
NPBHCDIL_01591	K01679
NPBHCDIL_01592	K00537
NPBHCDIL_01594	K06969
NPBHCDIL_01595	K06970
NPBHCDIL_01596	K05592
NPBHCDIL_01597	K17677
NPBHCDIL_01606	K06969
NPBHCDIL_01607	K11381
NPBHCDIL_01610	K00757
NPBHCDIL_01612	K03648
NPBHCDIL_01614	K07456
NPBHCDIL_01616	K03442
NPBHCDIL_01617	K11102
NPBHCDIL_01618	K01736
NPBHCDIL_01620	K03777
NPBHCDIL_01623	K00359
NPBHCDIL_01625	K13680
NPBHCDIL_01632	K03783
NPBHCDIL_01633	K09931
NPBHCDIL_01638	K02016
NPBHCDIL_01639	K02015
NPBHCDIL_01640	K02013
NPBHCDIL_01641	K09760
NPBHCDIL_01647	K01955
NPBHCDIL_01648	K02914
NPBHCDIL_01653	K00948
NPBHCDIL_01655	K00294
NPBHCDIL_01659	K01945
NPBHCDIL_01664	K11749
NPBHCDIL_01665	K07152
NPBHCDIL_01667	K04759
NPBHCDIL_01668	K07238
NPBHCDIL_01669	K16089
NPBHCDIL_01670	K03709
NPBHCDIL_01673	K04096
NPBHCDIL_01674	K01867
NPBHCDIL_01677	K03088
NPBHCDIL_01678	K03553
NPBHCDIL_01681	K05366
NPBHCDIL_01683	K01028
NPBHCDIL_01684	K01029
NPBHCDIL_01686	K02031
NPBHCDIL_01687	K14157
NPBHCDIL_01688	K03269
NPBHCDIL_01689	K01737
NPBHCDIL_01695	K16191
NPBHCDIL_01696	K00639
NPBHCDIL_01698	K04564
NPBHCDIL_01700	K00764
NPBHCDIL_01702	K03469
NPBHCDIL_01703	K11175
NPBHCDIL_01706	K00058
NPBHCDIL_01707	K00831
NPBHCDIL_01710	K06942
NPBHCDIL_01711	K02622
NPBHCDIL_01712	K02621
NPBHCDIL_01713	K06867
NPBHCDIL_01714	K03216
NPBHCDIL_01718	K03718
NPBHCDIL_01719	K01735
NPBHCDIL_01720	K00318
NPBHCDIL_01722	K00259
NPBHCDIL_01723	K06925
NPBHCDIL_01724	K07713
NPBHCDIL_01725	K06885
NPBHCDIL_01726	K02536
NPBHCDIL_01727	K16363
NPBHCDIL_01728	K00677
NPBHCDIL_01739	K07729
NPBHCDIL_01743	K01929
NPBHCDIL_01744	K13444
NPBHCDIL_01748	K02897
NPBHCDIL_01749	K01056
NPBHCDIL_01750	K11753
NPBHCDIL_01752	K01875
NPBHCDIL_01755	K02528
NPBHCDIL_01756	K06213
NPBHCDIL_01757	K00058
NPBHCDIL_01759	K15789
NPBHCDIL_01764	K13598
NPBHCDIL_01765	K01715
NPBHCDIL_01766	K06950
NPBHCDIL_01767	K00655
NPBHCDIL_01769	K03686
NPBHCDIL_01770	K15537
NPBHCDIL_01771	K00873
NPBHCDIL_01773	K03685
