MEPKJAOO_00001	K02950
MEPKJAOO_00173	K00508
MEPKJAOO_00174	K03531
MEPKJAOO_00175	K03590
MEPKJAOO_00176	K03589
MEPKJAOO_00177	K01924
MEPKJAOO_00178	K02563
MEPKJAOO_00179	K03588
MEPKJAOO_00180	K01925
MEPKJAOO_00181	K01000
MEPKJAOO_00182	K01928
MEPKJAOO_00183	K03587
MEPKJAOO_00185	K03438
MEPKJAOO_00186	K03925
MEPKJAOO_00187	K05714
MEPKJAOO_00188	K03978
MEPKJAOO_00191	K01916
MEPKJAOO_00192	K03820
MEPKJAOO_00193	K17103
MEPKJAOO_00194	K23264
MEPKJAOO_00195	K06861
MEPKJAOO_00196	K03118
MEPKJAOO_00197	K06041
MEPKJAOO_00198	K03654
MEPKJAOO_00200	K01436
MEPKJAOO_00201	K07090
MEPKJAOO_00202	K01069
MEPKJAOO_00203	K00971
MEPKJAOO_00205	K04759
MEPKJAOO_00207	K02066
MEPKJAOO_00208	K02065
MEPKJAOO_00209	K02528
MEPKJAOO_00210	K06213
MEPKJAOO_00211	K03778
MEPKJAOO_00216	K00928
MEPKJAOO_00217	K00850
MEPKJAOO_00218	K03723
MEPKJAOO_00219	K00602
MEPKJAOO_00220	K03569
MEPKJAOO_00221	K03570
MEPKJAOO_00223	K05515
MEPKJAOO_00224	K05837
MEPKJAOO_00225	K03770
MEPKJAOO_00230	K03525
MEPKJAOO_00236	K13292
MEPKJAOO_00237	K18707
MEPKJAOO_00238	K12368
MEPKJAOO_00239	K01890
MEPKJAOO_00240	K07137
MEPKJAOO_00242	K00074
MEPKJAOO_00244	K00573
MEPKJAOO_00245	K00821
MEPKJAOO_00247	K13694
MEPKJAOO_00250	K00657
MEPKJAOO_00252	K11785
MEPKJAOO_00254	K01495
MEPKJAOO_00255	K00645
MEPKJAOO_00258	K02527
MEPKJAOO_00259	K03437
MEPKJAOO_00262	K03555
MEPKJAOO_00265	K15518
MEPKJAOO_00266	K00950
MEPKJAOO_00267	K04773
MEPKJAOO_00270	K15519
MEPKJAOO_00271	K23025
MEPKJAOO_00272	K03521
MEPKJAOO_00273	K03522
MEPKJAOO_00274	K08999
MEPKJAOO_00275	K03317
MEPKJAOO_00276	K00560
MEPKJAOO_00278	K00287
MEPKJAOO_00280	K03544
MEPKJAOO_00281	K01358
MEPKJAOO_00282	K03545
MEPKJAOO_00285	K02106
MEPKJAOO_00287	K02034
MEPKJAOO_00290	K01159
MEPKJAOO_00291	K02503
MEPKJAOO_00292	K03624
MEPKJAOO_00295	K21573
MEPKJAOO_00298	K01251
MEPKJAOO_00300	K17104
MEPKJAOO_00301	K03811
MEPKJAOO_00303	K02014
MEPKJAOO_00305	K00790
MEPKJAOO_00307	K03687
MEPKJAOO_00308	K03686
MEPKJAOO_00309	K01990
MEPKJAOO_00313	K01872
MEPKJAOO_00316	K03274
MEPKJAOO_00319	K00798
MEPKJAOO_00321	K03070
MEPKJAOO_00324	K04084
MEPKJAOO_00326	K04075
MEPKJAOO_00327	K03342
MEPKJAOO_00329	K02519
MEPKJAOO_00330	K02600
MEPKJAOO_00334	K01937
MEPKJAOO_00335	K03217
MEPKJAOO_00336	K11782
MEPKJAOO_00338	K01756
MEPKJAOO_00340	K15736
MEPKJAOO_00344	K06902
MEPKJAOO_00348	K02340
MEPKJAOO_00351	K01681
MEPKJAOO_00352	K02939
MEPKJAOO_00353	K02963
MEPKJAOO_00354	K02990
MEPKJAOO_00355	K02343
MEPKJAOO_00357	K00031
MEPKJAOO_00358	K01144
MEPKJAOO_00359	K00075
MEPKJAOO_00360	K09812
MEPKJAOO_00364	K02470
MEPKJAOO_00365	K00024
MEPKJAOO_00366	K02909
MEPKJAOO_00368	K01338
MEPKJAOO_00370	K00945
MEPKJAOO_00371	K03527
MEPKJAOO_00372	K02945
MEPKJAOO_00373	K02825
MEPKJAOO_00374	K00609
MEPKJAOO_00377	K00784
MEPKJAOO_00379	K00791
MEPKJAOO_00381	K00970
MEPKJAOO_00382	K07566
MEPKJAOO_00385	K00674
MEPKJAOO_00387	K12257
MEPKJAOO_00390	K03088
MEPKJAOO_00391	K02428
MEPKJAOO_00393	K03734
MEPKJAOO_00394	K00351
MEPKJAOO_00395	K00350
MEPKJAOO_00396	K00349
MEPKJAOO_00397	K00348
MEPKJAOO_00398	K00347
MEPKJAOO_00399	K00346
MEPKJAOO_00403	K00294
MEPKJAOO_00405	K03046
MEPKJAOO_00406	K03043
MEPKJAOO_00407	K02935
MEPKJAOO_00408	K02864
MEPKJAOO_00409	K02863
MEPKJAOO_00410	K02867
MEPKJAOO_00411	K02601
MEPKJAOO_00414	K02358
MEPKJAOO_00420	K03733
MEPKJAOO_00422	K00248
MEPKJAOO_00423	K00759
MEPKJAOO_00424	K03310
MEPKJAOO_00425	K00067
MEPKJAOO_00427	K00162
MEPKJAOO_00428	K07106
MEPKJAOO_00431	K00826
MEPKJAOO_00435	K09966
MEPKJAOO_00437	K07752
MEPKJAOO_00438	K01372
MEPKJAOO_00439	K01847
MEPKJAOO_00440	K01873
MEPKJAOO_00442	K00812
MEPKJAOO_00443	K06940
MEPKJAOO_00445	K09808
MEPKJAOO_00446	K01697
MEPKJAOO_00447	K02337
MEPKJAOO_00453	K06942
MEPKJAOO_00454	K02622
MEPKJAOO_00455	K02621
MEPKJAOO_00457	K11754
MEPKJAOO_00459	K03559
MEPKJAOO_00460	K03561
MEPKJAOO_00462	K16052
MEPKJAOO_00463	K00262
MEPKJAOO_00464	K09001
MEPKJAOO_00465	K00248
MEPKJAOO_00468	K01929
MEPKJAOO_00473	K01770
MEPKJAOO_00475	K03386
MEPKJAOO_00479	K03218
MEPKJAOO_00482	K03648
MEPKJAOO_00484	K03644
MEPKJAOO_00486	K03269
MEPKJAOO_00487	K02434
MEPKJAOO_00489	K03783
MEPKJAOO_00490	K00912
MEPKJAOO_00492	K07164
MEPKJAOO_00496	K01881
MEPKJAOO_00499	K02968
MEPKJAOO_00501	K00761
MEPKJAOO_00502	K07025
MEPKJAOO_00503	K00800
MEPKJAOO_00504	K01735
MEPKJAOO_00506	K19302
MEPKJAOO_00507	K03979
MEPKJAOO_00508	K00939
MEPKJAOO_00509	K00760
MEPKJAOO_00511	K00382
MEPKJAOO_00513	K00789
MEPKJAOO_00514	K01990
MEPKJAOO_00515	K06949
MEPKJAOO_00516	K07560
MEPKJAOO_00519	K00104
MEPKJAOO_00520	K01278
MEPKJAOO_00521	K03305
MEPKJAOO_00522	K01829
MEPKJAOO_00525	K17686
MEPKJAOO_00527	K01463
MEPKJAOO_00531	K06287
MEPKJAOO_00534	K01761
MEPKJAOO_00535	K03315
MEPKJAOO_00536	K04487
MEPKJAOO_00537	K01840
MEPKJAOO_00538	K08097
MEPKJAOO_00539	K08974
MEPKJAOO_00540	K00014
MEPKJAOO_00542	K03702
MEPKJAOO_00543	K03704
MEPKJAOO_00544	K01491
MEPKJAOO_00545	K03106
MEPKJAOO_00546	K14441
MEPKJAOO_00547	K03110
MEPKJAOO_00549	K02913
MEPKJAOO_00552	K02902
MEPKJAOO_00553	K03743
MEPKJAOO_00555	K00757
MEPKJAOO_00556	K07107
MEPKJAOO_00557	K01119
MEPKJAOO_00558	K01081
MEPKJAOO_00559	K02313
MEPKJAOO_00560	K01104
MEPKJAOO_00561	K07056
MEPKJAOO_00563	K01847
MEPKJAOO_00570	K00819
MEPKJAOO_00571	K03215
MEPKJAOO_00573	K00859
MEPKJAOO_00574	K00754
MEPKJAOO_00577	K03572
MEPKJAOO_00582	K03210
MEPKJAOO_00584	K03625
MEPKJAOO_00585	K00263
MEPKJAOO_00586	K18889
MEPKJAOO_00587	K03496
MEPKJAOO_00588	K03497
MEPKJAOO_00590	K00215
MEPKJAOO_00591	K03100
MEPKJAOO_00593	K01969
MEPKJAOO_00594	K01868
MEPKJAOO_00595	K02520
MEPKJAOO_00596	K02916
MEPKJAOO_00597	K02887
MEPKJAOO_00598	K09117
MEPKJAOO_00599	K09667
MEPKJAOO_00600	K03553
MEPKJAOO_00601	K10773
MEPKJAOO_00603	K03088
MEPKJAOO_00604	K03701
MEPKJAOO_00605	K07447
MEPKJAOO_00611	K01895
MEPKJAOO_00612	K00721
MEPKJAOO_00613	K01465
MEPKJAOO_00617	K00091
MEPKJAOO_00618	K01866
MEPKJAOO_00621	K15633
MEPKJAOO_00623	K07010
MEPKJAOO_00624	K00486
MEPKJAOO_00625	K01556
MEPKJAOO_00627	K03392
MEPKJAOO_00628	K00452
MEPKJAOO_00631	K23234
MEPKJAOO_00632	K00059
MEPKJAOO_00633	K00453
MEPKJAOO_00635	K01869
MEPKJAOO_00636	K09811
MEPKJAOO_00638	K06153
MEPKJAOO_00639	K03177
MEPKJAOO_00640	K07568
MEPKJAOO_00641	K00991
MEPKJAOO_00643	K06941
MEPKJAOO_00644	K02523
MEPKJAOO_00645	K02316
MEPKJAOO_00646	K07462
MEPKJAOO_00647	K04516
MEPKJAOO_00648	K07056
MEPKJAOO_00650	K00857
MEPKJAOO_00651	K01775
MEPKJAOO_00653	K03797
MEPKJAOO_00654	K08998
MEPKJAOO_00656	K01719
MEPKJAOO_00658	K00252
MEPKJAOO_00663	K03550
MEPKJAOO_00665	K02437
MEPKJAOO_00666	K03832
MEPKJAOO_00667	K01679
MEPKJAOO_00669	K02836
MEPKJAOO_00670	K03565
MEPKJAOO_00672	K08301
MEPKJAOO_00674	K03530
MEPKJAOO_00675	K03575
MEPKJAOO_00676	K03111
MEPKJAOO_00681	K02888
MEPKJAOO_00682	K02899
MEPKJAOO_00683	K01875
MEPKJAOO_00687	K00956
MEPKJAOO_00688	K00957
MEPKJAOO_00689	K00860
MEPKJAOO_00690	K01619
MEPKJAOO_00691	K00128
MEPKJAOO_00692	K00128
MEPKJAOO_00693	K01082
MEPKJAOO_00699	K01784
MEPKJAOO_00705	K03271
MEPKJAOO_00706	K03273
MEPKJAOO_00707	K02851
MEPKJAOO_00709	K14742
MEPKJAOO_00710	K05592
MEPKJAOO_00711	K00281
MEPKJAOO_00713	K01588
MEPKJAOO_00714	K05592
MEPKJAOO_00715	K07444
MEPKJAOO_00718	K03701
MEPKJAOO_00720	K01790
MEPKJAOO_00721	K03773
MEPKJAOO_00722	K03977
MEPKJAOO_00723	K03595
MEPKJAOO_00724	K06158
MEPKJAOO_00728	K01424
MEPKJAOO_00729	K03424
MEPKJAOO_00733	K00979
MEPKJAOO_00735	K00262
MEPKJAOO_00736	K00639
MEPKJAOO_00737	K02871
MEPKJAOO_00738	K02996
MEPKJAOO_00739	K02967
MEPKJAOO_00740	K02357
MEPKJAOO_00741	K09903
MEPKJAOO_00742	K02838
MEPKJAOO_00743	K00973
MEPKJAOO_00744	K13789
MEPKJAOO_00745	K00164
MEPKJAOO_00746	K00658
MEPKJAOO_00747	K00175
MEPKJAOO_00748	K00174
MEPKJAOO_00751	K22074
MEPKJAOO_00753	K01776
MEPKJAOO_00755	K06142
MEPKJAOO_00756	K07277
MEPKJAOO_00757	K00806
MEPKJAOO_00759	K00858
MEPKJAOO_00762	K03474
MEPKJAOO_00763	K11927
MEPKJAOO_00765	K06147
MEPKJAOO_00768	K06911
MEPKJAOO_00771	K01883
MEPKJAOO_00772	K15789
MEPKJAOO_00773	K07146
MEPKJAOO_00774	K01737
MEPKJAOO_00775	K02275
MEPKJAOO_00776	K02274
MEPKJAOO_00778	K02276
MEPKJAOO_00780	K07152
MEPKJAOO_00782	K02257
MEPKJAOO_00783	K02259
MEPKJAOO_00784	K08976
MEPKJAOO_00785	K01876
MEPKJAOO_00786	K11991
MEPKJAOO_00791	K12996
MEPKJAOO_00793	K07304
MEPKJAOO_00794	K02491
MEPKJAOO_00796	K06178
MEPKJAOO_00798	K01874
MEPKJAOO_00799	K01297
MEPKJAOO_00803	K01867
MEPKJAOO_00807	K03665
MEPKJAOO_00808	K06147
MEPKJAOO_00809	K02834
MEPKJAOO_00810	K09808
MEPKJAOO_00813	K14157
MEPKJAOO_00814	K01783
MEPKJAOO_00815	K03086
MEPKJAOO_00816	K00962
MEPKJAOO_00817	K02956
MEPKJAOO_00818	K01963
MEPKJAOO_00819	K01624
MEPKJAOO_00820	K03437
MEPKJAOO_00823	K03183
MEPKJAOO_00824	K03272
MEPKJAOO_00825	K00812
MEPKJAOO_00826	K09874
MEPKJAOO_00827	K00757
MEPKJAOO_00829	K03742
MEPKJAOO_00830	K02902
MEPKJAOO_00831	K06207
MEPKJAOO_00833	K15738
MEPKJAOO_00834	K05592
MEPKJAOO_00838	K00765
MEPKJAOO_00840	K00754
MEPKJAOO_00845	K01173
MEPKJAOO_00850	K14157
MEPKJAOO_00852	K01610
MEPKJAOO_00853	K09761
MEPKJAOO_00856	K01745
MEPKJAOO_00857	K01892
MEPKJAOO_00859	K18890
MEPKJAOO_00860	K06173
MEPKJAOO_00861	K03924
MEPKJAOO_00863	K13703
MEPKJAOO_00869	K02483
MEPKJAOO_00870	K07636
MEPKJAOO_00872	K03439
MEPKJAOO_00873	K03593
MEPKJAOO_00874	K22074
MEPKJAOO_00881	K03551
MEPKJAOO_00883	K03186
MEPKJAOO_00892	K02429
MEPKJAOO_00893	K05349
MEPKJAOO_00901	K03503
MEPKJAOO_00902	K03502
MEPKJAOO_00903	K10567
MEPKJAOO_00904	K07304
MEPKJAOO_00906	K07071
MEPKJAOO_00910	K10027
MEPKJAOO_00916	K02014
MEPKJAOO_00924	K06167
MEPKJAOO_00926	K01465
MEPKJAOO_00928	K09810
MEPKJAOO_00930	K01903
MEPKJAOO_00931	K06889
MEPKJAOO_00932	K01409
MEPKJAOO_00934	K03709
MEPKJAOO_00935	K07238
MEPKJAOO_00936	K03664
MEPKJAOO_00939	K00499
MEPKJAOO_00941	K00794
MEPKJAOO_00943	K03629
MEPKJAOO_00945	K00940
MEPKJAOO_00946	K06881
MEPKJAOO_00947	K12733
MEPKJAOO_00948	K06207
MEPKJAOO_00950	K15738
MEPKJAOO_00951	K05592
MEPKJAOO_00954	K02033
MEPKJAOO_00955	K02034
MEPKJAOO_00956	K02613
MEPKJAOO_00957	K02609
MEPKJAOO_00958	K02610
MEPKJAOO_00959	K02611
MEPKJAOO_00960	K02612
MEPKJAOO_00961	K15866
MEPKJAOO_00965	K07091
MEPKJAOO_00966	K14652
MEPKJAOO_00970	K01081
MEPKJAOO_00975	K01299
MEPKJAOO_00980	K02469
MEPKJAOO_00981	K03696
MEPKJAOO_00982	K00208
MEPKJAOO_00983	K03631
MEPKJAOO_00985	K13038
MEPKJAOO_00988	K01714
MEPKJAOO_00990	K01972
MEPKJAOO_00992	K02493
MEPKJAOO_00993	K11752
MEPKJAOO_00997	K01669
MEPKJAOO_00998	K11147
MEPKJAOO_01003	K01951
MEPKJAOO_01005	K00566
MEPKJAOO_01010	K03655
MEPKJAOO_01011	K01489
MEPKJAOO_01020	K01625
MEPKJAOO_01021	K01690
MEPKJAOO_01022	K01057
MEPKJAOO_01023	K00036
MEPKJAOO_01024	K07098
MEPKJAOO_01035	K08997
MEPKJAOO_01039	K04771
MEPKJAOO_01044	K01284
MEPKJAOO_01049	K01256
MEPKJAOO_01053	K16089
MEPKJAOO_01058	K01669
MEPKJAOO_01059	K01083
MEPKJAOO_01060	K19519
MEPKJAOO_01061	K00432
MEPKJAOO_01065	K13281
MEPKJAOO_01068	K05979
MEPKJAOO_01069	K00605
MEPKJAOO_01083	K16066
MEPKJAOO_01091	K00852
MEPKJAOO_01092	K03469
MEPKJAOO_01093	K11175
MEPKJAOO_01094	K02078
MEPKJAOO_01095	K09458
MEPKJAOO_01096	K03685
MEPKJAOO_01098	K00873
MEPKJAOO_01100	K01889
MEPKJAOO_01104	K00927
MEPKJAOO_01105	K02341
MEPKJAOO_01108	K05366
MEPKJAOO_01109	K01028
MEPKJAOO_01110	K01029
MEPKJAOO_01111	K02031
MEPKJAOO_01113	K03801
MEPKJAOO_01114	K15916
MEPKJAOO_01115	K04567
MEPKJAOO_01119	K03703
MEPKJAOO_01120	K00133
MEPKJAOO_01122	K03101
MEPKJAOO_01124	K01870
MEPKJAOO_01126	K01594
MEPKJAOO_01130	K00764
MEPKJAOO_01132	K06182
MEPKJAOO_01136	K02426
MEPKJAOO_01137	K11717
MEPKJAOO_01138	K09015
MEPKJAOO_01139	K09013
MEPKJAOO_01140	K09014
MEPKJAOO_01141	K22063
MEPKJAOO_01142	K00946
MEPKJAOO_01143	K01262
MEPKJAOO_01144	K00241
MEPKJAOO_01145	K00239
MEPKJAOO_01146	K00240
MEPKJAOO_01147	K13566
MEPKJAOO_01149	K00525
MEPKJAOO_01151	K01627
MEPKJAOO_01154	K07478
MEPKJAOO_01155	K20742
MEPKJAOO_01156	K00626
MEPKJAOO_01157	K07037
MEPKJAOO_01158	K11381
MEPKJAOO_01160	K02618
MEPKJAOO_01161	K02035
MEPKJAOO_01167	K23265
MEPKJAOO_01170	K01945
MEPKJAOO_01172	K03596
MEPKJAOO_01175	K02335
MEPKJAOO_01178	K16216
MEPKJAOO_01179	K01760
MEPKJAOO_01182	K00942
MEPKJAOO_01183	K00969
MEPKJAOO_01189	K00820
MEPKJAOO_01191	K00703
MEPKJAOO_01192	K01918
MEPKJAOO_01193	K07027
MEPKJAOO_01194	K03272
MEPKJAOO_01195	K04485
MEPKJAOO_01196	K03564
MEPKJAOO_01197	K00457
MEPKJAOO_01201	K04564
MEPKJAOO_01202	K03561
MEPKJAOO_01210	K03671
MEPKJAOO_01212	K00134
MEPKJAOO_01213	K01778
MEPKJAOO_01216	K07082
MEPKJAOO_01222	K09861
MEPKJAOO_01225	K06973
MEPKJAOO_01227	K02238
MEPKJAOO_01232	K07305
MEPKJAOO_01234	K03654
MEPKJAOO_01235	K00604
MEPKJAOO_01237	K00275
MEPKJAOO_01238	K07735
MEPKJAOO_01239	K00826
MEPKJAOO_01241	K00088
MEPKJAOO_01243	K02371
MEPKJAOO_01244	K00600
MEPKJAOO_01245	K00951
MEPKJAOO_01246	K03711
MEPKJAOO_01247	K01939
MEPKJAOO_01250	K10026
MEPKJAOO_01251	K13990
MEPKJAOO_01252	K06193
MEPKJAOO_01254	K00748
MEPKJAOO_01256	K03787
MEPKJAOO_01265	K03495
MEPKJAOO_01268	K01885
MEPKJAOO_01269	K01633
MEPKJAOO_01270	K01880
MEPKJAOO_01273	K03286
MEPKJAOO_01274	K01933
MEPKJAOO_01279	K01142
MEPKJAOO_01283	K05606
MEPKJAOO_01287	K01056
MEPKJAOO_01288	K02897
MEPKJAOO_01289	K00948
MEPKJAOO_01292	K01493
MEPKJAOO_01299	K01495
MEPKJAOO_01304	K01990
MEPKJAOO_01312	K03321
MEPKJAOO_01318	K02557
MEPKJAOO_01322	K03526
MEPKJAOO_01323	K08289
MEPKJAOO_01325	K00793
MEPKJAOO_01326	K11784
MEPKJAOO_01327	K01255
MEPKJAOO_01328	K00097
MEPKJAOO_01330	K02911
MEPKJAOO_01331	K03621
MEPKJAOO_01332	K00648
MEPKJAOO_01333	K02160
MEPKJAOO_01334	K01961
MEPKJAOO_01335	K01444
MEPKJAOO_01339	K03798
MEPKJAOO_01341	K00981
MEPKJAOO_01342	K01613
MEPKJAOO_01345	K01462
MEPKJAOO_01346	K03924
MEPKJAOO_01347	K03771
MEPKJAOO_01349	K03769
MEPKJAOO_01350	K00088
MEPKJAOO_01356	K03296
MEPKJAOO_01360	K00762
MEPKJAOO_01362	K03524
MEPKJAOO_01363	K09710
MEPKJAOO_01364	K03798
MEPKJAOO_01366	K00981
MEPKJAOO_01367	K01613
MEPKJAOO_01370	K00318
MEPKJAOO_01372	K00259
MEPKJAOO_01373	K06925
MEPKJAOO_01374	K07713
MEPKJAOO_01375	K06885
MEPKJAOO_01376	K02536
MEPKJAOO_01377	K16363
MEPKJAOO_01378	K00677
MEPKJAOO_01379	K02356
MEPKJAOO_01380	K00831
MEPKJAOO_01381	K00058
MEPKJAOO_01383	K06997
MEPKJAOO_01384	K09022
MEPKJAOO_01385	K07588
MEPKJAOO_01386	K03832
