OLGPHELA_00001	K01892
OLGPHELA_00413	K07107
OLGPHELA_00416	K01081
OLGPHELA_00417	K02313
OLGPHELA_00418	K01104
OLGPHELA_00419	K07056
OLGPHELA_00421	K07091
OLGPHELA_00423	K01246
OLGPHELA_00424	K03386
OLGPHELA_00425	K11927
OLGPHELA_00426	K01835
OLGPHELA_00427	K07082
OLGPHELA_00429	K00657
OLGPHELA_00430	K01778
OLGPHELA_00431	K00134
OLGPHELA_00433	K15460
OLGPHELA_00434	K14157
OLGPHELA_00437	K01610
OLGPHELA_00438	K02909
OLGPHELA_00443	K00831
OLGPHELA_00444	K00058
OLGPHELA_00446	K06997
OLGPHELA_00448	K06911
OLGPHELA_00449	K01923
OLGPHELA_00450	K06217
OLGPHELA_00451	K22205
OLGPHELA_00456	K02338
OLGPHELA_00460	K05979
OLGPHELA_00461	K00605
OLGPHELA_00467	K01640
OLGPHELA_00468	K00254
OLGPHELA_00471	K03572
OLGPHELA_00475	K12368
OLGPHELA_00476	K18707
OLGPHELA_00477	K13292
OLGPHELA_00481	K06187
OLGPHELA_00483	K00658
OLGPHELA_00484	K02342
OLGPHELA_00488	K00566
OLGPHELA_00492	K01770
OLGPHELA_00497	K01929
OLGPHELA_00500	K00248
OLGPHELA_00501	K09001
OLGPHELA_00502	K00262
OLGPHELA_00503	K16052
OLGPHELA_00505	K03561
OLGPHELA_00506	K03559
OLGPHELA_00508	K11754
OLGPHELA_00510	K01733
OLGPHELA_00511	K00003
OLGPHELA_00515	K02106
OLGPHELA_00516	K02034
OLGPHELA_00517	K11936
OLGPHELA_00519	K01159
OLGPHELA_00520	K02503
OLGPHELA_00521	K03624
OLGPHELA_00526	K01251
OLGPHELA_00528	K17104
OLGPHELA_00531	K02014
OLGPHELA_00532	K11753
OLGPHELA_00533	K02112
OLGPHELA_00534	K02114
OLGPHELA_00535	K00652
OLGPHELA_00536	K01935
OLGPHELA_00537	K00833
OLGPHELA_00538	K09458
OLGPHELA_00539	K01012
OLGPHELA_00543	K07560
OLGPHELA_00544	K06949
OLGPHELA_00546	K01990
OLGPHELA_00547	K00297
OLGPHELA_00548	K00548
OLGPHELA_00549	K00789
OLGPHELA_00550	K03977
OLGPHELA_00551	K03595
OLGPHELA_00552	K06158
OLGPHELA_00555	K02950
OLGPHELA_00556	K02992
OLGPHELA_00557	K02355
OLGPHELA_00558	K02946
OLGPHELA_00559	K02906
OLGPHELA_00560	K02926
OLGPHELA_00561	K02892
OLGPHELA_00562	K02886
OLGPHELA_00563	K02965
OLGPHELA_00564	K02890
OLGPHELA_00565	K02982
OLGPHELA_00566	K02878
OLGPHELA_00567	K02904
OLGPHELA_00568	K02961
OLGPHELA_00569	K02874
OLGPHELA_00570	K02895
OLGPHELA_00571	K02931
OLGPHELA_00572	K02954
OLGPHELA_00573	K02994
OLGPHELA_00574	K02933
OLGPHELA_00575	K02881
OLGPHELA_00576	K02988
OLGPHELA_00577	K02907
OLGPHELA_00578	K02876
OLGPHELA_00579	K03076
OLGPHELA_00580	K01265
OLGPHELA_00581	K02518
OLGPHELA_00583	K02952
OLGPHELA_00584	K02948
OLGPHELA_00585	K02986
OLGPHELA_00586	K03040
OLGPHELA_00587	K02879
OLGPHELA_00588	K01956
OLGPHELA_00589	K01689
OLGPHELA_00590	K01647
OLGPHELA_00591	K16239
OLGPHELA_00592	K08289
OLGPHELA_00596	K03218
OLGPHELA_00597	K09760
OLGPHELA_00599	K03648
OLGPHELA_00601	K03644
OLGPHELA_00603	K00134
OLGPHELA_00604	K03269
OLGPHELA_00606	K02434
OLGPHELA_00607	K01845
OLGPHELA_00608	K01698
OLGPHELA_00609	K00228
OLGPHELA_00610	K01599
OLGPHELA_00612	K01749
OLGPHELA_00613	K02492
OLGPHELA_00614	K01772
OLGPHELA_00617	K01409
OLGPHELA_00618	K14652
OLGPHELA_00621	K03787
OLGPHELA_00623	K00748
OLGPHELA_00624	K02238
OLGPHELA_00625	K13990
OLGPHELA_00626	K01468
OLGPHELA_00627	K01736
OLGPHELA_00628	K11102
OLGPHELA_00630	K02884
OLGPHELA_00631	K00554
OLGPHELA_00633	K07391
OLGPHELA_00634	K03811
OLGPHELA_00635	K03070
OLGPHELA_00637	K00798
OLGPHELA_00638	K02003
OLGPHELA_00640	K04079
OLGPHELA_00643	K02851
OLGPHELA_00646	K00012
OLGPHELA_00648	K00860
OLGPHELA_00649	K00957
OLGPHELA_00650	K00956
OLGPHELA_00651	K06173
OLGPHELA_00652	K03924
OLGPHELA_00655	K07114
OLGPHELA_00656	K07114
OLGPHELA_00660	K07095
OLGPHELA_00662	K03628
OLGPHELA_00665	K01924
OLGPHELA_00667	K07735
OLGPHELA_00668	K00826
OLGPHELA_00669	K09761
OLGPHELA_00673	K01745
OLGPHELA_00674	K00891
OLGPHELA_00675	K11166
OLGPHELA_00681	K03671
OLGPHELA_00682	K02337
OLGPHELA_00683	K04066
OLGPHELA_00684	K06180
OLGPHELA_00685	K00606
OLGPHELA_00686	K03529
OLGPHELA_00688	K04043
OLGPHELA_00690	K03664
OLGPHELA_00691	K07238
OLGPHELA_00692	K03709
OLGPHELA_00693	K02348
OLGPHELA_00694	K02825
OLGPHELA_00695	K21552
OLGPHELA_00696	K03215
OLGPHELA_00697	K00819
OLGPHELA_00701	K07058
OLGPHELA_00702	K00767
OLGPHELA_00703	K00783
OLGPHELA_00704	K02428
OLGPHELA_00705	K01322
OLGPHELA_00706	K04771
OLGPHELA_00708	K20742
OLGPHELA_00709	K00626
OLGPHELA_00710	K07037
OLGPHELA_00712	K09022
OLGPHELA_00714	K00384
OLGPHELA_00720	K01579
OLGPHELA_00721	K01918
OLGPHELA_00722	K00703
OLGPHELA_00724	K00820
OLGPHELA_00726	K06889
OLGPHELA_00729	K01991
OLGPHELA_00731	K13566
OLGPHELA_00732	K00240
OLGPHELA_00733	K00239
OLGPHELA_00734	K00241
OLGPHELA_00735	K01262
OLGPHELA_00737	K00946
OLGPHELA_00738	K22063
OLGPHELA_00739	K09014
OLGPHELA_00740	K09013
OLGPHELA_00741	K09015
OLGPHELA_00742	K11717
OLGPHELA_00743	K02426
OLGPHELA_00749	K00764
OLGPHELA_00751	K00452
OLGPHELA_00752	K00059
OLGPHELA_00753	K23234
OLGPHELA_00754	K04767
OLGPHELA_00757	K00845
OLGPHELA_00758	K01444
OLGPHELA_00761	K02014
OLGPHELA_00768	K03503
OLGPHELA_00769	K03502
OLGPHELA_00777	K01889
OLGPHELA_00778	K01802
OLGPHELA_00782	K00927
OLGPHELA_00783	K02341
OLGPHELA_00786	K05366
OLGPHELA_00787	K01028
OLGPHELA_00788	K01029
OLGPHELA_00789	K02031
OLGPHELA_00791	K03801
OLGPHELA_00792	K15916
OLGPHELA_00793	K04567
OLGPHELA_00794	K00057
OLGPHELA_00795	K03703
OLGPHELA_00797	K00133
OLGPHELA_00799	K03101
OLGPHELA_00801	K01870
OLGPHELA_00802	K09022
OLGPHELA_00806	K05523
OLGPHELA_00809	K00457
OLGPHELA_00811	K07146
OLGPHELA_00812	K15789
OLGPHELA_00813	K01883
OLGPHELA_00815	K23054
OLGPHELA_00817	K02335
OLGPHELA_00820	K16216
OLGPHELA_00821	K01760
OLGPHELA_00826	K00942
OLGPHELA_00827	K00969
OLGPHELA_00828	K23265
OLGPHELA_00831	K01945
OLGPHELA_00832	K01966
OLGPHELA_00834	K03596
OLGPHELA_00838	K00793
OLGPHELA_00839	K11784
OLGPHELA_00840	K01255
OLGPHELA_00841	K00097
OLGPHELA_00843	K02911
OLGPHELA_00844	K03621
OLGPHELA_00845	K00648
OLGPHELA_00846	K02160
OLGPHELA_00847	K01961
OLGPHELA_00848	K01662
OLGPHELA_00849	K03296
OLGPHELA_00853	K01893
OLGPHELA_00854	K03092
OLGPHELA_00863	K03718
OLGPHELA_00865	K03320
OLGPHELA_00867	K02860
OLGPHELA_00869	K00074
OLGPHELA_00870	K00573
OLGPHELA_00871	K03810
OLGPHELA_00874	K01961
OLGPHELA_00875	K01903
OLGPHELA_00877	K09810
OLGPHELA_00878	K18933
OLGPHELA_00880	K01465
OLGPHELA_00881	K06167
OLGPHELA_00885	K11381
OLGPHELA_00889	K03113
OLGPHELA_00890	K00754
OLGPHELA_00893	K00757
OLGPHELA_00895	K18682
OLGPHELA_00899	K03741
OLGPHELA_00902	K01784
OLGPHELA_00905	K09809
OLGPHELA_00910	K01955
OLGPHELA_00911	K02914
OLGPHELA_00913	K03783
OLGPHELA_00914	K00912
OLGPHELA_00916	K07164
OLGPHELA_00920	K01881
OLGPHELA_00929	K00428
OLGPHELA_00932	K18285
OLGPHELA_00933	K06180
OLGPHELA_00936	K01921
OLGPHELA_00937	K03786
OLGPHELA_00938	K04763
OLGPHELA_00941	K00812
OLGPHELA_00942	K03272
OLGPHELA_00943	K10716
OLGPHELA_00944	K10951
OLGPHELA_00945	K03183
OLGPHELA_00947	K07137
OLGPHELA_00948	K03437
OLGPHELA_00949	K01624
OLGPHELA_00950	K01963
OLGPHELA_00951	K02956
OLGPHELA_00952	K00962
OLGPHELA_00953	K03086
OLGPHELA_00954	K01783
OLGPHELA_00955	K14157
OLGPHELA_00958	K03671
OLGPHELA_00961	K01669
OLGPHELA_00962	K06876
OLGPHELA_00975	K06911
OLGPHELA_00979	K02003
OLGPHELA_00985	K09966
OLGPHELA_00988	K03218
OLGPHELA_00992	K06973
OLGPHELA_00994	K00104
OLGPHELA_00995	K01278
OLGPHELA_00996	K03305
OLGPHELA_00997	K01829
OLGPHELA_01000	K17686
OLGPHELA_01001	K01190
OLGPHELA_01002	K01463
OLGPHELA_01003	K00432
OLGPHELA_01006	K03270
OLGPHELA_01007	K17105
OLGPHELA_01008	K06287
OLGPHELA_01011	K01761
OLGPHELA_01012	K03315
OLGPHELA_01014	K03271
OLGPHELA_01015	K03273
OLGPHELA_01018	K00616
OLGPHELA_01020	K00859
OLGPHELA_01022	K03210
OLGPHELA_01024	K03625
OLGPHELA_01025	K00263
OLGPHELA_01026	K18889
OLGPHELA_01029	K03496
OLGPHELA_01030	K03497
OLGPHELA_01032	K00215
OLGPHELA_01033	K03100
OLGPHELA_01035	K01969
OLGPHELA_01036	K01868
OLGPHELA_01037	K02520
OLGPHELA_01038	K02916
OLGPHELA_01039	K02887
OLGPHELA_01042	K03553
OLGPHELA_01043	K03564
OLGPHELA_01044	K10773
OLGPHELA_01046	K03088
OLGPHELA_01047	K03701
OLGPHELA_01048	K07447
OLGPHELA_01049	K00674
OLGPHELA_01051	K07566
OLGPHELA_01052	K00970
OLGPHELA_01054	K00791
OLGPHELA_01057	K00784
OLGPHELA_01060	K00609
OLGPHELA_01061	K02825
OLGPHELA_01062	K02945
OLGPHELA_01063	K00919
OLGPHELA_01064	K01962
OLGPHELA_01065	K02314
OLGPHELA_01072	K00075
OLGPHELA_01075	K09812
OLGPHELA_01078	K02470
OLGPHELA_01080	K00024
OLGPHELA_01082	K12257
OLGPHELA_01084	K01915
OLGPHELA_01086	K01933
OLGPHELA_01087	K02835
OLGPHELA_01088	K01591
OLGPHELA_01093	K10716
OLGPHELA_01095	K00067
OLGPHELA_01096	K03310
OLGPHELA_01098	K00759
OLGPHELA_01099	K00248
OLGPHELA_01101	K03733
OLGPHELA_01102	K05808
OLGPHELA_01107	K02358
OLGPHELA_01109	K02601
OLGPHELA_01110	K02867
OLGPHELA_01111	K02863
OLGPHELA_01112	K02864
OLGPHELA_01113	K02935
OLGPHELA_01114	K03043
OLGPHELA_01115	K03046
OLGPHELA_01117	K00508
OLGPHELA_01118	K01697
OLGPHELA_01119	K09808
OLGPHELA_01121	K06940
OLGPHELA_01122	K00812
OLGPHELA_01124	K01873
OLGPHELA_01126	K00231
OLGPHELA_01127	K01847
OLGPHELA_01134	K00826
OLGPHELA_01137	K02968
OLGPHELA_01138	K03630
OLGPHELA_01148	K07025
OLGPHELA_01149	K00800
OLGPHELA_01150	K01735
OLGPHELA_01153	K19302
OLGPHELA_01154	K03979
OLGPHELA_01155	K00939
OLGPHELA_01156	K00760
OLGPHELA_01157	K01588
OLGPHELA_01160	K01897
OLGPHELA_01161	K23269
OLGPHELA_01162	K00500
OLGPHELA_01163	K00059
OLGPHELA_01179	K19519
OLGPHELA_01180	K00432
OLGPHELA_01182	K10563
OLGPHELA_01185	K11147
OLGPHELA_01186	K01737
OLGPHELA_01187	K01495
OLGPHELA_01188	K10027
OLGPHELA_01191	K01823
OLGPHELA_01197	K15633
OLGPHELA_01199	K06888
OLGPHELA_01205	K14742
OLGPHELA_01206	K02005
OLGPHELA_01207	K12340
OLGPHELA_01209	K08976
OLGPHELA_01212	K02276
OLGPHELA_01214	K02257
OLGPHELA_01219	K01784
OLGPHELA_01221	K08280
OLGPHELA_01224	K01619
OLGPHELA_01225	K03832
OLGPHELA_01227	K02437
OLGPHELA_01229	K03550
OLGPHELA_01230	K00029
OLGPHELA_01239	K03186
OLGPHELA_01241	K18979
OLGPHELA_01242	K03551
OLGPHELA_01244	K02274
OLGPHELA_01245	K02275
OLGPHELA_01250	K04014
OLGPHELA_01253	K02519
OLGPHELA_01254	K02600
OLGPHELA_01261	K01069
OLGPHELA_01262	K07090
OLGPHELA_01264	K22016
OLGPHELA_01267	K01874
OLGPHELA_01268	K01297
OLGPHELA_01269	K07460
OLGPHELA_01270	K06178
OLGPHELA_01272	K14982
OLGPHELA_01273	K07304
OLGPHELA_01277	K03665
OLGPHELA_01287	K00558
OLGPHELA_01295	K01142
OLGPHELA_01296	K02557
OLGPHELA_01297	K04485
OLGPHELA_01298	K03272
OLGPHELA_01300	K01579
OLGPHELA_01301	K01918
OLGPHELA_01302	K00703
OLGPHELA_01304	K00820
OLGPHELA_01306	K01793
OLGPHELA_01308	K04564
OLGPHELA_01309	K03797
OLGPHELA_01310	K01493
OLGPHELA_01312	K00948
OLGPHELA_01313	K02897
OLGPHELA_01314	K01056
OLGPHELA_01315	K01880
OLGPHELA_01317	K10808
OLGPHELA_01318	K10807
OLGPHELA_01319	K00252
OLGPHELA_01322	K01719
OLGPHELA_01324	K08998
OLGPHELA_01325	K03797
OLGPHELA_01327	K01775
OLGPHELA_01328	K00857
OLGPHELA_01330	K07056
OLGPHELA_01331	K04516
OLGPHELA_01332	K07462
OLGPHELA_01333	K02316
OLGPHELA_01334	K02523
OLGPHELA_01335	K06941
OLGPHELA_01337	K00991
OLGPHELA_01338	K07568
OLGPHELA_01339	K03177
OLGPHELA_01340	K06153
OLGPHELA_01342	K09811
OLGPHELA_01343	K01869
OLGPHELA_01344	K00453
OLGPHELA_01345	K19304
OLGPHELA_01351	K03526
OLGPHELA_01353	K06147
OLGPHELA_01354	K02834
OLGPHELA_01355	K09808
OLGPHELA_01356	K06178
OLGPHELA_01358	K07052
OLGPHELA_01362	K03561
OLGPHELA_01364	K01424
OLGPHELA_01365	K03424
OLGPHELA_01369	K00979
OLGPHELA_01371	K04096
OLGPHELA_01374	K00262
OLGPHELA_01375	K00639
OLGPHELA_01376	K02871
OLGPHELA_01377	K02996
OLGPHELA_01378	K02967
OLGPHELA_01379	K02357
OLGPHELA_01380	K09903
OLGPHELA_01381	K02838
OLGPHELA_01383	K00973
OLGPHELA_01384	K13789
OLGPHELA_01385	K00164
OLGPHELA_01386	K00658
OLGPHELA_01389	K22074
OLGPHELA_01391	K01776
OLGPHELA_01394	K07277
OLGPHELA_01395	K00806
OLGPHELA_01397	K00858
OLGPHELA_01400	K03474
OLGPHELA_01401	K13703
OLGPHELA_01404	K07004
OLGPHELA_01405	K00721
OLGPHELA_01406	K01465
OLGPHELA_01409	K00091
OLGPHELA_01410	K01866
OLGPHELA_01415	K02039
OLGPHELA_01416	K02036
OLGPHELA_01417	K02038
OLGPHELA_01418	K02037
OLGPHELA_01419	K02040
OLGPHELA_01421	K07658
OLGPHELA_01422	K07636
OLGPHELA_01424	K03439
OLGPHELA_01428	K07443
OLGPHELA_01429	K03593
OLGPHELA_01431	K00174
OLGPHELA_01432	K00175
OLGPHELA_01434	K01916
OLGPHELA_01437	K03978
OLGPHELA_01439	K03925
OLGPHELA_01440	K03438
OLGPHELA_01441	K03587
OLGPHELA_01442	K01928
OLGPHELA_01443	K01000
OLGPHELA_01444	K01925
OLGPHELA_01445	K03588
OLGPHELA_01446	K02563
OLGPHELA_01447	K01924
OLGPHELA_01449	K03590
OLGPHELA_01450	K03531
OLGPHELA_01451	K09117
OLGPHELA_01454	K03111
OLGPHELA_01455	K03575
OLGPHELA_01456	K03530
OLGPHELA_01457	K08301
OLGPHELA_01460	K02836
OLGPHELA_01461	K00537
OLGPHELA_01463	K01679
OLGPHELA_01464	K00971
OLGPHELA_01466	K04759
OLGPHELA_01467	K04758
OLGPHELA_01468	K02066
OLGPHELA_01469	K02065
OLGPHELA_01473	K00281
OLGPHELA_01475	K01556
OLGPHELA_01476	K00486
OLGPHELA_01479	K01069
OLGPHELA_01480	K07090
OLGPHELA_01481	K21613
OLGPHELA_01482	K03654
OLGPHELA_01483	K06041
OLGPHELA_01484	K03118
OLGPHELA_01485	K06861
OLGPHELA_01487	K17103
OLGPHELA_01488	K03820
OLGPHELA_01490	K01657
OLGPHELA_01491	K04075
OLGPHELA_01493	K04084
OLGPHELA_01497	K03525
OLGPHELA_01502	K03771
OLGPHELA_01503	K05837
OLGPHELA_01504	K05515
OLGPHELA_01506	K03570
OLGPHELA_01507	K03569
OLGPHELA_01508	K00602
OLGPHELA_01509	K02004
OLGPHELA_01510	K03723
OLGPHELA_01511	K03841
OLGPHELA_01512	K00657
OLGPHELA_01513	K00928
OLGPHELA_01519	K01920
OLGPHELA_01529	K02108
OLGPHELA_01530	K02110
OLGPHELA_01531	K02109
OLGPHELA_01533	K02111
OLGPHELA_01534	K02115
OLGPHELA_01535	K01715
OLGPHELA_01537	K01520
OLGPHELA_01542	K02433
OLGPHELA_01543	K08307
OLGPHELA_01545	K16092
OLGPHELA_01546	K03584
OLGPHELA_01550	K03495
OLGPHELA_01553	K01885
OLGPHELA_01560	K05606
OLGPHELA_01561	K20866
