KNGECOPJ_00001	K11536
KNGECOPJ_00334	K01712
KNGECOPJ_00335	K01745
KNGECOPJ_00337	K15519
KNGECOPJ_00338	K23025
KNGECOPJ_00339	K00162
KNGECOPJ_00340	K08999
KNGECOPJ_00341	K00560
KNGECOPJ_00343	K00287
KNGECOPJ_00344	K00645
KNGECOPJ_00347	K01784
KNGECOPJ_00348	K01784
KNGECOPJ_00349	K01077
KNGECOPJ_00355	K01159
KNGECOPJ_00357	K09793
KNGECOPJ_00361	K03088
KNGECOPJ_00363	K03644
KNGECOPJ_00364	K00912
KNGECOPJ_00366	K07164
KNGECOPJ_00367	K01610
KNGECOPJ_00371	K11754
KNGECOPJ_00374	K03561
KNGECOPJ_00376	K09001
KNGECOPJ_00377	K00265
KNGECOPJ_00378	K00266
KNGECOPJ_00380	K02996
KNGECOPJ_00381	K02871
KNGECOPJ_00387	K02335
KNGECOPJ_00388	K01662
KNGECOPJ_00389	K11991
KNGECOPJ_00390	K03704
KNGECOPJ_00392	K01876
KNGECOPJ_00393	K03296
KNGECOPJ_00395	K03585
KNGECOPJ_00398	K13789
KNGECOPJ_00400	K07238
KNGECOPJ_00401	K00946
KNGECOPJ_00406	K22063
KNGECOPJ_00407	K09014
KNGECOPJ_00408	K09013
KNGECOPJ_00409	K09015
KNGECOPJ_00410	K11717
KNGECOPJ_00411	K02426
KNGECOPJ_00416	K00969
KNGECOPJ_00417	K00942
KNGECOPJ_00429	K01758
KNGECOPJ_00430	K03269
KNGECOPJ_00431	K03665
KNGECOPJ_00436	K11749
KNGECOPJ_00439	K04759
KNGECOPJ_00441	K01262
KNGECOPJ_00445	K00239
KNGECOPJ_00446	K00240
KNGECOPJ_00449	K13566
KNGECOPJ_00452	K01880
KNGECOPJ_00454	K01142
KNGECOPJ_00455	K02557
KNGECOPJ_00457	K02032
KNGECOPJ_00460	K00567
KNGECOPJ_00461	K01698
KNGECOPJ_00463	K00228
KNGECOPJ_00464	K01599
KNGECOPJ_00466	K01749
KNGECOPJ_00467	K02492
KNGECOPJ_00469	K01772
KNGECOPJ_00472	K08973
KNGECOPJ_00473	K13598
KNGECOPJ_00474	K13509
KNGECOPJ_00478	K01493
KNGECOPJ_00479	K03797
KNGECOPJ_00481	K05595
KNGECOPJ_00483	K10808
KNGECOPJ_00484	K10807
KNGECOPJ_00489	K01129
KNGECOPJ_00490	K07098
KNGECOPJ_00495	K04659
KNGECOPJ_00503	K03405
KNGECOPJ_00504	K07114
KNGECOPJ_00506	K02600
KNGECOPJ_00507	K02519
KNGECOPJ_00510	K03703
KNGECOPJ_00513	K01810
KNGECOPJ_00514	K07462
KNGECOPJ_00515	K07056
KNGECOPJ_00517	K00857
KNGECOPJ_00518	K01775
KNGECOPJ_00519	K00133
KNGECOPJ_00520	K01322
KNGECOPJ_00521	K01961
KNGECOPJ_00522	K02160
KNGECOPJ_00523	K00648
KNGECOPJ_00526	K00097
KNGECOPJ_00527	K00793
KNGECOPJ_00532	K05349
KNGECOPJ_00533	K01556
KNGECOPJ_00541	K06911
KNGECOPJ_00547	K00681
KNGECOPJ_00549	K06978
KNGECOPJ_00556	K03759
KNGECOPJ_00557	K00499
KNGECOPJ_00562	K16089
KNGECOPJ_00564	K06207
KNGECOPJ_00565	K09812
KNGECOPJ_00569	K01953
KNGECOPJ_00570	K02470
KNGECOPJ_00571	K00024
KNGECOPJ_00572	K12257
KNGECOPJ_00576	K01883
KNGECOPJ_00577	K01495
KNGECOPJ_00580	K01881
KNGECOPJ_00587	K02968
KNGECOPJ_00589	K03628
KNGECOPJ_00591	K07095
KNGECOPJ_00593	K06173
KNGECOPJ_00594	K18890
KNGECOPJ_00595	K18672
KNGECOPJ_00596	K00796
KNGECOPJ_00598	K15581
KNGECOPJ_00599	K01803
KNGECOPJ_00600	K02687
KNGECOPJ_00602	K00432
KNGECOPJ_00603	K01758
KNGECOPJ_00604	K01463
KNGECOPJ_00610	K01259
KNGECOPJ_00624	K00088
KNGECOPJ_00627	K07533
KNGECOPJ_00633	K00891
KNGECOPJ_00635	K04762
KNGECOPJ_00636	K03772
KNGECOPJ_00638	K00615
KNGECOPJ_00639	K00615
KNGECOPJ_00640	K00773
KNGECOPJ_00643	K01962
KNGECOPJ_00644	K02314
KNGECOPJ_00645	K07025
KNGECOPJ_00649	K02836
KNGECOPJ_00651	K01354
KNGECOPJ_00652	K01738
KNGECOPJ_00653	K00652
KNGECOPJ_00658	K02338
KNGECOPJ_00660	K01992
KNGECOPJ_00665	K06217
KNGECOPJ_00666	K01923
KNGECOPJ_00667	K00791
KNGECOPJ_00668	K10716
KNGECOPJ_00669	K03763
KNGECOPJ_00670	K06997
KNGECOPJ_00672	K03810
KNGECOPJ_00673	K00573
KNGECOPJ_00675	K03664
KNGECOPJ_00677	K03695
KNGECOPJ_00678	K00600
KNGECOPJ_00680	K22757
KNGECOPJ_00682	K00616
KNGECOPJ_00685	K03307
KNGECOPJ_00688	K01890
KNGECOPJ_00693	K14155
KNGECOPJ_00694	K03655
KNGECOPJ_00698	K01436
KNGECOPJ_00699	K03657
KNGECOPJ_00701	K02557
KNGECOPJ_00704	K02340
KNGECOPJ_00705	K00167
KNGECOPJ_00708	K03701
KNGECOPJ_00709	K00681
KNGECOPJ_00711	K01840
KNGECOPJ_00712	K02517
KNGECOPJ_00713	K19225
KNGECOPJ_00715	K01736
KNGECOPJ_00716	K11102
KNGECOPJ_00719	K07456
KNGECOPJ_00720	K03648
KNGECOPJ_00723	K03553
KNGECOPJ_00725	K13509
KNGECOPJ_00726	K01867
KNGECOPJ_00727	K04096
KNGECOPJ_00731	K00966
KNGECOPJ_00732	K01520
KNGECOPJ_00735	K03790
KNGECOPJ_00737	K02115
KNGECOPJ_00738	K02111
KNGECOPJ_00741	K02110
KNGECOPJ_00742	K02108
KNGECOPJ_00747	K01990
KNGECOPJ_00750	K01687
KNGECOPJ_00751	K01652
KNGECOPJ_00752	K01653
KNGECOPJ_00753	K00053
KNGECOPJ_00754	K01754
KNGECOPJ_00755	K14445
KNGECOPJ_00756	K00131
KNGECOPJ_00757	K00128
KNGECOPJ_00759	K00052
KNGECOPJ_00760	K09011
KNGECOPJ_00761	K01704
KNGECOPJ_00762	K01703
KNGECOPJ_00763	K01649
KNGECOPJ_00765	K06180
KNGECOPJ_00766	K00606
KNGECOPJ_00768	K04043
KNGECOPJ_00770	K02361
KNGECOPJ_00771	K02551
KNGECOPJ_00772	K01661
KNGECOPJ_00773	K02548
KNGECOPJ_00775	K07052
KNGECOPJ_00776	K01911
KNGECOPJ_00777	K01969
KNGECOPJ_00781	K01679
KNGECOPJ_00786	K03088
KNGECOPJ_00787	K00537
KNGECOPJ_00788	K02887
KNGECOPJ_00789	K02916
KNGECOPJ_00790	K02520
KNGECOPJ_00791	K01868
KNGECOPJ_00793	K02495
KNGECOPJ_00795	K07106
KNGECOPJ_00796	K00031
KNGECOPJ_00797	K02884
KNGECOPJ_00798	K00554
KNGECOPJ_00799	K04771
KNGECOPJ_00800	K01778
KNGECOPJ_00802	K07082
KNGECOPJ_00803	K07056
KNGECOPJ_00804	K01104
KNGECOPJ_00805	K02313
KNGECOPJ_00806	K07107
KNGECOPJ_00807	K11752
KNGECOPJ_00808	K03828
KNGECOPJ_00809	K02493
KNGECOPJ_00810	K01972
KNGECOPJ_00812	K01714
KNGECOPJ_00813	K15789
KNGECOPJ_00814	K00639
KNGECOPJ_00817	K13038
KNGECOPJ_00823	K01907
KNGECOPJ_00825	K00248
KNGECOPJ_00827	K14393
KNGECOPJ_00828	K01895
KNGECOPJ_00835	K11068
KNGECOPJ_00836	K23256
KNGECOPJ_00843	K11753
KNGECOPJ_00846	K01056
KNGECOPJ_00847	K02897
KNGECOPJ_00848	K00948
KNGECOPJ_00850	K02950
KNGECOPJ_00851	K02992
KNGECOPJ_00852	K02355
KNGECOPJ_00853	K02946
KNGECOPJ_00854	K02906
KNGECOPJ_00855	K02926
KNGECOPJ_00856	K02892
KNGECOPJ_00857	K02886
KNGECOPJ_00858	K02965
KNGECOPJ_00859	K02890
KNGECOPJ_00860	K02982
KNGECOPJ_00861	K02878
KNGECOPJ_00863	K02961
KNGECOPJ_00864	K02874
KNGECOPJ_00865	K02895
KNGECOPJ_00866	K02931
KNGECOPJ_00867	K02954
KNGECOPJ_00868	K02994
KNGECOPJ_00869	K02933
KNGECOPJ_00870	K02881
KNGECOPJ_00871	K02988
KNGECOPJ_00872	K02907
KNGECOPJ_00873	K02876
KNGECOPJ_00874	K03076
KNGECOPJ_00875	K02518
KNGECOPJ_00876	K02952
KNGECOPJ_00877	K02948
KNGECOPJ_00878	K02986
KNGECOPJ_00879	K03040
KNGECOPJ_00880	K02879
KNGECOPJ_00881	K01956
KNGECOPJ_00882	K01689
KNGECOPJ_00888	K01647
KNGECOPJ_00890	K01887
KNGECOPJ_00893	K03106
KNGECOPJ_00894	K01491
KNGECOPJ_00896	K06991
KNGECOPJ_00897	K10026
KNGECOPJ_00901	K01697
KNGECOPJ_00905	K05366
KNGECOPJ_00911	K02275
KNGECOPJ_00912	K02274
KNGECOPJ_00913	K21556
KNGECOPJ_00914	K03551
KNGECOPJ_00915	K17690
KNGECOPJ_00916	K18979
KNGECOPJ_00920	K03322
KNGECOPJ_00921	K03841
KNGECOPJ_00922	K07391
KNGECOPJ_00923	K07133
KNGECOPJ_00924	K02014
KNGECOPJ_00925	K04084
KNGECOPJ_00926	K04075
KNGECOPJ_00928	K01940
KNGECOPJ_00929	K00145
KNGECOPJ_00930	K00286
KNGECOPJ_00931	K00821
KNGECOPJ_00932	K13043
KNGECOPJ_00933	K00930
KNGECOPJ_00934	K01438
KNGECOPJ_00935	K01755
KNGECOPJ_00937	K00382
KNGECOPJ_00938	K10716
KNGECOPJ_00939	K03315
KNGECOPJ_00940	K03386
KNGECOPJ_00943	K03466
KNGECOPJ_00945	K07091
KNGECOPJ_00946	K14652
KNGECOPJ_00953	K00384
KNGECOPJ_00954	K01892
KNGECOPJ_00956	K02939
KNGECOPJ_00957	K02963
KNGECOPJ_00958	K02990
KNGECOPJ_00960	K04066
KNGECOPJ_00961	K07058
KNGECOPJ_00962	K00783
KNGECOPJ_00963	K02428
KNGECOPJ_00966	K01756
KNGECOPJ_00969	K16092
KNGECOPJ_00971	K01955
KNGECOPJ_00976	K18707
KNGECOPJ_00977	K12368
KNGECOPJ_00978	K02909
KNGECOPJ_00982	K01990
KNGECOPJ_00985	K01835
KNGECOPJ_00986	K06147
KNGECOPJ_00987	K03500
KNGECOPJ_00988	K01952
KNGECOPJ_00989	K01897
KNGECOPJ_00995	K02357
KNGECOPJ_00996	K01246
KNGECOPJ_00998	K07698
KNGECOPJ_00999	K02503
KNGECOPJ_01000	K03624
KNGECOPJ_01002	K02014
KNGECOPJ_01004	K03811
KNGECOPJ_01007	K01251
KNGECOPJ_01008	K02899
KNGECOPJ_01009	K02888
KNGECOPJ_01011	K01710
KNGECOPJ_01012	K00067
KNGECOPJ_01018	K03701
KNGECOPJ_01019	K03088
KNGECOPJ_01021	K10773
KNGECOPJ_01022	K03564
KNGECOPJ_01026	K07058
KNGECOPJ_01029	K06167
KNGECOPJ_01032	K01465
KNGECOPJ_01034	K09810
KNGECOPJ_01035	K07304
KNGECOPJ_01036	K01495
KNGECOPJ_01038	K00058
KNGECOPJ_01039	K00831
KNGECOPJ_01042	K06942
KNGECOPJ_01043	K02622
KNGECOPJ_01044	K02621
KNGECOPJ_01049	K03718
KNGECOPJ_01050	K01595
KNGECOPJ_01054	K15727
KNGECOPJ_01055	K15726
KNGECOPJ_01059	K01735
KNGECOPJ_01060	K00318
KNGECOPJ_01062	K06925
KNGECOPJ_01065	K03631
KNGECOPJ_01066	K00208
KNGECOPJ_01068	K00859
KNGECOPJ_01069	K07636
KNGECOPJ_01071	K04763
KNGECOPJ_01072	K03786
KNGECOPJ_01075	K00382
KNGECOPJ_01076	K07305
KNGECOPJ_01077	K07305
KNGECOPJ_01078	K06902
KNGECOPJ_01083	K01338
KNGECOPJ_01084	K00945
KNGECOPJ_01085	K02945
KNGECOPJ_01086	K02825
KNGECOPJ_01087	K00609
KNGECOPJ_01089	K00784
KNGECOPJ_01092	K22468
KNGECOPJ_01093	K22468
KNGECOPJ_01096	K03595
KNGECOPJ_01097	K03977
KNGECOPJ_01100	K01872
KNGECOPJ_01103	K05396
KNGECOPJ_01105	K01845
KNGECOPJ_01106	K04567
KNGECOPJ_01108	K03801
KNGECOPJ_01110	K03470
KNGECOPJ_01115	K16066
KNGECOPJ_01117	K03924
KNGECOPJ_01120	K07114
KNGECOPJ_01121	K07114
KNGECOPJ_01127	K01889
KNGECOPJ_01128	K00057
KNGECOPJ_01130	K14085
KNGECOPJ_01131	K13051
KNGECOPJ_01134	K02346
KNGECOPJ_01135	K00873
KNGECOPJ_01137	K03685
KNGECOPJ_01138	K09458
KNGECOPJ_01139	K02078
KNGECOPJ_01140	K11175
KNGECOPJ_01141	K03469
KNGECOPJ_01142	K00852
KNGECOPJ_01143	K00764
KNGECOPJ_01144	K04564
KNGECOPJ_01148	K10027
KNGECOPJ_01149	K10716
KNGECOPJ_01157	K11418
KNGECOPJ_01158	K01874
KNGECOPJ_01161	K03723
KNGECOPJ_01163	K03724
KNGECOPJ_01164	K10747
KNGECOPJ_01166	K02337
KNGECOPJ_01167	K03671
KNGECOPJ_01169	K03299
KNGECOPJ_01170	K00865
KNGECOPJ_01171	K00847
KNGECOPJ_01172	K08138
KNGECOPJ_01173	K09760
KNGECOPJ_01177	K00344
KNGECOPJ_01181	K03525
KNGECOPJ_01187	K03770
KNGECOPJ_01191	K00054
KNGECOPJ_01192	K01278
KNGECOPJ_01193	K03305
KNGECOPJ_01195	K02238
KNGECOPJ_01196	K00748
KNGECOPJ_01198	K03787
KNGECOPJ_01199	K03797
KNGECOPJ_01200	K02034
KNGECOPJ_01201	K05837
KNGECOPJ_01202	K05515
KNGECOPJ_01204	K03570
KNGECOPJ_01205	K03569
KNGECOPJ_01206	K00602
KNGECOPJ_01207	K08968
KNGECOPJ_01210	K04077
KNGECOPJ_01211	K04078
KNGECOPJ_01216	K06168
KNGECOPJ_01217	K03168
KNGECOPJ_01219	K13444
KNGECOPJ_01224	K06158
KNGECOPJ_01229	K00275
KNGECOPJ_01231	K00937
KNGECOPJ_01232	K01524
KNGECOPJ_01235	K02343
KNGECOPJ_01236	K08316
KNGECOPJ_01239	K01144
KNGECOPJ_01243	K00605
KNGECOPJ_01244	K01262
KNGECOPJ_01245	K01733
KNGECOPJ_01246	K00872
KNGECOPJ_01247	K12524
KNGECOPJ_01248	K03696
KNGECOPJ_01249	K02469
KNGECOPJ_01251	K20742
KNGECOPJ_01252	K07037
KNGECOPJ_01261	K07304
KNGECOPJ_01262	K00259
KNGECOPJ_01269	K03324
KNGECOPJ_01271	K01198
KNGECOPJ_01276	K11085
KNGECOPJ_01277	K00496
KNGECOPJ_01282	K12343
KNGECOPJ_01285	K01625
KNGECOPJ_01286	K00874
KNGECOPJ_01287	K03709
KNGECOPJ_01288	K16089
KNGECOPJ_01290	K04659
KNGECOPJ_01292	K11166
KNGECOPJ_01296	K04565
KNGECOPJ_01298	K03767
KNGECOPJ_01299	K04761
KNGECOPJ_01300	K10947
KNGECOPJ_01304	K21430
KNGECOPJ_01307	K03496
KNGECOPJ_01308	K03497
KNGECOPJ_01310	K00215
KNGECOPJ_01311	K03100
KNGECOPJ_01316	K03572
KNGECOPJ_01318	K00794
KNGECOPJ_01324	K14437
KNGECOPJ_01326	K03629
KNGECOPJ_01329	K00940
KNGECOPJ_01330	K06143
KNGECOPJ_01331	K06143
KNGECOPJ_01333	K06881
KNGECOPJ_01335	K01802
KNGECOPJ_01339	K03437
KNGECOPJ_01340	K00951
KNGECOPJ_01341	K03711
KNGECOPJ_01342	K01939
KNGECOPJ_01344	K00821
KNGECOPJ_01346	K08974
KNGECOPJ_01348	K00014
KNGECOPJ_01350	K02428
KNGECOPJ_01352	K01462
KNGECOPJ_01353	K07447
KNGECOPJ_01354	K00674
KNGECOPJ_01356	K07566
KNGECOPJ_01357	K00970
KNGECOPJ_01362	K03702
KNGECOPJ_01363	K13993
KNGECOPJ_01364	K01903
KNGECOPJ_01365	K01586
KNGECOPJ_01366	K02371
KNGECOPJ_01367	K00566
KNGECOPJ_01370	K03217
KNGECOPJ_01371	K01937
KNGECOPJ_01373	K01951
KNGECOPJ_01374	K22136
KNGECOPJ_01375	K14441
KNGECOPJ_01377	K03110
KNGECOPJ_01379	K02913
KNGECOPJ_01380	K02902
KNGECOPJ_01382	K03742
KNGECOPJ_01384	K02342
KNGECOPJ_01385	K00658
KNGECOPJ_01386	K06187
KNGECOPJ_01389	K00648
KNGECOPJ_01390	K08869
KNGECOPJ_01392	K04079
KNGECOPJ_01395	K10860
KNGECOPJ_01399	K03564
KNGECOPJ_01400	K01737
KNGECOPJ_01401	K01823
KNGECOPJ_01402	K02837
KNGECOPJ_01405	K03046
KNGECOPJ_01406	K03043
KNGECOPJ_01407	K02935
KNGECOPJ_01408	K02864
KNGECOPJ_01409	K02863
KNGECOPJ_01410	K02867
KNGECOPJ_01411	K02601
KNGECOPJ_01414	K02358
KNGECOPJ_01415	K01681
KNGECOPJ_01416	K00729
KNGECOPJ_01424	K05808
KNGECOPJ_01425	K03733
KNGECOPJ_01427	K00248
KNGECOPJ_01429	K03310
KNGECOPJ_01434	K01657
KNGECOPJ_01435	K01658
KNGECOPJ_01436	K00766
KNGECOPJ_01437	K01609
KNGECOPJ_01438	K01817
KNGECOPJ_01439	K01696
KNGECOPJ_01440	K01695
KNGECOPJ_01441	K03499
KNGECOPJ_01442	K03183
KNGECOPJ_01444	K03437
KNGECOPJ_01446	K01624
KNGECOPJ_01447	K01963
KNGECOPJ_01448	K02956
KNGECOPJ_01449	K00962
KNGECOPJ_01450	K03086
KNGECOPJ_01452	K07146
KNGECOPJ_01455	K05366
KNGECOPJ_01456	K01737
KNGECOPJ_01457	K05605
KNGECOPJ_01463	K07112
KNGECOPJ_01464	K07112
KNGECOPJ_01465	K01069
KNGECOPJ_01466	K07090
KNGECOPJ_01470	K01934
KNGECOPJ_01471	K03101
KNGECOPJ_01474	K01870
KNGECOPJ_01477	K16089
KNGECOPJ_01478	K03584
KNGECOPJ_01479	K00262
KNGECOPJ_01480	K04485
KNGECOPJ_01482	K01579
KNGECOPJ_01483	K01918
KNGECOPJ_01484	K00703
KNGECOPJ_01490	K02112
KNGECOPJ_01491	K02114
KNGECOPJ_01494	K08301
KNGECOPJ_01496	K03530
KNGECOPJ_01497	K03575
KNGECOPJ_01498	K03111
KNGECOPJ_01505	K12941
KNGECOPJ_01507	K03453
KNGECOPJ_01508	K00626
KNGECOPJ_01512	K00851
KNGECOPJ_01513	K00033
KNGECOPJ_01518	K03522
KNGECOPJ_01520	K00248
KNGECOPJ_01521	K01715
KNGECOPJ_01523	K00074
KNGECOPJ_01529	K01673
KNGECOPJ_01530	K01673
KNGECOPJ_01531	K13449
KNGECOPJ_01538	K05592
KNGECOPJ_01544	K05714
KNGECOPJ_01545	K01434
KNGECOPJ_01546	K01784
KNGECOPJ_01547	K00864
KNGECOPJ_01548	K00111
KNGECOPJ_01551	K04751
KNGECOPJ_01555	K06157
KNGECOPJ_01563	K05523
KNGECOPJ_01566	K05844
KNGECOPJ_01577	K01667
KNGECOPJ_01586	K01784
KNGECOPJ_01587	K00109
KNGECOPJ_01588	K07806
KNGECOPJ_01589	K03324
KNGECOPJ_01591	K01438
KNGECOPJ_01592	K03548
KNGECOPJ_01598	K09761
KNGECOPJ_01599	K01409
KNGECOPJ_01601	K00850
KNGECOPJ_01602	K00134
KNGECOPJ_01604	K09022
KNGECOPJ_01606	K01448
KNGECOPJ_01607	K02067
KNGECOPJ_01613	K00754
KNGECOPJ_01614	K07116
KNGECOPJ_01615	K12373
KNGECOPJ_01623	K02528
KNGECOPJ_01624	K06213
KNGECOPJ_01625	K00058
KNGECOPJ_01626	K03741
KNGECOPJ_01627	K00928
KNGECOPJ_01628	K00657
KNGECOPJ_01629	K13703
KNGECOPJ_01630	K03474
KNGECOPJ_01631	K00858
KNGECOPJ_01633	K00806
KNGECOPJ_01634	K07277
KNGECOPJ_01638	K22074
KNGECOPJ_01639	K06888
KNGECOPJ_01640	K14742
KNGECOPJ_01641	K12340
KNGECOPJ_01642	K02005
KNGECOPJ_01643	K02004
KNGECOPJ_01644	K02004
KNGECOPJ_01645	K02003
KNGECOPJ_01647	K08976
KNGECOPJ_01652	K02262
KNGECOPJ_01653	K02257
KNGECOPJ_01654	K03832
KNGECOPJ_01655	K03832
KNGECOPJ_01656	K02437
KNGECOPJ_01658	K03550
KNGECOPJ_01659	K00029
KNGECOPJ_01662	K02536
KNGECOPJ_01663	K16363
KNGECOPJ_01664	K00677
KNGECOPJ_01665	K02356
KNGECOPJ_01666	K01902
KNGECOPJ_01667	K00059
KNGECOPJ_01669	K00765
KNGECOPJ_01670	K00013
KNGECOPJ_01671	K00817
KNGECOPJ_01672	K01089
KNGECOPJ_01673	K02501
KNGECOPJ_01674	K01814
KNGECOPJ_01676	K02500
KNGECOPJ_01677	K11755
KNGECOPJ_01690	K00167
KNGECOPJ_01692	K03113
KNGECOPJ_01702	K03782
KNGECOPJ_01706	K07301
KNGECOPJ_01707	K01915
KNGECOPJ_01708	K01915
KNGECOPJ_01709	K01933
KNGECOPJ_01713	K02835
KNGECOPJ_01714	K01591
KNGECOPJ_01716	K01433
KNGECOPJ_01719	K03320
KNGECOPJ_01720	K04751
KNGECOPJ_01721	K06199
KNGECOPJ_01724	K00826
KNGECOPJ_01726	K07071
KNGECOPJ_01727	K03687
KNGECOPJ_01728	K03686
KNGECOPJ_01729	K05802
KNGECOPJ_01730	K02481
KNGECOPJ_01731	K01302
KNGECOPJ_01732	K03327
KNGECOPJ_01735	K01785
KNGECOPJ_01736	K04750
KNGECOPJ_01738	K15537
KNGECOPJ_01739	K03070
KNGECOPJ_01741	K00798
KNGECOPJ_01743	K03820
KNGECOPJ_01744	K17103
KNGECOPJ_01745	K00820
KNGECOPJ_01746	K00621
KNGECOPJ_01747	K06861
KNGECOPJ_01748	K03118
KNGECOPJ_01749	K03654
KNGECOPJ_01750	K12733
