PMDGCEHL_00002	K02428
PMDGCEHL_00407	K03555
PMDGCEHL_00411	K04567
PMDGCEHL_00413	K00059
PMDGCEHL_00415	K07651
PMDGCEHL_00422	K06178
PMDGCEHL_00425	K01056
PMDGCEHL_00426	K00507
PMDGCEHL_00428	K07273
PMDGCEHL_00429	K01893
PMDGCEHL_00432	K03088
PMDGCEHL_00433	K01223
PMDGCEHL_00435	K01870
PMDGCEHL_00436	K01960
PMDGCEHL_00438	K01784
PMDGCEHL_00440	K03424
PMDGCEHL_00441	K01424
PMDGCEHL_00442	K09812
PMDGCEHL_00445	K00344
PMDGCEHL_00449	K01966
PMDGCEHL_00450	K15916
PMDGCEHL_00451	K03801
PMDGCEHL_00456	K00286
PMDGCEHL_00462	K07058
PMDGCEHL_00466	K00031
PMDGCEHL_00469	K08976
PMDGCEHL_00470	K07152
PMDGCEHL_00475	K02257
PMDGCEHL_00476	K01715
PMDGCEHL_00478	K01662
PMDGCEHL_00479	K02429
PMDGCEHL_00480	K01881
PMDGCEHL_00481	K15460
PMDGCEHL_00483	K01969
PMDGCEHL_00484	K11102
PMDGCEHL_00486	K16089
PMDGCEHL_00489	K00566
PMDGCEHL_00491	K07137
PMDGCEHL_00493	K03183
PMDGCEHL_00494	K03272
PMDGCEHL_00495	K00812
PMDGCEHL_00496	K00554
PMDGCEHL_00501	K07391
PMDGCEHL_00502	K02013
PMDGCEHL_00503	K02015
PMDGCEHL_00504	K02016
PMDGCEHL_00505	K00606
PMDGCEHL_00506	K01923
PMDGCEHL_00507	K06217
PMDGCEHL_00515	K07164
PMDGCEHL_00516	K02337
PMDGCEHL_00517	K00864
PMDGCEHL_00518	K00111
PMDGCEHL_00519	K02440
PMDGCEHL_00521	K02014
PMDGCEHL_00526	K11381
PMDGCEHL_00533	K06249
PMDGCEHL_00538	K01620
PMDGCEHL_00539	K03640
PMDGCEHL_00540	K02884
PMDGCEHL_00541	K03496
PMDGCEHL_00542	K03497
PMDGCEHL_00544	K00215
PMDGCEHL_00545	K03100
PMDGCEHL_00547	K01246
PMDGCEHL_00549	K00891
PMDGCEHL_00554	K09760
PMDGCEHL_00555	K22696
PMDGCEHL_00556	K22696
PMDGCEHL_00562	K01679
PMDGCEHL_00565	K01776
PMDGCEHL_00567	K01465
PMDGCEHL_00568	K00721
PMDGCEHL_00569	K02897
PMDGCEHL_00570	K00948
PMDGCEHL_00571	K18890
PMDGCEHL_00575	K07304
PMDGCEHL_00577	K03797
PMDGCEHL_00578	K01493
PMDGCEHL_00581	K06180
PMDGCEHL_00584	K02338
PMDGCEHL_00585	K06941
PMDGCEHL_00586	K01990
PMDGCEHL_00587	K09696
PMDGCEHL_00590	K04659
PMDGCEHL_00594	K03841
PMDGCEHL_00595	K03723
PMDGCEHL_00599	K01591
PMDGCEHL_00600	K02835
PMDGCEHL_00602	K03671
PMDGCEHL_00603	K03386
PMDGCEHL_00604	K03545
PMDGCEHL_00606	K02065
PMDGCEHL_00607	K02066
PMDGCEHL_00609	K00971
PMDGCEHL_00615	K04077
PMDGCEHL_00616	K04078
PMDGCEHL_00617	K03075
PMDGCEHL_00621	K06168
PMDGCEHL_00622	K03168
PMDGCEHL_00623	K03111
PMDGCEHL_00626	K00950
PMDGCEHL_00629	K01358
PMDGCEHL_00630	K03544
PMDGCEHL_00631	K00162
PMDGCEHL_00632	K02950
PMDGCEHL_00633	K02992
PMDGCEHL_00634	K02355
PMDGCEHL_00635	K02946
PMDGCEHL_00636	K02906
PMDGCEHL_00637	K02926
PMDGCEHL_00638	K02892
PMDGCEHL_00639	K02886
PMDGCEHL_00640	K02965
PMDGCEHL_00641	K02890
PMDGCEHL_00642	K02982
PMDGCEHL_00643	K02878
PMDGCEHL_00645	K02961
PMDGCEHL_00646	K02874
PMDGCEHL_00647	K02895
PMDGCEHL_00648	K02931
PMDGCEHL_00649	K02954
PMDGCEHL_00650	K02994
PMDGCEHL_00651	K02933
PMDGCEHL_00652	K02881
PMDGCEHL_00653	K02988
PMDGCEHL_00654	K02907
PMDGCEHL_00655	K02876
PMDGCEHL_00656	K03076
PMDGCEHL_00657	K02518
PMDGCEHL_00659	K02952
PMDGCEHL_00660	K02948
PMDGCEHL_00661	K02986
PMDGCEHL_00662	K03040
PMDGCEHL_00663	K02879
PMDGCEHL_00664	K01956
PMDGCEHL_00665	K01689
PMDGCEHL_00668	K00074
PMDGCEHL_00670	K01669
PMDGCEHL_00671	K06876
PMDGCEHL_00672	K09015
PMDGCEHL_00673	K09013
PMDGCEHL_00674	K09014
PMDGCEHL_00675	K22063
PMDGCEHL_00676	K08081
PMDGCEHL_00677	K02621
PMDGCEHL_00678	K02622
PMDGCEHL_00679	K00826
PMDGCEHL_00681	K01783
PMDGCEHL_00683	K00243
PMDGCEHL_00686	K03549
PMDGCEHL_00691	K07516
PMDGCEHL_00695	K11752
PMDGCEHL_00698	K01802
PMDGCEHL_00699	K03773
PMDGCEHL_00700	K00858
PMDGCEHL_00702	K03474
PMDGCEHL_00704	K02316
PMDGCEHL_00706	K02523
PMDGCEHL_00707	K01955
PMDGCEHL_00709	K04043
PMDGCEHL_00714	K01465
PMDGCEHL_00718	K07003
PMDGCEHL_00719	K01144
PMDGCEHL_00722	K01770
PMDGCEHL_00723	K01012
PMDGCEHL_00724	K00652
PMDGCEHL_00725	K00351
PMDGCEHL_00726	K00350
PMDGCEHL_00727	K00349
PMDGCEHL_00728	K00348
PMDGCEHL_00729	K00347
PMDGCEHL_00732	K01624
PMDGCEHL_00733	K01963
PMDGCEHL_00735	K15523
PMDGCEHL_00738	K01895
PMDGCEHL_00741	K03273
PMDGCEHL_00743	K01262
PMDGCEHL_00752	K20742
PMDGCEHL_00753	K03787
PMDGCEHL_00755	K00748
PMDGCEHL_00756	K06381
PMDGCEHL_00759	K01847
PMDGCEHL_00763	K03088
PMDGCEHL_00766	K00254
PMDGCEHL_00769	K03606
PMDGCEHL_00770	K01338
PMDGCEHL_00774	K00632
PMDGCEHL_00775	K03975
PMDGCEHL_00779	K02238
PMDGCEHL_00784	K03932
PMDGCEHL_00786	K03932
PMDGCEHL_00788	K03932
PMDGCEHL_00790	K01580
PMDGCEHL_00791	K11928
PMDGCEHL_00794	K07114
PMDGCEHL_00795	K02503
PMDGCEHL_00801	K06167
PMDGCEHL_00802	K02342
PMDGCEHL_00804	K00812
PMDGCEHL_00807	K03088
PMDGCEHL_00808	K03106
PMDGCEHL_00809	K01082
PMDGCEHL_00810	K01029
PMDGCEHL_00811	K01028
PMDGCEHL_00812	K05366
PMDGCEHL_00813	K05837
PMDGCEHL_00814	K05515
PMDGCEHL_00817	K03569
PMDGCEHL_00818	K00602
PMDGCEHL_00819	K10807
PMDGCEHL_00820	K10808
PMDGCEHL_00823	K03596
PMDGCEHL_00826	K03665
PMDGCEHL_00827	K02618
PMDGCEHL_00829	K11749
PMDGCEHL_00830	K02335
PMDGCEHL_00834	K07259
PMDGCEHL_00835	K01921
PMDGCEHL_00837	K03644
PMDGCEHL_00840	K01951
PMDGCEHL_00845	K03572
PMDGCEHL_00848	K03088
PMDGCEHL_00849	K00024
PMDGCEHL_00852	K03088
PMDGCEHL_00856	K22074
PMDGCEHL_00857	K03654
PMDGCEHL_00858	K01254
PMDGCEHL_00860	K01756
PMDGCEHL_00861	K00058
PMDGCEHL_00868	K03768
PMDGCEHL_00874	K03977
PMDGCEHL_00875	K03595
PMDGCEHL_00879	K03113
PMDGCEHL_00880	K01791
PMDGCEHL_00882	K01444
PMDGCEHL_00884	K07082
PMDGCEHL_00889	K03296
PMDGCEHL_00894	K01658
PMDGCEHL_00895	K09022
PMDGCEHL_00897	K00658
PMDGCEHL_00899	K02342
PMDGCEHL_00900	K01557
PMDGCEHL_00903	K18138
PMDGCEHL_00906	K00058
PMDGCEHL_00907	K13274
PMDGCEHL_00910	K11991
PMDGCEHL_00913	K01829
PMDGCEHL_00915	K08301
PMDGCEHL_00916	K03530
PMDGCEHL_00917	K03575
PMDGCEHL_00918	K00097
PMDGCEHL_00920	K02911
PMDGCEHL_00921	K03621
PMDGCEHL_00922	K00648
PMDGCEHL_00923	K02160
PMDGCEHL_00924	K01961
PMDGCEHL_00928	K19222
PMDGCEHL_00929	K02361
PMDGCEHL_00930	K02551
PMDGCEHL_00934	K09458
PMDGCEHL_00935	K03797
PMDGCEHL_00936	K00075
PMDGCEHL_00937	K01890
PMDGCEHL_00939	K00537
PMDGCEHL_00940	K03657
PMDGCEHL_00942	K01278
PMDGCEHL_00945	K04096
PMDGCEHL_00947	K00548
PMDGCEHL_00948	K00548
PMDGCEHL_00950	K03469
PMDGCEHL_00951	K01159
PMDGCEHL_00954	K01104
PMDGCEHL_00955	K07056
PMDGCEHL_00960	K01775
PMDGCEHL_00961	K00857
PMDGCEHL_00962	K19701
PMDGCEHL_00968	K03978
PMDGCEHL_00970	K01869
PMDGCEHL_00974	K08307
PMDGCEHL_00975	K02433
PMDGCEHL_00977	K02519
PMDGCEHL_00978	K02600
PMDGCEHL_00979	K09748
PMDGCEHL_00981	K02274
PMDGCEHL_00987	K04014
PMDGCEHL_00990	K00946
PMDGCEHL_00994	K07652
PMDGCEHL_00995	K15633
PMDGCEHL_00998	K03495
PMDGCEHL_01002	K01808
PMDGCEHL_01007	K00876
PMDGCEHL_01008	K13598
PMDGCEHL_01009	K03526
PMDGCEHL_01010	K06177
PMDGCEHL_01015	K02371
PMDGCEHL_01020	K01903
PMDGCEHL_01021	K01961
PMDGCEHL_01023	K01409
PMDGCEHL_01026	K04084
PMDGCEHL_01027	K03305
PMDGCEHL_01029	K01589
PMDGCEHL_01030	K00760
PMDGCEHL_01031	K00939
PMDGCEHL_01035	K01784
PMDGCEHL_01036	K00600
PMDGCEHL_01038	K02939
PMDGCEHL_01039	K02963
PMDGCEHL_01040	K02990
PMDGCEHL_01041	K01278
PMDGCEHL_01046	K01783
PMDGCEHL_01047	K03856
PMDGCEHL_01048	K03270
PMDGCEHL_01049	K14157
PMDGCEHL_01050	K06902
PMDGCEHL_01055	K01491
PMDGCEHL_01057	K00754
PMDGCEHL_01058	K07588
PMDGCEHL_01062	K01251
PMDGCEHL_01063	K01772
PMDGCEHL_01065	K07090
PMDGCEHL_01066	K01436
PMDGCEHL_01069	K00796
PMDGCEHL_01072	K05396
PMDGCEHL_01075	K01915
PMDGCEHL_01076	K18665
PMDGCEHL_01079	K01872
PMDGCEHL_01082	K04075
PMDGCEHL_01083	K01657
PMDGCEHL_01086	K09705
PMDGCEHL_01097	K02014
PMDGCEHL_01104	K07052
PMDGCEHL_01105	K03686
PMDGCEHL_01106	K03687
PMDGCEHL_01108	K03696
PMDGCEHL_01109	K02469
PMDGCEHL_01113	K01524
PMDGCEHL_01114	K11141
PMDGCEHL_01119	K15537
PMDGCEHL_01122	K01749
PMDGCEHL_01123	K02492
PMDGCEHL_01124	K20866
PMDGCEHL_01127	K02483
PMDGCEHL_01129	K14742
PMDGCEHL_01132	K18682
PMDGCEHL_01133	K04516
PMDGCEHL_01134	K00800
PMDGCEHL_01136	K01173
PMDGCEHL_01141	K03527
PMDGCEHL_01143	K01990
PMDGCEHL_01146	K00059
PMDGCEHL_01147	K01698
PMDGCEHL_01148	K01745
PMDGCEHL_01150	K00104
PMDGCEHL_01151	K00626
PMDGCEHL_01155	K00318
PMDGCEHL_01156	K01735
PMDGCEHL_01161	K00281
PMDGCEHL_01162	K01463
PMDGCEHL_01163	K11537
PMDGCEHL_01164	K08999
PMDGCEHL_01165	K03522
PMDGCEHL_01166	K03521
PMDGCEHL_01167	K02548
PMDGCEHL_01174	K05523
PMDGCEHL_01176	K06147
PMDGCEHL_01180	K11753
PMDGCEHL_01189	K03654
PMDGCEHL_01190	K03702
PMDGCEHL_01192	K00208
PMDGCEHL_01196	K11927
PMDGCEHL_01197	K06180
PMDGCEHL_01199	K01918
PMDGCEHL_01200	K00703
PMDGCEHL_01202	K00820
PMDGCEHL_01208	K04762
PMDGCEHL_01210	K01897
PMDGCEHL_01227	K01069
PMDGCEHL_01231	K11381
PMDGCEHL_01235	K13444
PMDGCEHL_01242	K17734
PMDGCEHL_01245	K03392
PMDGCEHL_01246	K09797
PMDGCEHL_01248	K19302
PMDGCEHL_01249	K03979
PMDGCEHL_01250	K06147
PMDGCEHL_01251	K02834
PMDGCEHL_01253	K02112
PMDGCEHL_01255	K00806
PMDGCEHL_01256	K07277
PMDGCEHL_01259	K06911
PMDGCEHL_01261	K14267
PMDGCEHL_01266	K00573
PMDGCEHL_01267	K02481
PMDGCEHL_01268	K06195
PMDGCEHL_01269	K03501
PMDGCEHL_01270	K03088
PMDGCEHL_01272	K00773
PMDGCEHL_01273	K11720
PMDGCEHL_01275	K03324
PMDGCEHL_01278	K01625
PMDGCEHL_01282	K01588
PMDGCEHL_01284	K11418
PMDGCEHL_01287	K06940
PMDGCEHL_01294	K01673
PMDGCEHL_01295	K01673
PMDGCEHL_01297	K00639
PMDGCEHL_01301	K08591
PMDGCEHL_01302	K02356
PMDGCEHL_01303	K00605
PMDGCEHL_01307	K00262
PMDGCEHL_01310	K00757
PMDGCEHL_01312	K00790
PMDGCEHL_01314	K23269
PMDGCEHL_01315	K00382
PMDGCEHL_01318	K01265
PMDGCEHL_01322	K01847
PMDGCEHL_01323	K01661
PMDGCEHL_01324	K12373
PMDGCEHL_01325	K01697
PMDGCEHL_01331	K20742
PMDGCEHL_01334	K07305
PMDGCEHL_01335	K07304
PMDGCEHL_01336	K22071
PMDGCEHL_01339	K07315
PMDGCEHL_01343	K17103
PMDGCEHL_01348	K02871
PMDGCEHL_01349	K02996
PMDGCEHL_01350	K02967
PMDGCEHL_01351	K02357
PMDGCEHL_01352	K09903
PMDGCEHL_01353	K02838
PMDGCEHL_01354	K00457
PMDGCEHL_01356	K15789
PMDGCEHL_01357	K03088
PMDGCEHL_01360	K01876
PMDGCEHL_01365	K03439
PMDGCEHL_01366	K02435
PMDGCEHL_01368	K01867
PMDGCEHL_01371	K06207
PMDGCEHL_01372	K05592
PMDGCEHL_01374	K08602
PMDGCEHL_01378	K02217
PMDGCEHL_01380	K05606
PMDGCEHL_01382	K08973
PMDGCEHL_01383	K04066
PMDGCEHL_01384	K03086
PMDGCEHL_01387	K07114
PMDGCEHL_01388	K07114
PMDGCEHL_01391	K03924
PMDGCEHL_01396	K11618
PMDGCEHL_01397	K07566
PMDGCEHL_01398	K02909
PMDGCEHL_01399	K02536
PMDGCEHL_01401	K03625
PMDGCEHL_01402	K00263
PMDGCEHL_01404	K02108
PMDGCEHL_01406	K02109
PMDGCEHL_01407	K02113
PMDGCEHL_01408	K02111
PMDGCEHL_01409	K02115
PMDGCEHL_01412	K11527
PMDGCEHL_01414	K01113
PMDGCEHL_01417	K00384
PMDGCEHL_01419	K02517
PMDGCEHL_01420	K07478
PMDGCEHL_01421	K00721
PMDGCEHL_01424	K05979
PMDGCEHL_01428	K03624
PMDGCEHL_01429	K02503
PMDGCEHL_01432	K00059
PMDGCEHL_01433	K02613
PMDGCEHL_01434	K02613
PMDGCEHL_01435	K02609
PMDGCEHL_01436	K02610
PMDGCEHL_01438	K02536
PMDGCEHL_01439	K19430
PMDGCEHL_01442	K00486
PMDGCEHL_01445	K00297
PMDGCEHL_01446	K00821
PMDGCEHL_01448	K03750
PMDGCEHL_01451	K03752
PMDGCEHL_01453	K11996
PMDGCEHL_01468	K00133
PMDGCEHL_01472	K11072
PMDGCEHL_01475	K01448
PMDGCEHL_01476	K02067
PMDGCEHL_01481	K00128
PMDGCEHL_01482	K00128
PMDGCEHL_01483	K01619
PMDGCEHL_01485	K04485
PMDGCEHL_01486	K07056
PMDGCEHL_01488	K02341
PMDGCEHL_01498	K12343
PMDGCEHL_01500	K08968
PMDGCEHL_01502	K00604
PMDGCEHL_01505	K14445
PMDGCEHL_01507	K01613
PMDGCEHL_01508	K00981
PMDGCEHL_01510	K03798
PMDGCEHL_01511	K09710
PMDGCEHL_01512	K03524
PMDGCEHL_01514	K00762
PMDGCEHL_01516	K01873
PMDGCEHL_01518	K00432
PMDGCEHL_01519	K02470
PMDGCEHL_01520	K01173
PMDGCEHL_01521	K03832
PMDGCEHL_01524	K01778
PMDGCEHL_01525	K00167
PMDGCEHL_01526	K04773
PMDGCEHL_01529	K10716
PMDGCEHL_01535	K01933
PMDGCEHL_01536	K01963
PMDGCEHL_01537	K01624
PMDGCEHL_01541	K01938
PMDGCEHL_01542	K02379
PMDGCEHL_01548	K01990
PMDGCEHL_01552	K21572
PMDGCEHL_01556	K03405
PMDGCEHL_01564	K04564
PMDGCEHL_01577	K02836
PMDGCEHL_01578	K04567
PMDGCEHL_01579	K01673
PMDGCEHL_01580	K02527
PMDGCEHL_01582	K00764
PMDGCEHL_01585	K07658
PMDGCEHL_01588	K00164
PMDGCEHL_01589	K00658
PMDGCEHL_01590	K00029
PMDGCEHL_01591	K03550
PMDGCEHL_01593	K00657
PMDGCEHL_01598	K03654
PMDGCEHL_01599	K00826
PMDGCEHL_01601	K11754
PMDGCEHL_01602	K02825
PMDGCEHL_01603	K00609
PMDGCEHL_01605	K00784
PMDGCEHL_01610	K00382
PMDGCEHL_01611	K00014
PMDGCEHL_01612	K06949
PMDGCEHL_01613	K07560
PMDGCEHL_01614	K00128
PMDGCEHL_01615	K03704
PMDGCEHL_01618	K06861
PMDGCEHL_01620	K03118
PMDGCEHL_01625	K01889
PMDGCEHL_01627	K22757
PMDGCEHL_01632	K06180
PMDGCEHL_01635	K00067
PMDGCEHL_01636	K03310
PMDGCEHL_01638	K00759
PMDGCEHL_01639	K00248
PMDGCEHL_01641	K03733
PMDGCEHL_01645	K06193
PMDGCEHL_01649	K06885
PMDGCEHL_01651	K00088
PMDGCEHL_01652	K07533
PMDGCEHL_01653	K03771
PMDGCEHL_01654	K03924
PMDGCEHL_01655	K02428
PMDGCEHL_01659	K01142
PMDGCEHL_01664	K03772
PMDGCEHL_01665	K03773
PMDGCEHL_01666	K01489
PMDGCEHL_01668	K00275
PMDGCEHL_01670	K06997
PMDGCEHL_01673	K07397
PMDGCEHL_01674	K03110
PMDGCEHL_01676	K02913
PMDGCEHL_01677	K02902
PMDGCEHL_01678	K04763
PMDGCEHL_01679	K03786
PMDGCEHL_01681	K07238
PMDGCEHL_01687	K00954
PMDGCEHL_01693	K09001
PMDGCEHL_01694	K00248
PMDGCEHL_01695	K03564
PMDGCEHL_01696	K01669
PMDGCEHL_01697	K01737
PMDGCEHL_01698	K01823
PMDGCEHL_01703	K03555
PMDGCEHL_01705	K00053
PMDGCEHL_01706	K01754
PMDGCEHL_01710	K01840
PMDGCEHL_01711	K00794
PMDGCEHL_01716	K00991
PMDGCEHL_01717	K01297
PMDGCEHL_01719	K00239
PMDGCEHL_01720	K00240
PMDGCEHL_01723	K03685
PMDGCEHL_01724	K09458
PMDGCEHL_01725	K02078
PMDGCEHL_01726	K11175
PMDGCEHL_01727	K01556
PMDGCEHL_01728	K01845
PMDGCEHL_01730	K15891
PMDGCEHL_01734	K09811
PMDGCEHL_01736	K06153
PMDGCEHL_01737	K00161
PMDGCEHL_01740	K17989
PMDGCEHL_01741	K01953
PMDGCEHL_01743	K07305
PMDGCEHL_01750	K00428
PMDGCEHL_01753	K15866
PMDGCEHL_01754	K00074
PMDGCEHL_01755	K00789
PMDGCEHL_01757	K06173
PMDGCEHL_01758	K00645
PMDGCEHL_01763	K14709
PMDGCEHL_01765	K00859
PMDGCEHL_01767	K07750
PMDGCEHL_01769	K00294
PMDGCEHL_01772	K03629
PMDGCEHL_01775	K01424
PMDGCEHL_01776	K13282
PMDGCEHL_01778	K01520
PMDGCEHL_01779	K00973
PMDGCEHL_01792	K07010
PMDGCEHL_01793	K06187
PMDGCEHL_01794	K03664
PMDGCEHL_01797	K01681
PMDGCEHL_01811	K14157
PMDGCEHL_01813	K07636
PMDGCEHL_01817	K07642
PMDGCEHL_01819	K00134
PMDGCEHL_01820	K03086
PMDGCEHL_01822	K07071
PMDGCEHL_01823	K07175
PMDGCEHL_01824	K06969
PMDGCEHL_01826	K09022
PMDGCEHL_01830	K05349
PMDGCEHL_01832	K02527
PMDGCEHL_01835	K00012
PMDGCEHL_01836	K08678
PMDGCEHL_01838	K18652
PMDGCEHL_01842	K00499
PMDGCEHL_01843	K00626
PMDGCEHL_01845	K01069
PMDGCEHL_01852	K10716
PMDGCEHL_01854	K16066
PMDGCEHL_01862	K16052
PMDGCEHL_01864	K08994
PMDGCEHL_01868	K03111
PMDGCEHL_01869	K04763
PMDGCEHL_01871	K22390
PMDGCEHL_01873	K06867
PMDGCEHL_01877	K13010
PMDGCEHL_01879	K01673
PMDGCEHL_01882	K03218
PMDGCEHL_01883	K08723
PMDGCEHL_01885	K00761
PMDGCEHL_01887	K03773
PMDGCEHL_01889	K04564
PMDGCEHL_01890	K06213
PMDGCEHL_01892	K03561
PMDGCEHL_01895	K06970
PMDGCEHL_01898	K03070
PMDGCEHL_01900	K03270
PMDGCEHL_01901	K00819
PMDGCEHL_01908	K01354
PMDGCEHL_01911	K23234
PMDGCEHL_01918	K15738
PMDGCEHL_01921	K03321
PMDGCEHL_01923	K01990
PMDGCEHL_01925	K01736
PMDGCEHL_01934	K01710
PMDGCEHL_01940	K10027
PMDGCEHL_01941	K03530
PMDGCEHL_01942	K11166
PMDGCEHL_01943	K03271
PMDGCEHL_01944	K03315
PMDGCEHL_01945	K03701
PMDGCEHL_01946	K00945
PMDGCEHL_01951	K08997
PMDGCEHL_01952	K06991
PMDGCEHL_01954	K00684
PMDGCEHL_01956	K00496
PMDGCEHL_01961	K01069
PMDGCEHL_01963	K00626
PMDGCEHL_01967	K05592
PMDGCEHL_01976	K12343
PMDGCEHL_01981	K18691
PMDGCEHL_01982	K00791
