GBJFBJOC_00002	K01265
GBJFBJOC_00160	K02234
GBJFBJOC_00161	K03469
GBJFBJOC_00162	K00163
GBJFBJOC_00164	K02377
GBJFBJOC_00167	K01069
GBJFBJOC_00168	K09013
GBJFBJOC_00169	K11717
GBJFBJOC_00170	K04488
GBJFBJOC_00178	K01848
GBJFBJOC_00179	K01849
GBJFBJOC_00180	K07588
GBJFBJOC_00181	K03827
GBJFBJOC_00182	K14541
GBJFBJOC_00183	K01966
GBJFBJOC_00184	K01008
GBJFBJOC_00186	K00906
GBJFBJOC_00187	K01783
GBJFBJOC_00188	K01358
GBJFBJOC_00191	K02428
GBJFBJOC_00192	K00989
GBJFBJOC_00193	K01738
GBJFBJOC_00195	K03664
GBJFBJOC_00198	K00151
GBJFBJOC_00201	K15981
GBJFBJOC_00205	K13866
GBJFBJOC_00208	K13953
GBJFBJOC_00209	K01915
GBJFBJOC_00210	K20497
GBJFBJOC_00213	K20497
GBJFBJOC_00214	K18703
GBJFBJOC_00215	K00248
GBJFBJOC_00217	K01915
GBJFBJOC_00220	K18966
GBJFBJOC_00223	K06131
GBJFBJOC_00224	K09760
GBJFBJOC_00225	K18907
GBJFBJOC_00226	K01431
GBJFBJOC_00227	K00827
GBJFBJOC_00228	K01464
GBJFBJOC_00229	K00140
GBJFBJOC_00231	K02050
GBJFBJOC_00232	K02049
GBJFBJOC_00235	K07149
GBJFBJOC_00236	K07001
GBJFBJOC_00237	K15468
GBJFBJOC_00239	K00288
GBJFBJOC_00242	K00548
GBJFBJOC_00245	K00548
GBJFBJOC_00248	K00059
GBJFBJOC_00249	K00315
GBJFBJOC_00250	K03521
GBJFBJOC_00251	K03522
GBJFBJOC_00252	K03342
GBJFBJOC_00254	K00058
GBJFBJOC_00256	K13247
GBJFBJOC_00257	K00471
GBJFBJOC_00258	K00123
GBJFBJOC_00259	K22015
GBJFBJOC_00260	K00335
GBJFBJOC_00261	K00336
GBJFBJOC_00262	K01997
GBJFBJOC_00263	K01998
GBJFBJOC_00264	K01995
GBJFBJOC_00265	K01996
GBJFBJOC_00266	K00059
GBJFBJOC_00267	K02002
GBJFBJOC_00268	K02000
GBJFBJOC_00269	K02001
GBJFBJOC_00270	K01715
GBJFBJOC_00274	K00020
GBJFBJOC_00278	K00324
GBJFBJOC_00284	K00831
GBJFBJOC_00289	K00571
GBJFBJOC_00290	K22757
GBJFBJOC_00292	K00249
GBJFBJOC_00295	K14155
GBJFBJOC_00296	K00382
GBJFBJOC_00297	K00627
GBJFBJOC_00298	K00162
GBJFBJOC_00299	K00161
GBJFBJOC_00303	K22316
GBJFBJOC_00306	K00372
GBJFBJOC_00307	K00337
GBJFBJOC_00308	K00338
GBJFBJOC_00309	K00339
GBJFBJOC_00310	K00340
GBJFBJOC_00311	K00341
GBJFBJOC_00312	K00342
GBJFBJOC_00313	K00343
GBJFBJOC_00314	K00330
GBJFBJOC_00315	K00331
GBJFBJOC_00316	K00332
GBJFBJOC_00317	K00333
GBJFBJOC_00318	K00337
GBJFBJOC_00319	K00338
GBJFBJOC_00320	K00339
GBJFBJOC_00321	K00340
GBJFBJOC_00322	K00341
GBJFBJOC_00323	K00342
GBJFBJOC_00324	K00343
GBJFBJOC_00326	K01895
GBJFBJOC_00328	K03799
GBJFBJOC_00329	K09767
GBJFBJOC_00331	K03823
GBJFBJOC_00336	K02601
GBJFBJOC_00337	K02867
GBJFBJOC_00338	K02863
GBJFBJOC_00339	K02864
GBJFBJOC_00340	K02935
GBJFBJOC_00341	K03043
GBJFBJOC_00342	K03046
GBJFBJOC_00343	K02950
GBJFBJOC_00344	K02992
GBJFBJOC_00345	K02355
GBJFBJOC_00346	K02358
GBJFBJOC_00347	K02946
GBJFBJOC_00348	K20469
GBJFBJOC_00349	K02906
GBJFBJOC_00350	K02926
GBJFBJOC_00351	K02892
GBJFBJOC_00352	K02886
GBJFBJOC_00353	K02965
GBJFBJOC_00354	K02890
GBJFBJOC_00355	K02982
GBJFBJOC_00356	K02878
GBJFBJOC_00357	K02904
GBJFBJOC_00358	K02961
GBJFBJOC_00359	K02874
GBJFBJOC_00360	K02895
GBJFBJOC_00361	K02931
GBJFBJOC_00362	K02954
GBJFBJOC_00363	K02994
GBJFBJOC_00364	K02933
GBJFBJOC_00365	K02881
GBJFBJOC_00366	K02988
GBJFBJOC_00368	K02876
GBJFBJOC_00369	K03076
GBJFBJOC_00370	K00939
GBJFBJOC_00371	K02518
GBJFBJOC_00372	K02952
GBJFBJOC_00373	K02948
GBJFBJOC_00374	K02986
GBJFBJOC_00375	K03040
GBJFBJOC_00376	K02879
GBJFBJOC_00377	K06173
GBJFBJOC_00378	K02871
GBJFBJOC_00379	K02996
GBJFBJOC_00380	K03431
GBJFBJOC_00381	K00820
GBJFBJOC_00383	K17758
GBJFBJOC_00384	K01775
GBJFBJOC_00387	K16648
GBJFBJOC_00390	K21929
GBJFBJOC_00391	K06925
GBJFBJOC_00392	K14742
GBJFBJOC_00393	K03789
GBJFBJOC_00394	K01409
GBJFBJOC_00395	K04078
GBJFBJOC_00396	K04077
GBJFBJOC_00399	K01593
GBJFBJOC_00400	K00088
GBJFBJOC_00401	K01951
GBJFBJOC_00404	K03657
GBJFBJOC_00408	K04075
GBJFBJOC_00409	K00760
GBJFBJOC_00410	K01495
GBJFBJOC_00411	K00796
GBJFBJOC_00413	K01633
GBJFBJOC_00414	K00950
GBJFBJOC_00415	K01918
GBJFBJOC_00416	K00278
GBJFBJOC_00417	K00767
GBJFBJOC_00418	K03525
GBJFBJOC_00419	K04567
GBJFBJOC_00420	K02523
GBJFBJOC_00421	K03696
GBJFBJOC_00423	K04485
GBJFBJOC_00425	K10914
GBJFBJOC_00426	K00991
GBJFBJOC_00427	K01770
GBJFBJOC_00433	K00865
GBJFBJOC_00434	K03636
GBJFBJOC_00435	K04077
GBJFBJOC_00436	K02379
GBJFBJOC_00437	K00435
GBJFBJOC_00438	K06864
GBJFBJOC_00439	K00990
GBJFBJOC_00449	K07560
GBJFBJOC_00450	K00568
GBJFBJOC_00451	K03820
GBJFBJOC_00453	K00231
GBJFBJOC_00454	K01599
GBJFBJOC_00456	K03657
GBJFBJOC_00457	K02004
GBJFBJOC_00458	K02003
GBJFBJOC_00461	K03768
GBJFBJOC_00462	K00074
GBJFBJOC_00465	K07025
GBJFBJOC_00468	K22820
GBJFBJOC_00469	K01883
GBJFBJOC_00470	K01883
GBJFBJOC_00475	K17474
GBJFBJOC_00477	K00111
GBJFBJOC_00480	K00970
GBJFBJOC_00481	K05349
GBJFBJOC_00482	K02064
GBJFBJOC_00483	K02063
GBJFBJOC_00484	K11072
GBJFBJOC_00485	K00666
GBJFBJOC_00486	K03929
GBJFBJOC_00487	K00626
GBJFBJOC_00488	K06147
GBJFBJOC_00489	K02687
GBJFBJOC_00491	K01897
GBJFBJOC_00493	K01126
GBJFBJOC_00495	K07444
GBJFBJOC_00497	K14733
GBJFBJOC_00502	K00655
GBJFBJOC_00503	K22314
GBJFBJOC_00505	K05786
GBJFBJOC_00508	K03787
GBJFBJOC_00510	K00648
GBJFBJOC_00511	K01082
GBJFBJOC_00512	K02016
GBJFBJOC_00513	K02015
GBJFBJOC_00514	K02013
GBJFBJOC_00518	K04014
GBJFBJOC_00520	K00249
GBJFBJOC_00523	K18703
GBJFBJOC_00524	K13821
GBJFBJOC_00528	K16329
GBJFBJOC_00529	K22696
GBJFBJOC_00530	K22696
GBJFBJOC_00531	K01652
GBJFBJOC_00533	K07010
GBJFBJOC_00534	K00850
GBJFBJOC_00535	K01915
GBJFBJOC_00536	K00048
GBJFBJOC_00539	K01652
GBJFBJOC_00540	K01438
GBJFBJOC_00543	K23536
GBJFBJOC_00553	K18455
GBJFBJOC_00556	K01174
GBJFBJOC_00562	K21401
GBJFBJOC_00564	K07503
GBJFBJOC_00565	K01082
GBJFBJOC_00566	K00957
GBJFBJOC_00567	K00955
GBJFBJOC_00568	K00860
GBJFBJOC_00570	K06020
GBJFBJOC_00571	K11729
GBJFBJOC_00572	K01142
GBJFBJOC_00574	K03657
GBJFBJOC_00577	K01796
GBJFBJOC_00580	K01596
GBJFBJOC_00582	K07030
GBJFBJOC_00583	K03655
GBJFBJOC_00586	K08316
GBJFBJOC_00587	K00954
GBJFBJOC_00590	K03621
GBJFBJOC_00592	K03685
GBJFBJOC_00593	K10563
GBJFBJOC_00594	K03529
GBJFBJOC_00595	K02483
GBJFBJOC_00596	K02484
GBJFBJOC_00597	K04771
GBJFBJOC_00598	K03110
GBJFBJOC_00599	K03106
GBJFBJOC_00601	K13288
GBJFBJOC_00602	K01520
GBJFBJOC_00606	K01207
GBJFBJOC_00608	K01580
GBJFBJOC_00614	K07552
GBJFBJOC_00616	K03744
GBJFBJOC_00620	K03298
GBJFBJOC_00623	K00314
GBJFBJOC_00625	K02433
GBJFBJOC_00629	K03321
GBJFBJOC_00630	K08726
GBJFBJOC_00635	K00626
GBJFBJOC_00636	K08683
GBJFBJOC_00637	K01692
GBJFBJOC_00639	K00128
GBJFBJOC_00643	K00101
GBJFBJOC_00645	K00852
GBJFBJOC_00646	K10215
GBJFBJOC_00647	K01758
GBJFBJOC_00648	K02433
GBJFBJOC_00655	K23536
GBJFBJOC_00656	K23535
GBJFBJOC_00657	K23537
GBJFBJOC_00658	K07335
GBJFBJOC_00660	K01487
GBJFBJOC_00661	K00320
GBJFBJOC_00663	K00087
GBJFBJOC_00664	K13566
GBJFBJOC_00665	K02083
GBJFBJOC_00666	K18020
GBJFBJOC_00667	K03518
GBJFBJOC_00668	K13481
GBJFBJOC_00670	K01426
GBJFBJOC_00679	K03470
GBJFBJOC_00681	K00057
GBJFBJOC_00684	K01990
GBJFBJOC_00687	K13355
GBJFBJOC_00688	K03321
GBJFBJOC_00689	K01130
GBJFBJOC_00698	K07304
GBJFBJOC_00699	K01897
GBJFBJOC_00702	K01808
GBJFBJOC_00703	K07566
GBJFBJOC_00704	K02493
GBJFBJOC_00705	K02835
GBJFBJOC_00707	K02909
GBJFBJOC_00708	K03628
GBJFBJOC_00710	K03892
GBJFBJOC_00712	K15635
GBJFBJOC_00713	K01733
GBJFBJOC_00714	K00003
GBJFBJOC_00715	K01586
GBJFBJOC_00716	K01887
GBJFBJOC_00721	K02041
GBJFBJOC_00722	K02042
GBJFBJOC_00723	K02042
GBJFBJOC_00726	K09014
GBJFBJOC_00727	K09013
GBJFBJOC_00728	K09015
GBJFBJOC_00730	K03593
GBJFBJOC_00731	K20497
GBJFBJOC_00733	K01673
GBJFBJOC_00734	K01799
GBJFBJOC_00736	K01262
GBJFBJOC_00737	K09022
GBJFBJOC_00738	K11717
GBJFBJOC_00739	K09516
GBJFBJOC_00740	K14155
GBJFBJOC_00741	K03892
GBJFBJOC_00743	K12339
GBJFBJOC_00745	K03215
GBJFBJOC_00748	K01130
GBJFBJOC_00749	K01563
GBJFBJOC_00757	K13787
GBJFBJOC_00758	K13566
GBJFBJOC_00759	K14267
GBJFBJOC_00760	K03520
GBJFBJOC_00764	K03798
GBJFBJOC_00768	K00729
GBJFBJOC_00769	K01840
GBJFBJOC_00771	K01809
GBJFBJOC_00772	K01251
GBJFBJOC_00773	K00876
GBJFBJOC_00776	K22187
GBJFBJOC_00777	K17884
GBJFBJOC_00778	K22311
GBJFBJOC_00779	K08256
GBJFBJOC_00782	K06215
GBJFBJOC_00783	K08681
GBJFBJOC_00785	K01159
GBJFBJOC_00786	K03550
GBJFBJOC_00787	K03551
GBJFBJOC_00788	K07568
GBJFBJOC_00789	K00773
GBJFBJOC_00791	K12257
GBJFBJOC_00792	K03074
GBJFBJOC_00793	K00951
GBJFBJOC_00794	K01892
GBJFBJOC_00795	K01876
GBJFBJOC_00796	K07478
GBJFBJOC_00798	K01872
GBJFBJOC_00799	K07447
GBJFBJOC_00800	K07082
GBJFBJOC_00801	K00014
GBJFBJOC_00803	K00891
GBJFBJOC_00804	K01735
GBJFBJOC_00805	K03786
GBJFBJOC_00806	K01262
GBJFBJOC_00807	K02356
GBJFBJOC_00808	K03625
GBJFBJOC_00809	K02825
GBJFBJOC_00810	K00609
GBJFBJOC_00811	K01465
GBJFBJOC_00812	K01956
GBJFBJOC_00813	K01955
GBJFBJOC_00814	K17828
GBJFBJOC_00815	K01591
GBJFBJOC_00817	K00942
GBJFBJOC_00818	K03060
GBJFBJOC_00819	K13038
GBJFBJOC_00820	K00789
GBJFBJOC_00821	K04066
GBJFBJOC_00822	K03437
GBJFBJOC_00823	K00564
GBJFBJOC_00824	K01462
GBJFBJOC_00825	K00604
GBJFBJOC_00826	K03500
GBJFBJOC_00828	K15376
GBJFBJOC_00829	K11752
GBJFBJOC_00830	K00765
GBJFBJOC_00833	K02520
GBJFBJOC_00835	K02887
GBJFBJOC_00836	K03437
GBJFBJOC_00837	K01889
GBJFBJOC_00838	K01890
GBJFBJOC_00839	K00145
GBJFBJOC_00840	K00620
GBJFBJOC_00841	K00930
GBJFBJOC_00842	K00821
GBJFBJOC_00843	K00611
GBJFBJOC_00844	K03402
GBJFBJOC_00845	K01940
GBJFBJOC_00846	K01755
GBJFBJOC_00849	K05366
GBJFBJOC_00850	K01866
GBJFBJOC_00851	K12960
GBJFBJOC_00853	K00059
GBJFBJOC_00854	K08963
GBJFBJOC_00855	K23537
GBJFBJOC_00856	K23536
GBJFBJOC_00857	K23535
GBJFBJOC_00858	K07335
GBJFBJOC_00859	K06960
GBJFBJOC_00860	K02860
GBJFBJOC_00861	K00554
GBJFBJOC_00862	K02884
GBJFBJOC_00863	K07460
GBJFBJOC_00866	K07391
GBJFBJOC_00867	K04096
GBJFBJOC_00869	K02967
GBJFBJOC_00870	K02357
GBJFBJOC_00871	K09903
GBJFBJOC_00872	K02838
GBJFBJOC_00873	K00981
GBJFBJOC_00874	K00099
GBJFBJOC_00875	K11749
GBJFBJOC_00876	K03526
GBJFBJOC_00877	K09748
GBJFBJOC_00878	K02600
GBJFBJOC_00879	K02519
GBJFBJOC_00881	K03177
GBJFBJOC_00882	K11753
GBJFBJOC_00884	K01630
GBJFBJOC_00885	K00793
GBJFBJOC_00886	K14652
GBJFBJOC_00887	K00794
GBJFBJOC_00888	K02956
GBJFBJOC_00889	K00962
GBJFBJOC_00891	K00215
GBJFBJOC_00894	K01714
GBJFBJOC_00895	K12574
GBJFBJOC_00896	K03466
GBJFBJOC_00897	K07301
GBJFBJOC_00898	K14441
GBJFBJOC_00899	K00995
GBJFBJOC_00900	K03742
GBJFBJOC_00901	K07305
GBJFBJOC_00902	K03553
GBJFBJOC_00903	K06168
GBJFBJOC_00904	K00791
GBJFBJOC_00905	K01778
GBJFBJOC_00906	K03665
GBJFBJOC_00908	K00674
GBJFBJOC_00909	K01439
GBJFBJOC_00910	K01356
GBJFBJOC_00913	K00082
GBJFBJOC_00915	K01875
GBJFBJOC_00918	K02828
GBJFBJOC_00919	K02274
GBJFBJOC_00920	K02275
GBJFBJOC_00921	K03750
GBJFBJOC_00922	K08591
GBJFBJOC_00925	K06153
GBJFBJOC_00926	K03592
GBJFBJOC_00927	K03568
GBJFBJOC_00930	K01662
GBJFBJOC_00932	K01692
GBJFBJOC_00933	K01772
GBJFBJOC_00934	K02469
GBJFBJOC_00935	K02470
GBJFBJOC_00938	K03496
GBJFBJOC_00940	K01265
GBJFBJOC_00941	K00133
GBJFBJOC_00946	K12376
GBJFBJOC_00950	K18955
GBJFBJOC_00951	K02358
GBJFBJOC_00952	K01042
GBJFBJOC_00953	K07113
GBJFBJOC_00955	K13628
GBJFBJOC_00957	K00106
GBJFBJOC_00958	K09022
GBJFBJOC_00961	K01915
GBJFBJOC_00962	K01915
GBJFBJOC_00964	K01950
GBJFBJOC_00966	K03086
GBJFBJOC_00970	K02283
GBJFBJOC_00976	K03313
GBJFBJOC_00977	K03168
GBJFBJOC_00978	K07785
GBJFBJOC_00979	K00943
GBJFBJOC_00980	K02343
GBJFBJOC_00981	K01872
GBJFBJOC_00983	K01903
GBJFBJOC_00984	K01902
GBJFBJOC_00985	K11175
GBJFBJOC_00986	K00602
GBJFBJOC_00987	K01491
GBJFBJOC_00988	K00031
GBJFBJOC_00989	K06147
GBJFBJOC_00990	K06147
GBJFBJOC_00992	K00024
GBJFBJOC_00994	K08974
GBJFBJOC_00996	K00240
GBJFBJOC_00997	K00239
GBJFBJOC_00998	K00261
GBJFBJOC_01000	K01796
GBJFBJOC_01003	K00626
GBJFBJOC_01004	K00053
GBJFBJOC_01005	K01653
GBJFBJOC_01006	K01652
GBJFBJOC_01009	K01687
GBJFBJOC_01011	K02434
GBJFBJOC_01012	K02433
GBJFBJOC_01013	K02435
GBJFBJOC_01014	K12132
GBJFBJOC_01016	K01972
GBJFBJOC_01018	K00566
GBJFBJOC_01019	K04487
GBJFBJOC_01025	K19225
GBJFBJOC_01026	K07511
GBJFBJOC_01029	K00790
GBJFBJOC_01034	K02446
GBJFBJOC_01035	K02114
GBJFBJOC_01036	K02112
GBJFBJOC_01037	K02115
GBJFBJOC_01038	K02111
GBJFBJOC_01039	K02113
GBJFBJOC_01040	K02109
GBJFBJOC_01042	K02108
GBJFBJOC_01045	K02851
GBJFBJOC_01046	K00600
GBJFBJOC_01048	K01858
GBJFBJOC_01051	K16898
GBJFBJOC_01052	K01644
GBJFBJOC_01054	K01870
GBJFBJOC_01055	K10807
GBJFBJOC_01056	K10808
GBJFBJOC_01057	K07588
GBJFBJOC_01058	K01847
GBJFBJOC_01059	K01847
GBJFBJOC_01061	K00059
GBJFBJOC_01063	K08680
GBJFBJOC_01064	K13444
GBJFBJOC_01066	K06287
GBJFBJOC_01067	K02069
GBJFBJOC_01068	K03499
GBJFBJOC_01069	K01934
GBJFBJOC_01070	K15987
GBJFBJOC_01072	K01661
GBJFBJOC_01073	K02013
GBJFBJOC_01075	K00761
GBJFBJOC_01083	K12952
GBJFBJOC_01084	K01885
GBJFBJOC_01085	K20201
GBJFBJOC_01086	K01066
GBJFBJOC_01096	K01092
GBJFBJOC_01103	K02469
GBJFBJOC_01104	K02470
GBJFBJOC_01106	K03629
GBJFBJOC_01107	K02338
GBJFBJOC_01108	K02313
GBJFBJOC_01109	K02914
GBJFBJOC_01111	K03217
GBJFBJOC_01114	K03496
GBJFBJOC_01115	K03497
GBJFBJOC_01117	K03671
GBJFBJOC_01118	K00384
GBJFBJOC_01121	K03088
GBJFBJOC_01126	K11407
GBJFBJOC_01127	K00970
GBJFBJOC_01132	K01634
GBJFBJOC_01142	K03075
GBJFBJOC_01143	K01803
GBJFBJOC_01144	K00927
GBJFBJOC_01145	K00134
GBJFBJOC_01146	K06958
GBJFBJOC_01149	K03703
GBJFBJOC_01150	K03517
GBJFBJOC_01151	K03701
GBJFBJOC_01152	K03702
GBJFBJOC_01153	K00859
GBJFBJOC_01154	K02945
GBJFBJOC_01156	K02335
GBJFBJOC_01157	K22010
GBJFBJOC_01160	K00645
GBJFBJOC_01161	K00059
GBJFBJOC_01162	K02078
GBJFBJOC_01163	K09458
GBJFBJOC_01164	K02372
GBJFBJOC_01165	K03530
GBJFBJOC_01166	K06886
GBJFBJOC_01167	K01695
GBJFBJOC_01168	K01696
GBJFBJOC_01169	K01817
GBJFBJOC_01170	K01609
GBJFBJOC_01171	K07658
GBJFBJOC_01172	K07642
GBJFBJOC_01173	K01657
GBJFBJOC_01174	K11755
GBJFBJOC_01176	K02500
GBJFBJOC_01177	K01814
GBJFBJOC_01178	K02501
GBJFBJOC_01179	K01693
GBJFBJOC_01180	K00817
GBJFBJOC_01181	K00013
GBJFBJOC_01183	K10773
GBJFBJOC_01184	K15520
GBJFBJOC_01185	K06941
GBJFBJOC_01187	K03183
GBJFBJOC_01188	K02548
GBJFBJOC_01189	K06888
GBJFBJOC_01192	K02337
GBJFBJOC_01195	K13643
GBJFBJOC_01196	K06180
GBJFBJOC_01197	K03101
GBJFBJOC_01199	K23269
GBJFBJOC_01200	K23265
GBJFBJOC_01202	K01923
GBJFBJOC_01203	K01756
GBJFBJOC_01204	K00857
GBJFBJOC_01205	K05884
GBJFBJOC_01207	K01273
GBJFBJOC_01210	K13292
GBJFBJOC_01213	K05592
GBJFBJOC_01214	K00641
GBJFBJOC_01215	K01758
GBJFBJOC_01216	K10563
GBJFBJOC_01222	K08355
GBJFBJOC_01223	K08356
GBJFBJOC_01225	K00335
GBJFBJOC_01226	K03943
GBJFBJOC_01227	K00333
GBJFBJOC_01228	K00332
GBJFBJOC_01229	K00331
GBJFBJOC_01230	K00330
GBJFBJOC_01235	K00616
GBJFBJOC_01236	K00615
GBJFBJOC_01238	K07259
GBJFBJOC_01243	K21947
GBJFBJOC_01244	K07442
GBJFBJOC_01247	K13527
GBJFBJOC_01248	K20814
GBJFBJOC_01250	K03433
GBJFBJOC_01251	K03432
GBJFBJOC_01252	K13571
GBJFBJOC_01253	K13572
GBJFBJOC_01255	K03100
GBJFBJOC_01258	K03118
GBJFBJOC_01259	K03727
GBJFBJOC_01267	K04763
GBJFBJOC_01268	K01011
GBJFBJOC_01271	K00919
GBJFBJOC_01272	K02528
GBJFBJOC_01280	K01426
GBJFBJOC_01282	K00453
GBJFBJOC_01283	K00486
GBJFBJOC_01284	K01556
GBJFBJOC_01285	K03392
GBJFBJOC_01286	K00452
GBJFBJOC_01288	K02509
GBJFBJOC_01289	K01666
GBJFBJOC_01290	K04073
GBJFBJOC_01291	K02554
GBJFBJOC_01292	K01480
GBJFBJOC_01294	K00833
GBJFBJOC_01298	K11069
GBJFBJOC_01299	K11070
GBJFBJOC_01300	K11071
GBJFBJOC_01301	K11072
GBJFBJOC_01302	K09471
GBJFBJOC_01303	K09471
GBJFBJOC_01306	K03519
GBJFBJOC_01307	K03520
GBJFBJOC_01308	K03518
GBJFBJOC_01311	K22820
GBJFBJOC_01312	K01692
GBJFBJOC_01314	K03294
GBJFBJOC_01316	K03719
GBJFBJOC_01317	K00259
GBJFBJOC_01324	K00249
GBJFBJOC_01325	K01092
GBJFBJOC_01329	K00059
GBJFBJOC_01334	K08669
GBJFBJOC_01338	K00412
GBJFBJOC_01342	K21401
GBJFBJOC_01344	K15408
GBJFBJOC_01347	K06942
GBJFBJOC_01349	K07056
GBJFBJOC_01350	K01874
GBJFBJOC_01351	K03424
GBJFBJOC_01352	K01961
GBJFBJOC_01353	K03524
GBJFBJOC_01354	K00826
GBJFBJOC_01367	K06949
GBJFBJOC_01371	K00948
GBJFBJOC_01372	K02897
GBJFBJOC_01373	K01056
GBJFBJOC_01374	K03723
GBJFBJOC_01375	K03769
GBJFBJOC_01376	K02499
GBJFBJOC_01377	K01689
GBJFBJOC_01379	K03520
GBJFBJOC_01380	K01990
GBJFBJOC_01381	K01992
GBJFBJOC_01383	K03518
GBJFBJOC_01384	K03519
GBJFBJOC_01386	K07161
GBJFBJOC_01387	K01595
GBJFBJOC_01388	K07402
GBJFBJOC_01389	K07402
GBJFBJOC_01390	K04042
GBJFBJOC_01393	K01524
GBJFBJOC_01394	K00830
GBJFBJOC_01395	K03790
GBJFBJOC_01396	K01692
GBJFBJOC_01401	K02846
GBJFBJOC_01405	K01620
GBJFBJOC_01406	K11068
GBJFBJOC_01407	K00108
GBJFBJOC_01408	K00605
GBJFBJOC_01409	K00249
GBJFBJOC_01410	K00059
GBJFBJOC_01412	K00020
GBJFBJOC_01413	K03119
GBJFBJOC_01414	K02028
GBJFBJOC_01415	K09971
GBJFBJOC_01416	K10037
GBJFBJOC_01418	K07048
GBJFBJOC_01426	K00113
GBJFBJOC_01429	K07029
GBJFBJOC_01432	K00666
GBJFBJOC_01434	K12663
GBJFBJOC_01435	K00567
GBJFBJOC_01436	K00111
GBJFBJOC_01438	K07736
GBJFBJOC_01440	K01881
GBJFBJOC_01441	K22820
GBJFBJOC_01443	K01740
GBJFBJOC_01444	K10716
GBJFBJOC_01445	K00020
GBJFBJOC_01446	K00648
GBJFBJOC_01448	K00153
GBJFBJOC_01449	K11150
GBJFBJOC_01456	K09014
GBJFBJOC_01459	K06217
GBJFBJOC_01460	K07042
GBJFBJOC_01461	K03699
GBJFBJOC_01462	K03595
GBJFBJOC_01463	K03722
GBJFBJOC_01464	K00806
GBJFBJOC_01465	K03584
GBJFBJOC_01467	K01880
GBJFBJOC_01468	K01006
GBJFBJOC_01471	K00008
GBJFBJOC_01472	K13356
GBJFBJOC_01474	K01921
GBJFBJOC_01475	K01929
GBJFBJOC_01479	K03119
GBJFBJOC_01481	K02013
GBJFBJOC_01486	K00208
GBJFBJOC_01488	K01883
GBJFBJOC_01489	K01868
GBJFBJOC_01490	K19710
GBJFBJOC_01492	K09819
GBJFBJOC_01494	K06001
GBJFBJOC_01499	K07001
GBJFBJOC_01500	K00548
GBJFBJOC_01501	K22579
GBJFBJOC_01503	K05592
GBJFBJOC_01505	K00499
GBJFBJOC_01508	K10255
GBJFBJOC_01510	K08280
GBJFBJOC_01511	K17231
GBJFBJOC_01516	K00658
GBJFBJOC_01517	K03644
GBJFBJOC_01518	K01255
GBJFBJOC_01520	K12410
GBJFBJOC_01522	K00658
GBJFBJOC_01523	K00382
