LJLJMBLE_00003	K14157
LJLJMBLE_00765	K01925
LJLJMBLE_00766	K01000
LJLJMBLE_00767	K01928
LJLJMBLE_00768	K03587
LJLJMBLE_00770	K03438
LJLJMBLE_00771	K03925
LJLJMBLE_00772	K16050
LJLJMBLE_00773	K03978
LJLJMBLE_00775	K02066
LJLJMBLE_00776	K02065
LJLJMBLE_00778	K00971
LJLJMBLE_00780	K01887
LJLJMBLE_00783	K01647
LJLJMBLE_00784	K01689
LJLJMBLE_00785	K01956
LJLJMBLE_00786	K02879
LJLJMBLE_00787	K03040
LJLJMBLE_00788	K02986
LJLJMBLE_00789	K02948
LJLJMBLE_00790	K02952
LJLJMBLE_00791	K03292
LJLJMBLE_00795	K03306
LJLJMBLE_00800	K15734
LJLJMBLE_00801	K07734
LJLJMBLE_00804	K00248
LJLJMBLE_00805	K09001
LJLJMBLE_00807	K03561
LJLJMBLE_00810	K11754
LJLJMBLE_00813	K00627
LJLJMBLE_00814	K00161
LJLJMBLE_00815	K01489
LJLJMBLE_00817	K01955
LJLJMBLE_00826	K10716
LJLJMBLE_00837	K14085
LJLJMBLE_00839	K01595
LJLJMBLE_00840	K03320
LJLJMBLE_00841	K04751
LJLJMBLE_00842	K03320
LJLJMBLE_00844	K00265
LJLJMBLE_00845	K00266
LJLJMBLE_00846	K01687
LJLJMBLE_00847	K01652
LJLJMBLE_00848	K01653
LJLJMBLE_00849	K00053
LJLJMBLE_00850	K01754
LJLJMBLE_00851	K00873
LJLJMBLE_00853	K03685
LJLJMBLE_00854	K09458
LJLJMBLE_00855	K02078
LJLJMBLE_00857	K02838
LJLJMBLE_00858	K09903
LJLJMBLE_00860	K02357
LJLJMBLE_00861	K02967
LJLJMBLE_00862	K02996
LJLJMBLE_00863	K02871
LJLJMBLE_00865	K02257
LJLJMBLE_00866	K02262
LJLJMBLE_00871	K08976
LJLJMBLE_00876	K02836
LJLJMBLE_00877	K01620
LJLJMBLE_00878	K01354
LJLJMBLE_00879	K01738
LJLJMBLE_00880	K00652
LJLJMBLE_00887	K03701
LJLJMBLE_00890	K10773
LJLJMBLE_00891	K03564
LJLJMBLE_00893	K06167
LJLJMBLE_00895	K06999
LJLJMBLE_00897	K01465
LJLJMBLE_00904	K10947
LJLJMBLE_00907	K04761
LJLJMBLE_00908	K01284
LJLJMBLE_00909	K03768
LJLJMBLE_00913	K03088
LJLJMBLE_00916	K04565
LJLJMBLE_00920	K00632
LJLJMBLE_00921	K07516
LJLJMBLE_00924	K01897
LJLJMBLE_00925	K01952
LJLJMBLE_00927	K03500
LJLJMBLE_00930	K06147
LJLJMBLE_00931	K01835
LJLJMBLE_00934	K02909
LJLJMBLE_00936	K12368
LJLJMBLE_00937	K18707
LJLJMBLE_00944	K02946
LJLJMBLE_00945	K02355
LJLJMBLE_00946	K02992
LJLJMBLE_00947	K02950
LJLJMBLE_00955	K03218
LJLJMBLE_00957	K07478
LJLJMBLE_00959	K07025
LJLJMBLE_00961	K03630
LJLJMBLE_00962	K01924
LJLJMBLE_00964	K03979
LJLJMBLE_00965	K00939
LJLJMBLE_00966	K01589
LJLJMBLE_00967	K01588
LJLJMBLE_00968	K01284
LJLJMBLE_00970	K00281
LJLJMBLE_00971	K00648
LJLJMBLE_00974	K00826
LJLJMBLE_00977	K01872
LJLJMBLE_00980	K03744
LJLJMBLE_00982	K06872
LJLJMBLE_00983	K03977
LJLJMBLE_00984	K03595
LJLJMBLE_00985	K03841
LJLJMBLE_00986	K03841
LJLJMBLE_00987	K00657
LJLJMBLE_00988	K00928
LJLJMBLE_00990	K03741
LJLJMBLE_00993	K00058
LJLJMBLE_00994	K06213
LJLJMBLE_00995	K02528
LJLJMBLE_00998	K01875
LJLJMBLE_00999	K11753
LJLJMBLE_01001	K01056
LJLJMBLE_01002	K02897
LJLJMBLE_01004	K01867
LJLJMBLE_01007	K03553
LJLJMBLE_01008	K07146
LJLJMBLE_01011	K05366
LJLJMBLE_01012	K01028
LJLJMBLE_01013	K01029
LJLJMBLE_01016	K02031
LJLJMBLE_01021	K01698
LJLJMBLE_01022	K00228
LJLJMBLE_01023	K01599
LJLJMBLE_01024	K01749
LJLJMBLE_01025	K02492
LJLJMBLE_01027	K01772
LJLJMBLE_01029	K08973
LJLJMBLE_01030	K13598
LJLJMBLE_01031	K01715
LJLJMBLE_01033	K02112
LJLJMBLE_01039	K01154
LJLJMBLE_01048	K01961
LJLJMBLE_01049	K02160
LJLJMBLE_01050	K00648
LJLJMBLE_01053	K06158
LJLJMBLE_01059	K13444
LJLJMBLE_01061	K03168
LJLJMBLE_01063	K06168
LJLJMBLE_01068	K04078
LJLJMBLE_01069	K04077
LJLJMBLE_01073	K08968
LJLJMBLE_01074	K00602
LJLJMBLE_01075	K03569
LJLJMBLE_01076	K03570
LJLJMBLE_01078	K05515
LJLJMBLE_01079	K05837
LJLJMBLE_01083	K01916
LJLJMBLE_01084	K07689
LJLJMBLE_01085	K02316
LJLJMBLE_01086	K02523
LJLJMBLE_01087	K00297
LJLJMBLE_01088	K00548
LJLJMBLE_01089	K00548
LJLJMBLE_01090	K00384
LJLJMBLE_01091	K02304
LJLJMBLE_01092	K02303
LJLJMBLE_01093	K00366
LJLJMBLE_01094	K00956
LJLJMBLE_01095	K00957
LJLJMBLE_01096	K00390
LJLJMBLE_01098	K10764
LJLJMBLE_01099	K00641
LJLJMBLE_01100	K01740
LJLJMBLE_01102	K01649
LJLJMBLE_01103	K01703
LJLJMBLE_01104	K01704
LJLJMBLE_01105	K00052
LJLJMBLE_01106	K04516
LJLJMBLE_01107	K04517
LJLJMBLE_01108	K10206
LJLJMBLE_01109	K04518
LJLJMBLE_01112	K00789
LJLJMBLE_01122	K15519
LJLJMBLE_01124	K15987
LJLJMBLE_01126	K00162
LJLJMBLE_01127	K03521
LJLJMBLE_01128	K03522
LJLJMBLE_01129	K08999
LJLJMBLE_01130	K11536
LJLJMBLE_01131	K00560
LJLJMBLE_01132	K00287
LJLJMBLE_01133	K00645
LJLJMBLE_01137	K02527
LJLJMBLE_01139	K05349
LJLJMBLE_01141	K21572
LJLJMBLE_01158	K09931
LJLJMBLE_01159	K03783
LJLJMBLE_01163	K00362
LJLJMBLE_01166	K13680
LJLJMBLE_01168	K06178
LJLJMBLE_01171	K01597
LJLJMBLE_01179	K01159
LJLJMBLE_01182	K01610
LJLJMBLE_01184	K14157
LJLJMBLE_01185	K03718
LJLJMBLE_01186	K06973
LJLJMBLE_01187	K15383
LJLJMBLE_01188	K01869
LJLJMBLE_01189	K09811
LJLJMBLE_01191	K06153
LJLJMBLE_01192	K03177
LJLJMBLE_01193	K01246
LJLJMBLE_01194	K22468
LJLJMBLE_01195	K22468
LJLJMBLE_01196	K00684
LJLJMBLE_01198	K07698
LJLJMBLE_01199	K02503
LJLJMBLE_01200	K03624
LJLJMBLE_01202	K02014
LJLJMBLE_01205	K03811
LJLJMBLE_01208	K01251
LJLJMBLE_01211	K02899
LJLJMBLE_01212	K02888
LJLJMBLE_01217	K01262
LJLJMBLE_01219	K00239
LJLJMBLE_01220	K00240
LJLJMBLE_01223	K01880
LJLJMBLE_01227	K01142
LJLJMBLE_01228	K02557
LJLJMBLE_01230	K06941
LJLJMBLE_01231	K07568
LJLJMBLE_01232	K00800
LJLJMBLE_01234	K07560
LJLJMBLE_01235	K06949
LJLJMBLE_01236	K08301
LJLJMBLE_01237	K03530
LJLJMBLE_01238	K03575
LJLJMBLE_01239	K03111
LJLJMBLE_01242	K00946
LJLJMBLE_01243	K04659
LJLJMBLE_01246	K00428
LJLJMBLE_01247	K13628
LJLJMBLE_01248	K09014
LJLJMBLE_01250	K09013
LJLJMBLE_01251	K09015
LJLJMBLE_01252	K11717
LJLJMBLE_01254	K02426
LJLJMBLE_01258	K03665
LJLJMBLE_01268	K07391
LJLJMBLE_01269	K00128
LJLJMBLE_01270	K06180
LJLJMBLE_01271	K00606
LJLJMBLE_01273	K04043
LJLJMBLE_01275	K01784
LJLJMBLE_01276	K00012
LJLJMBLE_01277	K08679
LJLJMBLE_01281	K00627
LJLJMBLE_01282	K00161
LJLJMBLE_01283	K01489
LJLJMBLE_01287	K01929
LJLJMBLE_01291	K00059
LJLJMBLE_01292	K03106
LJLJMBLE_01293	K01491
LJLJMBLE_01294	K06991
LJLJMBLE_01295	K06182
LJLJMBLE_01299	K10026
LJLJMBLE_01300	K01953
LJLJMBLE_01301	K02470
LJLJMBLE_01303	K00024
LJLJMBLE_01304	K12257
LJLJMBLE_01306	K01883
LJLJMBLE_01307	K01495
LJLJMBLE_01310	K01881
LJLJMBLE_01312	K02968
LJLJMBLE_01313	K03628
LJLJMBLE_01315	K07095
LJLJMBLE_01316	K06173
LJLJMBLE_01317	K06147
LJLJMBLE_01318	K18672
LJLJMBLE_01319	K00796
LJLJMBLE_01322	K02033
LJLJMBLE_01324	K01803
LJLJMBLE_01325	K02687
LJLJMBLE_01328	K01069
LJLJMBLE_01330	K08676
LJLJMBLE_01331	K03405
LJLJMBLE_01332	K07114
LJLJMBLE_01334	K01119
LJLJMBLE_01336	K01679
LJLJMBLE_01337	K01468
LJLJMBLE_01341	K11381
LJLJMBLE_01344	K00757
LJLJMBLE_01346	K03648
LJLJMBLE_01347	K07456
LJLJMBLE_01351	K01736
LJLJMBLE_01352	K00754
LJLJMBLE_01357	K00567
LJLJMBLE_01362	K02067
LJLJMBLE_01363	K01448
LJLJMBLE_01365	K09022
LJLJMBLE_01367	K00134
LJLJMBLE_01368	K00850
LJLJMBLE_01370	K01409
LJLJMBLE_01371	K09761
LJLJMBLE_01375	K03216
LJLJMBLE_01379	K03733
LJLJMBLE_01382	K00248
LJLJMBLE_01384	K03310
LJLJMBLE_01385	K10716
LJLJMBLE_01388	K01697
LJLJMBLE_01389	K09808
LJLJMBLE_01392	K06940
LJLJMBLE_01393	K03310
LJLJMBLE_01397	K09812
LJLJMBLE_01399	K19427
LJLJMBLE_01401	K19353
LJLJMBLE_01408	K06207
LJLJMBLE_01409	K01627
LJLJMBLE_01411	K01302
LJLJMBLE_01412	K02481
LJLJMBLE_01414	K01990
LJLJMBLE_01417	K11068
LJLJMBLE_01418	K03686
LJLJMBLE_01419	K03687
LJLJMBLE_01420	K07071
LJLJMBLE_01423	K00826
LJLJMBLE_01426	K01277
LJLJMBLE_01427	K06199
LJLJMBLE_01428	K09164
LJLJMBLE_01429	K03719
LJLJMBLE_01431	K01591
LJLJMBLE_01432	K02835
LJLJMBLE_01433	K01933
LJLJMBLE_01434	K01915
LJLJMBLE_01435	K01915
LJLJMBLE_01438	K01845
LJLJMBLE_01440	K05396
LJLJMBLE_01441	K01712
LJLJMBLE_01443	K15582
LJLJMBLE_01444	K03797
LJLJMBLE_01445	K03787
LJLJMBLE_01447	K00748
LJLJMBLE_01449	K02238
LJLJMBLE_01451	K03305
LJLJMBLE_01452	K03305
LJLJMBLE_01453	K01278
LJLJMBLE_01454	K00054
LJLJMBLE_01462	K03525
LJLJMBLE_01464	K02517
LJLJMBLE_01467	K03650
LJLJMBLE_01469	K01555
LJLJMBLE_01470	K00500
LJLJMBLE_01471	K00457
LJLJMBLE_01473	K03719
LJLJMBLE_01476	K07090
LJLJMBLE_01477	K02825
LJLJMBLE_01478	K00609
LJLJMBLE_01480	K00784
LJLJMBLE_01482	K09810
LJLJMBLE_01483	K07304
LJLJMBLE_01486	K00058
LJLJMBLE_01487	K00831
LJLJMBLE_01491	K06942
LJLJMBLE_01492	K02622
LJLJMBLE_01493	K02621
LJLJMBLE_01497	K03718
LJLJMBLE_01498	K01735
LJLJMBLE_01499	K00318
LJLJMBLE_01501	K00259
LJLJMBLE_01502	K06925
LJLJMBLE_01503	K07713
LJLJMBLE_01504	K06885
LJLJMBLE_01505	K02536
LJLJMBLE_01506	K16363
LJLJMBLE_01507	K00677
LJLJMBLE_01508	K02356
LJLJMBLE_01509	K02536
LJLJMBLE_01510	K01902
LJLJMBLE_01511	K00059
LJLJMBLE_01514	K00765
LJLJMBLE_01515	K00013
LJLJMBLE_01516	K00817
LJLJMBLE_01517	K01089
LJLJMBLE_01518	K02501
LJLJMBLE_01519	K01814
LJLJMBLE_01520	K02500
LJLJMBLE_01521	K11755
LJLJMBLE_01522	K06173
LJLJMBLE_01525	K16053
LJLJMBLE_01529	K01669
LJLJMBLE_01530	K16089
LJLJMBLE_01531	K04091
LJLJMBLE_01533	K07386
LJLJMBLE_01536	K03111
LJLJMBLE_01537	K02529
LJLJMBLE_01538	K01874
LJLJMBLE_01539	K01297
LJLJMBLE_01541	K07460
LJLJMBLE_01542	K03723
LJLJMBLE_01544	K10805
LJLJMBLE_01545	K09793
LJLJMBLE_01551	K03671
LJLJMBLE_01553	K02337
LJLJMBLE_01557	K02959
LJLJMBLE_01558	K02860
LJLJMBLE_01559	K15460
LJLJMBLE_01560	K00252
LJLJMBLE_01563	K00384
LJLJMBLE_01565	K03593
LJLJMBLE_01568	K03439
LJLJMBLE_01569	K07636
LJLJMBLE_01570	K07658
LJLJMBLE_01571	K07004
LJLJMBLE_01573	K01866
LJLJMBLE_01576	K01465
LJLJMBLE_01577	K00721
LJLJMBLE_01579	K01719
LJLJMBLE_01580	K07301
LJLJMBLE_01581	K00759
LJLJMBLE_01586	K14393
LJLJMBLE_01588	K01784
LJLJMBLE_01589	K02108
LJLJMBLE_01593	K02613
LJLJMBLE_01598	K01945
LJLJMBLE_01599	K03606
LJLJMBLE_01600	K08678
LJLJMBLE_01604	K19354
LJLJMBLE_01608	K00067
LJLJMBLE_01609	K01790
LJLJMBLE_01610	K00973
LJLJMBLE_01611	K01710
LJLJMBLE_01618	K08307
LJLJMBLE_01619	K00927
LJLJMBLE_01621	K02341
LJLJMBLE_01624	K03495
LJLJMBLE_01625	K07042
LJLJMBLE_01632	K01885
LJLJMBLE_01633	K03596
LJLJMBLE_01635	K01673
LJLJMBLE_01637	K13274
LJLJMBLE_01640	K03797
LJLJMBLE_01642	K02348
LJLJMBLE_01643	K01808
LJLJMBLE_01644	K12573
LJLJMBLE_01648	K01633
LJLJMBLE_01649	K01886
LJLJMBLE_01651	K11072
LJLJMBLE_01652	K00133
LJLJMBLE_01653	K03282
LJLJMBLE_01654	K01775
LJLJMBLE_01655	K00857
LJLJMBLE_01657	K00057
LJLJMBLE_01659	K01889
LJLJMBLE_01662	K03321
LJLJMBLE_01667	K07114
LJLJMBLE_01668	K07114
LJLJMBLE_01671	K03924
LJLJMBLE_01678	K05349
LJLJMBLE_01680	K05349
LJLJMBLE_01681	K03046
LJLJMBLE_01684	K02837
LJLJMBLE_01685	K01081
LJLJMBLE_01688	K01714
LJLJMBLE_01691	K13038
LJLJMBLE_01693	K03631
LJLJMBLE_01694	K00208
LJLJMBLE_01697	K00859
LJLJMBLE_01698	K07636
LJLJMBLE_01700	K00791
LJLJMBLE_01701	K10716
LJLJMBLE_01702	K02342
LJLJMBLE_01703	K06997
LJLJMBLE_01705	K00074
LJLJMBLE_01706	K03810
LJLJMBLE_01708	K00573
LJLJMBLE_01710	K03664
LJLJMBLE_01711	K03695
LJLJMBLE_01714	K01745
LJLJMBLE_01715	K03696
LJLJMBLE_01716	K02469
LJLJMBLE_01718	K20742
LJLJMBLE_01719	K00626
LJLJMBLE_01720	K07037
LJLJMBLE_01727	K09874
LJLJMBLE_01729	K08869
LJLJMBLE_01731	K06876
LJLJMBLE_01738	K03307
LJLJMBLE_01739	K01805
LJLJMBLE_01742	K00826
LJLJMBLE_01743	K07735
LJLJMBLE_01744	K03530
LJLJMBLE_01745	K00604
LJLJMBLE_01746	K03654
LJLJMBLE_01750	K00790
LJLJMBLE_01751	K06193
LJLJMBLE_01752	K01669
LJLJMBLE_01756	K00432
LJLJMBLE_01757	K00059
LJLJMBLE_01759	K01495
LJLJMBLE_01767	K02003
LJLJMBLE_01768	K02004
LJLJMBLE_01769	K02004
