GPLBGAJO_00002	K05884
GPLBGAJO_00235	K11720
GPLBGAJO_00236	K03177
GPLBGAJO_00237	K11753
GPLBGAJO_00242	K03111
GPLBGAJO_00243	K03575
GPLBGAJO_00244	K03530
GPLBGAJO_00246	K08301
GPLBGAJO_00247	K00783
GPLBGAJO_00249	K07552
GPLBGAJO_00250	K00346
GPLBGAJO_00251	K00347
GPLBGAJO_00252	K00348
GPLBGAJO_00253	K00349
GPLBGAJO_00254	K00350
GPLBGAJO_00255	K00351
GPLBGAJO_00256	K03734
GPLBGAJO_00257	K03644
GPLBGAJO_00261	K01463
GPLBGAJO_00263	K02950
GPLBGAJO_00264	K02992
GPLBGAJO_00265	K00633
GPLBGAJO_00267	K01880
GPLBGAJO_00272	K06330
GPLBGAJO_00274	K01876
GPLBGAJO_00280	K00275
GPLBGAJO_00281	K03106
GPLBGAJO_00283	K00798
GPLBGAJO_00284	K02003
GPLBGAJO_00290	K18889
GPLBGAJO_00292	K03625
GPLBGAJO_00294	K03210
GPLBGAJO_00295	K00859
GPLBGAJO_00296	K02825
GPLBGAJO_00297	K00674
GPLBGAJO_00300	K02274
GPLBGAJO_00302	K02257
GPLBGAJO_00304	K02276
GPLBGAJO_00306	K07152
GPLBGAJO_00307	K08976
GPLBGAJO_00311	K03553
GPLBGAJO_00314	K03561
GPLBGAJO_00319	K11391
GPLBGAJO_00327	K00627
GPLBGAJO_00328	K00560
GPLBGAJO_00330	K01847
GPLBGAJO_00336	K00453
GPLBGAJO_00341	K01710
GPLBGAJO_00342	K01082
GPLBGAJO_00344	K16044
GPLBGAJO_00345	K00973
GPLBGAJO_00350	K06889
GPLBGAJO_00351	K12733
GPLBGAJO_00352	K02837
GPLBGAJO_00358	K02945
GPLBGAJO_00360	K02825
GPLBGAJO_00361	K00609
GPLBGAJO_00362	K01424
GPLBGAJO_00363	K02470
GPLBGAJO_00364	K00850
GPLBGAJO_00366	K01338
GPLBGAJO_00372	K07568
GPLBGAJO_00373	K04096
GPLBGAJO_00375	K02428
GPLBGAJO_00382	K01258
GPLBGAJO_00390	K00134
GPLBGAJO_00394	K07735
GPLBGAJO_00397	K03665
GPLBGAJO_00400	K02838
GPLBGAJO_00405	K01666
GPLBGAJO_00407	K04073
GPLBGAJO_00408	K02554
GPLBGAJO_00409	K00457
GPLBGAJO_00411	K02618
GPLBGAJO_00419	K03924
GPLBGAJO_00422	K06193
GPLBGAJO_00423	K00887
GPLBGAJO_00432	K05841
GPLBGAJO_00435	K05802
GPLBGAJO_00437	K07318
GPLBGAJO_00441	K14085
GPLBGAJO_00444	K01262
GPLBGAJO_00447	K01555
GPLBGAJO_00448	K23234
GPLBGAJO_00450	K00790
GPLBGAJO_00452	K03687
GPLBGAJO_00453	K03686
GPLBGAJO_00454	K01712
GPLBGAJO_00457	K01990
GPLBGAJO_00459	K10259
GPLBGAJO_00460	K09022
GPLBGAJO_00463	K01714
GPLBGAJO_00465	K01972
GPLBGAJO_00468	K00162
GPLBGAJO_00470	K01081
GPLBGAJO_00477	K03550
GPLBGAJO_00481	K00942
GPLBGAJO_00482	K00969
GPLBGAJO_00483	K03798
GPLBGAJO_00484	K00639
GPLBGAJO_00488	K01938
GPLBGAJO_00490	K01679
GPLBGAJO_00493	K00873
GPLBGAJO_00495	K02078
GPLBGAJO_00496	K09458
GPLBGAJO_00497	K03685
GPLBGAJO_00498	K01885
GPLBGAJO_00500	K07164
GPLBGAJO_00504	K00912
GPLBGAJO_00507	K02528
GPLBGAJO_00508	K06213
GPLBGAJO_00516	K02548
GPLBGAJO_00518	K01951
GPLBGAJO_00520	K03500
GPLBGAJO_00527	K04079
GPLBGAJO_00528	K13566
GPLBGAJO_00530	K01265
GPLBGAJO_00532	K03321
GPLBGAJO_00537	K04761
GPLBGAJO_00538	K03921
GPLBGAJO_00539	K05592
GPLBGAJO_00543	K01916
GPLBGAJO_00546	K00059
GPLBGAJO_00547	K15891
GPLBGAJO_00551	K21572
GPLBGAJO_00553	K00700
GPLBGAJO_00555	K00748
GPLBGAJO_00557	K03787
GPLBGAJO_00558	K03631
GPLBGAJO_00559	K01929
GPLBGAJO_00561	K21401
GPLBGAJO_00569	K00677
GPLBGAJO_00570	K16363
GPLBGAJO_00571	K02536
GPLBGAJO_00572	K06885
GPLBGAJO_00573	K07659
GPLBGAJO_00575	K06925
GPLBGAJO_00576	K19701
GPLBGAJO_00577	K07576
GPLBGAJO_00578	K15916
GPLBGAJO_00579	K06180
GPLBGAJO_00581	K01735
GPLBGAJO_00582	K00800
GPLBGAJO_00583	K01736
GPLBGAJO_00588	K11102
GPLBGAJO_00590	K03168
GPLBGAJO_00593	K01585
GPLBGAJO_00595	K08999
GPLBGAJO_00596	K03522
GPLBGAJO_00597	K03521
GPLBGAJO_00599	K03499
GPLBGAJO_00600	K03498
GPLBGAJO_00609	K03217
GPLBGAJO_00611	K00259
GPLBGAJO_00612	K08307
GPLBGAJO_00614	K11175
GPLBGAJO_00615	K03640
GPLBGAJO_00616	K07095
GPLBGAJO_00621	K03657
GPLBGAJO_00622	K22074
GPLBGAJO_00624	K01961
GPLBGAJO_00625	K02160
GPLBGAJO_00626	K00648
GPLBGAJO_00627	K03621
GPLBGAJO_00630	K00097
GPLBGAJO_00632	K00030
GPLBGAJO_00633	K03086
GPLBGAJO_00637	K10027
GPLBGAJO_00643	K02897
GPLBGAJO_00644	K00948
GPLBGAJO_00646	K03654
GPLBGAJO_00647	K06041
GPLBGAJO_00648	K00971
GPLBGAJO_00651	K01246
GPLBGAJO_00656	K03640
GPLBGAJO_00660	K03593
GPLBGAJO_00661	K22074
GPLBGAJO_00663	K00857
GPLBGAJO_00674	K07071
GPLBGAJO_00675	K01278
GPLBGAJO_00677	K06158
GPLBGAJO_00679	K14652
GPLBGAJO_00682	K03501
GPLBGAJO_00684	K06413
GPLBGAJO_00685	K07668
GPLBGAJO_00686	K07636
GPLBGAJO_00688	K00243
GPLBGAJO_00693	K01945
GPLBGAJO_00694	K03070
GPLBGAJO_00698	K05979
GPLBGAJO_00700	K01808
GPLBGAJO_00701	K03118
GPLBGAJO_00702	K00059
GPLBGAJO_00703	K01489
GPLBGAJO_00704	K14157
GPLBGAJO_00709	K00057
GPLBGAJO_00715	K05770
GPLBGAJO_00718	K01737
GPLBGAJO_00719	K03274
GPLBGAJO_00720	K13598
GPLBGAJO_00722	K00384
GPLBGAJO_00724	K00537
GPLBGAJO_00726	K03442
GPLBGAJO_00727	K01890
GPLBGAJO_00730	K18682
GPLBGAJO_00731	K06970
GPLBGAJO_00732	K00962
GPLBGAJO_00733	K02956
GPLBGAJO_00739	K00970
GPLBGAJO_00741	K06167
GPLBGAJO_00746	K00573
GPLBGAJO_00747	K01448
GPLBGAJO_00748	K03596
GPLBGAJO_00750	K23025
GPLBGAJO_00752	K21470
GPLBGAJO_00755	K03088
GPLBGAJO_00758	K01697
GPLBGAJO_00761	K01624
GPLBGAJO_00762	K06147
GPLBGAJO_00768	K03324
GPLBGAJO_00769	K00657
GPLBGAJO_00772	K19302
GPLBGAJO_00779	K02198
GPLBGAJO_00787	K03110
GPLBGAJO_00788	K14441
GPLBGAJO_00789	K22136
GPLBGAJO_00792	K01803
GPLBGAJO_00794	K02909
GPLBGAJO_00796	K01892
GPLBGAJO_00797	K06180
GPLBGAJO_00800	K03405
GPLBGAJO_00801	K07114
GPLBGAJO_00805	K00821
GPLBGAJO_00806	K03530
GPLBGAJO_00807	K00891
GPLBGAJO_00808	K02033
GPLBGAJO_00811	K00796
GPLBGAJO_00820	K01887
GPLBGAJO_00821	K00059
GPLBGAJO_00823	K03696
GPLBGAJO_00824	K02314
GPLBGAJO_00828	K00294
GPLBGAJO_00829	K06180
GPLBGAJO_00830	K10773
GPLBGAJO_00831	K03800
GPLBGAJO_00833	K13789
GPLBGAJO_00835	K12573
GPLBGAJO_00836	K02032
GPLBGAJO_00841	K00626
GPLBGAJO_00847	K13990
GPLBGAJO_00848	K06173
GPLBGAJO_00849	K18890
GPLBGAJO_00850	K01867
GPLBGAJO_00852	K00794
GPLBGAJO_00854	K00161
GPLBGAJO_00855	K03629
GPLBGAJO_00857	K01783
GPLBGAJO_00858	K00658
GPLBGAJO_00867	K07705
GPLBGAJO_00868	K07704
GPLBGAJO_00875	K16087
GPLBGAJO_00878	K00281
GPLBGAJO_00885	K01790
GPLBGAJO_00886	K03657
GPLBGAJO_00890	K03466
GPLBGAJO_00893	K01689
GPLBGAJO_00894	K01956
GPLBGAJO_00899	K03733
GPLBGAJO_00901	K05523
GPLBGAJO_00910	K01724
GPLBGAJO_00914	K11752
GPLBGAJO_00915	K02493
GPLBGAJO_00916	K02469
GPLBGAJO_00919	K01881
GPLBGAJO_00923	K01961
GPLBGAJO_00925	K22597
GPLBGAJO_00928	K01491
GPLBGAJO_00929	K10026
GPLBGAJO_00933	K00428
GPLBGAJO_00937	K03088
GPLBGAJO_00938	K07112
GPLBGAJO_00939	K07112
GPLBGAJO_00942	K01868
GPLBGAJO_00943	K02520
GPLBGAJO_00944	K02916
GPLBGAJO_00945	K02887
GPLBGAJO_00947	K02106
GPLBGAJO_00948	K08968
GPLBGAJO_00949	K01187
GPLBGAJO_00950	K01208
GPLBGAJO_00951	K00691
GPLBGAJO_00952	K01838
GPLBGAJO_00955	K16211
GPLBGAJO_00964	K03703
GPLBGAJO_00965	K13950
GPLBGAJO_00968	K12410
GPLBGAJO_00969	K03327
GPLBGAJO_00972	K06969
GPLBGAJO_00976	K03744
GPLBGAJO_00978	K07106
GPLBGAJO_00979	K09903
GPLBGAJO_00982	K01494
GPLBGAJO_00983	K10260
GPLBGAJO_00985	K11166
GPLBGAJO_00990	K02316
GPLBGAJO_00991	K01436
GPLBGAJO_00995	K01556
GPLBGAJO_01001	K11707
GPLBGAJO_01002	K11710
GPLBGAJO_01003	K11708
GPLBGAJO_01004	K11709
GPLBGAJO_01007	K01924
GPLBGAJO_01009	K15738
GPLBGAJO_01012	K08974
GPLBGAJO_01013	K00014
GPLBGAJO_01015	K00754
GPLBGAJO_01016	K00548
GPLBGAJO_01019	K03088
GPLBGAJO_01022	K03832
GPLBGAJO_01023	K01465
GPLBGAJO_01030	K01966
GPLBGAJO_01033	K11654
GPLBGAJO_01035	K20534
GPLBGAJO_01040	K14742
GPLBGAJO_01044	K03702
GPLBGAJO_01048	K16089
GPLBGAJO_01049	K01875
GPLBGAJO_01052	K00382
GPLBGAJO_01054	K03782
GPLBGAJO_01057	K02429
GPLBGAJO_01058	K01297
GPLBGAJO_01061	K00950
GPLBGAJO_01063	K01962
GPLBGAJO_01066	K08678
GPLBGAJO_01067	K00012
GPLBGAJO_01069	K02527
GPLBGAJO_01077	K04567
GPLBGAJO_01078	K02035
GPLBGAJO_01085	K03572
GPLBGAJO_01093	K14157
GPLBGAJO_01102	K00757
GPLBGAJO_01105	K09810
GPLBGAJO_01106	K01495
GPLBGAJO_01107	K01737
GPLBGAJO_01108	K03088
GPLBGAJO_01111	K06287
GPLBGAJO_01115	K01254
GPLBGAJO_01124	K01719
GPLBGAJO_01131	K13993
GPLBGAJO_01136	K01990
GPLBGAJO_01141	K01866
GPLBGAJO_01145	K02335
GPLBGAJO_01146	K03269
GPLBGAJO_01148	K02835
GPLBGAJO_01149	K01915
GPLBGAJO_01151	K01933
GPLBGAJO_01153	K06941
GPLBGAJO_01155	K04043
GPLBGAJO_01160	K03218
GPLBGAJO_01165	K02600
GPLBGAJO_01166	K02519
GPLBGAJO_01167	K01874
GPLBGAJO_01183	K01144
GPLBGAJO_01205	K03655
GPLBGAJO_01207	K12257
GPLBGAJO_01208	K00876
GPLBGAJO_01212	K03585
GPLBGAJO_01213	K03296
GPLBGAJO_01214	K02348
GPLBGAJO_01216	K01487
GPLBGAJO_01218	K02879
GPLBGAJO_01219	K03040
GPLBGAJO_01220	K02986
GPLBGAJO_01221	K02948
GPLBGAJO_01222	K02952
GPLBGAJO_01223	K02518
GPLBGAJO_01224	K03076
GPLBGAJO_01225	K02876
GPLBGAJO_01226	K02907
GPLBGAJO_01227	K02988
GPLBGAJO_01228	K02881
GPLBGAJO_01229	K02933
GPLBGAJO_01230	K02994
GPLBGAJO_01231	K02954
GPLBGAJO_01232	K02931
GPLBGAJO_01233	K02895
GPLBGAJO_01234	K02874
GPLBGAJO_01235	K02961
GPLBGAJO_01237	K02878
GPLBGAJO_01238	K02982
GPLBGAJO_01239	K02890
GPLBGAJO_01240	K02965
GPLBGAJO_01241	K02886
GPLBGAJO_01242	K02892
GPLBGAJO_01243	K02926
GPLBGAJO_01244	K02906
GPLBGAJO_01245	K02946
GPLBGAJO_01246	K02355
GPLBGAJO_01247	K00602
GPLBGAJO_01249	K00819
GPLBGAJO_01251	K01000
GPLBGAJO_01252	K01928
GPLBGAJO_01253	K03587
GPLBGAJO_01255	K03438
GPLBGAJO_01256	K03925
GPLBGAJO_01259	K01468
GPLBGAJO_01260	K00764
GPLBGAJO_01261	K03786
GPLBGAJO_01269	K03215
GPLBGAJO_01272	K06861
GPLBGAJO_01274	K07462
GPLBGAJO_01276	K22026
GPLBGAJO_01277	K02554
GPLBGAJO_01284	K01594
GPLBGAJO_01285	K02014
GPLBGAJO_01290	K03719
GPLBGAJO_01291	K01745
GPLBGAJO_01293	K02342
GPLBGAJO_01296	K03724
GPLBGAJO_01297	K11085
GPLBGAJO_01300	K06177
GPLBGAJO_01301	K11068
GPLBGAJO_01302	K03701
GPLBGAJO_01303	K13126
GPLBGAJO_01305	K03773
GPLBGAJO_01306	K05995
GPLBGAJO_01309	K03088
GPLBGAJO_01314	K01897
GPLBGAJO_01315	K00074
GPLBGAJO_01317	K03497
GPLBGAJO_01318	K03496
GPLBGAJO_01320	K12368
GPLBGAJO_01325	K01627
GPLBGAJO_01329	K00208
GPLBGAJO_01331	K02065
GPLBGAJO_01332	K02066
GPLBGAJO_01333	K00059
GPLBGAJO_01339	K01840
GPLBGAJO_01341	K02481
GPLBGAJO_01342	K07566
GPLBGAJO_01345	K11749
GPLBGAJO_01347	K00252
GPLBGAJO_01352	K07137
GPLBGAJO_01353	K00615
GPLBGAJO_01354	K07114
GPLBGAJO_01355	K00615
GPLBGAJO_01359	K00937
GPLBGAJO_01369	K01923
GPLBGAJO_01373	K01462
GPLBGAJO_01375	K03088
GPLBGAJO_01376	K03701
GPLBGAJO_01380	K01610
GPLBGAJO_01381	K03113
GPLBGAJO_01385	K03630
GPLBGAJO_01386	K02968
GPLBGAJO_01390	K01893
GPLBGAJO_01391	K03092
GPLBGAJO_01393	K15866
GPLBGAJO_01394	K01409
GPLBGAJO_01396	K06199
GPLBGAJO_01400	K00428
GPLBGAJO_01405	K01968
GPLBGAJO_01406	K17231
GPLBGAJO_01409	K10947
GPLBGAJO_01410	K01902
GPLBGAJO_01413	K00548
GPLBGAJO_01415	K15736
GPLBGAJO_01416	K09793
GPLBGAJO_01425	K01195
GPLBGAJO_01426	K01195
GPLBGAJO_01427	K03723
GPLBGAJO_01428	K02014
GPLBGAJO_01431	K07146
GPLBGAJO_01433	K07304
GPLBGAJO_01436	K01434
GPLBGAJO_01443	K00164
GPLBGAJO_01445	K00031
GPLBGAJO_01448	K00382
GPLBGAJO_01452	K01256
GPLBGAJO_01454	K00432
GPLBGAJO_01456	K06949
GPLBGAJO_01457	K00297
GPLBGAJO_01459	K07090
GPLBGAJO_01460	K03797
GPLBGAJO_01461	K08998
GPLBGAJO_01463	K02914
GPLBGAJO_01467	K01869
GPLBGAJO_01468	K07025
GPLBGAJO_01470	K03979
GPLBGAJO_01471	K00939
GPLBGAJO_01473	K00059
GPLBGAJO_01476	K07130
GPLBGAJO_01485	K02341
GPLBGAJO_01490	K06187
GPLBGAJO_01491	K06195
GPLBGAJO_01492	K06153
GPLBGAJO_01495	K00761
GPLBGAJO_01498	K00767
GPLBGAJO_01500	K06889
GPLBGAJO_01502	K00287
GPLBGAJO_01503	K05592
GPLBGAJO_01504	K02529
GPLBGAJO_01505	K16089
GPLBGAJO_01506	K16211
GPLBGAJO_01510	K06888
GPLBGAJO_01518	K20344
GPLBGAJO_01520	K00033
GPLBGAJO_01521	K15633
GPLBGAJO_01525	K21552
GPLBGAJO_01533	K00793
GPLBGAJO_01534	K00240
GPLBGAJO_01535	K00239
GPLBGAJO_01537	K00254
GPLBGAJO_01540	K02687
GPLBGAJO_01543	K01302
GPLBGAJO_01548	K12500
GPLBGAJO_01551	K07071
GPLBGAJO_01552	K01669
GPLBGAJO_01553	K10951
GPLBGAJO_01557	K00075
GPLBGAJO_01560	K04066
GPLBGAJO_01562	K19428
GPLBGAJO_01564	K00318
GPLBGAJO_01565	K03469
GPLBGAJO_01567	K07031
GPLBGAJO_01568	K15669
GPLBGAJO_01569	K03273
GPLBGAJO_01571	K01277
GPLBGAJO_01572	K03648
GPLBGAJO_01574	K03801
GPLBGAJO_01575	K03820
GPLBGAJO_01576	K07056
GPLBGAJO_01578	K00496
GPLBGAJO_01583	K04014
GPLBGAJO_01585	K06217
GPLBGAJO_01586	K22205
GPLBGAJO_01591	K00945
GPLBGAJO_01593	K02003
GPLBGAJO_01597	K03768
GPLBGAJO_01603	K03386
GPLBGAJO_01607	K02517
GPLBGAJO_01608	K06207
GPLBGAJO_01610	K02313
GPLBGAJO_01611	K01081
GPLBGAJO_01612	K08693
GPLBGAJO_01614	K02004
GPLBGAJO_01615	K02939
GPLBGAJO_01616	K02963
GPLBGAJO_01617	K02990
GPLBGAJO_01618	K02343
GPLBGAJO_01621	K03470
GPLBGAJO_01623	K10716
GPLBGAJO_01626	K02902
GPLBGAJO_01627	K02913
GPLBGAJO_01630	K00773
GPLBGAJO_01632	K03183
GPLBGAJO_01633	K03978
GPLBGAJO_01635	K03823
GPLBGAJO_01636	K02871
GPLBGAJO_01637	K02996
GPLBGAJO_01638	K02967
GPLBGAJO_01639	K02357
GPLBGAJO_01640	K01256
GPLBGAJO_01647	K00826
GPLBGAJO_01651	K03531
GPLBGAJO_01652	K03590
GPLBGAJO_01654	K01924
GPLBGAJO_01655	K02563
GPLBGAJO_01656	K03588
GPLBGAJO_01657	K01925
GPLBGAJO_01680	K07004
GPLBGAJO_01683	K04763
GPLBGAJO_01685	K06178
GPLBGAJO_01688	K03495
GPLBGAJO_01690	K01889
GPLBGAJO_01693	K03977
GPLBGAJO_01694	K03595
GPLBGAJO_01696	K02337
GPLBGAJO_01697	K02346
GPLBGAJO_01700	K00088
GPLBGAJO_01701	K00949
GPLBGAJO_01704	K01673
GPLBGAJO_01705	K00600
GPLBGAJO_01706	K17103
GPLBGAJO_01708	K07124
GPLBGAJO_01713	K00452
GPLBGAJO_01714	K03116
GPLBGAJO_01715	K02433
GPLBGAJO_01717	K11991
GPLBGAJO_01718	K13703
GPLBGAJO_01719	K00259
GPLBGAJO_01721	K07588
GPLBGAJO_01724	K01775
GPLBGAJO_01726	K05396
GPLBGAJO_01730	K01715
GPLBGAJO_01736	K09760
GPLBGAJO_01738	K00684
GPLBGAJO_01739	K02552
GPLBGAJO_01740	K19222
GPLBGAJO_01741	K15640
GPLBGAJO_01745	K03564
GPLBGAJO_01746	K03111
GPLBGAJO_01748	K05799
GPLBGAJO_01758	K01069
GPLBGAJO_01765	K09954
GPLBGAJO_01772	K03650
GPLBGAJO_01778	K04084
GPLBGAJO_01779	K03271
GPLBGAJO_01780	K03439
GPLBGAJO_01781	K01911
GPLBGAJO_01782	K03769
GPLBGAJO_01784	K03771
GPLBGAJO_01785	K03924
GPLBGAJO_01786	K02342
GPLBGAJO_01792	K01776
GPLBGAJO_01794	K00058
GPLBGAJO_01798	K03624
GPLBGAJO_01799	K02503
GPLBGAJO_01800	K01159
GPLBGAJO_01806	K01647
GPLBGAJO_01809	K13274
GPLBGAJO_01810	K01969
GPLBGAJO_01811	K00616
GPLBGAJO_01812	K00721
GPLBGAJO_01813	K02114
GPLBGAJO_01814	K02112
GPLBGAJO_01815	K03474
GPLBGAJO_01820	K01872
GPLBGAJO_01824	K00054
GPLBGAJO_01825	K01823
GPLBGAJO_01831	K07636
GPLBGAJO_01832	K07658
GPLBGAJO_01835	K02434
GPLBGAJO_01836	K01597
GPLBGAJO_01840	K00067
GPLBGAJO_01844	K06168
GPLBGAJO_01848	K09973
GPLBGAJO_01849	K09710
GPLBGAJO_01850	K03524
GPLBGAJO_01851	K03525
GPLBGAJO_01852	K07056
GPLBGAJO_01857	K03773
GPLBGAJO_01859	K00261
GPLBGAJO_01860	K09001
GPLBGAJO_01864	K00432
GPLBGAJO_01865	K04077
GPLBGAJO_01866	K04078
GPLBGAJO_01867	K03075
GPLBGAJO_01871	K04773
GPLBGAJO_01873	K01756
GPLBGAJO_01876	K16066
GPLBGAJO_01880	K02337
GPLBGAJO_01881	K03088
GPLBGAJO_01885	K00946
GPLBGAJO_01886	K03671
GPLBGAJO_01888	K19701
GPLBGAJO_01893	K03767
GPLBGAJO_01894	K00927
GPLBGAJO_01895	K00648
GPLBGAJO_01896	K01641
GPLBGAJO_01900	K00508
GPLBGAJO_01902	K04075
GPLBGAJO_01904	K00648
GPLBGAJO_01905	K03442
GPLBGAJO_01906	K06147
GPLBGAJO_01909	K06881
GPLBGAJO_01914	K01918
GPLBGAJO_01915	K00703
GPLBGAJO_01917	K03856
GPLBGAJO_01918	K00133
GPLBGAJO_01919	K02613
GPLBGAJO_01923	K01591
GPLBGAJO_01926	K04564
GPLBGAJO_01929	K01955
GPLBGAJO_01931	K00566
GPLBGAJO_01933	K01589
GPLBGAJO_01934	K01588
GPLBGAJO_01937	K00525
GPLBGAJO_01939	K07098
GPLBGAJO_01943	K07301
GPLBGAJO_01947	K01883
GPLBGAJO_01953	K00981
GPLBGAJO_01954	K00261
GPLBGAJO_01955	K01613
GPLBGAJO_01957	K03282
GPLBGAJO_01958	K00167
GPLBGAJO_01962	K01520
GPLBGAJO_01963	K00973
GPLBGAJO_01966	K00074
GPLBGAJO_01968	K03628
GPLBGAJO_01969	K01595
GPLBGAJO_01970	K09022
GPLBGAJO_01972	K01734
GPLBGAJO_01973	K03640
GPLBGAJO_01974	K07277
GPLBGAJO_01975	K00806
GPLBGAJO_01979	K02371
GPLBGAJO_01980	K03797
GPLBGAJO_01981	K00940
GPLBGAJO_01991	K01760
GPLBGAJO_01994	K03664
GPLBGAJO_01998	K03671
GPLBGAJO_02003	K02356
GPLBGAJO_02004	K01480
GPLBGAJO_02005	K04487
GPLBGAJO_02011	K01681
GPLBGAJO_02013	K02834
GPLBGAJO_02014	K09808
GPLBGAJO_02015	K01056
GPLBGAJO_02021	K05606
GPLBGAJO_02025	K04487
GPLBGAJO_02026	K22068
GPLBGAJO_02027	K13628
GPLBGAJO_02031	K07478
GPLBGAJO_02032	K02428
GPLBGAJO_02034	K02115
GPLBGAJO_02035	K02111
GPLBGAJO_02037	K02109
GPLBGAJO_02038	K02110
GPLBGAJO_02039	K02108
GPLBGAJO_02045	K05366
GPLBGAJO_02046	K00265
GPLBGAJO_02048	K03424
GPLBGAJO_02050	K16191
GPLBGAJO_02052	K03272
GPLBGAJO_02053	K07027
GPLBGAJO_02054	K01579
GPLBGAJO_02056	K04485
GPLBGAJO_02057	K03561
GPLBGAJO_02061	K02523
GPLBGAJO_02068	K05595
GPLBGAJO_02069	K02612
GPLBGAJO_02070	K02611
GPLBGAJO_02074	K02609
GPLBGAJO_02085	K01142
GPLBGAJO_02089	K03671
GPLBGAJO_02091	K01661
GPLBGAJO_02094	K08325
GPLBGAJO_02097	K01895
GPLBGAJO_02103	K03775
GPLBGAJO_02106	K09781
GPLBGAJO_02107	K01270
GPLBGAJO_02109	K03551
GPLBGAJO_02110	K18979
GPLBGAJO_02112	K03742
GPLBGAJO_02115	K02836
GPLBGAJO_02116	K02557
GPLBGAJO_02119	K01921
GPLBGAJO_02120	K03392
GPLBGAJO_02123	K01524
GPLBGAJO_02131	K07091
GPLBGAJO_02133	K01873
GPLBGAJO_02134	K02884
GPLBGAJO_02135	K02888
GPLBGAJO_02136	K02899
GPLBGAJO_02137	K06997
GPLBGAJO_02139	K07456
GPLBGAJO_02142	K00831
GPLBGAJO_02143	K00058
GPLBGAJO_02150	K04930
GPLBGAJO_02157	K00128
GPLBGAJO_02159	K21572
GPLBGAJO_02164	K08191
GPLBGAJO_02165	K00059
GPLBGAJO_02166	K00874
GPLBGAJO_02167	K01625
GPLBGAJO_02170	K05982
GPLBGAJO_02171	K02622
GPLBGAJO_02172	K02621
GPLBGAJO_02177	K02338
GPLBGAJO_02184	K07386
GPLBGAJO_02185	K01673
GPLBGAJO_02188	K01903
GPLBGAJO_02191	K13236
GPLBGAJO_02197	K06942
GPLBGAJO_02207	K20742
GPLBGAJO_02211	K03101
GPLBGAJO_02213	K01870
GPLBGAJO_02218	K07003
GPLBGAJO_02219	K00604
GPLBGAJO_02220	K03100
GPLBGAJO_02221	K00215
GPLBGAJO_02222	K07082
