INDECMBL_00001	K09005
INDECMBL_00199	K15977
INDECMBL_00200	K01710
INDECMBL_00201	K00067
INDECMBL_00202	K01790
INDECMBL_00203	K00973
INDECMBL_00205	K00645
INDECMBL_00206	K00287
INDECMBL_00208	K00560
INDECMBL_00209	K08999
INDECMBL_00210	K00162
INDECMBL_00211	K23025
INDECMBL_00212	K15519
INDECMBL_00213	K00789
INDECMBL_00214	K01740
INDECMBL_00215	K00641
INDECMBL_00216	K07397
INDECMBL_00217	K10764
INDECMBL_00218	K00548
INDECMBL_00219	K00548
INDECMBL_00220	K00297
INDECMBL_00221	K01990
INDECMBL_00225	K11617
INDECMBL_00226	K00208
INDECMBL_00227	K03631
INDECMBL_00229	K13038
INDECMBL_00232	K01714
INDECMBL_00234	K01972
INDECMBL_00235	K02493
INDECMBL_00236	K03828
INDECMBL_00237	K11752
INDECMBL_00238	K07107
INDECMBL_00239	K02313
INDECMBL_00240	K01104
INDECMBL_00241	K07056
INDECMBL_00242	K07082
INDECMBL_00243	K00657
INDECMBL_00244	K01778
INDECMBL_00245	K04771
INDECMBL_00246	K00554
INDECMBL_00248	K02884
INDECMBL_00251	K07698
INDECMBL_00252	K02503
INDECMBL_00253	K03624
INDECMBL_00256	K02014
INDECMBL_00259	K03811
INDECMBL_00262	K01251
INDECMBL_00264	K01736
INDECMBL_00265	K11102
INDECMBL_00266	K03282
INDECMBL_00268	K07456
INDECMBL_00269	K03648
INDECMBL_00272	K03113
INDECMBL_00278	K01183
INDECMBL_00283	K11755
INDECMBL_00284	K02500
INDECMBL_00285	K01814
INDECMBL_00286	K02501
INDECMBL_00287	K01089
INDECMBL_00288	K00817
INDECMBL_00289	K00013
INDECMBL_00290	K00765
INDECMBL_00293	K07461
INDECMBL_00295	K00059
INDECMBL_00296	K01902
INDECMBL_00297	K02356
INDECMBL_00298	K00677
INDECMBL_00299	K16363
INDECMBL_00300	K02536
INDECMBL_00301	K06885
INDECMBL_00302	K07713
INDECMBL_00303	K06925
INDECMBL_00305	K00318
INDECMBL_00310	K11749
INDECMBL_00313	K04759
INDECMBL_00315	K01262
INDECMBL_00317	K00239
INDECMBL_00318	K00240
INDECMBL_00323	K07533
INDECMBL_00326	K00088
INDECMBL_00331	K05834
INDECMBL_00335	K01136
INDECMBL_00336	K07025
INDECMBL_00337	K02836
INDECMBL_00338	K15738
INDECMBL_00340	K01620
INDECMBL_00341	K01354
INDECMBL_00342	K01738
INDECMBL_00343	K00652
INDECMBL_00344	K00626
INDECMBL_00345	K01896
INDECMBL_00346	K02338
INDECMBL_00350	K06217
INDECMBL_00351	K01923
INDECMBL_00354	K00791
INDECMBL_00355	K10716
INDECMBL_00356	K21556
INDECMBL_00357	K03551
INDECMBL_00358	K18979
INDECMBL_00359	K02529
INDECMBL_00363	K21572
INDECMBL_00369	K16211
INDECMBL_00370	K00029
INDECMBL_00371	K03550
INDECMBL_00373	K02437
INDECMBL_00374	K02950
INDECMBL_00375	K02992
INDECMBL_00376	K02355
INDECMBL_00377	K02946
INDECMBL_00378	K02906
INDECMBL_00379	K02926
INDECMBL_00380	K02892
INDECMBL_00381	K02886
INDECMBL_00382	K02965
INDECMBL_00383	K02890
INDECMBL_00384	K02982
INDECMBL_00385	K02878
INDECMBL_00387	K02961
INDECMBL_00388	K02874
INDECMBL_00389	K02895
INDECMBL_00390	K02931
INDECMBL_00391	K02954
INDECMBL_00392	K02994
INDECMBL_00393	K02933
INDECMBL_00394	K02881
INDECMBL_00395	K02988
INDECMBL_00396	K02907
INDECMBL_00397	K02876
INDECMBL_00398	K03076
INDECMBL_00399	K02518
INDECMBL_00401	K02952
INDECMBL_00402	K02948
INDECMBL_00403	K02986
INDECMBL_00404	K03040
INDECMBL_00405	K02879
INDECMBL_00406	K01956
INDECMBL_00407	K01689
INDECMBL_00408	K01647
INDECMBL_00410	K01887
INDECMBL_00413	K03106
INDECMBL_00414	K01491
INDECMBL_00416	K06991
INDECMBL_00417	K10026
INDECMBL_00419	K09808
INDECMBL_00420	K01697
INDECMBL_00424	K03650
INDECMBL_00429	K18059
INDECMBL_00430	K01069
INDECMBL_00438	K07116
INDECMBL_00439	K00754
INDECMBL_00445	K02067
INDECMBL_00446	K01448
INDECMBL_00450	K00134
INDECMBL_00451	K00850
INDECMBL_00453	K01409
INDECMBL_00454	K09761
INDECMBL_00458	K00259
INDECMBL_00461	K01939
INDECMBL_00462	K03711
INDECMBL_00463	K00951
INDECMBL_00466	K01809
INDECMBL_00470	K00138
INDECMBL_00471	K09959
INDECMBL_00478	K03744
INDECMBL_00483	K01874
INDECMBL_00487	K22766
INDECMBL_00510	K07443
INDECMBL_00511	K03439
INDECMBL_00512	K07636
INDECMBL_00513	K07658
INDECMBL_00516	K01866
INDECMBL_00517	K00091
INDECMBL_00519	K01465
INDECMBL_00520	K00721
INDECMBL_00522	K01719
INDECMBL_00524	K03718
INDECMBL_00525	K06973
INDECMBL_00526	K01869
INDECMBL_00527	K09811
INDECMBL_00529	K06153
INDECMBL_00530	K03177
INDECMBL_00531	K03517
INDECMBL_00532	K00970
INDECMBL_00533	K02259
INDECMBL_00536	K01990
INDECMBL_00538	K03702
INDECMBL_00541	K12373
INDECMBL_00544	K01903
INDECMBL_00545	K01586
INDECMBL_00546	K02371
INDECMBL_00547	K01816
INDECMBL_00549	K13444
INDECMBL_00550	K06888
INDECMBL_00551	K06888
INDECMBL_00554	K21572
INDECMBL_00555	K04043
INDECMBL_00556	K19222
INDECMBL_00557	K02361
INDECMBL_00558	K02551
INDECMBL_00559	K01661
INDECMBL_00560	K02548
INDECMBL_00563	K01911
INDECMBL_00564	K01969
INDECMBL_00568	K01679
INDECMBL_00571	K00537
INDECMBL_00572	K02887
INDECMBL_00573	K02916
INDECMBL_00574	K02520
INDECMBL_00575	K01868
INDECMBL_00577	K07106
INDECMBL_00578	K00031
INDECMBL_00581	K00945
INDECMBL_00582	K01338
INDECMBL_00583	K03088
INDECMBL_00589	K21572
INDECMBL_00593	K03595
INDECMBL_00602	K00616
INDECMBL_00608	K23007
INDECMBL_00609	K01206
INDECMBL_00611	K17290
INDECMBL_00616	K01783
INDECMBL_00617	K03086
INDECMBL_00618	K00962
INDECMBL_00619	K02956
INDECMBL_00620	K01963
INDECMBL_00621	K01624
INDECMBL_00623	K03437
INDECMBL_00625	K03183
INDECMBL_00626	K03499
INDECMBL_00627	K03498
INDECMBL_00628	K07478
INDECMBL_00629	K03218
INDECMBL_00632	K03307
INDECMBL_00634	K09164
INDECMBL_00635	K21417
INDECMBL_00636	K02340
INDECMBL_00639	K02557
INDECMBL_00641	K03657
INDECMBL_00642	K01436
INDECMBL_00644	K03655
INDECMBL_00645	K01890
INDECMBL_00648	K22757
INDECMBL_00651	K00600
INDECMBL_00652	K17758
INDECMBL_00653	K03695
INDECMBL_00654	K03664
INDECMBL_00658	K00266
INDECMBL_00659	K00265
INDECMBL_00660	K09001
INDECMBL_00662	K03561
INDECMBL_00665	K11754
INDECMBL_00669	K21572
INDECMBL_00670	K02529
INDECMBL_00677	K01686
INDECMBL_00681	K00469
INDECMBL_00682	K15923
INDECMBL_00691	K01883
INDECMBL_00692	K01495
INDECMBL_00695	K01881
INDECMBL_00702	K02968
INDECMBL_00703	K03628
INDECMBL_00705	K07095
INDECMBL_00707	K06173
INDECMBL_00708	K18890
INDECMBL_00709	K18672
INDECMBL_00710	K00796
INDECMBL_00712	K02033
INDECMBL_00713	K01803
INDECMBL_00714	K02687
INDECMBL_00716	K00432
INDECMBL_00717	K01758
INDECMBL_00718	K01463
INDECMBL_00719	K00078
INDECMBL_00721	K00783
INDECMBL_00722	K07058
INDECMBL_00723	K04066
INDECMBL_00725	K02990
INDECMBL_00726	K02963
INDECMBL_00727	K02939
INDECMBL_00729	K01892
INDECMBL_00733	K03534
INDECMBL_00734	K02429
INDECMBL_00735	K00059
INDECMBL_00738	K00059
INDECMBL_00739	K05592
INDECMBL_00746	K03929
INDECMBL_00757	K00384
INDECMBL_00758	K22071
INDECMBL_00759	K01838
INDECMBL_00760	K00691
INDECMBL_00761	K21575
INDECMBL_00762	K01187
INDECMBL_00763	K01126
INDECMBL_00765	K05770
INDECMBL_00766	K01597
INDECMBL_00769	K06178
INDECMBL_00771	K13680
INDECMBL_00774	K00362
INDECMBL_00780	K03783
INDECMBL_00781	K09931
INDECMBL_00783	K03820
INDECMBL_00784	K00798
INDECMBL_00786	K03070
INDECMBL_00787	K15537
INDECMBL_00789	K16264
INDECMBL_00792	K00131
INDECMBL_00796	K01077
INDECMBL_00802	K03321
INDECMBL_00808	K03453
INDECMBL_00816	K01159
INDECMBL_00821	K04487
INDECMBL_00822	K00819
INDECMBL_00823	K03215
INDECMBL_00826	K07444
INDECMBL_00836	K01695
INDECMBL_00837	K01696
INDECMBL_00838	K01817
INDECMBL_00839	K01609
INDECMBL_00840	K00766
INDECMBL_00841	K01658
INDECMBL_00842	K01657
INDECMBL_00848	K10716
INDECMBL_00849	K03310
INDECMBL_00851	K00248
INDECMBL_00853	K03733
INDECMBL_00860	K00729
INDECMBL_00861	K02358
INDECMBL_00864	K02601
INDECMBL_00865	K02867
INDECMBL_00866	K02863
INDECMBL_00867	K02864
INDECMBL_00868	K02935
INDECMBL_00869	K03043
INDECMBL_00870	K03046
INDECMBL_00873	K02837
INDECMBL_00874	K01823
INDECMBL_00875	K01737
INDECMBL_00876	K03564
INDECMBL_00881	K04079
INDECMBL_00884	K08869
INDECMBL_00885	K00648
INDECMBL_00888	K06187
INDECMBL_00889	K00658
INDECMBL_00890	K02342
INDECMBL_00892	K03742
INDECMBL_00893	K02902
INDECMBL_00894	K02913
INDECMBL_00896	K03110
INDECMBL_00898	K14441
INDECMBL_00901	K22136
INDECMBL_00902	K01951
INDECMBL_00904	K01937
INDECMBL_00905	K02106
INDECMBL_00906	K01246
INDECMBL_00907	K02357
INDECMBL_00908	K02967
INDECMBL_00910	K02996
INDECMBL_00911	K02871
INDECMBL_00912	K02335
INDECMBL_00913	K01662
INDECMBL_00914	K11991
INDECMBL_00915	K03704
INDECMBL_00917	K01876
INDECMBL_00918	K03296
INDECMBL_00922	K13789
INDECMBL_00924	K07238
INDECMBL_00925	K00946
INDECMBL_00928	K13628
INDECMBL_00929	K09014
INDECMBL_00930	K09013
INDECMBL_00931	K09015
INDECMBL_00932	K11717
INDECMBL_00933	K02426
INDECMBL_00939	K00969
INDECMBL_00940	K00942
INDECMBL_00954	K01758
INDECMBL_00955	K03269
INDECMBL_00956	K03665
INDECMBL_00961	K07164
INDECMBL_00963	K00912
INDECMBL_00964	K03644
INDECMBL_00970	K00053
INDECMBL_00971	K01653
INDECMBL_00972	K01652
INDECMBL_00973	K01687
INDECMBL_00974	K00128
INDECMBL_00976	K21065
INDECMBL_00977	K22468
INDECMBL_00978	K22468
INDECMBL_00979	K04084
INDECMBL_00980	K04075
INDECMBL_00982	K01940
INDECMBL_00983	K00145
INDECMBL_00984	K00286
INDECMBL_00985	K00821
INDECMBL_00986	K13043
INDECMBL_00987	K00930
INDECMBL_00988	K01438
INDECMBL_00989	K01755
INDECMBL_00999	K00382
INDECMBL_01001	K03315
INDECMBL_01002	K03466
INDECMBL_01004	K21430
INDECMBL_01007	K03496
INDECMBL_01008	K03497
INDECMBL_01010	K00215
INDECMBL_01011	K03100
INDECMBL_01016	K03572
INDECMBL_01018	K00794
INDECMBL_01020	K03629
INDECMBL_01023	K00940
INDECMBL_01024	K06881
INDECMBL_01026	K01802
INDECMBL_01028	K03437
INDECMBL_01034	K16066
INDECMBL_01036	K03924
INDECMBL_01039	K07114
INDECMBL_01040	K07114
INDECMBL_01046	K01889
INDECMBL_01047	K00057
INDECMBL_01049	K07133
INDECMBL_01050	K13051
INDECMBL_01054	K03453
INDECMBL_01055	K05841
INDECMBL_01058	K01209
INDECMBL_01062	K09838
INDECMBL_01063	K05819
INDECMBL_01066	K03300
INDECMBL_01069	K03782
INDECMBL_01071	K06147
INDECMBL_01074	K15537
INDECMBL_01075	K00847
INDECMBL_01079	K03320
INDECMBL_01080	K04751
INDECMBL_01081	K08369
INDECMBL_01082	K00008
INDECMBL_01083	K05989
INDECMBL_01092	K05349
INDECMBL_01096	K02168
INDECMBL_01100	K01259
INDECMBL_01104	K21572
INDECMBL_01109	K00821
INDECMBL_01110	K23424
INDECMBL_01111	K08974
INDECMBL_01113	K00014
INDECMBL_01115	K02428
INDECMBL_01117	K01462
INDECMBL_01118	K07447
INDECMBL_01119	K02945
INDECMBL_01120	K02825
INDECMBL_01121	K00609
INDECMBL_01123	K00784
INDECMBL_01124	K00275
INDECMBL_01126	K00937
INDECMBL_01127	K01524
INDECMBL_01129	K02343
INDECMBL_01133	K01144
INDECMBL_01137	K00605
INDECMBL_01138	K01262
INDECMBL_01139	K01733
INDECMBL_01140	K00872
INDECMBL_01141	K12524
INDECMBL_01142	K03696
INDECMBL_01146	K10947
INDECMBL_01148	K04761
INDECMBL_01149	K10598
INDECMBL_01152	K04565
INDECMBL_01153	K00615
INDECMBL_01154	K00615
INDECMBL_01157	K04762
INDECMBL_01159	K00891
INDECMBL_01164	K00010
INDECMBL_01168	K08641
INDECMBL_01169	K14445
INDECMBL_01171	K02564
INDECMBL_01173	K03321
INDECMBL_01175	K00384
INDECMBL_01176	K06158
INDECMBL_01184	K01673
INDECMBL_01190	K01061
INDECMBL_01191	K00573
INDECMBL_01192	K03810
INDECMBL_01194	K06997
INDECMBL_01197	K00632
INDECMBL_01198	K07516
INDECMBL_01203	K01206
INDECMBL_01206	K01206
INDECMBL_01208	K01186
INDECMBL_01214	K05349
INDECMBL_01216	K01886
INDECMBL_01218	K01885
INDECMBL_01220	K03495
INDECMBL_01222	K02341
INDECMBL_01223	K00927
INDECMBL_01230	K01945
INDECMBL_01233	K02613
INDECMBL_01235	K01990
INDECMBL_01239	K02108
INDECMBL_01242	K02137
INDECMBL_01243	K02111
INDECMBL_01244	K02115
INDECMBL_01248	K01520
INDECMBL_01249	K00966
INDECMBL_01253	K04096
INDECMBL_01254	K04096
INDECMBL_01255	K01867
INDECMBL_01257	K03088
INDECMBL_01259	K13509
INDECMBL_01261	K01665
INDECMBL_01262	K03553
INDECMBL_01264	K07146
INDECMBL_01267	K05366
INDECMBL_01268	K01737
INDECMBL_01269	K01715
INDECMBL_01273	K01134
INDECMBL_01282	K03977
INDECMBL_01285	K02314
INDECMBL_01286	K01962
INDECMBL_01289	K00773
INDECMBL_01290	K00566
INDECMBL_01291	K12035
INDECMBL_01297	K03555
INDECMBL_01299	K15518
INDECMBL_01300	K09125
INDECMBL_01301	K06182
INDECMBL_01304	K03544
INDECMBL_01305	K01358
INDECMBL_01306	K03545
INDECMBL_01307	K02959
INDECMBL_01314	K02014
INDECMBL_01318	K01029
INDECMBL_01319	K01028
INDECMBL_01320	K03522
INDECMBL_01321	K03521
INDECMBL_01322	K13444
INDECMBL_01323	K03307
INDECMBL_01324	K01805
INDECMBL_01325	K00854
INDECMBL_01326	K00101
INDECMBL_01329	K00700
INDECMBL_01330	K16146
INDECMBL_01331	K16147
INDECMBL_01334	K01051
INDECMBL_01340	K06902
INDECMBL_01341	K23010
INDECMBL_01342	K07305
INDECMBL_01343	K07305
INDECMBL_01344	K00382
INDECMBL_01346	K16148
INDECMBL_01347	K00975
INDECMBL_01348	K00948
INDECMBL_01349	K02897
INDECMBL_01350	K01056
INDECMBL_01353	K11753
INDECMBL_01354	K01875
INDECMBL_01356	K02528
INDECMBL_01357	K06213
INDECMBL_01358	K00058
INDECMBL_01359	K03741
INDECMBL_01360	K00928
INDECMBL_01361	K00657
INDECMBL_01362	K13703
INDECMBL_01363	K03474
INDECMBL_01364	K00858
INDECMBL_01366	K00806
INDECMBL_01367	K07277
INDECMBL_01371	K22074
INDECMBL_01372	K06888
INDECMBL_01373	K14742
INDECMBL_01375	K02005
INDECMBL_01376	K02004
INDECMBL_01377	K02004
INDECMBL_01378	K02003
INDECMBL_01380	K08976
INDECMBL_01381	K07152
INDECMBL_01386	K02257
INDECMBL_01390	K00847
INDECMBL_01393	K03296
INDECMBL_01398	K03701
INDECMBL_01399	K00681
INDECMBL_01400	K08682
INDECMBL_01401	K01840
INDECMBL_01402	K01610
INDECMBL_01403	K02517
INDECMBL_01407	K14085
INDECMBL_01410	K17103
INDECMBL_01411	K00820
INDECMBL_01413	K06861
INDECMBL_01415	K03118
INDECMBL_01416	K03654
INDECMBL_01417	K12736
INDECMBL_01419	K06878
INDECMBL_01421	K18889
INDECMBL_01422	K03625
INDECMBL_01425	K00254
INDECMBL_01426	K01235
INDECMBL_01427	K05970
INDECMBL_01436	K01585
INDECMBL_01437	K01480
INDECMBL_01448	K00793
INDECMBL_01449	K00097
INDECMBL_01450	K01565
INDECMBL_01453	K00648
INDECMBL_01454	K02160
INDECMBL_01455	K01961
INDECMBL_01456	K12373
INDECMBL_01457	K05970
INDECMBL_01458	K00133
INDECMBL_01459	K01775
INDECMBL_01460	K00857
INDECMBL_01462	K07056
INDECMBL_01463	K07462
INDECMBL_01464	K01810
INDECMBL_01467	K03703
INDECMBL_01468	K01934
INDECMBL_01469	K03101
INDECMBL_01472	K01870
INDECMBL_01473	K02014
INDECMBL_01475	K00262
INDECMBL_01476	K04485
INDECMBL_01477	K07027
INDECMBL_01478	K01579
INDECMBL_01479	K01918
INDECMBL_01480	K00703
INDECMBL_01483	K00865
INDECMBL_01484	K00384
INDECMBL_01486	K16089
INDECMBL_01487	K00059
INDECMBL_01489	K02112
INDECMBL_01491	K16089
INDECMBL_01498	K00278
INDECMBL_01499	K00767
INDECMBL_01500	K09903
INDECMBL_01501	K02838
INDECMBL_01503	K01929
INDECMBL_01504	K01895
INDECMBL_01505	K14393
INDECMBL_01507	K03797
INDECMBL_01508	K02034
INDECMBL_01509	K05837
INDECMBL_01510	K05515
INDECMBL_01512	K03570
INDECMBL_01513	K03569
INDECMBL_01514	K00602
INDECMBL_01515	K08968
INDECMBL_01520	K04077
INDECMBL_01521	K04078
INDECMBL_01526	K06168
INDECMBL_01527	K07112
INDECMBL_01528	K07112
INDECMBL_01529	K03168
INDECMBL_01531	K13444
INDECMBL_01537	K07303
INDECMBL_01540	K09760
INDECMBL_01541	K05844
INDECMBL_01547	K03671
INDECMBL_01549	K02337
INDECMBL_01550	K03723
INDECMBL_01553	K01874
INDECMBL_01554	K11418
INDECMBL_01563	K10027
INDECMBL_01566	K04659
INDECMBL_01568	K04564
INDECMBL_01569	K00764
INDECMBL_01570	K00852
INDECMBL_01571	K03469
INDECMBL_01572	K11175
INDECMBL_01573	K02078
INDECMBL_01574	K09458
INDECMBL_01575	K03685
INDECMBL_01577	K00873
INDECMBL_01578	K02346
INDECMBL_01581	K14286
INDECMBL_01584	K01681
INDECMBL_01585	K01206
INDECMBL_01587	K03307
INDECMBL_01588	K01714
INDECMBL_01589	K05989
INDECMBL_01594	K00117
INDECMBL_01596	K07053
INDECMBL_01597	K10805
INDECMBL_01598	K00626
INDECMBL_01600	K12941
INDECMBL_01602	K07263
INDECMBL_01607	K03111
INDECMBL_01608	K03575
INDECMBL_01609	K03530
INDECMBL_01610	K08301
INDECMBL_01612	K01872
INDECMBL_01615	K05396
INDECMBL_01617	K01845
INDECMBL_01618	K03286
INDECMBL_01622	K04567
INDECMBL_01623	K03801
INDECMBL_01625	K03470
INDECMBL_01634	K00351
INDECMBL_01635	K00350
INDECMBL_01636	K00349
INDECMBL_01637	K00348
INDECMBL_01638	K00347
INDECMBL_01639	K00346
INDECMBL_01641	K06195
INDECMBL_01642	K00294
INDECMBL_01644	K03501
INDECMBL_01645	K00508
INDECMBL_01646	K00812
INDECMBL_01647	K11927
INDECMBL_01650	K04516
INDECMBL_01651	K04517
INDECMBL_01652	K10206
INDECMBL_01653	K04518
INDECMBL_01655	K11624
INDECMBL_01656	K03786
INDECMBL_01657	K04763
INDECMBL_01659	K07636
INDECMBL_01660	K00859
INDECMBL_01662	K01735
INDECMBL_01663	K01595
INDECMBL_01664	K03718
INDECMBL_01669	K02621
INDECMBL_01670	K02622
INDECMBL_01673	K06942
INDECMBL_01677	K00831
INDECMBL_01678	K00058
INDECMBL_01679	K01495
INDECMBL_01680	K07304
INDECMBL_01681	K09810
INDECMBL_01683	K01465
INDECMBL_01686	K06167
INDECMBL_01688	K03564
INDECMBL_01689	K10773
INDECMBL_01691	K03088
INDECMBL_01692	K03701
INDECMBL_01701	K01893
INDECMBL_01702	K03092
INDECMBL_01707	K03561
INDECMBL_01709	K03424
INDECMBL_01711	K00658
INDECMBL_01712	K00164
INDECMBL_01713	K03502
INDECMBL_01714	K03503
INDECMBL_01716	K03307
INDECMBL_01717	K01990
INDECMBL_01722	K07304
INDECMBL_01723	K01785
INDECMBL_01726	K03327
INDECMBL_01727	K01302
INDECMBL_01728	K02481
INDECMBL_01730	K03686
INDECMBL_01731	K03687
INDECMBL_01732	K07071
INDECMBL_01734	K00826
INDECMBL_01737	K06199
INDECMBL_01739	K04751
INDECMBL_01740	K03320
INDECMBL_01742	K01433
INDECMBL_01744	K01591
INDECMBL_01745	K02835
INDECMBL_01748	K01933
INDECMBL_01749	K01915
INDECMBL_01750	K01915
INDECMBL_01751	K07301
INDECMBL_01753	K04659
INDECMBL_01756	K11166
INDECMBL_01757	K01784
INDECMBL_01761	K06147
INDECMBL_01762	K01835
INDECMBL_01765	K02909
INDECMBL_01766	K12368
INDECMBL_01767	K18707
INDECMBL_01772	K01955
INDECMBL_01774	K16092
INDECMBL_01776	K03088
INDECMBL_01780	K01756
INDECMBL_01784	K05888
INDECMBL_01789	K03088
INDECMBL_01798	K03671
INDECMBL_01799	K09117
INDECMBL_01800	K03531
INDECMBL_01801	K03590
INDECMBL_01803	K01924
INDECMBL_01804	K02563
INDECMBL_01805	K03588
INDECMBL_01806	K01925
INDECMBL_01807	K01000
INDECMBL_01808	K01928
INDECMBL_01809	K03587
INDECMBL_01811	K03438
INDECMBL_01812	K03925
INDECMBL_01813	K16050
INDECMBL_01814	K03978
INDECMBL_01818	K01916
INDECMBL_01820	K02316
INDECMBL_01821	K02523
INDECMBL_01822	K06941
INDECMBL_01823	K07568
INDECMBL_01824	K00800
INDECMBL_01826	K08723
INDECMBL_01828	K03630
INDECMBL_01829	K01924
INDECMBL_01831	K03979
INDECMBL_01832	K00939
INDECMBL_01833	K01589
INDECMBL_01834	K01588
INDECMBL_01835	K01284
INDECMBL_01840	K00281
INDECMBL_01841	K00648
INDECMBL_01842	K02066
INDECMBL_01843	K02065
INDECMBL_01845	K00059
INDECMBL_01846	K00627
INDECMBL_01847	K00161
INDECMBL_01849	K03307
INDECMBL_01850	K01607
INDECMBL_01856	K02564
INDECMBL_01859	K03744
INDECMBL_01861	K04659
INDECMBL_01868	K06157
INDECMBL_01869	K00059
INDECMBL_01887	K07260
INDECMBL_01888	K09861
INDECMBL_01889	K06180
INDECMBL_01891	K01921
INDECMBL_01892	K00954
INDECMBL_01894	K00762
INDECMBL_01895	K03524
INDECMBL_01896	K09710
INDECMBL_01897	K03798
INDECMBL_01899	K00981
INDECMBL_01900	K01613
INDECMBL_01901	K01873
INDECMBL_01904	K00812
INDECMBL_01905	K00075
INDECMBL_01906	K07560
INDECMBL_01907	K06949
INDECMBL_01908	K15633
INDECMBL_01910	K01265
INDECMBL_01912	K01182
INDECMBL_01913	K03734
INDECMBL_01920	K08081
INDECMBL_01921	K01669
INDECMBL_01922	K01669
INDECMBL_01923	K06876
INDECMBL_01924	K12118
INDECMBL_01928	K00790
INDECMBL_01932	K03654
INDECMBL_01933	K00604
INDECMBL_01934	K03530
INDECMBL_01935	K07735
INDECMBL_01943	K03307
INDECMBL_01946	K06287
INDECMBL_01947	K03270
INDECMBL_01954	K01476
INDECMBL_01958	K03088
INDECMBL_01961	K16053
INDECMBL_01962	K01594
INDECMBL_01967	K18652
INDECMBL_01968	K01685
INDECMBL_01969	K00041
INDECMBL_01970	K21393
INDECMBL_01971	K21394
INDECMBL_01973	K01625
INDECMBL_01974	K00874
INDECMBL_01978	K00033
INDECMBL_01979	K00851
INDECMBL_01982	K00864
INDECMBL_01983	K00111
INDECMBL_01984	K02440
INDECMBL_01985	K03787
INDECMBL_01987	K00748
INDECMBL_01988	K02238
INDECMBL_01990	K03305
INDECMBL_01991	K01278
INDECMBL_01992	K00054
INDECMBL_01995	K03770
INDECMBL_02001	K03525
INDECMBL_02002	K02469
INDECMBL_02004	K20742
INDECMBL_02005	K07037
INDECMBL_02007	K00606
INDECMBL_02008	K06180
INDECMBL_02010	K01649
INDECMBL_02011	K01703
INDECMBL_02012	K01704
INDECMBL_02013	K09011
INDECMBL_02014	K00052
