LLFADLJE_00001	K02371
LLFADLJE_00438	K02950
LLFADLJE_00440	K00604
LLFADLJE_00441	K03530
LLFADLJE_00442	K07735
LLFADLJE_00443	K00826
LLFADLJE_00449	K02517
LLFADLJE_00451	K01840
LLFADLJE_00452	K02945
LLFADLJE_00453	K10026
LLFADLJE_00454	K00945
LLFADLJE_00460	K06177
LLFADLJE_00461	K02335
LLFADLJE_00462	K07098
LLFADLJE_00469	K02600
LLFADLJE_00470	K02519
LLFADLJE_00479	K02256
LLFADLJE_00480	K03551
LLFADLJE_00481	K18059
LLFADLJE_00482	K01069
LLFADLJE_00484	K02014
LLFADLJE_00486	K15034
LLFADLJE_00488	K03811
LLFADLJE_00490	K17104
LLFADLJE_00492	K01251
LLFADLJE_00495	K01697
LLFADLJE_00496	K09808
LLFADLJE_00499	K06940
LLFADLJE_00500	K01887
LLFADLJE_00501	K00382
LLFADLJE_00502	K00946
LLFADLJE_00505	K03311
LLFADLJE_00507	K01262
LLFADLJE_00508	K11927
LLFADLJE_00511	K03088
LLFADLJE_00514	K00239
LLFADLJE_00515	K00240
LLFADLJE_00516	K03469
LLFADLJE_00518	K11175
LLFADLJE_00519	K02078
LLFADLJE_00520	K09458
LLFADLJE_00521	K03685
LLFADLJE_00523	K00873
LLFADLJE_00532	K03630
LLFADLJE_00533	K03499
LLFADLJE_00534	K03498
LLFADLJE_00538	K01924
LLFADLJE_00540	K01627
LLFADLJE_00542	K14157
LLFADLJE_00547	K01493
LLFADLJE_00548	K03797
LLFADLJE_00549	K03269
LLFADLJE_00550	K00812
LLFADLJE_00553	K16089
LLFADLJE_00554	K03924
LLFADLJE_00557	K07114
LLFADLJE_00558	K07114
LLFADLJE_00563	K01673
LLFADLJE_00565	K03321
LLFADLJE_00567	K03502
LLFADLJE_00568	K03503
LLFADLJE_00569	K11991
LLFADLJE_00570	K01662
LLFADLJE_00573	K01129
LLFADLJE_00574	K10807
LLFADLJE_00575	K10808
LLFADLJE_00578	K05595
LLFADLJE_00585	K02379
LLFADLJE_00590	K06175
LLFADLJE_00591	K06991
LLFADLJE_00592	K00681
LLFADLJE_00594	K02338
LLFADLJE_00596	K03307
LLFADLJE_00598	K02851
LLFADLJE_00602	K08679
LLFADLJE_00605	K01873
LLFADLJE_00608	K08994
LLFADLJE_00610	K06878
LLFADLJE_00614	K02014
LLFADLJE_00615	K01802
LLFADLJE_00617	K02837
LLFADLJE_00621	K01754
LLFADLJE_00622	K00131
LLFADLJE_00624	K01940
LLFADLJE_00625	K00145
LLFADLJE_00626	K00286
LLFADLJE_00627	K00821
LLFADLJE_00628	K13043
LLFADLJE_00629	K00930
LLFADLJE_00630	K01438
LLFADLJE_00631	K01755
LLFADLJE_00633	K00052
LLFADLJE_00634	K01704
LLFADLJE_00635	K01703
LLFADLJE_00636	K01649
LLFADLJE_00638	K00162
LLFADLJE_00640	K05286
LLFADLJE_00641	K03521
LLFADLJE_00642	K03522
LLFADLJE_00643	K08999
LLFADLJE_00644	K03317
LLFADLJE_00645	K00560
LLFADLJE_00646	K00287
LLFADLJE_00650	K01277
LLFADLJE_00652	K07124
LLFADLJE_00656	K00826
LLFADLJE_00665	K01159
LLFADLJE_00668	K05714
LLFADLJE_00669	K01714
LLFADLJE_00670	K00294
LLFADLJE_00672	K18384
LLFADLJE_00673	K00285
LLFADLJE_00678	K11755
LLFADLJE_00679	K02500
LLFADLJE_00680	K01814
LLFADLJE_00681	K02501
LLFADLJE_00682	K01089
LLFADLJE_00683	K00817
LLFADLJE_00684	K00013
LLFADLJE_00685	K00765
LLFADLJE_00688	K01011
LLFADLJE_00689	K01920
LLFADLJE_00690	K11102
LLFADLJE_00692	K18665
LLFADLJE_00694	K04761
LLFADLJE_00697	K05592
LLFADLJE_00698	K00652
LLFADLJE_00703	K03704
LLFADLJE_00705	K23054
LLFADLJE_00711	K00499
LLFADLJE_00714	K00508
LLFADLJE_00717	K05592
LLFADLJE_00722	K02112
LLFADLJE_00725	K00639
LLFADLJE_00727	K07238
LLFADLJE_00736	K19802
LLFADLJE_00739	K01438
LLFADLJE_00741	K06978
LLFADLJE_00745	K02440
LLFADLJE_00746	K00864
LLFADLJE_00750	K07116
LLFADLJE_00752	K12343
LLFADLJE_00753	K19540
LLFADLJE_00758	K09812
LLFADLJE_00761	K01302
LLFADLJE_00764	K03772
LLFADLJE_00765	K01695
LLFADLJE_00767	K01696
LLFADLJE_00768	K01817
LLFADLJE_00769	K01609
LLFADLJE_00770	K00766
LLFADLJE_00771	K01658
LLFADLJE_00772	K01657
LLFADLJE_00773	K01953
LLFADLJE_00774	K02470
LLFADLJE_00775	K00024
LLFADLJE_00776	K01938
LLFADLJE_00777	K14383
LLFADLJE_00779	K10947
LLFADLJE_00783	K08641
LLFADLJE_00785	K00161
LLFADLJE_00786	K00627
LLFADLJE_00788	K00658
LLFADLJE_00790	K00228
LLFADLJE_00794	K01599
LLFADLJE_00796	K01845
LLFADLJE_00797	K01698
LLFADLJE_00798	K01749
LLFADLJE_00799	K02492
LLFADLJE_00802	K01772
LLFADLJE_00803	K08973
LLFADLJE_00805	K06187
LLFADLJE_00807	K00275
LLFADLJE_00809	K01524
LLFADLJE_00810	K00912
LLFADLJE_00812	K07164
LLFADLJE_00814	K03392
LLFADLJE_00815	K00452
LLFADLJE_00816	K00059
LLFADLJE_00817	K23234
LLFADLJE_00820	K00486
LLFADLJE_00821	K01556
LLFADLJE_00822	K00058
LLFADLJE_00824	K00261
LLFADLJE_00826	K03561
LLFADLJE_00829	K11754
LLFADLJE_00830	K06041
LLFADLJE_00831	K02377
LLFADLJE_00832	K01711
LLFADLJE_00840	K07037
LLFADLJE_00841	K00626
LLFADLJE_00842	K20742
LLFADLJE_00844	K02469
LLFADLJE_00845	K03696
LLFADLJE_00846	K01745
LLFADLJE_00848	K01962
LLFADLJE_00850	K11720
LLFADLJE_00851	K00773
LLFADLJE_00852	K06182
LLFADLJE_00855	K11617
LLFADLJE_00856	K01081
LLFADLJE_00857	K01119
LLFADLJE_00859	K01714
LLFADLJE_00860	K02217
LLFADLJE_00861	K05807
LLFADLJE_00863	K13038
LLFADLJE_00865	K01434
LLFADLJE_00866	K03631
LLFADLJE_00867	K00208
LLFADLJE_00870	K06201
LLFADLJE_00871	K12373
LLFADLJE_00873	K01444
LLFADLJE_00874	K02429
LLFADLJE_00875	K03217
LLFADLJE_00876	K01937
LLFADLJE_00877	K02914
LLFADLJE_00878	K01955
LLFADLJE_00880	K03296
LLFADLJE_00884	K01338
LLFADLJE_00886	K02428
LLFADLJE_00888	K01462
LLFADLJE_00889	K07447
LLFADLJE_00890	K00674
LLFADLJE_00893	K02963
LLFADLJE_00894	K02939
LLFADLJE_00896	K12410
LLFADLJE_00897	K00556
LLFADLJE_00899	K00259
LLFADLJE_00900	K06925
LLFADLJE_00901	K07713
LLFADLJE_00902	K06885
LLFADLJE_00903	K02536
LLFADLJE_00905	K00162
LLFADLJE_00908	K01270
LLFADLJE_00909	K03496
LLFADLJE_00910	K03497
LLFADLJE_00912	K00215
LLFADLJE_00914	K01921
LLFADLJE_00915	K00954
LLFADLJE_00917	K00106
LLFADLJE_00918	K07303
LLFADLJE_00919	K03321
LLFADLJE_00921	K00762
LLFADLJE_00923	K03524
LLFADLJE_00924	K09710
LLFADLJE_00925	K03798
LLFADLJE_00927	K00981
LLFADLJE_00928	K01613
LLFADLJE_00932	K07071
LLFADLJE_00934	K00346
LLFADLJE_00935	K00347
LLFADLJE_00936	K00348
LLFADLJE_00937	K00349
LLFADLJE_00938	K00350
LLFADLJE_00939	K00351
LLFADLJE_00941	K13704
LLFADLJE_00942	K06889
LLFADLJE_00943	K05592
LLFADLJE_00947	K02557
LLFADLJE_00948	K03734
LLFADLJE_00950	K01265
LLFADLJE_00953	K15633
LLFADLJE_00959	K01872
LLFADLJE_00962	K02874
LLFADLJE_00963	K02895
LLFADLJE_00964	K02931
LLFADLJE_00965	K02954
LLFADLJE_00966	K02994
LLFADLJE_00967	K02933
LLFADLJE_00968	K02881
LLFADLJE_00969	K02988
LLFADLJE_00970	K02907
LLFADLJE_00971	K02876
LLFADLJE_00972	K03076
LLFADLJE_00973	K02518
LLFADLJE_00975	K02952
LLFADLJE_00976	K02948
LLFADLJE_00977	K02986
LLFADLJE_00978	K03040
LLFADLJE_00979	K02879
LLFADLJE_00982	K01956
LLFADLJE_00983	K01689
LLFADLJE_00984	K01647
LLFADLJE_00986	K19519
LLFADLJE_00989	K02066
LLFADLJE_00990	K02065
LLFADLJE_00994	K00059
LLFADLJE_00996	K22757
LLFADLJE_00997	K02909
LLFADLJE_00998	K00281
LLFADLJE_01000	K11617
LLFADLJE_01001	K07095
LLFADLJE_01002	K06173
LLFADLJE_01003	K18890
LLFADLJE_01004	K18672
LLFADLJE_01005	K00796
LLFADLJE_01006	K22522
LLFADLJE_01009	K06199
LLFADLJE_01010	K09164
LLFADLJE_01012	K01281
LLFADLJE_01020	K01847
LLFADLJE_01021	K01712
LLFADLJE_01023	K01591
LLFADLJE_01024	K15581
LLFADLJE_01026	K01803
LLFADLJE_01027	K02687
LLFADLJE_01030	K11928
LLFADLJE_01036	K07301
LLFADLJE_01037	K01915
LLFADLJE_01038	K01933
LLFADLJE_01039	K02835
LLFADLJE_01041	K02887
LLFADLJE_01042	K02916
LLFADLJE_01043	K02520
LLFADLJE_01044	K15537
LLFADLJE_01045	K05349
LLFADLJE_01048	K00014
LLFADLJE_01050	K08974
LLFADLJE_01052	K02825
LLFADLJE_01053	K00609
LLFADLJE_01055	K00784
LLFADLJE_01059	K00648
LLFADLJE_01060	K04079
LLFADLJE_01066	K03405
LLFADLJE_01068	K00054
LLFADLJE_01069	K01278
LLFADLJE_01070	K01990
LLFADLJE_01071	K02337
LLFADLJE_01073	K03218
LLFADLJE_01075	K07478
LLFADLJE_01079	K08723
LLFADLJE_01080	K00764
LLFADLJE_01081	K00852
LLFADLJE_01082	K02426
LLFADLJE_01087	K03665
LLFADLJE_01089	K01126
LLFADLJE_01090	K03281
LLFADLJE_01091	K14286
LLFADLJE_01095	K08976
LLFADLJE_01097	K12340
LLFADLJE_01098	K14742
LLFADLJE_01102	K00764
LLFADLJE_01103	K04564
LLFADLJE_01104	K03841
LLFADLJE_01105	K00657
LLFADLJE_01106	K00928
LLFADLJE_01108	K03545
LLFADLJE_01109	K01358
LLFADLJE_01110	K03544
LLFADLJE_01111	K02316
LLFADLJE_01113	K01916
LLFADLJE_01116	K15518
LLFADLJE_01117	K00962
LLFADLJE_01118	K02956
LLFADLJE_01119	K01963
LLFADLJE_01120	K01624
LLFADLJE_01122	K03437
LLFADLJE_01124	K03183
LLFADLJE_01125	K22074
LLFADLJE_01128	K01881
LLFADLJE_01130	K02968
LLFADLJE_01131	K05837
LLFADLJE_01132	K05515
LLFADLJE_01134	K03570
LLFADLJE_01135	K03569
LLFADLJE_01136	K00602
LLFADLJE_01138	K08968
LLFADLJE_01149	K00857
LLFADLJE_01150	K01775
LLFADLJE_01153	K13703
LLFADLJE_01154	K03474
LLFADLJE_01156	K00858
LLFADLJE_01158	K00806
LLFADLJE_01159	K07277
LLFADLJE_01162	K01776
LLFADLJE_01164	K04771
LLFADLJE_01165	K01778
LLFADLJE_01166	K00657
LLFADLJE_01167	K07082
LLFADLJE_01170	K07056
LLFADLJE_01171	K01104
LLFADLJE_01172	K02313
LLFADLJE_01173	K07107
LLFADLJE_01176	K20866
LLFADLJE_01177	K11752
LLFADLJE_01178	K03828
LLFADLJE_01179	K02493
LLFADLJE_01180	K07137
LLFADLJE_01182	K00554
LLFADLJE_01184	K02884
LLFADLJE_01185	K00031
LLFADLJE_01187	K02004
LLFADLJE_01189	K07106
LLFADLJE_01195	K00219
LLFADLJE_01196	K06911
LLFADLJE_01200	K01969
LLFADLJE_01202	K01911
LLFADLJE_01206	K02548
LLFADLJE_01211	K02067
LLFADLJE_01212	K01448
LLFADLJE_01215	K00134
LLFADLJE_01216	K00850
LLFADLJE_01218	K01409
LLFADLJE_01230	K01594
LLFADLJE_01234	K01710
LLFADLJE_01235	K00067
LLFADLJE_01236	K01790
LLFADLJE_01237	K00973
LLFADLJE_01238	K07133
LLFADLJE_01242	K16698
LLFADLJE_01252	K00075
LLFADLJE_01256	K03088
LLFADLJE_01258	K03169
LLFADLJE_01259	K06867
LLFADLJE_01260	K17290
LLFADLJE_01262	K00605
LLFADLJE_01263	K06942
LLFADLJE_01264	K05337
LLFADLJE_01266	K00831
LLFADLJE_01267	K00058
LLFADLJE_01269	K06997
LLFADLJE_01270	K02342
LLFADLJE_01272	K10716
LLFADLJE_01273	K00791
LLFADLJE_01276	K03924
LLFADLJE_01279	K02259
LLFADLJE_01284	K04043
LLFADLJE_01289	K09861
LLFADLJE_01290	K06180
LLFADLJE_01294	K03561
LLFADLJE_01295	K01182
LLFADLJE_01296	K16211
LLFADLJE_01297	K05343
LLFADLJE_01298	K08139
LLFADLJE_01299	K00847
LLFADLJE_01300	K12343
LLFADLJE_01303	K03307
LLFADLJE_01308	K03307
LLFADLJE_01309	K04091
LLFADLJE_01310	K01599
LLFADLJE_01314	K00228
LLFADLJE_01316	K00658
LLFADLJE_01319	K03701
LLFADLJE_01320	K03702
LLFADLJE_01323	K01903
LLFADLJE_01324	K09810
LLFADLJE_01329	K01465
LLFADLJE_01330	K06999
LLFADLJE_01331	K06167
LLFADLJE_01335	K19271
LLFADLJE_01336	K07025
LLFADLJE_01337	K01737
LLFADLJE_01338	K01823
LLFADLJE_01339	K01880
LLFADLJE_01343	K00567
LLFADLJE_01344	K03424
LLFADLJE_01346	K09117
LLFADLJE_01353	K11325
LLFADLJE_01354	K14441
LLFADLJE_01355	K01426
LLFADLJE_01362	K03092
LLFADLJE_01363	K01893
LLFADLJE_01365	K02838
LLFADLJE_01366	K09903
LLFADLJE_01367	K02357
LLFADLJE_01368	K02967
LLFADLJE_01369	K02996
LLFADLJE_01370	K02871
LLFADLJE_01376	K18682
LLFADLJE_01377	K04763
LLFADLJE_01379	K03786
LLFADLJE_01381	K13990
LLFADLJE_01382	K01902
LLFADLJE_01383	K00059
LLFADLJE_01387	K07304
LLFADLJE_01388	K07305
LLFADLJE_01389	K03977
LLFADLJE_01390	K03595
LLFADLJE_01393	K06195
LLFADLJE_01394	K00294
LLFADLJE_01400	K04518
LLFADLJE_01401	K10206
LLFADLJE_01402	K04517
LLFADLJE_01403	K04516
LLFADLJE_01405	K06949
LLFADLJE_01406	K07560
LLFADLJE_01413	K03719
LLFADLJE_01414	K01761
LLFADLJE_01416	K03315
LLFADLJE_01418	K03470
LLFADLJE_01419	K03801
LLFADLJE_01421	K06181
LLFADLJE_01422	K02348
LLFADLJE_01423	K01808
LLFADLJE_01425	K12573
LLFADLJE_01431	K01885
LLFADLJE_01432	K16549
LLFADLJE_01434	K03495
LLFADLJE_01437	K00058
LLFADLJE_01438	K00606
LLFADLJE_01443	K03555
LLFADLJE_01445	K06213
LLFADLJE_01446	K02528
LLFADLJE_01450	K01875
LLFADLJE_01451	K11753
LLFADLJE_01452	K16089
LLFADLJE_01454	K11717
LLFADLJE_01456	K01436
LLFADLJE_01457	K09015
LLFADLJE_01458	K09013
LLFADLJE_01459	K09014
LLFADLJE_01460	K13628
LLFADLJE_01465	K01665
LLFADLJE_01467	K01054
LLFADLJE_01468	K04075
LLFADLJE_01469	K04084
LLFADLJE_01472	K00767
LLFADLJE_01473	K00783
LLFADLJE_01475	K02428
LLFADLJE_01478	K00784
LLFADLJE_01479	K03637
LLFADLJE_01480	K03750
LLFADLJE_01481	K20967
LLFADLJE_01487	K16066
LLFADLJE_01489	K02115
LLFADLJE_01490	K02111
LLFADLJE_01493	K02110
LLFADLJE_01494	K02108
LLFADLJE_01496	K21572
LLFADLJE_01498	K12941
LLFADLJE_01500	K07680
LLFADLJE_01503	K00658
LLFADLJE_01504	K00164
LLFADLJE_01511	K01895
LLFADLJE_01512	K00496
LLFADLJE_01513	K07107
LLFADLJE_01514	K15866
LLFADLJE_01515	K00059
LLFADLJE_01517	K06888
LLFADLJE_01521	K01210
LLFADLJE_01523	K01201
LLFADLJE_01529	K05396
LLFADLJE_01531	K06158
LLFADLJE_01537	K13444
LLFADLJE_01539	K03168
LLFADLJE_01540	K06168
LLFADLJE_01545	K04078
LLFADLJE_01547	K00111
LLFADLJE_01549	K01889
LLFADLJE_01553	K01436
LLFADLJE_01554	K00800
LLFADLJE_01555	K07568
LLFADLJE_01556	K06941
LLFADLJE_01557	K02523
LLFADLJE_01561	K00012
LLFADLJE_01565	K01597
LLFADLJE_01569	K06178
LLFADLJE_01571	K03525
LLFADLJE_01577	K03770
LLFADLJE_01578	K03628
LLFADLJE_01591	K01491
LLFADLJE_01592	K03106
LLFADLJE_01593	K02529
LLFADLJE_01594	K07305
LLFADLJE_01596	K06902
LLFADLJE_01598	K02014
LLFADLJE_01599	K01557
LLFADLJE_01600	K01661
LLFADLJE_01603	K02551
LLFADLJE_01604	K00616
LLFADLJE_01608	K00134
LLFADLJE_01609	K01972
LLFADLJE_01610	K03733
LLFADLJE_01612	K14085
LLFADLJE_01614	K01866
LLFADLJE_01615	K00091
LLFADLJE_01617	K01465
LLFADLJE_01618	K00721
LLFADLJE_01620	K01719
LLFADLJE_01621	K04485
LLFADLJE_01624	K12524
LLFADLJE_01625	K00872
LLFADLJE_01626	K01733
LLFADLJE_01628	K11355
LLFADLJE_01633	K03650
LLFADLJE_01644	K09808
LLFADLJE_01645	K02834
LLFADLJE_01646	K05606
LLFADLJE_01649	K06153
LLFADLJE_01650	K03177
LLFADLJE_01654	K15789
LLFADLJE_01659	K03296
LLFADLJE_01663	K13789
LLFADLJE_01666	K00793
LLFADLJE_01667	K00097
LLFADLJE_01670	K00648
LLFADLJE_01671	K02160
LLFADLJE_01672	K01697
LLFADLJE_01673	K01354
LLFADLJE_01676	K00819
LLFADLJE_01678	K01724
LLFADLJE_01684	K02257
LLFADLJE_01689	K03718
LLFADLJE_01690	K01961
LLFADLJE_01691	K02160
LLFADLJE_01693	K21572
LLFADLJE_01696	K13483
LLFADLJE_01697	K07303
LLFADLJE_01698	K07141
LLFADLJE_01699	K00087
LLFADLJE_01702	K01874
LLFADLJE_01703	K01297
LLFADLJE_01704	K03310
LLFADLJE_01706	K07460
LLFADLJE_01708	K11166
LLFADLJE_01710	K16092
LLFADLJE_01711	K11749
LLFADLJE_01712	K00655
LLFADLJE_01713	K03921
LLFADLJE_01714	K13566
LLFADLJE_01720	K01737
LLFADLJE_01722	K01056
LLFADLJE_01723	K02897
LLFADLJE_01724	K00948
LLFADLJE_01727	K00249
LLFADLJE_01728	K11147
LLFADLJE_01729	K00248
LLFADLJE_01735	K00812
LLFADLJE_01737	K01873
LLFADLJE_01738	K01501
LLFADLJE_01741	K13680
LLFADLJE_01744	K17870
LLFADLJE_01748	K03783
LLFADLJE_01749	K09931
LLFADLJE_01753	K09125
LLFADLJE_01754	K01579
LLFADLJE_01755	K01918
LLFADLJE_01756	K00703
LLFADLJE_01758	K00820
LLFADLJE_01762	K00003
LLFADLJE_01766	K03979
LLFADLJE_01767	K00939
LLFADLJE_01768	K00760
LLFADLJE_01769	K12257
LLFADLJE_01771	K00384
LLFADLJE_01774	K00457
LLFADLJE_01775	K00453
LLFADLJE_01778	K01810
LLFADLJE_01780	K03501
LLFADLJE_01782	K21065
LLFADLJE_01783	K04567
LLFADLJE_01784	K09793
LLFADLJE_01785	K01990
LLFADLJE_01791	K09020
LLFADLJE_01793	K23124
LLFADLJE_01794	K23123
LLFADLJE_01796	K07160
LLFADLJE_01799	K01610
LLFADLJE_01801	K14157
LLFADLJE_01802	K15460
LLFADLJE_01804	K02990
LLFADLJE_01806	K00259
LLFADLJE_01807	K04066
LLFADLJE_01811	K15582
LLFADLJE_01812	K03797
LLFADLJE_01813	K03787
LLFADLJE_01815	K00748
LLFADLJE_01818	K15519
LLFADLJE_01819	K03086
LLFADLJE_01820	K01783
LLFADLJE_01821	K02342
LLFADLJE_01827	K02887
LLFADLJE_01828	K02916
LLFADLJE_01829	K02520
LLFADLJE_01830	K01868
LLFADLJE_01831	K07566
LLFADLJE_01832	K00970
LLFADLJE_01834	K06147
LLFADLJE_01835	K01835
LLFADLJE_01838	K06970
LLFADLJE_01841	K03299
LLFADLJE_01842	K00033
LLFADLJE_01845	K03671
LLFADLJE_01846	K00641
LLFADLJE_01847	K01740
LLFADLJE_01848	K00789
LLFADLJE_01853	K16052
LLFADLJE_01856	K02106
LLFADLJE_01857	K00684
LLFADLJE_01862	K01952
LLFADLJE_01863	K01897
LLFADLJE_01864	K01897
LLFADLJE_01865	K06889
LLFADLJE_01867	K07304
LLFADLJE_01868	K02343
LLFADLJE_01871	K01673
LLFADLJE_01882	K03733
LLFADLJE_01884	K00249
LLFADLJE_01886	K03310
LLFADLJE_01887	K10716
LLFADLJE_01892	K07482
LLFADLJE_01897	K02491
LLFADLJE_01898	K02503
LLFADLJE_01899	K03624
LLFADLJE_01901	K01589
LLFADLJE_01902	K01588
LLFADLJE_01903	K01284
LLFADLJE_01905	K00382
LLFADLJE_01907	K05523
LLFADLJE_01913	K06889
LLFADLJE_01914	K23025
LLFADLJE_01915	K01507
LLFADLJE_01920	K07462
LLFADLJE_01925	K00767
LLFADLJE_01926	K00783
